,02-Jan-2020
The Nifty witnessed an intraday movement of about 94.65 points.The closing index was 0.82 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 31199.33
, Traded Quantity (in Lakhs), 16753.4
, Number of Trades, 10815655
, Total Market Capitalisation (Rs. Crores), 15603337.3

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     12182.50,     12198.55,     12289.90,     12195.25,     12282.20,99.7
,NIFTY50 EQL Wgt,     12432.65,     12454.65,     12550.45,     12450.65,     12541.85,109.2
,NIFTY100 EQL Wgt,     13387.80,     13408.20,     13532.75,     13405.75,     13525.40,137.6
,NIFTY100 LowVol30,      8945.75,      8959.20,      8989.55,      8951.75,      8977.55,31.8
,NIFTY Alpha 50,     13191.15,     13231.20,     13323.30,     13222.90,     13284.70,93.55
,NIFTY MIDCAP 150,      6343.95,      6354.70,      6425.30,      6350.60,      6422.85,78.9
,NIFTY SMLCAP 50,      2833.35,      2841.60,      2886.75,      2840.45,      2880.55,47.2
,NIFTY SMLCAP 250,      4892.70,      4910.85,      4975.00,      4908.65,      4971.55,78.85
,NIFTY MIDSML 400,      5824.30,      5837.80,      5905.30,      5834.80,      5903.40,79.1
,NIFTY200 QUALTY30,      9854.70,      9871.05,      9873.55,      9833.60,      9844.90,-9.8
,Nifty IT,     15722.15,     15754.90,     15762.10,     15679.65,     15709.65,-12.5
,Nifty Next 50,     28293.35,     28325.45,     28552.80,     28314.55,     28535.40,242.05
,Nifty Bank,     32102.90,     32133.15,     32465.45,     32121.40,     32443.85,340.95
,NIFTY MIDCAP 100,     17143.25,     17172.75,     17395.10,     17158.30,     17391.15,247.9
,Nifty 500,      9888.55,      9903.25,      9984.40,      9901.40,      9980.00,91.45
,Nifty 100,     12279.05,     12294.95,     12387.65,     12292.20,     12380.50,101.45
,Nifty Midcap 50,      4711.55,      4718.70,      4800.45,      4714.90,      4796.70,85.15
,Nifty Realty,       297.85,       299.15,       302.40,       298.20,       301.00,3.15
,Nifty Infra,      3263.25,      3268.30,      3315.35,      3267.85,      3311.95,48.7
,Nifty Energy,     15987.80,     16007.55,     16146.80,     15981.25,     16128.50,140.7
,Nifty FMCG,     30234.25,     30271.30,     30357.30,     30220.05,     30266.20,31.95
,Nifty MNC,     13801.55,     13831.60,     13890.90,     13825.90,     13880.75,79.2
,Nifty Pharma,      8047.10,      8056.75,      8102.40,      8027.15,      8053.95,6.85
,Nifty PSE,      3245.50,      3251.65,      3274.20,      3239.40,      3270.55,25.05
,Nifty PSU Bank,      2526.40,      2530.10,      2582.70,      2522.25,      2576.70,50.3
,Nifty Serv Sector,     17490.50,     17505.40,     17626.90,     17497.40,     17614.30,123.8
,India VIX,11.5975,11.5975,11.7000,10.7300,11.4900,-0.1075
,Nifty Auto,      8210.10,      8226.60,      8275.05,      8206.85,      8267.45,57.35
,Nifty Metal,      2796.05,      2818.40,      2873.10,      2818.20,      2869.90,73.85
,Nifty Media,      1794.20,      1777.95,      1807.65,      1760.80,      1800.65,6.45
,NIFTY SMLCAP 100,      5876.20,      5892.15,      5970.20,      5891.90,      5962.85,86.65
,Nifty 200,      6261.70,      6270.10,      6320.75,      6268.65,      6317.55,55.85
,Nifty Div Opps 50,      2547.20,      2552.85,      2557.45,      2547.15,      2555.65,8.45
,Nifty Commodities,      3437.85,      3448.15,      3503.65,      3446.75,      3500.30,62.45
,Nifty Consumption,      4953.35,      4958.80,      4968.20,      4950.70,      4959.70,6.35
,Nifty Fin Service,     14574.20,     14578.15,     14707.60,     14572.90,     14697.50,123.3
,Nifty50 Div Point,       118.39,       118.39,       118.39,       118.39,       118.39,0
,Nifty100 Liq 15,      3831.90,      3841.40,      3894.15,      3840.40,      3889.55,57.65
,Nifty CPSE,      1942.95,      1946.30,      1956.30,      1934.30,      1953.65,10.7
,Nifty GrowSect 15,      6412.15,      6418.40,      6458.50,      6414.10,      6452.60,40.45
,Nifty50 PR 2x Lev,      5297.35,      5310.60,      5389.95,      5310.30,      5383.35,86
,Nifty50 PR 1x Inv,       384.15,       383.70,       383.70,       380.85,       381.05,-3.1
,Nifty50 TR 2x Lev,      6886.70,      6903.95,      7007.10,      6903.60,      6998.50,111.8
,Nifty50 TR 1x Inv,       336.95,       336.55,       336.55,       334.05,       334.25,-2.7
,Nifty50 Value 20,      5478.45,      5490.55,      5496.90,      5478.40,      5491.25,12.8
,Nifty Mid Liq 15,      4044.30,      4050.60,      4117.90,      4049.25,      4112.30,68
,Nifty Pvt Bank,     17711.65,     17734.15,     17925.80,     17726.85,     17913.65,202
,NIFTY100 Qualty30,      2731.20,      2736.75,      2738.80,      2730.00,      2732.75,1.55
,Nifty GS 8 13Yr,      2033.07,      2033.45,      2034.56,      2032.16,      2033.79,.72
,Nifty GS 10Yr,      1874.58,      1874.91,      1876.76,      1873.34,      1874.91,.33
,Nifty GS 10Yr Cln,       947.15,       947.15,       948.10,       946.34,       947.15,0
,Nifty GS 4 8Yr,      2148.89,      2149.30,      2151.74,      2148.58,      2151.57,2.68
,Nifty GS 11 15Yr,      2172.09,      2172.51,      2174.29,      2171.73,      2173.25,1.16
,Nifty GS 15YrPlus,      2341.95,      2342.41,      2344.19,      2342.41,      2344.19,2.24
,Nifty GS Compsite,      2064.63,      2065.02,      2066.50,      2063.87,      2065.47,.84

,ADVANCES,1356
,DECLINES,482
,UNCHANGED,115

,Total securities that have hit their price bands today,401

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,RELIANCE,EQ,      1509.60,      1535.30,1.7,1239.47
,TATAMOTORS,EQ,       184.45,       193.75,5.04,1091.75
,TATASTEEL,EQ,       467.75,       484.85,3.66,1042.31
,IBULHSGFIN,EQ,       312.70,       325.15,3.98,996.37
,SBIN,EQ,       334.45,       339.30,1.45,684.53
,ULTRACEMCO,EQ,      4065.00,      4244.80,4.42,612.65
,YESBANK,EQ,        46.65,        47.35,1.5,578.56
,LT,EQ,      1309.95,      1345.30,2.7,578.46
,ICICIBANK,EQ,       536.75,       540.60,0.72,553.7
,TCS,EQ,      2167.60,      2157.65,-0.46,513.92
,EICHERMOT,EQ,     22075.80,     21600.85,-2.15,497.9
,RBLBANK,EQ,       347.95,       369.55,6.21,480.61
,MARUTI,EQ,      7311.70,      7329.85,0.25,452.72
,ZEEL,EQ,       288.65,       289.60,0.33,446.15
,SAIL,EQ,        42.90,        47.25,10.14,419.17
,HDFC,EQ,      2433.95,      2466.40,1.33,416.96
,INFY,EQ,       736.85,       734.70,-0.29,416
,JINDALSTEL,EQ,       166.40,       173.25,4.12,400.27
,HDFCBANK,EQ,      1278.60,      1286.75,0.64,394.18
,AXISBANK,EQ,       748.70,       756.95,1.1,388.67
,TITAN,EQ,      1154.75,      1155.60,0.07,378.19
,BAJFINANCE,EQ,      4231.30,      4246.05,0.35,368.71
,INDUSINDBK,EQ,      1484.30,      1529.00,3.01,356.89
,HINDALCO,EQ,       214.30,       220.15,2.73,332.54
,KOTAKBANK,EQ,      1674.05,      1671.55,-0.15,309.3

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,TATAMOTORS,EQ,       193.75,       184.45,5.04
,ULTRACEMCO,EQ,      4244.80,      4065.00,4.42
,TATASTEEL,EQ,       484.85,       467.75,3.66
,GRASIM,EQ,       766.35,       742.50,3.21
,VEDL,EQ,       159.45,       154.60,3.14

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,EICHERMOT,EQ,     21600.85,     22075.80,-2.15
,BAJAJ-AUTO,EQ,      3121.00,      3150.10,-0.92
,BPCL,EQ,       487.55,       491.65,-0.83
,CIPLA,EQ,       473.50,       475.90,-0.5
,DRREDDY,EQ,      2864.90,      2879.40,-0.5

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        35.55,                   917663.55,25846
,21STCENMGM,EQ,        15.60,                     2013.00,130
,3IINFOTECH,EQ,         2.10,                  5998315.15,2911605
,3MINDIA,EQ,     21381.15,                 18650753.20,868
,3PLAND,EQ,         5.95,                    24167.00,4105
,5PAISA,EQ,       211.30,                 16197199.70,76308
,63MOONS,EQ,       110.30,                 21021365.35,190136
,74GS2035,GS,       100.00,                    10000.00,100
,772GS2055,GS,       100.00,                    10000.00,100
,824GS2027,GS,       104.30,                    10430.00,100
,A2ZINFRA,EQ,         8.20,                  3830860.90,468478
,AAKASH,SM,        77.00,                   770000.00,10000
,AARON,SM,        47.90,                   158070.00,3300
,AARTIDRUGS,EQ,       590.20,                  5117873.90,8625
,AARTIIND,EQ,       840.25,                 71728601.90,85373
,AARVEEDEN,EQ,        14.30,                   194196.30,13612
,AAVAS,EQ,      1987.90,                 62820364.55,31631
,ABAN,EQ,        26.75,                  1883347.75,71643
,ABB,BE,      1294.20,                  9114186.55,7048
,ABBOTINDIA,EQ,     13139.90,                 45322428.25,3435
,ABCAPITAL,EQ,       106.35,                472941708.05,4467967
,ABFRL,EQ,       240.90,                275834025.95,1143769
,ABINFRA,SM,        12.00,                    48000.00,4000
,ABSLBANETF,EQ,       323.17,                    96951.00,300
,ABSLNN50ET,EQ,       287.00,                     4879.00,17
,ACCELYA,EQ,      1057.85,                  4603686.40,4360
,ACCURACY,SM,        26.00,                   333840.00,12800
,ACE,EQ,        82.30,                115312202.05,1395417
,ADANIENT,EQ,       211.20,                630593790.00,2991937
,ADANIGAS,EQ,       179.95,               1458612354.20,8005588
,ADANIGREEN,EQ,       183.45,                559323637.05,3087009
,ADANIPOWER,EQ,        64.45,                705818381.60,10996418
,ADANITRANS,EQ,       356.65,                422907420.65,1195881
,ADFFOODS,EQ,       315.40,                 22892613.05,74007
,ADHUNIKIND,EQ,        47.00,                  2662427.60,56396
,ADLABS,BE,         4.60,                   711246.45,152257
,ADORWELD,EQ,       313.95,                  5880554.40,18969
,ADROITINFO,BE,         6.75,                     9058.75,1405
,ADSL,BE,        21.25,                   383375.85,18426
,ADVANIHOTR,EQ,        53.40,                  1042556.20,19556
,ADVENZYMES,EQ,       169.30,                 22190386.40,131523
,AEGISCHEM,EQ,       198.45,                 30440084.05,154614
,AFFLE,EQ,      1587.65,                104056713.90,64955
,AGARIND,EQ,       105.45,                  6404541.35,63665
,AGCNET,EQ,       144.80,                   249382.40,1729
,AGRITECH,EQ,        46.25,                  1209241.70,26251
,AGROPHOS,EQ,        68.45,                   126632.50,1850
,AHLEAST,EQ,       173.00,                    78791.55,463
,AHLUCONT,EQ,       286.45,                   738986.60,2564
,AHLWEST,EQ,       359.65,                    76498.20,211
,AIAENG,EQ,      1621.10,                 11728107.55,7245
,AIONJSW,EQ,        17.30,                  6460233.95,377976
,AIRAN,EQ,        13.25,                   259168.90,19821
,AIROLAM,SM,        28.15,                   163950.00,6000
,AJANTPHARM,EQ,       979.95,                836082581.40,857339
,AJMERA,EQ,       125.60,                 17396163.05,138662
,AKASH,EQ,        70.75,                  1799309.95,26301
,AKG,SM,        34.00,                   136000.00,4000
,AKSHARCHEM,EQ,       247.85,                 18231093.15,71348
