,08-Jan-2020
The Nifty witnessed an intraday movement of about 115.35 points.The closing index was 0.23 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 32532.02
, Traded Quantity (in Lakhs), 17809.03
, Number of Trades, 10664175
, Total Market Capitalisation (Rs. Crores), 15364141.78

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     12052.95,     11939.10,     12044.95,     11929.60,     12025.35,-27.6
,NIFTY50 EQL Wgt,     12276.85,     12161.40,     12263.30,     12150.15,     12239.75,-37.1
,NIFTY100 EQL Wgt,     13253.55,     13103.05,     13244.60,     13094.10,     13234.15,-19.4
,NIFTY100 LowVol30,      8870.80,      8803.05,      8859.65,      8790.35,      8848.05,-22.75
,NIFTY Alpha 50,     13313.00,     13215.55,     13401.85,     13215.45,     13389.80,76.8
,NIFTY MIDCAP 150,      6303.85,      6248.45,      6319.70,      6229.75,      6315.40,11.55
,NIFTY SMLCAP 50,      2848.15,      2813.75,      2849.05,      2804.60,      2845.50,-2.65
,NIFTY SMLCAP 250,      4946.35,      4889.80,      4949.95,      4883.60,      4945.65,-.7
,NIFTY MIDSML 400,      5818.80,      5762.85,      5829.55,      5749.30,      5825.85,7.05
,NIFTY200 QUALTY30,      9711.25,      9632.75,      9699.60,      9620.45,      9681.50,-29.75
,Nifty IT,     15895.20,     15840.90,     15974.85,     15816.80,     15953.45,58.25
,Nifty Next 50,     28101.20,     27739.05,     28145.40,     27738.40,     28113.55,12.35
,Nifty Bank,     31399.40,     30995.50,     31451.85,     30899.55,     31373.65,-25.75
,NIFTY MIDCAP 100,     17021.55,     16869.40,     17089.20,     16821.85,     17074.30,52.75
,Nifty 500,      9805.40,      9708.70,      9798.25,      9700.35,      9792.20,-13.2
,Nifty 100,     12154.95,     12034.40,     12145.00,     12026.80,     12131.45,-23.5
,Nifty Midcap 50,      4674.65,      4627.55,      4693.80,      4617.35,      4686.85,12.2
,Nifty Realty,       298.05,       292.25,       297.90,       291.35,       297.05,-1
,Nifty Infra,      3256.70,      3223.65,      3248.60,      3216.50,      3242.50,-14.2
,Nifty Energy,     15793.75,     15630.25,     15760.50,     15581.60,     15664.95,-128.8
,Nifty FMCG,     29861.80,     29685.15,     29932.80,     29660.10,     29893.20,31.4
,Nifty MNC,     13579.95,     13468.75,     13605.35,     13433.35,     13597.25,17.3
,Nifty Pharma,      8036.50,      7975.70,      8041.60,      7960.05,      7996.15,-40.35
,Nifty PSE,      3185.30,      3146.60,      3167.05,      3134.75,      3149.75,-35.55
,Nifty PSU Bank,      2416.65,      2371.70,      2412.65,      2356.60,      2401.85,-14.8
,Nifty Serv Sector,     17267.45,     17091.85,     17290.50,     17081.55,     17277.05,9.6
,India VIX,14.6100,14.6100,16.3875,13.7925,15.6400,1.0300
,Nifty Auto,      8002.50,      7921.65,      8002.90,      7900.80,      7942.75,-59.75
,Nifty Metal,      2785.90,      2751.20,      2777.20,      2736.40,      2767.25,-18.65
,Nifty Media,      1735.15,      1716.20,      1729.70,      1706.35,      1726.60,-8.55
,NIFTY SMLCAP 100,      5900.65,      5826.05,      5887.90,      5808.80,      5882.50,-18.15
,Nifty 200,      6200.40,      6139.60,      6196.10,      6134.80,      6191.75,-8.65
,Nifty Div Opps 50,      2516.95,      2495.30,      2513.90,      2494.45,      2508.90,-8.05
,Nifty Commodities,      3434.40,      3398.60,      3434.40,      3391.40,      3427.90,-6.5
,Nifty Consumption,      4859.55,      4818.75,      4868.95,      4815.85,      4864.70,5.15
,Nifty Fin Service,     14314.75,     14134.85,     14321.40,     14117.15,     14306.65,-8.1
,Nifty50 Div Point,       118.39,       118.39,       118.39,       118.39,       118.39,0
,Nifty100 Liq 15,      3742.70,      3694.85,      3744.70,      3686.30,      3736.00,-6.7
,Nifty CPSE,      1912.75,      1892.25,      1902.90,      1875.80,      1883.00,-29.75
,Nifty GrowSect 15,      6316.00,      6257.40,      6313.65,      6250.85,      6301.65,-14.35
,Nifty50 PR 2x Lev,      5178.80,      5080.30,      5170.80,      5073.60,      5154.40,-24.4
,Nifty50 PR 1x Inv,       388.40,       392.10,       392.35,       388.70,       389.30,.9
,Nifty50 TR 2x Lev,      6732.65,      6604.55,      6722.25,      6595.90,      6700.90,-31.75
,Nifty50 TR 1x Inv,       340.65,       343.95,       344.15,       340.95,       341.50,.85
,Nifty50 Value 20,      5446.95,      5409.80,      5444.05,      5405.85,      5437.80,-9.15
,Nifty Mid Liq 15,      3991.95,      3950.15,      3998.75,      3941.45,      3993.30,1.35
,Nifty Pvt Bank,     17384.50,     17180.05,     17413.15,     17132.60,     17371.35,-13.15
,NIFTY100 Qualty30,      2684.15,      2660.95,      2682.60,      2658.40,      2676.95,-7.2
,Nifty GS 8 13Yr,      2025.57,      2025.95,      2027.07,      2023.98,      2026.80,1.23
,Nifty GS 10Yr,      1870.08,      1870.42,      1871.25,      1866.71,      1870.97,.89
,Nifty GS 10Yr Cln,       943.82,       943.82,       944.25,       941.92,       944.11,.29
,Nifty GS 4 8Yr,      2148.25,      2148.66,      2149.89,      2145.49,      2149.35,1.1
,Nifty GS 11 15Yr,      2160.27,      2160.70,      2161.39,      2158.61,      2161.17,.9
,Nifty GS 15YrPlus,      2343.54,      2344.00,      2345.26,      2344.00,      2345.26,1.72
,Nifty GS Compsite,      2059.99,      2060.38,      2061.45,      2057.87,      2061.21,1.22

,ADVANCES,725
,DECLINES,1109
,UNCHANGED,125

,Total securities that have hit their price bands today,350

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,SBIN,EQ,       318.40,       319.80,0.44,1406.53
,TCS,EQ,      2205.85,      2255.25,2.24,1164.34
,RELIANCE,EQ,      1524.60,      1513.15,-0.75,1113.86
,ICICIBANK,EQ,       522.90,       525.95,0.58,839.6
,HDFCBANK,EQ,      1260.60,      1257.30,-0.26,710.36
,IBULHSGFIN,EQ,       308.20,       310.10,0.62,704.63
,BAJFINANCE,EQ,      4007.65,      4049.95,1.06,654.83
,AXISBANK,EQ,       725.75,       724.50,-0.17,645.56
,YESBANK,EQ,        45.05,        46.05,2.22,644.26
,TATASTEEL,EQ,       476.10,       475.25,-0.18,628.25
,BHARTIARTL,EQ,       445.10,       458.85,3.09,624.73
,INFY,EQ,       727.90,       718.20,-1.33,620.17
,EICHERMOT,EQ,     20803.80,     19892.20,-4.38,582.83
,BPCL,EQ,       461.00,       459.90,-0.24,562.04
,JINDALSTEL,EQ,       167.35,       174.70,4.39,561.54
,MARUTI,EQ,      7073.60,      7035.20,-0.54,558.02
,LT,EQ,      1320.50,      1291.55,-2.19,536.71
,KOTAKBANK,EQ,      1670.85,      1654.85,-0.96,515.92
,HDFC,EQ,      2415.05,      2406.15,-0.37,515.23
,INDUSINDBK,EQ,      1461.65,      1458.60,-0.21,490.5
,ULTRACEMCO,EQ,      4242.10,      4318.95,1.81,443.2
,TATAMOTORS,EQ,       184.70,       182.55,-1.16,398.75
,RBLBANK,EQ,       344.00,       346.00,0.58,378.92
,HINDUNILVR,EQ,      1920.70,      1929.35,0.45,362.76
,ZEEL,EQ,       267.75,       264.45,-1.23,331.09

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,BHARTIARTL,EQ,       458.85,       445.10,3.09
,TCS,EQ,      2255.25,      2205.85,2.24
,YESBANK,EQ,        46.05,        45.05,2.22
,ULTRACEMCO,EQ,      4318.95,      4242.10,1.81
,BAJFINANCE,EQ,      4049.95,      4007.65,1.06

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,EICHERMOT,EQ,     19892.20,     20803.80,-4.38
,COALINDIA,EQ,       200.20,       205.70,-2.67
,LT,EQ,      1291.55,      1320.50,-2.19
,IOC,EQ,       121.85,       124.55,-2.17
,ONGC,EQ,       123.45,       125.75,-1.83

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        32.70,                   840328.70,25706
,21STCENMGM,EQ,        16.80,                     5275.20,314
,3IINFOTECH,EQ,         2.70,                 31560862.05,12664631
,3MINDIA,EQ,     21238.05,                 41578095.35,1952
,3PLAND,EQ,         6.20,                      731.60,118
,5PAISA,EQ,       195.95,                  3575846.65,18103
,63MOONS,EQ,       105.55,                 18697650.15,177732
,726GS2029,GS,        92.00,                     9200.00,100
,74GS2035,GS,        99.25,                    11910.00,120
,772GS2055,GS,        95.05,                     9505.00,100
,A2ZINFRA,EQ,         8.00,                   728673.35,90583
,AARON,SM,        49.25,                   325050.00,6600
,AARTIDRUGS,EQ,       565.10,                  4181278.25,7369
,AARTIIND,EQ,       880.70,                126333065.75,143313
,AARVEEDEN,EQ,        13.95,                    38949.00,2827
,AARVI,SM,        28.00,                   113800.00,4000
,AAVAS,EQ,      1938.55,                 57109891.25,29296
,ABAN,EQ,        27.45,                  1872473.50,68328
,ABB,EQ,      1310.70,                 21849308.30,16798
,ABBOTINDIA,EQ,     12727.25,                118452981.15,9286
,ABCAPITAL,EQ,       100.70,                135388617.00,1345352
,ABFRL,EQ,       236.10,                121091935.00,516533
,ABSLBANETF,EQ,       309.45,                   105589.11,341
,ABSLNN50ET,EQ,       283.17,                      283.17,1
,ABSLRIF6RG,MF,         7.06,                   164166.36,24000
,ACCELYA,EQ,      1050.30,                  3495667.90,3337
,ACCURACY,SM,        24.50,                  2472720.00,99200
,ACE,EQ,        79.35,                 13097041.35,164370
,ADANIENT,EQ,       201.50,               1149028631.95,5762654
,ADANIGAS,EQ,       168.25,                357107421.40,2106347
,ADANIGREEN,EQ,       221.10,                259732103.95,1181338
,ADANIPOWER,EQ,        59.85,                664868451.50,11149419
,ADANITRANS,EQ,       332.20,                 82572521.50,249746
,ADFFOODS,EQ,       315.75,                 63505915.40,202346
,ADHUNIKIND,EQ,        42.25,                  1017517.65,24406
,ADLABS,BE,         4.15,                   139433.55,33802
,ADORWELD,EQ,       299.95,                   218732.75,734
,ADROITINFO,BE,         6.40,                      231.95,36
,ADSL,BE,        19.60,                   333059.10,17090
,ADVANIHOTR,EQ,        51.85,                   110364.60,2133
,ADVENZYMES,EQ,       166.50,                  9090802.30,54964
,AEGISCHEM,EQ,       192.90,                 42671712.70,223590
,AFFLE,EQ,      1531.95,                 71206324.90,46340
,AGARIND,EQ,        99.80,                  3142512.75,30952
,AGCNET,EQ,       150.00,                  1321588.05,8831
,AGRITECH,EQ,        43.40,                   334599.30,7656
,AGROPHOS,EQ,        55.85,                   193017.60,3456
,AHLADA,SM,        50.55,                    50550.00,1000
,AHLEAST,EQ,       168.30,                   234453.40,1384
,AHLUCONT,EQ,       296.35,                  1060321.85,3584
,AHLWEST,EQ,       360.00,                   925516.95,2567
,AIAENG,EQ,      1640.65,                 54092682.80,32439
,AIONJSW,EQ,        16.10,                  4465272.15,277076
,AIRAN,EQ,        13.45,                    91805.40,6833
,AIROLAM,SM,        26.15,                   235200.00,9000
,AJANTPHARM,EQ,      1022.05,                134804534.55,132948
,AJMERA,EQ,       122.95,                  5652640.75,46089
,AKASH,EQ,        71.95,                   621475.90,8660
,AKSHARCHEM,EQ,       239.85,                  6859250.15,28348
