,10-Jan-2020
The Nifty witnessed an intraday movement of about 98 points.The closing index was 0.33 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 35687.52
, Traded Quantity (in Lakhs), 18816.46
, Number of Trades, 11634315
, Total Market Capitalisation (Rs. Crores), 15634845.48

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     12215.90,     12271.00,     12311.20,     12213.20,     12256.80,40.9
,NIFTY50 EQL Wgt,     12432.10,     12478.65,     12529.50,     12424.05,     12461.75,29.65
,NIFTY100 EQL Wgt,     13431.00,     13474.65,     13535.90,     13424.10,     13463.50,32.5
,NIFTY100 LowVol30,      8925.35,      8961.50,      8999.10,      8948.70,      8983.30,57.95
,NIFTY Alpha 50,     13632.05,     13739.20,     13750.00,     13527.95,     13552.95,-79.1
,NIFTY MIDCAP 150,      6403.55,      6422.45,      6461.70,      6413.60,      6422.95,19.4
,NIFTY SMLCAP 50,      2909.00,      2924.10,      2944.10,      2917.50,      2934.90,25.9
,NIFTY SMLCAP 250,      5037.25,      5062.85,      5096.85,      5052.30,      5071.20,33.95
,NIFTY MIDSML 400,      5915.55,      5936.95,      5974.15,      5930.70,      5940.35,24.8
,NIFTY200 QUALTY30,      9771.90,      9807.95,      9865.40,      9800.30,      9847.00,75.1
,Nifty IT,     15925.15,     16040.65,     16059.35,     15930.65,     15959.90,34.75
,Nifty Next 50,     28484.30,     28556.70,     28680.70,     28463.25,     28556.05,71.75
,Nifty Bank,     32092.40,     32215.70,     32347.20,     31953.40,     32097.40,5
,NIFTY MIDCAP 100,     17319.65,     17376.15,     17496.60,     17355.80,     17386.35,66.7
,Nifty 500,      9943.90,      9985.00,     10023.15,      9947.35,      9978.00,34.1
,Nifty 100,     12319.70,     12372.00,     12412.95,     12316.60,     12359.70,40
,Nifty Midcap 50,      4766.10,      4781.05,      4815.25,      4769.50,      4787.70,21.6
,Nifty Realty,       305.15,       308.05,       311.75,       305.90,       310.65,5.5
,Nifty Infra,      3298.50,      3309.75,      3328.35,      3299.00,      3310.80,12.3
,Nifty Energy,     15900.35,     15972.65,     16037.70,     15872.55,     15940.15,39.8
,Nifty FMCG,     30123.60,     30244.55,     30393.20,     30183.80,     30370.45,246.85
,Nifty MNC,     13756.00,     13794.05,     13852.60,     13752.75,     13791.90,35.9
,Nifty Pharma,      8033.15,      8048.55,      8171.20,      8044.35,      8058.50,25.35
,Nifty PSE,      3183.55,      3199.95,      3228.55,      3185.05,      3207.30,23.75
,Nifty PSU Bank,      2459.85,      2468.05,      2502.65,      2450.45,      2461.40,1.55
,Nifty Serv Sector,     17534.55,     17624.60,     17662.05,     17496.00,     17557.00,22.45
,India VIX,13.9975,13.9975,14.2450,13.1775,14.0775,0.0800
,Nifty Auto,      8155.25,      8177.55,      8246.70,      8147.65,      8225.50,70.25
,Nifty Metal,      2806.80,      2820.60,      2864.55,      2803.20,      2840.75,33.95
,Nifty Media,      1767.95,      1773.60,      1796.35,      1760.85,      1770.65,2.7
,NIFTY SMLCAP 100,      6005.85,      6031.65,      6076.45,      6027.55,      6056.50,50.65
,Nifty 200,      6287.10,      6313.10,      6336.30,      6287.30,      6307.90,20.8
,Nifty Div Opps 50,      2526.35,      2541.55,      2554.85,      2534.70,      2543.20,16.85
,Nifty Commodities,      3477.55,      3490.70,      3521.65,      3472.00,      3501.15,23.6
,Nifty Consumption,      4936.50,      4955.30,      4965.65,      4941.20,      4961.60,25.1
,Nifty Fin Service,     14590.10,     14642.80,     14693.70,     14544.95,     14609.65,19.55
,Nifty50 Div Point,       118.39,       118.39,       118.39,       118.39,       118.39,0
,Nifty100 Liq 15,      3823.20,      3833.70,      3868.70,      3813.85,      3835.05,11.85
,Nifty CPSE,      1893.90,      1903.15,      1929.80,      1899.20,      1919.20,25.3
,Nifty GrowSect 15,      6390.00,      6421.00,      6444.05,      6400.65,      6427.80,37.8
,Nifty50 PR 2x Lev,      5317.05,      5364.35,      5399.20,      5314.35,      5351.95,34.9
,Nifty50 PR 1x Inv,       383.20,       381.50,       383.30,       380.25,       381.95,-1.25
,Nifty50 TR 2x Lev,      6912.35,      6973.80,      7019.15,      6908.85,      6957.75,45.4
,Nifty50 TR 1x Inv,       336.15,       334.65,       336.25,       333.55,       335.05,-1.1
,Nifty50 Value 20,      5460.45,      5496.65,      5515.40,      5476.15,      5488.10,27.65
,Nifty Mid Liq 15,      4092.95,      4108.50,      4138.10,      4096.45,      4112.35,19.4
,Nifty Pvt Bank,     17760.50,     17825.70,     17860.70,     17659.65,     17729.25,-31.25
,NIFTY100 Qualty30,      2705.70,      2716.65,      2729.70,      2713.85,      2723.45,17.75
,Nifty GS 8 13Yr,      2029.69,      2030.08,      2030.08,      2022.19,      2022.50,-7.19
,Nifty GS 10Yr,      1874.04,      1874.37,      1874.37,      1865.15,      1865.98,-8.06
,Nifty GS 10Yr Cln,       945.51,       945.51,       945.51,       940.78,       941.21,-4.3
,Nifty GS 4 8Yr,      2153.04,      2153.45,      2153.45,      2146.59,      2146.60,-6.44
,Nifty GS 11 15Yr,      2166.48,      2166.91,      2166.91,      2155.76,      2155.87,-10.61
,Nifty GS 15YrPlus,      2349.32,      2349.78,      2349.78,      2342.22,      2343.11,-6.21
,Nifty GS Compsite,      2064.40,      2064.79,      2064.79,      2056.94,      2057.16,-7.24

,ADVANCES,1024
,DECLINES,811
,UNCHANGED,133

,Total securities that have hit their price bands today,367

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,BHARTIARTL,EQ,       460.10,       457.00,-0.67,1707.98
,SBIN,EQ,       330.20,       332.25,0.62,1413.86
,YESBANK,EQ,        47.30,        44.75,-5.39,1384.66
,TATAMOTORS,EQ,       192.00,       196.35,2.27,1168.05
,RELIANCE,EQ,      1548.00,      1547.65,-0.02,883.9
,IBULHSGFIN,EQ,       322.70,       314.10,-2.67,832.31
,TATASTEEL,EQ,       483.15,       486.20,0.63,776.76
,INFY,EQ,       727.55,       738.15,1.46,689.11
,ICICIBANK,EQ,       546.30,       540.25,-1.11,669.29
,AXISBANK,EQ,       742.85,       740.05,-0.38,634.76
,HDFCBANK,EQ,      1271.40,      1282.70,0.89,590.7
,MARUTI,EQ,      7227.90,      7330.50,1.42,545.89
,SUNTV,EQ,       431.35,       463.40,7.43,544.57
,HDFC,EQ,      2457.40,      2457.55,0.01,511.68
,INDUSINDBK,EQ,      1507.65,      1491.25,-1.09,479.04
,BAJFINANCE,EQ,      4124.20,      4144.85,0.5,459.37
,EICHERMOT,EQ,     20328.90,     20432.75,0.51,444.82
,KOTAKBANK,EQ,      1665.05,      1684.70,1.18,426.83
,TCS,EQ,      2214.35,      2213.55,-0.04,425.22
,ZEEL,EQ,       272.05,       263.00,-3.33,396.98
,PIDILITIND,EQ,      1414.40,      1415.15,0.05,367.28
,DLF,EQ,       238.25,       244.20,2.5,356.8
,TATAGLOBAL,EQ,       328.55,       341.35,3.9,343.08
,VEDL,EQ,       158.15,       159.95,1.14,338.19
,DRREDDY,EQ,      2920.50,      2933.00,0.43,333.83

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,COALINDIA,EQ,       205.30,       198.00,3.69
,TATAMOTORS,EQ,       196.35,       192.00,2.27
,INFY,EQ,       738.15,       727.55,1.46
,MARUTI,EQ,      7330.50,      7227.90,1.42
,GAIL,EQ,       125.35,       123.70,1.33

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,YESBANK,EQ,        44.75,        47.30,-5.39
,ZEEL,EQ,       263.00,       272.05,-3.33
,ICICIBANK,EQ,       540.25,       546.30,-1.11
,INDUSINDBK,EQ,      1491.25,      1507.65,-1.09
,TITAN,EQ,      1154.05,      1163.45,-0.81

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        34.30,                  1046498.80,30558
,21STCENMGM,EQ,        16.80,                    43254.90,2565
,3IINFOTECH,EQ,         2.40,                 12822033.05,5284620
,3MINDIA,EQ,     21432.50,                 14366788.55,671
,3PLAND,EQ,         6.80,                    10268.15,1548
,5PAISA,EQ,       193.90,                  3245987.35,16648
,63MOONS,EQ,       109.00,                 31225662.60,282346
,706GS2046,GS,        86.00,                     8600.00,100
,772GS2049,GS,        92.25,                     9225.00,100
,A2ZINFRA,EQ,         8.00,                  1660687.90,209133
,AARON,SM,        48.00,                   329505.00,6600
,AARTIDRUGS,EQ,       580.40,                 20574177.70,35003
,AARTIIND,EQ,       863.85,                601079848.20,683302
,AARVEEDEN,EQ,        13.95,                   104740.70,7443
,AARVI,SM,        27.50,                  1783000.00,66000
,AAVAS,EQ,      1992.90,                595332124.25,297719
,ABAN,EQ,        26.50,                  1776027.85,66602
,ABB,EQ,      1372.40,                202992365.75,147240
,ABBOTINDIA,EQ,     12534.70,                179341464.80,14224
,ABCAPITAL,EQ,       109.05,                684114349.20,6251758
,ABFRL,EQ,       233.75,                 84493579.85,354906
,ABSLBANETF,EQ,       318.40,                      318.40,1
,ABSLNN50ET,EQ,       338.00,                   520827.00,1802
,ACCELYA,EQ,      1049.20,                  2875436.50,2727
,ACCURACY,SM,        22.85,                  1814960.00,80000
,ACE,EQ,        81.00,                 14077461.90,170753
,ADANIENT,EQ,       209.10,                577749576.20,2769132
,ADANIGAS,EQ,       164.25,                246308641.00,1484336
,ADANIGREEN,EQ,       220.55,                783577217.15,3337546
,ADANIPOWER,EQ,        61.20,                426193745.80,6911234
,ADANITRANS,EQ,       329.75,                 55596070.75,167427
,ADFFOODS,EQ,       300.60,                 13823759.55,45619
,ADHUNIKIND,EQ,        45.00,                   727705.20,16000
,ADLABS,BE,         4.25,                   165263.10,38111
,ADORWELD,EQ,       310.35,                  2508438.05,8060
,ADROITINFO,BE,         6.10,                    15817.40,2491
,ADSL,BE,        21.15,                   436301.35,20984
,ADVANIHOTR,EQ,        52.20,                   136188.10,2595
,ADVENZYMES,EQ,       168.75,                 17764075.90,103449
,AEGISCHEM,EQ,       196.00,                 19076377.85,97184
,AFFLE,EQ,      1562.75,                 76888397.10,48608
,AGARIND,EQ,       105.30,                  1698729.90,16284
,AGCNET,EQ,       158.55,                  1973781.45,12573
,AGRITECH,EQ,        44.35,                   242325.40,5439
,AGROPHOS,EQ,        50.45,                   192063.15,3807
,AHLADA,SM,        49.70,                   198700.00,4000
,AHLEAST,EQ,       170.10,                  1010064.00,5901
,AHLUCONT,EQ,       297.50,                   911938.55,3054
,AHLWEST,EQ,       358.50,                  1531771.35,4178
,AIAENG,EQ,      1638.30,                 12593330.20,7608
,AIONJSW,EQ,        16.05,                  8888434.20,585979
,AIRAN,EQ,        13.70,                   221685.90,16199
,AIROLAM,SM,        25.05,                   276600.00,12000
,AISL,SM,        24.95,                    89820.00,3600
,AJANTPHARM,EQ,      1034.25,                 55534314.90,53592
,AJMERA,EQ,       146.50,                185861215.60,1231038
,AKASH,EQ,        79.50,                   822527.65,10430
,AKSHARCHEM,EQ,       241.95,                  2754668.75,11177
,AKSHOPTFBR,EQ,         7.15,                  2126685.40,302812
