,23-Jan-2020
The Nifty witnessed an intraday movement of about 94.9 points.The closing index was 0.61 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 43397.58
, Traded Quantity (in Lakhs), 25552.69
, Number of Trades, 12230857
, Total Market Capitalisation (Rs. Crores), 15780324.42

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     12106.90,     12123.75,     12189.00,     12094.10,     12180.35,73.45
,NIFTY50 EQL Wgt,     12338.65,     12338.05,     12430.25,     12310.00,     12417.40,78.75
,NIFTY100 EQL Wgt,     13432.65,     13443.25,     13582.05,     13425.30,     13558.95,126.3
,NIFTY100 LowVol30,      8984.20,      8980.65,      9046.75,      8963.60,      9033.20,49
,NIFTY Alpha 50,     13651.45,     13677.85,     13853.20,     13650.35,     13837.35,185.9
,NIFTY MIDCAP 150,      6606.05,      6616.65,      6701.00,      6614.75,      6689.70,83.65
,NIFTY SMLCAP 50,      3046.80,      3054.25,      3073.30,      3048.60,      3070.40,23.6
,NIFTY SMLCAP 250,      5218.75,      5229.95,      5254.85,      5224.50,      5252.25,33.5
,NIFTY MIDSML 400,      6110.85,      6121.70,      6181.75,      6120.45,      6176.15,65.3
,NIFTY200 QUALTY30,      9981.00,      9983.85,     10063.20,      9975.80,     10057.50,76.5
,Nifty IT,     16334.55,     16380.60,     16501.20,     16367.75,     16474.40,139.85
,Nifty Next 50,     28593.00,     28638.35,     28936.75,     28604.95,     28898.30,305.3
,Nifty Bank,     30701.45,     30742.20,     31087.25,     30621.35,     31004.05,302.6
,NIFTY MIDCAP 100,     17931.00,     17953.30,     18235.65,     17946.45,     18190.00,259
,Nifty 500,      9947.00,      9961.80,     10027.80,      9944.10,     10021.40,74.4
,Nifty 100,     12230.85,     12248.20,     12321.40,     12220.70,     12312.90,82.05
,Nifty Midcap 50,      4921.65,      4919.60,      5006.15,      4916.90,      4994.30,72.65
,Nifty Realty,       320.85,       321.35,       328.05,       321.15,       327.65,6.8
,Nifty Infra,      3321.65,      3328.80,      3372.70,      3326.90,      3366.90,45.25
,Nifty Energy,     15534.60,     15567.10,     15771.05,     15543.50,     15704.85,170.25
,Nifty FMCG,     31153.15,     31147.00,     31257.15,     30995.30,     31226.90,73.75
,Nifty MNC,     13989.55,     13990.80,     14064.50,     13960.40,     14052.70,63.15
,Nifty Pharma,      8256.65,      8245.95,      8322.45,      8208.55,      8300.20,43.55
,Nifty PSE,      3102.45,      3108.65,      3166.65,      3107.00,      3151.85,49.4
,Nifty PSU Bank,      2410.00,      2410.05,      2455.55,      2405.00,      2437.90,27.9
,Nifty Serv Sector,     17280.75,     17303.20,     17422.90,     17266.70,     17406.60,125.85
,India VIX,16.3600,16.3600,16.7075,15.7775,15.8550,-0.5050
,Nifty Auto,      8169.15,      8176.75,      8251.85,      8145.80,      8241.75,72.6
,Nifty Metal,      2756.75,      2759.05,      2779.35,      2750.95,      2769.25,12.5
,Nifty Media,      1909.00,      1896.75,      1902.25,      1866.65,      1871.85,-37.15
,NIFTY SMLCAP 100,      6242.85,      6256.00,      6299.90,      6248.75,      6295.60,52.75
,Nifty 200,      6270.40,      6279.15,      6322.35,      6267.15,      6317.85,47.45
,Nifty Div Opps 50,      2540.90,      2545.50,      2565.55,      2542.80,      2560.95,20.05
,Nifty Commodities,      3410.80,      3417.30,      3447.65,      3410.90,      3440.95,30.15
,Nifty Consumption,      5100.10,      5099.30,      5133.40,      5082.95,      5130.35,30.25
,Nifty Fin Service,     14178.50,     14196.85,     14314.70,     14145.80,     14288.45,109.95
,Nifty50 Div Point,       118.39,       119.67,       119.67,       119.67,       119.67,1.28
,Nifty100 Liq 15,      3670.75,      3684.45,      3719.95,      3678.00,      3711.20,40.45
,Nifty CPSE,      1788.45,      1797.60,      1834.70,      1796.75,      1814.30,25.85
,Nifty GrowSect 15,      6316.20,      6313.25,      6335.85,      6288.60,      6329.00,12.8
,Nifty50 PR 2x Lev,      5212.10,      5225.90,      5281.65,      5201.60,      5274.65,62.55
,Nifty50 PR 1x Inv,       387.25,       386.80,       387.70,       384.70,       384.95,-2.3
,Nifty50 TR 2x Lev,      6775.90,      6795.30,      6867.80,      6763.70,      6858.65,82.75
,Nifty50 TR 1x Inv,       339.70,       339.25,       340.05,       337.40,       337.65,-2.05
,Nifty50 Value 20,      5493.80,      5502.75,      5540.70,      5497.05,      5530.50,36.7
,Nifty Mid Liq 15,      4302.55,      4299.00,      4386.35,      4296.85,      4380.95,78.4
,Nifty Pvt Bank,     16931.90,     16958.45,     17138.45,     16900.80,     17075.85,143.95
,NIFTY100 Qualty30,      2732.95,      2733.25,      2748.60,      2729.30,      2746.95,14
,Nifty GS 8 13Yr,      2023.59,      2023.98,      2026.83,      2023.98,      2026.14,2.55
,Nifty GS 10Yr,      1863.94,      1864.28,      1867.15,      1864.28,      1865.48,1.54
,Nifty GS 10Yr Cln,       938.12,       938.12,       939.59,       938.12,       938.73,.61
,Nifty GS 4 8Yr,      2152.30,      2152.71,      2154.11,      2152.71,      2153.45,1.15
,Nifty GS 11 15Yr,      2160.45,      2160.87,      2164.70,      2160.87,      2163.75,3.3
,Nifty GS 15YrPlus,      2342.65,      2343.11,      2343.11,      2343.11,      2343.11,.46
,Nifty GS Compsite,      2060.25,      2060.65,      2063.06,      2060.65,      2062.02,1.77

,ADVANCES,1078
,DECLINES,752
,UNCHANGED,140

,Total securities that have hit their price bands today,344

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,POWERGRID,EQ,       200.05,       201.95,0.95,2563.89
,IOC,EQ,       113.65,       118.35,4.14,2486
,AXISBANK,EQ,       712.60,       723.00,1.46,1501.21
,LT,EQ,      1294.20,      1332.30,2.94,1336.66
,SBIN,EQ,       316.15,       323.20,2.23,1066.22
,PFC,EQ,       108.85,       113.10,3.9,1058.55
,INFY,EQ,       770.20,       784.35,1.84,978.46
,IBULHSGFIN,EQ,       296.30,       312.10,5.33,950.14
,ZEEL,EQ,       300.35,       279.25,-7.03,919.64
,ICICIBANK,EQ,       522.85,       527.70,0.93,895.87
,NMDC,EQ,       132.10,       132.95,0.64,807.71
,BHARTIARTL,EQ,       514.50,       523.65,1.78,804.95
,RELIANCE,EQ,      1533.35,      1526.85,-0.42,786.12
,RBLBANK,EQ,       339.20,       339.45,0.07,776.71
,YESBANK,EQ,        38.45,        40.95,6.5,720.73
,HDFCBANK,EQ,      1240.85,      1244.85,0.32,714.09
,TATAMOTORS,EQ,       185.60,       188.40,1.51,620.24
,INDUSINDBK,EQ,      1327.40,      1331.80,0.33,579.61
,KOTAKBANK,EQ,      1585.50,      1605.85,1.28,558.3
,NHPC,EQ,        26.15,        27.20,4.02,510.98
,AUBANK,EQ,       887.05,       974.55,9.86,483.53
,BAJFINANCE,EQ,      4142.20,      4125.80,-0.4,475.6
,TCS,EQ,      2206.90,      2190.95,-0.72,455.54
,HDFC,EQ,      2416.60,      2428.40,0.49,439.03
,TATAGLOBAL,EQ,       385.05,       393.25,2.13,437.59

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,YESBANK,EQ,        40.95,        38.45,6.5
,IOC,EQ,       118.35,       113.65,4.14
,GAIL,EQ,       129.65,       125.90,2.98
,BPCL,EQ,       469.00,       455.45,2.98
,LT,EQ,      1332.30,      1294.20,2.94

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,ZEEL,EQ,       279.25,       300.35,-7.03
,UPL,EQ,       542.20,       562.95,-3.69
,CIPLA,EQ,       465.15,       471.60,-1.37
,TECHM,EQ,       768.95,       778.75,-1.26
,EICHERMOT,EQ,     20915.75,     21100.00,-0.87

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        33.70,                   356525.05,10578
,21STCENMGM,EQ,        14.90,                    26322.40,1754
,3IINFOTECH,EQ,         2.45,                  4417964.50,1781577
,3MINDIA,EQ,     22409.70,                 15021145.70,671
,5PAISA,EQ,       192.10,                  6698783.45,34476
,63MOONS,EQ,       110.50,                 16902394.40,152937
,737GS2023,GS,        87.00,                     8700.00,100
,A2ZINFRA,EQ,         7.60,                   696388.20,91075
,AARON,SM,        47.25,                   155925.00,3300
,AARTIDRUGS,EQ,       599.75,                  6214412.00,10319
,AARTIIND,EQ,       868.05,                 64762149.05,75059
,AARVEEDEN,EQ,        14.30,                   118774.20,8201
,AAVAS,EQ,      1999.85,                 86921510.85,43685
,ABAN,EQ,        26.05,                   921289.75,35395
,ABB,EQ,      1316.40,                 17708723.05,13495
,ABBOTINDIA,EQ,     12707.90,                138757187.50,10901
,ABCAPITAL,EQ,       106.00,                179017559.30,1677550
,ABFRL,EQ,       233.80,                 81722244.50,344297
,ABSLBANETF,EQ,       308.33,                      308.33,1
,ABSLNN50ET,EQ,       289.34,                    50327.02,174
,ABSLRIF6RG,MF,         7.45,                    22350.00,3000
,ACCELYA,EQ,      1056.05,                   964830.10,911
,ACCURACY,SM,        20.90,                    66880.00,3200
,ACE,EQ,        85.45,                 10069335.35,116608
,ADANIENT,EQ,       229.60,                606961652.90,2650092
,ADANIGAS,EQ,       172.90,                333024148.10,1942737
,ADANIGREEN,EQ,       192.20,                258307661.90,1336193
,ADANIPOWER,EQ,        63.35,                282522404.45,4473067
,ADANITRANS,EQ,       332.90,                 31834586.25,95177
,ADFFOODS,EQ,       299.65,                  4514785.50,15041
,ADHUNIKIND,EQ,        44.75,                   247049.15,5600
,ADLABS,BE,         4.15,                   191044.65,47274
,ADORWELD,EQ,       339.70,                  2714702.45,7982
,ADROITINFO,BE,         5.70,                    71430.75,12521
,ADSL,BE,        20.15,                   255750.20,12795
,ADVANIHOTR,EQ,        54.70,                   398857.55,7345
,ADVENZYMES,EQ,       179.05,                  5060981.40,28235
,AEGISCHEM,EQ,       209.35,                 19702991.75,93993
,AFFLE,EQ,      1521.20,                118528098.75,77753
,AGARIND,EQ,        92.80,                   545407.20,5852
,AGCNET,EQ,       222.70,                 25662564.90,108785
,AGRITECH,EQ,        47.40,                   343508.75,7341
,AGROPHOS,EQ,        31.95,                    26230.95,821
,AHLADA,SM,        50.80,                    50800.00,1000
,AHLEAST,EQ,       181.45,                    52013.45,290
,AHLUCONT,EQ,       296.60,                  1048549.15,3589
,AHLWEST,EQ,       345.00,                   171309.85,492
,AIAENG,EQ,      1768.10,                185906594.95,105004
,AIONJSW,EQ,        14.70,                  4809240.65,330088
,AIRAN,EQ,        13.25,                   140064.20,10642
,AIROLAM,SM,        24.50,                    73500.00,3000
,AJANTPHARM,EQ,      1182.85,                 74023447.35,62642
,AJMERA,EQ,       146.70,                  5128904.20,34935
,AJOONI,SM,         7.60,                    30400.00,4000
,AKASH,BE,        82.00,                    42046.00,510
,AKG,SM,        33.50,                   402000.00,12000
,AKSHARCHEM,EQ,       247.65,                  1080482.60,4365
,AKSHOPTFBR,EQ,         9.15,                  3412890.95,368811
,AKZOINDIA,EQ,      2006.30,                 22814309.30,11341
,ALANKIT,EQ,        13.85,                  2117179.10,153987
,ALBERTDAVD,EQ,       462.75,                  3102790.75,6699
,ALBK,EQ,        18.60,                 10720761.45,576174
,ALCHEM,BE,         1.60,                    32352.10,19971
,ALEMBICLTD,EQ,        56.20,                  5122279.55,90645
,ALICON,EQ,       416.40,                   608806.05,1447
,ALKALI,EQ,        44.20,                   178780.55,4047
,ALKEM,EQ,      2329.70,                135878759.20,57972
,ALKYLAMINE,EQ,      1308.35,                 44278374.65,33548
,ALLCARGO,EQ,       104.00,                 18282748.25,176227
,ALLSEC,EQ,       320.05,                  3229079.45,10142
,ALMONDZ,EQ,        14.10,                    17256.65,1224
,ALOKTEXT,BE,         3.00,                  1656225.00,552075
,ALPA,EQ,        21.45,                  3649457.25,168684
,ALPHAGEO,EQ,       221.20,                  2369841.15,10666
,ALPSINDUS,BE,         1.35,                    21852.45,16187
,AMARAJABAT,EQ,       790.80,                766746315.10,964018
,AMBER,EQ,      1366.65,                 54533442.50,40035
,AMBIKCO,EQ,       863.60,                  7084576.95,8300
,AMDIND,EQ,        17.80,                  1924410.75,104174
,AMJLAND,EQ,        20.50,                   146161.10,7191
,AMJUMBO,SM,        12.10,                   290400.00,24000
,AMRUTANJAN,EQ,       476.65,                 11012954.95,23090
,ANANTRAJ,EQ,        36.85,                 12028579.90,326940
,ANDHRABANK,EQ,        16.95,                  6191515.95,364164
,ANDHRACEMT,EQ,         2.10,                   342891.35,165143
,ANDHRSUGAR,EQ,       341.95,                 10751036.30,31280
,ANDPAPER,EQ,       303.20,                  1578083.70,5211
,ANIKINDS,EQ,        11.80,                   439001.45,37619
,ANKITMETAL,BE,          .45,                    11424.05,25107
,ANSALAPI,EQ,         5.15,                   275794.80,52669
,ANSALHSG,BE,         5.50,                   156731.65,28560
,ANTGRAPHIC,BE,          .65,                    33333.60,55264
,ANUP,EQ,       571.65,                 21762918.50,37972
,APARINDS,EQ,       427.20,                 36390881.10,83823
,APCL,EQ,       160.30,                    54443.35,341
,APCOTEXIND,EQ,       162.85,                  4265370.90,26100
,APEX,EQ,       408.65,                100028533.90,244174
,APLAPOLLO,EQ,      2009.00,                 45380886.00,22550
,APLLTD,EQ,       588.80,                240662710.60,408209
,APOLLO,EQ,        78.50,                  1368409.90,17491
,APOLLOHOSP,EQ,      1686.90,               1273647657.90,764590
,APOLLOPIPE,EQ,       402.40,                  5155482.65,12880
,APOLLOTYRE,EQ,       175.15,                407184427.35,2318536
,APOLSINHOT,EQ,       740.00,                   784270.30,1060
,APTECHT,EQ,       182.75,                236855060.80,1281341
,ARCHIDPLY,EQ,        31.75,                   289880.60,9174
,ARCHIES,EQ,        18.40,                   402958.60,21595
,ARCOTECH,BE,         2.00,                    40684.05,20208
,ARENTERP,EQ,         9.90,                      990.00,100
,ARIES,EQ,        73.65,                  2035689.85,27703
,ARIHANT,EQ,        22.60,                   157222.50,7053
,ARIHANTSUP,EQ,        28.85,                   403427.35,13921
,ARMANFIN,EQ,       758.95,                  3773453.25,4929
,AROGRANITE,EQ,        41.00,                   101246.95,2494
,ARROWGREEN,EQ,        52.75,                   103689.90,1991
,ARROWTEX,BE,         9.95,                    35565.85,3669
,ARSHIYA,EQ,        16.65,                   204322.15,12107
,ARSSINFRA,EQ,        20.70,                   178594.10,8608
,ARVIND,EQ,        43.70,                 34130680.55,781690
,ARVINDFASN,EQ,       410.75,                  8325303.00,20152
,ARVSMART,EQ,        92.95,                   636456.25,6848
,ASAHIINDIA,EQ,       240.90,                  3541279.55,14705
,ASAHISONG,EQ,       159.20,                   455959.40,2864
,ASAL,EQ,        34.40,                   201617.30,5917
,ASCOM,SM,        32.50,                   130000.00,4000
,ASHAPURMIN,EQ,        33.15,                   440489.35,13149
,ASHIANA,EQ,       111.70,                  2948624.10,26205
,ASHIMASYN,EQ,         8.10,                   294329.25,35814
,ASHOKA,EQ,       114.85,                 49175173.35,430625
,ASIANHOTNR,EQ,        88.40,                   955527.10,10724
,ASIANTILES,EQ,       218.85,                  3294311.90,15159
,ASPINWALL,EQ,       153.80,                    31386.75,203
,ASTEC,EQ,       489.20,                  1801411.00,3708
,ASTERDM,EQ,       164.50,                 41857982.35,257843
,ASTRAL,EQ,      1099.40,                 86919364.35,79201
,ASTRAMICRO,EQ,        86.65,                 12722811.80,146349
,ASTRAZEN,EQ,      2534.50,                154984276.45,61138
,ASTRON,EQ,        38.55,                  3317270.15,86453
,ATFL,EQ,       679.60,                 18907472.35,27803
,ATLANTA,EQ,         6.25,                    18582.95,2963
,ATLASCYCLE,BE,        51.50,                   101744.95,1949
