,27-Jan-2020
The Nifty witnessed an intraday movement of about 109.6 points.The closing index was 1.06 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 34020.6
, Traded Quantity (in Lakhs), 14705.01
, Number of Trades, 11044233
, Total Market Capitalisation (Rs. Crores), 15788545.76

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     12248.25,     12197.10,     12216.60,     12107.00,     12119.00,-129.25
,NIFTY50 EQL Wgt,     12501.20,     12448.60,     12476.70,     12375.45,     12390.15,-111.05
,NIFTY100 EQL Wgt,     13671.50,     13611.30,     13673.30,     13535.70,     13556.05,-115.45
,NIFTY100 LowVol30,      9104.00,      9075.35,      9103.85,      9035.30,      9046.10,-57.9
,NIFTY Alpha 50,     13935.85,     13905.15,     14062.15,     13859.80,     13953.75,17.9
,NIFTY MIDCAP 150,      6742.45,      6726.30,      6794.10,      6716.65,      6732.30,-10.15
,NIFTY SMLCAP 50,      3086.05,      3080.65,      3102.05,      3075.65,      3087.20,1.15
,NIFTY SMLCAP 250,      5280.00,      5270.75,      5310.40,      5262.45,      5276.10,-3.9
,NIFTY MIDSML 400,      6219.80,      6206.15,      6262.30,      6198.40,      6211.95,-7.85
,NIFTY200 QUALTY30,     10164.35,     10145.35,     10189.30,     10112.35,     10125.45,-38.9
,Nifty IT,     16472.75,     16456.20,     16483.90,     16385.65,     16393.55,-79.2
,Nifty Next 50,     29153.75,     29058.75,     29259.50,     28895.00,     28960.75,-193
,Nifty Bank,     31241.75,     31110.55,     31227.05,     30808.55,     30837.40,-404.35
,NIFTY MIDCAP 100,     18357.20,     18307.70,     18495.90,     18261.40,     18291.35,-65.85
,Nifty 500,     10083.70,     10046.45,     10077.45,      9989.55,      9999.60,-84.1
,Nifty 100,     12386.95,     12336.75,     12363.15,     12249.45,     12262.65,-124.3
,Nifty Midcap 50,      5037.95,      5019.10,      5073.95,      5004.15,      5012.85,-25.1
,Nifty Realty,       328.65,       328.80,       332.40,       325.55,       326.80,-1.85
,Nifty Infra,      3385.95,      3369.35,      3391.70,      3352.15,      3357.45,-28.5
,Nifty Energy,     15674.65,     15642.40,     15671.75,     15458.45,     15489.25,-185.4
,Nifty FMCG,     31474.90,     31373.25,     31450.35,     31110.55,     31149.70,-325.2
,Nifty MNC,     14189.35,     14130.90,     14216.00,     14054.05,     14083.50,-105.85
,Nifty Pharma,      8294.05,      8270.05,      8471.80,      8240.10,      8416.35,122.3
,Nifty PSE,      3164.05,      3158.30,      3165.00,      3123.85,      3131.85,-32.2
,Nifty PSU Bank,      2446.30,      2417.50,      2425.45,      2387.65,      2391.25,-55.05
,Nifty Serv Sector,     17505.45,     17441.80,     17456.15,     17269.45,     17288.35,-217.1
,India VIX,15.5600,15.5600,17.3400,14.6825,17.1750,1.6150
,Nifty Auto,      8274.85,      8243.35,      8347.90,      8189.00,      8258.15,-16.7
,Nifty Metal,      2796.20,      2766.70,      2767.65,      2698.50,      2709.75,-86.45
,Nifty Media,      1889.90,      1886.50,      1904.45,      1875.85,      1882.45,-7.45
,NIFTY SMLCAP 100,      6345.05,      6332.80,      6381.90,      6324.05,      6346.65,1.6
,Nifty 200,      6358.10,      6333.30,      6351.15,      6292.00,      6298.90,-59.2
,Nifty Div Opps 50,      2573.40,      2566.70,      2567.55,      2548.10,      2551.55,-21.85
,Nifty Commodities,      3468.30,      3451.95,      3462.85,      3419.45,      3427.45,-40.85
,Nifty Consumption,      5168.15,      5153.90,      5183.35,      5131.35,      5139.90,-28.25
,Nifty Fin Service,     14420.40,     14355.15,     14400.10,     14213.05,     14234.70,-185.7
,Nifty50 Div Point,       120.55,       120.55,       120.55,       120.55,       120.55,0
,Nifty100 Liq 15,      3732.15,      3709.50,      3720.50,      3674.45,      3679.85,-52.3
,Nifty CPSE,      1816.40,      1814.45,      1814.55,      1790.00,      1796.00,-20.4
,Nifty GrowSect 15,      6366.85,      6331.65,      6333.60,      6280.40,      6284.70,-82.15
,Nifty50 PR 2x Lev,      5332.75,      5285.95,      5302.85,      5207.50,      5217.95,-114.8
,Nifty50 PR 1x Inv,       382.90,       384.65,       387.45,       384.05,       387.10,4.2
,Nifty50 TR 2x Lev,      6935.20,      6874.35,      6896.35,      6772.35,      6785.90,-149.3
,Nifty50 TR 1x Inv,       335.80,       337.35,       339.80,       336.80,       339.45,3.65
,Nifty50 Value 20,      5554.55,      5539.25,      5539.90,      5494.40,      5501.00,-53.55
,Nifty Mid Liq 15,      4399.95,      4389.55,      4437.55,      4373.30,      4381.55,-18.4
,Nifty Pvt Bank,     17202.20,     17145.10,     17229.80,     16994.35,     17009.60,-192.6
,NIFTY100 Qualty30,      2774.05,      2767.20,      2776.75,      2755.05,      2758.10,-15.95
,Nifty GS 8 13Yr,      2033.04,      2033.43,      2036.31,      2033.43,      2036.01,2.97
,Nifty GS 10Yr,      1872.69,      1873.02,      1877.84,      1873.02,      1876.03,3.34
,Nifty GS 10Yr Cln,       941.92,       941.92,       944.39,       941.92,       943.47,1.55
,Nifty GS 4 8Yr,      2159.71,      2160.12,      2162.08,      2160.12,      2162.05,2.34
,Nifty GS 11 15Yr,      2170.61,      2171.04,      2175.24,      2171.04,      2174.45,3.84
,Nifty GS 15YrPlus,      2345.69,      2346.15,      2350.33,      2346.15,      2349.44,3.75
,Nifty GS Compsite,      2068.51,      2068.90,      2071.64,      2068.90,      2071.48,2.97

,ADVANCES,761
,DECLINES,1100
,UNCHANGED,121

,Total securities that have hit their price bands today,375

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,ICICIBANK,EQ,       533.85,       537.25,0.64,2061.78
,DRREDDY,EQ,      3031.40,      3188.75,5.19,1300.13
,HDFCBANK,EQ,      1244.55,      1213.20,-2.52,1153.12
,RELIANCE,EQ,      1521.55,      1506.55,-0.99,926.28
,INDUSINDBK,EQ,      1316.10,      1271.20,-3.41,775.56
,SBIN,EQ,       324.05,       316.20,-2.42,743.16
,AXISBANK,EQ,       737.40,       740.25,0.39,680.21
,IBULHSGFIN,EQ,       322.60,       322.95,0.11,653.51
,WOCKPHARMA,EQ,       299.00,       351.30,17.49,615.1
,HDFC,EQ,      2450.75,      2395.80,-2.24,614.41
,TATASTEEL,EQ,       483.40,       462.45,-4.33,605
,BHARTIARTL,EQ,       524.25,       514.40,-1.88,602.86
,YESBANK,EQ,        42.80,        42.40,-0.93,573.32
,TATAMOTORS,EQ,       186.50,       182.20,-2.31,553.23
,ULTRACEMCO,EQ,      4642.75,      4676.95,0.74,497.05
,JINDALSTEL,EQ,       188.95,       178.70,-5.42,450.7
,JSWSTEEL,EQ,       271.90,       262.80,-3.35,449.32
,BANKBARODA,EQ,        95.60,        92.35,-3.4,413.24
,MARUTI,EQ,      7128.45,      7148.80,0.29,410.56
,LT,EQ,      1359.20,      1348.60,-0.78,339.97
,TCS,EQ,      2183.40,      2169.25,-0.65,336.62
,BAJFINANCE,EQ,      4194.50,      4164.35,-0.72,326.83
,KOTAKBANK,EQ,      1642.95,      1618.35,-1.5,303.25
,INFY,EQ,       782.75,       778.10,-0.59,291.12
,AUBANK,EQ,      1070.70,      1022.05,-4.54,288.21

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,DRREDDY,EQ,      3188.75,      3031.40,5.19
,M&M,EQ,       578.30,       567.75,1.86
,CIPLA,EQ,       464.45,       458.85,1.22
,EICHERMOT,EQ,     21095.20,     20930.80,.79
,ULTRACEMCO,EQ,      4676.95,      4642.75,.74

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,VEDL,EQ,       148.85,       155.90,-4.52
,TATASTEEL,EQ,       462.45,       483.40,-4.33
,HINDALCO,EQ,       198.25,       205.40,-3.48
,INDUSINDBK,EQ,      1271.20,      1316.10,-3.41
,JSWSTEEL,EQ,       262.80,       271.90,-3.35

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        36.15,                  1492411.85,40850
,21STCENMGM,EQ,        14.40,                    18482.90,1280
,3IINFOTECH,EQ,         2.30,                  5849034.75,2481868
,3MINDIA,EQ,     22306.45,                 56289594.75,2517
,3PLAND,EQ,         6.60,                     1980.00,300
,5PAISA,EQ,       192.30,                  2979046.70,15352
,63MOONS,EQ,       109.55,                 12144774.05,110340
,8KMILES,BZ,        30.80,                  1196584.05,39740
,A2ZINFRA,EQ,         7.20,                  2030236.25,275327
,AARON,SM,        48.95,                   161535.00,3300
,AARTIDRUGS,EQ,       619.10,                 11398609.30,18299
,AARTIIND,EQ,       857.75,                 68909385.30,80718
,AARVEEDEN,EQ,        14.40,                    85799.65,5979
,AAVAS,EQ,      1919.40,                226563603.20,117976
,ABAN,EQ,        26.25,                  1291116.55,48842
,ABB,EQ,      1339.60,                 61243790.05,45579
,ABBOTINDIA,EQ,     12666.30,                113511270.15,8959
,ABCAPITAL,EQ,       104.05,                135961037.05,1294553
,ABFRL,EQ,       234.25,                 63180070.65,268181
,ABINFRA,SM,        12.00,                   237200.00,20000
,ABSLBANETF,EQ,       309.00,                     1549.80,5
,ABSLNN50ET,EQ,       292.66,                    12376.27,42
,ABSLRIF6RG,MF,         7.80,                    86730.00,11500
,ACCELYA,EQ,      1047.95,                  2227737.05,2120
,ACE,EQ,        86.75,                 16697012.00,190143
,ADANIENT,EQ,       230.55,               1234387488.45,5293975
,ADANIGAS,EQ,       173.90,                467518004.10,2660162
,ADANIGREEN,EQ,       190.75,                169242095.35,881601
,ADANIPOWER,EQ,        64.70,                538980032.45,8398543
,ADANITRANS,EQ,       330.05,                 30582097.20,92228
,ADFFOODS,EQ,       295.20,                  5350269.90,18065
,ADHUNIKIND,EQ,        42.45,                  1057798.10,25121
,ADLABS,BE,         4.15,                   103085.00,24807
,ADORWELD,EQ,       326.60,                  1487193.15,4494
,ADROITINFO,BE,         6.20,                     2678.40,432
,ADSL,BE,        21.05,                   805564.25,38821
,ADVANIHOTR,EQ,        53.10,                   236087.95,4405
,ADVENZYMES,EQ,       176.60,                 18950100.20,106172
,AEGISCHEM,EQ,       210.90,                 47797262.25,227683
,AFFLE,EQ,      1602.25,                358474398.05,224742
,AGARIND,EQ,        86.45,                  4699939.50,53360
,AGCNET,EQ,       201.05,                  5716427.45,28345
,AGRITECH,EQ,        46.10,                   512460.80,10975
,AGROPHOS,EQ,        28.90,                    40373.30,1397
,AHLADA,SM,        53.75,                   107250.00,2000
,AHLEAST,EQ,       178.40,                   231784.45,1300
,AHLUCONT,EQ,       302.60,                  3091219.40,10216
,AHLWEST,EQ,       354.70,                  1086263.00,2982
,AIAENG,EQ,      1733.40,                 49765807.90,28595
,AIFL,BZ,         1.55,                    58068.90,38316
,AIONJSW,EQ,        14.75,                  2397944.15,159489
,AIRAN,EQ,        13.60,                   482718.05,34952
,AISL,SM,        25.95,                    31140.00,1200
,AJANTPHARM,EQ,      1176.10,                 85118715.35,71997
,AJMERA,EQ,       152.25,                 12532230.35,83054
,AJOONI,SM,         7.95,                    92600.00,12000
,AKASH,BE,        82.15,                   205892.50,2500
,AKG,SM,        33.50,                   268000.00,8000
,AKSHARCHEM,EQ,       246.40,                  1672665.10,6741
,AKSHOPTFBR,EQ,         8.40,                  4300920.15,510498
,AKZOINDIA,EQ,      2037.65,                 31254438.75,15463
,ALANKIT,EQ,        13.95,                  1508403.60,107652
,ALBERTDAVD,EQ,       520.15,                 78506432.55,149697
,ALBK,EQ,        18.50,                 13357263.45,717728
,ALCHEM,BE,         1.65,                    34148.55,20697
,ALEMBICLTD,EQ,        56.70,                  7743102.05,135490
,ALICON,EQ,       412.50,                  1177841.00,2812
,ALKALI,EQ,        45.65,                   452018.80,9872
,ALKEM,EQ,      2357.10,                158691317.90,67100
,ALKYLAMINE,EQ,      1313.00,                 32046198.90,24446
,ALLCARGO,EQ,       118.30,                168398420.00,1443922
,ALLSEC,EQ,       296.15,                  6517116.45,21606
,ALMONDZ,EQ,        15.25,                    32085.55,2090
,ALOKTEXT,BE,         3.30,                  7441691.05,2255230
,ALPA,EQ,        22.40,                  1143392.95,50664
,ALPHAGEO,EQ,       216.85,                  2120872.35,9633
,ALPSINDUS,BE,         1.25,                    27252.95,21181
,AMARAJABAT,EQ,       800.30,                524782288.90,649092
,AMBER,EQ,      1405.05,                 52119250.25,37482
,AMBIKCO,EQ,       872.85,                  6396139.85,7408
,AMDIND,EQ,        17.60,                   156901.40,8878
,AMJLAND,EQ,        21.00,                   269564.90,12819
,AMRUTANJAN,EQ,       454.80,                 32930810.75,70918
,ANANTRAJ,EQ,        36.05,                 14884325.65,405684
,ANDHRABANK,EQ,        16.90,                  5652374.60,332945
,ANDHRACEMT,EQ,         2.30,                   536468.35,235823
,ANDHRSUGAR,EQ,       336.40,                 11679387.70,34318
,ANDPAPER,EQ,       304.40,                  3556962.25,11513
,ANIKINDS,EQ,        10.90,                    53168.10,4842
,ANKITMETAL,BE,          .40,                     8109.70,19730
,ANSALAPI,EQ,         5.15,                   238899.85,46267
,ANSALHSG,BE,         5.70,                    94988.80,16639
,ANTGRAPHIC,BE,          .65,                    14992.20,24262
,ANUP,EQ,       577.55,                 15642318.45,26804
,APARINDS,EQ,       407.75,                 15796554.40,38214
,APCL,EQ,       162.80,                  1319800.10,8155
,APCOTEXIND,EQ,       160.50,                 37059022.35,227211
,APEX,EQ,       389.25,                 81304850.80,206300
,APLAPOLLO,EQ,      2069.40,                484258856.80,225029
