,28-Jan-2020
The Nifty witnessed an intraday movement of about 139.05 points.The closing index was 0.52 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 38704
, Traded Quantity (in Lakhs), 17250.08
, Number of Trades, 12742708
, Total Market Capitalisation (Rs. Crores), 15706032.54

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     12119.00,     12148.10,     12163.55,     12024.50,     12055.80,-63.2
,NIFTY50 EQL Wgt,     12390.15,     12411.70,     12411.70,     12251.25,     12287.10,-103.05
,NIFTY100 EQL Wgt,     13556.05,     13586.75,     13611.30,     13438.65,     13467.40,-88.65
,NIFTY100 LowVol30,      9046.10,      9064.80,      9064.80,      8986.25,      9000.35,-45.75
,NIFTY Alpha 50,     13953.75,     13997.20,     14079.40,     13908.75,     13959.65,5.9
,NIFTY MIDCAP 150,      6732.30,      6741.55,      6763.30,      6703.25,      6721.15,-11.15
,NIFTY SMLCAP 50,      3087.20,      3101.35,      3114.00,      3069.70,      3083.05,-4.15
,NIFTY SMLCAP 250,      5276.10,      5297.80,      5314.65,      5245.50,      5263.95,-12.15
,NIFTY MIDSML 400,      6211.95,      6225.80,      6245.40,      6182.60,      6200.40,-11.55
,NIFTY200 QUALTY30,     10125.45,     10144.85,     10145.25,     10039.75,     10058.30,-67.15
,Nifty IT,     16393.55,     16442.85,     16448.05,     16320.60,     16429.75,36.2
,Nifty Next 50,     28960.75,     29034.75,     29144.10,     28846.95,     28888.75,-72
,Nifty Bank,     30837.40,     30922.00,     31048.45,     30656.35,     30761.40,-76
,NIFTY MIDCAP 100,     18291.35,     18308.75,     18373.90,     18176.00,     18232.40,-58.95
,Nifty 500,      9999.60,     10023.50,     10041.05,      9934.20,      9956.95,-42.65
,Nifty 100,     12262.65,     12292.40,     12311.00,     12175.80,     12203.20,-59.45
,Nifty Midcap 50,      5012.85,      5018.05,      5037.55,      4977.20,      4994.70,-18.15
,Nifty Realty,       326.80,       326.80,       329.25,       325.20,       326.95,.15
,Nifty Infra,      3357.45,      3363.15,      3365.25,      3308.35,      3317.65,-39.8
,Nifty Energy,     15489.25,     15526.90,     15529.70,     15309.60,     15363.35,-125.9
,Nifty FMCG,     31149.70,     31210.55,     31234.10,     31007.20,     31027.05,-122.65
,Nifty MNC,     14083.50,     14130.55,     14155.40,     14020.05,     14032.35,-51.15
,Nifty Pharma,      8416.35,      8427.80,      8513.15,      8395.65,      8420.25,3.9
,Nifty PSE,      3131.85,      3140.40,      3140.80,      3102.30,      3118.45,-13.4
,Nifty PSU Bank,      2391.25,      2400.00,      2409.40,      2354.70,      2370.65,-20.6
,Nifty Serv Sector,     17288.35,     17339.00,     17390.00,     17229.70,     17283.40,-4.95
,India VIX,17.1750,17.1750,17.6150,16.9575,17.2975,0.1225
,Nifty Auto,      8258.15,      8290.10,      8340.45,      8125.90,      8156.05,-102.1
,Nifty Metal,      2709.75,      2705.75,      2706.95,      2625.20,      2642.25,-67.5
,Nifty Media,      1882.45,      1884.10,      1893.90,      1854.35,      1861.00,-21.45
,NIFTY SMLCAP 100,      6346.65,      6369.25,      6401.10,      6311.40,      6337.90,-8.75
,Nifty 200,      6298.90,      6313.10,      6323.90,      6255.15,      6269.50,-29.4
,Nifty Div Opps 50,      2551.55,      2555.95,      2556.65,      2537.25,      2543.10,-8.45
,Nifty Commodities,      3427.45,      3431.10,      3434.20,      3382.40,      3394.20,-33.25
,Nifty Consumption,      5139.90,      5151.70,      5152.30,      5075.60,      5082.60,-57.3
,Nifty Fin Service,     14234.70,     14278.65,     14394.35,     14227.85,     14273.10,38.4
,Nifty50 Div Point,       120.55,       120.55,       120.55,       120.55,       120.55,0
,Nifty100 Liq 15,      3679.85,      3686.10,      3701.15,      3632.05,      3648.05,-31.8
,Nifty CPSE,      1796.00,      1799.25,      1799.25,      1769.00,      1773.70,-22.3
,Nifty GrowSect 15,      6284.70,      6300.65,      6330.70,      6271.50,      6285.70,1
,Nifty50 PR 2x Lev,      5217.95,      5242.25,      5255.00,      5137.00,      5162.80,-55.15
,Nifty50 PR 1x Inv,       387.10,       386.20,       390.10,       385.75,       389.15,2.05
,Nifty50 TR 2x Lev,      6785.90,      6817.55,      6834.10,      6680.60,      6714.20,-71.7
,Nifty50 TR 1x Inv,       339.45,       338.70,       342.15,       338.30,       341.30,1.85
,Nifty50 Value 20,      5501.00,      5510.35,      5510.40,      5460.15,      5478.65,-22.35
,Nifty Mid Liq 15,      4381.55,      4384.85,      4409.80,      4351.05,      4362.80,-18.75
,Nifty Pvt Bank,     17009.60,     17048.45,     17121.10,     16914.65,     16966.10,-43.5
,NIFTY100 Qualty30,      2758.10,      2764.15,      2764.15,      2735.55,      2740.50,-17.6
,Nifty GS 8 13Yr,      2036.16,      2036.54,      2036.72,      2032.67,      2034.04,-2.12
,Nifty GS 10Yr,      1876.45,      1876.78,      1877.24,      1872.98,      1875.39,-1.06
,Nifty GS 10Yr Cln,       943.68,       943.68,       943.92,       941.73,       942.97,-.71
,Nifty GS 4 8Yr,      2161.87,      2162.28,      2162.28,      2158.86,      2160.48,-1.39
,Nifty GS 11 15Yr,      2174.04,      2174.47,      2174.78,      2169.23,      2170.97,-3.07
,Nifty GS 15YrPlus,      2351.66,      2352.13,      2352.13,      2350.65,      2350.65,-1.01
,Nifty GS Compsite,      2071.29,      2071.69,      2071.86,      2068.06,      2069.66,-1.63

,ADVANCES,619
,DECLINES,1234
,UNCHANGED,108

,Total securities that have hit their price bands today,345

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,RELIANCE,EQ,      1506.55,      1471.75,-2.31,1666.4
,MCDOWELL-N,EQ,       575.70,       655.90,13.93,1646.9
,HDFC,EQ,      2395.80,      2431.60,1.49,1637.06
,BHARTIARTL,EQ,       514.40,       491.25,-4.5,1543.23
,ICICIBANK,EQ,       537.25,       528.20,-1.68,1281.66
,MARUTI,EQ,      7148.80,      6997.05,-2.12,1142.45
,INDIGO,EQ,      1495.75,      1453.75,-2.81,923.72
,SBIN,EQ,       316.20,       315.10,-0.35,838.8
,HDFCBANK,EQ,      1213.20,      1223.20,0.82,819.06
,TATASTEEL,EQ,       462.45,       446.25,-3.5,813.48
,INDUSINDBK,EQ,      1271.20,      1254.75,-1.29,772.3
,DRREDDY,EQ,      3188.75,      3189.15,0.01,739.72
,TATAMOTORS,EQ,       182.20,       176.10,-3.35,687.64
,IBULHSGFIN,EQ,       322.95,       320.20,-0.85,624.98
,AXISBANK,EQ,       740.25,       737.15,-0.42,581.18
,WOCKPHARMA,EQ,       351.30,       343.85,-2.12,543.51
,YESBANK,EQ,        42.40,        41.65,-1.77,448.9
,BAJFINANCE,EQ,      4164.35,      4213.00,1.17,443.68
,SUNPHARMA,EQ,       448.40,       452.90,1,433.58
,INFY,EQ,       778.10,       778.00,-0.01,397.38
,TCS,EQ,      2169.25,      2183.75,0.67,378.15
,BPCL,EQ,       467.75,       480.95,2.82,363.67
,TORNTPHARM,EQ,      2027.15,      1916.40,-5.46,346.11
,JINDALSTEL,EQ,       178.70,       175.50,-1.79,342.07
,ITC,EQ,       234.60,       230.75,-1.64,338.9

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,BPCL,EQ,       480.95,       467.75,2.82
,HDFC,EQ,      2431.60,      2395.80,1.49
,BAJFINANCE,EQ,      4213.00,      4164.35,1.17
,SUNPHARMA,EQ,       452.90,       448.40,1
,HDFCBANK,EQ,      1223.20,      1213.20,.82

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,BHARTIARTL,EQ,       491.25,       514.40,-4.5
,VEDL,EQ,       142.20,       148.85,-4.47
,TATASTEEL,EQ,       446.25,       462.45,-3.5
,TATAMOTORS,EQ,       176.10,       182.20,-3.35
,JSWSTEEL,EQ,       255.25,       262.80,-2.87

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        36.00,                  1514450.70,41787
,21STCENMGM,EQ,        14.65,                     2587.55,181
,3IINFOTECH,EQ,         2.30,                  4593827.90,1986375
,3MINDIA,EQ,     22264.65,                 33104221.65,1484
,3PLAND,EQ,         6.80,                     1838.20,267
,5PAISA,EQ,       192.20,                  2332006.00,12050
,63MOONS,EQ,       107.15,                 14778977.90,136196
,763GS2059,GS,        96.01,                     9601.00,100
,A2ZINFRA,EQ,         7.05,                   990488.75,138512
,AAKASH,SM,        64.60,                  4413200.00,64000
,AARON,SM,        49.75,                   164175.00,3300
,AARTIDRUGS,EQ,       608.25,                  6704925.55,10955
,AARTIIND,EQ,       902.35,                324940394.90,364865
,AARVEEDEN,EQ,        14.20,                    43214.25,3046
,AAVAS,EQ,      1944.60,                 46328433.95,23864
,ABAN,EQ,        25.80,                   672683.95,25736
,ABB,EQ,      1329.75,                 25186395.15,18818
,ABBOTINDIA,EQ,     12653.55,                 84447969.40,6664
,ABCAPITAL,EQ,       102.75,                122092150.10,1178385
,ABFRL,EQ,       228.70,                 83570968.55,363061
,ABMINTLTD,BE,        14.75,                      811.25,55
,ABSLBANETF,EQ,       305.95,                      305.95,1
,ABSLNN50ET,EQ,       292.00,                     1168.00,4
,ACCELYA,EQ,      1067.10,                  5203858.60,4881
,ACE,EQ,        86.35,                 19717007.10,224742
,ADANIENT,EQ,       229.90,                500970683.80,2161711
,ADANIGAS,EQ,       170.15,                163140155.45,946344
,ADANIGREEN,EQ,       187.65,                182667974.90,957274
,ADANIPOWER,EQ,        63.80,                480391960.25,7444387
,ADANITRANS,EQ,       324.65,                 35995756.10,110037
,ADFFOODS,EQ,       294.75,                  6763030.90,22874
,ADHUNIKIND,EQ,        40.35,                   757882.90,18678
,ADLABS,BE,         3.95,                   211095.70,52332
,ADORWELD,EQ,       324.00,                   878227.85,2676
,ADSL,BE,        22.10,                  1486522.70,67287
,ADVANIHOTR,EQ,        54.80,                   695869.75,12776
,ADVENZYMES,EQ,       173.45,                  8877134.75,50575
,AEGISCHEM,EQ,       208.55,                114289848.25,538588
,AFFLE,EQ,      1604.10,                168368269.65,105093
,AGARIND,EQ,        82.35,                  3168986.80,37758
,AGCNET,EQ,       211.10,                  2714033.60,13408
,AGRITECH,EQ,        45.15,                   326357.85,7114
,AGROPHOS,EQ,        27.50,                    50682.50,1843
,AHLADA,SM,        51.50,                   213300.00,4000
,AHLEAST,EQ,       177.50,                    29980.95,168
,AHLUCONT,EQ,       313.05,                  2935505.75,9429
,AHLWEST,EQ,       347.05,                   876078.40,2505
,AIAENG,EQ,      1728.90,                 40366785.90,23443
,AIONJSW,EQ,        14.50,                  3523839.00,236792
,AIRAN,EQ,        13.90,                   380041.45,27361
,AIROLAM,SM,        25.10,                    75300.00,3000
,AISL,SM,        27.20,                    32640.00,1200
,AJANTPHARM,EQ,      1163.00,                 54965904.65,46875
,AJMERA,EQ,       147.25,                  4523907.30,30172
,AJOONI,SM,         8.30,                   132800.00,16000
,AKASH,BE,        85.90,                    36040.00,420
,AKSHARCHEM,EQ,       248.80,                  1046604.85,4192
,AKSHOPTFBR,EQ,         8.10,                  1670515.60,201160
,AKZOINDIA,EQ,      2045.55,                143128153.95,69900
,ALANKIT,EQ,        14.30,                  1631649.95,115439
