,01-Feb-2020
The Nifty witnessed an intraday movement of about 384.05 points.The closing index was 2.51 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 37649.08
, Traded Quantity (in Lakhs), 15682.03
, Number of Trades, 12201162
, Total Market Capitalisation (Rs. Crores), 15169886.93

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     11962.10,     11939.00,     12017.35,     11633.30,     11661.85,-300.25
,NIFTY50 EQL Wgt,     12132.50,     12111.00,     12193.25,     11807.65,     11841.05,-291.45
,NIFTY100 EQL Wgt,     13225.10,     13211.60,     13334.55,     12796.30,     12847.35,-377.75
,NIFTY100 LowVol30,      8896.55,      8892.40,      8943.95,      8698.95,      8724.85,-171.7
,NIFTY Alpha 50,     13893.50,     13891.65,     14026.50,     13442.80,     13481.10,-412.4
,NIFTY MIDCAP 150,      6661.75,      6649.65,      6703.90,      6488.30,      6503.30,-158.45
,NIFTY SMLCAP 50,      3019.95,      3014.75,      3052.10,      2921.50,      2934.05,-85.9
,NIFTY SMLCAP 250,      5200.75,      5196.75,      5240.85,      5058.95,      5069.95,-130.8
,NIFTY MIDSML 400,      6139.40,      6130.25,      6180.55,      5978.45,      5990.75,-148.65
,NIFTY200 QUALTY30,      9904.45,      9907.45,      9980.65,      9738.15,      9766.10,-138.35
,Nifty IT,     16144.15,     16138.60,     16319.75,     15968.50,     16282.65,138.5
,Nifty Next 50,     28294.60,     28283.10,     28617.90,     27215.60,     27340.50,-954.1
,Nifty Bank,     30833.60,     30726.20,     30918.60,     29753.00,     29820.90,-1012.7
,NIFTY MIDCAP 100,     18010.20,     17968.25,     18132.55,     17474.65,     17520.55,-489.65
,Nifty 500,      9861.45,      9844.90,      9918.35,      9582.85,      9606.05,-255.4
,Nifty 100,     12086.90,     12066.05,     12153.85,     11738.45,     11768.90,-318
,Nifty Midcap 50,      4915.70,      4905.45,      4954.75,      4742.95,      4762.60,-153.1
,Nifty Realty,       331.05,       329.70,       336.35,       302.90,       305.00,-26.05
,Nifty Infra,      3252.00,      3246.90,      3275.35,      3143.30,      3155.30,-96.7
,Nifty Energy,     14838.80,     14820.00,     14885.55,     14351.30,     14426.35,-412.45
,Nifty FMCG,     30775.30,     30865.05,     31140.00,     30016.40,     30196.65,-578.65
,Nifty MNC,     13760.30,     13745.05,     13910.05,     13561.80,     13636.85,-123.45
,Nifty Pharma,      8138.60,      8129.30,      8209.85,      7975.90,      8013.75,-124.85
,Nifty PSE,      3013.45,      3013.35,      3016.40,      2879.65,      2898.80,-114.65
,Nifty PSU Bank,      2366.05,      2365.95,      2388.20,      2261.90,      2277.95,-88.1
,Nifty Serv Sector,     17219.60,     17177.10,     17267.40,     16747.10,     16778.40,-441.2
,India VIX,17.3675,17.3675,17.9300,16.0325,16.8350,-0.5325
,Nifty Auto,      8086.55,      8069.75,      8200.25,      7833.10,      7880.30,-206.25
,Nifty Metal,      2569.00,      2557.40,      2575.90,      2460.00,      2480.55,-88.45
,Nifty Media,      1835.30,      1828.55,      1828.55,      1750.35,      1755.90,-79.4
,NIFTY SMLCAP 100,      6226.05,      6216.95,      6283.85,      6039.85,      6057.05,-169
,Nifty 200,      6207.85,      6196.75,      6243.00,      6028.50,      6043.95,-163.9
,Nifty Div Opps 50,      2501.15,      2502.80,      2512.40,      2450.50,      2458.75,-42.4
,Nifty Commodities,      3291.70,      3284.30,      3308.75,      3167.75,      3183.65,-108.05
,Nifty Consumption,      5062.25,      5061.55,      5111.00,      4953.85,      4970.20,-92.05
,Nifty Fin Service,     14316.90,     14272.30,     14378.65,     13724.75,     13758.85,-558.05
,Nifty50 Div Point,       120.55,       120.55,       120.55,       120.55,       120.55,0
,Nifty100 Liq 15,      3620.15,      3610.10,      3651.60,      3481.50,      3499.60,-120.55
,Nifty CPSE,      1706.20,      1704.95,      1704.95,      1622.20,      1638.15,-68.05
,Nifty GrowSect 15,      6321.45,      6316.85,      6365.40,      6111.30,      6127.60,-193.85
,Nifty50 PR 2x Lev,      5080.05,      5059.75,      5125.70,      4800.45,      4824.35,-255.7
,Nifty50 PR 1x Inv,       392.30,       393.10,       403.10,       390.55,       402.20,9.9
,Nifty50 TR 2x Lev,      6606.60,      6580.20,      6665.95,      6243.00,      6274.05,-332.55
,Nifty50 TR 1x Inv,       344.05,       344.75,       353.55,       342.55,       352.75,8.7
,Nifty50 Value 20,      5371.00,      5372.40,      5393.55,      5329.20,      5355.65,-15.35
,Nifty Mid Liq 15,      4312.40,      4309.05,      4357.85,      4183.10,      4202.80,-109.6
,Nifty Pvt Bank,     16936.35,     16876.60,     16986.90,     16380.45,     16419.70,-516.65
,NIFTY100 Qualty30,      2708.15,      2707.60,      2728.85,      2657.15,      2665.20,-42.95
,Nifty GS 8 13Yr,      2030.57,      2030.95,      2030.95,      2030.95,      2030.95,.38
,Nifty GS 10Yr,      1872.27,      1872.60,      1872.60,      1872.60,      1872.60,.33
,Nifty GS 10Yr Cln,       940.68,       940.68,       940.68,       940.68,       940.68,0
,Nifty GS 4 8Yr,      2158.81,      2159.22,      2159.22,      2159.22,      2159.22,.41
,Nifty GS 11 15Yr,      2168.09,      2168.51,      2168.51,      2168.51,      2168.51,.42
,Nifty GS 15YrPlus,      2357.92,      2358.38,      2358.38,      2358.38,      2358.38,.46
,Nifty GS Compsite,      2067.64,      2068.03,      2068.03,      2068.03,      2068.03,.39

,ADVANCES,371
,DECLINES,1426
,UNCHANGED,88

,Total securities that have hit their price bands today,369

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,SBIN,EQ,       318.45,       302.60,-4.98,1936.74
,RELIANCE,EQ,      1411.65,      1383.35,-2,1546.39
,IRCTC,EQ,      1210.30,      1190.35,-1.65,1458.45
,LT,EQ,      1369.30,      1287.40,-5.98,1103.36
,MARUTI,EQ,      6913.50,      6812.65,-1.46,980.45
,ITC,EQ,       235.15,       219.00,-6.87,958.74
,BAJFINANCE,EQ,      4365.90,      4276.05,-2.06,933.65
,HDFC,EQ,      2414.00,      2268.25,-6.04,909.25
,IBULHSGFIN,EQ,       306.40,       278.30,-9.17,770.22
,TATAMOTORS,EQ,       176.60,       165.60,-6.23,731.57
,TCS,EQ,      2079.05,      2164.85,4.13,707
,BAJAJFINSV,EQ,      9441.40,      8947.40,-5.23,655
,LICHSGFIN,EQ,       437.70,       402.30,-8.09,623.99
,ICICIBANK,EQ,       525.65,       504.60,-4,608.99
,HDFCBANK,EQ,      1226.30,      1198.70,-2.25,594.65
,TATASTEEL,EQ,       438.70,       423.80,-3.4,556.86
,HINDUNILVR,EQ,      2034.25,      2074.90,2,553.01
,AXISBANK,EQ,       729.30,       705.45,-3.27,526.38
,DLF,EQ,       260.45,       228.90,-12.11,522.73
,TECHM,EQ,       796.60,       807.55,1.37,513.58
,ICICIPRULI,EQ,       510.95,       451.35,-11.66,500.99
,HDFCLIFE,EQ,       599.20,       562.40,-6.14,446.84
,INDUSINDBK,EQ,      1258.85,      1211.10,-3.79,435.53
,POWERGRID,EQ,       186.85,       182.40,-2.38,423.68
,COALINDIA,EQ,       181.70,       173.50,-4.51,412.37

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,TCS,EQ,      2164.85,      2079.05,4.13
,HINDUNILVR,EQ,      2074.90,      2034.25,2
,TECHM,EQ,       807.55,       796.60,1.37
,NESTLEIND,EQ,     15524.75,     15359.45,1.08
,INFY,EQ,       779.50,       775.95,.46

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,ITC,EQ,       219.00,       235.15,-6.87
,TATAMOTORS,EQ,       165.60,       176.60,-6.23
,HDFC,EQ,      2268.25,      2414.00,-6.04
,ZEEL,EQ,       252.95,       269.15,-6.02
,LT,EQ,      1287.40,      1369.30,-5.98

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        33.75,                   813040.80,23771
,21STCENMGM,EQ,        14.30,                       14.30,1
,3IINFOTECH,EQ,         2.20,                  2639463.30,1186339
,3MINDIA,EQ,     22261.60,                135496251.35,5917
,3PLAND,EQ,         7.25,                    43732.00,6032
,5PAISA,EQ,       180.20,                  2413409.40,13031
,63MOONS,EQ,       102.15,                  6963680.55,67415
,74GS2035,GS,       104.21,                     4908.21,49
,A2ZINFRA,EQ,         6.95,                  2344739.55,321269
,AARTIDRUGS,EQ,       597.15,                 10276379.40,16924
,AARTIIND,EQ,       965.60,                352619129.25,352695
,AARVEEDEN,EQ,        13.45,                    43733.40,3220
,AARVI,SM,        25.65,                   103300.00,4000
,AAVAS,EQ,      1993.30,                108536475.50,54138
,ABAN,EQ,        24.80,                  1043146.05,40883
,ABB,EQ,      1281.25,                 27124602.30,20836
,ABBOTINDIA,EQ,     12319.30,                 33459276.70,2691
,ABCAPITAL,EQ,        95.05,                233158663.50,2365409
,ABFRL,EQ,       232.65,                 59992424.95,259370
,ABINFRA,SM,        11.85,                   134200.00,12000
,ABSLBANETF,EQ,       299.67,                    10304.07,34
,ABSLFTSGRN,MF,        10.07,                    10070.00,1000
,ABSLNN50ET,EQ,       275.90,                    79411.43,279
,ABSLRIF6RG,MF,         7.16,                    68983.76,9636
,ACCELYA,EQ,      1027.45,                  4108252.65,3968
,ACE,EQ,        80.40,                 25860788.15,304140
,ADANIENT,EQ,       222.80,                691681169.10,3046388
,ADANIGAS,EQ,       165.20,                208593995.70,1240435
,ADANIGREEN,EQ,       186.85,                313877185.75,1631445
,ADANIPOWER,EQ,        59.85,                370504993.50,6088733
,ADANITRANS,EQ,       332.20,                 81430511.25,240341
,ADFFOODS,EQ,       286.50,                  9405689.70,31888
,ADHUNIKIND,EQ,        39.45,                    77887.70,1996
,ADLABS,BE,         3.80,                    89261.30,23203
,ADORWELD,EQ,       302.20,                   767780.15,2497
,ADROITINFO,BE,         6.60,                     6587.10,1000
,ADSL,BE,        22.25,                   434596.85,19127
,ADVANIHOTR,EQ,        53.05,                   188093.95,3463
,ADVENZYMES,EQ,       165.05,                  5138651.90,30790
,AEGISCHEM,EQ,       216.30,                143474508.50,661399
,AFFLE,EQ,      1686.25,                281827457.05,168439
,AGARIND,EQ,        84.70,                   240926.85,2754
,AGCNET,EQ,       251.90,                  6443187.85,25543
,AGRITECH,EQ,        45.70,                  3525041.65,74042
,AGROPHOS,EQ,        22.50,                   149287.50,6635
,AHLADA,SM,        53.35,                   167050.00,3000
,AHLEAST,EQ,       178.15,                   228842.15,1281
,AHLUCONT,EQ,       338.20,                  5554799.10,16423
,AHLWEST,EQ,       333.15,                  1289134.45,3738
,AIAENG,EQ,      1818.60,                 44146293.10,24570
,AIONJSW,EQ,        13.90,                   837759.75,60045
,AIRAN,EQ,        13.50,                    81502.30,6036
,AJANTPHARM,EQ,      1129.90,                 50585253.20,44923
,AJMERA,EQ,       129.65,                 11424434.40,82479
,AKASH,BE,        88.90,                    17906.00,206
,AKSHARCHEM,EQ,       225.15,                  1094159.75,4748
,AKSHOPTFBR,EQ,         7.70,                  1439019.35,181532
,AKZOINDIA,EQ,      2029.25,                 29002427.15,14280
,ALANKIT,EQ,        14.90,                  1865243.50,124935
