,03-Feb-2020
The Nifty witnessed an intraday movement of about 135.35 points.The closing index was 0.39 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 43448.8
, Traded Quantity (in Lakhs), 16824.41
, Number of Trades, 15095768
, Total Market Capitalisation (Rs. Crores), 15238996.03

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     11661.85,     11627.45,     11749.85,     11614.50,     11707.90,46.05
,NIFTY50 EQL Wgt,     11841.05,     11817.75,     11965.10,     11786.00,     11924.95,83.9
,NIFTY100 EQL Wgt,     12847.35,     12821.00,     12972.05,     12780.20,     12918.35,71
,NIFTY100 LowVol30,      8724.85,      8712.95,      8860.10,      8709.60,      8837.65,112.8
,NIFTY Alpha 50,     13481.10,     13428.75,     13738.20,     13428.60,     13692.85,211.75
,NIFTY MIDCAP 150,      6503.30,      6485.95,      6588.20,      6464.45,      6559.65,56.35
,NIFTY SMLCAP 50,      2934.05,      2925.60,      2938.70,      2896.60,      2919.10,-14.95
,NIFTY SMLCAP 250,      5069.95,      5045.05,      5088.35,      5015.40,      5066.05,-3.9
,NIFTY MIDSML 400,      5990.75,      5970.55,      6047.85,      5946.15,      6025.00,34.25
,NIFTY200 QUALTY30,      9766.10,      9749.00,      9943.35,      9746.95,      9886.40,120.3
,Nifty IT,     16282.65,     16282.00,     16418.90,     16034.30,     16059.90,-222.75
,Nifty Next 50,     27340.50,     27302.10,     27672.45,     27193.85,     27534.70,194.2
,Nifty Bank,     29820.90,     29811.75,     30105.80,     29612.55,     30023.25,202.35
,NIFTY MIDCAP 100,     17520.55,     17478.60,     17786.40,     17404.30,     17708.35,187.8
,Nifty 500,      9606.05,      9578.50,      9682.65,      9559.85,      9650.55,44.5
,Nifty 100,     11768.90,     11736.60,     11864.30,     11719.25,     11820.30,51.4
,Nifty Midcap 50,      4762.60,      4755.25,      4858.85,      4738.05,      4837.10,74.5
,Nifty Realty,       305.00,       303.50,       312.55,       298.70,       310.00,5
,Nifty Infra,      3155.30,      3145.90,      3194.85,      3138.70,      3183.00,27.7
,Nifty Energy,     14426.35,     14374.55,     14602.30,     14271.85,     14499.75,73.4
,Nifty FMCG,     30196.65,     30049.30,     30702.95,     29833.05,     30435.30,238.65
,Nifty MNC,     13636.85,     13627.75,     13987.75,     13621.00,     13958.00,321.15
,Nifty Pharma,      8013.75,      8020.95,      8122.00,      7944.90,      7967.55,-46.2
,Nifty PSE,      2898.80,      2896.35,      2938.90,      2860.00,      2918.00,19.2
,Nifty PSU Bank,      2277.95,      2273.35,      2286.65,      2215.65,      2221.85,-56.1
,Nifty Serv Sector,     16778.40,     16746.80,     16907.10,     16698.20,     16798.70,20.3
,India VIX,16.8350,16.8350,17.0300,15.4825,15.7825,-1.0525
,Nifty Auto,      7880.30,      7826.00,      8016.80,      7816.35,      7988.35,108.05
,Nifty Metal,      2480.55,      2475.45,      2522.70,      2458.45,      2510.95,30.4
,Nifty Media,      1755.90,      1760.55,      1787.85,      1757.05,      1779.20,23.3
,NIFTY SMLCAP 100,      6057.05,      6032.00,      6070.20,      5984.60,      6040.00,-17.05
,Nifty 200,      6043.95,      6027.60,      6094.20,      6017.00,      6074.65,30.7
,Nifty Div Opps 50,      2458.75,      2452.90,      2476.85,      2438.75,      2453.95,-4.8
,Nifty Commodities,      3183.65,      3182.60,      3244.80,      3165.95,      3232.05,48.4
,Nifty Consumption,      4970.20,      4958.95,      5080.60,      4956.80,      5067.85,97.65
,Nifty Fin Service,     13758.85,     13719.65,     13877.30,     13647.60,     13822.30,63.45
,Nifty50 Div Point,       120.55,       120.55,       120.55,       120.55,       120.55,0
,Nifty100 Liq 15,      3499.60,      3495.75,      3542.05,      3487.25,      3522.35,22.75
,Nifty CPSE,      1638.15,      1638.00,      1664.50,      1605.80,      1653.75,15.6
,Nifty GrowSect 15,      6127.60,      6101.25,      6189.50,      6083.15,      6172.75,45.15
,Nifty50 PR 2x Lev,      4824.35,      4794.55,      4895.80,      4784.90,      4861.10,36.75
,Nifty50 PR 1x Inv,       402.20,       403.50,       403.90,       399.30,       400.70,-1.5
,Nifty50 TR 2x Lev,      6274.05,      6235.30,      6367.00,      6222.70,      6321.85,47.8
,Nifty50 TR 1x Inv,       352.75,       353.90,       354.25,       350.20,       351.45,-1.3
,Nifty50 Value 20,      5355.65,      5350.70,      5424.80,      5342.80,      5372.30,16.65
,Nifty Mid Liq 15,      4202.80,      4186.90,      4271.05,      4161.35,      4243.55,40.75
,Nifty Pvt Bank,     16419.70,     16419.80,     16653.40,     16326.90,     16605.15,185.45
,NIFTY100 Qualty30,      2665.20,      2660.35,      2711.40,      2659.75,      2698.75,33.55
,Nifty GS 8 13Yr,      2030.57,      2030.95,      2046.22,      2030.95,      2046.05,15.48
,Nifty GS 10Yr,      1872.27,      1872.60,      1886.27,      1872.60,      1884.70,12.43
,Nifty GS 10Yr Cln,       940.68,       940.68,       947.70,       940.68,       946.89,6.21
,Nifty GS 4 8Yr,      2158.81,      2159.22,      2172.19,      2159.22,      2171.67,12.86
,Nifty GS 11 15Yr,      2168.09,      2168.51,      2190.37,      2168.51,      2190.34,22.25
,Nifty GS 15YrPlus,      2357.92,      2358.38,      2364.11,      2358.38,      2363.81,5.89
,Nifty GS Compsite,      2067.64,      2068.03,      2082.23,      2068.03,      2081.74,14.1

,ADVANCES,710
,DECLINES,1151
,UNCHANGED,115

,Total securities that have hit their price bands today,390

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,RELIANCE,EQ,      1383.35,      1385.50,0.16,1938.69
,SBIN,EQ,       302.60,       298.10,-1.49,1685.29
,ITC,EQ,       219.00,       207.60,-5.21,1670.89
,HDFC,EQ,      2268.25,      2259.75,-0.37,1183.75
,ICICIBANK,EQ,       504.60,       515.55,2.17,1158.16
,TATAMOTORS,EQ,       165.60,       163.85,-1.06,1091.13
,TCS,EQ,      2164.85,      2102.50,-2.88,1010.09
,INDUSINDBK,EQ,      1211.10,      1263.10,4.29,958.37
,IBULHSGFIN,EQ,       278.30,       256.60,-7.8,885.4
,HINDUNILVR,EQ,      2074.90,      2178.95,5.01,867.51
,AXISBANK,EQ,       705.45,       708.95,0.5,816.6
,ESCORTS,EQ,       773.80,       847.15,9.48,814.85
,HDFCBANK,EQ,      1198.70,      1192.80,-0.49,777.21
,BHARTIARTL,EQ,       497.20,       510.05,2.58,754.39
,LT,EQ,      1287.40,      1286.65,-0.06,741.93
,MARUTI,EQ,      6812.65,      7011.30,2.92,701.93
,TATASTEEL,EQ,       423.80,       436.05,2.89,693.89
,YESBANK,EQ,        37.90,        36.00,-5.01,541.5
,HDFCLIFE,EQ,       562.40,       565.30,0.52,540.75
,LICHSGFIN,EQ,       402.30,       391.65,-2.65,531.44
,ASIANPAINT,EQ,      1755.35,      1867.65,6.4,523.01
,ICICIPRULI,EQ,       451.35,       446.35,-1.11,509.18
,INFY,EQ,       779.50,       767.40,-1.55,494.97
,BAJFINANCE,EQ,      4276.05,      4359.35,1.95,473.78
,DLF,EQ,       228.90,       230.85,0.85,472.4

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,ASIANPAINT,EQ,      1867.65,      1755.35,6.4
,HINDUNILVR,EQ,      2178.95,      2074.90,5.01
,NESTLEIND,EQ,     16301.00,     15524.75,5
,BAJAJ-AUTO,EQ,      3284.50,      3143.30,4.49
,INDUSINDBK,EQ,      1263.10,      1211.10,4.29

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,INFRATEL,EQ,       229.30,       247.15,-7.22
,ITC,EQ,       207.60,       219.00,-5.21
,YESBANK,EQ,        36.00,        37.90,-5.01
,HEROMOTOCO,EQ,      2376.15,      2446.90,-2.89
,TCS,EQ,      2102.50,      2164.85,-2.88

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        34.45,                   461342.95,13398
,21STCENMGM,EQ,        14.30,                      829.40,58
,3IINFOTECH,EQ,         2.15,                  2575119.70,1206134
,3MINDIA,EQ,     22637.05,                 88669854.80,3896
,3PLAND,EQ,         6.90,                     4747.70,683
,5PAISA,EQ,       182.70,                  2026725.65,11106
,63MOONS,EQ,       101.75,                  6750111.60,65914
,762GS2039,GS,        96.60,                    19320.00,200
,8KMILES,BZ,        31.40,                  5969361.45,186385
,A2ZINFRA,EQ,         6.75,                   783693.05,115003
,AARON,SM,        48.85,                   161205.00,3300
,AARTIDRUGS,EQ,       586.75,                  6558129.10,11154
,AARTIIND,EQ,       969.05,                201851408.95,206496
,AARVEEDEN,EQ,        13.25,                   117709.95,8953
,AAVAS,EQ,      1988.80,                 40336377.60,20229
,ABAN,EQ,        24.20,                  1172730.75,47832
,ABB,EQ,      1292.30,                 26303429.60,20304
,ABBOTINDIA,EQ,     12746.25,                111372659.15,8753
,ABCAPITAL,EQ,        92.10,                199455548.00,2135154
,ABFRL,EQ,       230.00,                 92161837.65,407440
,ABMINTLTD,BE,        14.85,                      816.75,55
,ABSLBANETF,EQ,       300.73,                      300.73,1
,ABSLFTSLRG,MF,         9.77,                    53735.00,5500
,ABSLNN50ET,EQ,       276.44,                    43182.49,156
,ACCELYA,EQ,      1030.70,                  2112501.40,2053
,ACCURACY,SM,        21.80,                    69760.00,3200
,ACE,EQ,        80.60,                 19915790.90,246898
,ADANIENT,EQ,       220.90,                600791658.50,2720614
,ADANIGAS,EQ,       165.15,                132029130.70,794039
,ADANIGREEN,EQ,       196.15,                225251107.35,1171000
,ADANIPOWER,EQ,        59.00,                374201952.15,6340354
,ADANITRANS,EQ,       332.05,                 39338461.90,118451
,ADFFOODS,EQ,       286.30,                  5343935.65,18642
,ADHUNIKIND,EQ,        38.25,                  2817210.85,72899
,ADLABS,BE,         3.80,                   110577.50,29350
,ADORWELD,EQ,       298.80,                  1108452.50,3687
,ADSL,BE,        21.95,                   435151.40,19656
,ADVANIHOTR,EQ,        52.15,                   240392.85,4584
,ADVENZYMES,EQ,       161.70,                  6349894.40,39041
,AEGISCHEM,EQ,       205.80,                 51568268.35,244193
,AFFLE,EQ,      1754.40,                463247225.95,266503
,AGARIND,EQ,        82.75,                   386291.55,4645
,AGCNET,EQ,       253.90,                 13077134.10,51205
,AGRITECH,EQ,        45.70,                   380301.35,8247
,AGROPHOS,EQ,        21.40,                   175651.20,8208
,AHLADA,SM,        53.85,                   106850.00,2000
,AHLEAST,EQ,       182.45,                    22803.80,125
,AHLUCONT,EQ,       343.85,                 11039070.30,31932
,AHLWEST,EQ,       335.10,                   472300.15,1416
,AIAENG,EQ,      1769.25,                 32297973.95,18023
,AIONJSW,EQ,        13.95,                  1367999.45,97974
,AIRAN,EQ,        13.70,                   224738.75,16562
,AJANTPHARM,EQ,      1174.60,                499524162.30,428087
,AJMERA,EQ,       123.50,                  6638683.80,53178
,AKASH,BE,        91.50,                     3647.50,40
,AKG,SM,        34.00,                   136000.00,4000
,AKSHARCHEM,EQ,       226.10,                   601479.90,2662
,AKSHOPTFBR,EQ,         7.45,                   831769.80,109972
