,07-Feb-2020
The Nifty witnessed an intraday movement of about 80.75 points.The closing index was 0.33 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 37832.13
, Traded Quantity (in Lakhs), 16849.18
, Number of Trades, 12209789
, Total Market Capitalisation (Rs. Crores), 15791785.54

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     12137.95,     12151.15,     12154.70,     12073.95,     12098.35,-39.6
,NIFTY50 EQL Wgt,     12339.55,     12362.35,     12378.25,     12310.60,     12344.15,4.6
,NIFTY100 EQL Wgt,     13466.60,     13487.00,     13527.45,     13447.10,     13514.85,48.25
,NIFTY100 LowVol30,      8976.05,      9001.25,      9008.40,      8965.55,      8992.75,16.7
,NIFTY Alpha 50,     14118.70,     14228.10,     14306.95,     14173.75,     14279.85,161.15
,NIFTY MIDCAP 150,      6740.10,      6760.95,      6798.70,      6742.55,      6792.20,52.1
,NIFTY SMLCAP 50,      3010.95,      3017.40,      3022.65,      3000.05,      3006.75,-4.2
,NIFTY SMLCAP 250,      5239.75,      5260.95,      5264.90,      5242.95,      5259.25,19.5
,NIFTY MIDSML 400,      6203.40,      6224.45,      6247.80,      6207.75,      6243.60,40.2
,NIFTY200 QUALTY30,     10025.90,     10061.70,     10073.10,     10022.15,     10055.55,29.65
,Nifty IT,     16371.15,     16453.00,     16493.25,     16382.40,     16470.15,99
,Nifty Next 50,     28871.35,     28900.00,     29088.25,     28814.25,     29046.45,175.1
,Nifty Bank,     31304.05,     31367.05,     31368.20,     31111.05,     31201.95,-102.1
,NIFTY MIDCAP 100,     18246.20,     18283.90,     18385.00,     18235.00,     18367.50,121.3
,Nifty 500,     10004.20,     10019.45,     10021.70,      9974.55,     10000.75,-3.45
,Nifty 100,     12273.70,     12286.85,     12290.15,     12223.70,     12249.25,-24.45
,Nifty Midcap 50,      4998.40,      5008.75,      5024.60,      4987.15,      5015.45,17.05
,Nifty Realty,       326.25,       325.80,       326.80,       319.45,       320.30,-5.95
,Nifty Infra,      3317.10,      3315.90,      3317.20,      3286.85,      3292.80,-24.3
,Nifty Energy,     15228.80,     15206.35,     15237.25,     15106.35,     15189.95,-38.85
,Nifty FMCG,     30736.60,     30806.50,     30930.00,     30724.05,     30809.50,72.9
,Nifty MNC,     14172.70,     14207.35,     14239.40,     14134.15,     14219.95,47.25
,Nifty Pharma,      8227.90,      8243.05,      8363.30,      8180.05,      8341.85,113.95
,Nifty PSE,      3074.25,      3074.45,      3102.60,      3058.00,      3097.00,22.75
,Nifty PSU Bank,      2316.05,      2317.55,      2339.15,      2293.50,      2313.20,-2.85
,Nifty Serv Sector,     17511.75,     17544.25,     17549.55,     17437.80,     17484.60,-27.15
,India VIX,13.7800,13.7800,13.9925,12.9750,13.7475,-0.0325
,Nifty Auto,      8142.15,      8172.35,      8173.60,      8042.20,      8064.60,-77.55
,Nifty Metal,      2688.75,      2684.20,      2715.85,      2660.80,      2710.80,22.05
,Nifty Media,      1792.35,      1794.40,      1829.90,      1794.40,      1827.25,34.9
,NIFTY SMLCAP 100,      6240.25,      6258.60,      6268.95,      6226.35,      6247.30,7.05
,Nifty 200,      6302.20,      6309.65,      6311.20,      6280.60,      6295.75,-6.45
,Nifty Div Opps 50,      2517.15,      2524.65,      2530.90,      2514.95,      2529.30,12.15
,Nifty Commodities,      3389.45,      3386.90,      3412.00,      3378.15,      3405.20,15.75
,Nifty Consumption,      5158.70,      5174.30,      5186.15,      5147.60,      5160.70,2
,Nifty Fin Service,     14545.75,     14551.70,     14558.50,     14466.40,     14502.40,-43.35
,Nifty50 Div Point,       120.55,       120.55,       120.55,       120.55,       120.55,0
,Nifty100 Liq 15,      3718.05,      3719.05,      3726.50,      3695.70,      3710.55,-7.5
,Nifty CPSE,      1702.55,      1704.30,      1728.15,      1694.25,      1724.20,21.65
,Nifty GrowSect 15,      6331.20,      6342.40,      6347.65,      6286.10,      6301.40,-29.8
,Nifty50 PR 2x Lev,      5219.45,      5230.10,      5230.10,      5163.75,      5184.75,-34.7
,Nifty50 PR 1x Inv,       386.45,       386.05,       388.50,       386.05,       387.75,1.3
,Nifty50 TR 2x Lev,      6787.90,      6801.75,      6801.75,      6715.45,      6742.70,-45.2
,Nifty50 TR 1x Inv,       338.90,       338.60,       340.75,       338.60,       340.05,1.15
,Nifty50 Value 20,      5481.10,      5502.85,      5521.90,      5476.85,      5517.15,36.05
,Nifty Mid Liq 15,      4370.05,      4385.60,      4406.30,      4363.45,      4396.60,26.55
,Nifty Pvt Bank,     17250.50,     17299.60,     17302.30,     17114.45,     17181.50,-69
,NIFTY100 Qualty30,      2754.55,      2764.95,      2765.95,      2753.20,      2761.60,7.05
,Nifty GS 8 13Yr,      2057.50,      2057.88,      2064.20,      2057.88,      2062.25,4.75
,Nifty GS 10Yr,      1893.62,      1893.95,      1899.14,      1893.95,      1897.61,3.99
,Nifty GS 10Yr Cln,       950.95,       950.95,       953.62,       950.95,       952.83,1.88
,Nifty GS 4 8Yr,      2188.63,      2189.04,      2197.14,      2189.04,      2195.88,7.25
,Nifty GS 11 15Yr,      2204.26,      2204.69,      2214.52,      2204.69,      2210.55,6.29
,Nifty GS 15YrPlus,      2399.21,      2399.67,      2399.67,      2399.67,      2399.67,.46
,Nifty GS Compsite,      2095.34,      2095.74,      2102.50,      2095.74,      2100.57,5.23

,ADVANCES,923
,DECLINES,892
,UNCHANGED,123

,Total securities that have hit their price bands today,303

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,IBULHSGFIN,EQ,       318.95,       321.40,0.77,1378.15
,SBIN,EQ,       321.95,       320.55,-0.43,1195.49
,AUROPHARMA,EQ,       510.50,       546.55,7.06,1014.94
,RELIANCE,EQ,      1457.80,      1433.65,-1.66,802.11
,TATAMOTORS,EQ,       178.85,       173.60,-2.94,791.81
,ZEEL,EQ,       235.80,       249.75,5.92,677.42
,HEROMOTOCO,EQ,      2411.30,      2443.45,1.33,665.36
,PEL,EQ,      1570.25,      1600.55,1.93,648.89
,AXISBANK,EQ,       736.95,       748.15,1.52,626.77
,TATASTEEL,EQ,       477.60,       471.00,-1.38,551.22
,HDFC,EQ,      2436.45,      2405.65,-1.26,530.8
,LUPIN,EQ,       721.90,       707.60,-1.98,517.01
,INDUSINDBK,EQ,      1334.25,      1298.80,-2.66,505.21
,YESBANK,EQ,        38.55,        38.70,0.39,495.54
,BHARTIARTL,EQ,       546.80,       539.45,-1.34,476.52
,MCDOWELL-N,EQ,       654.20,       676.65,3.43,469.56
,JINDALSTEL,EQ,       197.75,       197.80,0.03,454.55
,TATAGLOBAL,EQ,       392.05,       396.70,1.19,451.56
,MARUTI,EQ,      7021.60,      6971.75,-0.71,450.52
,ICICIBANK,EQ,       541.60,       536.45,-0.95,446.44
,TCS,EQ,      2128.35,      2136.55,0.39,444.07
,BAJFINANCE,EQ,      4666.35,      4654.30,-0.26,442.18
,EICHERMOT,EQ,     20391.20,     19736.30,-3.21,441.67
,HDFCBANK,EQ,      1239.80,      1242.20,0.19,421.95
,LT,EQ,      1317.60,      1299.00,-1.41,397.52

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,ZEEL,EQ,       249.75,       235.80,5.92
,NTPC,EQ,       115.60,       112.00,3.21
,COALINDIA,EQ,       185.05,       179.95,2.83
,ONGC,EQ,       109.25,       107.25,1.86
,HINDALCO,EQ,       197.40,       194.00,1.75

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,EICHERMOT,EQ,     19736.30,     20391.20,-3.21
,TATAMOTORS,EQ,       173.60,       178.85,-2.94
,INDUSINDBK,EQ,      1298.80,      1334.25,-2.66
,M&M,EQ,       569.10,       580.15,-1.9
,GRASIM,EQ,       787.65,       801.00,-1.67

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        34.15,                  1190614.40,34810
,21STCENMGM,EQ,        13.55,                     2127.35,157
,3IINFOTECH,EQ,         2.40,                  3786217.55,1626658
,3MINDIA,EQ,     24064.95,                146658136.90,6160
,3PLAND,EQ,         6.30,                    21063.90,3343
,5PAISA,EQ,       187.30,                  3719082.60,19635
,63MOONS,EQ,       104.35,                  8503938.85,80690
,A2ZINFRA,EQ,         6.50,                  1293380.35,196568
,AAKASH,SM,        68.00,                   136000.00,2000
,AARON,SM,        47.25,                   155925.00,3300
,AARTIDRUGS,EQ,       631.50,                 62089398.70,96955
,AARTIIND,EQ,       988.90,                170014658.35,173287
,AARVEEDEN,EQ,        14.15,                   130795.50,9084
,AAVAS,EQ,      1843.70,               1631768571.90,879428
,ABAN,EQ,        25.10,                   562464.15,22493
,ABB,EQ,      1328.95,                 47463790.55,35789
,ABBOTINDIA,EQ,     14103.15,               1479622505.30,106911
,ABCAPITAL,EQ,        94.80,                188843764.25,1974933
,ABFRL,EQ,       260.95,                546836927.25,2103438
,ABMINTLTD,BE,        13.50,                     7347.50,544
,ABSLBANETF,EQ,       312.25,                      312.25,1
,ABSLNN50ET,EQ,       293.00,                     3517.92,12
,ACCELYA,EQ,      1049.25,                  2145593.05,2052
,ACCURACY,SM,        23.65,                  1915120.00,81600
,ACE,EQ,        83.15,                 14688396.85,177544
,ADANIENT,EQ,       239.50,               1210245103.25,5052443
,ADANIGAS,EQ,       171.75,                213599836.15,1236764
,ADANIGREEN,EQ,       213.00,                567466972.55,2674856
,ADANIPOWER,EQ,        60.85,                297623915.50,4877776
,ADANITRANS,EQ,       329.75,                177694928.55,526919
,ADFFOODS,EQ,       314.45,                 82695481.10,264586
,ADHUNIKIND,EQ,        40.35,                  3284866.30,83888
,ADLABS,BE,         3.70,                    37387.85,10034
,ADORWELD,EQ,       319.95,                  2536317.25,7929
,ADROITINFO,BE,         6.20,                     2897.50,467
,ADSL,BE,        23.40,                   533134.00,23054
,ADVANIHOTR,EQ,        56.40,                   153932.15,2710
,ADVENZYMES,EQ,       175.30,                 25785496.55,145752
,AEGISCHEM,EQ,       235.10,                 64920322.20,278887
,AFFLE,EQ,      1695.95,                247816830.05,145395
,AGARIND,EQ,        79.45,                   251475.35,3134
,AGCNET,EQ,       264.85,                  4148026.15,15571
,AGRITECH,EQ,        45.05,                   287666.10,6360
,AGROPHOS,EQ,        17.50,                   107555.00,6146
,AHLADA,SM,        59.00,                   118100.00,2000
,AHLEAST,EQ,       184.95,                    57753.30,313
,AHLUCONT,EQ,       317.95,                  1313200.50,4091
,AHLWEST,EQ,       340.00,                    82137.85,241
,AIAENG,EQ,      1922.80,                116133131.20,61170
,AIONJSW,EQ,        13.80,                  1292073.90,93207
,AIRAN,EQ,        13.75,                   494244.05,36446
,AJANTPHARM,EQ,      1369.45,                828342382.50,607404
,AJMERA,EQ,       127.60,                  6831758.70,53270
,AKASH,BE,        99.40,                      193.15,2
,AKG,SM,        33.00,                   660000.00,20000
,AKSHARCHEM,EQ,       247.30,                  1241033.75,5012
,AKSHOPTFBR,EQ,         7.60,                  1425348.15,185974
,AKZOINDIA,EQ,      2081.05,                147386097.30,70314
,ALANKIT,EQ,        14.70,                  1702377.05,117382
,ALBERTDAVD,EQ,       507.80,                  4512310.10,8897
,ALBK,EQ,        16.40,                 27515898.60,1673459
,ALCHEM,BE,         1.45,                     7364.55,5079
,ALEMBICLTD,EQ,        53.35,                  7053317.10,131477
,ALICON,EQ,       379.40,                  1111494.40,2935
,ALKALI,EQ,        48.55,                   342675.00,7074
,ALKEM,EQ,      2502.50,               1410535965.55,572347
,ALKYLAMINE,EQ,      1455.70,                 57089531.10,39179
,ALLCARGO,EQ,       111.60,                 14258951.70,127127
,ALLSEC,EQ,       280.90,                   726197.85,2588
,ALMONDZ,EQ,        16.20,                     3131.90,196
,ALPA,EQ,        19.95,                   441330.00,21731
,ALPHAGEO,EQ,       210.85,                  1902174.60,8968
,ALPSINDUS,BE,         1.10,                    21551.60,19681
,AMARAJABAT,EQ,       786.10,                193416172.35,246798
,AMBER,EQ,      1541.40,                 52785201.40,34160
,AMBIKCO,EQ,       832.05,                  5249058.20,6257
,AMDIND,EQ,        17.00,                   312680.20,18555
,AMJLAND,EQ,        20.65,                   510743.30,25167
,AMJUMBO,SM,        11.90,                   182800.00,16000
,AMRUTANJAN,EQ,       469.20,                  7078993.10,14956
,ANANTRAJ,EQ,        33.50,                 13230805.70,395991
,ANDHRABANK,EQ,        16.15,                  7568240.00,467068
,ANDHRACEMT,EQ,         2.40,                   585878.45,247548
,ANDHRSUGAR,EQ,       310.25,                 21779233.35,68870
,ANDPAPER,EQ,       290.50,                   834675.60,2867
,ANIKINDS,BE,         9.10,                    78345.75,8567
,ANKITMETAL,BE,          .45,                      945.45,2101
,ANSALAPI,EQ,         5.25,                   362945.15,67587
,ANSALHSG,BE,         5.00,                   147134.00,29088
,ANTGRAPHIC,BE,          .65,                    14923.00,23333
,ANUP,EQ,       591.40,                 59852189.90,98605
,APARINDS,EQ,       397.90,                 16152351.00,40486
,APCL,EQ,       161.45,                   375228.10,2339
,APCOTEXIND,EQ,       154.00,                  7238903.65,47402
,APEX,EQ,       371.55,                148303897.55,397391
,APLAPOLLO,EQ,      2027.95,                 62606307.05,30841
,APLLTD,EQ,       645.55,                309585650.80,476521
,APOLLO,EQ,        81.90,                 12742176.75,156502
,APOLLOHOSP,EQ,      1663.15,                919089773.55,554048
,APOLLOPIPE,EQ,       430.30,                  5913808.20,13902
,APOLLOTYRE,EQ,       164.00,                373297701.60,2268574
,APOLSINHOT,EQ,       717.45,                   643577.65,890
,APTECHT,EQ,       155.40,                 20459794.65,130314
,ARCHIDPLY,EQ,        30.70,                  1263159.90,41246
,ARCHIES,EQ,        18.25,                   914781.85,49997
,ARCOTECH,BE,         1.70,                    25310.30,14856
,ARIES,EQ,        69.95,                  1308980.35,18717
,ARIHANT,EQ,        21.55,                    13876.20,627
,ARIHANTSUP,EQ,        26.80,                    29754.95,1107
,ARMANFIN,EQ,       845.65,                  7454718.40,8751
,AROGRANITE,EQ,        35.85,                   251820.30,7021
,ARROWGREEN,EQ,        64.40,                 14399230.55,210744
,ARSHIYA,EQ,        17.00,                   167745.75,9926
,ARSSINFRA,EQ,        20.40,                   265334.45,12981
,ARTEMISMED,EQ,       251.00,                   423532.15,1677
,ARVIND,EQ,        40.20,                 46299659.95,1142753
,ARVINDFASN,EQ,       357.65,                  9383763.50,26584
,ARVSMART,EQ,        88.50,                  1801017.50,20094
,ASAHIINDIA,EQ,       255.65,                  8395614.55,33062
,ASAHISONG,EQ,       131.10,                  1152129.60,8726
,ASAL,EQ,        30.15,                   771925.35,25565
,ASCOM,SM,        32.90,                   131600.00,4000
,ASHAPURMIN,EQ,        34.05,                   434119.50,12746
,ASHIANA,EQ,       105.05,                  1764041.75,16901
,ASHIMASYN,EQ,         7.35,                   219612.15,29711
,ASHOKA,EQ,       113.85,                 63293893.60,554480
,ASIANHOTNR,EQ,        89.75,                    83167.65,925
,ASIANTILES,EQ,       228.80,                 21141397.15,92476
,ASPINWALL,EQ,       141.95,                   104500.75,735
,ASTEC,EQ,       478.20,                  4153290.50,8754
,ASTERDM,EQ,       164.10,                  5752032.25,35049
,ASTRAL,EQ,      1199.80,                 99520468.95,82946
,ASTRAMICRO,EQ,        95.05,                 42043111.75,440938
,ASTRAZEN,EQ,      2567.40,                 68829594.00,27196
,ASTRON,EQ,        39.20,                   725259.70,18497
,ATFL,EQ,       701.85,                  3047957.60,4348
,ATLANTA,EQ,         5.85,                    79265.75,13453
,ATLASCYCLE,BE,        47.35,                   115022.00,2390
,ATUL,EQ,      4945.10,                 39266709.05,7936
,ATULAUTO,EQ,       245.40,                  2438786.50,9908
,AUBANK,EQ,      1128.10,                742108603.70,658358
,AURIONPRO,EQ,        57.05,                  3349164.75,56466
,AUSOMENT,BE,        43.30,                   286386.20,6614
,AUTOAXLES,EQ,       835.60,                  3159173.50,3770
,AUTOIND,BE,        23.10,                   205985.30,8883
,AUTOLITIND,EQ,        23.60,                   231718.70,9869
,AVADHSUGAR,EQ,       270.45,                 50628380.10,185703
,AVANTIFEED,EQ,       651.80,                916807130.35,1421219
,AVTNPL,EQ,        34.70,                  2339028.90,67036
,AXISCADES,BE,        60.70,                  3563186.60,59752
,AXISGOLD,EQ,      3555.20,                  1728349.65,486
,AXISNIFTY,EQ,      1242.76,                    62221.37,50
,AYMSYNTEX,EQ,        33.50,                   334211.65,9920
,BAGFILMS,BE,         1.80,                   193906.35,108301
,BAJAJCON,EQ,       220.55,                 35498564.45,160162
,BAJAJELEC,EQ,       413.00,                 26238404.25,63730
,BAJAJHIND,EQ,         6.30,                  5604752.65,883875
,BALAJITELE,EQ,        51.30,                  3288612.80,63428
,BALAMINES,EQ,       411.75,                  8115325.45,19417
,BALAXI,EQ,       110.75,                  1492894.40,13177
,BALKRISHNA,BE,        17.10,                     6357.05,377
,BALKRISIND,EQ,      1101.05,                446543734.05,404348
,BALLARPUR,BE,          .55,                   193779.90,352636
,BALMLAWRIE,EQ,       117.30,                  6939890.45,58906
,BALPHARMA,EQ,        44.95,                   206441.15,4585
,BALRAMCHIN,EQ,       169.65,                195240871.85,1160718
,BANARBEADS,EQ,        35.10,                    20016.25,565
,BANARISUG,EQ,      1386.60,                   219033.95,157
,BANCOINDIA,EQ,       102.90,                  2657746.10,26096
,BANG,EQ,        17.10,                    37601.85,2221
,BANKBEES,EQ,       318.34,                 22723992.48,71435
,BANKINDIA,EQ,        64.75,                 82687201.65,1269896
,BANSWRAS,BE,       124.30,                   373532.05,3027
,BARTRONICS,BE,         1.20,                    13033.50,10978
,BASF,EQ,       980.00,                 30002458.45,30646
,BASML,EQ,       127.65,                   222684.50,1764
,BATAINDIA,EQ,      1842.45,               3867727468.95,2091261
,BAYERCROP,EQ,      4498.95,                 70218679.15,15570
,BBL,EQ,       857.70,                  4166379.80,4841
,BBTC,EQ,      1132.20,                 57164172.60,50067
,BCG,BE,         5.05,                  3899820.70,759803
,BCONCEPTS,SM,        27.70,                   245550.00,9000
