,11-Feb-2020
The Nifty witnessed an intraday movement of about 73.3 points.The closing index was 0.63 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 35041.1
, Traded Quantity (in Lakhs), 15689.62
, Number of Trades, 12749719
, Total Market Capitalisation (Rs. Crores), 15759797.2

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     12031.50,     12108.40,     12172.30,     12099.00,     12107.90,76.4
,NIFTY50 EQL Wgt,     12172.60,     12254.95,     12327.30,     12247.65,     12267.80,95.2
,NIFTY100 EQL Wgt,     13389.75,     13457.90,     13505.10,     13397.50,     13410.15,20.4
,NIFTY100 LowVol30,      8906.30,      8960.05,      8989.15,      8932.60,      8938.75,32.45
,NIFTY Alpha 50,     14251.75,     14341.10,     14370.25,     14238.75,     14253.45,1.7
,NIFTY MIDCAP 150,      6746.25,      6774.10,      6795.00,      6740.70,      6751.20,4.95
,NIFTY SMLCAP 50,      2982.00,      2997.90,      3005.50,      2985.70,      2991.30,9.3
,NIFTY SMLCAP 250,      5224.55,      5256.85,      5267.40,      5221.75,      5228.40,3.85
,NIFTY MIDSML 400,      6201.65,      6231.25,      6248.30,      6199.65,      6206.25,4.6
,NIFTY200 QUALTY30,      9979.10,     10038.90,     10068.55,     10005.35,     10015.10,36
,Nifty IT,     16431.90,     16482.40,     16512.10,     16409.15,     16452.30,20.4
,Nifty Next 50,     28953.70,     29086.65,     29129.15,     28821.20,     28854.35,-99.35
,Nifty Bank,     31058.15,     31230.20,     31505.95,     31225.90,     31300.60,242.45
,NIFTY MIDCAP 100,     18191.20,     18268.30,     18332.75,     18182.20,     18206.20,15
,Nifty 500,      9945.65,     10004.05,     10044.15,      9979.60,      9987.05,41.4
,Nifty 100,     12185.35,     12260.20,     12317.70,     12237.80,     12246.20,60.85
,Nifty Midcap 50,      4957.30,      4976.60,      5001.80,      4942.00,      4950.45,-6.85
,Nifty Realty,       317.10,       318.90,       320.90,       316.25,       317.80,.7
,Nifty Infra,      3262.20,      3283.10,      3301.40,      3276.70,      3281.10,18.9
,Nifty Energy,     15025.50,     15152.05,     15319.25,     15134.85,     15233.45,207.95
,Nifty FMCG,     30528.45,     30856.25,     30871.15,     30375.35,     30414.55,-113.9
,Nifty MNC,     14101.90,     14177.05,     14201.30,     14036.95,     14066.40,-35.5
,Nifty Pharma,      8261.25,      8303.30,      8359.50,      8280.95,      8324.65,63.4
,Nifty PSE,      3042.40,      3060.45,      3077.35,      3057.55,      3061.30,18.9
,Nifty PSU Bank,      2290.45,      2310.35,      2321.55,      2285.70,      2293.40,2.95
,Nifty Serv Sector,     17447.95,     17530.55,     17630.70,     17527.60,     17549.95,102
,India VIX,14.2100,14.2100,14.2100,11.3750,13.8800,-0.3300
,Nifty Auto,      7860.55,      7923.00,      7969.30,      7881.35,      7892.40,31.85
,Nifty Metal,      2628.90,      2650.85,      2683.10,      2648.20,      2651.75,22.85
,Nifty Media,      1798.10,      1809.25,      1843.55,      1799.40,      1827.45,29.35
,NIFTY SMLCAP 100,      6177.90,      6214.25,      6226.05,      6181.85,      6190.80,12.9
,Nifty 200,      6259.75,      6296.90,      6324.55,      6283.65,      6288.10,28.35
,Nifty Div Opps 50,      2504.10,      2523.65,      2525.45,      2509.90,      2512.40,8.3
,Nifty Commodities,      3356.95,      3379.70,      3401.95,      3376.85,      3379.90,22.95
,Nifty Consumption,      5108.70,      5146.20,      5153.40,      5100.00,      5106.40,-2.3
,Nifty Fin Service,     14496.75,     14564.10,     14676.30,     14562.50,     14589.55,92.8
,Nifty50 Div Point,       120.55,       120.55,       120.55,       120.55,       120.55,0
,Nifty100 Liq 15,      3664.40,      3689.80,      3727.20,      3688.15,      3705.70,41.3
,Nifty CPSE,      1684.45,      1696.85,      1709.90,      1689.25,      1701.25,16.8
,Nifty GrowSect 15,      6284.70,      6336.90,      6352.65,      6320.05,      6324.65,39.95
,Nifty50 PR 2x Lev,      5125.25,      5190.10,      5244.30,      5182.35,      5189.65,64.4
,Nifty50 PR 1x Inv,       390.05,       387.60,       387.90,       385.55,       387.60,-2.45
,Nifty50 TR 2x Lev,      6665.40,      6749.70,      6820.15,      6739.60,      6749.15,83.75
,Nifty50 TR 1x Inv,       342.10,       339.95,       340.20,       338.15,       339.95,-2.15
,Nifty50 Value 20,      5458.15,      5488.75,      5507.10,      5481.85,      5485.65,27.5
,Nifty Mid Liq 15,      4331.50,      4345.40,      4371.15,      4317.70,      4325.85,-5.65
,Nifty Pvt Bank,     17081.25,     17173.15,     17318.70,     17167.45,     17201.75,120.5
,NIFTY100 Qualty30,      2742.90,      2759.90,      2767.45,      2748.85,      2751.25,8.35
,Nifty GS 8 13Yr,      2061.23,      2061.61,      2063.22,      2058.70,      2059.27,-1.96
,Nifty GS 10Yr,      1895.69,      1896.02,      1897.13,      1892.50,      1893.24,-2.45
,Nifty GS 10Yr Cln,       951.33,       951.33,       951.90,       949.53,       949.91,-1.42
,Nifty GS 4 8Yr,      2195.76,      2196.17,      2198.44,      2193.76,      2194.01,-1.75
,Nifty GS 11 15Yr,      2211.04,      2211.46,      2214.60,      2209.91,      2210.28,-.76
,Nifty GS 15YrPlus,      2406.47,      2406.93,      2406.93,      2406.93,      2406.93,.46
,Nifty GS Compsite,      2100.36,      2100.76,      2102.53,      2098.38,      2098.88,-1.48

,ADVANCES,800
,DECLINES,1022
,UNCHANGED,130

,Total securities that have hit their price bands today,310

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,IBULHSGFIN,EQ,       323.00,       344.95,6.8,2169.34
,SBIN,EQ,       318.50,       324.35,1.84,976.44
,RELIANCE,EQ,      1435.60,      1452.75,1.19,932.65
,TATASTEEL,EQ,       443.80,       444.10,0.07,758.86
,TATAMOTORS,EQ,       168.90,       169.75,0.5,739.48
,HDFCBANK,EQ,      1240.30,      1240.60,0.02,723.99
,ITC,EQ,       210.55,       212.60,0.97,637.17
,ICICIBANK,EQ,       533.95,       539.75,1.09,608.8
,AXISBANK,EQ,       741.10,       749.95,1.19,589.06
,BAJFINANCE,EQ,      4721.75,      4749.35,0.58,555.88
,MARUTI,EQ,      6892.90,      7033.75,2.04,522.86
,ZEEL,EQ,       230.45,       231.30,0.37,491.06
,DMART,EQ,      2483.65,      2394.50,-3.59,456.35
,INDUSINDBK,EQ,      1274.95,      1292.65,1.39,448.01
,HDFC,EQ,      2414.30,      2435.15,0.86,421.41
,IRCTC,EQ,      1480.20,      1408.00,-4.88,418.33
,GAIL,EQ,       121.80,       129.15,6.03,397.05
,JINDALSTEL,EQ,       193.20,       196.30,1.6,373.3
,YESBANK,EQ,        37.55,        36.85,-1.86,361.22
,WOCKPHARMA,EQ,       363.40,       393.30,8.23,352.46
,PEL,EQ,      1549.00,      1561.65,0.82,350.65
,BHARTIARTL,EQ,       538.70,       534.30,-0.82,350.44
,POWERGRID,EQ,       186.60,       189.50,1.55,346.4
,INFY,EQ,       773.20,       773.55,0.05,333.59
,KOTAKBANK,EQ,      1669.30,      1677.45,0.49,321.25

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,GAIL,EQ,       129.15,       121.80,6.03
,JSWSTEEL,EQ,       288.75,       277.90,3.9
,INFRATEL,EQ,       248.80,       239.80,3.75
,NTPC,EQ,       116.85,       113.50,2.95
,MARUTI,EQ,      7033.75,      6892.90,2.04

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,YESBANK,EQ,        36.85,        37.55,-1.86
,NESTLEIND,EQ,     15997.15,     16172.20,-1.08
,BPCL,EQ,       481.00,       485.45,-0.92
,M&M,EQ,       524.05,       528.40,-0.82
,BHARTIARTL,EQ,       534.30,       538.70,-0.82

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        34.05,                  1020300.15,29870
,21STCENMGM,EQ,        13.25,                     4675.75,351
,3IINFOTECH,EQ,         2.20,                  2953090.35,1332939
,3MINDIA,EQ,     23099.05,                767625339.70,32169
,3PLAND,EQ,         5.70,                    16795.15,2840
,587GS2022,GS,        92.36,                      554.16,6
,5PAISA,EQ,       184.10,                   781669.70,4210
,63MOONS,EQ,       103.60,                 42072541.50,396379
,763GS2059,GS,       100.05,                    10005.00,100
,772GS2049,GS,       100.01,                   190019.00,1900
,824GS2033,GS,       101.00,                    10100.00,100
,A2ZINFRA,EQ,         5.95,                  2544540.75,414170
,AARON,SM,        49.50,                   163350.00,3300
,AARTIDRUGS,EQ,       622.65,                  5551817.00,8853
,AARTIIND,EQ,      1009.30,                135170394.50,133322
,AARVEEDEN,EQ,        13.85,                    18300.70,1334
,AAVAS,EQ,      1884.20,                407339900.00,217196
,ABAN,EQ,        23.90,                  3909106.30,155107
,ABB,EQ,      1334.20,                 61204406.05,45537
,ABBOTINDIA,EQ,     14460.85,                365574264.10,24841
,ABCAPITAL,EQ,        94.40,                401812729.90,4202181
,ABFRL,EQ,       272.45,                424381122.90,1566343
,ABSLBANETF,EQ,       311.12,                     2493.36,8
,ACCELYA,EQ,      1028.45,                  2207253.00,2141
,ACCORD,SM,        17.60,                    35200.00,2000
,ACCURACY,SM,        22.65,                  1681200.00,75200
,ACE,EQ,        80.00,                  6430071.95,78847
,ADANIENT,EQ,       245.30,                870512324.00,3533751
,ADANIGAS,EQ,       169.40,                 98424137.00,576489
,ADANIGREEN,EQ,       211.25,                234624521.60,1102243
,ADANIPOWER,EQ,        60.15,                344178417.75,5724445
,ADANITRANS,EQ,       337.35,                 56520005.20,168229
,ADFFOODS,EQ,       305.85,                 16242167.30,52622
,ADHUNIKIND,EQ,        38.20,                  5883151.05,152703
,ADLABS,BE,         3.75,                   116219.90,30694
,ADORWELD,EQ,       327.10,                  2675938.75,8005
,ADROITINFO,BE,         5.65,                    14181.35,2479
,ADSL,BE,        23.25,                  1481295.90,63614
,ADVANIHOTR,EQ,        58.80,                  2927540.70,49792
,ADVENZYMES,EQ,       173.65,                 14099472.85,79814
,AEGISCHEM,EQ,       226.75,                 85686646.90,379689
,AFFLE,EQ,      1753.70,                375834889.05,214114
,AGARIND,EQ,        82.60,                   454748.20,5528
,AGCNET,EQ,       291.95,                  2362167.45,8091
,AGRITECH,EQ,        43.20,                   636514.95,14645
,AGROPHOS,EQ,        15.85,                 15213388.05,954794
,AHLEAST,EQ,       187.05,                   145737.60,779
,AHLUCONT,EQ,       323.50,                 13019064.90,40930
,AHLWEST,EQ,       331.30,                   526565.10,1547
,AIAENG,EQ,      1887.60,                 49156071.25,25888
,AIONJSW,EQ,        13.60,                  2402181.15,177693
,AIRAN,EQ,        13.50,                   361105.65,26709
,AJANTPHARM,EQ,      1381.20,                308851370.80,221258
,AJMERA,EQ,       123.85,                  2646396.00,21263
,AJOONI,SM,         8.40,                    67200.00,8000
,AKASH,BE,        94.90,                   161721.25,1700
,AKG,SM,        33.50,                   810000.00,24000
,AKSHARCHEM,EQ,       274.35,                 12043630.85,43507
,AKSHOPTFBR,EQ,         6.90,                  2060109.85,297077
,AKZOINDIA,EQ,      2171.00,                 59210880.55,27851
,ALANKIT,EQ,        14.50,                  2056225.65,141885
,ALBERTDAVD,EQ,       527.70,                 13021686.85,24860
,ALBK,EQ,        16.30,                 13466790.50,816011
,ALCHEM,BE,         1.35,                       81.00,60
,ALEMBICLTD,EQ,        53.65,                  5020297.65,92980
,ALICON,EQ,       371.60,                  1013429.25,2705
,ALKALI,EQ,        47.40,                   278777.35,5888
,ALKEM,EQ,      2635.20,                325456608.55,123493
,ALKYLAMINE,EQ,      1534.80,                 45493208.85,29337
,ALLCARGO,EQ,       111.05,                 11469243.95,102968
,ALLSEC,EQ,       267.50,                  1152311.75,4289
,ALMONDZ,EQ,        16.50,                    71784.95,4443
,ALPA,EQ,        19.60,                   417082.00,21064
,ALPHAGEO,EQ,       250.80,                 52909820.05,203711
,ALPSINDUS,BE,         1.10,                    20317.60,18359
,AMARAJABAT,EQ,       761.65,                293198070.95,382943
,AMBER,EQ,      1607.20,                 76144222.65,46750
,AMBIKCO,EQ,       820.50,                  4255595.65,5171
,AMDIND,EQ,        16.50,                    23218.50,1421
,AMJLAND,EQ,        21.30,                   100837.95,4728
,AMRUTANJAN,EQ,       479.90,                 21710978.05,45175
,ANANTRAJ,EQ,        33.40,                  4152758.80,122720
,ANDHRABANK,EQ,        15.80,                  8059745.75,503884
,ANDHRACEMT,EQ,         2.35,                    91971.25,38967
,ANDHRSUGAR,EQ,       286.70,                 14525989.65,50014
,ANDPAPER,EQ,       283.25,                  1501501.50,5287
,ANIKINDS,BE,         8.90,                    18624.75,2126
,ANKITMETAL,BE,          .45,                    11149.65,24358
,ANSALAPI,EQ,         5.00,                   122827.95,24309
,ANSALHSG,BE,         5.00,                    51954.30,10586
,ANTGRAPHIC,BE,          .65,                    26981.40,44866
,ANUP,EQ,       583.55,                  6511319.60,11057
,APARINDS,EQ,       391.55,                  5467775.00,13796
,APCL,EQ,       161.00,                  2063541.95,12748
,APCOTEXIND,EQ,       158.30,                  8570804.50,53821
,APEX,EQ,       354.10,                 58252196.35,160610
,APLAPOLLO,EQ,      2042.60,                 36229928.95,17470
,APLLTD,EQ,       649.15,                 93415665.05,144075
,APOLLO,EQ,        80.90,                  5832245.80,70780
,APOLLOHOSP,EQ,      1697.95,               1024648373.15,606839
,APOLLOPIPE,EQ,       487.25,                 21650530.85,43896
,APOLLOTYRE,EQ,       161.40,                254381039.80,1568825
,APOLSINHOT,EQ,       721.60,                  1199550.95,1654
,APTECHT,EQ,       149.70,                 35971934.45,235238
,ARCHIDPLY,EQ,        30.45,                   640453.25,20741
,ARCHIES,EQ,        17.80,                  2369174.25,131278
,ARCOTECH,BE,         1.60,                    20086.35,12535
,ARENTERP,EQ,        12.00,                       12.00,1
,ARIES,EQ,        71.85,                  2932642.35,40906
,ARIHANT,EQ,        20.95,                    31613.50,1492
,ARIHANTSUP,EQ,        28.55,                    56219.35,2001
,ARMANFIN,EQ,       839.85,                  4811826.20,5721
,AROGRANITE,EQ,        35.40,                   157728.50,4411
,ARROWGREEN,EQ,        59.95,                  1668543.85,28283
,ARSHIYA,EQ,        16.45,                    88499.75,5302
,ARSSINFRA,EQ,        18.95,                   641465.60,33118
,ARTEMISMED,EQ,       245.00,                   103062.85,417
,ARVIND,EQ,        38.40,                 54036446.70,1395695
,ARVINDFASN,EQ,       381.85,                143911458.90,388423
,ARVSMART,EQ,        87.45,                  2600031.20,29585
,ASAHIINDIA,EQ,       263.20,                 28186540.55,107508
,ASAHISONG,EQ,       131.95,                  1031573.65,7780
,ASAL,EQ,        29.65,                   462541.55,15496
,ASCOM,SM,        32.90,                   131600.00,4000
,ASHAPURMIN,EQ,        35.70,                 13765377.95,399645
,ASHIANA,EQ,       103.10,                  3862907.70,37813
,ASHIMASYN,EQ,         7.00,                   141782.85,20032
,ASHOKA,EQ,       104.75,                 40670917.15,381464
,ASIANHOTNR,EQ,        86.75,                   110710.80,1271
,ASIANTILES,EQ,       240.65,                 65399052.60,276590
,ASPINWALL,EQ,       139.80,                    95195.50,680
,ASTEC,EQ,       463.40,                  1650468.20,3537
,ASTERDM,EQ,       166.65,                 17239581.20,103553
,ASTRAL,EQ,      1217.90,                129422369.70,106329
,ASTRAMICRO,EQ,        98.00,                 36351464.35,368468
,ASTRAZEN,EQ,      2651.20,                 71837303.35,26647
,ASTRON,EQ,        40.00,                 15941524.85,398905
,ATFL,EQ,       703.35,                  5581479.10,7969
,ATLANTA,EQ,         5.70,                    39361.20,6938
,ATLASCYCLE,BE,        47.20,                    60153.80,1274
,ATUL,EQ,      5018.50,                 84283671.00,16964
,ATULAUTO,EQ,       239.55,                  5645449.25,23319
,AUBANK,EQ,      1162.90,                986509343.95,856286
,AURIONPRO,EQ,        51.25,                  1785910.90,34285
,AUSOMENT,BE,        42.90,                    61067.05,1459
,AUTOAXLES,EQ,       822.35,                  3169217.15,3839
,AUTOIND,BE,        22.70,                    94813.55,4117
,AUTOLITIND,EQ,        22.65,                    13881.10,610
,AVADHSUGAR,EQ,       257.10,                 32320196.85,125786
,AVANTIFEED,EQ,       610.00,                279789813.35,452905
,AVTNPL,EQ,        35.95,                  3650877.90,102810
,AXISCADES,BE,        66.00,                  1447333.80,22491
,AXISGOLD,EQ,      3572.45,                  1646455.10,461
,AXISNIFTY,EQ,      1248.10,                   204839.77,164
,AYMSYNTEX,EQ,        35.00,                  1375711.70,37887
,BAGFILMS,BE,         1.75,                   106634.95,59227
,BAJAJCON,EQ,       204.65,                241893019.50,1183308
,BAJAJELEC,EQ,       431.70,                196016522.35,438007
,BAJAJHIND,EQ,         6.20,                  5779649.15,922468
,BALAJITELE,EQ,        54.15,                  3264470.40,60682
,BALAMINES,EQ,       424.30,                 21601690.05,49653
,BALAXI,EQ,       101.50,                   456071.00,4583
,BALKRISHNA,EQ,        15.80,                    77063.40,4779
,BALKRISIND,EQ,      1137.15,               1398122173.95,1233908
,BALLARPUR,BE,          .50,                   197443.40,364710
,BALMLAWRIE,EQ,       114.30,                  6748406.10,58531
,BALPHARMA,EQ,        43.50,                   305285.15,6976
,BALRAMCHIN,EQ,       159.10,                217791731.50,1368552
,BANARBEADS,EQ,        34.50,                    31032.90,897
,BANARISUG,EQ,      1414.35,                   381873.90,273
,BANCOINDIA,EQ,       102.05,                  3700530.40,36315
,BANG,EQ,        17.30,                    47361.15,2681
,BANKA,SM,        68.40,                   164160.00,2400
,BANKBEES,EQ,       319.47,                 25567945.64,79858
,BANKINDIA,EQ,        64.40,                 61734257.20,955718
,BANSWRAS,BE,       125.00,                  1050141.20,8406
,BARTRONICS,BE,         1.15,                     5382.95,4751
,BASF,EQ,       916.50,                373941918.75,387758
,BASML,EQ,       122.45,                    29961.40,232
,BATAINDIA,EQ,      1800.10,                839951624.75,463110
,BAYERCROP,EQ,      4457.45,                108402699.70,24226
,BBL,EQ,       844.45,                 13353927.30,15785
,BBTC,EQ,      1178.90,                228916056.60,191873
,BBTCL,SM,        33.50,                   100500.00,3000
,BCG,BE,         5.05,                  2204193.70,430871
,BCP,BE,        20.00,                   431962.85,21276
,BDL,EQ,       289.20,                 11357512.20,38931
,BEARDSELL,BE,         9.00,                     1035.00,115
,BEDMUTHA,BE,        15.20,                    59386.05,3912
,BEL,EQ,        85.70,               1160135595.05,13450753
,BEML,EQ,       968.35,               1512073201.60,1573970
,BEPL,EQ,        48.65,                 10717746.90,219452
,BETA,SM,        66.00,                  1364800.00,21600
,BFINVEST,EQ,       324.85,                 23288062.10,70753
,BFUTILITIE,EQ,       333.25,                 86347295.85,258555
,BGLOBAL,BE,         1.45,                     3455.75,2305
,BGRENERGY,EQ,        37.95,                  5878070.40,151899
,BHAGERIA,EQ,       140.20,                 31959238.75,219512
,BHAGYANGR,EQ,        19.00,                   152629.35,8038
,BHAGYAPROP,EQ,        24.25,                   493490.30,20377
,BHANDARI,EQ,         1.15,                    40505.30,35772
,BHARATFORG,EQ,       491.45,               1428997462.65,2916081
,BHARATGEAR,BE,        57.05,                   170594.20,2959
,BHARATRAS,EQ,      7380.95,                 24892752.70,3339
,BHARATWIRE,EQ,        30.65,                  2940757.50,94430
,BHEL,EQ,        38.55,                786647279.80,20338186
,BIGBLOC,BE,        36.75,                    39491.75,1065
,BIL,EQ,       166.35,                   466622.00,2786
,BILENERGY,EQ,          .80,                   128624.55,160719
,BINDALAGRO,EQ,        12.50,                   331617.65,25972
,BIOFILCHEM,BE,        12.05,                    46359.65,4032
,BIRLACABLE,EQ,        54.30,                  2622924.55,47431
,BIRLACORPN,EQ,       762.10,                102747846.65,134915
