,12-Feb-2020
The Nifty witnessed an intraday movement of about 87.45 points.The closing index was 0.77 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 35861.12
, Traded Quantity (in Lakhs), 17362.42
, Number of Trades, 12159649
, Total Market Capitalisation (Rs. Crores), 15823968.89

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     12107.90,     12151.00,     12231.75,     12144.30,     12201.20,93.3
,NIFTY50 EQL Wgt,     12267.80,     12307.70,     12352.70,     12301.10,     12313.35,45.55
,NIFTY100 EQL Wgt,     13410.15,     13445.45,     13490.20,     13394.85,     13418.90,8.75
,NIFTY100 LowVol30,      8938.75,      8965.65,      9040.30,      8963.45,      9013.85,75.1
,NIFTY Alpha 50,     14253.45,     14308.70,     14355.70,     14253.30,     14304.30,50.85
,NIFTY MIDCAP 150,      6751.20,      6769.20,      6777.60,      6728.85,      6740.10,-11.1
,NIFTY SMLCAP 50,      2991.30,      3005.20,      3005.50,      2988.50,      2992.45,1.15
,NIFTY SMLCAP 250,      5228.40,      5249.35,      5249.75,      5206.75,      5217.50,-10.9
,NIFTY MIDSML 400,      6206.25,      6225.40,      6229.10,      6184.35,      6195.20,-11.05
,NIFTY200 QUALTY30,     10015.10,     10043.25,     10131.45,     10040.70,     10097.65,82.55
,Nifty IT,     16452.30,     16462.25,     16599.05,     16419.45,     16538.10,85.8
,Nifty Next 50,     28854.35,     28927.40,     29045.95,     28743.45,     28855.35,1
,Nifty Bank,     31300.60,     31441.15,     31588.60,     31398.15,     31492.90,192.3
,NIFTY MIDCAP 100,     18206.20,     18248.60,     18273.75,     18126.05,     18169.35,-36.85
,Nifty 500,      9987.05,     10020.60,     10067.70,     10015.85,     10037.10,50.05
,Nifty 100,     12246.20,     12288.15,     12362.00,     12282.20,     12327.70,81.5
,Nifty Midcap 50,      4950.45,      4966.85,      4982.95,      4928.00,      4945.25,-5.2
,Nifty Realty,       317.80,       318.00,       318.65,       311.40,       315.20,-2.6
,Nifty Infra,      3281.10,      3289.10,      3301.95,      3280.30,      3290.15,9.05
,Nifty Energy,     15233.45,     15268.60,     15380.75,     15198.80,     15234.20,.75
,Nifty FMCG,     30414.55,     30494.95,     31084.45,     30488.45,     30986.25,571.7
,Nifty MNC,     14066.40,     14092.60,     14233.25,     14083.05,     14174.05,107.65
,Nifty Pharma,      8324.65,      8341.70,      8375.00,      8238.95,      8265.05,-59.6
,Nifty PSE,      3061.30,      3067.80,      3084.10,      3045.35,      3051.90,-9.4
,Nifty PSU Bank,      2293.40,      2312.00,      2312.00,      2243.45,      2249.25,-44.15
,Nifty Serv Sector,     17549.95,     17617.80,     17724.80,     17602.35,     17657.20,107.25
,India VIX,13.8800,13.8800,13.8800,13.1475,13.6225,-0.2575
,Nifty Auto,      7892.40,      7932.30,      7961.10,      7905.75,      7933.80,41.4
,Nifty Metal,      2651.75,      2669.00,      2691.05,      2653.05,      2668.25,16.5
,Nifty Media,      1827.45,      1836.65,      1845.15,      1817.35,      1824.20,-3.25
,NIFTY SMLCAP 100,      6190.80,      6223.70,      6224.10,      6166.00,      6176.20,-14.6
,Nifty 200,      6288.10,      6308.85,      6342.40,      6305.80,      6323.80,35.7
,Nifty Div Opps 50,      2512.40,      2517.00,      2534.95,      2516.50,      2528.30,15.9
,Nifty Commodities,      3379.90,      3393.35,      3410.55,      3375.25,      3378.25,-1.65
,Nifty Consumption,      5106.40,      5123.50,      5183.65,      5119.80,      5166.95,60.55
,Nifty Fin Service,     14589.55,     14668.80,     14747.70,     14632.55,     14685.40,95.85
,Nifty50 Div Point,       120.55,       120.55,       120.55,       120.55,       120.55,0
,Nifty100 Liq 15,      3705.70,      3718.85,      3735.40,      3692.00,      3698.65,-7.05
,Nifty CPSE,      1701.25,      1707.70,      1717.75,      1700.35,      1703.85,2.6
,Nifty GrowSect 15,      6324.65,      6338.20,      6419.95,      6333.70,      6389.70,65.05
,Nifty50 PR 2x Lev,      5189.65,      5225.90,      5294.95,      5220.85,      5268.95,79.3
,Nifty50 PR 1x Inv,       387.60,       386.30,       386.50,       383.70,       384.70,-2.9
,Nifty50 TR 2x Lev,      6749.15,      6796.30,      6886.10,      6789.65,      6852.25,103.1
,Nifty50 TR 1x Inv,       339.95,       338.80,       338.95,       336.55,       337.40,-2.55
,Nifty50 Value 20,      5485.65,      5501.00,      5562.05,      5498.75,      5547.30,61.65
,Nifty Mid Liq 15,      4325.85,      4340.20,      4350.45,      4296.50,      4319.25,-6.6
,Nifty Pvt Bank,     17201.75,     17231.60,     17347.40,     17204.90,     17318.95,117.2
,NIFTY100 Qualty30,      2751.25,      2756.70,      2781.00,      2755.85,      2771.85,20.6
,Nifty GS 8 13Yr,      2059.33,      2059.71,      2060.13,      2058.14,      2058.24,-1.09
,Nifty GS 10Yr,      1892.87,      1893.20,      1893.20,      1890.84,      1890.98,-1.89
,Nifty GS 10Yr Cln,       949.72,       949.72,       949.72,       948.51,       948.58,-1.14
,Nifty GS 4 8Yr,      2194.43,      2194.84,      2195.26,      2194.14,      2194.79,.36
,Nifty GS 11 15Yr,      2210.94,      2211.37,      2211.37,      2209.62,      2210.18,-.76
,Nifty GS 15YrPlus,      2402.56,      2403.02,      2403.02,      2403.02,      2403.02,.46
,Nifty GS Compsite,      2098.91,      2099.30,      2099.30,      2098.04,      2098.36,-.55

,ADVANCES,722
,DECLINES,1109
,UNCHANGED,119

,Total securities that have hit their price bands today,336

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,IBULHSGFIN,EQ,       344.95,       339.75,-1.51,2022.83
,SBIN,EQ,       324.35,       320.20,-1.28,1260.6
,INDUSINDBK,EQ,      1292.65,      1277.40,-1.18,1144.27
,HINDUNILVR,EQ,      2152.65,      2260.35,5,1068.88
,HDFC,EQ,      2435.15,      2437.60,0.1,1023.6
,RELIANCE,EQ,      1452.75,      1470.30,1.21,906.94
,ICICIBANK,EQ,       539.75,       549.30,1.77,766.85
,IRCTC,EQ,      1408.00,      1415.25,0.51,752.77
,TATAMOTORS,EQ,       169.75,       170.95,0.71,591.43
,TATASTEEL,EQ,       444.10,       447.95,0.87,528.08
,DMART,EQ,      2394.50,      2482.15,3.66,522.17
,PEL,EQ,      1561.65,      1528.40,-2.13,515.67
,KOTAKBANK,EQ,      1677.45,      1714.90,2.23,514.73
,AXISBANK,EQ,       749.95,       755.25,0.71,468.37
,MARUTI,EQ,      7033.75,      7043.30,0.14,423.22
,BAJFINANCE,EQ,      4749.35,      4768.70,0.41,420.08
,HDFCBANK,EQ,      1240.60,      1249.00,0.68,393.44
,YESBANK,EQ,        36.85,        35.20,-4.48,359.7
,TCS,EQ,      2153.40,      2170.75,0.81,352.21
,LT,EQ,      1286.90,      1297.30,0.81,331.4
,GODREJCP,EQ,       615.70,       642.15,4.3,311.95
,ASIANPAINT,EQ,      1878.10,      1893.70,0.83,307.43
,HCLTECH,EQ,       610.65,       614.10,0.56,299.61
,EICHERMOT,EQ,     19009.25,     19277.85,1.41,292.68
,BHARTIARTL,EQ,       534.30,       539.60,0.99,273.47

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,HINDUNILVR,EQ,      2260.35,      2152.65,5
,KOTAKBANK,EQ,      1714.90,      1677.45,2.23
,NESTLEIND,EQ,     16297.70,     15997.15,1.88
,ICICIBANK,EQ,       549.30,       539.75,1.77
,JSWSTEEL,EQ,       293.70,       288.75,1.71

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,YESBANK,EQ,        35.20,        36.85,-4.48
,INFRATEL,EQ,       243.35,       248.80,-2.19
,BPCL,EQ,       474.75,       481.00,-1.3
,SBIN,EQ,       320.20,       324.35,-1.28
,INDUSINDBK,EQ,      1277.40,      1292.65,-1.18

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        34.50,                  2441200.95,70278
,21STCENMGM,EQ,        13.20,                    14559.60,1103
,3IINFOTECH,EQ,         2.20,                  1951523.00,888641
,3MINDIA,EQ,     22379.95,                285046284.90,12598
,3PLAND,EQ,         5.45,                     4140.30,759
,5PAISA,EQ,       182.15,                   991981.00,5396
,617GS2021,GS,        95.00,                     7600.05,80
,63MOONS,EQ,       103.20,                 10676798.55,102486
,732GS2024,GS,        95.55,                     9555.00,100
,772GS2055,GS,        99.80,                     9980.00,100
,795GS2032,GS,       105.21,                    27384.65,265
,824GS2027,GS,       104.21,                    10421.00,100
,A2ZINFRA,EQ,         5.45,                  1993848.80,349302
,AARON,SM,        49.65,                   163845.00,3300
,AARTIDRUGS,EQ,       618.60,                  8538142.00,13756
,AARTIIND,EQ,       984.65,                116789232.25,118255
,AARVEEDEN,EQ,        14.00,                     7170.00,511
,AAVAS,EQ,      1894.55,                156271857.35,82277
,ABAN,EQ,        23.10,                  2395084.75,101834
,ABB,EQ,      1274.45,                375811009.35,290668
,ABBOTINDIA,EQ,     14743.25,                226229077.00,15322
,ABCAPITAL,EQ,        93.25,                171048994.25,1814135
,ABFRL,EQ,       269.30,                454101072.75,1674387
,ABMINTLTD,BE,        13.45,                      215.20,16
,ABSLBANETF,EQ,       313.13,                      313.13,1
,ACCELYA,EQ,       999.35,                 24891715.60,24222
,ACCURACY,SM,        22.75,                  1853040.00,81600
,ACE,EQ,        78.70,                  6630411.75,83519
,ACEINTEG,SM,        15.20,                   410400.00,27000
,ADANIENT,EQ,       249.70,               1119443785.25,4490312
,ADANIGAS,EQ,       168.60,                 98004250.65,579296
,ADANIGREEN,EQ,       207.65,                183134724.35,879583
,ADANIPOWER,EQ,        60.45,                289034030.35,4788293
,ADANITRANS,EQ,       335.60,                 42843969.05,126766
,ADFFOODS,EQ,       304.05,                  4656006.55,15313
,ADHUNIKIND,EQ,        37.60,                  1594297.60,42062
,ADLABS,BE,         3.80,                   308898.00,81588
,ADORWELD,EQ,       334.90,                  1392986.35,4172
,ADROITINFO,BE,         5.90,                     2321.50,420
,ADSL,BE,        23.50,                  1068783.25,46060
,ADVANIHOTR,EQ,        56.15,                   244038.40,4289
,ADVENZYMES,EQ,       169.95,                 13416130.40,78817
,AEGISCHEM,EQ,       223.70,                 48682332.15,215450
,AFFLE,EQ,      1941.80,               1171368838.00,622343
,AGARIND,EQ,        81.05,                   409160.55,5050
,AGCNET,EQ,       306.50,                 21181566.65,69255
,AGRITECH,EQ,        43.55,                   388645.40,8913
,AGROPHOS,EQ,        15.10,                   665290.90,44059
,AHLADA,SM,        64.30,                   324650.00,5000
,AHLEAST,EQ,       187.10,                   362701.70,1939
,AHLUCONT,EQ,       316.40,                   764714.00,2362
,AHLWEST,EQ,       331.90,                   436081.45,1306
,AIAENG,EQ,      1824.50,                136126129.65,72867
,AIONJSW,EQ,        14.25,                  1516722.50,107489
,AIRAN,EQ,        12.60,                   542842.05,43925
,AJANTPHARM,EQ,      1398.55,                270739302.65,194276
,AJMERA,EQ,       122.90,                  1342612.20,10866
,AKASH,BE,        96.50,                    99930.00,1020
,AKSHARCHEM,EQ,       246.05,                  5992263.90,23683
,AKSHOPTFBR,EQ,         6.80,                  1203470.80,174209
