,04-Mar-2020
The Nifty witnessed an intraday movement of about 274.45 points.The closing index was 0.46 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 47151.03
, Traded Quantity (in Lakhs), 21021.97
, Number of Trades, 16118573
, Total Market Capitalisation (Rs. Crores), 14571299.71

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     11303.30,     11351.35,     11356.60,     11082.15,     11251.00,-52.3
,NIFTY50 EQL Wgt,     11323.65,     11361.45,     11384.45,     11127.00,     11309.45,-14.2
,NIFTY100 EQL Wgt,     12340.05,     12393.15,     12410.75,     12086.30,     12268.80,-71.25
,NIFTY100 LowVol30,      8462.75,      8494.55,      8535.80,      8385.10,      8517.50,54.75
,NIFTY Alpha 50,     13514.95,     13575.00,     13606.80,     13104.35,     13251.65,-263.3
,NIFTY MIDCAP 150,      6342.05,      6355.65,      6370.55,      6156.90,      6244.95,-97.1
,NIFTY SMLCAP 50,      2709.30,      2723.05,      2731.55,      2623.45,      2656.70,-52.6
,NIFTY SMLCAP 250,      4830.20,      4852.55,      4862.80,      4687.85,      4754.95,-75.25
,NIFTY MIDSML 400,      5800.00,      5816.85,      5829.25,      5633.60,      5710.70,-89.3
,NIFTY200 QUALTY30,      9527.55,      9570.60,      9603.05,      9412.40,      9561.60,34.05
,Nifty IT,     15723.20,     15824.90,     15919.95,     15612.75,     15864.30,141.1
,Nifty Next 50,     26926.30,     27077.35,     27103.30,     26367.10,     26717.15,-209.15
,Nifty Bank,     29177.05,     29252.95,     29273.65,     28125.15,     28653.70,-523.35
,NIFTY MIDCAP 100,     17004.35,     17035.25,     17083.85,     16490.40,     16746.45,-257.9
,Nifty 500,      9324.30,      9362.90,      9368.55,      9125.45,      9258.25,-66.05
,Nifty 100,     11430.85,     11481.55,     11485.50,     11205.95,     11372.85,-58
,Nifty Midcap 50,      4562.20,      4563.65,      4577.90,      4416.60,      4500.20,-62
,Nifty Realty,       284.15,       286.30,       288.25,       273.60,       281.05,-3.1
,Nifty Infra,      3044.80,      3055.35,      3060.40,      2980.15,      3024.65,-20.15
,Nifty Energy,     13863.70,     13893.55,     13975.20,     13657.65,     13876.65,12.95
,Nifty FMCG,     29406.20,     29563.15,     29604.70,     28873.35,     29223.75,-182.45
,Nifty MNC,     13467.85,     13513.45,     13528.65,     13201.60,     13416.20,-51.65
,Nifty Pharma,      7920.60,      7970.00,      8131.85,      7840.85,      8086.55,165.95
,Nifty PSE,      2777.25,      2779.15,      2803.35,      2734.55,      2776.75,-.5
,Nifty PSU Bank,      1881.20,      1889.70,      1897.40,      1816.80,      1865.90,-15.3
,Nifty Serv Sector,     16458.70,     16528.95,     16537.45,     16113.40,     16344.15,-114.55
,India VIX,24.5425,24.5425,26.2875,22.4250,24.2250,-0.3175
,Nifty Auto,      6986.65,      6990.85,      7019.55,      6775.80,      6938.85,-47.8
,Nifty Metal,      2320.75,      2321.95,      2323.95,      2247.25,      2304.30,-16.45
,Nifty Media,      1647.65,      1649.40,      1652.20,      1577.35,      1617.65,-30
,NIFTY SMLCAP 100,      5689.90,      5715.60,      5730.35,      5497.60,      5576.60,-113.3
,Nifty 200,      5869.85,      5894.15,      5897.30,      5747.85,      5833.40,-36.45
,Nifty Div Opps 50,      2343.90,      2353.60,      2355.95,      2314.85,      2345.60,1.7
,Nifty Commodities,      3076.30,      3083.15,      3087.00,      3001.15,      3049.45,-26.85
,Nifty Consumption,      4877.95,      4899.35,      4915.25,      4798.75,      4871.65,-6.3
,Nifty Fin Service,     13636.95,     13685.00,     13695.70,     13245.45,     13439.50,-197.45
,Nifty50 Div Point,       130.13,       130.13,       130.13,       130.13,       130.13,0
,Nifty100 Liq 15,      3317.85,      3330.95,      3336.60,      3206.55,      3270.05,-47.8
,Nifty CPSE,      1601.20,      1601.35,      1618.05,      1579.70,      1605.90,4.7
,Nifty GrowSect 15,      5923.45,      5944.00,      5946.60,      5781.00,      5859.05,-64.4
,Nifty50 PR 2x Lev,      4497.95,      4535.60,      4538.50,      4322.25,      4455.75,-42.2
,Nifty50 PR 1x Inv,       415.35,       413.65,       423.50,       413.50,       417.35,2
,Nifty50 TR 2x Lev,      5859.30,      5908.35,      5912.10,      5630.40,      5804.30,-55
,Nifty50 TR 1x Inv,       364.00,       362.50,       371.15,       362.40,       365.75,1.75
,Nifty50 Value 20,      5149.75,      5174.05,      5205.00,      5115.65,      5189.70,39.95
,Nifty Mid Liq 15,      3953.90,      3960.15,      3971.40,      3826.95,      3904.00,-49.9
,Nifty Pvt Bank,     16054.95,     16093.40,     16103.80,     15495.40,     15761.60,-293.35
,NIFTY100 Qualty30,      2606.45,      2618.65,      2625.60,      2567.55,      2606.40,-.05
,Nifty GS 8 13Yr,      2082.38,      2082.76,      2099.26,      2082.76,      2096.62,14.24
,Nifty GS 10Yr,      1916.68,      1917.01,      1934.11,      1917.01,      1930.54,13.86
,Nifty GS 10Yr Cln,       958.18,       958.18,       966.95,       958.18,       965.12,6.94
,Nifty GS 4 8Yr,      2213.90,      2214.31,      2228.41,      2214.31,      2226.06,12.16
,Nifty GS 11 15Yr,      2235.82,      2236.25,      2253.93,      2236.25,      2252.72,16.9
,Nifty GS 15YrPlus,      2455.14,      2455.60,      2467.49,      2455.60,      2467.36,12.22
,Nifty GS Compsite,      2120.76,      2121.15,      2135.98,      2121.15,      2133.70,12.94

,ADVANCES,511
,DECLINES,1384
,UNCHANGED,87

,Total securities that have hit their price bands today,398

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,SBIN,EQ,       289.85,       285.30,-1.57,2086.01
,HDFCBANK,EQ,      1181.80,      1148.85,-2.79,1976.28
,RELIANCE,EQ,      1342.85,      1339.70,-0.23,1345.32
,TATAMOTORS,EQ,       130.35,       126.20,-3.18,1218.36
,IBULHSGFIN,EQ,       292.55,       282.90,-3.3,1151.89
,ICICIBANK,EQ,       514.75,       508.35,-1.24,1107.21
,BAJFINANCE,EQ,      4454.10,      4286.40,-3.77,1071.38
,SUNPHARMA,EQ,       393.55,       405.45,3.02,1064.06
,AXISBANK,EQ,       687.15,       682.20,-0.72,1010.14
,HDFC,EQ,      2191.40,      2206.05,0.67,981.36
,BHARTIARTL,EQ,       520.80,       516.75,-0.78,923.71
,TATASTEEL,EQ,       387.55,       377.15,-2.68,857.27
,INFY,EQ,       747.00,       758.75,1.57,829.56
,INDUSINDBK,EQ,      1108.05,      1065.95,-3.8,734.16
,IRCTC,EQ,      1739.30,      1565.40,-10,727.17
,EICHERMOT,EQ,     17888.45,     17254.20,-3.55,724.26
,INDIGO,EQ,      1228.45,      1201.05,-2.23,680.95
,TCS,EQ,      2036.20,      2083.20,2.31,666.63
,SRTRANSFIN,EQ,      1257.10,      1165.35,-7.3,612.25
,YESBANK,EQ,        31.20,        29.30,-6.09,603.96
,DRREDDY,EQ,      3043.70,      3171.35,4.19,573.28
,MARUTI,EQ,      6386.05,      6384.35,-0.03,572.86
,ASIANPAINT,EQ,      1800.55,      1847.95,2.63,561.82
,ITC,EQ,       193.85,       187.50,-3.28,523.19
,VEDL,EQ,       119.55,       119.35,-0.17,453.6

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,CIPLA,EQ,       447.65,       425.30,5.26
,DRREDDY,EQ,      3171.35,      3043.70,4.19
,SUNPHARMA,EQ,       405.45,       393.55,3.02
,POWERGRID,EQ,       197.05,       191.70,2.79
,GAIL,EQ,       106.05,       103.20,2.76

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,YESBANK,EQ,        29.30,        31.20,-6.09
,INDUSINDBK,EQ,      1065.95,      1108.05,-3.8
,BAJFINANCE,EQ,      4286.40,      4454.10,-3.77
,EICHERMOT,EQ,     17254.20,     17888.45,-3.55
,ITC,EQ,       187.50,       193.85,-3.28

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        30.25,                   575798.10,18843
,21STCENMGM,EQ,        12.10,                      605.00,50
,3IINFOTECH,EQ,         1.85,                  1881990.60,998457
,3MINDIA,EQ,     22335.75,                875865179.00,39991
,3PLAND,EQ,         4.30,                      447.20,104
,5PAISA,EQ,       155.00,                   852113.60,5450
,63MOONS,EQ,        88.70,                  6340118.85,70991
,772GS2049,GS,       110.25,                      220.50,2
,A2ZINFRA,EQ,         4.05,                  1415672.45,354604
,AARON,SM,        46.40,                   153120.00,3300
,AARTIDRUGS,EQ,       654.30,                 32548648.95,49740
,AARTIIND,EQ,       963.70,                251006062.35,258701
,AARVEEDEN,EQ,        12.45,                    17249.20,1393
,AAVAS,EQ,      1899.20,                130819812.95,68659
,ABAN,EQ,        20.05,                   922729.20,46023
,ABB,EQ,      1157.15,                 47977119.25,41444
,ABBOTINDIA,EQ,     14992.30,                229281431.10,15287
,ABCAPITAL,EQ,        75.45,                108232291.95,1415274
,ABFRL,EQ,       250.15,                445926027.90,1781283
,ABSLBANETF,EQ,       284.70,                      856.42,3
,ABSLNN50ET,EQ,       269.01,                    53816.40,200
,ACCELYA,EQ,      1031.25,                  5866859.00,5678
,ACCORD,SM,        15.00,                    63000.00,4000
,ACCURACY,SM,        19.85,                  3340160.00,166400
,ACE,EQ,        64.35,                 14699912.80,221923
,ADANIENT,EQ,       221.10,               1146474334.40,5216787
,ADANIGAS,EQ,       130.40,                302174579.90,2325074
,ADANIGREEN,EQ,       152.00,                 73657122.00,480121
,ADANIPOWER,EQ,        47.65,                451403193.05,9510975
,ADANITRANS,EQ,       249.95,                 42010019.65,168073
,ADFFOODS,EQ,       248.10,                 10552664.90,41357
,ADHUNIKIND,EQ,        29.80,                  6578097.60,220723
,ADLABS,EQ,         3.50,                   126791.35,35737
,ADORWELD,EQ,       296.25,                   977073.35,3318
,ADROITINFO,EQ,         6.40,                    18757.60,2945
,ADSL,EQ,        17.20,                   791430.95,45350
,ADVANIHOTR,EQ,        50.50,                   179165.05,3508
,ADVENZYMES,EQ,       150.30,                  4923341.35,32621
,AEGISCHEM,EQ,       208.90,                 37041151.60,178430
,AFFLE,BE,      1726.30,                 54299711.05,31204
,AGARIND,EQ,        71.60,                   104028.35,1430
,AGCNET,BE,       371.45,                   588058.15,1583
,AGRITECH,EQ,        36.20,                   347284.85,9391
,AGROPHOS,EQ,        12.70,                  1170775.25,90523
,AHLADA,SM,        59.35,                    59350.00,1000
,AHLEAST,EQ,       185.90,                     8765.40,47
,AHLUCONT,EQ,       328.45,                  1371000.35,4169
,AHLWEST,EQ,       303.35,                    83392.25,273
,AIAENG,EQ,      1784.80,                244106866.40,139914
,AIONJSW,EQ,        12.45,                  1696901.00,132107
,AIRAN,EQ,        11.80,                   124602.95,10574
,AIROLAM,SM,        25.50,                    76500.00,3000
,AJANTPHARM,EQ,      1508.40,                525349113.05,351965
,AJMERA,EQ,        93.05,                  3073884.65,32611
,AKSHARCHEM,EQ,       244.25,                  2414050.20,9695
,AKSHOPTFBR,EQ,         5.30,                  1166600.35,217410
,AKZOINDIA,EQ,      2412.50,                 60154705.05,24959
,ALANKIT,EQ,        14.35,                  3421033.00,237778
