,26-Mar-2020
The Nifty witnessed an intraday movement of about 444.15 points.The closing index was 3.89 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 48647.14
, Traded Quantity (in Lakhs), 24559.76
, Number of Trades, 22356890
, Total Market Capitalisation (Rs. Crores), 11121085.29

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,      8317.85,      8451.00,      8749.05,      8304.90,      8641.45,323.6
,NIFTY50 EQL Wgt,      8286.25,      8397.80,      8634.45,      8244.40,      8548.30,262.05
,NIFTY100 EQL Wgt,      8911.50,      9036.55,      9360.40,      8895.35,      9273.95,362.45
,NIFTY100 LowVol30,      6690.00,      6791.10,      6996.35,      6681.75,      6928.05,238.05
,NIFTY Alpha 50,      9559.35,      9702.35,     10171.25,      9595.60,      9974.55,415.2
,NIFTY MIDCAP 150,      4347.05,      4390.55,      4574.20,      4340.20,      4506.80,159.75
,NIFTY SMLCAP 50,      1661.60,      1684.55,      1763.70,      1669.40,      1707.50,45.9
,NIFTY SMLCAP 250,      3041.55,      3082.95,      3215.55,      3063.25,      3147.20,105.65
,NIFTY MIDSML 400,      3876.35,      3919.15,      4083.65,      3880.60,      4016.55,140.2
,NIFTY200 QUALTY30,      7627.30,      7730.00,      7940.30,      7646.30,      7868.40,241.1
,Nifty IT,     12233.35,     12496.95,     12751.55,     12306.35,     12535.60,302.25
,Nifty Next 50,     19393.00,     19714.50,     20713.50,     19490.75,     20459.85,1066.85
,Nifty Bank,     18481.05,     18781.85,     20409.35,     18364.50,     19613.90,1132.85
,NIFTY MIDCAP 100,     11481.60,     11592.20,     12056.30,     11431.75,     11838.55,356.95
,Nifty 500,      6724.00,      6826.05,      7079.75,      6722.35,      6993.85,269.85
,Nifty 100,      8388.20,      8523.10,      8832.25,      8382.85,      8732.10,343.9
,Nifty Midcap 50,      3110.50,      3135.35,      3288.70,      3088.30,      3219.90,109.4
,Nifty Realty,       175.10,       177.75,       189.70,       173.00,       185.80,10.7
,Nifty Infra,      2261.70,      2281.45,      2351.30,      2239.80,      2335.20,73.5
,Nifty Energy,     10558.50,     10674.15,     10749.05,     10416.80,     10640.70,82.2
,Nifty FMCG,     24471.70,     24727.15,     26091.05,     24295.60,     25680.10,1208.4
,Nifty MNC,     10481.70,     10585.60,     10967.75,     10423.40,     10874.55,392.85
,Nifty Pharma,      6695.55,      6845.25,      6963.25,      6743.05,      6775.00,79.45
,Nifty PSE,      2033.10,      2051.20,      2102.60,      2003.65,      2081.80,48.7
,Nifty PSU Bank,      1327.55,      1342.10,      1398.90,      1305.00,      1335.15,7.6
,Nifty Serv Sector,     11596.20,     11813.20,     12470.55,     11631.50,     12206.10,609.9
,India VIX,77.6250,77.6250,79.4050,70.6750,71.5325,-6.0925
,Nifty Auto,      4936.15,      4981.90,      5163.70,      4847.15,      5061.30,125.15
,Nifty Metal,      1541.20,      1561.60,      1596.30,      1523.85,      1542.95,1.75
,Nifty Media,      1055.45,      1065.70,      1114.05,      1048.30,      1067.50,12.05
,NIFTY SMLCAP 100,      3441.55,      3500.00,      3646.40,      3462.60,      3550.65,109.1
,Nifty 200,      4268.85,      4334.65,      4493.10,      4264.80,      4439.50,170.65
,Nifty Div Opps 50,      1800.80,      1829.05,      1889.65,      1802.15,      1870.95,70.15
,Nifty Commodities,      2184.40,      2208.00,      2248.70,      2162.15,      2208.30,23.9
,Nifty Consumption,      3849.95,      3887.25,      4070.25,      3819.05,      4028.00,178.05
,Nifty Fin Service,      9203.30,      9366.95,     10073.85,      9174.25,      9698.55,495.25
,Nifty50 Div Point,       148.51,       149.10,       149.10,       149.10,       149.10,.59
,Nifty100 Liq 15,      2090.20,      2119.40,      2245.45,      2074.85,      2185.55,95.35
,Nifty CPSE,      1196.95,      1210.85,      1239.45,      1184.50,      1226.90,29.95
,Nifty GrowSect 15,      4405.45,      4468.75,      4714.30,      4385.30,      4656.00,250.55
,Nifty50 PR 2x Lev,      2299.55,      2373.10,      2537.40,      2295.10,      2478.40,178.85
,Nifty50 PR 1x Inv,       540.00,       531.40,       540.55,       512.10,       519.00,-21
,Nifty50 TR 2x Lev,      3009.75,      3106.45,      3321.50,      3004.35,      3244.25,234.5
,Nifty50 TR 1x Inv,       472.35,       464.75,       472.75,       447.90,       453.95,-18.4
,Nifty50 Value 20,      4116.95,      4185.90,      4313.15,      4109.50,      4263.75,146.8
,Nifty Mid Liq 15,      2666.50,      2677.25,      2802.20,      2639.10,      2757.10,90.6
,Nifty Pvt Bank,      9775.85,      9959.10,     10990.00,      9779.60,     10556.20,780.35
,NIFTY100 Qualty30,      2001.85,      2032.75,      2102.75,      2005.85,      2086.10,84.25
,Nifty GS 8 13Yr,      2079.80,      2080.18,      2087.47,      2077.55,      2086.15,6.35
,Nifty GS 10Yr,      1928.99,      1929.32,      1941.00,      1924.13,      1938.03,9.04
,Nifty GS 10Yr Cln,       960.75,       960.75,       966.74,       958.09,       965.22,4.47
,Nifty GS 4 8Yr,      2190.08,      2190.49,      2200.33,      2189.70,      2200.33,10.25
,Nifty GS 11 15Yr,      2216.85,      2217.29,      2227.36,      2217.29,      2227.23,10.38
,Nifty GS 15YrPlus,      2419.48,      2419.94,      2420.16,      2419.94,      2420.16,.68
,Nifty GS Compsite,      2112.69,      2113.09,      2123.17,      2111.23,      2122.64,9.95

,ADVANCES,1268
,DECLINES,548
,UNCHANGED,121

,Total securities that have hit their price bands today,851

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,ICICIBANK,EQ,       316.90,       330.25,4.21,2588.15
,HDFCBANK,EQ,       856.75,       901.10,5.18,2563.01
,AXISBANK,EQ,       326.80,       341.40,4.47,2285.79
,RELIANCE,EQ,      1082.25,      1066.20,-1.48,2248.03
,HDFC,EQ,      1646.05,      1733.25,5.3,2118.48
,SBIN,EQ,       189.90,       192.75,1.5,2077.64
,INDUSINDBK,EQ,       301.30,       435.90,44.67,1753.61
,BAJFINANCE,EQ,      2585.60,      2793.70,8.05,1397.87
,BHARTIARTL,EQ,       429.10,       470.70,9.69,991.76
,KOTAKBANK,EQ,      1290.15,      1372.95,6.42,974.58
,INFY,EQ,       606.20,       643.00,6.07,949.73
,ITC,EQ,       147.35,       156.40,6.14,881.69
,TCS,EQ,      1750.30,      1790.95,2.32,812.62
,LT,EQ,       765.75,       838.00,9.44,729.48
,HINDUNILVR,EQ,      2088.15,      2194.90,5.11,684.26
,PEL,EQ,       681.85,       818.15,19.99,678.48
,MARUTI,EQ,      5005.95,      4878.00,-2.56,659.52
,BAJAJFINSV,EQ,      4830.30,      5147.25,6.56,527.42
,TATAMOTORS,EQ,        70.25,        70.80,0.78,452.51
,HCLTECH,EQ,       457.60,       447.70,-2.16,429.03
,ASIANPAINT,EQ,      1593.15,      1616.95,1.49,422.52
,SUNPHARMA,EQ,       347.65,       338.30,-2.69,406.29
,BANDHANBNK,EQ,       154.75,       215.60,39.32,402.55
,ASHOKLEY,EQ,        34.45,        42.85,24.38,395.67
,IBULHSGFIN,EQ,        95.05,        95.65,0.63,369.68

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,INDUSINDBK,EQ,       435.90,       301.30,44.67
,BHARTIARTL,EQ,       470.70,       429.10,9.69
,LT,EQ,       838.00,       765.75,9.44
,BAJAJ-AUTO,EQ,      2106.85,      1946.75,8.22
,HEROMOTOCO,EQ,      1801.90,      1667.65,8.05

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,GAIL,EQ,        73.10,        75.55,-3.24
,ADANIPORTS,EQ,       248.20,       255.60,-2.9
,SUNPHARMA,EQ,       338.30,       347.65,-2.69
,MARUTI,EQ,      4878.00,      5005.95,-2.56
,TECHM,EQ,       515.20,       526.70,-2.18

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        21.75,                  1082424.25,51356
,3IINFOTECH,EQ,         1.35,                  3037969.75,2229367
,3MINDIA,EQ,     17939.85,                155864445.65,8775
,3PLAND,EQ,         3.60,                      132.60,36
,5PAISA,EQ,       104.45,                  1043933.80,9947
,63MOONS,EQ,        43.45,                  4304039.10,98188
,763GS2059,GS,       106.00,                    10600.00,100
,769GS2043,GS,       109.30,                    43790.00,400
,A2ZINFRA,EQ,         3.15,                   560177.10,174042
,AAKASH,SM,        34.85,                   104550.00,3000
,AARTIDRUGS,EQ,       487.30,                  7088200.65,14416
,AARTIIND,EQ,       738.65,                121290026.95,164219
,AARVEEDEN,EQ,         8.20,                   106829.65,13004
,AARVI,SM,        20.45,                    40900.00,2000
,AAVAS,EQ,       961.95,                 95477615.25,101712
,ABAN,EQ,        13.45,                   995523.80,73555
,ABB,EQ,       861.30,                 25290054.95,29477
,ABBOTINDIA,EQ,     14392.55,                134185922.30,9283
,ABCAPITAL,EQ,        43.90,                 91038181.45,2083531
,ABFRL,EQ,       169.75,                217795536.45,1303997
,ABSLBANETF,EQ,       199.00,                    25465.00,135
,ABSLNN50ET,EQ,       227.00,                    26332.01,116
,ABSLRIF6RG,MF,         4.14,                    78500.32,19236
,ACCELYA,EQ,       880.20,                  3132568.95,3537
,ACE,EQ,        38.25,                  4691657.25,120739
,ADANIENT,EQ,       140.25,               1136549768.45,7980255
,ADANIGAS,EQ,        90.65,                196159269.55,2221997
,ADANIGREEN,EQ,       152.10,                 96371302.00,637211
,ADANIPOWER,EQ,        30.10,                352504221.45,11771130
,ADFFOODS,EQ,       161.10,                 10331642.80,66573
,ADHUNIKIND,EQ,        14.05,                  2935669.20,207560
,ADLABS,EQ,         2.50,                   225923.55,91392
,ADORWELD,EQ,       190.20,                  1330366.25,7207
,ADROITINFO,EQ,         5.25,                      571.00,109
,ADSL,EQ,        11.60,                   357655.65,31719
,ADVANIHOTR,EQ,        29.35,                   180304.60,6124
,ADVENZYMES,EQ,       105.25,                  9631815.05,92462
,AEGISCHEM,EQ,       127.10,                 16157491.25,130994
,AFFLE,BE,       996.35,                 92128323.80,92216
,AGARIND,EQ,        49.30,                   524061.25,10464
,AGCNET,BE,       245.00,                  3231011.70,13214
,AGRITECH,EQ,        17.90,                    15178.10,848
,AGROPHOS,EQ,         6.60,                    19588.80,2968
,AHLEAST,EQ,       131.10,                    60160.20,464
,AHLUCONT,EQ,       167.40,                   513086.55,2894
,AHLWEST,EQ,       279.60,                     5595.90,20
,AIAENG,EQ,      1298.90,                 68315864.70,52246
,AIONJSW,EQ,         8.15,                   650598.60,78594
,AIRAN,EQ,         9.80,                    45860.05,4645
,AJANTPHARM,EQ,      1176.55,                 95245102.15,82514
,AJMERA,EQ,        61.65,                  1581933.35,25852
,AKASH,BE,        90.95,                    90950.00,1000
,AKSHARCHEM,EQ,       144.80,                  1576977.75,10562
,AKSHOPTFBR,EQ,         2.70,                  1896721.35,671653
,AKZOINDIA,EQ,      2045.15,                 34482503.55,17129
,ALANKIT,EQ,         9.60,                  1083204.80,115766
,ALBERTDAVD,EQ,       316.30,                  1883938.75,6003
,ALCHEM,BE,         1.15,                    13708.40,11926
