,03-Apr-2020
The Nifty witnessed an intraday movement of about 300.75 points.The closing index was 2.06 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 39647.76
, Traded Quantity (in Lakhs), 18423.52
, Number of Trades, 19547107
, Total Market Capitalisation (Rs. Crores), 10749101.96

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,      8253.80,      8356.55,      8356.55,      8055.80,      8083.80,-170
,NIFTY50 EQL Wgt,      8308.50,      8384.95,      8385.40,      8188.00,      8227.35,-81.15
,NIFTY100 EQL Wgt,      9208.20,      9257.85,      9260.70,      9056.35,      9119.25,-88.95
,NIFTY100 LowVol30,      6823.40,      6881.45,      6882.50,      6712.10,      6731.95,-91.45
,NIFTY Alpha 50,      9976.75,     10021.20,     10037.65,      9754.00,      9840.10,-136.65
,NIFTY MIDCAP 150,      4411.65,      4435.60,      4439.75,      4339.85,      4352.35,-59.3
,NIFTY SMLCAP 50,      1702.00,      1715.40,      1719.85,      1654.55,      1658.95,-43.05
,NIFTY SMLCAP 250,      3170.30,      3199.65,      3201.95,      3128.25,      3135.40,-34.9
,NIFTY MIDSML 400,      3964.60,      3990.60,      3993.85,      3904.00,      3914.15,-50.45
,NIFTY200 QUALTY30,      7799.20,      7850.50,      7853.90,      7626.20,      7640.85,-158.35
,Nifty IT,     12045.85,     12129.85,     12146.95,     11621.20,     11680.05,-365.8
,Nifty Next 50,     20664.55,     20730.70,     20744.30,     20277.25,     20399.70,-264.85
,Nifty Bank,     18208.35,     18325.05,     18326.10,     17143.20,     17249.30,-959.05
,NIFTY MIDCAP 100,     11470.95,     11528.80,     11536.45,     11282.35,     11316.75,-154.2
,Nifty 500,      6761.95,      6831.65,      6831.65,      6619.55,      6638.45,-123.5
,Nifty 100,      8404.15,      8497.75,      8497.75,      8213.25,      8240.20,-163.95
,Nifty Midcap 50,      3095.45,      3110.20,      3113.75,      3030.50,      3037.00,-58.45
,Nifty Realty,       172.10,       173.40,       175.40,       168.80,       172.05,-.05
,Nifty Infra,      2283.60,      2332.15,      2332.20,      2258.15,      2280.45,-3.15
,Nifty Energy,     10771.90,     11040.00,     11040.50,     10641.10,     10888.40,116.5
,Nifty FMCG,     26358.80,     26716.50,     27180.75,     26114.20,     26537.75,178.95
,Nifty MNC,     10791.10,     10882.60,     10882.60,     10614.40,     10631.95,-159.15
,Nifty Pharma,      7026.70,      7019.85,      7452.80,      6956.20,      7361.60,334.9
,Nifty PSE,      2146.65,      2171.20,      2204.40,      2118.40,      2168.55,21.9
,Nifty PSU Bank,      1283.10,      1285.00,      1288.90,      1228.80,      1232.30,-50.8
,Nifty Serv Sector,     11337.60,     11417.20,     11417.75,     10913.60,     10941.05,-396.55
,India VIX,60.0525,60.0525,60.5900,54.9000,55.3025,-4.7500
,Nifty Auto,      4657.55,      4652.75,      4659.80,      4511.10,      4517.75,-139.8
,Nifty Metal,      1553.55,      1563.55,      1568.75,      1496.65,      1522.90,-30.65
,Nifty Media,      1001.25,      1011.30,      1015.70,       972.95,       987.20,-14.05
,NIFTY SMLCAP 100,      3540.60,      3577.50,      3580.25,      3474.85,      3485.75,-54.85
,Nifty 200,      4275.70,      4320.65,      4320.65,      4182.25,      4195.00,-80.7
,Nifty Div Opps 50,      1869.25,      1887.35,      1906.35,      1852.55,      1873.15,3.9
,Nifty Commodities,      2227.45,      2257.65,      2257.90,      2175.90,      2198.00,-29.45
,Nifty Consumption,      3956.40,      3996.85,      3996.85,      3899.60,      3920.15,-36.25
,Nifty Fin Service,      8942.55,      8986.60,      8989.50,      8521.15,      8562.10,-380.45
,Nifty50 Div Point,          .00,          .00,          .00,          .00,          .00,0
,Nifty100 Liq 15,      2028.05,      2054.50,      2054.50,      1977.85,      1982.35,-45.7
,Nifty CPSE,      1276.75,      1297.55,      1311.10,      1267.45,      1293.00,16.25
,Nifty GrowSect 15,      4356.45,      4398.40,      4398.65,      4269.75,      4305.40,-51.05
,Nifty50 PR 2x Lev,      2249.00,      2304.90,      2304.90,      2141.25,      2156.30,-92.7
,Nifty50 PR 1x Inv,       540.75,       534.05,       553.70,       534.05,       551.90,11.15
,Nifty50 TR 2x Lev,      2944.00,      3017.20,      3017.20,      2802.95,      2822.65,-121.35
,Nifty50 TR 1x Inv,       472.95,       467.05,       484.30,       467.05,       482.70,9.75
,Nifty50 Value 20,      4208.85,      4254.75,      4284.90,      4166.30,      4203.10,-5.75
,Nifty Mid Liq 15,      2671.55,      2675.65,      2677.60,      2611.55,      2623.55,-48
,Nifty Pvt Bank,      9685.10,      9753.15,      9753.15,      9094.95,      9157.10,-528
,NIFTY100 Qualty30,      2043.55,      2057.40,      2057.80,      1994.15,      1998.05,-45.5
,Nifty GS 8 13Yr,      2108.42,      2108.81,      2108.81,      2093.95,      2094.76,-13.66
,Nifty GS 10Yr,      1953.37,      1953.70,      1953.70,      1931.09,      1932.01,-21.36
,Nifty GS 10Yr Cln,       972.07,       972.07,       972.07,       960.46,       960.94,-11.13
,Nifty GS 4 8Yr,      2224.79,      2225.20,      2225.20,      2214.04,      2214.19,-10.6
,Nifty GS 11 15Yr,      2251.48,      2251.92,      2251.92,      2236.37,      2238.75,-12.73
,Nifty GS 15YrPlus,      2483.35,      2483.80,      2483.80,      2483.80,      2483.80,.45
,Nifty GS Compsite,      2143.54,      2143.92,      2143.92,      2128.71,      2129.44,-14.1

,ADVANCES,944
,DECLINES,877
,UNCHANGED,118

,Total securities that have hit their price bands today,579

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,RELIANCE,EQ,      1080.45,      1077.45,-0.28,2037.81
,ICICIBANK,EQ,       311.15,       286.65,-7.87,1673.13
,HDFC,EQ,      1583.50,      1499.55,-5.3,1535.22
,HDFCBANK,EQ,       829.65,       813.85,-1.9,1444.13
,AXISBANK,EQ,       358.65,       325.45,-9.26,1417.62
,BAJFINANCE,EQ,      2219.35,      2207.50,-0.53,1396.77
,SBIN,EQ,       186.55,       175.50,-5.92,1150.91
,KOTAKBANK,EQ,      1181.65,      1140.85,-3.45,1131.08
,ITC,EQ,       166.40,       177.90,6.91,1100.93
,SUNPHARMA,EQ,       343.55,       375.95,9.43,1055.42
,TCS,EQ,      1708.75,      1654.20,-3.19,968.33
,HINDUNILVR,EQ,      2179.65,      2154.10,-1.17,899.76
,CIPLA,EQ,       413.75,       449.20,8.57,793.23
,INDUSINDBK,EQ,       342.25,       313.20,-8.49,736.19
,MARUTI,EQ,      4246.35,      4011.50,-5.53,707.16
,AUROPHARMA,EQ,       392.30,       382.40,-2.52,664.35
,INFY,EQ,       602.80,       585.70,-2.84,605.67
,BHARTIARTL,EQ,       421.35,       423.95,0.62,599.44
,RBLBANK,EQ,       131.30,       110.95,-15.5,515.16
,ASIANPAINT,EQ,      1603.20,      1520.90,-5.13,449.42
,BPCL,EQ,       302.95,       317.15,4.69,442.34
,TITAN,EQ,       936.05,       862.80,-7.83,438.07
,LUPIN,EQ,       579.05,       655.85,13.26,411.13
,DRREDDY,EQ,      3095.00,      3146.80,1.67,368.99
,HCLTECH,EQ,       413.55,       405.80,-1.87,339.3

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,SUNPHARMA,EQ,       375.95,       343.55,9.43
,CIPLA,EQ,       449.20,       413.75,8.57
,ITC,EQ,       177.90,       166.40,6.91
,GAIL,EQ,        80.90,        75.75,6.8
,ONGC,EQ,        69.85,        65.75,6.24

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,AXISBANK,EQ,       325.45,       358.65,-9.26
,INDUSINDBK,EQ,       313.20,       342.25,-8.49
,ICICIBANK,EQ,       286.65,       311.15,-7.87
,TITAN,EQ,       862.80,       936.05,-7.83
,SBIN,EQ,       175.50,       186.55,-5.92

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        24.45,                   459870.25,18990
,21STCENMGM,EQ,        10.50,                     5241.50,499
,3IINFOTECH,EQ,         1.30,                  3123810.45,2445739
,3MINDIA,EQ,     17490.10,                132897327.60,7588
,3PLAND,EQ,         3.55,                     5334.45,1503
,5PAISA,EQ,       115.10,                   313459.35,2711
,618GS2024,GS,       100.00,                    10000.00,100
,63MOONS,EQ,        46.15,                  1450773.60,31413
,762GS2039,GS,       103.00,                      103.00,1
,A2ZINFRA,EQ,         3.10,                   528508.55,169080
,AARON,SM,        40.25,                   132825.00,3300
,AARTIDRUGS,EQ,       540.75,                 13614992.05,25364
,AARTIIND,EQ,       790.70,                107549233.45,135885
,AARVEEDEN,EQ,         7.80,                    13639.25,1750
,AAVAS,EQ,      1132.40,                118589319.65,104654
,ABAN,EQ,        14.75,                   971578.05,66242
,ABB,EQ,       934.15,                 37234007.25,40418
,ABBOTINDIA,EQ,     15810.50,                451028181.40,28827
,ABCAPITAL,EQ,        43.45,                 57486265.15,1336547
,ABFRL,EQ,       145.95,                 62392632.15,431692
,ABSLBANETF,EQ,       228.00,                     2796.40,13
,ABSLNN50ET,EQ,       211.82,                     8613.30,39
,ACCELYA,EQ,       869.75,                 28403344.65,32652
,ACCURACY,SM,        13.00,                    41600.00,3200
,ACE,EQ,        31.60,                  9034464.60,277020
,ADANIENT,EQ,       129.05,                228493774.15,1761947
,ADANIGAS,EQ,        90.35,                 81320353.60,894968
,ADANIGREEN,EQ,       151.90,                 39385706.65,259616
,ADANIPOWER,EQ,        26.75,                126201278.35,4740718
,ADFFOODS,EQ,       174.60,                  1263548.40,7361
,ADHUNIKIND,EQ,        12.15,                   194042.70,15983
,ADLABS,EQ,         2.65,                   150320.60,57007
,ADORWELD,EQ,       188.60,                   259882.05,1386
,ADROITINFO,EQ,         5.70,                     5622.00,970
,ADSL,EQ,        12.65,                    69165.80,5332
,ADVANIHOTR,EQ,        30.20,                   156693.50,5172
,ADVENZYMES,EQ,       131.30,                  5105444.75,38645
,AEGISCHEM,EQ,       131.40,                  9346644.55,70138
,AFFLE,BE,       955.55,                 26862963.00,28126
,AGARIND,EQ,        48.65,                   359587.70,7538
,AGCNET,BE,       226.10,                   390688.10,1738
,AGRITECH,EQ,        21.80,                    13767.70,637
,AGROPHOS,EQ,         5.20,                   122744.60,23554
,AHLEAST,EQ,       128.00,                    54769.70,435
,AHLUCONT,EQ,       157.55,                  1660439.30,10316
,AHLWEST,EQ,       275.15,                   254015.65,914
,AIAENG,EQ,      1277.10,                 30078647.85,23542
,AIONJSW,EQ,        10.10,                   274740.60,27220
,AIRAN,EQ,         9.95,                    46810.20,4797
,AJANTPHARM,EQ,      1312.55,                227737175.20,166315
,AJMERA,EQ,        64.15,                   571268.15,8949
,AKSHARCHEM,EQ,       157.15,                   919829.25,5995
,AKSHOPTFBR,EQ,         3.30,                    94373.40,28598
,AKZOINDIA,EQ,      2066.65,                 13186193.05,6275
,ALANKIT,EQ,        11.75,                   436252.00,37464
,ALBERTDAVD,EQ,       318.80,                  1009550.75,3179
,ALCHEM,BE,         1.30,                     5381.50,4205
,ALEMBICLTD,EQ,        37.25,                  4034614.70,108429
,ALICON,EQ,       179.00,                    89721.60,501
,ALKALI,EQ,        26.30,                    17578.65,672
