,08-Apr-2020
The Nifty witnessed an intraday movement of about 477.8 points.The closing index was 0.49 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 57593.47
, Traded Quantity (in Lakhs), 24504.49
, Number of Trades, 23814561
, Total Market Capitalisation (Rs. Crores), 11559666.57

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,      8792.20,      8688.90,      9131.70,      8653.90,      8748.75,-43.45
,NIFTY50 EQL Wgt,      8913.80,      8818.05,      9270.60,      8773.75,      8929.90,16.1
,NIFTY100 EQL Wgt,      9739.10,      9681.95,     10148.60,      9631.60,      9825.85,86.75
,NIFTY100 LowVol30,      7271.55,      7204.15,      7536.80,      7191.85,      7292.65,21.1
,NIFTY Alpha 50,     10476.05,     10482.90,     10963.75,     10426.30,     10641.00,164.95
,NIFTY MIDCAP 150,      4561.85,      4557.60,      4762.40,      4528.80,      4637.10,75.25
,NIFTY SMLCAP 50,      1718.80,      1721.65,      1788.70,      1711.50,      1747.45,28.65
,NIFTY SMLCAP 250,      3244.50,      3268.50,      3369.55,      3252.35,      3299.60,55.1
,NIFTY MIDSML 400,      4087.20,      4093.35,      4260.15,      4070.50,      4155.20,68
,NIFTY200 QUALTY30,      8271.35,      8199.65,      8588.65,      8184.35,      8308.60,37.25
,Nifty IT,     12588.95,     12468.60,     12897.50,     12437.75,     12491.55,-97.4
,Nifty Next 50,     21702.30,     21675.50,     22700.45,     21565.95,     22139.65,437.35
,Nifty Bank,     19062.50,     18799.40,     20324.10,     18482.90,     18946.45,-116.05
,NIFTY MIDCAP 100,     11929.55,     11893.40,     12510.30,     11799.20,     12143.55,214
,Nifty 500,      7149.00,      7090.40,      7435.50,      7061.35,      7161.45,12.45
,Nifty 100,      8934.60,      8842.60,      9288.35,      8806.85,      8921.30,-13.3
,Nifty Midcap 50,      3232.10,      3208.70,      3416.40,      3178.90,      3287.80,55.7
,Nifty Realty,       183.00,       180.35,       188.55,       178.85,       180.50,-2.5
,Nifty Infra,      2444.05,      2428.85,      2513.65,      2405.35,      2439.40,-4.65
,Nifty Energy,     11667.75,     11566.75,     11990.55,     11427.90,     11685.15,17.4
,Nifty FMCG,     28745.30,     28600.25,     29817.60,     28397.35,     28839.90,94.6
,Nifty MNC,     11465.30,     11388.45,     11933.15,     11345.15,     11592.35,127.05
,Nifty Pharma,      8124.85,      8122.90,      8564.85,      8056.30,      8412.20,287.35
,Nifty PSE,      2255.00,      2251.45,      2329.00,      2223.85,      2262.55,7.55
,Nifty PSU Bank,      1261.85,      1250.40,      1325.15,      1238.30,      1261.25,-.6
,Nifty Serv Sector,     11841.95,     11713.80,     12393.75,     11668.40,     11785.60,-56.35
,India VIX,51.8000,51.8000,53.7325,46.9750,52.2425,0.4425
,Nifty Auto,      4951.55,      4833.00,      5257.00,      4830.40,      5043.60,92.05
,Nifty Metal,      1637.00,      1613.40,      1726.40,      1597.05,      1624.85,-12.15
,Nifty Media,      1045.50,      1033.15,      1096.90,      1026.20,      1064.25,18.75
,NIFTY SMLCAP 100,      3614.60,      3629.80,      3767.90,      3611.40,      3679.45,64.85
,Nifty 200,      4535.35,      4492.00,      4719.10,      4472.65,      4537.55,2.2
,Nifty Div Opps 50,      1991.10,      1976.05,      2048.35,      1967.30,      1993.55,2.45
,Nifty Commodities,      2365.10,      2341.65,      2444.15,      2316.90,      2355.90,-9.2
,Nifty Consumption,      4262.85,      4233.10,      4437.35,      4217.45,      4286.45,23.6
,Nifty Fin Service,      9278.30,      9152.60,      9814.30,      9084.40,      9243.45,-34.85
,Nifty50 Div Point,          .00,          .00,          .00,          .00,          .00,0
,Nifty100 Liq 15,      2177.45,      2151.75,      2299.15,      2134.00,      2196.10,18.65
,Nifty CPSE,      1323.25,      1320.70,      1361.85,      1302.45,      1331.15,7.9
,Nifty GrowSect 15,      4640.60,      4584.50,      4856.50,      4566.75,      4663.15,22.55
,Nifty50 PR 2x Lev,      2533.20,      2473.50,      2727.95,      2455.90,      2508.00,-25.2
,Nifty50 PR 1x Inv,       503.80,       509.75,       511.50,       484.45,       506.30,2.5
,Nifty50 TR 2x Lev,      3316.00,      3237.85,      3570.95,      3214.80,      3283.00,-33
,Nifty50 TR 1x Inv,       440.60,       445.85,       447.35,       423.70,       442.85,2.25
,Nifty50 Value 20,      4518.35,      4478.90,      4636.75,      4465.55,      4493.50,-24.85
,Nifty Mid Liq 15,      2744.50,      2732.70,      2893.70,      2702.95,      2791.70,47.2
,Nifty Pvt Bank,     10169.40,     10042.45,     10909.45,      9857.65,     10158.40,-11
,NIFTY100 Qualty30,      2166.05,      2142.75,      2247.20,      2137.55,      2171.05,5
,Nifty GS 8 13Yr,      2081.08,      2081.47,      2082.32,      2077.88,      2079.20,-1.88
,Nifty GS 10Yr,      1917.97,      1918.32,      1920.13,      1912.67,      1914.78,-3.19
,Nifty GS 10Yr Cln,       953.28,       953.28,       954.19,       950.48,       951.52,-1.76
,Nifty GS 4 8Yr,      2203.10,      2203.51,      2203.51,      2197.40,      2199.28,-3.82
,Nifty GS 11 15Yr,      2227.84,      2228.27,      2228.27,      2222.67,      2223.23,-4.61
,Nifty GS 15YrPlus,      2442.33,      2442.78,      2444.44,      2442.78,      2443.77,1.44
,Nifty GS Compsite,      2116.18,      2116.57,      2117.12,      2112.30,      2112.95,-3.23

,ADVANCES,1217
,DECLINES,627
,UNCHANGED,118

,Total securities that have hit their price bands today,681

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,RELIANCE,EQ,      1206.10,      1192.15,-1.16,2724.14
,AXISBANK,EQ,       388.85,       391.35,0.64,2575.97
,HDFCBANK,EQ,       896.10,       888.90,-0.8,2535.76
,HINDUNILVR,EQ,      2444.90,      2460.85,0.65,2467.91
,ICICIBANK,EQ,       326.10,       318.95,-2.19,2431.38
,INDUSINDBK,EQ,       383.85,       399.15,3.99,2223.73
,BAJFINANCE,EQ,      2253.35,      2332.90,3.53,2088.83
,SBIN,EQ,       186.40,       183.00,-1.82,1500.99
,HDFC,EQ,      1555.15,      1558.80,0.23,1440.38
,MARUTI,EQ,      4553.65,      4698.10,3.17,1316.2
,CADILAHC,EQ,       312.35,       349.85,12.01,1223.24
,SUNPHARMA,EQ,       417.35,       436.70,4.64,1212.65
,TCS,EQ,      1775.20,      1705.45,-3.93,1091.66
,CIPLA,EQ,       492.25,       512.75,4.16,1005.85
,DRREDDY,EQ,      3583.20,      3683.00,2.79,926.85
,KOTAKBANK,EQ,      1198.05,      1187.65,-0.87,888.99
,INFY,EQ,       639.00,       631.60,-1.16,752.62
,ITC,EQ,       181.55,       178.65,-1.6,674.47
,BHARTIARTL,EQ,       470.20,       461.65,-1.82,627.26
,AUROPHARMA,EQ,       445.70,       438.15,-1.69,592.56
,BANDHANBNK,EQ,       167.25,       193.75,15.84,583.33
,TATASTEEL,EQ,       276.20,       274.75,-0.52,576.02
,TATAMOTORS,EQ,        67.25,        67.60,0.52,565.12
,JINDALSTEL,EQ,        81.40,        84.90,4.3,544.16
,BAJAJFINSV,EQ,      4724.90,      4608.50,-2.46,525.95

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,VEDL,EQ,        70.30,        66.75,5.32
,SUNPHARMA,EQ,       436.70,       417.35,4.64
,NTPC,EQ,        85.20,        81.55,4.48
,INFRATEL,EQ,       166.40,       159.65,4.23
,CIPLA,EQ,       512.75,       492.25,4.16

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,TCS,EQ,      1705.45,      1775.20,-3.93
,TITAN,EQ,       913.45,       947.45,-3.59
,SHREECEM,EQ,     16063.95,     16634.55,-3.43
,HINDALCO,EQ,       100.85,       103.95,-2.98
,BPCL,EQ,       342.30,       351.10,-2.51

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        26.20,                  2193820.55,80527
,21STCENMGM,EQ,        10.40,                    32728.25,3205
,3IINFOTECH,EQ,         1.25,                  3578364.95,2793301
,3MINDIA,EQ,     18318.20,                183605811.20,9926
,3PLAND,EQ,         3.85,                     1557.85,406
,5PAISA,EQ,       123.35,                   793277.05,6500
,63MOONS,EQ,        53.70,                  3890984.70,72221
,726GS2029,GS,       102.75,                    45447.50,440
,812GS2020,GS,        96.91,                       96.91,1
,A2ZINFRA,EQ,         3.15,                   367778.85,116011
,AAKASH,SM,        29.95,                    89850.00,3000
,AARON,SM,        40.30,                   132990.00,3300
,AARTIDRUGS,EQ,       631.60,                 48223549.15,75970
,AARTIIND,EQ,       854.90,                419092386.85,477805
,AARVEEDEN,EQ,         8.35,                    77100.10,9251
,AAVAS,EQ,      1135.20,                 28073100.85,24179
,ABAN,EQ,        16.20,                   608439.60,37609
,ABB,EQ,       930.70,                 82358527.90,87757
,ABBOTINDIA,EQ,     17481.10,               1023745502.15,57991
,ABCAPITAL,EQ,        45.60,                 57952493.60,1253267
,ABFRL,EQ,       149.00,                 62371769.10,416099
,ABSLNN50ET,EQ,       235.00,                    12779.40,56
,ACCELYA,EQ,       880.45,                  9557704.55,10865
,ACCURACY,SM,        13.60,                    62080.00,4800
,ACE,EQ,        33.25,                  8296578.40,244708
,ADANIENT,EQ,       138.10,                456492273.10,3237290
,ADANIGAS,EQ,        90.80,                176837924.40,1888606
,ADANIGREEN,EQ,       166.45,                116248737.05,702014
,ADANIPOWER,EQ,        28.95,                361987996.95,12308064
,ADFFOODS,EQ,       187.70,                  4185556.05,22107
,ADHUNIKIND,EQ,        13.30,                    73389.40,5518
,ADLABS,EQ,         2.85,                    54965.35,19360
,ADORWELD,EQ,       195.10,                   283768.75,1438
,ADROITINFO,EQ,         5.70,                     3857.00,691
,ADSL,EQ,        12.50,                   205559.25,16203
,ADVANIHOTR,EQ,        31.80,                   169948.95,5340
,ADVENZYMES,EQ,       139.20,                 11046136.15,77441
,AEGISCHEM,EQ,       156.35,                 27041093.90,175470
,AFFLE,BE,      1053.45,                  8619737.50,8191
,AGARIND,EQ,        52.25,                   404450.25,7826
,AGCNET,BE,       234.70,                   573063.00,2524
,AGRITECH,EQ,        23.95,                    12070.80,504
,AGROPHOS,EQ,         5.70,                   227201.55,40596
,AHLADA,SM,        47.95,                   190550.00,4000
,AHLEAST,EQ,       131.55,                   439718.10,3303
,AHLUCONT,EQ,       146.30,                 21077811.20,153910
,AHLWEST,EQ,       275.00,                    67030.00,238
,AIAENG,EQ,      1255.85,                 92756824.05,73842
,AIONJSW,EQ,        11.10,                   996144.95,90347
,AIRAN,EQ,         9.80,                    18127.10,1826
,AIROLAM,SM,        16.00,                    96000.00,6000
,AISL,SM,        16.70,                    20040.00,1200
,AJANTPHARM,EQ,      1367.50,                233126032.50,166582
,AJMERA,EQ,        68.40,                  2167947.50,31766
,AKASH,BE,        90.00,                    45000.00,500
,AKSHARCHEM,EQ,       169.70,                   531878.25,3130
,AKSHOPTFBR,EQ,         3.60,                    99900.00,27750
,AKZOINDIA,EQ,      2047.90,                 26789836.95,12835
,ALANKIT,EQ,        12.90,                   183786.30,14247
