,16-Apr-2020
The Nifty witnessed an intraday movement of about 231.85 points.The closing index was 0.76 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 49916.27
, Traded Quantity (in Lakhs), 23622.26
, Number of Trades, 20471852
, Total Market Capitalisation (Rs. Crores), 11921544.88

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,      8925.30,      8851.25,      9053.75,      8821.90,      8992.80,67.5
,NIFTY50 EQL Wgt,      9285.15,      9204.10,      9418.35,      9161.25,      9382.30,97.15
,NIFTY100 EQL Wgt,     10291.15,     10233.20,     10448.75,     10176.00,     10403.20,112.05
,NIFTY100 LowVol30,      7602.70,      7531.15,      7669.30,      7497.10,      7619.20,16.5
,NIFTY Alpha 50,     10954.60,     10899.60,     11174.70,     10849.45,     11124.65,170.05
,NIFTY MIDCAP 150,      4795.60,      4786.05,      4886.70,      4761.95,      4869.90,74.3
,NIFTY SMLCAP 50,      1835.00,      1838.55,      1890.45,      1830.20,      1881.80,46.8
,NIFTY SMLCAP 250,      3434.65,      3450.65,      3515.40,      3439.75,      3504.25,69.6
,NIFTY MIDSML 400,      4305.40,      4305.20,      4392.50,      4287.25,      4378.15,72.75
,NIFTY200 QUALTY30,      8619.15,      8539.55,      8679.55,      8466.75,      8616.15,-3
,Nifty IT,     12702.60,     12430.30,     12605.40,     12205.90,     12463.60,-239
,Nifty Next 50,     23051.15,     22950.30,     23394.55,     22735.70,     23222.85,171.7
,Nifty Bank,     19057.05,     18957.15,     19520.30,     18703.45,     19400.00,342.95
,NIFTY MIDCAP 100,     12533.50,     12491.05,     12807.80,     12421.30,     12760.35,226.85
,Nifty 500,      7344.35,      7297.80,      7453.05,      7268.25,      7412.30,67.95
,Nifty 100,      9128.25,      9057.55,      9258.05,      9020.55,      9197.10,68.85
,Nifty Midcap 50,      3419.55,      3403.15,      3513.95,      3386.55,      3499.50,79.95
,Nifty Realty,       179.95,       179.05,       184.55,       178.60,       181.30,1.35
,Nifty Infra,      2538.30,      2519.95,      2589.10,      2514.20,      2573.85,35.55
,Nifty Energy,     11721.90,     11656.70,     12064.45,     11631.90,     11978.75,256.85
,Nifty FMCG,     29686.95,     29563.45,     30023.00,     29233.10,     29512.30,-174.65
,Nifty MNC,     12130.65,     12083.20,     12302.00,     11984.15,     12225.65,95
,Nifty Pharma,      9038.80,      9040.90,      9251.05,      8989.80,      9199.30,160.5
,Nifty PSE,      2343.00,      2325.55,      2407.15,      2317.35,      2389.50,46.5
,Nifty PSU Bank,      1270.85,      1272.45,      1294.85,      1256.95,      1289.00,18.15
,Nifty Serv Sector,     11906.50,     11779.45,     12077.35,     11692.80,     11990.60,84.1
,India VIX,49.7350,49.7350,49.7350,42.2550,46.0950,-3.6400
,Nifty Auto,      5333.00,      5271.25,      5420.40,      5235.65,      5394.15,61.15
,Nifty Metal,      1752.90,      1738.55,      1798.75,      1724.35,      1779.75,26.85
,Nifty Media,      1078.60,      1068.90,      1113.80,      1064.20,      1106.95,28.35
,NIFTY SMLCAP 100,      3850.30,      3868.35,      3974.55,      3844.80,      3958.50,108.2
,Nifty 200,      4647.00,      4613.10,      4715.30,      4593.70,      4687.15,40.15
,Nifty Div Opps 50,      2043.20,      2022.05,      2058.15,      2009.90,      2043.85,.65
,Nifty Commodities,      2493.65,      2480.85,      2553.35,      2474.45,      2536.90,43.25
,Nifty Consumption,      4465.95,      4421.75,      4493.00,      4386.85,      4455.55,-10.4
,Nifty Fin Service,      9239.35,      9191.15,      9466.15,      9097.00,      9392.60,153.25
,Nifty50 Div Point,          .00,          .00,          .00,          .00,          .00,0
,Nifty100 Liq 15,      2297.90,      2271.60,      2340.65,      2254.75,      2329.05,31.15
,Nifty CPSE,      1377.90,      1364.55,      1417.40,      1361.85,      1406.05,28.15
,Nifty GrowSect 15,      4734.35,      4712.55,      4768.00,      4665.65,      4723.45,-10.9
,Nifty50 PR 2x Lev,      2604.00,      2560.55,      2678.25,      2544.15,      2643.15,39.15
,Nifty50 PR 1x Inv,       495.60,       499.75,       501.35,       488.55,       491.90,-3.7
,Nifty50 TR 2x Lev,      3408.70,      3351.75,      3505.90,      3330.35,      3459.90,51.2
,Nifty50 TR 1x Inv,       433.45,       437.10,       438.45,       427.30,       430.25,-3.2
,Nifty50 Value 20,      4601.05,      4540.85,      4613.45,      4507.55,      4561.65,-39.4
,Nifty Mid Liq 15,      2937.35,      2924.30,      3031.25,      2905.70,      3016.75,79.4
,Nifty Pvt Bank,     10278.95,     10220.70,     10508.55,     10069.10,     10442.65,163.7
,NIFTY100 Qualty30,      2241.65,      2222.00,      2258.10,      2202.65,      2242.70,1.05
,Nifty GS 8 13Yr,      2082.84,      2083.23,      2083.23,      2083.23,      2083.23,.39
,Nifty GS 10Yr,      1919.28,      1919.62,      1919.62,      1919.62,      1919.62,.34
,Nifty GS 10Yr Cln,       952.57,       952.57,       952.57,       952.57,       952.57,0
,Nifty GS 4 8Yr,      2223.61,      2224.02,      2224.02,      2224.02,      2224.02,.41
,Nifty GS 11 15Yr,      2228.73,      2229.17,      2229.17,      2229.17,      2229.17,.44
,Nifty GS 15YrPlus,      2422.38,      2422.84,      2422.84,      2422.84,      2422.84,.46
,Nifty GS Compsite,      2129.30,      2129.69,      2129.69,      2129.69,      2129.69,.39

,ADVANCES,1341
,DECLINES,488
,UNCHANGED,120

,Total securities that have hit their price bands today,562

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,HDFCBANK,EQ,       863.30,       879.75,1.91,2344.7
,RELIANCE,EQ,      1149.85,      1168.05,1.58,2007.2
,ICICIBANK,EQ,       327.35,       342.00,4.48,1897.53
,AXISBANK,EQ,       417.30,       422.55,1.26,1758.9
,BAJFINANCE,EQ,      2182.45,      2220.00,1.72,1593.83
,HINDUNILVR,EQ,      2487.55,      2436.10,-2.07,1326.91
,HDFC,EQ,      1596.30,      1625.75,1.84,1281.6
,KOTAKBANK,EQ,      1173.75,      1130.85,-3.65,1256.98
,SBIN,EQ,       182.35,       188.50,3.37,1133.94
,INFY,EQ,       639.05,       623.85,-2.38,1103.45
,TCS,EQ,      1735.15,      1716.05,-1.1,1074.58
,INDUSINDBK,EQ,       424.10,       435.40,2.66,1015.64
,MARUTI,EQ,      5094.30,      5130.80,0.72,895.86
,BHARTIARTL,EQ,       510.50,       500.45,-1.97,863.95
,SUNPHARMA,EQ,       449.20,       463.70,3.23,778.24
,CIPLA,EQ,       592.35,       600.45,1.37,761.97
,LT,EQ,       880.15,       911.65,3.58,634.4
,TITAN,EQ,       952.05,       985.25,3.49,598.13
,DRREDDY,EQ,      3807.60,      3860.65,1.39,563.9
,IBULHSGFIN,EQ,        91.75,       106.30,15.86,551.79
,AUROPHARMA,EQ,       514.70,       544.65,5.82,528.77
,ITC,EQ,       189.35,       186.35,-1.58,508.87
,TATASTEEL,EQ,       285.15,       288.90,1.32,492.87
,HCLTECH,EQ,       478.75,       459.75,-3.97,487.53
,VEDL,EQ,        78.60,        82.70,5.22,452.02

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,NTPC,EQ,        95.10,        89.90,5.78
,VEDL,EQ,        82.70,        78.60,5.22
,HINDALCO,EQ,       120.55,       115.10,4.74
,ICICIBANK,EQ,       342.00,       327.35,4.48
,SHREECEM,EQ,     18928.90,     18138.55,4.36

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,HCLTECH,EQ,       459.75,       478.75,-3.97
,TECHM,EQ,       517.65,       538.65,-3.9
,KOTAKBANK,EQ,      1130.85,      1173.75,-3.65
,INFY,EQ,       623.85,       639.05,-2.38
,HEROMOTOCO,EQ,      1782.65,      1824.10,-2.27

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        26.80,                  2319995.00,87254
,21STCENMGM,EQ,        10.70,                    14136.10,1323
,3IINFOTECH,EQ,         1.40,                  9699457.75,7201655
,3MINDIA,EQ,     19605.15,                201255711.75,10316
,3PLAND,EQ,         4.60,                     2279.80,513
,5PAISA,EQ,       157.75,                  2086301.65,13173
,63MOONS,EQ,        61.10,                  1643021.30,26685
,737GS2023,GS,       100.10,                    57018.00,570
,74GS2035,GS,       103.00,                    61800.00,600
,817GS2044,GS,       109.90,                    10990.00,100
,828GS2027,GS,       108.00,                   108000.00,1000
,A2ZINFRA,EQ,         4.95,                  3083474.85,610338
,AAKASH,SM,        24.50,                    73500.00,3000
,AARTIDRUGS,EQ,       678.75,                 24896795.95,36915
,AARTIIND,EQ,       924.40,                201201210.20,216387
,AARVEEDEN,EQ,        10.40,                   190658.95,19003
,AAVAS,EQ,      1265.55,                 54468873.30,44026
,ABAN,EQ,        22.55,                   759402.25,33774
,ABB,EQ,       900.15,                127292794.60,140790
,ABBOTINDIA,EQ,     17271.20,                400965201.45,23029
,ABCAPITAL,EQ,        52.35,                138774741.10,2740266
,ABFRL,EQ,       138.90,                274254657.15,1956057
,ABMINTLTD,BE,        13.45,                       13.45,1
,ABSLBANETF,EQ,       215.00,                     1075.00,5
,ABSLNN50ET,EQ,       223.44,                    23142.43,107
,ACCELYA,EQ,       905.00,                  7584698.80,8366
,ACCURACY,SM,        15.20,                    24320.00,1600
,ACE,EQ,        44.50,                 31600702.55,744948
,ADANIENT,EQ,       143.30,                382321527.95,2685695
,ADANIGAS,EQ,        98.90,                139178211.35,1410715
,ADANIGREEN,EQ,       193.85,                 82858246.50,431500
,ADANIPOWER,EQ,        29.85,                162335362.00,5450088
,ADFFOODS,EQ,       215.95,                  3092864.50,14519
,ADHUNIKIND,EQ,        14.05,                   619073.85,44110
,ADLABS,EQ,         3.85,                   586498.25,152602
,ADORWELD,EQ,       221.75,                  1384115.80,6302
,ADSL,EQ,        15.00,                   468065.90,32477
,ADVANIHOTR,EQ,        34.05,                   238260.15,6932
,ADVENZYMES,EQ,       165.90,                 99523901.60,629763
,AEGISCHEM,EQ,       162.85,                  8945363.95,55165
,AFFLE,BE,      1280.40,                 14071596.00,10990
,AGARIND,EQ,        68.65,                  1107826.65,16164
,AGCNET,BE,       260.10,                  1277752.20,4916
,AGRITECH,EQ,        29.00,                   272884.85,9426
,AGROPHOS,EQ,         6.80,                    45968.00,6760
,AHLEAST,EQ,       136.00,                    95431.30,690
,AHLUCONT,EQ,       168.85,                   672730.60,4015
,AHLWEST,BE,       263.00,                     3945.00,15
,AIAENG,EQ,      1399.15,                124544827.85,88363
,AIONJSW,BE,        13.10,                   174800.35,13588
,AIRAN,EQ,        11.80,                   281599.50,24140
,AJANTPHARM,EQ,      1361.75,                245257766.25,179288
,AJMERA,EQ,        75.10,                  2202547.70,29438
,AKSHARCHEM,EQ,       195.85,                   545006.15,2787
,AKSHOPTFBR,EQ,         4.25,                   550302.75,129483
,AKZOINDIA,EQ,      2102.70,                  9717091.85,4639
,ALANKIT,EQ,        14.25,                   812755.05,57336
,ALBERTDAVD,EQ,       400.25,                  4117939.25,10276
,ALCHEM,BE,         1.60,                    17891.20,11182
