,29-Apr-2020
The Nifty witnessed an intraday movement of about 207.5 points.The closing index was 1.84 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 50396.65
, Traded Quantity (in Lakhs), 23692.62
, Number of Trades, 18633455
, Total Market Capitalisation (Rs. Crores), 12420935.99

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,      9380.90,      9408.60,      9599.85,      9392.35,      9553.35,172.45
,NIFTY50 EQL Wgt,      9407.90,      9442.05,      9570.50,      9422.55,      9549.70,141.8
,NIFTY100 EQL Wgt,     10401.00,     10450.95,     10583.50,     10427.25,     10562.40,161.4
,NIFTY100 LowVol30,      7710.60,      7757.45,      7771.05,      7725.75,      7751.10,40.5
,NIFTY Alpha 50,     11378.55,     11439.30,     11530.05,     11410.40,     11508.10,129.55
,NIFTY MIDCAP 150,      4996.90,      5026.35,      5068.30,      5015.30,      5058.30,61.4
,NIFTY SMLCAP 50,      1897.60,      1914.45,      1932.30,      1902.95,      1916.05,18.45
,NIFTY SMLCAP 250,      3558.70,      3589.30,      3602.55,      3572.85,      3590.55,31.85
,NIFTY MIDSML 400,      4478.75,      4508.70,      4539.85,      4495.90,      4529.45,50.7
,NIFTY200 QUALTY30,      8721.65,      8771.85,      8782.20,      8717.75,      8752.65,31
,Nifty IT,     13133.65,     13250.60,     13470.80,     13144.80,     13424.95,291.3
,Nifty Next 50,     23367.95,     23498.20,     23694.70,     23426.55,     23624.05,256.1
,Nifty Bank,     20671.10,     20440.40,     21348.15,     20393.65,     21090.20,419.1
,NIFTY MIDCAP 100,     13061.00,     13138.40,     13263.55,     13115.70,     13227.55,166.55
,Nifty 500,      7672.45,      7702.60,      7828.30,      7692.95,      7797.20,124.75
,Nifty 100,      9545.05,      9576.75,      9754.15,      9561.50,      9710.70,165.65
,Nifty Midcap 50,      3597.80,      3623.30,      3663.40,      3609.40,      3649.15,51.35
,Nifty Realty,       181.50,       182.85,       184.70,       182.45,       183.15,1.65
,Nifty Infra,      2632.55,      2652.20,      2675.85,      2641.15,      2664.35,31.8
,Nifty Energy,     12547.70,     12664.50,     12721.30,     12581.25,     12611.55,63.85
,Nifty FMCG,     28778.15,     28887.50,     28932.35,     28608.25,     28665.00,-113.15
,Nifty MNC,     12254.25,     12323.25,     12358.05,     12272.00,     12311.90,57.65
,Nifty Pharma,      9386.20,      9453.30,      9498.15,      9339.75,      9385.45,-.75
,Nifty PSE,      2289.75,      2306.35,      2336.65,      2298.55,      2326.90,37.15
,Nifty PSU Bank,      1283.60,      1290.90,      1323.50,      1282.85,      1315.60,32
,Nifty Serv Sector,     12595.85,     12602.00,     13054.75,     12576.95,     12976.05,380.2
,India VIX,35.3550,35.3550,35.3550,31.4825,33.8375,-1.5175
,Nifty Auto,      5447.10,      5492.00,      5568.00,      5461.05,      5543.75,96.65
,Nifty Metal,      1661.65,      1666.35,      1730.80,      1662.20,      1723.80,62.15
,Nifty Media,      1134.90,      1146.55,      1179.30,      1137.10,      1165.95,31.05
,NIFTY SMLCAP 100,      4021.65,      4055.60,      4074.65,      4029.75,      4050.70,29.05
,Nifty 200,      4857.45,      4874.90,      4960.25,      4868.00,      4939.45,82
,Nifty Div Opps 50,      2043.40,      2056.30,      2074.65,      2050.95,      2069.70,26.3
,Nifty Commodities,      2517.60,      2529.05,      2563.45,      2522.20,      2548.55,30.95
,Nifty Consumption,      4417.20,      4443.75,      4444.75,      4415.15,      4422.00,4.8
,Nifty Fin Service,      9951.20,      9919.40,     10392.85,      9900.50,     10292.90,341.7
,Nifty50 Div Point,          .00,          .99,          .99,          .99,          .99,.99
,Nifty100 Liq 15,      2318.70,      2304.95,      2359.55,      2296.60,      2351.60,32.9
,Nifty CPSE,      1320.95,      1331.25,      1347.80,      1324.80,      1341.75,20.8
,Nifty GrowSect 15,      4849.10,      4862.35,      4964.90,      4856.10,      4937.95,88.85
,Nifty50 PR 2x Lev,      2864.55,      2881.25,      2997.70,      2873.65,      2969.65,105.1
,Nifty50 PR 1x Inv,       470.50,       469.15,       469.80,       459.60,       461.90,-8.6
,Nifty50 TR 2x Lev,      3749.75,      3772.40,      3924.85,      3762.40,      3888.10,138.35
,Nifty50 TR 1x Inv,       411.55,       410.30,       410.85,       401.95,       403.95,-7.6
,Nifty50 Value 20,      4550.15,      4578.70,      4619.40,      4558.85,      4613.05,62.9
,Nifty Mid Liq 15,      3083.20,      3104.45,      3151.30,      3095.20,      3143.60,60.4
,Nifty Pvt Bank,     11243.55,     11091.75,     11601.90,     11064.95,     11455.70,212.15
,NIFTY100 Qualty30,      2276.25,      2286.45,      2294.70,      2277.45,      2287.90,11.65
,Nifty GS 8 13Yr,      2132.39,      2132.78,      2134.57,      2131.89,      2133.78,1.39
,Nifty GS 10Yr,      1962.81,      1963.15,      1966.55,      1961.76,      1964.87,2.06
,Nifty GS 10Yr Cln,       971.99,       971.99,       973.68,       971.30,       972.85,.86
,Nifty GS 4 8Yr,      2275.10,      2275.51,      2275.51,      2273.16,      2273.79,-1.31
,Nifty GS 11 15Yr,      2289.29,      2289.72,      2291.01,      2287.01,      2290.05,.76
,Nifty GS 15YrPlus,      2505.92,      2506.38,      2506.38,      2504.15,      2504.19,-1.73
,Nifty GS Compsite,      2177.50,      2177.90,      2179.06,      2176.60,      2178.30,.8

,ADVANCES,1144
,DECLINES,696
,UNCHANGED,117

,Total securities that have hit their price bands today,487

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,BAJFINANCE,EQ,      2228.10,      2296.45,3.07,3491.86
,AXISBANK,EQ,       455.45,       439.10,-3.59,2699.66
,HDFCBANK,EQ,       931.40,       977.10,4.91,2693.54
,RELIANCE,EQ,      1428.15,      1426.95,-0.08,2462.24
,INDUSINDBK,EQ,       468.05,       471.10,0.65,2215.82
,HDFC,EQ,      1715.80,      1836.75,7.05,2142.64
,ICICIBANK,EQ,       359.85,       370.45,2.95,1434.33
,SBIN,EQ,       184.30,       190.10,3.15,1078.22
,KOTAKBANK,EQ,      1326.65,      1327.85,0.09,889.12
,IBULHSGFIN,EQ,       117.10,       126.90,8.37,863.43
,HINDUNILVR,EQ,      2289.95,      2231.75,-2.54,819.64
,TCS,EQ,      1859.05,      1905.65,2.51,798.65
,BAJAJFINSV,EQ,      4861.80,      4998.65,2.81,760.4
,MOTHERSUMI,EQ,        78.30,        81.40,3.96,678.38
,INFY,EQ,       660.70,       676.55,2.4,580.51
,TATASTEEL,EQ,       273.55,       282.65,3.33,560.07
,MARUTI,EQ,      5052.70,      5068.45,0.31,525.23
,ASIANPAINT,EQ,      1824.40,      1767.50,-3.12,524.79
,RBLBANK,EQ,       126.25,       125.85,-0.32,490.8
,SUNPHARMA,EQ,       473.95,       477.65,0.78,486.39
,BANDHANBNK,EQ,       221.10,       234.45,6.04,465.87
,LT,EQ,       857.15,       875.35,2.12,421.16
,ZEEL,EQ,       152.45,       159.40,4.56,417.65
,HINDALCO,EQ,       108.75,       116.30,6.94,410.63
,DRREDDY,EQ,      3949.75,      3880.70,-1.75,405.26

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,HDFC,EQ,      1836.75,      1715.80,7.05
,HINDALCO,EQ,       116.30,       108.75,6.94
,ADANIPORTS,EQ,       287.65,       272.95,5.39
,GAIL,EQ,        89.10,        84.55,5.38
,HDFCBANK,EQ,       977.10,       931.40,4.91

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,AXISBANK,EQ,       439.10,       455.45,-3.59
,ASIANPAINT,EQ,      1767.50,      1824.40,-3.12
,HINDUNILVR,EQ,      2231.75,      2289.95,-2.54
,DRREDDY,EQ,      3880.70,      3949.75,-1.75
,BRITANNIA,EQ,      3156.80,      3193.95,-1.16

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        29.30,                  1067012.30,36343
,21STCENMGM,EQ,        11.20,                     3131.00,280
,3IINFOTECH,EQ,         1.65,                  5780131.05,3522200
,3MINDIA,EQ,     19544.60,                 68991235.65,3547
,3PLAND,EQ,         7.20,                     3852.00,535
,5PAISA,EQ,       155.95,                   617624.10,3919
,63MOONS,BE,        57.15,                   856657.00,14745
,645GS2029,GS,       102.00,                    91198.00,894
,706GS2046,GS,       104.20,                    31421.00,305
,757GS2033,GS,       114.50,                    45800.00,400
,75GS2034,GS,       112.00,                      560.00,5
,769GS2043,GS,       120.00,                    43150.00,360
,795GS2032,GS,       106.00,                   190800.00,1800
,A2ZINFRA,EQ,         3.75,                  1988644.20,530002
,AARTIDRUGS,EQ,       731.10,                 30107060.85,40825
,AARTIIND,EQ,      1108.90,                754371780.15,678994
,AARVEEDEN,EQ,         9.25,                   106574.35,11792
,AAVAS,EQ,      1209.65,                 34792317.75,28995
,ABAN,BE,        19.95,                  1159011.25,58574
,ABB,EQ,       880.15,                 53738915.95,60897
,ABBOTINDIA,EQ,     17992.10,                747891276.30,42373
,ABCAPITAL,EQ,        49.90,                104974136.30,2070770
,ABFRL,EQ,       112.00,                186740195.70,1661713
,ABMINTLTD,BE,        13.00,                     5330.00,410
,ABSLNN50ET,EQ,       233.00,                    36316.91,159
,ACCELYA,EQ,       905.20,                 14114622.80,15589
,ACE,EQ,        46.60,                 11987863.00,254930
,ADANIENT,EQ,       139.50,                656729730.40,4774365
,ADANIGAS,EQ,       105.85,                290688774.70,2742210
,ADANIGREEN,EQ,       207.95,                 91059955.75,442718
,ADANIPOWER,EQ,        31.25,                268735211.90,8641323
,ADFFOODS,EQ,       206.15,                  1286534.85,6363
,ADHUNIKIND,EQ,        21.10,                   152616.30,7233
,ADORWELD,EQ,       238.05,                   825284.45,3440
,ADROITINFO,BE,         5.25,                      355.00,65
,ADSL,EQ,        12.85,                   409607.75,31720
,ADVANIHOTR,EQ,        40.15,                   119069.50,2936
,ADVENZYMES,EQ,       147.85,                 50559945.20,342615
,AEGISCHEM,EQ,       167.10,                 28167155.00,168653
,AFFLE,BE,      1450.05,                 39471457.15,27688
,AGARIND,EQ,        60.30,                   907708.00,15034
,AGCNET,BE,       253.25,                   273738.00,1099
,AGRITECH,EQ,        30.90,                   367603.40,11913
,AGROPHOS,EQ,        10.25,                    26568.00,2592
,AHLEAST,EQ,       133.05,                   337696.80,2494
,AHLUCONT,EQ,       185.20,                  1402159.90,7598
,AHLWEST,BE,       251.00,                    23997.00,95
,AIAENG,EQ,      1572.55,                 53918062.60,34549
,AIONJSW,BE,        11.65,                   167118.95,14374
,AIRAN,EQ,        10.55,                   426410.30,39447
,AJANTPHARM,EQ,      1512.85,                132477494.25,87330
,AJMERA,EQ,        85.15,                  4922825.80,57653
,AKASH,BE,        85.00,                     8579.80,101
,AKSHARCHEM,EQ,       224.45,                 15798979.00,68415
,AKSHOPTFBR,EQ,         5.30,                   405624.90,76533
,AKZOINDIA,EQ,      2016.45,                 17704799.55,8730
,ALANKIT,EQ,        18.15,                  4389453.25,231611
,ALBERTDAVD,EQ,       468.15,                 24717129.00,52134
