,06-May-2020
The Nifty witnessed an intraday movement of about 230.4 points.The closing index was 0.71 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 49562.96
, Traded Quantity (in Lakhs), 23907.16
, Number of Trades, 19137426
, Total Market Capitalisation (Rs. Crores), 12100712.65

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,      9205.60,      9226.80,      9346.90,      9116.50,      9270.90,65.3
,NIFTY50 EQL Wgt,      9336.15,      9351.95,      9438.60,      9226.30,      9394.60,58.45
,NIFTY100 EQL Wgt,     10264.55,     10280.50,     10378.15,     10141.60,     10346.85,82.3
,NIFTY100 LowVol30,      7553.30,      7568.45,      7643.30,      7473.40,      7588.10,34.8
,NIFTY Alpha 50,     11234.65,     11283.65,     11419.15,     11158.60,     11354.25,119.6
,NIFTY MIDCAP 150,      4918.05,      4943.70,      4974.35,      4874.95,      4943.65,25.6
,NIFTY SMLCAP 50,      1838.30,      1851.90,      1859.95,      1826.20,      1850.70,12.4
,NIFTY SMLCAP 250,      3459.05,      3481.55,      3489.40,      3437.05,      3472.65,13.6
,NIFTY MIDSML 400,      4392.10,      4416.70,      4437.70,      4357.20,      4413.35,21.25
,NIFTY200 QUALTY30,      8439.55,      8451.30,      8494.65,      8304.75,      8416.25,-23.3
,Nifty IT,     13388.00,     13437.30,     13580.05,     13262.25,     13394.70,6.7
,Nifty Next 50,     22791.50,     22823.95,     23099.80,     22527.25,     23009.80,218.3
,Nifty Bank,     19271.75,     19302.45,     19806.60,     18941.00,     19694.55,422.8
,NIFTY MIDCAP 100,     12817.40,     12874.85,     12976.40,     12684.25,     12899.65,82.25
,Nifty 500,      7523.05,      7544.15,      7620.80,      7451.20,      7575.50,52.45
,Nifty 100,      9358.90,      9379.35,      9489.25,      9266.10,      9428.55,69.65
,Nifty Midcap 50,      3518.80,      3531.45,      3581.95,      3470.60,      3567.65,48.85
,Nifty Realty,       169.30,       169.70,       171.80,       168.60,       171.00,1.7
,Nifty Infra,      2670.30,      2670.05,      2701.90,      2651.80,      2689.85,19.55
,Nifty Energy,     12897.90,     12816.95,     12966.40,     12697.60,     12912.40,14.5
,Nifty FMCG,     27138.60,     27061.50,     27062.10,     26373.95,     26630.20,-508.4
,Nifty MNC,     11845.15,     11880.85,     12005.75,     11732.20,     11851.80,6.65
,Nifty Pharma,      9181.50,      9229.85,      9289.90,      9128.05,      9227.15,45.65
,Nifty PSE,      2338.85,      2324.05,      2345.25,      2284.35,      2339.85,1
,Nifty PSU Bank,      1205.35,      1210.45,      1213.25,      1174.75,      1194.75,-10.6
,Nifty Serv Sector,     12346.90,     12392.20,     12664.35,     12248.45,     12565.75,218.85
,India VIX,43.6075,43.6075,43.6300,40.1975,41.2475,-2.3600
,Nifty Auto,      5451.90,      5471.60,      5593.30,      5351.20,      5552.40,100.5
,Nifty Metal,      1693.65,      1707.80,      1719.80,      1681.00,      1697.95,4.3
,Nifty Media,      1097.25,      1109.00,      1110.55,      1082.85,      1097.50,.25
,NIFTY SMLCAP 100,      3896.75,      3918.90,      3935.55,      3866.10,      3922.95,26.2
,Nifty 200,      4763.15,      4774.70,      4827.60,      4715.75,      4798.10,34.95
,Nifty Div Opps 50,      2029.10,      2026.70,      2030.45,      1989.25,      2013.65,-15.45
,Nifty Commodities,      2535.85,      2537.30,      2558.65,      2503.95,      2545.10,9.25
,Nifty Consumption,      4272.25,      4273.95,      4281.65,      4194.75,      4263.10,-9.15
,Nifty Fin Service,      9483.15,      9524.40,      9806.95,      9385.85,      9727.00,243.85
,Nifty50 Div Point,         1.83,         1.83,         1.83,         1.83,         1.83,0
,Nifty100 Liq 15,      2250.30,      2257.85,      2294.05,      2221.10,      2285.10,34.8
,Nifty CPSE,      1371.75,      1388.15,      1388.15,      1362.75,      1373.65,1.9
,Nifty GrowSect 15,      4612.65,      4619.05,      4677.05,      4535.15,      4632.00,19.35
,Nifty50 PR 2x Lev,      2742.85,      2755.25,      2826.60,      2690.05,      2781.55,38.7
,Nifty50 PR 1x Inv,       477.45,       476.40,       482.05,       470.20,       474.10,-3.35
,Nifty50 TR 2x Lev,      3591.85,      3608.05,      3701.50,      3522.65,      3642.50,50.65
,Nifty50 TR 1x Inv,       417.50,       416.60,       421.55,       411.15,       414.55,-2.95
,Nifty50 Value 20,      4545.40,      4541.90,      4547.60,      4461.50,      4496.85,-48.55
,Nifty Mid Liq 15,      2997.00,      2999.95,      3066.05,      2947.20,      3054.05,57.05
,Nifty Pvt Bank,     10526.95,     10538.65,     10851.65,     10342.10,     10787.10,260.15
,NIFTY100 Qualty30,      2195.20,      2198.25,      2213.20,      2161.45,      2196.85,1.65
,Nifty GS 8 13Yr,      2148.97,      2149.36,      2157.60,      2149.36,      2157.56,8.59
,Nifty GS 10Yr,      1973.96,      1974.30,      1980.61,      1974.30,      1980.42,6.46
,Nifty GS 10Yr Cln,       976.34,       976.34,       979.48,       976.34,       979.39,3.05
,Nifty GS 4 8Yr,      2292.71,      2293.12,      2301.08,      2293.12,      2300.75,8.04
,Nifty GS 11 15Yr,      2314.68,      2315.10,      2326.67,      2315.10,      2326.11,11.43
,Nifty GS 15YrPlus,      2514.57,      2515.03,      2519.73,      2514.39,      2519.43,4.86
,Nifty GS Compsite,      2193.04,      2193.44,      2201.42,      2193.44,      2200.94,7.9

,ADVANCES,821
,DECLINES,981
,UNCHANGED,123

,Total securities that have hit their price bands today,468

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,RELIANCE,EQ,      1460.65,      1460.75,0.01,2718.32
,BAJFINANCE,EQ,      2002.35,      2106.25,5.19,2713.52
,AXISBANK,EQ,       389.00,       388.85,-0.04,2580.16
,ICICIBANK,EQ,       330.85,       341.40,3.19,1690.85
,HDFCBANK,EQ,       911.45,       946.40,3.83,1581.85
,HDFC,EQ,      1689.90,      1732.15,2.5,1524.47
,BHARTIARTL,EQ,       528.05,       546.00,3.4,1387.58
,SBIN,EQ,       170.40,       171.10,0.41,1245.45
,MARUTI,EQ,      4829.85,      4843.25,0.28,1075.13
,ITC,EQ,       173.90,       163.90,-5.75,1072.51
,HINDUNILVR,EQ,      2041.50,      2010.20,-1.53,1043.64
,INDUSINDBK,EQ,       418.70,       425.50,1.62,723.27
,NIITTECH,EQ,      1189.75,      1418.80,19.25,698.73
,RBLBANK,EQ,       122.80,       132.10,7.57,687.64
,BPCL,EQ,       347.05,       343.80,-0.94,685.46
,TCS,EQ,      1932.75,      1903.60,-1.51,675.62
,AUROPHARMA,EQ,       631.60,       661.85,4.79,639.14
,ASIANPAINT,EQ,      1619.15,      1610.65,-0.52,634.31
,BAJAJFINSV,EQ,      4629.20,      4692.90,1.38,591.84
,KOTAKBANK,EQ,      1238.35,      1245.95,0.61,576.15
,INFY,EQ,       673.70,       665.90,-1.16,532.42
,SUNPHARMA,EQ,       456.30,       454.40,-0.42,492.71
,TATAMOTORS,EQ,        80.90,        83.20,2.84,443.57
,LT,EQ,       836.90,       837.30,0.05,423.86
,CIPLA,EQ,       596.90,       591.75,-0.86,415.65

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,BAJFINANCE,EQ,      2106.25,      2002.35,5.19
,M&M,EQ,       387.15,       368.15,5.16
,GAIL,EQ,        94.70,        91.10,3.95
,HDFCBANK,EQ,       946.40,       911.45,3.83
,BHARTIARTL,EQ,       546.00,       528.05,3.4

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,ITC,EQ,       163.90,       173.90,-5.75
,INFRATEL,EQ,       160.90,       170.60,-5.69
,COALINDIA,EQ,       133.75,       138.00,-3.08
,IOC,EQ,        76.55,        78.70,-2.73
,UPL,EQ,       379.00,       387.05,-2.08

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        27.05,                   393434.45,14464
,21STCENMGM,EQ,        10.95,                     7281.30,686
,3IINFOTECH,EQ,         1.45,                  8447204.65,5831154
,3MINDIA,EQ,     18708.00,                 25668474.60,1374
,5PAISA,EQ,       170.10,                  2597759.15,15410
,617GS2021,GS,        95.07,                    26255.03,276
,618GS2024,GS,       102.00,                     5916.00,58
,63MOONS,BE,        56.05,                   381853.70,6829
,645GS2029,GS,       103.00,                    20600.00,200
,726GS2029,GS,       105.50,                    10550.00,100
,757GS2033,GS,       114.94,                    45976.00,400
,759GS2026,GS,       108.00,                      540.00,5
,769GS2043,GS,       120.00,                    96000.00,800
,772GS2049,GS,       115.00,                    47240.00,404
,A2ZINFRA,EQ,         3.60,                  2343669.40,659918
,AARTIDRUGS,EQ,       720.25,                 22039586.20,30646
,AARTIIND,EQ,      1104.70,                791424367.45,703139
,AARVEEDEN,EQ,         8.85,                    94295.85,10927
,AAVAS,EQ,      1101.75,                 22010727.20,19831
,ABAN,BE,        19.10,                   772093.75,40738
,ABB,EQ,       869.55,                 40072067.40,45865
,ABBOTINDIA,EQ,     18162.15,                162209805.70,8889
,ABCAPITAL,EQ,        44.35,                 73100662.65,1648833
,ABFRL,EQ,       110.50,                633245573.15,5983798
,ABMINTLTD,BE,        13.00,                     3575.00,275
,ABSLBANETF,EQ,       196.81,                   360381.81,1800
,ABSLNN50ET,EQ,       246.80,                    63418.37,258
,ABSLRIF6RG,MF,         5.23,                    10460.00,2000
,ACCELYA,EQ,       900.75,                 11056024.15,12296
,ACCURACY,SM,        18.00,                    28800.00,1600
,ACE,EQ,        41.90,                  9950117.30,234609
,ADANIENT,EQ,       133.25,                879667550.35,6688490
,ADANIGAS,EQ,        99.70,                189247676.00,1907044
,ADANIGREEN,EQ,       211.85,                127513223.30,604880
,ADANIPOWER,EQ,        30.65,                181211593.35,5955064
,ADFFOODS,EQ,       195.25,                   885004.60,4487
,ADHUNIKIND,EQ,        23.85,                  2200203.05,86783
,ADORWELD,EQ,       222.35,                  1780761.45,7907
,ADROITINFO,BE,         5.50,                    35401.15,6619
,ADSL,EQ,        12.40,                    54839.80,4470
,ADVANIHOTR,EQ,        38.40,                   173567.10,4596
,ADVENZYMES,EQ,       140.65,                  5647865.15,39945
,AEGISCHEM,EQ,       167.55,                 53141420.75,318776
,AFFLE,BE,      1354.15,                 25697773.55,19039
,AGARIND,EQ,        55.75,                  1457851.90,25972
,AGCNET,BE,       249.25,                   146686.45,589
,AGRITECH,EQ,        30.60,                   276181.80,8778
,AGROPHOS,EQ,        12.35,                    38494.95,3117
,AHLADA,SM,        46.50,                    93450.00,2000
,AHLEAST,EQ,       131.55,                    63714.45,481
,AHLUCONT,EQ,       178.50,                   381884.45,2159
,AHLWEST,BE,       244.00,                    88379.00,360
,AIAENG,EQ,      1541.75,                 72788240.80,47129
,AIONJSW,BE,        11.35,                   173710.80,15595
,AIRAN,EQ,         9.95,                   505573.40,50832
,AISL,SM,        14.85,                    53100.00,3600
,AJANTPHARM,EQ,      1448.95,                110389647.55,74992
,AJMERA,EQ,        76.50,                  2010289.80,25974
,AKG,SM,        34.00,                   136000.00,4000
,AKSHARCHEM,EQ,       202.00,                  4801219.85,23600
