,08-May-2020
The Nifty witnessed an intraday movement of about 144.45 points.The closing index was 0.57 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 47366.97
, Traded Quantity (in Lakhs), 20148.55
, Number of Trades, 16557348
, Total Market Capitalisation (Rs. Crores), 12080650.1

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,      9199.05,      9376.95,      9382.65,      9238.20,      9251.50,52.45
,NIFTY50 EQL Wgt,      9309.60,      9473.75,      9478.55,      9303.75,      9318.20,8.6
,NIFTY100 EQL Wgt,     10251.15,     10406.40,     10423.20,     10252.95,     10269.95,18.8
,NIFTY100 LowVol30,      7474.90,      7595.20,      7595.60,      7512.45,      7528.50,53.6
,NIFTY Alpha 50,     11314.60,     11446.20,     11491.70,     11329.45,     11363.15,48.55
,NIFTY MIDCAP 150,      4919.85,      4978.75,      4989.15,      4895.45,      4902.25,-17.6
,NIFTY SMLCAP 50,      1860.95,      1882.50,      1891.60,      1843.80,      1847.45,-13.5
,NIFTY SMLCAP 250,      3479.50,      3517.05,      3528.20,      3451.30,      3453.40,-26.1
,NIFTY MIDSML 400,      4400.80,      4451.95,      4462.35,      4376.15,      4380.05,-20.75
,NIFTY200 QUALTY30,      8287.95,      8423.40,      8424.00,      8350.20,      8369.10,81.15
,Nifty IT,     13292.70,     13509.45,     13530.85,     13324.00,     13403.60,110.9
,Nifty Next 50,     22759.85,     23030.00,     23123.30,     22919.45,     22959.50,199.65
,Nifty Bank,     19491.80,     19844.00,     19969.60,     19285.05,     19352.90,-138.9
,NIFTY MIDCAP 100,     12831.00,     12987.20,     13023.05,     12763.35,     12788.95,-42.05
,Nifty 500,      7520.85,      7649.35,      7654.15,      7542.80,      7552.00,31.15
,Nifty 100,      9351.45,      9522.65,      9528.35,      9395.45,      9408.65,57.2
,Nifty Midcap 50,      3542.50,      3593.05,      3603.50,      3525.65,      3537.50,-5
,Nifty Realty,       170.65,       173.55,       173.70,       168.65,       169.55,-1.1
,Nifty Infra,      2677.40,      2721.10,      2724.60,      2694.30,      2697.85,20.45
,Nifty Energy,     12829.40,     13043.65,     13075.65,     12872.40,     12896.70,67.3
,Nifty FMCG,     26254.55,     26809.40,     26809.40,     26598.05,     26759.80,505.25
,Nifty MNC,     11730.35,     11932.30,     11932.30,     11827.85,     11851.70,121.35
,Nifty Pharma,      9148.10,      9275.90,      9385.60,      9230.35,      9343.35,195.25
,Nifty PSE,      2279.55,      2303.00,      2309.70,      2232.35,      2238.20,-41.35
,Nifty PSU Bank,      1195.40,      1207.65,      1214.05,      1169.40,      1171.90,-23.5
,Nifty Serv Sector,     12397.45,     12623.40,     12623.40,     12373.85,     12397.55,.1
,India VIX,39.9300,39.9300,39.9300,36.5475,38.4075,-1.5225
,Nifty Auto,      5519.00,      5622.70,      5623.75,      5424.80,      5447.75,-71.25
,Nifty Metal,      1695.55,      1734.85,      1737.00,      1671.00,      1676.55,-19
,Nifty Media,      1097.90,      1122.30,      1141.75,      1100.10,      1105.10,7.2
,NIFTY SMLCAP 100,      3944.05,      3992.15,      4005.05,      3905.80,      3910.60,-33.45
,Nifty 200,      4760.30,      4844.40,      4847.45,      4778.40,      4784.70,24.4
,Nifty Div Opps 50,      1989.25,      2021.75,      2022.55,      1981.65,      1987.90,-1.35
,Nifty Commodities,      2513.85,      2553.65,      2562.00,      2506.45,      2510.40,-3.45
,Nifty Consumption,      4191.85,      4268.90,      4268.90,      4210.00,      4216.50,24.65
,Nifty Fin Service,      9575.75,      9751.85,      9775.80,      9535.90,      9559.35,-16.4
,Nifty50 Div Point,         1.83,         1.83,         1.83,         1.83,         1.83,0
,Nifty100 Liq 15,      2267.65,      2313.85,      2316.60,      2237.95,      2244.10,-23.55
,Nifty CPSE,      1333.55,      1346.40,      1351.45,      1308.50,      1311.90,-21.65
,Nifty GrowSect 15,      4549.15,      4653.25,      4656.55,      4563.10,      4572.55,23.4
,Nifty50 PR 2x Lev,      2738.20,      2843.80,      2846.15,      2761.30,      2769.15,30.95
,Nifty50 PR 1x Inv,       477.80,       468.65,       475.80,       468.40,       475.15,-2.65
,Nifty50 TR 2x Lev,      3585.70,      3724.05,      3727.05,      3616.00,      3626.25,40.55
,Nifty50 TR 1x Inv,       417.80,       409.80,       416.10,       409.60,       415.50,-2.3
,Nifty50 Value 20,      4438.30,      4527.55,      4527.55,      4443.80,      4458.30,20
,Nifty Mid Liq 15,      3026.15,      3074.35,      3090.60,      3033.30,      3041.70,15.55
,Nifty Pvt Bank,     10692.60,     10897.70,     10976.85,     10571.95,     10613.45,-79.15
,NIFTY100 Qualty30,      2164.00,      2201.60,      2201.60,      2179.30,      2181.85,17.85
,Nifty GS 8 13Yr,      2157.95,      2158.34,      2166.58,      2157.68,      2166.46,8.51
,Nifty GS 10Yr,      1980.77,      1981.11,      1989.67,      1978.33,      1989.52,8.75
,Nifty GS 10Yr Cln,       979.39,       979.39,       983.64,       978.01,       983.57,4.18
,Nifty GS 4 8Yr,      2301.16,      2301.57,      2306.20,      2298.36,      2305.93,4.77
,Nifty GS 11 15Yr,      2326.53,      2326.96,      2342.25,      2326.96,      2341.09,14.56
,Nifty GS 15YrPlus,      2519.89,      2520.36,      2525.19,      2520.36,      2524.74,4.85
,Nifty GS Compsite,      2201.33,      2201.73,      2208.80,      2199.82,      2208.68,7.35

,ADVANCES,724
,DECLINES,1084
,UNCHANGED,123

,Total securities that have hit their price bands today,466

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,RELIANCE,EQ,      1506.95,      1561.80,3.64,6011.86
,HINDUNILVR,EQ,      1992.05,      2089.45,4.89,3320.57
,ICICIBANK,EQ,       336.75,       337.70,0.28,1483.73
,BAJFINANCE,EQ,      2060.55,      2024.15,-1.77,1443.61
,INDUSINDBK,EQ,       454.35,       440.35,-3.08,1345.05
,AXISBANK,EQ,       397.35,       382.05,-3.85,1326.55
,LAURUSLABS,EQ,       488.80,       440.75,-9.83,1041.87
,HDFCBANK,EQ,       925.00,       929.05,0.44,970.11
,SBIN,EQ,       170.75,       166.65,-2.4,946.22
,RBLBANK,EQ,       128.85,       119.35,-7.37,943.4
,ASIANPAINT,EQ,      1594.30,      1578.40,-1,901.1
,MARUTI,EQ,      4749.30,      4654.15,-2,861.06
,DRREDDY,EQ,      3837.65,      3984.00,3.81,800.49
,HDFC,EQ,      1703.90,      1689.70,-0.83,754.16
,BHARTIARTL,EQ,       528.05,       530.05,0.38,731.6
,SUNPHARMA,EQ,       452.20,       469.00,3.72,635.72
,INFY,EQ,       664.95,       674.20,1.39,566.99
,HCLTECH,EQ,       511.75,       518.40,1.3,521.23
,TCS,EQ,      1891.65,      1893.40,0.09,511.02
,HDFCLIFE,EQ,       494.55,       520.05,5.16,473.52
,ZEEL,EQ,       147.35,       150.65,2.24,469.28
,KOTAKBANK,EQ,      1199.80,      1217.45,1.47,430.9
,ITC,EQ,       161.00,       158.25,-1.71,404.09
,TITAN,EQ,       849.10,       832.85,-1.91,400.42
,M&M,EQ,       400.65,       386.70,-3.48,369.03

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,HINDUNILVR,EQ,      2089.45,      1992.05,4.89
,NESTLEIND,EQ,     17802.95,     17142.45,3.85
,TECHM,EQ,       536.20,       516.35,3.84
,DRREDDY,EQ,      3984.00,      3837.65,3.81
,SUNPHARMA,EQ,       469.00,       452.20,3.72

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,AXISBANK,EQ,       382.05,       397.35,-3.85
,NTPC,EQ,        87.00,        90.45,-3.81
,M&M,EQ,       386.70,       400.65,-3.48
,INDUSINDBK,EQ,       440.35,       454.35,-3.08
,SBIN,EQ,       166.65,       170.75,-2.4

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        26.70,                   395445.55,14536
,21STCENMGM,EQ,        10.75,                    21975.50,2002
,3IINFOTECH,EQ,         1.40,                  1477217.65,1037025
,3MINDIA,EQ,     18618.70,                 40860064.60,2175
,3PLAND,EQ,         5.90,                     3734.70,633
,5PAISA,EQ,       165.80,                  3973892.30,23656
,618GS2024,GS,       101.00,                   191092.00,1892
,63MOONS,BE,        54.40,                   345214.20,6324
,727GS2026,GS,       100.80,                    30240.00,300
,757GS2033,GS,       114.95,                      229.90,2
,A2ZINFRA,EQ,         3.85,                  1441944.50,375041
,AAKASH,SM,        19.00,                    57000.00,3000
,AARON,SM,        40.15,                   132495.00,3300
,AARTIDRUGS,EQ,       754.35,                104727721.25,136363
,AARTIIND,EQ,      1064.85,                319211581.80,297353
,AARVEEDEN,EQ,         8.80,                    22197.20,2485
,AARVI,SM,        22.50,                    90000.00,4000
,AAVAS,EQ,      1081.55,                  7333180.10,6668
,ABAN,BE,        18.80,                   685873.25,36556
,ABB,EQ,       846.60,                 30700797.25,35936
,ABBOTINDIA,EQ,     17704.75,                224501914.25,12631
,ABCAPITAL,EQ,        43.10,                 64946918.90,1487426
,ABFRL,EQ,       106.85,                 82727349.55,761088
,ABSLBANETF,EQ,       185.08,                   269687.98,1434
,ABSLNN50ET,EQ,       230.55,                   183846.87,767
,ABSLRIF6RG,MF,         5.35,                    18525.00,3500
,ACCELYA,EQ,       904.15,                 30370580.80,33712
,ACCURACY,SM,        17.10,                    27360.00,1600
,ACE,EQ,        42.90,                 19853097.35,445845
,ADANIENT,EQ,       137.15,                334447752.10,2431475
,ADANIGAS,EQ,       107.30,               1240465377.85,11366869
,ADANIGREEN,EQ,       212.25,                 61251146.60,289416
,ADANIPOWER,EQ,        29.90,                175893539.25,5789733
,ADFFOODS,EQ,       201.80,                  3375597.65,16778
,ADHUNIKIND,EQ,        21.60,                    61905.60,2866
,ADORWELD,EQ,       268.95,                 62360268.65,231600
,ADROITINFO,BE,         5.50,                    76057.95,13837
,ADSL,EQ,        12.55,                   212622.40,16917
,ADVANIHOTR,EQ,        38.40,                   245084.60,6495
,ADVENZYMES,EQ,       140.05,                  6255510.20,44702
,AEGISCHEM,EQ,       175.90,                 40471866.85,230666
,AFFLE,BE,      1319.80,                 21300807.30,15843
,AGARIND,EQ,        53.00,                   406298.20,7538
,AGCNET,BE,       254.95,                   122201.05,499
,AGRITECH,BE,        30.70,                    63401.55,2092
,AGROPHOS,EQ,        12.35,                  1927505.05,149441
,AHLEAST,EQ,       131.05,                    95677.20,726
,AHLUCONT,EQ,       176.25,                  7433270.65,42302
,AHLWEST,BE,       233.00,                   272642.50,1154
,AIAENG,EQ,      1565.40,                 21252819.90,13431
,AIONJSW,BE,        11.30,                   102740.05,9050
,AIRAN,EQ,         9.70,                   262570.00,26796
,AJANTPHARM,EQ,      1454.00,                242959418.60,163312
,AJMERA,EQ,        75.40,                  2033618.95,26403
,AKSHARCHEM,EQ,       195.95,                  1302853.60,6518
,AKSHOPTFBR,EQ,         4.75,                  1622010.20,320334
,AKZOINDIA,EQ,      1930.05,                 12264287.05,6286
,ALANKIT,EQ,        14.85,                   617874.55,42486
,ALBERTDAVD,EQ,       468.70,                 27999244.25,58209
