,14-May-2020
The Nifty witnessed an intraday movement of about 161.35 points.The closing index was 2.57 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 48694.51
, Traded Quantity (in Lakhs), 23579.27
, Number of Trades, 17763425
, Total Market Capitalisation (Rs. Crores), 12068254.93

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,      9383.55,      9213.95,      9281.10,      9119.75,      9142.75,-240.8
,NIFTY50 EQL Wgt,      9615.65,      9475.35,      9532.20,      9422.55,      9455.20,-160.45
,NIFTY100 EQL Wgt,     10576.90,     10469.90,     10549.90,     10413.90,     10442.20,-134.7
,NIFTY100 LowVol30,      7643.30,      7553.35,      7595.60,      7523.45,      7551.55,-91.75
,NIFTY Alpha 50,     11542.00,     11477.05,     11580.40,     11420.05,     11462.70,-79.3
,NIFTY MIDCAP 150,      4983.10,      4960.10,      5006.55,      4941.50,      4960.85,-22.25
,NIFTY SMLCAP 50,      1877.10,      1865.85,      1880.70,      1853.45,      1859.70,-17.4
,NIFTY SMLCAP 250,      3490.80,      3474.95,      3494.50,      3451.15,      3458.80,-32
,NIFTY MIDSML 400,      4445.10,      4424.70,      4461.25,      4407.55,      4419.25,-25.85
,NIFTY200 QUALTY30,      8513.20,      8412.60,      8506.40,      8391.75,      8453.95,-59.25
,Nifty IT,     13776.95,     13396.05,     13483.70,     13246.80,     13293.70,-483.25
,Nifty Next 50,     23457.65,     23330.05,     23535.35,     23217.25,     23306.60,-151.05
,Nifty Bank,     19634.95,     19197.70,     19380.10,     19024.75,     19068.50,-566.45
,NIFTY MIDCAP 100,     13064.00,     12996.30,     13135.85,     12943.40,     13018.20,-45.8
,Nifty 500,      7667.00,      7558.15,      7614.80,      7495.90,      7514.55,-152.45
,Nifty 100,      9552.65,      9396.85,      9465.85,      9310.05,      9333.10,-219.55
,Nifty Midcap 50,      3647.60,      3621.10,      3665.65,      3600.75,      3626.10,-21.5
,Nifty Realty,       178.40,       178.60,       178.60,       173.20,       175.20,-3.2
,Nifty Infra,      2762.30,      2730.90,      2746.15,      2691.50,      2706.85,-55.45
,Nifty Energy,     12911.45,     12764.35,     12782.40,     12456.25,     12485.95,-425.5
,Nifty FMCG,     26746.50,     26618.10,     27090.80,     26587.00,     26933.65,187.15
,Nifty MNC,     12016.40,     11935.70,     12104.10,     11896.20,     12041.90,25.5
,Nifty Pharma,      9147.75,      9146.10,      9279.65,      9103.80,      9172.20,24.45
,Nifty PSE,      2311.30,      2296.60,      2296.95,      2247.80,      2252.55,-58.75
,Nifty PSU Bank,      1238.05,      1221.45,      1236.85,      1202.90,      1205.90,-32.15
,Nifty Serv Sector,     12644.15,     12370.70,     12461.85,     12206.40,     12229.75,-414.4
,India VIX,38.8350,38.8350,38.8350,35.7950,38.1825,-0.6525
,Nifty Auto,      5844.60,      5698.55,      5865.95,      5668.40,      5804.05,-40.55
,Nifty Metal,      1760.60,      1732.15,      1753.25,      1710.30,      1715.05,-45.55
,Nifty Media,      1171.10,      1160.15,      1166.60,      1136.80,      1158.40,-12.7
,NIFTY SMLCAP 100,      3975.70,      3959.50,      3978.70,      3924.75,      3936.20,-39.5
,Nifty 200,      4861.05,      4787.35,      4824.20,      4746.85,      4759.15,-101.9
,Nifty Div Opps 50,      2050.75,      2020.35,      2033.15,      2008.85,      2015.70,-35.05
,Nifty Commodities,      2587.90,      2561.55,      2574.15,      2526.45,      2536.20,-51.7
,Nifty Consumption,      4324.00,      4283.60,      4334.80,      4277.70,      4310.25,-13.75
,Nifty Fin Service,      9679.60,      9499.85,      9581.65,      9337.20,      9355.65,-323.95
,Nifty50 Div Point,         1.83,         1.83,         1.83,         1.83,         1.83,0
,Nifty100 Liq 15,      2360.10,      2324.35,      2351.10,      2301.80,      2310.75,-49.35
,Nifty CPSE,      1361.85,      1350.15,      1350.40,      1317.60,      1324.55,-37.3
,Nifty GrowSect 15,      4616.30,      4553.35,      4609.25,      4539.30,      4546.10,-70.2
,Nifty50 PR 2x Lev,      2846.30,      2743.30,      2783.75,      2686.40,      2700.10,-146.2
,Nifty50 PR 1x Inv,       468.45,       476.95,       481.60,       473.60,       480.50,12.05
,Nifty50 TR 2x Lev,      3727.25,      3592.40,      3645.35,      3517.90,      3535.80,-191.45
,Nifty50 TR 1x Inv,       409.65,       417.05,       421.15,       414.15,       420.15,10.5
,Nifty50 Value 20,      4581.25,      4494.25,      4521.35,      4466.40,      4481.65,-99.6
,Nifty Mid Liq 15,      3151.15,      3120.30,      3156.20,      3104.20,      3123.40,-27.75
,Nifty Pvt Bank,     10718.90,     10483.05,     10599.40,     10420.50,     10444.75,-274.15
,NIFTY100 Qualty30,      2220.75,      2193.40,      2218.00,      2187.10,      2199.70,-21.05
,Nifty GS 8 13Yr,      2152.74,      2153.13,      2165.31,      2153.13,      2158.49,5.75
,Nifty GS 10Yr,      1973.40,      1973.74,      1988.14,      1973.74,      1979.15,5.75
,Nifty GS 10Yr Cln,       974.70,       974.70,       981.86,       974.70,       977.39,2.69
,Nifty GS 4 8Yr,      2292.00,      2292.41,      2300.86,      2292.10,      2293.12,1.12
,Nifty GS 11 15Yr,      2318.40,      2318.82,      2331.64,      2318.82,      2320.80,2.4
,Nifty GS 15YrPlus,      2513.84,      2514.30,      2528.02,      2514.30,      2522.07,8.23
,Nifty GS Compsite,      2193.36,      2193.76,      2204.19,      2193.76,      2197.14,3.78

,ADVANCES,703
,DECLINES,1086
,UNCHANGED,121

,Total securities that have hit their price bands today,448

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,RELIANCE,EQ,      1496.45,      1435.95,-4.04,3314.12
,BAJFINANCE,EQ,      2161.05,      2112.00,-2.27,3138.54
,HDFCBANK,EQ,       927.65,       893.70,-3.66,1779.55
,HINDUNILVR,EQ,      1995.75,      2006.05,0.52,1708.1
,MARUTI,EQ,      5036.10,      5114.05,1.55,1306.87
,AXISBANK,EQ,       414.00,       401.95,-2.91,1279.03
,INFY,EQ,       694.15,       658.15,-5.19,1119.31
,ICICIBANK,EQ,       338.05,       327.40,-3.15,1118.09
,HDFC,EQ,      1712.75,      1632.40,-4.69,898.66
,KOTAKBANK,EQ,      1186.70,      1173.10,-1.15,845.55
,MCDOWELL-N,EQ,       510.20,       539.80,5.8,815.38
,SBIN,EQ,       174.10,       167.95,-3.53,815.23
,IBULHSGFIN,EQ,       136.60,       131.40,-3.81,727.37
,BHARTIARTL,EQ,       555.95,       539.85,-2.9,720.99
,INDUSINDBK,EQ,       448.60,       428.00,-4.59,713.99
,BHEL,EQ,        26.60,        27.45,3.2,691.51
,SRTRANSFIN,EQ,       671.65,       648.20,-3.49,685.87
,NESTLEIND,EQ,     16512.35,     16242.50,-1.63,677.32
,LT,EQ,       862.90,       871.65,1.01,581.36
,HEROMOTOCO,EQ,      2187.60,      2241.35,2.46,568.7
,IRCTC,EQ,      1437.10,      1389.20,-3.33,539.81
,SUNPHARMA,EQ,       452.35,       455.95,0.8,538.23
,ZEEL,EQ,       165.15,       169.65,2.72,527.13
,RBLBANK,EQ,       121.50,       124.25,2.26,506.33
,INFRATEL,EQ,       196.15,       209.65,6.88,496.58

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,INFRATEL,EQ,       209.65,       196.15,6.88
,ZEEL,EQ,       169.65,       165.15,2.72
,HEROMOTOCO,EQ,      2241.35,      2187.60,2.46
,ULTRACEMCO,EQ,      3609.50,      3546.70,1.77
,MARUTI,EQ,      5114.05,      5036.10,1.55

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,TECHM,EQ,       515.70,       544.75,-5.33
,INFY,EQ,       658.15,       694.15,-5.19
,HINDALCO,EQ,       117.20,       123.55,-5.14
,HDFC,EQ,      1632.40,      1712.75,-4.69
,INDUSINDBK,EQ,       428.00,       448.60,-4.59

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        25.80,                   500973.30,19306
,21STCENMGM,EQ,        10.25,                    25471.60,2527
,3IINFOTECH,EQ,         1.60,                   401219.20,250762
,3MINDIA,EQ,     17735.85,                 67272577.15,3758
,3PLAND,EQ,         5.15,                     2575.00,500
,5PAISA,EQ,       150.95,                  1752027.45,11587
,63MOONS,BE,        55.05,                   217939.75,3960
,719GS2060,GS,       105.70,                     9407.30,89
,762GS2039,GS,       115.50,                     5197.50,45
,A2ZINFRA,EQ,         3.85,                   478699.95,123378
,AARTIDRUGS,EQ,       835.55,                381761992.15,465273
,AARTIIND,EQ,      1021.55,                611066896.55,590394
,AARVEEDEN,EQ,         8.85,                    28402.60,3223
,AAVAS,EQ,       970.05,                 52876664.25,53232
,ABAN,BE,        18.90,                   507437.60,27143
,ABB,EQ,       836.10,                 76089076.20,90247
,ABBOTINDIA,EQ,     17907.05,                166936946.40,9337
,ABCAPITAL,EQ,        44.60,                 84128158.75,1874721
,ABFRL,EQ,       102.95,                453465553.90,4388593
,ABSLBANETF,EQ,       180.31,                   303372.33,1664
,ABSLNN50ET,EQ,       241.83,                    21641.06,88
,ACCELYA,EQ,       904.10,                 40919153.30,44648
,ACCURACY,SM,        17.20,                    82480.00,4800
,ACE,EQ,        43.70,                  3702639.05,84514
,ADANIENT,EQ,       140.90,                222663655.65,1587450
,ADANIGAS,EQ,       106.35,                145151734.95,1356108
,ADANIGREEN,EQ,       228.55,                 95043701.55,416147
,ADANIPOWER,EQ,        33.05,               1722888090.80,50402124
,ADFFOODS,EQ,       226.60,                 71613774.20,316844
,ADHUNIKIND,EQ,        17.70,                   371540.70,20991
,ADORWELD,EQ,       239.35,                   880722.95,3657
,ADROITINFO,BE,         6.10,                   113620.85,18805
,ADSL,EQ,        13.15,                   392292.55,29629
,ADVANIHOTR,EQ,        38.55,                   300175.75,7869
,ADVENZYMES,EQ,       152.30,                 48561496.05,322126
,AEGISCHEM,EQ,       171.60,                 23492502.45,136215
,AFFLE,BE,      1329.70,                 18204125.05,13816
,AGARIND,EQ,        59.70,                   436130.30,7373
,AGCNET,BE,       249.55,                   690604.45,2822
,AGRITECH,BE,        33.40,                   329556.10,10198
,AGROPHOS,EQ,        10.15,                    66309.95,6533
,AHLEAST,EQ,       134.90,                    14681.40,110
,AHLUCONT,EQ,       174.85,                   202139.25,1154
,AHLWEST,BE,       232.00,                      232.00,1
,AIAENG,EQ,      1672.15,                 39033417.15,23266
,AIONJSW,BE,        11.25,                   183883.95,16361
,AIRAN,EQ,         9.40,                   345784.30,36358
,AISL,SM,        17.85,                    21420.00,1200
,AJANTPHARM,EQ,      1494.45,                286601278.85,192840
,AJMERA,EQ,        86.20,                 13572198.65,159789
,AJOONI,SM,         7.00,                    28000.00,4000
,AKASH,BE,        80.90,                    16590.00,200
,AKSHARCHEM,EQ,       217.80,                 52560512.40,241814
,AKSHOPTFBR,EQ,         4.90,                  1173282.05,241306
,AKZOINDIA,EQ,      1864.70,                 19143243.90,10154
,ALANKIT,EQ,        16.40,                  1185506.80,71091
,ALBERTDAVD,EQ,       499.35,                192542965.30,384534
,ALCHEM,BE,         3.15,                    70096.95,22253
,ALEMBICLTD,EQ,        49.20,                 11684597.80,240087
,ALICON,EQ,       224.75,                   112031.80,500
