,15-May-2020
The Nifty witnessed an intraday movement of about 132.4 points.The closing index was 0.06 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 43660.14
, Traded Quantity (in Lakhs), 20973.74
, Number of Trades, 16079038
, Total Market Capitalisation (Rs. Crores), 12066191.32

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,      9142.75,      9182.40,      9182.40,      9050.00,      9136.85,-5.9
,NIFTY50 EQL Wgt,      9455.20,      9495.70,      9495.70,      9388.55,      9439.00,-16.2
,NIFTY100 EQL Wgt,     10442.20,     10480.60,     10483.70,     10362.95,     10426.05,-16.15
,NIFTY100 LowVol30,      7551.55,      7587.40,      7587.40,      7492.10,      7537.80,-13.75
,NIFTY Alpha 50,     11462.70,     11526.75,     11528.20,     11372.35,     11425.90,-36.8
,NIFTY MIDCAP 150,      4960.85,      4987.65,      4989.60,      4933.15,      4948.05,-12.8
,NIFTY SMLCAP 50,      1859.70,      1867.35,      1869.10,      1845.10,      1854.40,-5.3
,NIFTY SMLCAP 250,      3458.80,      3478.45,      3480.65,      3449.85,      3461.15,2.35
,NIFTY MIDSML 400,      4419.25,      4443.45,      4445.05,      4398.90,      4411.95,-7.3
,NIFTY200 QUALTY30,      8453.95,      8495.15,      8495.45,      8386.25,      8433.50,-20.45
,Nifty IT,     13293.70,     13375.45,     13375.80,     13108.40,     13196.35,-97.35
,Nifty Next 50,     23306.60,     23378.30,     23397.95,     23105.80,     23177.80,-128.8
,Nifty Bank,     19068.50,     19098.80,     19119.10,     18683.65,     18833.95,-234.55
,NIFTY MIDCAP 100,     13018.20,     13093.40,     13103.00,     12941.20,     12992.05,-26.15
,Nifty 500,      7514.55,      7547.60,      7547.60,      7447.70,      7504.05,-10.5
,Nifty 100,      9333.10,      9371.90,      9372.05,      9240.95,      9320.60,-12.5
,Nifty Midcap 50,      3626.10,      3643.00,      3658.05,      3601.40,      3618.50,-7.6
,Nifty Realty,       175.20,       177.35,       177.45,       171.75,       172.50,-2.7
,Nifty Infra,      2706.85,      2722.85,      2736.15,      2695.30,      2729.00,22.15
,Nifty Energy,     12485.95,     12547.00,     12687.60,     12440.70,     12615.45,129.5
,Nifty FMCG,     26933.65,     26969.40,     27028.95,     26795.85,     26958.65,25
,Nifty MNC,     12041.90,     12108.80,     12111.40,     11989.55,     12079.95,38.05
,Nifty Pharma,      9172.20,      9177.35,      9211.00,      9065.65,      9093.00,-79.2
,Nifty PSE,      2252.55,      2261.65,      2286.40,      2250.15,      2269.15,16.6
,Nifty PSU Bank,      1205.90,      1206.60,      1209.90,      1183.55,      1186.10,-19.8
,Nifty Serv Sector,     12229.75,     12282.00,     12284.25,     12064.10,     12161.65,-68.1
,India VIX,38.1825,38.1825,38.4600,34.0550,38.0175,-0.1650
,Nifty Auto,      5804.05,      5823.30,      5827.15,      5680.25,      5745.70,-58.35
,Nifty Metal,      1715.05,      1728.80,      1763.85,      1714.15,      1742.60,27.55
,Nifty Media,      1158.40,      1155.25,      1156.95,      1133.80,      1137.35,-21.05
,NIFTY SMLCAP 100,      3936.20,      3957.45,      3959.40,      3911.80,      3935.10,-1.1
,Nifty 200,      4759.15,      4779.75,      4779.75,      4714.20,      4752.45,-6.7
,Nifty Div Opps 50,      2015.70,      2023.25,      2025.10,      2003.25,      2016.10,.4
,Nifty Commodities,      2536.20,      2555.35,      2569.85,      2532.35,      2555.85,19.65
,Nifty Consumption,      4310.25,      4322.20,      4326.05,      4279.25,      4318.90,8.65
,Nifty Fin Service,      9355.65,      9386.35,      9391.30,      9195.30,      9291.60,-64.05
,Nifty50 Div Point,         1.83,         1.83,         1.83,         1.83,         1.83,0
,Nifty100 Liq 15,      2310.75,      2320.25,      2320.80,      2285.85,      2308.80,-1.95
,Nifty CPSE,      1324.55,      1330.80,      1346.25,      1324.30,      1336.20,11.65
,Nifty GrowSect 15,      4546.10,      4552.55,      4561.80,      4498.70,      4542.95,-3.15
,Nifty50 PR 2x Lev,      2700.10,      2723.35,      2723.35,      2645.20,      2696.45,-3.65
,Nifty50 PR 1x Inv,       480.50,       478.45,       485.40,       478.45,       480.85,.35
,Nifty50 TR 2x Lev,      3535.80,      3566.25,      3566.25,      3463.95,      3531.00,-4.8
,Nifty50 TR 1x Inv,       420.15,       418.35,       424.45,       418.35,       420.45,.3
,Nifty50 Value 20,      4481.65,      4497.65,      4497.65,      4444.55,      4480.85,-.8
,Nifty Mid Liq 15,      3123.40,      3127.10,      3148.00,      3087.25,      3104.65,-18.75
,Nifty Pvt Bank,     10444.75,     10468.90,     10479.90,     10229.60,     10315.10,-129.65
,NIFTY100 Qualty30,      2199.70,      2209.60,      2209.65,      2179.40,      2193.70,-6
,Nifty GS 8 13Yr,      2158.49,      2158.88,      2161.27,      2154.29,      2157.26,-1.23
,Nifty GS 10Yr,      1979.15,      1979.49,      1983.70,      1970.88,      1976.05,-3.1
,Nifty GS 10Yr Cln,       977.39,       977.39,       979.48,       973.11,       975.68,-1.71
,Nifty GS 4 8Yr,      2293.12,      2293.53,      2293.96,      2289.80,      2289.80,-3.32
,Nifty GS 11 15Yr,      2320.80,      2321.22,      2324.82,      2317.16,      2318.29,-2.51
,Nifty GS 15YrPlus,      2522.07,      2522.53,      2524.83,      2522.53,      2524.83,2.76
,Nifty GS Compsite,      2197.14,      2197.54,      2199.47,      2194.72,      2195.15,-1.99

,ADVANCES,837
,DECLINES,945
,UNCHANGED,123

,Total securities that have hit their price bands today,417

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,RELIANCE,EQ,      1435.95,      1459.40,1.63,4129.98
,BAJFINANCE,EQ,      2112.00,      2086.45,-1.21,1671.45
,HINDUNILVR,EQ,      2006.05,      2032.10,1.3,1110.17
,MARUTI,EQ,      5114.05,      5100.40,-0.27,1101.47
,HDFCBANK,EQ,       893.70,       888.15,-0.62,1077.48
,ICICIBANK,EQ,       327.40,       322.70,-1.44,1023.84
,AXISBANK,EQ,       401.95,       388.55,-3.33,995.73
,HDFC,EQ,      1632.40,      1633.80,0.09,916.35
,BIOCON,EQ,       335.15,       328.50,-1.98,887.91
,CIPLA,EQ,       569.75,       570.30,0.1,825.58
,BHARTIARTL,EQ,       539.85,       554.10,2.64,796.82
,VEDL,EQ,        89.15,        92.95,4.26,698.19
,ESCORTS,EQ,       794.30,       823.55,3.68,629.54
,INDUSINDBK,EQ,       428.00,       418.70,-2.17,625.33
,INFY,EQ,       658.15,       652.30,-0.89,603.88
,TCS,EQ,      1902.35,      1892.90,-0.5,598
,SBIN,EQ,       167.95,       166.40,-0.92,589.88
,M&M,EQ,       400.45,       381.30,-4.78,544.78
,LT,EQ,       871.65,       864.40,-0.83,490.8
,ZEEL,EQ,       169.65,       164.20,-3.21,472.89
,MCDOWELL-N,EQ,       539.80,       540.85,0.19,463.37
,HEROMOTOCO,EQ,      2241.35,      2193.55,-2.13,457.87
,MANAPPURAM,EQ,       123.05,       127.25,3.41,456.36
,KOTAKBANK,EQ,      1173.10,      1178.30,0.44,452.51
,NESTLEIND,EQ,     16242.50,     16443.80,1.24,444.55

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,VEDL,EQ,        92.95,        89.15,4.26
,BPCL,EQ,       318.20,       309.70,2.74
,BHARTIARTL,EQ,       554.10,       539.85,2.64
,ASIANPAINT,EQ,      1552.95,      1522.40,2.01
,TATASTEEL,EQ,       273.45,       268.55,1.82

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,M&M,EQ,       381.30,       400.45,-4.78
,INFRATEL,EQ,       202.50,       209.65,-3.41
,AXISBANK,EQ,       388.55,       401.95,-3.33
,UPL,EQ,       378.90,       391.85,-3.3
,ZEEL,EQ,       164.20,       169.65,-3.21

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        26.10,                   657110.05,25232
,21STCENMGM,EQ,        10.45,                    15031.60,1488
,3IINFOTECH,EQ,         1.65,                  1096566.90,664586
,3MINDIA,EQ,     17675.50,                 31088441.10,1750
,3PLAND,EQ,         5.15,                     2111.50,410
,509GS2022,GS,        95.04,                       95.04,1
,5PAISA,EQ,       152.40,                  1786873.90,11783
,617GS2021,GS,        99.01,                      990.10,10
,63MOONS,BE,        54.05,                   870379.30,16173
,645GS2029,GS,       102.00,                      102.00,1
,719GS2060,GS,       106.55,                   261580.50,2455
,759GS2026,GS,       109.00,                     1090.00,10
,762GS2039,GS,       115.00,                   279390.00,2516
,795GS2032,GS,       112.00,                    21912.00,201
,A2ZINFRA,EQ,         3.80,                  1069901.05,286028
,AARTIDRUGS,EQ,       863.35,                832498012.45,968973
,AARTIIND,EQ,      1026.05,                280720919.15,271922
,AARVEEDEN,EQ,         8.95,                    49064.80,5537
,AARVI,SM,        21.40,                    85600.00,4000
,AAVAS,EQ,       982.50,                114986163.05,116555
,ABAN,BE,        18.75,                   348306.45,18664
,ABB,EQ,       822.70,                 51904984.35,62463
,ABBOTINDIA,EQ,     17619.55,                251276416.80,14274
,ABCAPITAL,EQ,        44.25,                 43661878.45,992909
,ABFRL,EQ,       104.10,                149062161.20,1427120
,ABMINTLTD,BE,        13.00,                      130.00,10
,ABSLBANETF,EQ,       182.54,                   114902.46,632
,ABSLNN50ET,EQ,       240.00,                    18509.02,77
,ABSLRIF6RG,MF,         5.40,                    75368.00,14000
,ACCELYA,EQ,       909.70,                 13486780.65,14815
,ACCURACY,SM,        17.25,                  1324800.00,76800
,ACE,EQ,        44.00,                  6116455.60,138622
,ADANIENT,EQ,       141.05,                304456147.90,2145698
,ADANIGAS,EQ,       107.45,                183880948.95,1697595
,ADANIGREEN,EQ,       230.25,                 74275339.25,325461
,ADANIPOWER,EQ,        32.35,                322003617.75,9887393
,ADFFOODS,EQ,       237.35,                 39811070.55,171121
,ADHUNIKIND,EQ,        18.55,                   369924.35,20124
,ADORWELD,EQ,       233.45,                  2596420.35,11087
,ADROITINFO,BE,         6.20,                    66895.60,10806
,ADSL,EQ,        13.40,                   216847.50,16441
,ADVANIHOTR,EQ,        38.00,                   490869.65,12891
,ADVENZYMES,EQ,       156.75,                148276147.95,930074
,AEGISCHEM,EQ,       172.70,                 14834401.20,85640
,AFFLE,BE,      1318.60,                 10720127.95,8134
,AGARIND,EQ,        58.35,                   337385.20,5753
,AGCNET,BE,       249.00,                    72041.00,293
,AGRITECH,BE,        32.50,                   135867.00,4179
,AGROPHOS,EQ,         9.65,                   101267.10,10494
,AHLEAST,EQ,       141.25,                   449055.40,3328
,AHLUCONT,EQ,       174.15,                   155770.65,894
,AHLWEST,BE,       239.00,                     1434.00,6
,AIAENG,EQ,      1631.05,                194075472.70,118659
,AIONJSW,BE,        11.45,                   292296.35,26312
,AIRAN,EQ,         9.30,                   457275.45,48602
,AISL,SM,        18.70,                    44880.00,2400
,AJANTPHARM,EQ,      1497.00,               1210741581.70,784850
,AJMERA,EQ,        84.35,                 15267427.10,176960
,AJOONI,SM,         6.65,                    26600.00,4000
,AKASH,BE,        81.00,                     8100.00,100
,AKSHARCHEM,EQ,       203.45,                 10124180.20,48584
