,18-May-2020
The Nifty witnessed an intraday movement of about 351.55 points.The closing index was 3.43 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 52063.31
, Traded Quantity (in Lakhs), 26014.3
, Number of Trades, 19956956
, Total Market Capitalisation (Rs. Crores), 11702172.29

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,      9136.85,      9158.30,      9158.30,      8806.75,      8823.25,-313.6
,NIFTY50 EQL Wgt,      9439.00,      9453.30,      9453.30,      9102.15,      9116.35,-322.65
,NIFTY100 EQL Wgt,     10426.05,     10441.60,     10441.85,     10049.40,     10066.90,-359.15
,NIFTY100 LowVol30,      7537.80,      7546.90,      7547.85,      7357.35,      7367.00,-170.8
,NIFTY Alpha 50,     11425.90,     11389.70,     11395.00,     10984.65,     11039.25,-386.65
,NIFTY MIDCAP 150,      4948.05,      4967.00,      4967.45,      4747.75,      4753.85,-194.2
,NIFTY SMLCAP 50,      1854.40,      1856.95,      1859.20,      1779.05,      1787.80,-66.6
,NIFTY SMLCAP 250,      3461.15,      3478.05,      3481.65,      3345.45,      3352.50,-108.65
,NIFTY MIDSML 400,      4411.95,      4430.20,      4431.30,      4244.65,      4248.80,-163.15
,NIFTY200 QUALTY30,      8433.50,      8446.00,      8449.15,      8253.95,      8264.95,-168.55
,Nifty IT,     13196.35,     13278.25,     13408.80,     13109.95,     13314.40,118.05
,Nifty Next 50,     23177.80,     23186.50,     23191.85,     22365.30,     22447.40,-730.4
,Nifty Bank,     18833.95,     18795.10,     18795.10,     17514.20,     17573.20,-1260.75
,NIFTY MIDCAP 100,     12992.05,     13041.50,     13041.50,     12389.50,     12409.35,-582.7
,Nifty 500,      7504.05,      7522.45,      7522.50,      7234.45,      7245.25,-258.8
,Nifty 100,      9320.60,      9339.90,      9340.00,      8988.95,      9004.40,-316.2
,Nifty Midcap 50,      3618.50,      3631.00,      3631.35,      3424.20,      3430.80,-187.7
,Nifty Realty,       172.50,       172.20,       172.60,       162.60,       163.30,-9.2
,Nifty Infra,      2729.00,      2738.65,      2738.65,      2618.60,      2624.90,-104.1
,Nifty Energy,     12615.45,     12672.50,     12672.50,     12189.25,     12214.55,-400.9
,Nifty FMCG,     26958.65,     27057.50,     27092.50,     26653.95,     26694.65,-264
,Nifty MNC,     12079.95,     12097.05,     12106.85,     11735.75,     11753.85,-326.1
,Nifty Pharma,      9093.00,      9097.60,      9201.45,      8999.85,      9092.65,-.35
,Nifty PSE,      2269.15,      2273.60,      2273.60,      2153.75,      2158.30,-110.85
,Nifty PSU Bank,      1186.10,      1187.15,      1187.35,      1108.75,      1116.05,-70.05
,Nifty Serv Sector,     12161.65,     12174.80,     12174.85,     11618.55,     11641.65,-520
,India VIX,38.0175,38.0175,41.2450,27.9350,40.9150,2.8975
,Nifty Auto,      5745.70,      5747.50,      5752.15,      5411.95,      5430.05,-315.65
,Nifty Metal,      1742.60,      1746.20,      1746.40,      1667.80,      1673.50,-69.1
,Nifty Media,      1137.35,      1133.85,      1135.65,      1053.25,      1060.35,-77
,NIFTY SMLCAP 100,      3935.10,      3945.75,      3950.65,      3785.15,      3804.90,-130.2
,Nifty 200,      4752.45,      4763.15,      4763.20,      4578.20,      4585.70,-166.75
,Nifty Div Opps 50,      2016.10,      2023.90,      2024.00,      1971.10,      1976.10,-40
,Nifty Commodities,      2555.85,      2563.30,      2563.30,      2449.40,      2453.85,-102
,Nifty Consumption,      4318.90,      4325.40,      4329.55,      4193.95,      4200.70,-118.2
,Nifty Fin Service,      9291.60,      9275.40,      9275.65,      8654.00,      8675.40,-616.2
,Nifty50 Div Point,         1.83,         1.83,         1.83,         1.83,         1.83,0
,Nifty100 Liq 15,      2308.80,      2311.85,      2311.85,      2181.75,      2187.95,-120.85
,Nifty CPSE,      1336.20,      1339.60,      1339.60,      1278.80,      1283.05,-53.15
,Nifty GrowSect 15,      4542.95,      4549.35,      4551.05,      4338.50,      4345.90,-197.05
,Nifty50 PR 2x Lev,      2696.45,      2708.35,      2708.35,      2501.30,      2510.55,-185.9
,Nifty50 PR 1x Inv,       480.85,       479.85,       498.30,       479.85,       497.45,16.6
,Nifty50 TR 2x Lev,      3531.00,      3546.60,      3546.60,      3275.45,      3287.65,-243.35
,Nifty50 TR 1x Inv,       420.45,       419.60,       435.75,       419.60,       435.00,14.55
,Nifty50 Value 20,      4480.85,      4502.70,      4502.70,      4410.80,      4435.15,-45.7
,Nifty Mid Liq 15,      3104.65,      3110.95,      3111.25,      2918.10,      2927.10,-177.55
,Nifty Pvt Bank,     10315.10,     10293.40,     10293.40,      9569.95,      9603.20,-711.9
,NIFTY100 Qualty30,      2193.70,      2196.35,      2197.20,      2138.00,      2140.90,-52.8
,Nifty GS 8 13Yr,      2157.70,      2158.08,      2162.23,      2158.08,      2161.81,4.11
,Nifty GS 10Yr,      1976.73,      1977.07,      1982.81,      1977.07,      1981.28,4.55
,Nifty GS 10Yr Cln,       975.68,       975.68,       978.53,       975.68,       977.77,2.09
,Nifty GS 4 8Yr,      2290.62,      2291.03,      2293.95,      2290.98,      2293.95,3.33
,Nifty GS 11 15Yr,      2319.13,      2319.55,      2328.31,      2319.55,      2327.16,8.03
,Nifty GS 15YrPlus,      2525.76,      2526.22,      2528.86,      2524.17,      2524.17,-1.59
,Nifty GS Compsite,      2195.94,      2196.33,      2199.84,      2196.33,      2199.69,3.75

,ADVANCES,390
,DECLINES,1462
,UNCHANGED,97

,Total securities that have hit their price bands today,565

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,RELIANCE,EQ,      1459.40,      1440.75,-1.28,4210.63
,ICICIBANK,EQ,       322.70,       298.50,-7.5,2229.56
,BAJFINANCE,EQ,      2086.45,      1938.60,-7.09,2133.05
,HDFCBANK,EQ,       888.15,       836.65,-5.8,1977.7
,AXISBANK,EQ,       388.55,       358.80,-7.66,1742.5
,HINDUNILVR,EQ,      2032.10,      2005.25,-1.32,1541.27
,MARUTI,EQ,      5100.40,      4720.95,-7.44,1524.09
,CIPLA,EQ,       570.30,       600.45,5.29,1352.83
,HDFC,EQ,      1633.80,      1512.05,-7.45,1313.85
,SBIN,EQ,       166.40,       155.30,-6.67,1220.12
,BHARTIARTL,EQ,       554.10,       538.05,-2.9,1182.93
,INDUSINDBK,EQ,       418.70,       376.75,-10.02,982.3
,VEDL,EQ,        92.95,        92.50,-0.48,822.01
,KOTAKBANK,EQ,      1178.30,      1113.65,-5.49,721.23
,TCS,EQ,      1892.90,      1945.60,2.78,716.17
,INFY,EQ,       652.30,       663.90,1.78,692.43
,MCDOWELL-N,EQ,       540.85,       542.60,0.32,668.39
,INDIGO,EQ,       984.00,       912.25,-7.29,645.19
,LT,EQ,       864.40,       813.35,-5.91,514.26
,PVR,EQ,       853.25,       745.85,-12.59,434.92
,ASIANPAINT,EQ,      1552.95,      1501.10,-3.34,434.39
,SRTRANSFIN,EQ,       641.35,       576.15,-10.17,416.46
,SUNPHARMA,EQ,       448.60,       440.70,-1.76,400.68
,BIOCON,EQ,       328.50,       331.75,0.99,396.4
,ESCORTS,EQ,       823.55,       810.50,-1.58,395.31

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,CIPLA,EQ,       600.45,       570.30,5.29
,TCS,EQ,      1945.60,      1892.90,2.78
,INFRATEL,EQ,       207.10,       202.50,2.27
,INFY,EQ,       663.90,       652.30,1.78
,ITC,EQ,       164.75,       164.65,.06

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,INDUSINDBK,EQ,       376.75,       418.70,-10.02
,ZEEL,EQ,       149.50,       164.20,-8.95
,EICHERMOT,EQ,     12988.20,     14099.60,-7.88
,ULTRACEMCO,EQ,      3307.80,      3583.15,-7.68
,AXISBANK,EQ,       358.80,       388.55,-7.66

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        25.15,                   838790.45,32865
,21STCENMGM,EQ,        10.55,                     9878.25,945
,3IINFOTECH,EQ,         1.60,                  9259231.25,5603413
,3MINDIA,EQ,     17048.40,                 59068596.35,3429
,3PLAND,EQ,         5.15,                      556.20,108
,509GS2022,GS,        96.96,                      380.25,4
,5PAISA,EQ,       144.85,                  2222910.60,15240
,618GS2024,GS,       102.77,                     7810.52,76
,63MOONS,BE,        52.95,                   760369.60,14160
,645GS2029,GS,       102.00,                    10200.00,100
,757GS2033,GS,       109.00,                    10905.50,100
,759GS2026,GS,       113.00,                    22600.00,200
,763GS2059,GS,       110.00,                     5500.00,50
,8KMILES,BZ,        22.95,                  2855357.75,126199
,A2ZINFRA,EQ,         3.70,                   746731.05,197917
,AARTIDRUGS,EQ,       794.20,                340385536.30,422835
,AARTIIND,EQ,      1000.90,                227225651.85,226668
,AARVEEDEN,EQ,         8.70,                    62533.05,7183
,AAVAS,EQ,      1027.35,                131363710.10,129079
,ABAN,BE,        18.15,                   244755.20,13391
,ABB,EQ,       799.80,                 72727499.35,90489
,ABBOTINDIA,EQ,     17036.15,                243989978.70,14209
,ABCAPITAL,EQ,        41.95,                 43554390.15,1030819
,ABFRL,EQ,       100.00,                125302685.75,1248805
,ABMINTLTD,BE,        13.00,                      780.00,60
,ABSLBANETF,EQ,       172.73,                    73039.92,415
,ABSLNN50ET,EQ,       235.28,                    13932.04,61
,ACCELYA,EQ,       913.45,                  8076615.55,8811
,ACCURACY,SM,        17.30,                   110640.00,6400
,ACE,EQ,        41.70,                  5585210.65,131782
,ADANIENT,EQ,       135.90,                697296019.25,4941536
,ADANIGAS,EQ,       101.60,                117256412.95,1132268
,ADANIGREEN,EQ,       229.25,                148056393.60,651936
,ADANIPOWER,EQ,        30.90,                502135691.30,15995995
,ADFFOODS,EQ,       241.70,                 16652461.75,68676
,ADHUNIKIND,EQ,        19.45,                   207142.50,10650
,ADORWELD,EQ,       225.10,                   957298.70,4207
,ADROITINFO,BE,         6.00,                    42190.45,6908
,ADSL,EQ,        12.45,                   236943.15,18614
,ADVANIHOTR,EQ,        37.95,                   861100.35,23018
,ADVENZYMES,EQ,       156.80,                 49298453.25,312010
,AEGISCHEM,EQ,       167.60,                 21107801.65,123220
,AFFLE,BE,      1277.00,                 22432151.40,17527
,AGARIND,EQ,        58.45,                   256374.85,4402
,AGCNET,BE,       242.30,                   493865.00,2037
,AGRITECH,BE,        32.45,                   216433.55,6587
,AGROPHOS,EQ,         9.20,                    48612.80,5284
,AHLEAST,EQ,       128.80,                   862058.70,6709
,AHLUCONT,EQ,       172.00,                   717065.45,4158
,AHLWEST,BE,       239.00,                      239.00,1
,AIAENG,EQ,      1578.30,                 37059656.40,23329
,AIONJSW,BE,        11.15,                   130680.30,11617
,AIRAN,EQ,         9.25,                   257223.60,28032
,AJANTPHARM,EQ,      1403.35,                369752529.00,256414
,AJMERA,EQ,        78.85,                  2791826.80,35008
,AKASH,BE,        81.00,                     8100.00,100
,AKG,SM,        33.25,                  1989000.00,60000
,AKSHARCHEM,EQ,       193.60,                  6030272.05,30368
,AKSHOPTFBR,EQ,         4.60,                   792004.10,171499
,AKZOINDIA,EQ,      1766.60,                 24452554.40,13642
,ALANKIT,EQ,        15.15,                   582965.60,38098
