,09-Jun-2020
The Nifty witnessed an intraday movement of about 269.7 points.The closing index was 1.19 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 63786.47
, Traded Quantity (in Lakhs), 45268.85
, Number of Trades, 20628290
, Total Market Capitalisation (Rs. Crores), 13242827.06

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     10167.45,     10181.15,     10291.15,     10021.45,     10046.65,-120.8
,NIFTY50 EQL Wgt,     10708.25,     10751.55,     10831.15,     10579.60,     10612.20,-96.05
,NIFTY100 EQL Wgt,     11739.25,     11819.35,     11873.55,     11576.25,     11627.60,-111.65
,NIFTY100 LowVol30,      8262.35,      8277.00,      8343.10,      8198.55,      8214.80,-47.55
,NIFTY Alpha 50,     12749.55,     12879.80,     12939.70,     12723.75,     12777.95,28.4
,NIFTY MIDCAP 150,      5409.85,      5452.55,      5473.20,      5364.35,      5384.15,-25.7
,NIFTY SMLCAP 50,      2110.40,      2122.20,      2126.10,      2062.20,      2074.45,-35.95
,NIFTY SMLCAP 250,      3931.30,      3966.80,      3971.80,      3870.25,      3888.85,-42.45
,NIFTY MIDSML 400,      4877.75,      4917.85,      4928.15,      4826.95,      4845.85,-31.9
,NIFTY200 QUALTY30,      9201.45,      9217.85,      9306.85,      9138.25,      9156.95,-44.5
,Nifty IT,     14894.60,     14869.40,     14983.20,     14712.30,     14737.80,-156.8
,Nifty Next 50,     25329.45,     25489.00,     25666.15,     25046.05,     25162.65,-166.8
,Nifty Bank,     21187.35,     21295.50,     21568.85,     20629.70,     20724.90,-462.45
,NIFTY MIDCAP 100,     14222.65,     14333.45,     14424.50,     14103.10,     14168.65,-54
,Nifty 500,      8323.95,      8350.30,      8422.15,      8213.60,      8238.10,-85.85
,Nifty 100,     10346.70,     10367.75,     10472.80,     10202.70,     10231.25,-115.45
,Nifty Midcap 50,      3955.60,      3984.15,      4024.30,      3917.95,      3940.60,-15
,Nifty Realty,       202.65,       203.80,       207.45,       201.85,       202.65,0
,Nifty Infra,      3002.60,      3008.85,      3020.30,      2950.95,      2959.55,-43.05
,Nifty Energy,     14140.55,     14179.00,     14239.75,     13845.00,     13894.90,-245.65
,Nifty FMCG,     29502.15,     29507.25,     30117.65,     29455.05,     29524.90,22.75
,Nifty MNC,     13036.75,     13070.85,     13107.80,     12862.95,     12898.80,-137.95
,Nifty Pharma,      9939.10,      9950.50,     10227.90,      9948.75,     10122.05,182.95
,Nifty PSE,      2571.15,      2597.45,      2600.40,      2523.50,      2535.30,-35.85
,Nifty PSU Bank,      1370.60,      1377.85,      1400.45,      1339.60,      1347.90,-22.7
,Nifty Serv Sector,     13527.05,     13556.20,     13705.55,     13286.35,     13324.10,-202.95
,India VIX,29.6475,29.6475,30.3400,27.2400,30.2050,0.5575
,Nifty Auto,      6610.55,      6648.95,      6665.75,      6525.25,      6577.70,-32.85
,Nifty Metal,      2044.85,      2060.45,      2076.55,      2013.85,      2022.50,-22.35
,Nifty Media,      1365.80,      1365.45,      1371.50,      1311.90,      1320.85,-44.95
,NIFTY SMLCAP 100,      4477.70,      4514.50,      4518.80,      4391.00,      4414.15,-63.55
,Nifty 200,      5267.90,      5281.80,      5332.85,      5197.65,      5213.20,-54.7
,Nifty Div Opps 50,      2241.95,      2249.30,      2266.75,      2225.85,      2231.25,-10.7
,Nifty Commodities,      2881.45,      2900.30,      2904.95,      2836.00,      2844.70,-36.75
,Nifty Consumption,      4753.70,      4758.65,      4817.55,      4709.15,      4721.40,-32.3
,Nifty Fin Service,     10360.20,     10404.75,     10528.45,     10126.40,     10163.35,-196.85
,Nifty50 Div Point,        11.71,        11.71,        11.71,        11.71,        11.71,0
,Nifty100 Liq 15,      2606.85,      2619.95,      2646.50,      2556.30,      2569.70,-37.15
,Nifty CPSE,      1502.35,      1515.80,      1517.45,      1482.65,      1487.10,-15.25
,Nifty GrowSect 15,      5087.65,      5100.30,      5188.55,      5040.35,      5055.80,-31.85
,Nifty50 PR 2x Lev,      3317.85,      3326.50,      3398.25,      3223.05,      3238.75,-79.1
,Nifty50 PR 1x Inv,       431.15,       430.60,       437.35,       425.95,       436.30,5.15
,Nifty50 TR 2x Lev,      4353.60,      4364.95,      4459.10,      4229.25,      4249.80,-103.8
,Nifty50 TR 1x Inv,       376.60,       376.15,       382.00,       372.05,       381.15,4.55
,Nifty50 Value 20,      5034.80,      5037.15,      5084.95,      4993.05,      5003.25,-31.55
,Nifty Mid Liq 15,      3344.20,      3366.50,      3391.65,      3291.35,      3311.50,-32.7
,Nifty Pvt Bank,     11545.60,     11613.85,     11781.05,     11261.90,     11312.90,-232.7
,NIFTY100 Qualty30,      2417.90,      2424.45,      2447.50,      2400.85,      2406.55,-11.35
,Nifty GS 8 13Yr,      2174.65,      2175.03,      2178.76,      2175.03,      2178.52,3.87
,Nifty GS 10Yr,      1989.35,      1989.67,      1994.43,      1989.67,      1994.43,5.08
,Nifty GS 10Yr Cln,       978.48,       978.48,       980.83,       978.48,       980.83,2.35
,Nifty GS 4 8Yr,      2307.50,      2307.90,      2312.30,      2307.90,      2311.23,3.73
,Nifty GS 11 15Yr,      2347.92,      2348.35,      2351.94,      2348.35,      2350.68,2.76
,Nifty GS 15YrPlus,      2558.25,      2558.71,      2563.31,      2558.71,      2562.87,4.62
,Nifty GS Compsite,      2213.78,      2214.17,      2217.63,      2214.17,      2217.27,3.49

,ADVANCES,773
,DECLINES,1135
,UNCHANGED,77

,Total securities that have hit their price bands today,523

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,HDFCBANK,EQ,      1015.90,       987.30,-2.82,3106.21
,BAJFINANCE,EQ,      2507.25,      2443.60,-2.54,3070.66
,AXISBANK,EQ,       430.25,       420.05,-2.37,1994.57
,INDUSINDBK,EQ,       451.60,       463.90,2.72,1898.67
,RELIANCE,EQ,      1569.50,      1537.15,-2.06,1856.83
,SBIN,EQ,       186.80,       184.45,-1.26,1808.89
,TITAN,EQ,      1025.00,       997.10,-2.72,1757.59
,ICICIBANK,EQ,       359.80,       348.55,-3.13,1709.1
,IDEA,EQ,        12.00,        10.05,-16.25,1623.41
,HDFC,EQ,      1760.80,      1772.10,0.64,1616.36
,RBLBANK,EQ,       132.50,       140.55,6.08,1361.68
,SUNPHARMA,EQ,       489.00,       500.75,2.4,1308.4
,DRREDDY,EQ,      3967.60,      4123.80,3.94,933.94
,TATAMOTORS,EQ,       115.45,       111.45,-3.46,905.99
,PVR,EQ,      1161.15,      1087.45,-6.35,866.5
,BHARTIARTL,EQ,       585.15,       567.80,-2.97,866.02
,ITC,EQ,       197.65,       198.50,0.43,806.84
,MARUTI,EQ,      5734.80,      5662.30,-1.26,761.36
,KOTAKBANK,EQ,      1336.75,      1304.15,-2.44,730.92
,INFY,EQ,       720.85,       717.60,-0.45,727.31
,BANDHANBNK,EQ,       263.25,       259.85,-1.29,677.29
,IBULHSGFIN,EQ,       149.00,       144.50,-3.02,668.39
,AUROPHARMA,EQ,       750.85,       774.95,3.21,667.52
,HINDUNILVR,EQ,      2111.70,      2106.50,-0.25,664.45
,BAJAJFINSV,EQ,      5440.95,      5310.80,-2.39,625.91

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,DRREDDY,EQ,      4123.80,      3967.60,3.94
,INDUSINDBK,EQ,       463.90,       451.60,2.72
,SUNPHARMA,EQ,       500.75,       489.00,2.4
,M&M,EQ,       478.75,       470.85,1.68
,INFRATEL,EQ,       233.00,       230.20,1.22

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,WIPRO,EQ,       218.35,       226.45,-3.58
,GAIL,EQ,       101.10,       104.75,-3.48
,TATAMOTORS,EQ,       111.45,       115.45,-3.46
,BPCL,EQ,       381.50,       394.10,-3.2
,ICICIBANK,EQ,       348.55,       359.80,-3.13

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        29.40,                  3299842.80,111274
,21STCENMGM,EQ,        11.10,                     1417.60,128
,3IINFOTECH,EQ,         2.30,                 12422039.80,5411275
,3MINDIA,EQ,     18166.80,                 57207712.55,3131
,3PLAND,EQ,         5.35,                     5350.00,1000
,509GS2022,GS,        99.00,                      201.70,2
,5PAISA,EQ,       173.65,                  5014312.30,29631
,63MOONS,EQ,        73.35,                  4885990.20,66612
,706GS2046,GS,       102.63,                     5131.50,50
,716GS2050,GS,       108.80,                    21760.00,200
,719GS2060,GS,       115.88,                     5794.00,50
,732GS2024,GS,       101.43,                    19981.71,197
,74GS2035,GS,       100.00,                    10000.00,100
,762GS2039,GS,       117.95,                     6015.45,51
,A2ZINFRA,EQ,         4.60,                  2119114.00,447971
,AAKASH,SM,        14.65,                   966900.00,66000
,AARON,SM,        42.75,                   141075.00,3300
,AARTIDRUGS,EQ,       984.25,                 79211812.15,79781
,AARTIIND,EQ,       930.20,                332478408.05,357569
,AARVEEDEN,EQ,        12.05,                   192251.70,15864
,AAVAS,EQ,      1403.40,                170501088.75,122441
,ABAN,EQ,        24.15,                  4564695.30,184604
,ABB,EQ,       852.80,                198219683.15,232007
,ABBOTINDIA,EQ,     16314.55,                512871570.90,31499
,ABCAPITAL,EQ,        53.80,                203378917.75,3694050
,ABFRL,EQ,       132.30,                214115705.40,1576202
,ABMINTLTD,BE,        13.00,                       65.00,5
,ABSLBANETF,EQ,       205.01,                    34549.79,169
,ABSLNN50ET,EQ,       267.68,                    77831.85,304
,ACCELYA,EQ,       945.25,                 23105269.35,24427
,ACCURACY,SM,        23.20,                   111040.00,4800
,ACE,EQ,        49.00,                 11391959.60,226886
,ADANIENT,EQ,       151.90,                462154810.25,3005662
,ADANIGAS,EQ,       133.00,                229659642.95,1709937
,ADANIGREEN,EQ,       312.60,                443990570.25,1422436
,ADANIPOWER,EQ,        38.35,                345918436.20,8948783
,ADFFOODS,EQ,       286.85,                 12570619.90,42616
,ADHUNIKIND,EQ,        19.35,                  1618775.35,80812
,ADORWELD,EQ,       254.05,                  3585383.45,14119
,ADROITINFO,EQ,         5.90,                   428646.85,71891
,ADSL,EQ,        17.55,                   986063.05,56280
,ADVANIHOTR,EQ,        53.30,                  2275232.80,43893
,ADVENZYMES,EQ,       175.30,                379549429.05,2142342
,AEGISCHEM,EQ,       189.05,                 34529422.15,179660
,AFFLE,EQ,      1515.95,                238660579.95,155274
,AGARIND,EQ,        80.10,                 24717916.20,311071
,AGCNET,EQ,       339.40,                  8653103.10,24785
,AGRITECH,BE,        37.40,                   411159.15,10850
,AGROPHOS,EQ,        13.55,                   579897.35,42910
,AHLADA,SM,        44.05,                   261900.00,6000
,AHLEAST,EQ,       147.60,                   716729.50,4904
,AHLUCONT,EQ,       196.00,                 10285710.50,48847
,AHLWEST,EQ,       263.95,                   137664.15,524
,AIAENG,EQ,      1634.60,                 26272254.10,16084
,AIONJSW,EQ,        14.95,                  1012297.05,67965
,AIRAN,EQ,        16.20,                  3810272.40,235202
,AISL,SM,        18.30,                    21960.00,1200
,AJANTPHARM,EQ,      1491.95,                469843559.15,311282
,AJMERA,EQ,        87.45,                  5757889.55,63551
,AJOONI,SM,         7.25,                    58200.00,8000
,AKASH,BE,        86.45,                    25990.00,300
