,16-Jun-2020
The Nifty witnessed an intraday movement of about 317.65 points.The closing index was 1.02 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 60304.48
, Traded Quantity (in Lakhs), 36086.86
, Number of Trades, 19008262
, Total Market Capitalisation (Rs. Crores), 13111951.08

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,      9813.70,     10014.80,     10046.15,      9728.50,      9914.00,100.3
,NIFTY50 EQL Wgt,     10292.85,     10487.90,     10501.95,     10169.80,     10304.70,11.85
,NIFTY100 EQL Wgt,     11389.50,     11577.20,     11600.80,     11231.25,     11393.70,4.2
,NIFTY100 LowVol30,      8043.80,      8155.25,      8177.10,      7986.90,      8053.90,10.1
,NIFTY Alpha 50,     12852.65,     13104.90,     13150.75,     12764.60,     13006.80,154.15
,NIFTY MIDCAP 150,      5369.45,      5458.35,      5467.20,      5320.50,      5399.55,30.1
,NIFTY SMLCAP 50,      2071.80,      2111.55,      2117.50,      2029.95,      2065.30,-6.5
,NIFTY SMLCAP 250,      3884.65,      3949.15,      3957.80,      3821.50,      3881.70,-2.95
,NIFTY MIDSML 400,      4834.95,      4915.05,      4923.10,      4780.85,      4852.95,18
,NIFTY200 QUALTY30,      8907.20,      9032.20,      9048.60,      8855.90,      8927.10,19.9
,Nifty IT,     14396.70,     14634.00,     14667.40,     14375.50,     14450.80,54.1
,Nifty Next 50,     24793.30,     25119.60,     25184.25,     24543.75,     24863.45,70.15
,Nifty Bank,     19912.90,     20500.65,     20638.85,     19507.05,     20296.70,383.8
,NIFTY MIDCAP 100,     14168.55,     14398.70,     14437.85,     14006.40,     14230.60,62.05
,Nifty 500,      8086.45,      8239.40,      8260.20,      8015.15,      8152.30,65.85
,Nifty 100,     10005.80,     10200.45,     10230.60,      9917.40,     10097.35,91.55
,Nifty Midcap 50,      3952.90,      4024.55,      4035.50,      3903.55,      3975.50,22.6
,Nifty Realty,       198.50,       201.70,       204.00,       194.00,       196.85,-1.65
,Nifty Infra,      2925.95,      2977.25,      2980.05,      2885.00,      2918.70,-7.25
,Nifty Energy,     13815.45,     14062.35,     14080.65,     13597.50,     13780.55,-34.9
,Nifty FMCG,     28701.80,     29081.20,     29103.30,     28349.00,     28575.35,-126.45
,Nifty MNC,     12697.65,     12876.85,     12885.50,     12547.65,     12663.35,-34.3
,Nifty Pharma,      9989.05,     10063.25,     10092.35,      9800.05,      9926.40,-62.65
,Nifty PSE,      2417.25,      2459.65,      2464.15,      2385.65,      2409.65,-7.6
,Nifty PSU Bank,      1371.50,      1406.80,      1416.50,      1325.10,      1358.60,-12.9
,Nifty Serv Sector,     12891.70,     13188.95,     13264.40,     12819.35,     13129.30,237.6
,India VIX,32.5775,32.5775,35.3125,30.4075,32.9650,0.3875
,Nifty Auto,      6443.00,      6561.20,      6582.65,      6355.75,      6451.05,8.05
,Nifty Metal,      1928.55,      1976.85,      2001.05,      1918.05,      1955.90,27.35
,Nifty Media,      1298.80,      1341.40,      1352.15,      1292.65,      1314.95,16.15
,NIFTY SMLCAP 100,      4409.60,      4486.95,      4495.35,      4322.20,      4404.75,-4.85
,Nifty 200,      5110.35,      5208.05,      5222.60,      5064.20,      5154.50,44.15
,Nifty Div Opps 50,      2158.30,      2195.10,      2198.35,      2140.90,      2158.85,.55
,Nifty Commodities,      2780.20,      2832.20,      2845.30,      2759.30,      2797.20,17
,Nifty Consumption,      4605.25,      4674.45,      4677.85,      4553.70,      4601.20,-4.05
,Nifty Fin Service,      9817.90,     10071.40,     10160.45,      9741.80,     10089.95,272.05
,Nifty50 Div Point,        12.23,        12.23,        12.23,        12.23,        12.23,0
,Nifty100 Liq 15,      2470.25,      2529.50,      2531.55,      2403.05,      2456.80,-13.45
,Nifty CPSE,      1407.70,      1432.35,      1434.05,      1391.10,      1404.75,-2.95
,Nifty GrowSect 15,      4900.85,      5002.20,      5027.00,      4856.60,      4966.15,65.3
,Nifty50 PR 2x Lev,      3086.15,      3212.35,      3231.70,      3032.60,      3148.95,62.8
,Nifty50 PR 1x Inv,       446.55,       437.40,       450.40,       436.00,       442.00,-4.55
,Nifty50 TR 2x Lev,      4050.00,      4215.65,      4241.00,      3979.75,      4132.45,82.45
,Nifty50 TR 1x Inv,       390.05,       382.10,       393.45,       380.85,       386.10,-3.95
,Nifty50 Value 20,      4819.80,      4904.35,      4911.60,      4791.05,      4825.80,6
,Nifty Mid Liq 15,      3321.00,      3382.45,      3392.85,      3282.80,      3340.30,19.3
,Nifty Pvt Bank,     10946.30,     11279.00,     11358.20,     10702.20,     11155.00,208.7
,NIFTY100 Qualty30,      2338.20,      2375.45,      2379.40,      2322.65,      2347.00,8.8
,Nifty GS 8 13Yr,      2178.93,      2179.31,      2179.67,      2170.73,      2172.00,-6.93
,Nifty GS 10Yr,      1993.77,      1994.08,      1994.08,      1984.76,      1986.15,-7.62
,Nifty GS 10Yr Cln,       979.56,       979.56,       979.56,       974.95,       975.64,-3.92
,Nifty GS 4 8Yr,      2314.21,      2314.62,      2315.23,      2308.01,      2309.58,-4.63
,Nifty GS 11 15Yr,      2347.69,      2348.11,      2348.11,      2338.33,      2339.53,-8.16
,Nifty GS 15YrPlus,      2569.60,      2570.07,      2572.61,      2568.51,      2568.51,-1.09
,Nifty GS Compsite,      2219.64,      2220.03,      2220.27,      2212.25,      2213.76,-5.88

,ADVANCES,847
,DECLINES,1036
,UNCHANGED,65

,Total securities that have hit their price bands today,471

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,RELIANCE,EQ,      1614.55,      1617.70,0.2,3820.3
,AXISBANK,EQ,       389.60,       381.55,-2.07,3654.07
,BAJFINANCE,EQ,      2351.40,      2365.00,0.58,3069.61
,INDUSINDBK,EQ,       490.55,       481.80,-1.78,2448.03
,HDFCBANK,EQ,       949.85,       990.40,4.27,2221.34
,TATAMOTORS,EQ,       100.50,        94.75,-5.72,2084.34
,ICICIBANK,EQ,       331.10,       342.95,3.58,1955.92
,HDFC,EQ,      1751.65,      1821.90,4.01,1349.46
,SBIN,EQ,       173.70,       172.90,-0.46,1113.37
,BHARTIARTL,EQ,       550.70,       544.90,-1.05,1046.16
,IDEA,EQ,        10.15,         9.75,-3.94,791.46
,RBLBANK,EQ,       161.35,       161.35,0,734.96
,TATASTEEL,EQ,       306.20,       308.95,0.9,733.88
,INFY,EQ,       687.55,       701.20,1.99,714.42
,KOTAKBANK,EQ,      1248.90,      1276.80,2.23,669.89
,MARUTI,EQ,      5475.75,      5502.20,0.48,653.63
,SRTRANSFIN,EQ,       672.80,       655.45,-2.58,641.79
,BAJAJFINSV,EQ,      5103.60,      5128.30,0.48,599.46
,EICHERMOT,EQ,     16481.95,     16709.05,1.38,598.02
,HINDUNILVR,EQ,      2084.30,      2076.35,-0.38,586.48
,SUNPHARMA,EQ,       485.80,       483.40,-0.49,546.79
,HEROMOTOCO,EQ,      2348.15,      2395.95,2.04,516.04
,ITC,EQ,       187.20,       185.00,-1.18,513.82
,JSWSTEEL,EQ,       183.75,       190.05,3.43,450.02
,LICHSGFIN,EQ,       270.40,       283.90,4.99,442.04

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,HDFCBANK,EQ,       990.40,       949.85,4.27
,HDFC,EQ,      1821.90,      1751.65,4.01
,ICICIBANK,EQ,       342.95,       331.10,3.58
,JSWSTEEL,EQ,       190.05,       183.75,3.43
,HINDALCO,EQ,       150.10,       145.80,2.95

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,TATAMOTORS,EQ,        94.75,       100.50,-5.72
,INFRATEL,EQ,       216.00,       222.90,-3.1
,TECHM,EQ,       533.30,       548.80,-2.82
,GAIL,EQ,        97.50,        99.65,-2.16
,AXISBANK,EQ,       381.55,       389.60,-2.07

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        31.55,                 22935611.90,694243
,21STCENMGM,EQ,        10.30,                    29767.80,2850
,3IINFOTECH,EQ,         2.45,                  9738886.55,3990740
,3MINDIA,EQ,     18479.60,                417489253.60,22640
,509GS2022,GS,        99.00,                       99.00,1
,5PAISA,EQ,       161.05,                  1033477.75,6317
,63MOONS,EQ,        84.80,                 41820980.60,462071
,719GS2060,GS,       106.00,                     5300.00,50
,772GS2049,GS,       119.49,                    19786.75,175
,772GS2055,GS,       106.05,                     5302.50,50
,795GS2032,GS,       111.90,                     3357.00,30
,A2ZINFRA,EQ,         4.40,                  1393720.40,311663
,AAKASH,SM,        16.40,                    49200.00,3000
,AARON,SM,        42.70,                   140910.00,3300
,AARTIDRUGS,EQ,      1003.30,                571528445.50,591833
,AARTIIND,EQ,       924.25,               2277637804.40,2498393
,AARVEEDEN,EQ,        12.00,                   458049.05,39069
,AAVAS,EQ,      1275.75,                 92841186.60,71621
,ABAN,EQ,        22.60,                  1772774.05,77425
,ABB,EQ,       794.95,                 86511275.75,107848
,ABBOTINDIA,EQ,     16010.50,                139322066.05,8680
,ABCAPITAL,EQ,        53.00,                290280140.10,5321432
,ABFRL,EQ,       134.40,                351031541.00,2569970
,ABMINTLTD,BE,        12.40,                      297.60,24
,ABSLBANETF,EQ,       199.55,                    60101.77,300
,ABSLNN50ET,EQ,       260.00,                     5219.90,20
,ABSLRIF6RG,MF,         5.97,                    17910.00,3000
,ACCELYA,EQ,       950.00,                  5035293.75,5310
,ACCURACY,SM,        26.25,                   164720.00,6400
,ACE,EQ,        52.20,                 31290134.00,579463
,ADANIENT,EQ,       146.20,                392433335.80,2640412
,ADANIGAS,EQ,       136.60,                604194474.75,4372970
,ADANIGREEN,EQ,       363.45,               1177804124.65,3265090
,ADANIPOWER,EQ,        36.60,                492149750.45,13320251
,ADFFOODS,EQ,       283.60,                  7880272.50,27451
,ADHUNIKIND,EQ,        19.40,                   477654.00,24722
,ADORWELD,EQ,       246.00,                  2214565.85,8765
,ADROITINFO,EQ,         7.70,                   342526.85,46356
,ADSL,EQ,        17.60,                  2207932.65,122408
,ADVANIHOTR,EQ,        45.65,                   841097.20,18353
,ADVENZYMES,EQ,       166.15,                 20674536.25,124465
,AEGISCHEM,EQ,       178.95,                 39855875.50,225579
,AFFLE,EQ,      1479.85,                 59635404.15,40034
,AGARIND,EQ,        69.60,                  2655683.55,37064
,AGCNET,EQ,       305.00,                  1554251.40,5075
,AGRITECH,BE,        37.00,                   316060.45,8671
,AGROPHOS,EQ,        14.85,                  1895788.55,122419
,AHLADA,SM,        44.00,                    44000.00,1000
,AHLEAST,EQ,       139.85,                   258299.20,1816
,AHLUCONT,EQ,       184.95,                  2369280.25,12692
,AHLWEST,EQ,       251.80,                    40162.10,159
,AIAENG,EQ,      1588.35,                 73881511.10,46391
,AIONJSW,EQ,        14.55,                  2465580.75,165276
,AIRAN,EQ,        15.35,                  5239037.05,325515
,AIROLAM,SM,        18.50,                   215250.00,12000
,AJANTPHARM,EQ,      1476.60,                402490503.85,276396
,AJMERA,EQ,        82.35,                  2440411.75,29343
,AJOONI,SM,         7.60,                    60800.00,8000
,AKASH,BE,        93.00,                     9300.00,100
