,24-Jun-2020
The Nifty witnessed an intraday movement of about 271.2 points.The closing index was 1.58 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 74470.37
, Traded Quantity (in Lakhs), 42174.45
, Number of Trades, 22871670
, Total Market Capitalisation (Rs. Crores), 13694498.79

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     10471.00,     10529.25,     10553.15,     10281.95,     10305.30,-165.7
,NIFTY50 EQL Wgt,     10909.85,     10987.80,     11019.55,     10699.60,     10725.40,-184.45
,NIFTY100 EQL Wgt,     12096.60,     12200.10,     12242.60,     11881.95,     11917.10,-179.5
,NIFTY100 LowVol30,      8384.40,      8425.55,      8476.35,      8286.05,      8298.65,-85.75
,NIFTY Alpha 50,     14213.45,     14431.50,     14435.40,     13877.40,     13910.35,-303.1
,NIFTY MIDCAP 150,      5730.25,      5780.35,      5786.50,      5652.80,      5667.95,-62.3
,NIFTY SMLCAP 50,      2222.50,      2241.65,      2257.35,      2182.45,      2186.55,-35.95
,NIFTY SMLCAP 250,      4169.05,      4217.15,      4227.40,      4105.80,      4110.30,-58.75
,NIFTY MIDSML 400,      5168.40,      5217.85,      5224.70,      5097.60,      5107.30,-61.1
,NIFTY200 QUALTY30,      9259.60,      9303.50,      9411.20,      9233.35,      9253.65,-5.95
,Nifty IT,     14680.40,     14675.70,     14761.20,     14547.20,     14581.45,-98.95
,Nifty Next 50,     26188.85,     26420.80,     26557.00,     25824.30,     25911.95,-276.9
,Nifty Bank,     22264.90,     22479.35,     22479.55,     21336.35,     21426.80,-838.1
,NIFTY MIDCAP 100,     15022.45,     15145.15,     15220.05,     14770.95,     14809.95,-212.5
,Nifty 500,      8621.10,      8678.70,      8699.55,      8476.85,      8496.25,-124.85
,Nifty 100,     10660.80,     10724.95,     10753.60,     10474.55,     10499.90,-160.9
,Nifty Midcap 50,      4209.50,      4237.10,      4273.75,      4118.85,      4132.10,-77.4
,Nifty Realty,       221.25,       222.95,       223.65,       214.05,       215.40,-5.85
,Nifty Infra,      3105.50,      3126.35,      3129.00,      3051.05,      3059.25,-46.25
,Nifty Energy,     14837.55,     14942.60,     14957.20,     14571.15,     14603.65,-233.9
,Nifty FMCG,     29355.20,     29568.20,     29942.70,     29433.60,     29487.40,132.2
,Nifty MNC,     13156.40,     13242.80,     13300.05,     13031.65,     13065.10,-91.3
,Nifty Pharma,     10360.80,     10393.35,     10404.35,     10088.60,     10110.50,-250.3
,Nifty PSE,      2614.70,      2632.75,      2639.55,      2544.45,      2550.20,-64.5
,Nifty PSU Bank,      1523.90,      1569.35,      1573.10,      1487.10,      1496.80,-27.1
,Nifty Serv Sector,     13964.35,     14022.15,     14064.15,     13568.60,     13603.05,-361.3
,India VIX,29.3400,29.3400,30.5300,27.7900,29.5775,0.2375
,Nifty Auto,      6789.20,      6854.25,      6935.75,      6727.40,      6742.80,-46.4
,Nifty Metal,      2085.80,      2114.50,      2123.60,      2034.55,      2042.35,-43.45
,Nifty Media,      1449.20,      1472.15,      1485.30,      1402.45,      1406.65,-42.55
,NIFTY SMLCAP 100,      4756.30,      4807.35,      4823.95,      4663.95,      4670.55,-85.75
,Nifty 200,      5442.05,      5476.05,      5491.80,      5347.45,      5360.50,-81.55
,Nifty Div Opps 50,      2266.40,      2278.15,      2299.40,      2243.85,      2248.10,-18.3
,Nifty Commodities,      2962.30,      2986.65,      2993.45,      2891.25,      2902.05,-60.25
,Nifty Consumption,      4774.45,      4808.30,      4862.40,      4754.90,      4764.05,-10.4
,Nifty Fin Service,     10881.40,     10949.20,     10971.20,     10525.85,     10556.70,-324.7
,Nifty50 Div Point,        14.63,        14.63,        14.63,        14.63,        14.63,0
,Nifty100 Liq 15,      2706.65,      2736.15,      2736.15,      2605.80,      2614.85,-91.8
,Nifty CPSE,      1519.85,      1531.70,      1535.85,      1474.65,      1479.60,-40.25
,Nifty GrowSect 15,      5244.30,      5278.05,      5313.05,      5154.00,      5167.35,-76.95
,Nifty50 PR 2x Lev,      3507.35,      3546.10,      3561.85,      3380.60,      3396.05,-111.3
,Nifty50 PR 1x Inv,       418.35,       416.05,       425.90,       415.10,       425.00,6.65
,Nifty50 TR 2x Lev,      4604.90,      4655.80,      4676.45,      4438.50,      4458.80,-146.1
,Nifty50 TR 1x Inv,       365.35,       363.35,       371.95,       362.50,       371.15,5.8
,Nifty50 Value 20,      4986.90,      5008.10,      5040.85,      4943.05,      4951.35,-35.55
,Nifty Mid Liq 15,      3500.45,      3520.90,      3546.00,      3426.15,      3438.40,-62.05
,Nifty Pvt Bank,     12230.05,     12344.95,     12346.20,     11682.65,     11739.45,-490.6
,NIFTY100 Qualty30,      2461.30,      2476.35,      2499.50,      2451.10,      2456.95,-4.35
,Nifty GS 8 13Yr,      2176.10,      2176.49,      2179.00,      2174.76,      2175.22,-.88
,Nifty GS 10Yr,      1980.06,      1980.37,      1983.35,      1978.24,      1978.24,-1.82
,Nifty GS 10Yr Cln,       971.52,       971.52,       972.99,       970.47,       970.47,-1.05
,Nifty GS 4 8Yr,      2316.11,      2316.52,      2318.10,      2314.97,      2315.36,-.75
,Nifty GS 11 15Yr,      2344.85,      2345.28,      2346.33,      2342.83,      2343.23,-1.62
,Nifty GS 15YrPlus,      2569.27,      2569.74,      2569.74,      2568.90,      2569.11,-.16
,Nifty GS Compsite,      2218.75,      2219.15,      2221.22,      2217.53,      2217.88,-.87

,ADVANCES,775
,DECLINES,1121
,UNCHANGED,73

,Total securities that have hit their price bands today,501

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,BAJFINANCE,EQ,      3025.50,      2934.45,-3.01,6055.5
,RELIANCE,EQ,      1720.90,      1727.85,0.4,4141.85
,INDUSINDBK,EQ,       520.40,       481.70,-7.44,2167.19
,ICICIBANK,EQ,       376.15,       348.10,-7.46,2097.5
,HDFCBANK,EQ,      1042.30,      1032.50,-0.94,2057.97
,ASIANPAINT,EQ,      1683.90,      1747.25,3.76,2041.4
,RBLBANK,EQ,       187.00,       185.75,-0.67,1731.25
,AXISBANK,EQ,       443.65,       424.65,-4.28,1461.17
,SBIN,EQ,       192.45,       184.60,-4.08,1417.79
,TATAMOTORS,EQ,       104.40,       104.80,0.38,1354.46
,BANDHANBNK,EQ,       350.85,       331.35,-5.56,1352.81
,HDFC,EQ,      1838.10,      1797.75,-2.2,1290.85
,BAJAJFINSV,EQ,      6319.65,      6046.05,-4.33,1173.15
,LT,EQ,       967.60,       955.55,-1.25,1162.43
,GLENMARK,EQ,       485.00,       459.20,-5.32,1143.06
,IBULHSGFIN,EQ,       240.30,       208.10,-13.4,1124.59
,ITC,EQ,       185.85,       191.85,3.23,1051.35
,HEROMOTOCO,EQ,      2418.85,      2493.80,3.1,842.39
,BHEL,EQ,        34.90,        36.35,4.15,810.04
,MARUTI,EQ,      5886.50,      5755.35,-2.23,739.34
,INFY,EQ,       720.65,       714.15,-0.9,733.33
,KOTAKBANK,EQ,      1389.90,      1343.90,-3.31,732.46
,BANKBARODA,EQ,        50.50,        51.60,2.18,718.47
,BHARTIARTL,EQ,       578.80,       557.35,-3.71,702.3
,TATASTEEL,EQ,       332.00,       326.05,-1.79,690.56

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,ASIANPAINT,EQ,      1747.25,      1683.90,3.76
,ITC,EQ,       191.85,       185.85,3.23
,HEROMOTOCO,EQ,      2493.80,      2418.85,3.1
,EICHERMOT,EQ,     18436.85,     17891.15,3.05
,GAIL,EQ,       101.40,        99.25,2.17

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,ICICIBANK,EQ,       348.10,       376.15,-7.46
,INDUSINDBK,EQ,       481.70,       520.40,-7.44
,POWERGRID,EQ,       178.50,       187.45,-4.77
,HINDALCO,EQ,       151.40,       158.35,-4.39
,CIPLA,EQ,       631.20,       659.80,-4.33

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        32.25,                  4616820.40,139523
,21STCENMGM,EQ,        11.05,                    85557.30,7700
,3IINFOTECH,EQ,         2.50,                 15463785.60,6077281
,3MINDIA,EQ,     18433.35,                118464288.75,6440
,3PLAND,EQ,         6.40,                     6912.00,1080
,509GS2022,GS,       102.96,                      813.58,8
,5PAISA,EQ,       219.40,                 25590228.00,117441
,63MOONS,BE,        77.90,                  2032253.25,25658
,645GS2029,GS,       102.00,                    10200.00,100
,716GS2050,GS,       112.00,                   122176.25,1105
,719GS2060,GS,       113.82,                    31416.16,288
,757GS2033,GS,       115.50,                    69531.00,602
,772GS2049,GS,       118.94,                    29747.00,250
,A2ZINFRA,EQ,         5.50,                   552326.50,100423
,AARON,SM,        43.00,                   141900.00,3300
,AARTIDRUGS,EQ,      1175.95,                129730386.30,109239
,AARTIIND,EQ,       941.45,               1004390501.45,1065657
,AARVEEDEN,BE,        12.55,                   182309.70,14590
,AARVI,EQ,        24.70,                       24.70,1
,AAVAS,EQ,      1277.65,                 31907498.45,24244
,ABAN,EQ,        25.60,                  4565985.80,176426
,ABB,EQ,       867.85,                493770532.05,569892
,ABBOTINDIA,EQ,     15687.00,                203581245.05,12949
,ABCAPITAL,EQ,        63.00,                635045472.35,9974674
,ABFRL,EQ,       130.25,                475244462.40,3534906
,ABMINTLTD,BE,        12.40,                      682.00,55
,ABSLBANETF,EQ,       218.11,                   214666.01,998
,ABSLNN50ET,EQ,       258.83,                    11754.31,45
,ABSLRIF6RG,MF,         5.61,                    21725.00,3800
,ACCELYA,EQ,       924.70,                 10770759.95,11530
,ACCURACY,SM,        32.10,                   102720.00,3200
,ACE,EQ,        54.85,                 18557665.60,329250
,ADANIENT,EQ,       154.80,                646824723.45,4078243
,ADANIGAS,EQ,       161.10,               1196273735.25,7669866
,ADANIGREEN,EQ,       440.45,               2008771576.10,4430431
,ADANIPOWER,EQ,        37.75,                790697596.35,20525135
,ADFFOODS,EQ,       303.70,                 28380942.70,92197
,ADHUNIKIND,EQ,        23.20,                  5348009.05,233742
,ADORWELD,EQ,       268.75,                111809507.05,392051
,ADROITINFO,EQ,         7.05,                   163881.00,22858
,ADSL,EQ,        16.85,                   657382.80,38575
,ADVANIHOTR,EQ,        44.85,                   369103.70,8018
,ADVENZYMES,EQ,       177.00,                199774364.60,1075264
,AEGISCHEM,EQ,       189.70,                 87609175.80,447002
,AFFLE,EQ,      1534.65,                167500261.85,110867
,AGARIND,EQ,        68.35,                  1219177.85,17544
,AGCNET,EQ,       301.15,                   715542.10,2356
,AGRITECH,BE,        36.00,                   251111.85,7042
,AGROPHOS,EQ,        14.75,                  2554672.75,166124
,AHLEAST,EQ,       139.80,                   265412.90,1906
,AHLUCONT,EQ,       199.15,                  4133347.60,20517
,AHLWEST,EQ,       260.05,                     7852.00,30
,AIAENG,EQ,      1619.90,                 68145622.20,42380
,AIONJSW,EQ,        14.75,                  2905424.30,195394
,AIRAN,BE,        13.70,                  1100035.55,80250
,AJANTPHARM,EQ,      1457.35,                 96385526.15,65987
,AJMERA,EQ,        91.70,                 38174731.25,403495
,AKASH,BE,        91.50,                   145359.95,1584
,AKSHARCHEM,EQ,       211.35,                  8284257.70,38554
,AKSHOPTFBR,BE,         6.90,                  1998515.10,281326
