,29-Jun-2020
The Nifty witnessed an intraday movement of about 114.35 points.The closing index was 0.68 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 49139.41
, Traded Quantity (in Lakhs), 32451.62
, Number of Trades, 16507207
, Total Market Capitalisation (Rs. Crores), 13844271.13

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     10383.00,     10311.95,     10337.95,     10223.60,     10312.40,-70.6
,NIFTY50 EQL Wgt,     10754.05,     10698.50,     10711.25,     10539.30,     10631.55,-122.5
,NIFTY100 EQL Wgt,     11963.20,     11915.35,     11932.90,     11750.85,     11826.15,-137.05
,NIFTY100 LowVol30,      8356.00,      8329.00,      8348.50,      8275.75,      8307.55,-48.45
,NIFTY Alpha 50,     13845.15,     13778.00,     13786.10,     13633.35,     13692.10,-153.05
,NIFTY MIDCAP 150,      5726.45,      5714.00,      5714.00,      5619.20,      5642.60,-83.85
,NIFTY SMLCAP 50,      2213.85,      2209.40,      2209.95,      2167.90,      2187.40,-26.45
,NIFTY SMLCAP 250,      4148.50,      4151.65,      4151.80,      4076.00,      4097.85,-50.65
,NIFTY MIDSML 400,      5158.55,      5151.90,      5151.90,      5064.25,      5086.80,-71.75
,NIFTY200 QUALTY30,      9310.30,      9294.10,      9306.90,      9206.45,      9229.60,-80.7
,Nifty IT,     14994.65,     14874.20,     14979.20,     14737.45,     14768.00,-226.65
,Nifty Next 50,     25974.50,     25932.75,     25991.60,     25631.80,     25759.50,-215
,Nifty Bank,     21592.05,     21291.55,     21440.05,     21026.45,     21359.00,-233.05
,NIFTY MIDCAP 100,     14975.25,     14957.25,     14957.25,     14683.15,     14735.20,-240.05
,Nifty 500,      8559.00,      8514.60,      8521.40,      8426.95,      8488.05,-70.95
,Nifty 100,     10570.95,     10506.70,     10520.95,     10414.50,     10496.85,-74.1
,Nifty Midcap 50,      4171.75,      4160.60,      4164.65,      4076.30,      4095.95,-75.8
,Nifty Realty,       211.20,       210.90,       212.25,       203.15,       203.70,-7.5
,Nifty Infra,      3078.50,      3064.55,      3068.15,      3019.90,      3042.65,-35.85
,Nifty Energy,     14832.65,     14775.45,     14833.45,     14536.85,     14588.50,-244.15
,Nifty FMCG,     29757.05,     30035.30,     30168.35,     29820.20,     29971.65,214.6
,Nifty MNC,     13158.20,     13136.95,     13158.40,     13041.20,     13123.75,-34.45
,Nifty Pharma,     10137.85,     10132.75,     10264.90,     10115.30,     10135.90,-1.95
,Nifty PSE,      2581.65,      2574.80,      2576.85,      2510.70,      2523.45,-58.2
,Nifty PSU Bank,      1503.20,      1495.05,      1495.40,      1448.80,      1453.45,-49.75
,Nifty Serv Sector,     13762.90,     13615.50,     13692.05,     13498.25,     13652.65,-110.25
,India VIX,28.7350,28.7350,30.4500,27.9800,28.9100,0.1750
,Nifty Auto,      6731.45,      6685.85,      6728.65,      6605.50,      6645.85,-85.6
,Nifty Metal,      2043.35,      2034.35,      2036.70,      1964.35,      1989.50,-53.85
,Nifty Media,      1402.10,      1379.90,      1386.10,      1342.15,      1367.10,-35
,NIFTY SMLCAP 100,      4708.35,      4700.10,      4700.25,      4612.15,      4643.15,-65.2
,Nifty 200,      5399.25,      5369.25,      5375.35,      5316.80,      5356.15,-43.1
,Nifty Div Opps 50,      2285.55,      2285.00,      2285.40,      2254.35,      2260.95,-24.6
,Nifty Commodities,      2918.70,      2906.50,      2907.10,      2845.10,      2865.75,-52.95
,Nifty Consumption,      4770.15,      4777.25,      4792.00,      4746.25,      4776.85,6.7
,Nifty Fin Service,     10588.45,     10463.45,     10576.90,     10352.40,     10533.20,-55.25
,Nifty50 Div Point,        14.63,        14.63,        14.63,        14.63,        14.63,0
,Nifty100 Liq 15,      2618.95,      2593.00,      2597.40,      2556.10,      2578.75,-40.2
,Nifty CPSE,      1482.45,      1477.55,      1478.35,      1443.85,      1451.45,-31
,Nifty GrowSect 15,      5196.55,      5176.50,      5216.50,      5129.85,      5199.15,2.6
,Nifty50 PR 2x Lev,      3446.80,      3398.90,      3415.65,      3340.45,      3399.20,-47.6
,Nifty50 PR 1x Inv,       421.80,       424.80,       428.35,       423.75,       424.75,2.95
,Nifty50 TR 2x Lev,      4525.40,      4462.50,      4484.55,      4385.75,      4462.90,-62.5
,Nifty50 TR 1x Inv,       368.35,       370.95,       374.10,       370.05,       370.95,2.6
,Nifty50 Value 20,      5055.30,      5055.40,      5057.30,      4996.60,      5009.35,-45.95
,Nifty Mid Liq 15,      3439.50,      3427.90,      3427.90,      3352.80,      3371.55,-67.95
,Nifty Pvt Bank,     11854.60,     11684.60,     11764.75,     11530.90,     11718.70,-135.9
,NIFTY100 Qualty30,      2472.15,      2464.60,      2467.85,      2443.40,      2456.10,-16.05
,Nifty GS 8 13Yr,      2178.71,      2179.09,      2182.86,      2179.09,      2180.02,1.31
,Nifty GS 10Yr,      1980.21,      1980.53,      1983.65,      1980.53,      1981.92,1.71
,Nifty GS 10Yr Cln,       970.81,       970.81,       972.36,       970.81,       971.50,.69
,Nifty GS 4 8Yr,      2322.07,      2322.47,      2328.98,      2322.47,      2327.02,4.95
,Nifty GS 11 15Yr,      2345.49,      2345.92,      2350.00,      2345.92,      2346.68,1.19
,Nifty GS 15YrPlus,      2571.22,      2571.68,      2577.74,      2571.68,      2577.23,6.01
,Nifty GS Compsite,      2222.96,      2223.36,      2227.83,      2223.36,      2225.48,2.52

,ADVANCES,713
,DECLINES,1210
,UNCHANGED,57

,Total securities that have hit their price bands today,550

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,BAJFINANCE,EQ,      2903.50,      2857.95,-1.57,3270.87
,HDFCBANK,EQ,      1056.45,      1076.05,1.86,2434.68
,RELIANCE,EQ,      1741.65,      1723.15,-1.06,2039.11
,ITC,EQ,       195.20,       197.25,1.05,1817.17
,AXISBANK,EQ,       424.85,       404.80,-4.72,1477.45
,IDEA,EQ,        10.40,        11.10,6.73,1075.27
,INDUSINDBK,EQ,       492.55,       480.00,-2.55,938.43
,ICICIBANK,EQ,       349.10,       343.10,-1.72,935.52
,SBIN,EQ,       184.60,       179.25,-2.9,917.36
,LAURUSLABS,EQ,       541.65,       517.50,-4.46,754.09
,PEL,EQ,      1343.10,      1387.00,3.27,748.18
,IBULHSGFIN,EQ,       227.65,       216.65,-4.83,736.5
,BHARTIARTL,EQ,       560.40,       567.10,1.2,725.58
,HINDUNILVR,EQ,      2154.20,      2182.95,1.33,718.57
,GLENMARK,EQ,       466.70,       467.80,0.24,706.18
,HDFC,EQ,      1769.35,      1741.15,-1.59,686.7
,INFY,EQ,       748.20,       731.75,-2.2,658.2
,TCS,EQ,      2118.85,      2101.65,-0.81,647.51
,MARUTI,EQ,      5754.90,      5678.70,-1.32,628.81
,BAJAJFINSV,EQ,      5946.30,      5890.20,-0.94,588.84
,RBLBANK,EQ,       190.65,       179.65,-5.77,583.62
,KOTAKBANK,EQ,      1340.10,      1355.65,1.16,509.26
,AVANTIFEED,EQ,       471.55,       523.30,10.97,466.25
,ASIANPAINT,EQ,      1686.75,      1691.95,0.31,465.05
,CIPLA,EQ,       634.90,       644.90,1.58,435.73

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,HDFCBANK,EQ,      1076.05,      1056.45,1.86
,BRITANNIA,EQ,      3519.25,      3456.40,1.82
,CIPLA,EQ,       644.90,       634.90,1.58
,HINDUNILVR,EQ,      2182.95,      2154.20,1.33
,M&M,EQ,       507.45,       501.40,1.21

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,COALINDIA,EQ,       134.85,       142.10,-5.1
,AXISBANK,EQ,       404.80,       424.85,-4.72
,HINDALCO,EQ,       145.85,       151.05,-3.44
,TECHM,EQ,       541.55,       560.85,-3.44
,SBIN,EQ,       179.25,       184.60,-2.9

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        34.45,                  8189818.45,241641
,21STCENMGM,EQ,        11.10,                    34516.00,3095
,3IINFOTECH,EQ,         2.60,                 15843405.40,6164239
,3MINDIA,EQ,     19113.85,                 89071572.00,4684
,3PLAND,EQ,         6.40,                     7808.10,1167
,509GS2022,GS,       102.00,                    20435.25,202
,5PAISA,EQ,       216.20,                 11455948.00,52100
,63MOONS,BE,        76.75,                   930151.85,12179
,757GS2033,GS,       116.00,                      812.00,7
,759GS2026,GS,       112.00,                    11088.00,99
,769GS2043,GS,       120.49,                      120.49,1
,772GS2049,GS,       119.00,                     5950.00,50
,A2ZINFRA,EQ,         5.70,                  5927170.25,1001685
,AARON,SM,        43.20,                   142560.00,3300
,AARTIDRUGS,EQ,      1269.60,                 78154460.10,61837
,AARTIIND,EQ,       924.55,                231448740.60,248375
,AARVEEDEN,BE,        12.25,                   169200.00,14180
,AARVI,EQ,        28.50,                     1453.50,51
,AAVAS,EQ,      1370.25,                165495685.05,121780
,ABAN,EQ,        30.30,                 14335515.90,483192
,ABB,EQ,       922.35,                203876246.15,224329
,ABCAPITAL,EQ,        65.75,                326519197.85,5135361
,ABFRL,EQ,       127.40,                256828176.95,2024638
,ABMINTLTD,BE,        13.00,                      169.00,13
,ABSLBANETF,EQ,       215.00,                    47407.97,219
,ABSLNN50ET,EQ,       257.10,                    26998.07,105
,ACCELYA,EQ,       920.85,                  8147891.55,8851
,ACCURACY,SM,        33.60,                  1457840.00,41600
,ACE,EQ,        54.75,                 14256340.25,258349
,ADANIENT,EQ,       159.75,                469027086.65,2937549
,ADANIGAS,EQ,       157.35,                416801605.50,2611285
,ADANIGREEN,EQ,       377.70,                 35674898.10,94453
,ADANIPOWER,EQ,        36.25,                159423207.65,4370886
,ADFFOODS,EQ,       288.80,                  4194476.35,14455
,ADHUNIKIND,EQ,        25.45,                  2146247.80,81149
,ADORWELD,EQ,       262.35,                  4265610.40,16174
,ADROITINFO,EQ,         7.55,                   259707.25,34644
,ADSL,EQ,        16.20,                  1403528.95,83387
,ADVANIHOTR,EQ,        44.50,                   468939.15,10406
,ADVENZYMES,EQ,       173.50,                 19395250.40,113314
,AEGISCHEM,EQ,       179.10,                 27223092.65,150933
,AFFLE,EQ,      1480.45,                 44675219.15,30270
,AGARIND,EQ,        70.20,                   978383.20,13904
,AGCNET,EQ,       282.15,                  2013178.70,7117
,AGRITECH,BE,        35.50,                   122711.10,3460
,AGROPHOS,EQ,        16.10,                  3716106.25,230495
,AHLEAST,EQ,       137.55,                     8928.40,65
,AHLUCONT,EQ,       208.20,                  3818697.70,17871
,AHLWEST,EQ,       257.75,                   109610.75,420
,AIAENG,EQ,      1629.85,                 24733078.90,15264
,AIONJSW,EQ,        14.25,                  1943646.15,136478
,AIRAN,BE,        12.15,                  1147551.55,92201
,AIROLAM,SM,        21.00,                   120000.00,6000
,AJANTPHARM,EQ,      1436.20,                191577003.60,134630
,AJMERA,EQ,        84.35,                  5332167.40,62871
,AJOONI,SM,         7.95,                   191400.00,24000
,AKASH,BE,        90.00,                    54900.00,610
,AKSHARCHEM,EQ,       200.50,                  3489043.95,17329
,AKSHOPTFBR,BE,         6.65,                  1351525.50,204971
,AKZOINDIA,EQ,      1837.65,                 13267684.75,7199
,ALANKIT,EQ,        17.75,                 14016210.90,774226
,ALBERTDAVD,EQ,       466.45,                 10925978.95,23254
,ALCHEM,EQ,         5.20,                   450434.40,86622
,ALEMBICLTD,EQ,        77.45,                 70019304.20,897677
,ALICON,EQ,       247.65,                   966648.05,3940
,ALKALI,EQ,        47.60,                   392258.60,8222
,ALKEM,EQ,      2353.70,                351384084.80,148999
,ALKYLAMINE,EQ,      2118.15,                123213547.45,58044
,ALLCARGO,EQ,        78.40,                  3975079.10,50617
,ALLSEC,EQ,       191.85,                  1295332.60,6736
,ALMONDZ,EQ,        11.90,                   142626.15,12010
,ALOKINDS,EQ,        48.20,                 19660972.80,407904
,ALPA,EQ,        23.90,                  2511190.80,104028
,ALPHAGEO,EQ,       198.30,                  5707754.50,28691
,ALPSINDUS,BE,         1.65,                   119370.90,72346
,AMARAJABAT,EQ,       641.30,                506977910.00,791145
,AMBER,EQ,      1482.20,                 78932301.10,53012
,AMBIKCO,EQ,       668.35,                  9698411.00,14391
,AMDIND,EQ,        16.00,                   207232.15,12556
,AMJLAND,EQ,        20.00,                   776439.30,38629
,AMJUMBO,SM,         9.45,                   151600.00,16000
,AMRUTANJAN,EQ,       366.45,                 37768821.45,102559
,ANANTRAJ,EQ,        22.35,                  3061561.85,136417
,ANDHRACEMT,BE,         9.70,                  1461014.00,150620
,ANDHRAPAP,EQ,       254.85,               1388574722.05,5847661
,ANDHRSUGAR,EQ,       260.25,                 21949419.45,83326
,ANIKINDS,EQ,        12.95,                    58961.35,4553
,ANKITMETAL,BE,          .80,                     1775.20,2219
,ANSALAPI,BE,         4.65,                   437381.05,94340
,ANSALHSG,EQ,         4.45,                   858788.25,189846
,ANUP,EQ,       382.40,                 15572005.40,39908
,APARINDS,EQ,       330.30,                  4915479.75,14924
,APCL,EQ,       133.05,                   369979.70,2782
,APCOTEXIND,EQ,       122.15,                  3027385.10,24706
,APEX,EQ,       268.35,                352523712.20,1317111
,APLAPOLLO,EQ,      1527.00,                106323453.35,68896
,APLLTD,EQ,       896.00,                202374733.55,226106
,APOLLO,EQ,       101.75,                 20923178.95,201024
,APOLLOHOSP,EQ,      1365.05,               1256119285.65,911363
,APOLLOPIPE,EQ,       321.35,                  3893204.25,12139
,APOLLOTYRE,EQ,       108.45,                600351308.70,5523573
,APOLSINHOT,EQ,       466.30,                   299619.95,629
,APTECHT,EQ,       101.20,                  8632806.45,85518
,ARCHIDPLY,EQ,        24.55,                   766004.50,30868
,ARCHIES,EQ,        12.90,                   586041.05,45136
,ARCOTECH,BE,         3.35,                   114539.85,34191
,ARENTERP,EQ,        12.15,                    93460.60,7919
,ARIES,EQ,        70.05,                  1652339.40,23588
,ARIHANT,EQ,        15.65,                    94637.60,5935
,ARIHANTSUP,BE,        28.90,                    28799.45,1016
,ARMANFIN,EQ,       461.15,                  4151806.95,8995
,AROGRANITE,EQ,        25.85,                   399413.60,15617
,ARROWGREEN,BE,        45.75,                    77142.95,1665
,ARSHIYA,BE,        12.35,                   298317.20,24747
,ARSSINFRA,EQ,        15.50,                  1299934.70,83846
,ARTEMISMED,EQ,       179.35,                   680856.00,3778
,ARVIND,EQ,        33.10,                 78891839.05,2369772
,ARVINDF-RE,BE,        67.65,                  3816210.80,58065
,ARVINDFASN,EQ,       172.45,                  8453862.45,48858
,ARVSMART,EQ,        78.30,                  9575106.70,123365
,ASAHIINDIA,EQ,       177.05,                  7688333.95,43361
,ASAHISONG,EQ,       150.15,                  3576276.15,23812
,ASAL,BE,        21.75,                   153433.60,7114
,ASALCBR,EQ,       272.85,                 51342180.85,192266
,ASHAPURMIN,EQ,        44.55,                  6857017.90,158647
,ASHIANA,EQ,        60.90,                  1624468.50,26570
,ASHIMASYN,EQ,         6.65,                   570631.40,86499
,ASHOKA,EQ,        61.00,                 68906162.85,1121890
,ASHOKLEY,EQ,        48.60,               3757327164.20,76143267
,ASIANHOTNR,EQ,        53.95,                   382492.30,7034
,ASIANTILES,EQ,       209.00,                 14367396.05,67426
,ASLIND,SM,         6.60,                   156000.00,24000
,ASPINWALL,EQ,       129.05,                  5105492.20,40866
,ASTEC,EQ,       804.20,                 84686612.55,103621
,ASTERDM,EQ,       122.50,                 17386869.60,141436
,ASTRAL,EQ,       955.35,                 97420437.55,103247
,ASTRAMICRO,EQ,        97.05,                111499842.00,1144957
,ASTRAZEN,EQ,      3620.40,               1177882585.25,331396
,ASTRON,EQ,        41.70,                 20124786.35,485859
,ATFL,EQ,       515.50,                  6943104.35,13346
,ATLANTA,EQ,         9.20,                  1853177.35,201390
,ATLASCYCLE,BE,        39.00,                   144066.00,3694
,ATNINTER,BE,          .15,                      781.40,5543
,ATUL,EQ,      4455.00,                 42483498.95,9525
,ATULAUTO,EQ,       165.55,                  6640588.65,39946
,AUBANK,EQ,       543.65,                 76411527.60,140169
,AURIONPRO,EQ,        56.20,                  1564656.80,27806
,AUSOMENT,EQ,        35.90,                   424339.50,11928
,AUTOAXLES,EQ,       569.85,                  9135741.20,15701
,AUTOIND,BE,        19.25,                   362582.55,18723
,AUTOLITIND,EQ,        16.20,                   149266.60,9006
,AVADHSUGAR,EQ,       188.30,                 13168466.20,69024
,AVANTIFEED,EQ,       523.30,               4662487249.00,8903208
,AVG,SM,        51.00,                  1040400.00,20400
,AVROIND,SM,        42.00,                   336000.00,8000
,AVTNPL,EQ,        39.50,                  7451345.90,186371
,AXISCADES,EQ,        48.75,                   804423.75,16501
,AXISGOLD,EQ,      4230.15,                  6385989.95,1509
,AXISNIFTY,EQ,      1171.19,                   882606.99,761
,AYMSYNTEX,EQ,        24.70,                   276579.80,11094
,BAFNAPH,BE,        22.40,                     7257.60,324
,BAGFILMS,BE,         2.95,                   503231.65,170587
,BAJAJCON,EQ,       146.75,                 49577373.25,336088
,BAJAJELEC,EQ,       393.20,                 48775141.40,123759
,BAJAJHIND,EQ,         7.70,                 66803294.50,8673846
,BALAJITELE,EQ,        75.30,                  6671392.40,88152
,BALAMINES,EQ,       521.95,                339363981.75,648243
,BALAXI,EQ,       125.55,                   138796.50,1108
,BALKRISHNA,EQ,        20.05,                   428990.50,21446
,BALKRISIND,EQ,      1244.50,                758773634.45,612124
,BALLARPUR,BE,         1.40,                  2156477.40,1540341
,BALMLAWRIE,EQ,       111.00,                 15913992.45,142559
,BALPHARMA,EQ,        44.25,                  1484833.55,33378
,BALRAMCHIN,EQ,       134.90,                312686907.35,2330007
,BANARBEADS,EQ,        38.60,                   340839.65,8869
,BANARISUG,EQ,      1045.85,                   920424.10,874
,BANCOINDIA,EQ,        74.65,                  9886017.60,132117
,BANG,EQ,        20.40,                   109103.35,5324
,BANKBEES,EQ,       215.31,                274791305.95,1286696
