,02-Jul-2020
The Nifty witnessed an intraday movement of about 112.65 points.The closing index was 1.17 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 53148.88
, Traded Quantity (in Lakhs), 30097.26
, Number of Trades, 16145424
, Total Market Capitalisation (Rs. Crores), 14043199.37

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     10430.05,     10493.05,     10598.20,     10485.55,     10551.70,121.65
,NIFTY50 EQL Wgt,     10696.05,     10765.95,     10838.85,     10733.60,     10816.10,120.05
,NIFTY100 EQL Wgt,     11863.15,     11924.70,     12003.35,     11897.55,     11984.20,121.05
,NIFTY100 LowVol30,      8319.00,      8365.80,      8449.70,      8360.00,      8437.70,118.7
,NIFTY Alpha 50,     13676.10,     13684.10,     13835.85,     13680.50,     13795.20,119.1
,NIFTY MIDCAP 150,      5640.35,      5671.25,      5711.10,      5666.20,      5701.25,60.9
,NIFTY SMLCAP 50,      2199.15,      2222.40,      2228.00,      2210.20,      2212.80,13.65
,NIFTY SMLCAP 250,      4095.45,      4128.45,      4140.30,      4119.00,      4130.80,35.35
,NIFTY MIDSML 400,      5084.55,      5116.30,      5144.80,      5110.65,      5136.10,51.55
,NIFTY200 QUALTY30,      9252.55,      9287.55,      9383.95,      9281.40,      9372.30,119.75
,Nifty IT,     14732.10,     14803.50,     15195.20,     14782.45,     15122.55,390.45
,Nifty Next 50,     25755.45,     25801.40,     25975.95,     25781.55,     25947.50,192.05
,Nifty Bank,     21977.60,     22133.80,     22344.85,     21890.50,     21953.20,-24.4
,NIFTY MIDCAP 100,     14777.70,     14884.60,     14966.55,     14827.00,     14944.75,167.05
,Nifty 500,      8554.75,      8602.45,      8677.95,      8598.80,      8647.85,93.1
,Nifty 100,     10598.90,     10656.45,     10757.80,     10650.30,     10716.10,117.2
,Nifty Midcap 50,      4115.80,      4146.60,      4176.60,      4125.80,      4170.85,55.05
,Nifty Realty,       201.20,       202.60,       203.05,       199.10,       201.05,-.15
,Nifty Infra,      3031.40,      3050.20,      3068.25,      3037.60,      3059.50,28.1
,Nifty Energy,     14474.35,     14538.75,     14707.60,     14509.55,     14625.20,150.85
,Nifty FMCG,     30232.50,     30352.50,     30399.70,     30136.50,     30316.20,83.7
,Nifty MNC,     13146.35,     13208.90,     13235.20,     13128.70,     13198.40,52.05
,Nifty Pharma,      9882.85,      9845.35,      9976.15,      9832.65,      9943.65,60.8
,Nifty PSE,      2492.40,      2508.15,      2523.40,      2499.65,      2509.10,16.7
,Nifty PSU Bank,      1479.70,      1485.45,      1501.70,      1469.30,      1478.40,-1.3
,Nifty Serv Sector,     13889.20,     13980.45,     14162.30,     13973.40,     14051.00,161.8
,India VIX,28.1175,28.1175,28.1175,26.3150,26.5075,-1.6100
,Nifty Auto,      6718.60,      6761.00,      6923.90,      6751.95,      6907.10,188.5
,Nifty Metal,      1997.35,      2011.15,      2020.80,      1995.45,      2017.00,19.65
,Nifty Media,      1367.65,      1387.10,      1394.05,      1370.45,      1373.15,5.5
,NIFTY SMLCAP 100,      4654.10,      4695.35,      4710.00,      4684.90,      4695.65,41.55
,Nifty 200,      5404.30,      5434.70,      5484.00,      5431.45,      5464.20,59.9
,Nifty Div Opps 50,      2261.55,      2274.50,      2298.85,      2272.30,      2293.70,32.15
,Nifty Commodities,      2867.30,      2879.30,      2898.25,      2874.05,      2891.00,23.7
,Nifty Consumption,      4793.65,      4823.35,      4854.90,      4803.95,      4847.95,54.3
,Nifty Fin Service,     10843.25,     10912.35,     11012.70,     10845.15,     10906.75,63.5
,Nifty50 Div Point,        14.63,        19.53,        19.53,        19.53,        19.53,4.9
,Nifty100 Liq 15,      2614.55,      2635.40,      2644.50,      2610.10,      2627.10,12.55
,Nifty CPSE,      1430.80,      1440.20,      1453.05,      1436.30,      1439.80,9
,Nifty GrowSect 15,      5314.15,      5341.45,      5385.55,      5317.15,      5356.95,42.8
,Nifty50 PR 2x Lev,      3476.05,      3517.80,      3587.25,      3515.80,      3556.85,80.8
,Nifty50 PR 1x Inv,       420.00,       417.50,       417.60,       413.30,       415.10,-4.9
,Nifty50 TR 2x Lev,      4563.85,      4622.90,      4714.05,      4620.30,      4674.20,110.35
,Nifty50 TR 1x Inv,       366.80,       364.40,       364.55,       360.75,       362.35,-4.45
,Nifty50 Value 20,      5010.90,      5037.70,      5111.50,      5031.85,      5097.90,87
,Nifty Mid Liq 15,      3383.45,      3407.45,      3451.65,      3404.85,      3442.55,59.1
,Nifty Pvt Bank,     12042.30,     12137.30,     12252.85,     12011.60,     12043.50,1.2
,NIFTY100 Qualty30,      2467.20,      2481.20,      2500.85,      2476.85,      2498.25,31.05
,Nifty GS 8 13Yr,      2189.03,      2189.42,      2190.78,      2188.35,      2189.03,0
,Nifty GS 10Yr,      1992.13,      1992.45,      1994.97,      1991.45,      1992.05,-.08
,Nifty GS 10Yr Cln,       976.23,       976.23,       977.48,       975.74,       976.03,-.2
,Nifty GS 4 8Yr,      2334.75,      2335.15,      2336.91,      2334.38,      2335.65,.9
,Nifty GS 11 15Yr,      2356.96,      2357.39,      2359.02,      2356.11,      2357.07,.11
,Nifty GS 15YrPlus,      2590.39,      2590.85,      2593.63,      2587.64,      2593.35,2.96
,Nifty GS Compsite,      2233.88,      2234.27,      2235.45,      2233.31,      2234.36,.48

,ADVANCES,1137
,DECLINES,748
,UNCHANGED,76

,Total securities that have hit their price bands today,489

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,BAJFINANCE,EQ,      2953.90,      2964.25,0.35,3459.3
,RELIANCE,EQ,      1737.60,      1760.35,1.31,2332.09
,AXISBANK,EQ,       433.25,       423.20,-2.32,2154.5
,HDFCBANK,EQ,      1084.60,      1089.40,0.44,2029.36
,ICICIBANK,EQ,       364.05,       362.85,-0.33,1869.41
,INFY,EQ,       731.90,       756.60,3.37,1305.71
,HDFC,EQ,      1835.15,      1889.45,2.96,1216.22
,INDUSINDBK,EQ,       492.45,       494.80,0.48,1149.35
,IBULHSGFIN,EQ,       220.15,       225.30,2.34,1001.45
,BANDHANBNK,EQ,       325.85,       346.25,6.26,987.83
,SBIN,EQ,       184.80,       185.45,0.35,970.24
,DIVISLAB,EQ,      2241.25,      2196.65,-1.99,961.49
,BAJAJFINSV,EQ,      6169.35,      6188.80,0.32,948.32
,HEROMOTOCO,EQ,      2547.45,      2671.40,4.87,885.45
,MARUTI,EQ,      5803.10,      5948.45,2.5,862.95
,M&M,EQ,       498.95,       529.70,6.16,860.75
,TCS,EQ,      2092.05,      2157.15,3.11,805.79
,ITC,EQ,       202.90,       205.85,1.45,804.87
,BHARTIARTL,EQ,       560.15,       558.45,-0.3,759.29
,KOTAKBANK,EQ,      1356.75,      1352.00,-0.35,678.72
,RBLBANK,EQ,       173.95,       177.65,2.13,659.41
,LT,EQ,       924.30,       941.30,1.84,614.18
,HINDUNILVR,EQ,      2170.40,      2151.75,-0.86,557.73
,TATAPOWER,EQ,        46.10,        49.80,8.03,544.34
,EICHERMOT,EQ,     18401.95,     18353.60,-0.26,504.84

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,M&M,EQ,       529.70,       498.95,6.16
,HEROMOTOCO,EQ,      2671.40,      2547.45,4.87
,TITAN,EQ,       986.40,       948.20,4.03
,TATASTEEL,EQ,       334.90,       323.70,3.46
,INFY,EQ,       756.60,       731.90,3.37

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,AXISBANK,EQ,       423.20,       433.25,-2.32
,VEDL,EQ,       106.40,       107.70,-1.21
,UPL,EQ,       442.45,       446.95,-1.01
,HINDUNILVR,EQ,      2151.75,      2170.40,-0.86
,ZEEL,EQ,       174.40,       175.40,-0.57

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        32.50,                  2636666.05,80877
,21STCENMGM,EQ,        11.05,                    30394.75,2755
,3IINFOTECH,EQ,         2.70,                 58520219.95,21099048
,3MINDIA,EQ,     18647.10,                229208197.85,12208
,3PLAND,EQ,         6.75,                     3674.00,550
,509GS2022,GS,        99.20,                      694.00,7
,5PAISA,EQ,       230.80,                  5708216.45,24784
,63MOONS,BE,        75.15,                  1042044.00,13858
,719GS2060,GS,       113.00,                    11413.00,101
,824GS2033,GS,       105.95,                    10595.00,100
,A2ZINFRA,EQ,         5.60,                  1885742.50,336708
,AAKASH,SM,        21.80,                   196200.00,9000
,AARON,SM,        43.70,                   144210.00,3300
,AARTIDRUGS,EQ,      1259.10,                 52112186.65,41219
,AARTIIND,EQ,       927.45,                173904909.95,186997
,AARVEEDEN,BE,        11.50,                    54922.50,4850
,AARVI,EQ,        32.90,                    41125.00,1250
,AAVAS,EQ,      1304.40,                 26464478.95,19995
,ABAN,EQ,        30.10,                  1052837.80,34978
,ABB,EQ,       963.40,                155806887.20,161482
,ABCAPITAL,EQ,        67.45,                551310821.85,8263397
,ABFRL,EQ,       122.75,                131988076.15,1070272
,ABMINTLTD,BE,        13.00,                      507.00,39
,ABSLBANETF,EQ,       220.76,                    50618.95,227
,ABSLNN50ET,EQ,       266.87,                    16362.90,62
,ACCELYA,EQ,       928.85,                 71608956.10,77085
,ACCURACY,SM,        35.70,                   340480.00,9600
,ACE,EQ,        58.80,                 94415687.80,1604202
,ADANIENT,EQ,       158.20,                340966710.60,2152710
,ADANIGAS,EQ,       163.85,                482422224.45,2937411
,ADANIGREEN,EQ,       357.95,               1121127189.40,3295011
,ADANIPOWER,EQ,        35.80,                 96180464.00,2674918
,ADFFOODS,EQ,       296.40,                 16343552.70,54512
,ADHUNIKIND,BE,        21.85,                   281100.25,12865
,ADORWELD,EQ,       272.65,                 47193935.15,174091
,ADROITINFO,EQ,         7.75,                   203052.10,25503
,ADSL,EQ,        17.10,                   895413.45,52670
,ADVANIHOTR,EQ,        45.35,                   280545.50,6224
,ADVENZYMES,EQ,       171.70,                 13412564.90,77526
,AEGISCHEM,EQ,       171.10,                 65686407.50,379794
,AFFLE,EQ,      1451.75,                 29127118.25,19991
,AGARIND,EQ,        76.85,                  2979493.85,38828
,AGCNET,EQ,       311.90,                  3237264.30,10479
,AGRITECH,BE,        34.70,                   293327.10,8603
,AGROPHOS,EQ,        16.40,                  3485451.80,206695
,AHLEAST,EQ,       139.50,                   202348.60,1459
,AHLUCONT,EQ,       209.75,                  3655381.85,17457
,AHLWEST,EQ,       252.50,                   221623.50,872
,AIAENG,EQ,      1640.80,                 65102834.25,40106
,AIONJSW,EQ,        14.15,                   282640.30,19998
,AIRAN,BE,        12.30,                  1132055.10,91168
,AISL,SM,        19.85,                    23820.00,1200
,AJANTPHARM,EQ,      1428.95,                122122003.55,85124
,AJMERA,EQ,        83.20,                  4214787.45,50436
,AJOONI,SM,         8.35,                   371800.00,44000
,AKASH,BE,        94.10,                  1362620.60,14516
,AKSHARCHEM,EQ,       231.60,                 13298911.25,57310
,AKSHOPTFBR,BE,         6.50,                  1571012.15,243299
,AKZOINDIA,EQ,      1800.35,                 37260259.00,20632
