,03-Jul-2020
The Nifty witnessed an intraday movement of about 68.65 points.The closing index was 0.53 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 48721.03
, Traded Quantity (in Lakhs), 29277.87
, Number of Trades, 15452869
, Total Market Capitalisation (Rs. Crores), 14140270.25

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     10551.70,     10614.95,     10631.30,     10562.65,     10607.35,55.65
,NIFTY50 EQL Wgt,     10816.10,     10879.30,     10902.30,     10830.90,     10877.65,61.55
,NIFTY100 EQL Wgt,     11984.20,     12051.75,     12068.45,     12001.65,     12048.25,64.05
,NIFTY100 LowVol30,      8437.70,      8474.30,      8500.85,      8433.10,      8477.15,39.45
,NIFTY Alpha 50,     13795.20,     13909.80,     13951.45,     13886.90,     13940.55,145.35
,NIFTY MIDCAP 150,      5701.25,      5739.90,      5755.05,      5706.35,      5739.35,38.1
,NIFTY SMLCAP 50,      2212.80,      2226.25,      2228.40,      2204.25,      2212.90,.1
,NIFTY SMLCAP 250,      4130.80,      4155.90,      4160.50,      4126.50,      4142.15,11.35
,NIFTY MIDSML 400,      5136.10,      5169.80,      5177.85,      5137.90,      5164.35,28.25
,NIFTY200 QUALTY30,      9372.30,      9411.40,      9475.70,      9396.95,      9463.65,91.35
,Nifty IT,     15122.55,     15164.25,     15336.85,     15148.50,     15285.90,163.35
,Nifty Next 50,     25947.50,     26109.10,     26177.10,     26053.90,     26146.25,198.75
,Nifty Bank,     21953.20,     22101.75,     22130.30,     21768.00,     21852.40,-100.8
,NIFTY MIDCAP 100,     14944.75,     15042.15,     15080.40,     14939.70,     15042.65,97.9
,Nifty 500,      8647.85,      8700.85,      8712.90,      8660.65,      8696.25,48.4
,Nifty 100,     10716.10,     10780.65,     10797.10,     10732.45,     10776.30,60.2
,Nifty Midcap 50,      4170.85,      4199.75,      4218.90,      4169.60,      4208.75,37.9
,Nifty Realty,       201.05,       202.00,       203.70,       201.25,       203.10,2.05
,Nifty Infra,      3059.50,      3081.00,      3109.60,      3072.90,      3106.10,46.6
,Nifty Energy,     14625.20,     14738.55,     14797.15,     14644.30,     14771.05,145.85
,Nifty FMCG,     30316.20,     30501.95,     30632.30,     30428.35,     30529.10,212.9
,Nifty MNC,     13198.40,     13238.10,     13265.55,     13180.90,     13225.55,27.15
,Nifty Pharma,      9943.65,     10020.00,     10046.10,      9927.60,      9963.40,19.75
,Nifty PSE,      2509.10,      2525.90,      2541.30,      2509.30,      2537.60,28.5
,Nifty PSU Bank,      1478.40,      1487.75,      1489.10,      1456.75,      1464.45,-13.95
,Nifty Serv Sector,     14051.00,     14126.55,     14168.50,     14037.30,     14105.85,54.85
,India VIX,26.5075,26.5075,26.7750,25.6275,25.7675,-0.7400
,Nifty Auto,      6907.10,      6921.70,      6992.30,      6903.10,      6971.05,63.95
,Nifty Metal,      2017.00,      2027.70,      2031.25,      1999.30,      2008.50,-8.5
,Nifty Media,      1373.15,      1387.30,      1391.65,      1363.15,      1370.45,-2.7
,NIFTY SMLCAP 100,      4695.65,      4725.85,      4729.70,      4686.55,      4706.00,10.35
,Nifty 200,      5464.20,      5497.40,      5505.75,      5472.40,      5495.45,31.25
,Nifty Div Opps 50,      2293.70,      2305.70,      2322.30,      2302.40,      2319.40,25.7
,Nifty Commodities,      2891.00,      2911.20,      2917.65,      2890.80,      2904.00,13
,Nifty Consumption,      4847.95,      4872.55,      4897.65,      4865.25,      4891.25,43.3
,Nifty Fin Service,     10906.75,     10980.15,     10992.35,     10838.75,     10870.90,-35.85
,Nifty50 Div Point,        19.53,        19.53,        19.53,        19.53,        19.53,0
,Nifty100 Liq 15,      2627.10,      2645.25,      2656.60,      2627.50,      2646.25,19.15
,Nifty CPSE,      1439.80,      1449.05,      1467.30,      1442.20,      1464.75,24.95
,Nifty GrowSect 15,      5356.95,      5389.90,      5392.60,      5335.80,      5353.40,-3.55
,Nifty50 PR 2x Lev,      3556.85,      3599.20,      3609.90,      3564.20,      3594.10,37.25
,Nifty50 PR 1x Inv,       415.10,       412.65,       414.70,       412.05,       412.95,-2.15
,Nifty50 TR 2x Lev,      4674.20,      4729.85,      4743.90,      4683.85,      4723.15,48.95
,Nifty50 TR 1x Inv,       362.35,       360.20,       362.00,       359.65,       360.50,-1.85
,Nifty50 Value 20,      5097.90,      5121.65,      5157.75,      5114.65,      5150.35,52.45
,Nifty Mid Liq 15,      3442.55,      3474.00,      3486.00,      3450.80,      3479.55,37
,Nifty Pvt Bank,     12043.50,     12127.30,     12145.00,     11936.80,     11987.65,-55.85
,NIFTY100 Qualty30,      2498.25,      2508.65,      2520.15,      2502.55,      2516.45,18.2
,Nifty GS 8 13Yr,      2189.03,      2189.42,      2189.53,      2186.87,      2188.42,-.61
,Nifty GS 10Yr,      1992.05,      1992.37,      1992.37,      1987.81,      1991.77,-.28
,Nifty GS 10Yr Cln,       976.03,       976.03,       976.03,       973.78,       975.74,-.29
,Nifty GS 4 8Yr,      2335.65,      2336.06,      2336.34,      2333.31,      2334.09,-1.56
,Nifty GS 11 15Yr,      2357.07,      2357.50,      2357.77,      2355.88,      2356.48,-.59
,Nifty GS 15YrPlus,      2593.35,      2593.81,      2595.51,      2591.26,      2594.08,.73
,Nifty GS Compsite,      2234.36,      2234.75,      2234.83,      2232.27,      2233.55,-.81

,ADVANCES,892
,DECLINES,1002
,UNCHANGED,84

,Total securities that have hit their price bands today,476

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,BAJFINANCE,EQ,      2964.25,      2931.50,-1.1,2524.77
,RELIANCE,EQ,      1760.35,      1787.90,1.57,2420.25
,HDFCBANK,EQ,      1089.40,      1073.95,-1.42,1489.32
,IBULHSGFIN,EQ,       225.30,       231.05,2.55,1448.13
,AXISBANK,EQ,       423.20,       428.45,1.24,1327.93
,BHARTIARTL,EQ,       558.45,       581.45,4.12,1185.5
,ICICIBANK,EQ,       362.85,       361.00,-0.51,1045.06
,TCS,EQ,      2157.15,      2199.65,1.97,916.06
,TATAMOTORS,EQ,       101.55,       103.45,1.87,913.37
,HDFCLIFE,EQ,       547.95,       572.15,4.42,900.52
,MOTHERSUMI,EQ,       103.65,        98.10,-5.35,882.12
,HDFC,EQ,      1889.45,      1885.20,-0.22,835.06
,ITC,EQ,       205.85,       207.55,0.83,786.09
,INDUSINDBK,EQ,       494.80,       487.20,-1.54,765.75
,HEROMOTOCO,EQ,      2671.40,      2738.25,2.5,716.99
,SBIN,EQ,       185.45,       184.70,-0.4,703.25
,BEL,EQ,        89.05,        97.20,9.15,650.36
,MARUTI,EQ,      5948.45,      5932.10,-0.27,629.04
,INFY,EQ,       756.60,       762.70,0.81,592.03
,BHEL,EQ,        36.70,        38.65,5.31,549.58
,BANDHANBNK,EQ,       346.25,       347.15,0.26,518.52
,BAJAJFINSV,EQ,      6188.80,      6149.40,-0.64,514.88
,RBLBANK,EQ,       177.65,       173.60,-2.28,514.65
,EICHERMOT,EQ,     18353.60,     18983.50,3.43,469.97
,CHOLAFIN,EQ,       197.10,       196.70,-0.2,461.57

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,BHARTIARTL,EQ,       581.45,       558.45,4.12
,ADANIPORTS,EQ,       360.40,       346.80,3.92
,EICHERMOT,EQ,     18983.50,     18353.60,3.43
,HEROMOTOCO,EQ,      2738.25,      2671.40,2.5
,TCS,EQ,      2199.65,      2157.15,1.97

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,JSWSTEEL,EQ,       190.95,       194.45,-1.8
,INDUSINDBK,EQ,       487.20,       494.80,-1.54
,TATASTEEL,EQ,       329.90,       334.90,-1.49
,HDFCBANK,EQ,      1073.95,      1089.40,-1.42
,ZEEL,EQ,       172.25,       174.40,-1.23

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        32.25,                  1925546.75,59235
,21STCENMGM,EQ,        11.25,                    35275.90,3211
,3IINFOTECH,EQ,         2.60,                 23841173.20,9016486
,3MINDIA,EQ,     18440.40,                 62284152.10,3354
,509GS2022,GS,        99.00,                       99.00,1
,5PAISA,EQ,       233.00,                  2397944.85,10333
,63MOONS,BE,        73.35,                  1530574.05,20609
,772GS2049,GS,       119.00,                    18326.00,154
,A2ZINFRA,EQ,         5.40,                  1826961.75,331405
,AAKASH,SM,        22.85,                    68550.00,3000
,AARON,SM,        44.00,                   145200.00,3300
,AARTIDRUGS,EQ,      1277.35,                 65022886.30,51310
,AARTIIND,EQ,       926.40,                148216689.10,159579
,AARVEEDEN,BE,        11.25,                    71235.10,6198
,AARVI,EQ,        34.50,                    13110.00,380
,AAVAS,EQ,      1343.90,                 34568236.50,25764
,ABAN,EQ,        28.60,                  1071928.00,37480
,ABB,EQ,       979.50,                309604862.25,320566
,ABCAPITAL,EQ,        65.60,                201354884.05,3029402
,ABFRL,EQ,       120.60,                152836191.80,1252747
,ABSLBANETF,EQ,       224.00,                    19992.61,90
,ABSLNN50ET,EQ,       265.77,                    63576.22,242
,ABSLRIF6RG,MF,         6.20,                    62100.70,10019
,ACCELYA,EQ,       935.30,                 33479563.25,35850
,ACCURACY,SM,        37.45,                   775760.00,20800
,ACE,EQ,        62.90,                 87074039.15,1418813
,ADANIENT,EQ,       160.00,                723476639.05,4481658
,ADANIGAS,EQ,       161.35,                272086310.00,1675589
,ADANIGREEN,EQ,       375.80,                 48088119.60,127962
,ADANIPOWER,EQ,        35.90,                 94923555.55,2643230
,ADFFOODS,EQ,       294.95,                  3067390.45,10377
,ADHUNIKIND,BE,        20.80,                   623022.40,29953
,ADORWELD,EQ,       283.25,                196510324.75,685799
,ADROITINFO,EQ,         7.60,                   145634.30,19081
,ADSL,EQ,        16.80,                   277023.00,16476
,ADVANIHOTR,EQ,        44.05,                   248164.65,5552
,ADVENZYMES,EQ,       171.15,                  8998359.60,52113
,AEGISCHEM,EQ,       173.15,                126986206.05,732274
,AFFLE,EQ,      1524.30,                 73015322.15,48055
,AGARIND,EQ,        74.80,                  2755959.75,36809
,AGCNET,EQ,       312.15,                  2156777.80,7061
,AGRITECH,BE,        33.35,                   360410.40,10743
,AGROPHOS,EQ,        15.60,                  2092713.80,131883
,AHLEAST,EQ,       137.10,                    61229.70,446
,AHLUCONT,EQ,       210.15,                  1600551.15,7636
,AHLWEST,EQ,       265.10,                   412556.20,1574
,AIAENG,EQ,      1608.60,                 25138533.80,15467
,AIONJSW,EQ,        13.90,                  1492742.40,107049
,AIRAN,BE,        12.60,                   546160.25,43399
,AISL,SM,        19.15,                    22980.00,1200
,AJANTPHARM,EQ,      1409.95,                154419274.30,108962
,AJMERA,EQ,        83.25,                  2311712.65,27656
,AJOONI,SM,         8.75,                   205400.00,24000
,AKASH,BE,        98.25,                   382273.50,4037
,AKG,SM,        36.50,                   146000.00,4000
,AKSHARCHEM,EQ,       247.80,                 49615017.00,202617
,AKSHOPTFBR,BE,         6.30,                  1173299.60,184896
,AKZOINDIA,EQ,      1800.35,                 22400998.75,12405
,ALANKIT,EQ,        17.25,                  3068280.45,175512
