,17-Jul-2020
The Nifty witnessed an intraday movement of about 183.8 points.The closing index was 1.51 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 58666.88
, Traded Quantity (in Lakhs), 31142.81
, Number of Trades, 17394606
, Total Market Capitalisation (Rs. Crores), 14371914.23

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     10739.95,     10752.00,     10933.45,     10749.65,     10901.70,161.75
,NIFTY50 EQL Wgt,     10916.20,     10945.15,     11105.15,     10935.75,     11081.80,165.6
,NIFTY100 EQL Wgt,     11998.10,     12038.15,     12201.90,     12034.05,     12183.05,184.95
,NIFTY100 LowVol30,      8661.25,      8674.90,      8759.30,      8671.70,      8741.85,80.6
,NIFTY Alpha 50,     14204.75,     14258.45,     14370.40,     14254.25,     14350.70,145.95
,NIFTY MIDCAP 150,      5724.85,      5745.20,      5798.05,      5742.80,      5791.25,66.4
,NIFTY SMLCAP 50,      2250.05,      2260.40,      2284.45,      2257.60,      2281.20,31.15
,NIFTY SMLCAP 250,      4184.80,      4204.15,      4243.55,      4202.25,      4239.95,55.15
,NIFTY MIDSML 400,      5171.15,      5191.20,      5237.75,      5189.35,      5233.60,62.45
,NIFTY200 QUALTY30,      9610.45,      9638.60,      9730.90,      9628.25,      9694.80,84.35
,Nifty IT,     16926.05,     16936.95,     16975.20,     16693.35,     16821.35,-104.7
,Nifty Next 50,     25950.05,     26036.40,     26410.70,     26026.75,     26375.80,425.75
,Nifty Bank,     21597.15,     21608.05,     22065.00,     21550.80,     21966.80,369.65
,NIFTY MIDCAP 100,     15033.75,     15096.00,     15265.15,     15089.50,     15242.30,208.55
,Nifty 500,      8766.60,      8783.05,      8915.25,      8781.45,      8895.30,128.7
,Nifty 100,     10879.90,     10895.50,     11074.80,     10893.15,     11045.85,165.95
,Nifty Midcap 50,      4172.15,      4189.85,      4255.60,      4186.50,      4248.15,76
,Nifty Realty,       195.60,       196.25,       196.90,       195.10,       196.40,.8
,Nifty Infra,      3015.85,      3023.35,      3099.80,      3023.35,      3091.85,76
,Nifty Energy,     14339.90,     14400.45,     14980.60,     14400.45,     14942.25,602.35
,Nifty FMCG,     31182.35,     31217.30,     31528.40,     31191.50,     31439.30,256.95
,Nifty MNC,     13555.05,     13593.15,     13674.80,     13554.25,     13599.40,44.35
,Nifty Pharma,     10382.30,     10394.80,     10497.15,     10347.05,     10472.15,89.85
,Nifty PSE,      2411.45,      2425.45,      2511.00,      2425.45,      2507.65,96.2
,Nifty PSU Bank,      1405.90,      1410.90,      1438.40,      1407.50,      1431.60,25.7
,Nifty Serv Sector,     14257.90,     14271.55,     14471.35,     14260.05,     14414.65,156.75
,India VIX,25.3625,25.3625,25.5025,23.7700,24.1575,-1.2050
,Nifty Auto,      7015.90,      7039.55,      7154.75,      7016.85,      7137.30,121.4
,Nifty Metal,      2070.65,      2087.50,      2130.50,      2083.70,      2103.00,32.35
,Nifty Media,      1321.35,      1322.85,      1341.40,      1313.45,      1336.60,15.25
,NIFTY SMLCAP 100,      4788.80,      4811.30,      4857.95,      4807.00,      4851.95,63.15
,Nifty 200,      5542.30,      5551.85,      5639.95,      5550.75,      5626.00,83.7
,Nifty Div Opps 50,      2348.90,      2354.85,      2385.35,      2352.95,      2381.35,32.45
,Nifty Commodities,      2866.00,      2882.00,      2948.15,      2880.50,      2942.70,76.7
,Nifty Consumption,      4897.60,      4905.75,      4960.75,      4899.55,      4949.85,52.25
,Nifty Fin Service,     10708.30,     10720.10,     10963.20,     10713.75,     10915.70,207.4
,Nifty50 Div Point,        31.16,        31.16,        31.16,        31.16,        31.16,0
,Nifty100 Liq 15,      2649.90,      2655.40,      2691.10,      2651.85,      2681.25,31.35
,Nifty CPSE,      1368.85,      1372.90,      1412.95,      1372.90,      1408.65,39.8
,Nifty GrowSect 15,      5301.40,      5304.15,      5407.85,      5301.80,      5390.55,89.15
,Nifty50 PR 2x Lev,      3677.05,      3685.00,      3808.35,      3685.00,      3787.50,110.45
,Nifty50 PR 1x Inv,       407.95,       407.55,       407.55,       400.70,       401.85,-6.1
,Nifty50 TR 2x Lev,      4842.45,      4852.90,      5015.35,      4852.90,      4987.90,145.45
,Nifty50 TR 1x Inv,       355.70,       355.35,       355.35,       349.40,       350.40,-5.3
,Nifty50 Value 20,      5344.55,      5350.30,      5398.55,      5333.75,      5386.70,42.15
,Nifty Mid Liq 15,      3492.80,      3508.00,      3582.50,      3506.80,      3573.55,80.75
,Nifty Pvt Bank,     11855.75,     11868.75,     12108.15,     11836.60,     12057.80,202.05
,NIFTY100 Qualty30,      2571.20,      2577.60,      2602.75,      2575.95,      2597.45,26.25
,Nifty GS 8 13Yr,      2206.93,      2207.31,      2208.53,      2206.32,      2207.33,.4
,Nifty GS 10Yr,      2000.68,      2001.00,      2003.77,      1998.62,      2002.19,1.51
,Nifty GS 10Yr Cln,       978.09,       978.09,       979.46,       976.91,       978.68,.59
,Nifty GS 4 8Yr,      2351.37,      2351.77,      2353.17,      2350.85,      2352.36,.99
,Nifty GS 11 15Yr,      2379.16,      2379.59,      2380.51,      2379.22,      2380.03,.87
,Nifty GS 15YrPlus,      2625.35,      2625.82,      2626.61,      2625.82,      2626.61,1.26
,Nifty GS Compsite,      2250.86,      2251.25,      2252.40,      2250.46,      2251.41,.55

,ADVANCES,1233
,DECLINES,625
,UNCHANGED,90

,Total securities that have hit their price bands today,480

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,RELIANCE,EQ,      1843.40,      1911.70,3.71,4305.92
,INFY,EQ,       911.00,       903.15,-0.86,2863.29
,BAJFINANCE,EQ,      3204.80,      3301.30,3.01,2757.5
,BPCL,EQ,       393.90,       443.80,12.67,2302.23
,BRITANNIA,EQ,      3854.75,      3785.00,-1.81,1733.48
,HCLTECH,EQ,       627.75,       623.15,-0.73,1692.55
,HDFCBANK,EQ,      1062.55,      1098.45,3.38,1534.5
,AXISBANK,EQ,       434.00,       433.10,-0.21,1445.43
,CIPLA,EQ,       674.50,       689.10,2.16,1045.77
,TCS,EQ,      2234.75,      2200.75,-1.52,993.84
,ICICIBANK,EQ,       344.65,       353.80,2.65,962.32
,SBIN,EQ,       186.25,       188.20,1.05,878.97
,TATASTEEL,EQ,       341.65,       350.95,2.72,861.98
,MUTHOOTFIN,EQ,      1131.65,      1202.95,6.3,819.31
,DMART,EQ,      2007.05,      1989.75,-0.86,767.62
,HDFC,EQ,      1787.80,      1805.85,1.01,766.17
,INDUSINDBK,EQ,       518.60,       520.80,0.42,748.87
,HINDUNILVR,EQ,      2287.85,      2334.55,2.04,717.63
,BHARTIARTL,EQ,       562.75,       566.75,0.71,680.46
,IDEA,EQ,         7.85,         8.90,13.38,648.02
,KOTAKBANK,EQ,      1322.65,      1327.45,0.36,553.54
,M&M,EQ,       570.90,       588.80,3.14,529.23
,HINDPETRO,EQ,       209.80,       224.00,6.77,516.19
,IBULHSGFIN,EQ,       218.95,       222.20,1.48,514.36
,SBICARD,EQ,       719.90,       755.95,5.01,498.11

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,BPCL,EQ,       443.80,       393.90,12.67
,ONGC,EQ,        80.35,        76.15,5.52
,INFRATEL,EQ,       198.10,       190.00,4.26
,GAIL,EQ,       100.85,        96.75,4.24
,TITAN,EQ,       997.85,       961.35,3.8

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,HINDALCO,EQ,       162.15,       166.05,-2.35
,BRITANNIA,EQ,      3785.00,      3854.75,-1.81
,TCS,EQ,      2200.75,      2234.75,-1.52
,NESTLEIND,EQ,     17229.95,     17495.65,-1.52
,INFY,EQ,       903.15,       911.00,-0.86

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        31.35,                  1118369.10,35504
,21STCENMGM,EQ,        10.75,                    12717.25,1183
,3IINFOTECH,EQ,         2.60,                 19112689.30,7139138
,3MINDIA,EQ,     21041.15,                127481467.25,6102
,3PLAND,EQ,         7.40,                        7.40,1
,509GS2022,GS,        96.22,                     9657.60,100
,522GS2025,GS,        96.00,                      672.00,7
,5PAISA,EQ,       348.50,                125528973.35,341181
,63MOONS,BE,        72.05,                  1051296.60,14552
,716GS2050,GS,       111.75,                     7822.00,70
,737GS2023,GS,       107.38,                      107.38,1
,757GS2033,GS,       114.00,                      228.00,2
,75GS2034,GS,       116.69,                      116.69,1
,763GS2059,GS,       127.00,                    50000.00,400
,A2ZINFRA,EQ,         4.45,                  1634711.25,365600
,AARON,SM,        44.00,                   434280.00,9900
,AARTIDRUGS,EQ,      1488.85,                198579888.50,133954
,AARTIIND,EQ,       905.20,                170929013.00,187976
,AARTISURF,BE,       410.60,                   355579.60,866
,AARVEEDEN,BE,        10.65,                    38372.35,3576
,AARVI,EQ,        32.90,                    14039.45,432
,AAVAS,EQ,      1302.15,                 35711926.25,27448
,ABAN,EQ,        25.75,                  1295947.65,50489
,ABB,EQ,       912.15,                 92615351.15,101310
,ABCAPITAL,EQ,        59.35,                115423636.80,1957970
,ABFRL,EQ,       115.15,                152542049.05,1320301
,ABFRL-RE,BE,        10.15,                 22984868.60,2447687
,ABSLBANETF,EQ,       216.95,                   693117.71,3245
,ABSLNN50ET,EQ,       257.02,                    12440.76,47
,ABSLRIF6RG,MF,         6.08,                   144686.60,25074
,ACCELYA,EQ,       949.50,                 30188983.75,31545
,ACCORD,SM,        16.30,                    32600.00,2000
,ACCURACY,SM,        40.30,                   968000.00,24000
,ACE,EQ,        61.80,                 34943239.00,567653
,ADANIENT,EQ,       151.60,                337278039.45,2222846
,ADANIGAS,EQ,       148.45,                121802895.70,822875
,ADANIGREEN,EQ,       347.30,                204504075.60,586031
,ADANIPOWER,EQ,        35.50,                179164868.65,5039398
,ADFFOODS,EQ,       290.45,                  2996839.40,10327
,ADHUNIKIND,BE,        20.00,                   203102.55,10119
,ADORWELD,EQ,       256.90,                  4020032.55,15623
,ADROITINFO,BE,        10.20,                    26483.35,2688
,ADSL,EQ,        16.15,                   844651.50,52192
,ADVANIHOTR,EQ,        40.40,                   226854.25,5648
,ADVENZYMES,EQ,       163.15,                 15842194.15,96745
,AEGISCHEM,EQ,       182.40,                 42531123.95,229297
,AFFLE,EQ,      1694.75,                 31109274.55,18334
,AGARIND,EQ,        85.15,                   762911.70,8986
,AGCNET,EQ,       320.10,                  8308501.40,26702
,AGRITECH,BE,        29.55,                   231132.50,7869
,AGROPHOS,EQ,        11.05,                   462570.85,41953
,AHLADA,SM,        42.60,                   249300.00,6000
,AHLEAST,EQ,       138.20,                   210767.05,1519
,AHLUCONT,EQ,       207.70,                  2605485.95,12334
,AHLWEST,EQ,       252.40,                   154326.30,613
,AIAENG,EQ,      1679.55,                 38535050.95,23115
,AIONJSW,EQ,        13.65,                   974584.25,72204
,AIRAN,BE,        13.10,                   421393.00,32620
,AIROLAM,SM,        21.00,                   126000.00,6000
,AJANTPHARM,EQ,      1460.85,                329450627.05,227591
