,22-Jul-2020
The Nifty witnessed an intraday movement of about 181.55 points.The closing index was 0.27 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 65668.21
, Traded Quantity (in Lakhs), 29762.11
, Number of Trades, 18404768
, Total Market Capitalisation (Rs. Crores), 14567045.69

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     11162.25,     11231.20,     11238.10,     11056.55,     11132.60,-29.65
,NIFTY50 EQL Wgt,     11283.70,     11349.55,     11353.45,     11159.35,     11234.85,-48.85
,NIFTY100 EQL Wgt,     12344.20,     12401.90,     12406.25,     12212.20,     12294.55,-49.65
,NIFTY100 LowVol30,      8864.50,      8897.90,      8899.45,      8768.45,      8812.60,-51.9
,NIFTY Alpha 50,     14559.20,     14605.90,     14659.80,     14487.50,     14596.35,37.15
,NIFTY MIDCAP 150,      5853.40,      5869.15,      5891.25,      5820.90,      5851.60,-1.8
,NIFTY SMLCAP 50,      2324.05,      2339.25,      2351.45,      2305.40,      2329.95,5.9
,NIFTY SMLCAP 250,      4294.90,      4317.30,      4320.00,      4264.10,      4287.15,-7.75
,NIFTY MIDSML 400,      5293.30,      5311.55,      5326.15,      5261.65,      5289.25,-4.05
,NIFTY200 QUALTY30,      9807.30,      9839.70,      9841.60,      9682.30,      9731.65,-75.65
,Nifty IT,     17273.20,     17317.30,     17321.70,     16978.40,     17076.05,-197.15
,Nifty Next 50,     26571.60,     26658.45,     26670.00,     26267.80,     26426.85,-144.75
,Nifty Bank,     22782.00,     23159.00,     23211.35,     22658.20,     22882.60,100.6
,NIFTY MIDCAP 100,     15402.35,     15433.30,     15528.90,     15316.25,     15423.25,20.9
,Nifty 500,      9070.60,      9119.15,      9123.05,      8988.55,      9046.60,-24
,Nifty 100,     11283.90,     11348.95,     11355.00,     11173.95,     11249.45,-34.45
,Nifty Midcap 50,      4283.10,      4291.20,      4329.60,      4252.20,      4288.80,5.7
,Nifty Realty,       201.10,       201.65,       202.05,       197.90,       199.05,-2.05
,Nifty Infra,      3156.75,      3165.85,      3183.50,      3136.60,      3155.75,-1
,Nifty Energy,     15457.35,     15520.10,     15711.75,     15405.55,     15565.40,108.05
,Nifty FMCG,     31280.25,     31420.85,     31422.30,     30946.35,     31051.60,-228.65
,Nifty MNC,     13693.95,     13747.10,     13749.80,     13514.80,     13573.30,-120.65
,Nifty Pharma,     10153.80,     10199.75,     10355.50,     10110.05,     10175.20,21.4
,Nifty PSE,      2588.15,      2596.80,      2630.25,      2571.05,      2587.50,-.65
,Nifty PSU Bank,      1472.10,      1481.70,      1482.90,      1440.60,      1449.20,-22.9
,Nifty Serv Sector,     14864.00,     14974.95,     14992.80,     14679.00,     14784.80,-79.2
,India VIX,24.4275,24.4275,25.8025,23.7300,24.8850,0.4575
,Nifty Auto,      7295.75,      7301.00,      7306.75,      7154.15,      7203.95,-91.8
,Nifty Metal,      2118.60,      2128.55,      2168.70,      2092.75,      2113.95,-4.65
,Nifty Media,      1360.30,      1371.35,      1404.80,      1339.05,      1367.30,7
,NIFTY SMLCAP 100,      4928.05,      4956.80,      4971.80,      4887.25,      4927.65,-.4
,Nifty 200,      5740.70,      5771.55,      5774.20,      5687.60,      5725.85,-14.85
,Nifty Div Opps 50,      2420.30,      2427.15,      2427.75,      2394.60,      2406.10,-14.2
,Nifty Commodities,      3000.45,      3011.55,      3030.10,      2976.45,      2994.55,-5.9
,Nifty Consumption,      4968.85,      4982.00,      4986.60,      4925.75,      4950.80,-18.05
,Nifty Fin Service,     11317.90,     11432.60,     11454.10,     11195.90,     11290.40,-27.5
,Nifty50 Div Point,        31.16,        31.16,        31.16,        31.16,        31.16,0
,Nifty100 Liq 15,      2721.05,      2754.55,      2758.80,      2709.00,      2730.95,9.9
,Nifty CPSE,      1438.80,      1444.25,      1474.25,      1437.35,      1456.25,17.45
,Nifty GrowSect 15,      5514.80,      5548.60,      5556.25,      5440.65,      5483.45,-31.35
,Nifty50 PR 2x Lev,      3968.20,      4016.85,      4017.40,      3893.15,      3946.75,-21.45
,Nifty50 PR 1x Inv,       392.50,       390.10,       396.25,       390.10,       393.60,1.1
,Nifty50 TR 2x Lev,      5225.85,      5289.95,      5290.65,      5127.05,      5197.60,-28.25
,Nifty50 TR 1x Inv,       342.25,       340.15,       345.50,       340.15,       343.20,.95
,Nifty50 Value 20,      5484.85,      5502.35,      5503.20,      5407.65,      5434.80,-50.05
,Nifty Mid Liq 15,      3623.60,      3629.85,      3663.30,      3593.85,      3628.30,4.7
,Nifty Pvt Bank,     12489.45,     12715.15,     12749.75,     12439.95,     12571.40,81.95
,NIFTY100 Qualty30,      2627.60,      2636.65,      2637.45,      2593.35,      2607.60,-20
,Nifty GS 8 13Yr,      2204.87,      2205.26,      2207.47,      2205.26,      2207.26,2.39
,Nifty GS 10Yr,      1999.84,      2000.16,      2002.30,      2000.16,      2002.30,2.46
,Nifty GS 10Yr Cln,       976.89,       976.89,       977.94,       976.89,       977.94,1.05
,Nifty GS 4 8Yr,      2350.64,      2351.05,      2352.24,      2349.87,      2351.07,.43
,Nifty GS 11 15Yr,      2376.70,      2377.13,      2379.67,      2377.13,      2379.55,2.85
,Nifty GS 15YrPlus,      2631.42,      2631.89,      2631.89,      2628.42,      2631.07,-.35
,Nifty GS Compsite,      2248.92,      2249.32,      2250.71,      2249.32,      2250.59,1.67

,ADVANCES,781
,DECLINES,1116
,UNCHANGED,74

,Total securities that have hit their price bands today,419

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,BAJFINANCE,EQ,      3292.45,      3253.00,-1.2,5574.46
,RELIANCE,EQ,      1971.55,      2004.00,1.65,5498.91
,AXISBANK,EQ,       446.20,       478.95,7.34,4223.72
,ICICIBANK,EQ,       378.80,       381.10,0.61,1738.27
,HINDUNILVR,EQ,      2318.00,      2248.50,-3,1574.64
,BAJAJFINSV,EQ,      6384.35,      6347.40,-0.58,1390.74
,HDFCBANK,EQ,      1138.55,      1126.35,-1.07,1390.31
,INFY,EQ,       936.75,       917.90,-2.01,1322.68
,M&MFIN,EQ,       227.90,       153.85,-32.49,1269.68
,SBIN,EQ,       194.40,       192.00,-1.23,1200.1
,MUTHOOTFIN,EQ,      1231.15,      1315.60,6.86,1119.34
,HDFC,EQ,      1883.65,      1881.05,-0.14,1036.94
,TITAN,EQ,      1015.15,      1057.70,4.19,795.06
,INDUSINDBK,EQ,       523.50,       513.55,-1.9,785.27
,M&M,EQ,       588.30,       592.00,0.63,690.11
,MARUTI,EQ,      6130.85,      6003.40,-2.08,687.96
,EICHERMOT,EQ,     20116.65,     19890.55,-1.12,672.08
,ITC,EQ,       192.25,       196.55,2.24,638.91
,TATASTEEL,EQ,       359.15,       350.05,-2.53,635.32
,TCS,EQ,      2225.05,      2190.95,-1.53,629.44
,ZEEL,EQ,       153.75,       157.00,2.11,620.49
,BHARTIARTL,EQ,       567.75,       569.15,0.25,616.95
,BAJAJ-AUTO,EQ,      3004.30,      2985.40,-0.63,608.97
,BPCL,EQ,       464.20,       450.60,-2.93,579.23
,VEDL,EQ,       110.80,       112.10,1.17,577.81

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,AXISBANK,EQ,       478.95,       446.20,7.34
,TITAN,EQ,      1057.70,      1015.15,4.19
,POWERGRID,EQ,       179.65,       173.65,3.46
,NTPC,EQ,        90.35,        88.35,2.26
,ITC,EQ,       196.55,       192.25,2.24

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,HEROMOTOCO,EQ,      2768.00,      2869.15,-3.53
,TATAMOTORS,EQ,       105.15,       108.45,-3.04
,HINDUNILVR,EQ,      2248.50,      2318.00,-3
,BPCL,EQ,       450.60,       464.20,-2.93
,TATASTEEL,EQ,       350.05,       359.15,-2.53

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        30.55,                  1232445.45,40117
,21STCENMGM,EQ,        10.70,                    14785.70,1392
,3IINFOTECH,EQ,         2.60,                  6931378.65,2665396
,3MINDIA,EQ,     21242.85,                 35850460.20,1686
,3PLAND,EQ,         8.10,                        8.10,1
,509GS2022,GS,        91.24,                      456.20,5
,5PAISA,EQ,       403.35,                 32535584.10,83115
,601GS2028,GS,        74.61,                       74.61,1
,63MOONS,BE,        72.45,                  1084638.45,14804
,716GS2050,GS,       111.75,                      223.50,2
,772GS2049,GS,       115.01,                    11501.00,100
,A2ZINFRA,EQ,         4.50,                  1635994.25,372637
,AARON,SM,        45.50,                   901890.00,19800
,AARTIDRUGS,EQ,      1471.45,                 71581528.90,48675
,AARTIIND,EQ,       904.15,                153994133.05,170924
,AARTISURF,BE,       352.10,                   444702.30,1263
,AARVEEDEN,BE,        10.55,                    33620.00,3171
,AARVI,EQ,        32.95,                    41547.50,1265
,AAVAS,EQ,      1285.10,                 34791353.70,27092
,ABAN,EQ,        25.75,                  1025349.40,39419
,ABB,EQ,       925.65,                133537990.90,145317
,ABCAPITAL,EQ,        59.20,                121447756.00,2032106
,ABFRL,EQ,       120.30,                670859968.45,5595280
,ABSLBANETF,EQ,       224.92,                    79084.45,356
,ABSLNN50ET,EQ,       269.89,                     6126.05,23
,ABSLRIF6RG,MF,         5.90,                    14750.00,2500
,ACCELYA,EQ,       972.35,                 48322531.95,49299
,ACCURACY,SM,        37.75,                   302960.00,8000
,ACE,EQ,        58.45,                 10783225.50,183575
,ADANIENT,EQ,       169.40,                776011551.80,4611051
,ADANIGAS,EQ,       150.50,                218457657.75,1442819
,ADANIGREEN,EQ,       336.00,                181756988.85,536991
,ADANIPOWER,EQ,        35.05,                114619263.75,3257659
,ADFFOODS,EQ,       307.70,                 19275102.40,62457
,ADHUNIKIND,BE,        19.75,                   431099.10,21713
,ADORWELD,EQ,       257.10,                  3844026.55,14747
,ADROITINFO,BE,         9.50,                     3231.20,339
,ADSL,EQ,        17.50,                  1145883.10,63806
,ADVANIHOTR,EQ,        41.90,                   183094.40,4350
,ADVENZYMES,EQ,       162.70,                 10730030.15,65644
,AEGISCHEM,EQ,       200.20,                117238924.55,593417
,AFFLE,EQ,      1762.05,                197560340.75,110080
,AGARIND,EQ,        83.30,                   963720.95,11509
,AGCNET,EQ,       324.85,                  5455742.50,16705
,AGRITECH,BE,        29.95,                   220765.35,7468
,AGROPHOS,EQ,        10.95,                   804439.60,71253
,AHLADA,SM,        45.05,                   135050.00,3000
,AHLEAST,EQ,       142.75,                   108503.85,756
,AHLUCONT,EQ,       226.20,                141807195.45,602215
,AHLWEST,EQ,       252.15,                    32503.90,129
,AIAENG,EQ,      1684.70,                 48363272.15,28336
,AIONJSW,EQ,        13.90,                  1145251.15,81285
,AIRAN,BE,        12.70,                   144188.80,11320
,AIROLAM,SM,        20.00,                   246750.00,12000
,AISL,SM,        18.35,                    22020.00,1200
,AJANTPHARM,EQ,      1460.85,                275806238.45,189076
,AJMERA,EQ,        78.70,                  2946311.95,37351
,AJOONI,SM,        13.90,                   548600.00,40000
,AKASH,BE,       149.10,                  1515077.65,10299
,AKSHARCHEM,EQ,       218.10,                 11186758.40,50902
