,03-Aug-2020
The Nifty witnessed an intraday movement of about 175.8 points.The closing index was 1.64 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 58426.95
, Traded Quantity (in Lakhs), 25906.82
, Number of Trades, 16778950
, Total Market Capitalisation (Rs. Crores), 14509648.5

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     11073.45,     11057.55,     11058.05,     10882.25,     10891.60,-181.85
,NIFTY50 EQL Wgt,     11279.95,     11289.05,     11289.05,     11145.45,     11157.05,-122.9
,NIFTY100 EQL Wgt,     12362.40,     12364.60,     12379.80,     12251.55,     12266.60,-95.8
,NIFTY100 LowVol30,      8980.80,      8992.85,      8997.15,      8874.45,      8884.80,-96
,NIFTY Alpha 50,     14805.65,     14857.15,     15010.70,     14845.45,     14879.60,73.95
,NIFTY MIDCAP 150,      5866.70,      5877.55,      5912.60,      5865.05,      5870.40,3.7
,NIFTY SMLCAP 50,      2419.50,      2427.70,      2469.55,      2425.50,      2453.10,33.6
,NIFTY SMLCAP 250,      4320.40,      4331.45,      4379.60,      4325.95,      4367.90,47.5
,NIFTY MIDSML 400,      5311.15,      5322.10,      5356.35,      5317.85,      5331.20,20.05
,NIFTY200 QUALTY30,      9905.20,      9932.00,      9967.05,      9835.60,      9849.00,-56.2
,Nifty IT,     18071.85,     18099.40,     18140.85,     17840.30,     17965.80,-106.05
,Nifty Next 50,     26861.35,     26852.10,     26990.00,     26674.45,     26725.75,-135.6
,Nifty Bank,     21640.05,     21543.80,     21543.80,     21031.45,     21072.10,-567.95
,NIFTY MIDCAP 100,     15471.30,     15495.50,     15606.05,     15451.75,     15468.70,-2.6
,Nifty 500,      9035.75,      9029.60,      9029.80,      8925.05,      8932.05,-103.7
,Nifty 100,     11222.95,     11208.55,     11208.95,     11046.95,     11056.00,-166.95
,Nifty Midcap 50,      4249.05,      4250.75,      4286.25,      4227.30,      4231.30,-17.75
,Nifty Realty,       201.00,       200.45,       201.55,       197.70,       198.55,-2.45
,Nifty Infra,      3153.40,      3147.85,      3148.30,      3110.10,      3113.20,-40.2
,Nifty Energy,     15309.15,     15280.50,     15283.45,     15003.60,     15055.55,-253.6
,Nifty FMCG,     30872.45,     30892.80,     30985.00,     30674.45,     30759.80,-112.65
,Nifty MNC,     13559.85,     13604.00,     13654.15,     13543.10,     13555.45,-4.4
,Nifty Pharma,     11148.90,     11176.30,     11389.95,     11090.65,     11128.40,-20.5
,Nifty PSE,      2485.40,      2489.00,      2489.00,      2461.20,      2469.20,-16.2
,Nifty PSU Bank,      1411.60,      1411.60,      1434.45,      1405.45,      1420.50,8.9
,Nifty Serv Sector,     14499.55,     14467.90,     14467.90,     14184.80,     14216.05,-283.5
,India VIX,24.1925,24.1925,25.6900,23.2625,25.1850,0.9925
,Nifty Auto,      7279.75,      7323.65,      7469.10,      7224.80,      7240.25,-39.5
,Nifty Metal,      2147.30,      2149.10,      2181.55,      2133.40,      2156.15,8.85
,Nifty Media,      1285.10,      1280.65,      1287.85,      1270.20,      1271.95,-13.15
,NIFTY SMLCAP 100,      5010.60,      5024.05,      5082.50,      5012.50,      5062.35,51.75
,Nifty 200,      5715.65,      5710.05,      5710.20,      5635.00,      5639.55,-76.1
,Nifty Div Opps 50,      2398.40,      2399.95,      2399.95,      2377.00,      2381.45,-16.95
,Nifty Commodities,      3020.05,      3021.90,      3022.15,      2989.80,      2994.90,-25.15
,Nifty Consumption,      4945.55,      4961.60,      4983.60,      4908.50,      4913.25,-32.3
,Nifty Fin Service,     10728.85,     10698.75,     10698.75,     10442.55,     10467.20,-261.65
,Nifty50 Div Point,        35.72,        36.11,        36.11,        36.11,        36.11,.39
,Nifty100 Liq 15,      2725.70,      2730.45,      2730.45,      2683.25,      2687.00,-38.7
,Nifty CPSE,      1415.25,      1418.40,      1418.40,      1397.40,      1401.75,-13.5
,Nifty GrowSect 15,      5307.80,      5303.10,      5303.10,      5190.65,      5205.10,-102.7
,Nifty50 PR 2x Lev,      3899.95,      3887.75,      3887.75,      3764.30,      3770.80,-129.15
,Nifty50 PR 1x Inv,       395.80,       396.50,       402.75,       396.50,       402.40,6.6
,Nifty50 TR 2x Lev,      5140.20,      5124.50,      5124.50,      4961.80,      4970.40,-169.8
,Nifty50 TR 1x Inv,       345.00,       345.55,       351.00,       345.55,       350.70,5.7
,Nifty50 Value 20,      5505.85,      5509.80,      5512.90,      5442.25,      5460.95,-44.9
,Nifty Mid Liq 15,      3612.15,      3610.25,      3645.70,      3585.50,      3589.20,-22.95
,Nifty Pvt Bank,     11874.75,     11802.80,     11802.80,     11471.70,     11493.00,-381.75
,NIFTY100 Qualty30,      2635.70,      2640.80,      2644.90,      2609.60,      2612.45,-23.25
,Nifty GS 8 13Yr,      2206.11,      2206.49,      2206.58,      2204.94,      2205.96,-.15
,Nifty GS 10Yr,      2002.06,      2002.38,      2002.83,      2000.75,      2002.23,.17
,Nifty GS 10Yr Cln,       976.25,       976.25,       976.47,       975.44,       976.18,-.07
,Nifty GS 4 8Yr,      2350.15,      2350.56,      2350.56,      2349.87,      2350.02,-.13
,Nifty GS 11 15Yr,      2383.05,      2383.47,      2384.11,      2382.65,      2383.70,.65
,Nifty GS 15YrPlus,      2636.26,      2636.73,      2637.23,      2636.07,      2637.23,.97
,Nifty GS Compsite,      2249.31,      2249.70,      2249.85,      2248.57,      2249.36,.05

,ADVANCES,979
,DECLINES,877
,UNCHANGED,111

,Total securities that have hit their price bands today,534

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,RELIANCE,EQ,      2067.10,      2009.00,-2.81,4374.67
,BANDHANBNK,EQ,       345.10,       308.80,-10.52,3900.46
,TATAMOTORS,EQ,       104.65,       113.05,8.03,2165.95
,HDFCBANK,EQ,      1032.80,      1002.00,-2.98,1601.1
,BAJFINANCE,EQ,      3251.30,      3174.50,-2.36,1426.86
,SBIN,EQ,       191.45,       192.25,0.42,1396.08
,LAURUSLABS,EQ,       933.25,      1006.65,7.86,1359.61
,SUNPHARMA,EQ,       531.70,       519.40,-2.31,1337.25
,MARUTI,EQ,      6262.75,      6165.20,-1.56,1147.39
,DRREDDY,EQ,      4521.05,      4527.45,0.14,1116.24
,ICICIBANK,EQ,       346.80,       343.25,-1.02,1105.88
,AXISBANK,EQ,       431.65,       417.35,-3.31,1004.03
,TCS,EQ,      2281.40,      2254.15,-1.19,905.07
,CIPLA,EQ,       720.15,       710.40,-1.35,896.91
,TITAN,EQ,      1043.25,      1077.35,3.27,824.62
,HDFC,EQ,      1781.95,      1739.80,-2.37,816.38
,INFY,EQ,       966.00,       956.90,-0.94,809.81
,DIVISLAB,EQ,      2616.55,      2641.75,0.96,751.42
,KOTAKBANK,EQ,      1365.75,      1308.55,-4.19,692.26
,INDUSINDBK,EQ,       523.75,       503.05,-3.95,684.07
,UPL,EQ,       478.15,       452.15,-5.44,658.06
,HEROMOTOCO,EQ,      2676.50,      2631.30,-1.69,613.45
,BPCL,EQ,       413.80,       417.80,0.97,594.11
,TORNTPHARM,EQ,      2663.60,      2727.95,2.42,582.64
,BHARTIARTL,EQ,       554.85,       547.35,-1.35,507.6

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,TATAMOTORS,EQ,       113.05,       104.65,8.03
,TITAN,EQ,      1077.35,      1043.25,3.27
,TATASTEEL,EQ,       373.50,       366.30,1.97
,BPCL,EQ,       417.80,       413.80,.97
,EICHERMOT,EQ,     20782.15,     20638.70,.7

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,UPL,EQ,       452.15,       478.15,-5.44
,KOTAKBANK,EQ,      1308.55,      1365.75,-4.19
,INDUSINDBK,EQ,       503.05,       523.75,-3.95
,HDFCLIFE,EQ,       603.00,       627.10,-3.84
,AXISBANK,EQ,       417.35,       431.65,-3.31

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        29.00,                   891062.95,30745
,21STCENMGM,EQ,        10.25,                    53519.15,5139
,3IINFOTECH,EQ,         2.30,                  7117919.50,3050410
,3MINDIA,EQ,     20918.80,                 50561223.35,2410
,3PLAND,EQ,         8.00,                       48.00,6
,5PAISA,EQ,       326.95,                  1344418.40,4112
,63MOONS,BE,        68.55,                   722404.65,10486
,716GS2050,GS,       111.00,                    36438.00,332
,719GS2060,GS,       115.00,                    23242.00,200
,74GS2035,GS,       105.00,                      105.00,1
,757GS2033,GS,       111.50,                    66850.00,600
,772GS2049,GS,       117.00,                    23166.00,198
,A2ZINFRA,EQ,         4.00,                   960307.35,239000
,AARON,SM,        46.90,                   154770.00,3300
,AARTIDRUGS,EQ,      1747.00,                236431286.25,135225
,AARTIIND,EQ,      1013.45,                813768349.40,801212
,AARTISURF,BE,       233.75,                   864407.50,3698
,AARVEEDEN,BE,        10.20,                    57422.20,5637
,AARVI,EQ,        31.65,                    59955.10,1894
,AAVAS,EQ,      1407.25,                 35414777.65,25357
,ABAN,EQ,        24.35,                  1644337.60,68806
,ABB,EQ,       881.60,                107724250.15,119427
,ABCAPITAL,EQ,        55.40,                 99184809.55,1831303
,ABFRL,EQ,       121.20,                 87654403.05,716488
,ABFRLPP,E1,        63.05,                 12179356.00,186412
,ABSLBANETF,EQ,       213.83,                   116814.34,548
,ABSLNN50ET,EQ,       265.09,                    19004.42,71
,ACCELYA,EQ,       990.10,                 26787875.60,27273
,ACCORD,SM,        20.80,                    41600.00,2000
,ACCURACY,SM,        39.40,                   247200.00,6400
,ACE,EQ,        55.90,                  5719275.05,101980
,ADANIENT,EQ,       172.25,                490130909.45,2789132
,ADANIGAS,EQ,       156.50,                335374002.25,2130449
,ADANIGREEN,EQ,       339.80,                145474282.30,425009
,ADANIPOWER,EQ,        35.15,                 44019654.25,1251347
,ADFFOODS,EQ,       340.05,                 19976955.60,59008
,ADHUNIKIND,BE,        19.00,                   138203.20,7433
,ADORWELD,EQ,       245.40,                  1067056.30,4343
,ADSL,EQ,        17.75,                   659178.80,36930
,ADVANIHOTR,EQ,        39.95,                    76383.45,1918
,ADVENZYMES,EQ,       216.60,                689818227.40,3282870
,AEGISCHEM,EQ,       188.20,                 27518477.25,146322
,AFFLE,EQ,      1772.95,                106880688.30,60992
,AGARIND,EQ,        84.95,                  3007924.55,35791
,AGCNET,EQ,       324.90,                  1483299.15,4519
,AGRITECH,BE,        29.40,                    84187.05,2904
,AGROPHOS,EQ,         9.15,                   292657.10,31956
,AHIMSA,SM,        23.00,                   276000.00,12000
,AHLEAST,EQ,       136.30,                    37780.55,274
,AHLUCONT,EQ,       212.95,                  1115583.35,5232
,AHLWEST,EQ,       252.55,                   584621.90,2339
,AIAENG,EQ,      1637.15,                 36259253.20,22146
,AIONJSW,EQ,        12.90,                  1973148.25,150342
,AIRAN,BE,        11.85,                   328842.90,27701
,AJANTPHARM,EQ,      1647.40,               2066481643.95,1229327
,AJMERA,EQ,        75.95,                  2734071.40,35843
,AJOONI,SM,        18.45,                  1257600.00,68000
,AKASH,BE,       161.15,                   163252.25,1009
,AKSHARCHEM,EQ,       232.95,                 16052124.15,68071
,AKSHOPTFBR,BE,         4.95,                   502752.30,101157
