,11-Aug-2020
The Nifty witnessed an intraday movement of about 74.45 points.The closing index was 0.46 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 58119.35
, Traded Quantity (in Lakhs), 25845.95
, Number of Trades, 17238539
, Total Market Capitalisation (Rs. Crores), 15098138.84

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     11270.15,     11322.25,     11373.60,     11299.15,     11322.50,52.35
,NIFTY50 EQL Wgt,     11583.45,     11637.15,     11688.70,     11590.25,     11601.40,17.95
,NIFTY100 EQL Wgt,     12687.35,     12746.25,     12776.25,     12655.15,     12664.40,-22.95
,NIFTY100 LowVol30,      9094.15,      9141.45,      9178.25,      9071.05,      9082.70,-11.45
,NIFTY Alpha 50,     15665.80,     15749.45,     15779.40,     15421.95,     15438.45,-227.35
,NIFTY MIDCAP 150,      6176.55,      6212.40,      6222.30,      6148.60,      6154.30,-22.25
,NIFTY SMLCAP 50,      2598.00,      2619.75,      2623.35,      2588.85,      2592.10,-5.9
,NIFTY SMLCAP 250,      4614.30,      4654.15,      4665.35,      4624.70,      4628.75,14.45
,NIFTY MIDSML 400,      5616.15,      5653.60,      5660.40,      5602.60,      5607.45,-8.7
,NIFTY200 QUALTY30,     10091.55,     10130.55,     10196.90,     10072.15,     10080.85,-10.7
,Nifty FinSrv25 50,     10942.75,     11008.65,     11089.85,     10992.80,     11010.35,67.6
,NIFTY AlphaLowVol,     11871.45,     11916.10,     11940.30,     11788.25,     11802.20,-69.25
,Nifty IT,     18159.55,     18202.50,     18331.65,     18036.50,     18057.10,-102.45
,Nifty Next 50,     27526.05,     27658.20,     27692.25,     27372.35,     27392.05,-134
,Nifty Bank,     21900.25,     22050.20,     22277.60,     22039.85,     22227.20,326.95
,NIFTY MIDCAP 100,     16312.70,     16408.50,     16438.55,     16242.70,     16256.70,-56
,Nifty 500,      9268.55,      9315.15,      9346.90,      9283.00,      9291.00,22.45
,Nifty 100,     11433.00,     11486.15,     11531.50,     11455.95,     11471.25,38.25
,Nifty Midcap 50,      4478.50,      4502.20,      4510.25,      4473.80,      4480.15,1.65
,Nifty Realty,       209.75,       210.95,       211.40,       208.35,       208.60,-1.15
,Nifty Infra,      3199.15,      3214.55,      3221.50,      3187.45,      3196.80,-2.35
,Nifty Energy,     15515.35,     15608.30,     15705.30,     15499.60,     15588.25,72.9
,Nifty FMCG,     31621.75,     31730.10,     32155.50,     31725.60,     31767.75,146
,Nifty MNC,     13973.05,     14031.00,     14044.70,     13931.25,     13940.30,-32.75
,Nifty Pharma,     11941.40,     12021.85,     12045.30,     11712.40,     11772.25,-169.15
,Nifty PSE,      2513.55,      2528.80,      2551.30,      2513.55,      2517.40,3.85
,Nifty PSU Bank,      1437.90,      1434.10,      1447.10,      1423.55,      1438.85,.95
,Nifty Serv Sector,     14609.45,     14672.80,     14783.90,     14670.10,     14691.30,81.85
,India VIX,22.5100,22.5100,22.5100,20.2150,21.3600,-1.1500
,Nifty Auto,      7621.30,      7675.40,      7699.05,      7618.30,      7630.35,9.05
,Nifty Metal,      2332.00,      2349.65,      2407.95,      2349.65,      2370.65,38.65
,Nifty Media,      1339.75,      1346.40,      1376.50,      1345.25,      1366.40,26.65
,NIFTY SMLCAP 100,      5351.15,      5401.70,      5410.05,      5364.90,      5371.00,19.85
,Nifty 200,      5844.25,      5872.20,      5894.00,      5854.15,      5859.50,15.25
,Nifty Div Opps 50,      2428.20,      2438.90,      2458.90,      2433.95,      2436.15,7.95
,Nifty Commodities,      3110.85,      3124.25,      3139.80,      3106.30,      3110.95,.1
,Nifty Consumption,      5068.75,      5083.40,      5118.30,      5064.55,      5069.85,1.1
,Nifty Fin Service,     10913.80,     10981.25,     11071.85,     10978.30,     11030.20,116.4
,Nifty50 Div Point,        41.78,        41.78,        41.78,        41.78,        41.78,0
,Nifty100 Liq 15,      2795.35,      2811.45,      2830.45,      2796.85,      2810.70,15.35
,Nifty CPSE,      1442.15,      1452.60,      1462.40,      1437.90,      1440.00,-2.15
,Nifty GrowSect 15,      5430.60,      5468.15,      5507.35,      5466.90,      5482.55,51.95
,Nifty50 PR 2x Lev,      4033.30,      4070.25,      4106.45,      4053.75,      4070.45,37.15
,Nifty50 PR 1x Inv,       388.95,       387.20,       388.00,       385.45,       387.20,-1.75
,Nifty50 TR 2x Lev,      5321.75,      5370.50,      5418.25,      5348.75,      5370.75,49
,Nifty50 TR 1x Inv,       338.80,       337.30,       338.00,       335.75,       337.30,-1.5
,Nifty50 Value 20,      5542.60,      5561.20,      5623.30,      5560.40,      5566.40,23.8
,Nifty Mid Liq 15,      3916.60,      3938.85,      3945.10,      3902.25,      3909.50,-7.1
,Nifty Pvt Bank,     11969.90,     12059.25,     12195.95,     12050.40,     12169.90,200
,NIFTY100 Qualty30,      2666.55,      2676.30,      2692.55,      2663.30,      2665.60,-.95
,Nifty GS 8 13Yr,      2200.62,      2201.00,      2202.78,      2200.56,      2201.08,.46
,Nifty GS 10Yr,      1995.02,      1995.34,      1995.95,      1993.54,      1993.54,-1.48
,Nifty GS 10Yr Cln,       971.53,       971.53,       971.82,       970.65,       970.65,-.88
,Nifty GS 4 8Yr,      2343.02,      2343.43,      2345.30,      2343.43,      2343.61,.59
,Nifty GS 11 15Yr,      2373.80,      2374.22,      2376.66,      2373.82,      2375.37,1.57
,Nifty GS 15YrPlus,      2620.75,      2621.22,      2621.35,      2620.85,      2620.85,.1
,Nifty GS Compsite,      2243.01,      2243.40,      2245.17,      2243.13,      2243.45,.44

,ADVANCES,1060
,DECLINES,831
,UNCHANGED,91

,Total securities that have hit their price bands today,461

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,RELIANCE,EQ,      2119.85,      2133.80,0.66,4610.34
,BAJFINANCE,EQ,      3442.95,      3457.40,0.42,1920.57
,ICICIBANK,EQ,       363.55,       367.35,1.05,1675.46
,AXISBANK,EQ,       431.10,       448.00,3.92,1351.65
,BANDHANBNK,EQ,       301.40,       300.60,-0.27,1195.41
,TITAN,EQ,      1107.55,      1066.25,-3.73,1193.66
,CIPLA,EQ,       795.60,       778.00,-2.21,1162.13
,ITC,EQ,       198.85,       203.05,2.11,1129.55
,TATASTEEL,EQ,       410.20,       416.45,1.52,1090.32
,HDFCBANK,EQ,      1050.65,      1066.65,1.52,1070.16
,HDFC,EQ,      1798.95,      1826.75,1.55,906.99
,SBIN,EQ,       193.80,       195.05,0.64,856.8
,DIVISLAB,EQ,      3117.80,      3131.45,0.44,853.3
,IBULHSGFIN,EQ,       204.70,       214.70,4.89,799.63
,ZEEL,EQ,       151.20,       159.75,5.65,738.27
,INFY,EQ,       951.35,       948.45,-0.3,648.57
,TCS,EQ,      2282.80,      2279.90,-0.13,635.42
,TATAMOTORS,EQ,       123.85,       122.30,-1.25,618.39
,INDUSINDBK,EQ,       509.35,       522.00,2.48,605.63
,DRREDDY,EQ,      4690.90,      4595.90,-2.03,596.9
,MARUTI,EQ,      6608.90,      6649.20,0.61,586.35
,LUPIN,EQ,       957.95,       957.50,-0.05,575.49
,MOTHERSUMI,EQ,       104.90,       107.65,2.62,562.45
,JINDALSTEL,EQ,       201.60,       211.05,4.69,562.13
,HINDALCO,EQ,       178.60,       178.95,0.2,556.11

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,ZEEL,EQ,       159.75,       151.20,5.65
,AXISBANK,EQ,       448.00,       431.10,3.92
,JSWSTEEL,EQ,       253.75,       245.20,3.49
,BPCL,EQ,       429.25,       415.15,3.4
,INDUSINDBK,EQ,       522.00,       509.35,2.48

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,SHREECEM,EQ,     21551.60,     22396.40,-3.77
,TITAN,EQ,      1066.25,      1107.55,-3.73
,UPL,EQ,       481.90,       494.30,-2.51
,CIPLA,EQ,       778.00,       795.60,-2.21
,DRREDDY,EQ,      4595.90,      4690.90,-2.03

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        32.55,                  7230258.75,226143
,21STCENMGM,EQ,        10.30,                   135301.90,13293
,3IINFOTECH,EQ,         2.55,                 25266658.55,9923625
,3MINDIA,EQ,     21752.15,                 61288009.40,2791
,3PLAND,EQ,         6.90,                    27222.50,3945
,5PAISA,EQ,       360.00,                 14379475.95,39816
,63MOONS,BE,        81.05,                  1619135.85,19977
,716GS2050,GS,       112.00,                    15671.50,140
,719GS2060,GS,       113.40,                    26080.00,230
,732GS2024,GS,       109.00,                      545.00,5
,762GS2039,GS,       113.20,                   110812.00,1055
,769GS2043,GS,       112.00,                    90621.40,811
,772GS2049,GS,       118.00,                    11803.00,105
,813GS2045,GS,       120.00,                      600.00,5
,A2ZINFRA,EQ,         4.20,                  1223133.40,290266
,AARON,SM,        44.60,                   588720.00,13200
,AARTIDRUGS,EQ,      2182.55,                414076020.80,186729
,AARTIIND,EQ,      1026.65,                315804159.60,302912
,AARTISURF,BE,       313.10,                  1525110.10,4871
,AARVEEDEN,BE,        10.00,                    33330.25,3315
,AARVI,EQ,        32.90,                     8887.45,282
,AAVAS,EQ,      1395.80,                 55781607.50,39264
,ABAN,EQ,        26.05,                  3629323.75,139475
,ABB,EQ,       903.40,                150435969.50,165785
,ABCAPITAL,EQ,        59.05,                119057266.80,1994917
,ABFRL,EQ,       118.00,                132592296.65,1118533
,ABFRLPP,E1,        63.95,                  1666958.45,25957
,ABMINTLTD,BE,        16.05,                       32.20,2
,ABSLBANETF,EQ,       218.15,                    32881.96,151
,ABSLNN50ET,EQ,       288.00,                     2016.00,7
,ACCELYA,EQ,      1031.50,                 52780952.95,50646
,ACCURACY,SM,        40.00,                   321920.00,8000
,ACE,EQ,        57.25,                 11341392.55,196438
,ADANIENT,EQ,       195.85,                583900555.10,2965963
,ADANIGAS,EQ,       158.85,                160987262.00,998797
,ADANIGREEN,EQ,       360.65,                214062792.75,586768
,ADANIPOWER,EQ,        37.65,                188129516.35,4917397
,ADFFOODS,EQ,       384.25,                 87194941.40,218978
,ADHUNIKIND,BE,        19.30,                   171930.15,8933
,ADORWELD,EQ,       265.15,                  6183880.20,23378
,ADROITINFO,BE,         7.75,                     1193.25,156
,ADSL,EQ,        18.75,                   842633.55,44505
,ADVANIHOTR,EQ,        43.15,                   260828.05,6086
,ADVENZYMES,EQ,       209.75,                 98924434.65,462711
,AEGISCHEM,EQ,       203.35,                 25754683.45,125076
,AFFLE,EQ,      2174.55,                769210980.10,350949
,AGARIND,EQ,       100.95,                  4392560.05,44223
,AGCNET,EQ,       311.40,                  2588295.35,8024
,AGRITECH,BE,        31.80,                   303358.55,9222
,AGROPHOS,EQ,        12.15,                   792018.40,65307
,AHLEAST,EQ,       141.80,                  2022294.80,14187
,AHLUCONT,EQ,       229.45,                  1883021.15,8214
,AHLWEST,EQ,       263.15,                   133331.95,502
,AIAENG,EQ,      1603.25,                199671388.90,122078
,AIONJSW,EQ,        15.15,                  4161019.15,278165
,AIRAN,BE,        12.00,                   207227.70,17177
,AJANTPHARM,EQ,      1676.70,                252815419.95,148933
,AJMERA,EQ,        80.65,                  4875989.25,59855
,AJOONI,SM,        23.45,                  2313000.00,100000
,AKASH,BE,       181.25,                  4227456.90,24116
,AKG,SM,        40.50,                   162000.00,4000
,AKSHARCHEM,EQ,       239.95,                 46101773.95,187609
,AKSHOPTFBR,BE,         5.30,                   690505.25,130678
,AKZOINDIA,EQ,      1993.70,                148603378.20,75232
