,24-Aug-2020
The Nifty witnessed an intraday movement of about 86.6 points.The closing index was 0.83 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 56902.49
, Traded Quantity (in Lakhs), 31629.32
, Number of Trades, 17883525
, Total Market Capitalisation (Rs. Crores), 15499380.93

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     11371.60,     11412.00,     11497.25,     11410.65,     11466.45,94.85
,NIFTY50 EQL Wgt,     11905.05,     11962.70,     11991.35,     11931.70,     11947.95,42.9
,NIFTY100 EQL Wgt,     12983.40,     13055.60,     13078.15,     12998.95,     13013.80,30.4
,NIFTY100 LowVol30,      9266.35,      9297.10,      9310.55,      9248.95,      9261.90,-4.45
,NIFTY Alpha 50,     15616.10,     15723.60,     15945.75,     15717.75,     15899.10,283
,NIFTY MIDCAP 150,      6446.75,      6490.55,      6532.60,      6488.00,      6504.45,57.7
,NIFTY SMLCAP 50,      2741.55,      2766.20,      2791.25,      2762.65,      2780.05,38.5
,NIFTY SMLCAP 250,      4915.95,      4965.05,      5006.65,      4961.40,      4990.55,74.6
,NIFTY MIDSML 400,      5899.00,      5944.90,      5986.25,      5942.95,      5963.20,64.2
,NIFTY200 QUALTY30,     10373.40,     10410.20,     10451.10,     10366.35,     10380.50,7.1
,Nifty FinSrv25 50,     10998.15,     11052.30,     11205.00,     11044.20,     11159.85,161.7
,NIFTY AlphaLowVol,     12001.20,     12054.20,     12070.15,     11963.35,     11973.90,-27.3
,Nifty IT,     18065.30,     18092.55,     18112.90,     17915.60,     18010.95,-54.35
,Nifty Next 50,     27772.45,     27926.50,     27956.70,     27754.20,     27776.45,4
,Nifty Bank,     22299.60,     22436.85,     22897.50,     22410.05,     22833.00,533.4
,NIFTY MIDCAP 100,     16982.20,     17091.80,     17176.85,     17084.55,     17101.45,119.25
,Nifty 500,      9423.55,      9466.80,      9523.40,      9465.70,      9498.35,74.8
,Nifty 100,     11535.80,     11579.95,     11648.50,     11578.50,     11619.15,83.35
,Nifty Midcap 50,      4711.05,      4739.60,      4767.20,      4734.20,      4741.10,30.05
,Nifty Realty,       224.05,       225.75,       227.85,       221.45,       221.80,-2.25
,Nifty Infra,      3260.75,      3273.70,      3285.75,      3249.00,      3260.20,-.55
,Nifty Energy,     16085.35,     16171.90,     16243.40,     15974.15,     16071.00,-14.35
,Nifty FMCG,     31604.40,     31692.25,     31799.40,     31606.80,     31642.00,37.6
,Nifty MNC,     14269.85,     14352.85,     14407.55,     14323.90,     14343.45,73.6
,Nifty Pharma,     11614.90,     11681.95,     11696.45,     11508.30,     11572.25,-42.65
,Nifty PSE,      2675.40,      2689.85,      2698.30,      2655.40,      2660.90,-14.5
,Nifty PSU Bank,      1483.75,      1502.40,      1505.40,      1479.75,      1486.80,3.05
,Nifty Serv Sector,     14736.90,     14787.45,     14974.20,     14781.00,     14932.95,196.05
,India VIX,19.9375,19.9375,20.0675,17.8875,19.2300,-0.7075
,Nifty Auto,      7934.70,      7972.70,      8062.95,      7932.50,      7948.40,13.7
,Nifty Metal,      2523.60,      2545.75,      2552.25,      2521.20,      2526.10,2.5
,Nifty Media,      1575.90,      1592.00,      1609.25,      1579.80,      1586.40,10.5
,NIFTY SMLCAP 100,      5659.45,      5713.70,      5772.40,      5709.70,      5754.15,94.7
,Nifty 200,      5917.35,      5941.75,      5975.45,      5941.00,      5959.95,42.6
,Nifty Div Opps 50,      2496.75,      2504.00,      2507.95,      2485.70,      2489.75,-7
,Nifty Commodities,      3265.20,      3285.40,      3299.95,      3268.40,      3274.30,9.1
,Nifty Consumption,      5174.15,      5188.10,      5202.40,      5177.45,      5187.35,13.2
,Nifty Fin Service,     11025.75,     11080.00,     11301.75,     11069.25,     11256.60,230.85
,Nifty50 Div Point,        47.75,        47.75,        47.75,        47.75,        47.75,0
,Nifty100 Liq 15,      2833.15,      2846.80,      2864.65,      2832.40,      2858.75,25.6
,Nifty CPSE,      1568.95,      1576.40,      1581.00,      1552.95,      1561.90,-7.05
,Nifty GrowSect 15,      5484.40,      5507.75,      5591.75,      5505.35,      5574.40,90
,Nifty50 PR 2x Lev,      4100.50,      4128.65,      4189.80,      4128.65,      4167.90,67.4
,Nifty50 PR 1x Inv,       385.70,       384.45,       384.45,       381.55,       382.60,-3.1
,Nifty50 TR 2x Lev,      5416.15,      5453.30,      5534.05,      5453.30,      5505.15,89
,Nifty50 TR 1x Inv,       335.80,       334.70,       334.70,       332.20,       333.10,-2.7
,Nifty50 Value 20,      5669.35,      5683.25,      5692.10,      5650.35,      5658.10,-11.25
,Nifty Mid Liq 15,      4095.75,      4112.55,      4159.75,      4109.95,      4145.25,49.5
,Nifty Pvt Bank,     12185.80,     12262.00,     12527.10,     12249.40,     12484.50,298.7
,NIFTY100 Qualty30,      2722.30,      2731.15,      2744.70,      2730.10,      2733.70,11.4
,Nifty GS 8 13Yr,      2178.23,      2178.61,      2178.61,      2162.04,      2162.04,-16.19
,Nifty GS 10Yr,      1967.97,      1968.29,      1968.29,      1954.00,      1954.00,-13.97
,Nifty GS 10Yr Cln,       956.30,       956.30,       956.30,       949.33,       949.33,-6.97
,Nifty GS 4 8Yr,      2327.77,      2328.18,      2328.18,      2318.26,      2319.07,-8.7
,Nifty GS 11 15Yr,      2350.49,      2350.91,      2350.91,      2330.72,      2331.22,-19.27
,Nifty GS 15YrPlus,      2575.13,      2575.60,      2575.73,      2572.21,      2572.21,-2.92
,Nifty GS Compsite,      2222.82,      2223.21,      2223.21,      2208.92,      2209.14,-13.68

,ADVANCES,1068
,DECLINES,860
,UNCHANGED,96

,Total securities that have hit their price bands today,485

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,RELIANCE,EQ,      2081.85,      2095.75,0.67,3156.07
,EICHERMOT,EQ,     21702.40,      2176.45,-89.97,2609.79
,BAJFINANCE,EQ,      3389.30,      3492.05,3.03,2153.06
,HDFCBANK,EQ,      1085.65,      1117.05,2.89,2045.86
,BHARTIARTL,EQ,       520.25,       526.90,1.28,1508.95
,ZEEL,EQ,       192.05,       201.60,4.97,1494.05
,ICICIBANK,EQ,       371.15,       380.35,2.48,1244.05
,SBIN,EQ,       198.40,       201.45,1.54,1081.42
,KOTAKBANK,EQ,      1339.40,      1387.25,3.57,834.06
,AXISBANK,EQ,       440.45,       445.80,1.21,810.9
,JUBLFOOD,EQ,      1978.05,      2123.80,7.37,810.09
,ASIANPAINT,EQ,      1958.00,      1962.15,0.21,786.3
,INDUSINDBK,EQ,       513.55,       529.15,3.04,784.41
,HDFC,EQ,      1804.05,      1829.85,1.43,699.94
,MARUTI,EQ,      6973.00,      7082.50,1.57,676.48
,INFY,EQ,       948.80,       947.40,-0.15,548.68
,NTPC,EQ,       105.95,       105.40,-0.52,518.69
,HEROMOTOCO,EQ,      3033.45,      3015.05,-0.61,518.66
,YESBANK,EQ,        15.55,        14.80,-4.82,494.74
,DEEPAKNTR,EQ,       649.60,       753.80,16.04,492.54
,TCS,EQ,      2248.60,      2248.10,-0.02,486.72
,IDEA,EQ,         8.50,         9.10,7.06,478.72
,DLF,EQ,       161.70,       157.70,-2.47,464.44
,LUPIN,EQ,       981.40,       970.10,-1.15,423.68
,LAURUSLABS,EQ,      1140.85,      1189.60,4.27,398.3

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,ZEEL,EQ,       201.60,       192.05,4.97
,KOTAKBANK,EQ,      1387.25,      1339.40,3.57
,INDUSINDBK,EQ,       529.15,       513.55,3.04
,BAJFINANCE,EQ,      3492.05,      3389.30,3.03
,HDFCBANK,EQ,      1117.05,      1085.65,2.89

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,POWERGRID,EQ,       185.25,       189.10,-2.04
,ADANIPORTS,EQ,       349.00,       354.35,-1.51
,HINDALCO,EQ,       193.30,       196.25,-1.5
,TECHM,EQ,       722.50,       732.60,-1.38
,M&M,EQ,       601.95,       609.80,-1.29

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        31.55,                  2371236.20,74585
,21STCENMGM,EQ,        10.65,                    57415.00,5463
,3IINFOTECH,EQ,         3.65,                  1639196.75,449095
,3MINDIA,EQ,     20927.35,                121352213.05,5773
,3PLAND,EQ,         6.70,                    10552.50,1575
,5PAISA,BE,       351.15,                  2462362.20,7094
,63MOONS,EQ,        82.45,                  3279673.70,39433
,719GS2060,GS,       112.29,                    11229.00,100
,727GS2026,GS,       109.00,                    10900.00,100
,732GS2024,GS,       109.50,                    32193.00,294
,762GS2039,GS,       118.82,                    11882.00,100
,A2ZINFRA,EQ,         4.80,                   782822.40,163088
,AAKASH,SM,        42.25,                   846750.00,21000
,AARON,SM,        50.25,                   331650.00,6600
,AARTIDRUGS,EQ,      3447.05,               3827507786.95,1130266
,AARTIIND,EQ,      1173.10,               1223901943.80,1024339
,AARTISURF,BE,       485.50,                  3938376.00,8112
,AARVEEDEN,EQ,        12.40,                   365570.80,29744
,AARVI,EQ,        44.40,                   144567.35,3264
,AAVAS,EQ,      1462.80,                117764358.65,78309
,ABAN,EQ,        28.95,                  3679761.60,125167
,ABB,EQ,       971.25,                 90743220.15,92187
,ABCAPITAL,EQ,        62.15,                105457925.85,1687965
,ABFRL,EQ,       149.50,                346556858.65,2331922
,ABFRLPP,E1,        92.00,                  9449983.95,103214
,ABMINTLTD,BE,        24.60,                     2484.60,101
,ABSLBANETF,EQ,       226.81,                    40454.81,182
,ABSLNN50ET,EQ,       290.97,                    38581.71,130
,ABSLRIF6RG,MF,         5.76,                    28800.00,5000
,ACCELYA,EQ,      1047.10,                 13222203.25,12617
,ACCORD,SM,        25.50,                   102000.00,4000
,ACCURACY,SM,        39.00,                    62400.00,1600
,ACE,EQ,        69.40,                 20819703.65,296065
,ADANIENT,EQ,       248.70,               2906831514.75,11879433
,ADANIGAS,EQ,       171.15,                433997733.35,2553690
,ADANIGREEN,EQ,       414.20,                894797203.90,2209231
,ADANIPOWER,EQ,        38.40,                185216868.95,4747208
,ADFFOODS,EQ,       375.20,                 18692609.10,49746
,ADHUNIKIND,EQ,        20.70,                   797446.35,38451
,ADORWELD,EQ,       279.15,                  7326560.10,26221
,ADROITINFO,BE,         7.00,                    14897.20,2121
,ADSL,EQ,        24.00,                  3237428.45,135151
,ADVANIHOTR,EQ,        46.55,                   333094.95,7120
,ADVENZYMES,EQ,       239.75,                209412713.45,864572
,AEGISCHEM,EQ,       205.35,                156271492.80,769626
,AFFLE,EQ,      2546.70,                710256704.30,283865
,AGARIND,EQ,       115.65,                  5207217.40,44474
,AGCNET,EQ,       368.95,                 31316517.95,86177
,AGRITECH,EQ,        36.00,                   811500.45,22820
,AGROPHOS,EQ,        11.10,                   355137.55,32426
,AHLADA,SM,        45.00,                   135000.00,3000
,AHLEAST,EQ,       153.65,                   229862.90,1497
,AHLUCONT,EQ,       250.10,                  1063596.10,4244
,AHLWEST,EQ,       266.10,                   866415.45,3234
,AIAENG,EQ,      1803.45,                 75897029.15,42482
,AIONJSW,EQ,        19.20,                 26641390.35,1337061
,AIRAN,EQ,        12.90,                   602624.85,46774
,AISL,SM,        21.55,                    25860.00,1200
,AJANTPHARM,EQ,      1611.10,                163387788.80,101255
,AJMERA,EQ,        89.00,                 15759476.15,174759
,AJOONI,SM,        34.90,                  2350000.00,68000
,AKASH,BE,       207.75,                   841908.40,4038
,AKG,SM,        41.00,                   810000.00,20000
