,14-Sep-2020
The Nifty witnessed an intraday movement of about 185.35 points.The closing index was 0.21 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 63661.79
, Traded Quantity (in Lakhs), 28439.39
, Number of Trades, 20222512
, Total Market Capitalisation (Rs. Crores), 15577110.4

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     11464.45,     11540.15,     11568.90,     11383.55,     11440.05,-24.4
,NIFTY50 EQL Wgt,     11840.30,     11920.40,     11961.45,     11805.75,     11857.75,17.45
,NIFTY100 EQL Wgt,     12801.30,     12888.85,     12912.25,     12761.15,     12809.60,8.3
,NIFTY100 LowVol30,      9117.55,      9180.00,      9243.10,      9138.95,      9186.20,68.65
,NIFTY Alpha 50,     16199.20,     16393.30,     16770.90,     16369.95,     16677.80,478.6
,NIFTY MIDCAP 150,      6408.05,      6485.10,      6620.55,      6482.40,      6582.85,174.8
,NIFTY SMLCAP 50,      2765.25,      2805.85,      2941.15,      2805.65,      2933.10,167.85
,NIFTY SMLCAP 250,      4861.20,      4934.85,      5117.65,      4934.50,      5107.90,246.7
,NIFTY MIDSML 400,      5854.15,      5930.15,      6082.20,      5929.00,      6056.00,201.85
,NIFTY200 QUALTY30,     10294.20,     10367.00,     10476.55,     10346.25,     10428.50,134.3
,Nifty FinSrv25 50,     10885.40,     10979.75,     10998.15,     10720.35,     10743.75,-141.65
,NIFTY AlphaLowVol,     11876.95,     11944.45,     12015.55,     11896.05,     11962.65,85.7
,Nifty IT,     18633.25,     18804.85,     19592.30,     18799.55,     19505.10,871.85
,Nifty Next 50,     27288.50,     27459.20,     27508.25,     27165.75,     27256.00,-32.5
,Nifty Bank,     22479.95,     22683.35,     22757.30,     22028.15,     22101.25,-378.7
,NIFTY MIDCAP 100,     16765.80,     16968.20,     17322.40,     16960.40,     17206.50,440.7
,Nifty 500,      9446.40,      9520.00,      9577.85,      9446.85,      9493.30,46.9
,Nifty 100,     11589.65,     11665.65,     11690.00,     11512.05,     11566.45,-23.2
,Nifty Midcap 50,      4644.85,      4691.50,      4773.80,      4689.25,      4740.10,95.25
,Nifty Realty,       214.95,       216.95,       226.30,       216.85,       222.95,8
,Nifty Infra,      3201.75,      3217.85,      3230.30,      3168.35,      3182.10,-19.65
,Nifty Energy,     15942.30,     16010.70,     16092.40,     15765.50,     15829.15,-113.15
,Nifty FMCG,     30972.25,     31151.85,     31153.80,     30669.25,     30760.50,-211.75
,Nifty MNC,     14097.40,     14200.10,     14264.70,     14162.10,     14207.50,110.1
,Nifty Pharma,     11313.30,     11361.45,     11376.55,     11186.50,     11233.30,-80
,Nifty PSE,      2465.50,      2484.00,      2490.60,      2451.75,      2458.75,-6.75
,Nifty PSU Bank,      1442.20,      1454.80,      1459.95,      1429.10,      1435.00,-7.2
,Nifty Serv Sector,     14737.05,     14865.55,     14954.55,     14665.80,     14749.20,12.15
,India VIX,20.7125,20.7125,21.7400,17.5325,21.1900,0.4775
,Nifty Auto,      7956.80,      7998.45,      8094.40,      7955.10,      8035.35,78.55
,Nifty Metal,      2384.30,      2401.45,      2416.50,      2375.50,      2387.05,2.75
,Nifty Media,      1629.95,      1652.75,      1675.10,      1649.75,      1658.85,28.9
,NIFTY SMLCAP 100,      5650.15,      5730.60,      5972.20,      5729.55,      5957.75,307.6
,Nifty 200,      5933.45,      5975.95,      5998.35,      5912.25,      5940.05,6.6
,Nifty Div Opps 50,      2424.80,      2441.90,      2462.25,      2436.80,      2451.80,27
,Nifty Commodities,      3189.10,      3206.55,      3228.95,      3188.10,      3202.00,12.9
,Nifty Consumption,      5140.15,      5170.75,      5170.95,      5098.00,      5118.85,-21.3
,Nifty Fin Service,     10966.95,     11056.40,     11086.00,     10754.45,     10782.65,-184.3
,Nifty50 Div Point,        53.27,        53.78,        53.78,        53.78,        53.78,.51
,Nifty100 Liq 15,      2814.60,      2835.75,      2839.00,      2763.35,      2773.60,-41
,Nifty CPSE,      1410.55,      1425.90,      1434.05,      1411.80,      1415.10,4.55
,Nifty GrowSect 15,      5418.00,      5453.95,      5459.75,      5324.45,      5340.00,-78
,Nifty50 PR 2x Lev,      4154.35,      4208.10,      4227.05,      4094.75,      4135.60,-18.75
,Nifty50 PR 1x Inv,       382.80,       380.35,       385.60,       379.50,       383.70,.9
,Nifty50 TR 2x Lev,      5492.50,      5564.05,      5589.05,      5414.20,      5468.15,-24.35
,Nifty50 TR 1x Inv,       333.10,       331.00,       335.55,       330.25,       333.90,.8
,Nifty50 Value 20,      5584.20,      5628.10,      5712.25,      5615.60,      5687.20,103
,Nifty Mid Liq 15,      4057.75,      4104.95,      4161.25,      4092.30,      4126.35,68.6
,Nifty Pvt Bank,     12372.40,     12480.50,     12540.25,     12163.05,     12205.50,-166.9
,NIFTY100 Qualty30,      2717.85,      2737.30,      2757.70,      2728.45,      2742.70,24.85
,Nifty GS 8 13Yr,      2193.00,      2193.37,      2193.79,      2189.45,      2191.23,-1.77
,Nifty GS 10Yr,      1979.72,      1980.04,      1980.88,      1973.97,      1979.88,.16
,Nifty GS 10Yr Cln,       958.89,       958.89,       959.30,       955.93,       958.81,-.08
,Nifty GS 4 8Yr,      2321.02,      2321.40,      2324.75,      2320.53,      2323.69,2.67
,Nifty GS 11 15Yr,      2370.06,      2370.49,      2372.60,      2367.77,      2371.10,1.04
,Nifty GS 15YrPlus,      2573.75,      2574.22,      2574.22,      2573.41,      2574.22,.47
,Nifty GS Compsite,      2232.77,      2233.15,      2234.21,      2230.03,      2232.55,-.22

,ADVANCES,1320
,DECLINES,561
,UNCHANGED,108

,Total securities that have hit their price bands today,449

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,RELIANCE,EQ,      2319.75,      2302.55,-0.74,4725.09
,HCLTECH,EQ,       721.65,       794.95,10.16,2532.04
,BHARTIARTL,EQ,       491.65,       474.10,-3.57,2496.7
,INFY,EQ,       945.70,       978.40,3.46,2134.79
,TCS,EQ,      2374.10,      2491.40,4.94,1838.57
,BAJFINANCE,EQ,      3544.40,      3440.70,-2.93,1581.04
,SBIN,EQ,       202.70,       198.50,-2.07,1282.65
,TATAMOTORS,EQ,       144.30,       148.55,2.95,1254.17
,HDFCBANK,EQ,      1078.65,      1057.95,-1.92,1161.82
,WIPRO,EQ,       293.30,       307.20,4.74,1151.42
,ICICIBANK,EQ,       370.50,       363.70,-1.84,994.96
,AXISBANK,EQ,       447.20,       440.55,-1.49,788.79
,MARUTI,EQ,      7193.60,      7128.85,-0.9,717.7
,HDFC,EQ,      1768.15,      1738.00,-1.71,714.51
,TECHM,EQ,       765.15,       790.75,3.35,710.47
,ASHOKLEY,EQ,        68.15,        74.80,9.76,672.77
,ESCORTS,EQ,      1198.60,      1246.50,4,660.57
,ITC,EQ,       183.95,       183.35,-0.33,569.53
,INDUSINDBK,EQ,       610.35,       609.35,-0.16,569.25
,INDIGO,EQ,      1294.45,      1321.15,2.06,515.35
,KOTAKBANK,EQ,      1330.35,      1304.70,-1.93,513.97
,VOLTAS,EQ,       656.45,       685.60,4.44,504.02
,TATASTEEL,EQ,       407.50,       404.65,-0.7,503.08
,ZEEL,EQ,       218.10,       216.20,-0.87,502.33
,YESBANK,EQ,        14.55,        14.75,1.37,497.66

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,HCLTECH,EQ,       794.95,       721.65,10.16
,TCS,EQ,      2491.40,      2374.10,4.94
,WIPRO,EQ,       307.20,       293.30,4.74
,INFY,EQ,       978.40,       945.70,3.46
,UPL,EQ,       515.90,       499.00,3.39

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,BHARTIARTL,EQ,       474.10,       491.65,-3.57
,BAJFINANCE,EQ,      3440.70,      3544.40,-2.93
,BPCL,EQ,       417.15,       428.75,-2.71
,POWERGRID,EQ,       171.50,       175.15,-2.08
,SBIN,EQ,       198.50,       202.70,-2.07

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        29.65,                  1078047.25,36379
,21STCENMGM,EQ,        10.25,                    39618.30,3880
,3IINFOTECH,EQ,         3.75,                 21506767.65,5691732
,3MINDIA,EQ,     18922.50,                231068315.40,12383
,5PAISA,BE,       384.05,                 15605790.70,40824
,63MOONS,EQ,        73.15,                  8468044.95,114853
,824GS2027,GS,       109.00,                    10990.00,100
,824GS2033,GS,       110.00,                    22000.00,200
,8KMILES,BE,        32.10,                   113762.40,3544
,A2ZINFRA,EQ,         4.50,                  1101102.00,247128
,AAKASH,SM,        56.00,                   473100.00,9000
,AARON,SM,        29.20,                   367605.00,12600
,AARTIDRUGS,EQ,      2928.80,                648769565.00,222593
,AARTIIND,EQ,      1057.05,                586241411.60,548493
,AARTISURF,BE,       538.05,                 13482895.70,24990
,AARVEEDEN,EQ,        12.45,                    40823.55,3279
,AARVI,EQ,        34.40,                    94920.85,2681
,AAVAS,EQ,      1382.05,                151172031.00,109848
,ABAN,EQ,        25.10,                  1361428.20,54081
,ABB,EQ,       907.55,                324860544.60,357451
,ABCAPITAL,EQ,        70.80,                219011177.30,3067286
,ABFRL,EQ,       136.00,                545091929.00,3958209
,ABFRLPP,E1,        79.30,                  6405339.90,79593
,ABINFRA,SM,         9.50,                    76000.00,8000
,ABMINTLTD,BE,        30.90,                    19343.40,626
,ABSLBANETF,EQ,       221.07,                   228532.43,1031
,ABSLNN50ET,EQ,       289.62,                    39405.34,136
,ABSLRIF6RG,MF,         6.54,                   198019.60,30240
,ACCELYA,EQ,      1030.60,                 19565828.55,19018
,ACCURACY,SM,        38.00,                   608000.00,16000
,ACE,EQ,        68.80,                 50171123.95,732919
,ADANIENT,EQ,       293.15,               1828225191.05,6120187
,ADANIGAS,EQ,       204.25,                961098395.30,4584508
,ADANIGREEN,EQ,       638.90,               2432198326.35,3811613
,ADANIPOWER,EQ,        37.25,                 53254580.95,1419964
,ADFFOODS,EQ,       380.70,                 94154720.55,249085
,ADHUNIKIND,EQ,        19.55,                   276873.55,14180
,ADORWELD,EQ,       259.00,                  3869256.30,14944
,ADSL,EQ,        22.35,                  4662868.60,209549
,ADVANIHOTR,EQ,        43.35,                   176419.25,4063
,ADVENZYMES,EQ,       235.70,                125783880.50,527992
,AEGISCHEM,EQ,       224.40,                250666376.25,1128427
,AFFLE,EQ,      3053.30,                368184279.85,121069
,AGARIND,EQ,       104.60,                  2115305.00,20256
,AGCNET,EQ,       328.25,                  2332901.60,7087
,AGRITECH,EQ,        31.05,                   142365.70,4571
,AGROPHOS,EQ,        10.40,                   306384.00,29460
,AHLADA,SM,        46.50,                   224600.00,5000
,AHLEAST,EQ,       150.55,                    63467.75,420
,AHLUCONT,EQ,       264.45,                 37439649.80,143754
,AHLWEST,EQ,       270.90,                  1062627.40,3935
,AIAENG,EQ,      1861.80,                 57351443.10,30999
,AIONJSW,EQ,        19.00,                  6628996.30,346191
,AIRAN,EQ,        12.05,                   203826.55,16993
,AIROLAM,SM,        25.00,                    75000.00,3000
,AJANTPHARM,EQ,      1524.90,                239383618.35,155275
,AJMERA,EQ,        86.10,                  7496729.40,86424
,AJOONI,SM,        33.05,                  1591400.00,48000
,AKASH,BE,       240.50,                   792265.55,3293
,AKG,SM,        46.10,                   184400.00,4000
,AKSHARCHEM,EQ,       231.20,                  4905658.60,21203
,AKSHOPTFBR,EQ,         6.60,                  1599360.20,238203
,AKZOINDIA,EQ,      2091.65,                 48967289.25,23555
