,15-Sep-2020
The Nifty witnessed an intraday movement of about 93.7 points.The closing index was 0.71 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 53815.11
, Traded Quantity (in Lakhs), 26440.48
, Number of Trades, 16252609
, Total Market Capitalisation (Rs. Crores), 15686733.88

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     11440.05,     11487.20,     11535.95,     11442.25,     11521.80,81.75
,NIFTY50 EQL Wgt,     11857.75,     11901.55,     11940.70,     11870.95,     11922.45,64.7
,NIFTY100 EQL Wgt,     12809.60,     12859.75,     12916.50,     12843.20,     12901.30,91.7
,NIFTY100 LowVol30,      9186.20,      9205.10,      9255.30,      9188.85,      9223.65,37.45
,NIFTY Alpha 50,     16677.80,     16808.25,     16977.55,     16786.25,     16952.85,275.05
,NIFTY MIDCAP 150,      6582.85,      6623.75,      6670.10,      6619.55,      6662.10,79.25
,NIFTY SMLCAP 50,      2933.10,      2957.60,      2985.05,      2940.45,      2979.45,46.35
,NIFTY SMLCAP 250,      5107.90,      5158.40,      5179.55,      5128.85,      5174.05,66.15
,NIFTY MIDSML 400,      6056.00,      6100.55,      6134.80,      6097.50,      6130.65,74.65
,NIFTY200 QUALTY30,     10428.50,     10450.85,     10475.65,     10398.55,     10423.15,-5.35
,Nifty FinSrv25 50,     10743.75,     10809.25,     10885.90,     10770.65,     10862.70,118.95
,NIFTY AlphaLowVol,     11962.65,     11983.70,     12091.75,     11978.10,     12047.90,85.25
,Nifty IT,     19505.10,     19511.50,     19823.00,     19392.35,     19627.30,122.2
,Nifty Next 50,     27256.00,     27361.00,     27562.55,     27349.65,     27515.80,259.8
,Nifty Bank,     22101.25,     22202.80,     22514.15,     22062.35,     22465.65,364.4
,NIFTY MIDCAP 100,     17206.50,     17302.15,     17415.10,     17289.65,     17393.35,186.85
,Nifty 500,      9493.30,      9538.15,      9583.20,      9515.35,      9573.35,80.05
,Nifty 100,     11566.45,     11613.70,     11666.30,     11580.05,     11652.85,86.4
,Nifty Midcap 50,      4740.10,      4763.40,      4784.75,      4743.75,      4770.05,29.95
,Nifty Realty,       222.95,       223.80,       224.20,       219.90,       221.35,-1.6
,Nifty Infra,      3182.10,      3192.85,      3216.65,      3188.55,      3212.95,30.85
,Nifty Energy,     15829.15,     15869.20,     15966.80,     15833.30,     15898.60,69.45
,Nifty FMCG,     30760.50,     30846.25,     30866.60,     30617.90,     30712.20,-48.3
,Nifty MNC,     14207.50,     14269.85,     14355.30,     14263.05,     14323.30,115.8
,Nifty Pharma,     11233.30,     11269.55,     11604.35,     11263.15,     11450.50,217.2
,Nifty PSE,      2458.75,      2462.90,      2478.95,      2452.55,      2460.90,2.15
,Nifty PSU Bank,      1435.00,      1445.35,      1447.05,      1424.60,      1435.55,.55
,Nifty Serv Sector,     14749.20,     14809.75,     14928.30,     14763.65,     14906.55,157.35
,India VIX,21.1900,21.1900,21.1900,18.8975,20.5975,-0.5925
,Nifty Auto,      8035.35,      8067.80,      8074.10,      7997.80,      8033.50,-1.85
,Nifty Metal,      2387.05,      2402.40,      2411.20,      2380.95,      2385.55,-1.5
,Nifty Media,      1658.85,      1668.95,      1674.10,      1646.10,      1651.80,-7.05
,NIFTY SMLCAP 100,      5957.75,      6008.65,      6058.70,      5976.55,      6049.15,91.4
,Nifty 200,      5940.05,      5965.30,      5993.15,      5950.10,      5986.70,46.65
,Nifty Div Opps 50,      2451.80,      2458.35,      2463.80,      2445.75,      2456.40,4.6
,Nifty Commodities,      3202.00,      3216.65,      3243.00,      3213.80,      3235.35,33.35
,Nifty Consumption,      5118.85,      5138.45,      5146.25,      5103.40,      5118.10,-.75
,Nifty Fin Service,     10782.65,     10850.30,     10950.35,     10798.65,     10925.95,143.3
,Nifty50 Div Point,        53.78,        53.78,        53.78,        53.78,        53.78,0
,Nifty100 Liq 15,      2773.60,      2785.45,      2811.00,      2772.05,      2807.20,33.6
,Nifty CPSE,      1415.10,      1417.55,      1423.40,      1411.75,      1414.85,-.25
,Nifty GrowSect 15,      5340.00,      5369.10,      5400.30,      5349.05,      5391.60,51.6
,Nifty50 PR 2x Lev,      4135.60,      4169.30,      4204.00,      4137.10,      4194.30,58.7
,Nifty50 PR 1x Inv,       383.70,       382.15,       383.65,       380.55,       381.00,-2.7
,Nifty50 TR 2x Lev,      5468.15,      5512.70,      5558.60,      5470.15,      5545.85,77.7
,Nifty50 TR 1x Inv,       333.90,       332.55,       333.85,       331.15,       331.55,-2.35
,Nifty50 Value 20,      5687.20,      5698.20,      5719.45,      5666.65,      5685.75,-1.45
,Nifty Mid Liq 15,      4126.35,      4140.85,      4168.70,      4117.55,      4148.65,22.3
,Nifty Pvt Bank,     12205.50,     12256.50,     12465.70,     12174.55,     12431.90,226.4
,NIFTY100 Qualty30,      2742.70,      2749.75,      2754.70,      2736.55,      2748.40,5.7
,Nifty GS 8 13Yr,      2191.98,      2192.36,      2197.67,      2192.36,      2195.17,3.19
,Nifty GS 10Yr,      1980.10,      1980.43,      1983.01,      1979.00,      1980.60,.5
,Nifty GS 10Yr Cln,       958.92,       958.92,       960.18,       958.23,       959.01,.09
,Nifty GS 4 8Yr,      2323.79,      2324.16,      2327.85,      2323.81,      2326.85,3.06
,Nifty GS 11 15Yr,      2372.17,      2372.60,      2374.86,      2372.17,      2373.88,1.71
,Nifty GS 15YrPlus,      2574.33,      2574.80,      2577.21,      2574.80,      2577.21,2.88
,Nifty GS Compsite,      2233.16,      2233.55,      2237.47,      2233.55,      2235.95,2.79

,ADVANCES,1111
,DECLINES,770
,UNCHANGED,90

,Total securities that have hit their price bands today,390

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,RELIANCE,EQ,      2302.55,      2318.85,0.71,2899.01
,TCS,EQ,      2491.40,      2491.40,0,1831.74
,BHARTIARTL,EQ,       474.10,       485.55,2.42,1481.02
,BAJFINANCE,EQ,      3440.70,      3513.40,2.11,1361.12
,INFY,EQ,       978.40,       982.45,0.41,1140.24
,DRREDDY,EQ,      4364.10,      4442.35,1.79,1125.54
,HCLTECH,EQ,       794.95,       792.70,-0.28,1115.63
,CIPLA,EQ,       721.60,       742.45,2.89,1084.49
,SBIN,EQ,       198.50,       200.15,0.83,1030.34
,ICICIBANK,EQ,       363.70,       371.55,2.16,921.99
,IDEA,EQ,        11.55,        11.75,1.73,888.35
,HDFCBANK,EQ,      1057.95,      1070.50,1.19,880.19
,WIPRO,EQ,       307.20,       307.35,0.05,866.04
,INDUSINDBK,EQ,       609.35,       633.40,3.95,834.13
,AXISBANK,EQ,       440.55,       449.55,2.04,768.27
,AUROPHARMA,EQ,       796.15,       818.80,2.84,675.23
,KOTAKBANK,EQ,      1304.70,      1323.95,1.48,657.29
,TATAMOTORS,EQ,       148.55,       148.40,-0.1,634.34
,MARUTI,EQ,      7128.85,      7052.80,-1.07,632.5
,TITAN,EQ,      1188.00,      1174.55,-1.13,621.2
,LUPIN,EQ,       968.00,      1000.85,3.39,600.16
,SUNPHARMA,EQ,       495.80,       506.40,2.14,592.47
,ASHOKLEY,EQ,        74.80,        77.85,4.08,590.53
,ITC,EQ,       183.35,       181.80,-0.85,559.23
,HDFC,EQ,      1738.00,      1758.75,1.19,556.15

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,INDUSINDBK,EQ,       633.40,       609.35,3.95
,CIPLA,EQ,       742.45,       721.60,2.89
,UPL,EQ,       529.70,       515.90,2.67
,BHARTIARTL,EQ,       485.55,       474.10,2.42
,ICICIBANK,EQ,       371.55,       363.70,2.16

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,TITAN,EQ,      1174.55,      1188.00,-1.13
,MARUTI,EQ,      7052.80,      7128.85,-1.07
,HDFCLIFE,EQ,       594.20,       599.45,-0.88
,EICHERMOT,EQ,      2140.60,      2159.40,-0.87
,ITC,EQ,       181.80,       183.35,-0.85

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        29.30,                  1177102.40,39843
,21STCENMGM,EQ,        10.10,                    13947.00,1376
,3IINFOTECH,EQ,         3.60,                 23677135.35,6511501
,3MINDIA,EQ,     18891.70,                 76278576.25,4034
,5PAISA,BE,       387.15,                  5257447.05,13477
,63MOONS,EQ,        75.05,                  3681183.20,49190
,8KMILES,EQ,        33.70,                    78487.30,2329
,A2ZINFRA,EQ,         4.40,                   952908.95,215520
,AARON,SM,        30.75,                   741825.00,25200
,AARTIDRUGS,EQ,      2962.95,                517495373.20,174698
,AARTIIND,EQ,      1082.50,                526536223.85,488431
,AARTISURF,BE,       539.15,                  7680466.85,14202
,AARVEEDEN,EQ,        12.75,                   353120.40,27320
,AARVI,EQ,        35.40,                    79349.60,2250
,AAVAS,EQ,      1423.25,                647215174.45,456921
,ABAN,EQ,        24.55,                  1689613.20,68241
,ABB,EQ,       915.00,                130443649.60,142131
,ABCAPITAL,EQ,        70.85,                119538904.55,1678372
,ABFRL,EQ,       134.15,                476281149.60,3549025
,ABFRLPP,E1,        78.30,                  3337697.45,42651
,ABINFRA,SM,         9.50,                    76000.00,8000
,ABMINTLTD,BE,        29.40,                     6409.20,218
,ABSLBANETF,EQ,       227.55,                    19588.43,86
,ABSLNN50ET,EQ,       293.00,                     4278.99,15
,ABSLRIF6RG,MF,         6.41,                    26704.06,4166
,ACCELYA,EQ,      1034.10,                 51935521.25,50011
,ACCURACY,SM,        38.90,                   126160.00,3200
,ACE,EQ,        68.50,                 27508930.00,397559
,ADANIENT,EQ,       288.55,                747458911.90,2552782
,ADANIGAS,EQ,       207.15,                419668479.45,2027612
,ADANIGREEN,EQ,       670.80,               1882816941.05,2815809
,ADANIPOWER,EQ,        37.15,                 55311894.85,1486365
,ADFFOODS,EQ,       399.70,                  9836217.30,24609
,ADHUNIKIND,EQ,        19.45,                   229461.55,11791
,ADORWELD,EQ,       259.05,                  2972215.05,11448
,ADROITINFO,BE,         5.70,                     5130.00,900
,ADSL,EQ,        23.45,                  2080580.25,90382
,ADVANIHOTR,EQ,        42.85,                   245207.45,5713
,ADVENZYMES,EQ,       240.15,                120156427.95,497658
,AEGISCHEM,EQ,       247.45,                247314364.75,1034345
,AFFLE,EQ,      3023.20,                406640606.65,134013
,AGARIND,EQ,       103.00,                  1350961.15,13017
,AGCNET,EQ,       342.40,                  2889177.45,8570
,AGRITECH,EQ,        30.75,                   154617.85,5045
,AGROPHOS,EQ,        10.90,                   233826.80,21452
,AHLEAST,EQ,       152.95,                   166349.70,1113
,AHLUCONT,EQ,       275.00,                 75764452.90,276689
,AHLWEST,EQ,       267.70,                   456059.10,1691
,AIAENG,EQ,      1828.75,                101673843.00,54072
,AIONJSW,EQ,        18.60,                  5640637.85,298755
,AIRAN,EQ,        11.85,                   739163.20,61782
,AIROLAM,SM,        24.00,                    72000.00,3000
,AJANTPHARM,EQ,      1511.75,                356451082.60,230527
,AJMERA,EQ,        86.40,                  2210617.35,25513
,AJOONI,SM,        32.45,                   788600.00,24000
,AKASH,BE,       244.05,                  1555812.00,6537
,AKG,SM,        46.10,                   370400.00,8000
,AKSHARCHEM,EQ,       237.55,                  5161129.35,21853
,AKSHOPTFBR,EQ,         6.60,                  1050460.40,158127
,AKZOINDIA,EQ,      2163.25,                 74058749.15,35171
,ALANKIT,EQ,        17.75,                  2245520.05,126065
,ALBERTDAVD,EQ,       431.65,                  7743876.40,17945
,ALCHEM,EQ,         5.45,                   199919.75,37168
