,23-Sep-2020
The Nifty witnessed an intraday movement of about 235.15 points.The closing index was 0.2 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 57349.69
, Traded Quantity (in Lakhs), 26400.16
, Number of Trades, 16521101
, Total Market Capitalisation (Rs. Crores), 15033954.74

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     11153.65,     11258.75,     11259.55,     11024.40,     11131.85,-21.8
,NIFTY50 EQL Wgt,     11482.50,     11569.85,     11582.05,     11271.95,     11393.40,-89.1
,NIFTY100 EQL Wgt,     12366.30,     12457.40,     12478.15,     12189.00,     12310.50,-55.8
,NIFTY100 LowVol30,      9107.05,      9170.25,      9183.35,      9026.70,      9083.55,-23.5
,NIFTY Alpha 50,     16124.25,     16278.25,     16359.35,     15918.05,     16080.15,-44.1
,NIFTY MIDCAP 150,      6312.75,      6361.70,      6393.35,      6224.20,      6289.35,-23.4
,NIFTY SMLCAP 50,      2793.35,      2823.10,      2852.45,      2770.60,      2801.50,8.15
,NIFTY SMLCAP 250,      4865.50,      4914.10,      4962.00,      4813.20,      4865.80,.3
,NIFTY MIDSML 400,      5795.40,      5844.35,      5880.90,      5720.20,      5780.70,-14.7
,NIFTY200 QUALTY30,     10167.00,     10221.10,     10271.85,     10092.55,     10172.95,5.95
,Nifty FinSrv25 50,     10333.65,     10427.60,     10434.30,     10195.85,     10329.15,-4.5
,NIFTY AlphaLowVol,     11908.75,     11985.40,     12006.95,     11765.70,     11834.85,-73.9
,Nifty IT,     19866.10,     20016.80,     20226.30,     19615.15,     19805.65,-60.45
,Nifty Next 50,     26357.50,     26538.85,     26651.75,     26051.50,     26290.00,-67.5
,Nifty Bank,     21139.10,     21350.80,     21365.05,     20821.00,     21178.50,39.4
,NIFTY MIDCAP 100,     16507.75,     16629.55,     16731.65,     16263.75,     16453.45,-54.3
,Nifty 500,      9213.90,      9296.45,      9309.05,      9106.00,      9194.35,-19.55
,Nifty 100,     11264.55,     11366.85,     11369.40,     11135.75,     11241.60,-22.95
,Nifty Midcap 50,      4496.55,      4526.50,      4553.80,      4433.10,      4486.45,-10.1
,Nifty Realty,       210.00,       211.70,       215.10,       206.90,       211.65,1.65
,Nifty Infra,      3073.75,      3097.90,      3099.05,      3005.40,      3037.75,-36
,Nifty Energy,     15064.90,     15247.70,     15247.70,     14841.80,     14956.60,-108.3
,Nifty FMCG,     29312.40,     29426.00,     29652.25,     29149.15,     29322.35,9.95
,Nifty MNC,     13623.65,     13695.80,     13747.40,     13578.80,     13677.10,53.45
,Nifty Pharma,     11876.85,     12032.45,     12052.40,     11608.00,     11685.90,-190.95
,Nifty PSE,      2321.15,      2335.75,      2340.75,      2276.95,      2292.40,-28.75
,Nifty PSU Bank,      1310.00,      1324.90,      1328.30,      1272.05,      1290.40,-19.6
,Nifty Serv Sector,     14472.25,     14582.10,     14586.05,     14253.20,     14401.00,-71.25
,India VIX,21.4100,21.4100,22.4775,19.3700,20.9900,-0.4200
,Nifty Auto,      7695.25,      7748.25,      7793.00,      7609.55,      7690.90,-4.35
,Nifty Metal,      2213.95,      2232.20,      2239.90,      2168.90,      2205.25,-8.7
,Nifty Media,      1517.50,      1534.00,      1542.05,      1441.20,      1481.50,-36
,NIFTY SMLCAP 100,      5656.75,      5711.90,      5768.10,      5596.00,      5657.55,.8
,Nifty 200,      5775.30,      5826.60,      5831.20,      5707.10,      5762.70,-12.6
,Nifty Div Opps 50,      2374.15,      2387.50,      2389.15,      2341.75,      2360.55,-13.6
,Nifty Commodities,      3077.50,      3101.25,      3105.85,      3023.05,      3055.55,-21.95
,Nifty Consumption,      4913.60,      4928.75,      4938.25,      4846.95,      4891.10,-22.5
,Nifty Fin Service,     10414.85,     10511.95,     10515.95,     10294.20,     10426.50,11.65
,Nifty50 Div Point,        53.78,        53.78,        53.78,        53.78,        53.78,0
,Nifty100 Liq 15,      2637.00,      2655.90,      2656.75,      2553.90,      2590.00,-47
,Nifty CPSE,      1342.60,      1348.20,      1354.05,      1317.35,      1324.55,-18.05
,Nifty GrowSect 15,      5163.60,      5200.70,      5203.20,      5104.60,      5158.55,-5.05
,Nifty50 PR 2x Lev,      3925.15,      3998.70,      3998.70,      3834.30,      3909.40,-15.75
,Nifty50 PR 1x Inv,       393.60,       389.90,       398.15,       389.90,       394.40,.8
,Nifty50 TR 2x Lev,      5189.90,      5287.20,      5287.20,      5069.80,      5169.15,-20.75
,Nifty50 TR 1x Inv,       342.50,       339.30,       346.45,       339.30,       343.20,.7
,Nifty50 Value 20,      5599.05,      5630.30,      5638.85,      5524.05,      5567.30,-31.75
,Nifty Mid Liq 15,      3926.15,      3947.30,      3974.45,      3868.65,      3915.20,-10.95
,Nifty Pvt Bank,     11634.40,     11752.60,     11761.65,     11456.90,     11658.85,24.45
,NIFTY100 Qualty30,      2667.50,      2682.75,      2694.90,      2648.20,      2670.50,3
,Nifty GS 8 13Yr,      2196.23,      2196.60,      2198.03,      2196.60,      2198.03,1.8
,Nifty GS 10Yr,      1986.59,      1986.91,      1989.29,      1986.91,      1988.89,2.3
,Nifty GS 10Yr Cln,       960.83,       960.83,       961.99,       960.83,       961.80,.97
,Nifty GS 4 8Yr,      2334.19,      2334.56,      2337.16,      2334.56,      2336.97,2.78
,Nifty GS 11 15Yr,      2367.61,      2368.04,      2369.11,      2368.01,      2368.71,1.1
,Nifty GS 15YrPlus,      2570.31,      2570.78,      2572.97,      2570.78,      2572.48,2.17
,Nifty GS Compsite,      2237.57,      2237.96,      2239.50,      2237.96,      2239.46,1.89

,ADVANCES,830
,DECLINES,1048
,UNCHANGED,95

,Total securities that have hit their price bands today,421

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,RELIANCE,EQ,      2211.15,      2230.80,0.89,4449.23
,BHARTIARTL,EQ,       470.95,       433.80,-7.89,3757.1
,DRREDDY,EQ,      5167.95,      5107.75,-1.16,2589.17
,TCS,EQ,      2522.95,      2467.45,-2.2,1850.79
,HCLTECH,EQ,       821.00,       814.10,-0.84,1495.35
,BAJFINANCE,EQ,      3303.00,      3243.85,-1.79,1387.83
,INFY,EQ,      1007.50,      1019.75,1.22,1381.1
,ZEEL,EQ,       197.10,       191.80,-2.69,1234.83
,ROUTE,EQ,       694.25,       824.25,18.73,1157.76
,ITC,EQ,       174.20,       172.50,-0.98,1073.6
,INDUSINDBK,EQ,       544.00,       528.05,-2.93,1067.87
,TATAMOTORS,EQ,       133.10,       131.40,-1.28,990.78
,MARUTI,EQ,      6440.55,      6501.30,0.94,943.81
,HDFCBANK,EQ,      1035.40,      1047.25,1.14,841.29
,SBIN,EQ,       186.20,       183.80,-1.29,815.65
,HDFC,EQ,      1674.85,      1667.10,-0.46,803.77
,ICICIBANK,EQ,       354.40,       351.85,-0.72,797.05
,AXISBANK,EQ,       412.00,       419.75,1.88,771.34
,WIPRO,EQ,       312.25,       314.85,0.83,700.98
,TATASTEEL,EQ,       374.15,       361.30,-3.43,616.36
,IDEA,EQ,        10.25,         9.20,-10.24,581.05
,SUNPHARMA,EQ,       508.85,       502.90,-1.17,551.49
,ASIANPAINT,EQ,      1937.50,      1946.55,0.47,535.36
,HINDUNILVR,EQ,      2026.80,      2052.55,1.27,492.94
,TECHM,EQ,       800.45,       793.05,-0.92,486.29

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,AXISBANK,EQ,       419.75,       412.00,1.88
,GAIL,EQ,        85.70,        84.15,1.84
,HINDUNILVR,EQ,      2052.55,      2026.80,1.27
,COALINDIA,EQ,       121.05,       119.55,1.25
,HINDALCO,EQ,       165.45,       163.45,1.22

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,BHARTIARTL,EQ,       433.80,       470.95,-7.89
,INFRATEL,EQ,       166.95,       180.40,-7.46
,TATASTEEL,EQ,       361.30,       374.15,-3.43
,NTPC,EQ,        85.10,        87.70,-2.96
,INDUSINDBK,EQ,       528.05,       544.00,-2.93

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,1018GS2026,GS,       107.00,                      107.00,1
,20MICRONS,EQ,        26.60,                  1258609.50,47391
,21STCENMGM,EQ,        10.40,                     7763.80,759
,3IINFOTECH,EQ,         3.20,                 22072087.05,6922277
,3MINDIA,EQ,     18569.00,                 59393570.90,3259
,5PAISA,BE,       354.10,                  2652147.15,7474
,63MOONS,EQ,        73.70,                  3252710.15,43858
,716GS2050,GS,       111.00,                    58830.00,530
,719GS2060,GS,       114.50,                   486625.00,4250
,74GS2035,GS,       102.20,                     2555.00,25
,757GS2033,GS,       111.00,                   362170.00,3260
,763GS2059,GS,       114.68,                    11468.00,100
,83GS2042,GS,       104.30,                   104414.30,1001
,8KMILES,EQ,        44.95,                   420057.75,9345
,A2ZINFRA,EQ,         4.20,                  1090072.55,262511
,AARON,SM,        29.65,                   556290.00,18900
,AARTIDRUGS,EQ,      2862.30,                749846980.85,257258
,AARTIIND,EQ,      1028.50,                200475369.25,194604
,AARTISURF,BE,       490.60,                  5670210.75,11415
,AARVEEDEN,EQ,        10.95,                   256372.35,23656
,AARVI,EQ,        39.85,                     6134.20,154
,AAVAS,EQ,      1360.15,                 57352647.45,42444
,ABAN,EQ,        23.45,                   569614.30,24173
,ABB,EQ,       884.30,                 67798882.15,76188
,ABCAPITAL,EQ,        63.15,                153810705.70,2414441
,ABFRL,EQ,       131.65,                190286682.40,1459630
,ABFRLPP,E1,        72.30,                  8488348.45,117826
,ABMINTLTD,BE,        21.75,                     2697.00,124
,ABSLBANETF,EQ,       208.50,                   136969.28,649
,ABSLNN50ET,EQ,       271.00,                    20356.90,75
,ACCELYA,EQ,      1028.65,                 49643679.80,48356
,ACCURACY,SM,        38.35,                   305520.00,8000
,ACE,EQ,        66.90,                 15735211.05,234512
,ADANIENT,EQ,       283.55,               2549014971.95,8864858
,ADANIGAS,EQ,       186.40,                335323579.45,1776905
,ADANIGREEN,EQ,       588.25,                244439010.35,410113
,ADANIPOWER,EQ,        36.65,                 94118229.75,2560021
,ADFFOODS,EQ,       413.45,                 47512176.25,114115
,ADHUNIKIND,EQ,        18.15,                   185226.25,10083
,ADORWELD,EQ,       244.05,                  4708052.20,19168
,ADROITINFO,EQ,         4.70,                   143059.65,30706
,ADSL,EQ,        22.00,                  3158702.95,142053
,ADVANIHOTR,EQ,        40.15,                   173354.90,4273
,ADVENZYMES,EQ,       227.60,                115101817.30,503845
,AEGISCHEM,EQ,       224.50,                 53149262.80,232188
,AFFLE,EQ,      2953.15,                123435770.55,41894
,AGARIND,EQ,        93.70,                   326995.75,3475
,AGCNET,EQ,       347.60,                 19217792.45,54587
,AGRITECH,EQ,        30.00,                    25785.50,859
,AGROPHOS,EQ,         9.55,                   144849.35,15019
,AHLADA,SM,        47.00,                    47000.00,1000
,AHLEAST,EQ,       147.50,                    58377.95,393
,AHLUCONT,EQ,       242.80,                  3645721.00,14930
,AHLWEST,EQ,       280.00,                  1109686.65,3897
,AIAENG,EQ,      1776.20,                 48303577.95,27032
,AIONJSW,EQ,        18.00,                  1652510.35,91669
,AIRAN,EQ,        12.05,                   438942.00,36958
,AISL,SM,        21.90,                    26280.00,1200
,AJANTPHARM,EQ,      1565.25,                293873905.80,187395
,AJMERA,EQ,        85.00,                  7050648.20,83280
,AJOONI,SM,        30.25,                   613000.00,20000
,AKASH,BE,       242.45,                   539002.35,2237
,AKG,SM,        46.75,                   935000.00,20000
,AKSHARCHEM,EQ,       224.65,                  3171354.45,14140
