,25-Sep-2020
The Nifty witnessed an intraday movement of about 217.75 points.The closing index was 2.26 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 55198.73
, Traded Quantity (in Lakhs), 26781.13
, Number of Trades, 16702437
, Total Market Capitalisation (Rs. Crores), 15012373.68

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     10805.55,     10910.40,     11072.60,     10854.85,     11050.25,244.7
,NIFTY50 EQL Wgt,     11030.30,     11140.50,     11334.60,     11088.35,     11309.65,279.35
,NIFTY100 EQL Wgt,     11964.00,     12080.90,     12295.60,     12022.20,     12276.95,312.95
,NIFTY100 LowVol30,      8868.00,      8950.55,      9094.80,      8935.35,      9075.95,207.95
,NIFTY Alpha 50,     15935.25,     16231.00,     16423.70,     16105.85,     16411.20,475.95
,NIFTY MIDCAP 150,      6156.70,      6214.20,      6319.50,      6166.45,      6309.85,153.15
,NIFTY SMLCAP 50,      2726.15,      2761.80,      2813.35,      2750.45,      2808.00,81.85
,NIFTY SMLCAP 250,      4751.65,      4803.80,      4876.05,      4788.05,      4873.90,122.25
,NIFTY MIDSML 400,      5654.50,      5710.20,      5802.85,      5674.50,      5796.65,142.15
,NIFTY200 QUALTY30,      9941.55,     10026.30,     10212.40,     10010.40,     10189.95,248.4
,Nifty FinSrv25 50,     10036.75,     10145.65,     10289.55,     10011.65,     10251.55,214.8
,NIFTY AlphaLowVol,     11591.90,     11701.15,     11902.75,     11690.25,     11868.80,276.9
,Nifty IT,     18973.00,     19108.75,     19678.50,     19077.85,     19629.35,656.35
,Nifty Next 50,     25696.60,     25968.60,     26438.75,     25860.90,     26397.70,701.1
,Nifty Bank,     20456.85,     20740.80,     21064.30,     20430.70,     20982.35,525.5
,NIFTY MIDCAP 100,     16039.80,     16197.90,     16532.75,     16049.80,     16504.00,464.2
,Nifty 500,      8944.75,      9032.70,      9171.15,      8985.75,      9156.10,211.35
,Nifty 100,     10922.25,     11029.50,     11198.10,     10974.90,     11176.30,254.05
,Nifty Midcap 50,      4355.30,      4409.10,      4545.65,      4368.00,      4534.95,179.65
,Nifty Realty,       205.10,       207.35,       210.55,       206.40,       209.40,4.3
,Nifty Infra,      2960.30,      2988.00,      3055.55,      2976.90,      3049.80,89.5
,Nifty Energy,     14548.45,     14701.80,     14870.80,     14602.35,     14826.30,277.85
,Nifty FMCG,     29044.95,     29371.90,     29763.75,     29221.10,     29633.50,588.55
,Nifty MNC,     13417.25,     13559.70,     13758.70,     13526.65,     13740.25,323
,Nifty Pharma,     11334.60,     11513.05,     11666.00,     11383.35,     11595.90,261.3
,Nifty PSE,      2218.70,      2238.20,      2270.95,      2221.90,      2266.05,47.35
,Nifty PSU Bank,      1240.25,      1250.30,      1280.30,      1232.55,      1276.20,35.95
,Nifty Serv Sector,     13911.05,     14059.60,     14308.90,     13983.00,     14280.70,369.65
,India VIX,23.5100,23.5100,23.5100,18.6675,20.6750,-2.8350
,Nifty Auto,      7418.85,      7505.50,      7686.40,      7477.50,      7669.50,250.65
,Nifty Metal,      2111.85,      2134.95,      2180.65,      2112.40,      2172.65,60.8
,Nifty Media,      1435.45,      1453.25,      1489.25,      1420.55,      1484.75,49.3
,NIFTY SMLCAP 100,      5512.05,      5576.85,      5661.20,      5554.70,      5654.95,142.9
,Nifty 200,      5601.10,      5656.10,      5745.05,      5625.45,      5734.95,133.85
,Nifty Div Opps 50,      2287.25,      2310.10,      2353.60,      2304.05,      2349.70,62.45
,Nifty Commodities,      2966.70,      2995.55,      3038.70,      2973.40,      3033.25,66.55
,Nifty Consumption,      4805.65,      4856.10,      4926.55,      4844.60,      4918.90,113.25
,Nifty Fin Service,     10134.80,     10257.65,     10376.45,     10114.50,     10332.25,197.45
,Nifty50 Div Point,        53.78,        53.78,        53.78,        53.78,        53.78,0
,Nifty100 Liq 15,      2484.20,      2517.30,      2555.55,      2491.20,      2546.95,62.75
,Nifty CPSE,      1284.55,      1297.80,      1316.10,      1285.95,      1313.60,29.05
,Nifty GrowSect 15,      5028.50,      5090.90,      5142.00,      5045.90,      5126.80,98.3
,Nifty50 PR 2x Lev,      3679.90,      3750.95,      3861.20,      3713.90,      3846.25,166.35
,Nifty50 PR 1x Inv,       406.00,       402.10,       404.15,       396.00,       396.85,-9.15
,Nifty50 TR 2x Lev,      4865.65,      4959.65,      5105.35,      4910.65,      5085.60,219.95
,Nifty50 TR 1x Inv,       353.25,       349.85,       351.65,       344.60,       345.30,-7.95
,Nifty50 Value 20,      5384.30,      5434.10,      5550.75,      5418.05,      5539.15,154.85
,Nifty Mid Liq 15,      3831.65,      3879.05,      3979.75,      3834.05,      3966.35,134.7
,Nifty Pvt Bank,     11247.30,     11403.40,     11586.75,     11230.00,     11540.95,293.65
,NIFTY100 Qualty30,      2605.25,      2629.65,      2677.05,      2624.30,      2671.45,66.2
,Nifty GS 8 13Yr,      2197.58,      2197.95,      2198.54,      2194.35,      2194.35,-3.23
,Nifty GS 10Yr,      1988.08,      1988.40,      1988.40,      1982.62,      1982.62,-5.46
,Nifty GS 10Yr Cln,       961.24,       961.24,       961.24,       958.42,       958.42,-2.82
,Nifty GS 4 8Yr,      2335.55,      2335.93,      2336.72,      2334.90,      2335.56,.01
,Nifty GS 11 15Yr,      2369.07,      2369.50,      2370.16,      2364.58,      2365.05,-4.02
,Nifty GS 15YrPlus,      2575.58,      2576.06,      2579.52,      2565.41,      2565.41,-10.17
,Nifty GS Compsite,      2238.84,      2239.22,      2239.42,      2235.89,      2236.20,-2.64

,ADVANCES,1525
,DECLINES,350
,UNCHANGED,96

,Total securities that have hit their price bands today,470

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,RELIANCE,EQ,      2181.20,      2201.70,0.94,2869.55
,TCS,EQ,      2332.25,      2422.30,3.86,1984.86
,BAJFINANCE,EQ,      3028.90,      3138.95,3.63,1934.37
,DRREDDY,EQ,      5027.40,      5112.20,1.69,1793.06
,HCLTECH,EQ,       788.30,       827.70,5,1628.54
,BHARTIARTL,EQ,       419.30,       439.65,4.85,1466.81
,INFY,EQ,       975.40,      1011.45,3.7,1328.84
,ZEEL,EQ,       190.35,       198.20,4.12,1185.25
,HDFCBANK,EQ,      1030.40,      1044.00,1.32,1054.83
,CIPLA,EQ,       733.45,       770.10,5,1016.49
,INDUSINDBK,EQ,       490.25,       514.85,5.02,978.38
,ROUTE,EQ,       903.60,       938.80,3.9,904.62
,IBULHSGFIN,EQ,       138.80,       145.25,4.65,852.25
,MARUTI,EQ,      6297.70,      6497.70,3.18,846.93
,SBIN,EQ,       176.35,       182.20,3.32,836.54
,AXISBANK,EQ,       402.45,       415.05,3.13,835.55
,TATAMOTORS,EQ,       122.80,       127.25,3.62,819
,ICICIBANK,EQ,       335.70,       348.65,3.86,798.21
,ASHOKLEY,EQ,        67.40,        76.30,13.2,789.87
,APOLLOHOSP,EQ,      1947.65,      2027.65,4.11,729.02
,WIPRO,EQ,       304.70,       313.90,3.02,681.44
,HDFC,EQ,      1636.85,      1652.00,0.93,666.01
,HAPPSTMNDS,EQ,       337.30,       363.40,7.74,565.23
,BAJAJFINSV,EQ,      5425.70,      5803.30,6.96,556.11
,TECHM,EQ,       751.85,       772.35,2.73,535.41

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,BAJAJFINSV,EQ,      5803.30,      5425.70,6.96
,INDUSINDBK,EQ,       514.85,       490.25,5.02
,HCLTECH,EQ,       827.70,       788.30,5
,CIPLA,EQ,       770.10,       733.45,5
,BHARTIARTL,EQ,       439.65,       419.30,4.85

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,SBILIFE,EQ,       797.05,       804.40,-0.91
,BPCL,EQ,       375.75,       377.25,-0.4
,UPL,EQ,       504.65,       505.15,-0.1
,HDFCLIFE,EQ,       577.50,       577.65,-0.03

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        28.45,                  1527934.85,54368
,21STCENMGM,EQ,        10.15,                    33124.05,3282
,3IINFOTECH,EQ,         2.90,                 28371265.80,9668130
,3MINDIA,EQ,     18204.90,                100018348.35,5482
,5PAISA,BE,       343.15,                  5236869.60,14994
,619GS2034,GS,       101.00,                     1161.74,12
,63MOONS,EQ,        66.55,                  6963939.50,103197
,716GS2050,GS,       110.00,                     1200.00,11
,757GS2033,GS,       111.00,                    75321.00,691
,769GS2043,GS,       120.18,                      600.90,5
,8KMILES,BE,        49.50,                   608256.00,12288
,A2ZINFRA,EQ,         4.10,                   668600.05,163174
,AARON,SM,        28.50,                   367920.00,12600
,AARTIDRUGS,EQ,      2951.25,                678224409.15,232494
,AARTIIND,EQ,      1005.05,                293068244.80,291908
,AARTISURF,BE,       471.85,                  9271485.35,19675
,AARVEEDEN,EQ,        10.55,                    51043.55,4829
,AARVI,EQ,        39.55,                     6916.50,182
,AAVAS,EQ,      1384.35,                 93807546.20,69281
,ABAN,EQ,        23.65,                   949455.85,40317
,ABB,EQ,       852.30,                149621947.50,174158
,ABCAPITAL,EQ,        62.85,                165194488.30,2662222
,ABFRL,EQ,       128.20,                254654901.00,1981208
,ABFRLPP,E1,        70.05,                  4723900.20,68410
,ABMINTLTD,BE,        19.70,                     3723.30,189
,ABSLBANETF,EQ,       208.00,                    97119.29,474
,ABSLNN50ET,EQ,       282.00,                     8137.99,29
,ABSLRIF6RG,MF,         5.45,                   274320.00,47500
,ACCELYA,EQ,      1031.15,                 30507169.10,29600
,ACCURACY,SM,        37.00,                   181680.00,4800
,ACE,EQ,        68.25,                 15485006.10,225825
,ADANIENT,EQ,       280.30,               2142181454.75,7663618
,ADANIGAS,EQ,       183.75,                269632265.40,1484675
,ADANIPOWER,EQ,        36.60,                 51002286.00,1395295
,ADFFOODS,EQ,       418.00,                 29329904.25,70849
,ADHUNIKIND,EQ,        18.10,                    92641.75,5089
,ADORWELD,EQ,       241.85,                  5868523.05,24440
,ADROITINFO,EQ,         4.95,                    20060.90,4076
,ADSL,EQ,        22.10,                  3065044.40,140872
,ADVANIHOTR,EQ,        41.20,                   365525.25,8929
,ADVENZYMES,EQ,       293.15,               1970459655.35,6629827
,AEGISCHEM,EQ,       225.05,                 18063102.65,79637
,AFFLE,EQ,      2898.45,                143678937.65,49910
,AGARIND,EQ,        91.30,                   725477.55,7970
,AGCNET,EQ,       345.55,                 13408037.25,38770
,AGRITECH,EQ,        29.60,                    72443.15,2463
,AGROPHOS,EQ,         9.50,                   187432.25,19953
,AHLADA,SM,        44.00,                    87500.00,2000
,AHLEAST,EQ,       144.85,                    47967.30,335
,AHLUCONT,EQ,       233.45,                  4467790.80,19144
,AHLWEST,EQ,       270.85,                    89882.30,330
,AIAENG,EQ,      1738.05,                 65113222.50,37341
,AIONJSW,EQ,        18.15,                   881366.15,49507
,AIRAN,EQ,        11.95,                   179596.75,15258
,AIROLAM,SM,        24.00,                   129750.00,6000
,AJANTPHARM,EQ,      1550.55,                274287717.85,175626
,AJMERA,EQ,        81.05,                  2015136.70,24927
,AJOONI,SM,        31.75,                   127000.00,4000
,AKASH,BE,       240.10,                   943768.05,4105
,AKG,SM,        46.00,                   736000.00,16000
,AKSHARCHEM,EQ,       219.85,                  2990915.35,13585
,AKSHOPTFBR,EQ,         5.90,                  1194660.35,203189
,AKZOINDIA,EQ,      2015.15,                 13972557.90,6926
,ALANKIT,EQ,        15.90,                  8217111.40,501330
