,28-Sep-2020
The Nifty witnessed an intraday movement of about 139.5 points.The closing index was 1.6 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 47093.71
, Traded Quantity (in Lakhs), 22112.76
, Number of Trades, 14401714
, Total Market Capitalisation (Rs. Crores), 15290060.71

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     11050.25,     11140.85,     11239.35,     11099.85,     11227.55,177.3
,NIFTY50 EQL Wgt,     11309.65,     11409.00,     11582.65,     11380.05,     11567.85,258.2
,NIFTY100 EQL Wgt,     12276.95,     12389.35,     12570.45,     12374.75,     12555.55,278.6
,NIFTY100 LowVol30,      9075.95,      9138.95,      9217.90,      9103.85,      9209.70,133.75
,NIFTY Alpha 50,     16411.20,     16668.70,     16961.70,     16650.15,     16940.75,529.55
,NIFTY MIDCAP 150,      6309.85,      6374.60,      6490.25,      6366.85,      6481.50,171.65
,NIFTY SMLCAP 50,      2808.00,      2845.95,      2927.70,      2843.45,      2921.60,113.6
,NIFTY SMLCAP 250,      4873.90,      4934.40,      5023.10,      4932.95,      5016.95,143.05
,NIFTY MIDSML 400,      5796.65,      5860.00,      5965.55,      5856.45,      5958.20,161.55
,NIFTY200 QUALTY30,     10189.95,     10268.70,     10361.00,     10211.10,     10346.95,157
,Nifty FinSrv25 50,     10251.55,     10342.65,     10533.70,     10295.80,     10514.85,263.3
,NIFTY AlphaLowVol,     11868.80,     11953.90,     12038.50,     11890.75,     12025.20,156.4
,Nifty IT,     19629.35,     19774.75,     19836.95,     19463.65,     19783.00,153.65
,Nifty Next 50,     26397.70,     26660.05,     27026.25,     26632.45,     26990.90,593.2
,Nifty Bank,     20982.35,     21152.05,     21708.85,     21055.10,     21665.50,683.15
,NIFTY MIDCAP 100,     16504.00,     16677.85,     17018.55,     16650.80,     16998.25,494.25
,Nifty 500,      9156.10,      9237.75,      9338.70,      9212.75,      9330.25,174.15
,Nifty 100,     11176.30,     11270.55,     11375.45,     11233.55,     11365.25,188.95
,Nifty Midcap 50,      4534.95,      4581.85,      4705.20,      4574.70,      4699.70,164.75
,Nifty Realty,       209.40,       211.35,       217.45,       211.15,       215.75,6.35
,Nifty Infra,      3049.80,      3079.20,      3123.05,      3073.50,      3111.30,61.5
,Nifty Energy,     14826.30,     15004.80,     15305.90,     14963.85,     15210.20,383.9
,Nifty FMCG,     29633.50,     29754.95,     30001.60,     29630.55,     29886.20,252.7
,Nifty MNC,     13740.25,     13865.20,     13978.70,     13814.40,     13948.00,207.75
,Nifty Pharma,     11595.90,     11724.75,     11842.35,     11528.25,     11796.60,200.7
,Nifty PSE,      2266.05,      2283.50,      2352.40,      2279.35,      2338.90,72.85
,Nifty PSU Bank,      1276.20,      1291.60,      1321.60,      1287.60,      1318.80,42.6
,Nifty Serv Sector,     14280.70,     14392.50,     14572.80,     14326.20,     14549.60,268.9
,India VIX,20.6750,20.6750,21.0975,19.3500,19.5725,-1.1025
,Nifty Auto,      7669.50,      7750.30,      7918.20,      7734.15,      7902.55,233.05
,Nifty Metal,      2172.65,      2198.40,      2249.10,      2189.55,      2237.00,64.35
,Nifty Media,      1484.75,      1514.60,      1561.10,      1506.75,      1555.55,70.8
,NIFTY SMLCAP 100,      5654.95,      5727.90,      5869.95,      5724.85,      5857.55,202.6
,Nifty 200,      5734.95,      5784.70,      5845.50,      5767.10,      5840.40,105.45
,Nifty Div Opps 50,      2349.70,      2365.15,      2386.50,      2354.25,      2383.70,34
,Nifty Commodities,      3033.25,      3065.40,      3114.20,      3059.05,      3107.55,74.3
,Nifty Consumption,      4918.90,      4954.25,      5004.50,      4941.05,      4998.45,79.55
,Nifty Fin Service,     10332.25,     10416.75,     10613.55,     10363.50,     10591.35,259.1
,Nifty50 Div Point,        53.78,        53.78,        53.78,        53.78,        53.78,0
,Nifty100 Liq 15,      2546.95,      2573.50,      2625.10,      2566.10,      2620.30,73.35
,Nifty CPSE,      1313.60,      1322.05,      1365.95,      1320.85,      1359.05,45.45
,Nifty GrowSect 15,      5126.80,      5164.70,      5234.80,      5140.55,      5225.60,98.8
,Nifty50 PR 2x Lev,      3846.25,      3908.25,      3976.55,      3880.15,      3968.65,122.4
,Nifty50 PR 1x Inv,       396.85,       393.70,       395.15,       390.15,       390.60,-6.25
,Nifty50 TR 2x Lev,      5085.60,      5167.60,      5257.90,      5130.45,      5247.45,161.85
,Nifty50 TR 1x Inv,       345.30,       342.55,       343.80,       339.50,       339.85,-5.45
,Nifty50 Value 20,      5539.15,      5574.65,      5602.00,      5533.85,      5592.90,53.75
,Nifty Mid Liq 15,      3966.35,      4001.90,      4124.55,      3992.15,      4118.15,151.8
,Nifty Pvt Bank,     11540.95,     11638.95,     11977.50,     11585.40,     11951.10,410.15
,NIFTY100 Qualty30,      2671.45,      2690.90,      2722.40,      2678.70,      2719.00,47.55
,Nifty GS 8 13Yr,      2196.50,      2196.87,      2196.87,      2191.62,      2192.34,-4.16
,Nifty GS 10Yr,      1984.43,      1984.75,      1984.75,      1977.71,      1980.87,-3.56
,Nifty GS 10Yr Cln,       958.99,       958.99,       958.99,       955.56,       957.10,-1.89
,Nifty GS 4 8Yr,      2336.00,      2336.37,      2336.67,      2333.33,      2334.22,-1.78
,Nifty GS 11 15Yr,      2365.95,      2366.38,      2366.38,      2361.07,      2362.42,-3.53
,Nifty GS 15YrPlus,      2566.38,      2566.86,      2566.86,      2566.86,      2566.86,.48
,Nifty GS Compsite,      2237.82,      2238.21,      2238.21,      2233.67,      2234.47,-3.35

,ADVANCES,1447
,DECLINES,459
,UNCHANGED,93

,Total securities that have hit their price bands today,490

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,RELIANCE,EQ,      2201.70,      2216.25,0.66,2016.31
,BAJFINANCE,EQ,      3138.95,      3335.15,6.25,1838.4
,INDUSINDBK,EQ,       514.85,       555.10,7.82,1331.62
,DRREDDY,EQ,      5112.20,      5129.85,0.35,1283.62
,TCS,EQ,      2422.30,      2426.30,0.17,1044.95
,PVR,EQ,      1100.95,      1233.65,12.05,1026.69
,HCLTECH,EQ,       827.70,       835.25,0.91,930.97
,BHARTIARTL,EQ,       439.65,       443.65,0.91,930.29
,INFY,EQ,      1011.45,      1010.40,-0.1,859.62
,HDFCBANK,EQ,      1044.00,      1054.20,0.98,850.49
,AXISBANK,EQ,       415.05,       439.25,5.83,837.54
,TATAMOTORS,EQ,       127.25,       132.85,4.4,818.44
,SBIN,EQ,       182.20,       187.25,2.77,781.15
,MARUTI,EQ,      6497.70,      6703.00,3.16,733.47
,CIPLA,EQ,       770.10,       774.80,0.61,714.04
,ZEEL,EQ,       198.20,       208.75,5.32,698.92
,ICICIBANK,EQ,       348.65,       363.00,4.12,663.65
,ESCORTS,EQ,      1203.40,      1295.60,7.66,621.73
,ASHOKLEY,EQ,        76.30,        76.60,0.39,614.34
,SUNPHARMA,EQ,       489.65,       510.10,4.18,611.79
,APOLLOHOSP,EQ,      2027.65,      2059.90,1.59,499.32
,HDFC,EQ,      1652.00,      1681.45,1.78,459.83
,TATASTEEL,EQ,       352.10,       361.00,2.53,442.18
,BALKRISIND,EQ,      1355.95,      1447.65,6.76,435.66
,HEROMOTOCO,EQ,      3002.00,      3088.90,2.89,434.55

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,INDUSINDBK,EQ,       555.10,       514.85,7.82
,BAJFINANCE,EQ,      3335.15,      3138.95,6.25
,AXISBANK,EQ,       439.25,       415.05,5.83
,POWERGRID,EQ,       168.15,       160.75,4.6
,TATAMOTORS,EQ,       132.85,       127.25,4.4

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,HINDUNILVR,EQ,      2063.30,      2079.05,-0.76
,WIPRO,EQ,       311.55,       313.90,-0.75
,NESTLEIND,EQ,     15719.80,     15736.80,-0.11
,INFY,EQ,      1010.40,      1011.45,-0.1

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        29.10,                   976066.30,33196
,21STCENMGM,EQ,        10.25,                    42375.35,4212
,3IINFOTECH,EQ,         3.00,                 24204084.90,8084265
,3MINDIA,EQ,     18361.85,                 47466457.90,2588
,5PAISA,BE,       346.85,                  1827834.00,5320
,619GS2034,GS,        95.98,                      479.90,5
,63MOONS,EQ,        68.50,                  3622719.90,53745
,716GS2050,GS,       113.95,                    35236.80,337
,719GS2060,GS,       113.75,                      227.50,2
,8KMILES,BE,        51.95,                   269828.30,5194
,A2ZINFRA,EQ,         4.25,                   677533.80,162383
,AARON,SM,        28.75,                   371700.00,12600
,AARTIDRUGS,EQ,      3038.85,                939077228.75,310942
,AARTIIND,EQ,      1021.80,                139094083.10,136227
,AARTISURF,BE,       478.75,                  9266412.90,19391
,AARVEEDEN,EQ,        11.00,                    25984.25,2371
,AARVI,EQ,        39.30,                   298541.90,7536
,AAVAS,EQ,      1373.25,                 27867815.60,20250
,ABAN,EQ,        24.05,                   805621.25,33589
,ABB,EQ,       861.25,                 68840517.25,79765
,ABCAPITAL,EQ,        64.60,                128884069.95,2008461
,ABFRL,EQ,       131.05,                145679145.90,1112026
,ABFRLPP,E1,        72.15,                  1746772.20,24068
,ABMINTLTD,BE,        18.75,                     5400.00,288
,ABSLBANETF,EQ,       216.01,                   152469.40,713
,ABSLNN50ET,EQ,       286.32,                    47542.08,165
,ABSLRIF6RG,MF,         5.99,                   145860.00,25000
,ACCELYA,EQ,      1032.80,                  4226358.35,4093
,ACCURACY,SM,        37.10,                   180800.00,4800
,ACE,EQ,        68.35,                  8552541.50,124833
,ADANIENT,EQ,       295.70,               1710869647.30,5876021
,ADANIGAS,EQ,       190.20,                234630017.05,1248634
,ADANIPOWER,EQ,        37.15,                 48025165.25,1296200
,ADFFOODS,EQ,       431.05,                 45434585.05,105744
,ADHUNIKIND,EQ,        19.00,                   282750.30,14948
,ADORWELD,EQ,       244.65,                  4065629.95,16626
,ADROITINFO,EQ,         4.75,                    12108.00,2480
,ADSL,EQ,        23.10,                  3140516.50,138775
,ADVANIHOTR,EQ,        42.45,                   270476.10,6564
,ADVENZYMES,EQ,       301.45,                558508074.65,1873980
,AEGISCHEM,EQ,       239.30,                 98914206.85,414270
,AFFLE,EQ,      2960.85,                131230676.55,44039
,AGARIND,EQ,        94.80,                   648840.75,6928
,AGCNET,EQ,       353.90,                 10182899.90,28846
,AGRITECH,EQ,        29.75,                    77863.25,2620
,AGROPHOS,EQ,         9.60,                   211487.30,22128
,AHLADA,SM,        41.25,                   427550.00,10000
,AHLEAST,EQ,       142.60,                   710978.45,4963
,AHLUCONT,EQ,       240.80,                  3098222.30,12921
,AHLWEST,EQ,       273.90,                   374206.70,1367
,AIAENG,EQ,      1724.25,                 31505637.85,18171
,AIONJSW,EQ,        18.25,                  1434740.40,78706
,AIRAN,EQ,        11.60,                   185288.85,15859
,AIROLAM,SM,        25.00,                    75000.00,3000
,AJANTPHARM,EQ,      1589.60,                233844627.35,148032
,AJMERA,EQ,        81.55,                  5324435.30,65457
,AJOONI,SM,        33.05,                   790400.00,24000
,AKASH,BE,       238.40,                   351178.05,1472
,AKSHARCHEM,EQ,       223.40,                  3134638.10,13969
,AKSHOPTFBR,EQ,         6.00,                   419334.95,69795
,AKZOINDIA,EQ,      2052.15,                 13846368.15,6795
,ALANKIT,EQ,        16.45,                  5491385.95,332995
,ALBERTDAVD,EQ,       440.45,                 12101474.80,27742
