,15-Oct-2020
The Nifty witnessed an intraday movement of about 364.15 points.The closing index was 2.43 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 54840.42
, Traded Quantity (in Lakhs), 19953.64
, Number of Trades, 15453027
, Total Market Capitalisation (Rs. Crores), 15524826.59

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     11971.05,     12023.45,     12025.45,     11661.30,     11680.35,-290.7
,NIFTY50 EQL Wgt,     11936.25,     11966.95,     11978.55,     11705.60,     11725.40,-210.85
,NIFTY100 EQL Wgt,     12859.10,     12895.15,     12916.10,     12617.00,     12643.00,-216.1
,NIFTY100 LowVol30,      9564.05,      9588.10,      9591.70,      9400.35,      9418.85,-145.2
,NIFTY Alpha 50,     16860.25,     16907.25,     16929.35,     16521.40,     16548.95,-311.3
,NIFTY MIDCAP 150,      6429.15,      6441.90,      6469.30,      6320.70,      6331.65,-97.5
,NIFTY SMLCAP 50,      2947.30,      2961.00,      2964.70,      2877.40,      2886.05,-61.25
,NIFTY SMLCAP 250,      5000.40,      5020.70,      5030.55,      4914.40,      4922.20,-78.2
,NIFTY MIDSML 400,      5918.90,      5934.45,      5954.45,      5821.00,      5828.30,-90.6
,NIFTY200 QUALTY30,     10723.75,     10773.65,     10780.75,     10545.75,     10564.95,-158.8
,Nifty FinSrv25 50,     11337.00,     11356.20,     11412.60,     11001.45,     11025.80,-311.2
,NIFTY AlphaLowVol,     12273.95,     12300.60,     12317.70,     12094.85,     12126.60,-147.35
,Nifty200Momentm30,     12207.70,     12230.75,     12265.20,     11988.30,     12016.05,-191.65
,Nifty100ESGSecLdr,      2078.65,      2090.40,      2090.75,      2030.20,      2033.00,-45.65
,Nifty IT,     22204.05,     22473.65,     22570.50,     21364.15,     21567.30,-636.75
,Nifty Next 50,     27383.45,     27465.00,     27499.40,     26854.70,     26922.05,-461.4
,Nifty Bank,     23874.65,     23920.35,     24087.85,     22970.95,     23072.40,-802.25
,NIFTY MIDCAP 100,     16886.25,     16919.25,     17007.60,     16561.45,     16599.60,-286.65
,Nifty 500,      9763.40,      9801.55,      9802.90,      9535.70,      9550.05,-213.35
,Nifty 100,     12039.05,     12089.55,     12091.05,     11738.70,     11758.20,-280.85
,Nifty Midcap 50,      4649.45,      4664.45,      4691.65,      4537.20,      4550.10,-99.35
,Nifty Realty,       214.70,       216.05,       218.30,       208.85,       209.60,-5.1
,Nifty Infra,      3109.75,      3113.20,      3127.00,      3035.95,      3044.15,-65.6
,Nifty Energy,     14755.00,     14767.05,     14832.65,     14399.65,     14460.20,-294.8
,Nifty FMCG,     29959.60,     30006.00,     30107.00,     29554.35,     29644.80,-314.8
,Nifty MNC,     14079.40,     14112.40,     14139.95,     13897.25,     13931.10,-148.3
,Nifty Pharma,     11857.25,     11891.85,     11932.30,     11571.05,     11637.90,-219.35
,Nifty PSE,      2170.50,      2170.90,      2193.65,      2141.20,      2148.80,-21.7
,Nifty PSU Bank,      1303.25,      1308.00,      1318.50,      1262.70,      1266.20,-37.05
,Nifty Serv Sector,     15948.45,     16055.15,     16059.90,     15466.00,     15500.60,-447.85
,India VIX,20.2100,20.2100,22.2750,19.0375,22.0575,1.8475
,Nifty Auto,      8031.05,      8043.05,      8120.25,      7909.00,      7935.35,-95.7
,Nifty Metal,      2251.95,      2266.40,      2292.60,      2232.70,      2240.95,-11
,Nifty Media,      1496.55,      1504.60,      1512.65,      1449.65,      1454.45,-42.1
,NIFTY SMLCAP 100,      5859.90,      5884.10,      5899.15,      5745.35,      5759.00,-100.9
,Nifty 200,      6142.45,      6166.70,      6167.50,      5993.75,      6003.40,-139.05
,Nifty Div Opps 50,      2431.90,      2445.55,      2447.25,      2391.80,      2396.35,-35.55
,Nifty Commodities,      3144.45,      3153.85,      3168.05,      3094.60,      3103.10,-41.35
,Nifty Consumption,      5041.70,      5045.95,      5068.60,      4970.25,      4983.45,-58.25
,Nifty Fin Service,     11686.65,     11705.35,     11771.35,     11309.05,     11341.60,-345.05
,Nifty50 Div Point,        56.71,        56.71,        56.71,        56.71,        56.71,0
,Nifty100 Liq 15,      2734.25,      2740.80,      2745.70,      2650.75,      2657.75,-76.5
,Nifty CPSE,      1264.85,      1265.80,      1278.95,      1252.35,      1256.15,-8.7
,Nifty GrowSect 15,      5647.85,      5654.25,      5672.75,      5502.80,      5514.15,-133.7
,Nifty50 PR 2x Lev,      4502.35,      4541.40,      4541.40,      4269.50,      4283.30,-219.05
,Nifty50 PR 1x Inv,       366.60,       365.05,       376.10,       365.05,       375.55,8.95
,Nifty50 TR 2x Lev,      5956.05,      6007.70,      6007.70,      5648.00,      5666.25,-289.8
,Nifty50 TR 1x Inv,       318.90,       317.55,       327.20,       317.55,       326.70,7.8
,Nifty50 Value 20,      5883.00,      5927.45,      5933.45,      5764.70,      5776.80,-106.2
,Nifty Mid Liq 15,      4087.15,      4100.65,      4121.65,      3999.40,      4009.90,-77.25
,Nifty Pvt Bank,     13198.70,     13218.40,     13316.75,     12701.50,     12761.00,-437.7
,NIFTY100 Qualty30,      2833.65,      2846.20,      2846.65,      2779.75,      2785.90,-47.75
,Nifty GS 8 13Yr,      2226.59,      2226.96,      2227.76,      2225.04,      2226.21,-.38
,Nifty GS 10Yr,      2009.04,      2009.36,      2011.45,      2007.89,      2009.60,.56
,Nifty GS 10Yr Cln,       968.33,       968.33,       969.35,       967.61,       968.45,.12
,Nifty GS 4 8Yr,      2363.63,      2364.00,      2366.43,      2364.00,      2365.63,2
,Nifty GS 11 15Yr,      2403.69,      2404.12,      2407.09,      2403.08,      2403.94,.25
,Nifty GS 15YrPlus,      2580.93,      2581.42,      2582.17,      2579.33,      2579.33,-1.6
,Nifty GS Compsite,      2267.80,      2268.18,      2270.11,      2267.24,      2268.41,.61

,ADVANCES,483
,DECLINES,1433
,UNCHANGED,89

,Total securities that have hit their price bands today,318

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,INFY,EQ,      1137.00,      1108.25,-2.53,4996.51
,RELIANCE,EQ,      2287.50,      2206.50,-3.54,2072.26
,TCS,EQ,      2809.60,      2740.60,-2.46,1828.16
,BAJFINANCE,EQ,      3372.05,      3214.75,-4.66,1728.98
,HDFCBANK,EQ,      1211.50,      1169.25,-3.49,1687.9
,ICICIBANK,EQ,       406.80,       391.00,-3.88,1375.4
,AXISBANK,EQ,       471.30,       462.60,-1.85,1373.01
,HCLTECH,EQ,       890.45,       860.00,-3.42,1352.07
,WIPRO,EQ,       350.45,       341.60,-2.53,1336.94
,TATASTEEL,EQ,       375.55,       373.90,-0.44,1207.1
,BHARTIARTL,EQ,       413.25,       399.20,-3.4,1122.93
,HDFC,EQ,      1979.85,      1947.20,-1.65,1025.36
,SBIN,EQ,       200.05,       192.85,-3.6,972.47
,INDUSINDBK,EQ,       622.65,       598.00,-3.96,907.72
,DRREDDY,EQ,      5123.00,      5056.25,-1.3,900.79
,ASIANPAINT,EQ,      2071.35,      2090.45,0.92,839.93
,TATAMOTORS,EQ,       130.70,       126.95,-2.87,836.91
,TECHM,EQ,       848.85,       812.40,-4.29,730.24
,APOLLOHOSP,EQ,      2227.70,      2182.60,-2.02,621.49
,HEROMOTOCO,EQ,      3310.80,      3314.30,0.11,608.15
,JUSTDIAL,EQ,       408.90,       460.75,12.68,528.04
,HINDUNILVR,EQ,      2158.15,      2152.55,-0.26,507.36
,CIPLA,EQ,       781.50,       768.30,-1.69,488.33
,ASHOKLEY,EQ,        73.20,        72.35,-1.16,487.81
,MARUTI,EQ,      7002.35,      6892.60,-1.57,474.97

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,ASIANPAINT,EQ,      2090.45,      2071.35,.92
,JSWSTEEL,EQ,       291.55,       290.65,.31
,HEROMOTOCO,EQ,      3314.30,      3310.80,.11
,COALINDIA,EQ,       110.60,       110.55,.05

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,BAJFINANCE,EQ,      3214.75,      3372.05,-4.66
,TECHM,EQ,       812.40,       848.85,-4.29
,INDUSINDBK,EQ,       598.00,       622.65,-3.96
,ICICIBANK,EQ,       391.00,       406.80,-3.88
,SBIN,EQ,       192.85,       200.05,-3.6

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        27.60,                  1151338.20,41568
,21STCENMGM,EQ,         9.70,                    29636.40,3056
,3IINFOTECH,EQ,         3.20,                  9094239.50,2845434
,3MINDIA,EQ,     18704.90,                 30142353.35,1599
,3PLAND,EQ,         6.35,                     1809.75,285
,5PAISA,BE,       356.60,                  5146541.95,14556
,63MOONS,EQ,        73.10,                  1687792.65,22837
,68GS2060,GS,       104.00,                     5305.90,51
,716GS2050,GS,       110.24,                    46008.40,421
,719GS2060,GS,       113.00,                    25790.00,230
,757GS2033,GS,       112.25,                    33675.00,300
,8KMILES,BE,        92.95,                  2638664.60,28388
,A2ZINFRA,EQ,         3.80,                  1657132.65,429476
,AAATECH,ST,        43.30,                 11956350.00,279000
,AAKASH,EQ,        53.10,                  2239383.55,42428
,AARON,SM,        29.00,                   182700.00,6300
,AARTIDRUGS,EQ,       798.65,                462493229.25,569806
,AARTIIND,EQ,       976.20,                325970100.95,329882
,AARTISURF,BE,       529.40,                  7269801.55,13634
,AARVEEDEN,EQ,        10.95,                    46801.30,4268
,AARVI,EQ,        37.95,                    12092.80,324
,AAVAS,EQ,      1438.25,                 15661332.30,10826
,ABAN,EQ,        22.80,                   978412.50,42595
,ABB,EQ,       858.55,                140396377.30,163287
,ABCAPITAL,EQ,        60.80,                 58667121.65,954477
,ABFRL,EQ,       132.20,                146118178.25,1094284
,ABFRLPP,E1,        73.55,                  5035232.10,67336
,ABINFRA,SM,         8.15,                    65200.00,8000
,ABMINTLTD,BE,        24.75,                     8266.50,334
,ABSLBANETF,EQ,       229.26,                    11209.96,49
,ABSLNN50ET,EQ,       286.01,                    86591.13,305
,ACCELYA,EQ,       997.30,                  7548698.90,7435
,ACCURACY,SM,        32.50,                    52000.00,1600
,ACE,EQ,        68.85,                 15644645.70,223911
,ADANIENT,EQ,       307.10,               1577685848.85,4960733
,ADANIGAS,EQ,       181.45,                268325338.20,1450765
,ADANIPOWER,EQ,        36.10,                 39956591.80,1100235
,ADFFOODS,EQ,       401.30,                 11142375.70,27556
,ADHUNIKIND,EQ,        18.20,                   192898.00,10602
,ADL,BE,        21.10,                    29467.60,1368
,ADORWELD,EQ,       242.85,                  2366019.00,9606
,ADROITINFO,EQ,         7.90,                    51563.30,6527
,ADSL,EQ,        23.00,                  3736180.05,158608
,ADVANIHOTR,EQ,        40.90,                    54039.60,1319
,ADVENZYMES,EQ,       328.15,                131954495.30,393016
,AEGISCHEM,EQ,       208.10,                 38094556.60,179198
,AFFLE,EQ,      2672.95,                 61356274.05,22713
,AGARIND,EQ,        85.15,                   295488.75,3477
,AGCNET,EQ,       372.45,                  6238283.85,16618
,AGRITECH,EQ,        27.95,                    84857.25,3048
,AGROPHOS,EQ,         8.95,                    92321.70,10399
,AHLEAST,EQ,       133.95,                    32936.55,244
,AHLUCONT,EQ,       223.30,                  2898193.65,12737
,AHLWEST,EQ,       262.85,                   206794.85,796
,AIAENG,EQ,      1733.10,                 51186313.25,29330
,AIRAN,EQ,        11.30,                   400683.35,34966
,AJANTPHARM,EQ,      1546.85,                131882749.75,84277
,AJMERA,EQ,        93.65,                297639811.25,3118257
,AJOONI,SM,        34.20,                  1779000.00,52000
,AKASH,BE,       252.00,                    88441.90,353
,AKG,SM,        57.10,                   228400.00,4000
,AKSHARCHEM,EQ,       203.75,                  1822834.20,8855
,AKSHOPTFBR,EQ,         5.25,                   577482.30,109915
,AKZOINDIA,EQ,      1983.10,                 15694966.85,7904
,ALANKIT,EQ,        14.35,                 29232391.65,1928483
,ALBERTDAVD,EQ,       395.60,                  7257855.80,18137
,ALCHEM,EQ,         4.65,                   124658.25,26880
