,21-Oct-2020
The Nifty witnessed an intraday movement of about 242.9 points.The closing index was 0.34 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 61444.39
, Traded Quantity (in Lakhs), 21393.61
, Number of Trades, 16736784
, Total Market Capitalisation (Rs. Crores), 15784904.42

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     11896.80,     11958.55,     12018.65,     11775.75,     11937.65,40.85
,NIFTY50 EQL Wgt,     11931.65,     12002.55,     12065.00,     11809.35,     11983.80,52.15
,NIFTY100 EQL Wgt,     12882.15,     12948.50,     12995.50,     12757.75,     12917.35,35.2
,NIFTY100 LowVol30,      9566.75,      9610.35,      9629.55,      9445.20,      9547.85,-18.9
,NIFTY Alpha 50,     16757.70,     16836.55,     16911.15,     16566.65,     16758.85,1.15
,NIFTY MIDCAP 150,      6468.10,      6491.55,      6527.35,      6417.70,      6480.15,12.05
,NIFTY SMLCAP 50,      2951.85,      2971.55,      2985.60,      2914.85,      2948.95,-2.9
,NIFTY SMLCAP 250,      5029.25,      5058.85,      5072.20,      4979.15,      5029.15,-.1
,NIFTY MIDSML 400,      5954.25,      5980.00,      6002.70,      5903.90,      5961.85,7.6
,NIFTY200 QUALTY30,     10681.20,     10724.25,     10750.70,     10508.00,     10591.65,-89.55
,Nifty FinSrv25 50,     11420.30,     11471.30,     11588.20,     11299.95,     11508.25,87.95
,NIFTY AlphaLowVol,     12266.85,     12314.70,     12332.60,     12080.30,     12200.80,-66.05
,Nifty200Momentm30,     12095.30,     12143.55,     12156.30,     11866.10,     12010.65,-84.65
,Nifty100ESGSecLdr,      2073.90,      2083.55,      2093.30,      2055.30,      2081.60,7.7
,Nifty IT,     21694.35,     21757.05,     21892.30,     21406.10,     21577.65,-116.7
,Nifty Next 50,     27435.00,     27537.95,     27632.00,     27100.20,     27370.70,-64.3
,Nifty Bank,     24311.80,     24444.20,     24823.60,     24099.85,     24635.05,323.25
,NIFTY MIDCAP 100,     17023.25,     17090.00,     17215.55,     16882.20,     17065.45,42.2
,Nifty 500,      9733.00,      9780.50,      9821.95,      9635.30,      9756.60,23.6
,Nifty 100,     11976.85,     12036.80,     12092.05,     11851.90,     12009.00,32.15
,Nifty Midcap 50,      4690.50,      4707.05,      4749.50,      4637.05,      4701.15,10.65
,Nifty Realty,       226.95,       228.15,       238.65,       226.35,       236.85,9.9
,Nifty Infra,      3093.15,      3112.20,      3136.30,      3077.90,      3122.05,28.9
,Nifty Energy,     14529.15,     14667.50,     14834.55,     14478.70,     14643.55,114.4
,Nifty FMCG,     29964.60,     30105.05,     30139.25,     29483.20,     29684.10,-280.5
,Nifty MNC,     14069.95,     14124.60,     14129.90,     13900.55,     13976.95,-93
,Nifty Pharma,     11644.40,     11696.30,     11712.55,     11444.35,     11645.70,1.3
,Nifty PSE,      2211.35,      2231.60,      2271.60,      2224.50,      2253.85,42.5
,Nifty PSU Bank,      1304.60,      1314.50,      1332.05,      1293.25,      1314.15,9.55
,Nifty Serv Sector,     16010.20,     16079.35,     16231.35,     15891.65,     16142.10,131.9
,India VIX,22.6900,22.6900,23.5450,18.3775,22.9150,0.2250
,Nifty Auto,      7896.70,      7955.25,      7991.95,      7784.35,      7878.05,-18.65
,Nifty Metal,      2363.35,      2376.65,      2429.20,      2372.85,      2416.05,52.7
,Nifty Media,      1453.70,      1465.50,      1476.65,      1426.30,      1444.85,-8.85
,NIFTY SMLCAP 100,      5904.35,      5943.65,      5963.45,      5828.40,      5897.70,-6.65
,Nifty 200,      6119.55,      6149.45,      6177.70,      6057.30,      6135.85,16.3
,Nifty Div Opps 50,      2444.60,      2456.85,      2464.65,      2427.70,      2447.90,3.3
,Nifty Commodities,      3170.35,      3193.65,      3222.75,      3153.30,      3204.95,34.6
,Nifty Consumption,      5030.45,      5055.15,      5063.25,      4964.30,      5009.45,-21
,Nifty Fin Service,     11820.80,     11880.50,     12022.55,     11724.10,     11964.40,143.6
,Nifty50 Div Point,        56.71,        56.71,        56.71,        56.71,        56.71,0
,Nifty100 Liq 15,      2718.05,      2732.75,      2760.25,      2694.05,      2745.80,27.75
,Nifty CPSE,      1282.00,      1287.60,      1318.20,      1284.65,      1306.25,24.25
,Nifty GrowSect 15,      5684.20,      5714.35,      5754.50,      5632.55,      5731.65,47.45
,Nifty50 PR 2x Lev,      4440.95,      4486.65,      4531.15,      4350.55,      4471.10,30.15
,Nifty50 PR 1x Inv,       368.85,       366.95,       372.60,       365.10,       367.60,-1.25
,Nifty50 TR 2x Lev,      5874.80,      5935.30,      5994.10,      5755.25,      5914.65,39.85
,Nifty50 TR 1x Inv,       320.85,       319.20,       324.10,       317.60,       319.75,-1.1
,Nifty50 Value 20,      5882.90,      5913.50,      5926.00,      5832.75,      5885.60,2.7
,Nifty Mid Liq 15,      4126.60,      4143.55,      4171.15,      4066.25,      4120.85,-5.75
,Nifty Pvt Bank,     13461.55,     13530.80,     13752.20,     13338.40,     13630.60,169.05
,NIFTY100 Qualty30,      2829.15,      2840.70,      2847.15,      2786.00,      2813.10,-16.05
,Nifty GS 8 13Yr,      2225.11,      2225.49,      2227.72,      2225.44,      2227.24,2.13
,Nifty GS 10Yr,      2006.23,      2006.55,      2009.72,      2006.21,      2009.52,3.29
,Nifty GS 10Yr Cln,       966.02,       966.02,       967.57,       965.85,       967.47,1.45
,Nifty GS 4 8Yr,      2364.93,      2365.30,      2368.38,      2365.25,      2367.25,2.32
,Nifty GS 11 15Yr,      2401.04,      2401.47,      2403.59,      2401.00,      2403.59,2.55
,Nifty GS 15YrPlus,      2577.20,      2577.69,      2578.43,      2576.26,      2578.28,1.08
,Nifty GS Compsite,      2267.34,      2267.72,      2270.43,      2267.59,      2269.89,2.55

,ADVANCES,936
,DECLINES,927
,UNCHANGED,129

,Total securities that have hit their price bands today,306

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,RELIANCE,EQ,      2155.90,      2124.60,-1.45,3372.31
,BAJFINANCE,EQ,      3262.15,      3232.85,-0.9,2423.31
,INFY,EQ,      1137.50,      1148.35,0.95,2272.63
,HDFCBANK,EQ,      1223.95,      1246.70,1.86,2206.77
,ICICIBANK,EQ,       414.60,       420.30,1.37,1815.64
,INDUSINDBK,EQ,       625.25,       628.10,0.46,1682.53
,HDFC,EQ,      2015.30,      2048.75,1.66,1671.77
,AXISBANK,EQ,       493.95,       501.45,1.52,1349.33
,TCS,EQ,      2739.00,      2675.40,-2.32,1234.35
,BRITANNIA,EQ,      3553.15,      3397.25,-4.39,1224.26
,SBIN,EQ,       203.05,       203.75,0.34,1112.59
,TATASTEEL,EQ,       392.40,       404.05,2.97,1060.29
,HCLTECH,EQ,       879.65,       871.05,-0.98,976.56
,BHARTIARTL,EQ,       405.00,       419.00,3.46,970.08
,ULTRACEMCO,EQ,      4544.35,      4629.10,1.86,929.06
,HINDUNILVR,EQ,      2173.10,      2163.15,-0.46,854.37
,GODREJPROP,EQ,       934.40,      1041.85,11.5,847.22
,DRREDDY,EQ,      5071.15,      5046.75,-0.48,806.17
,VEDL,EQ,        99.25,       101.20,1.96,745.01
,HEROMOTOCO,EQ,      3237.60,      3178.35,-1.83,651.43
,MARUTI,EQ,      6844.60,      6861.85,0.25,627.09
,ASIANPAINT,EQ,      2118.50,      2114.30,-0.2,613.4
,JUSTDIAL,EQ,       599.45,       565.65,-5.64,609.34
,BPCL,EQ,       343.35,       349.55,1.81,600.99
,KOTAKBANK,EQ,      1368.80,      1393.30,1.79,592.19

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,POWERGRID,EQ,       163.75,       157.20,4.17
,BHARTIARTL,EQ,       419.00,       405.00,3.46
,TATASTEEL,EQ,       404.05,       392.40,2.97
,HINDALCO,EQ,       185.95,       180.80,2.85
,GAIL,EQ,        87.65,        85.70,2.28

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,BRITANNIA,EQ,      3397.25,      3553.15,-4.39
,TCS,EQ,      2675.40,      2739.00,-2.32
,SBILIFE,EQ,       785.35,       800.75,-1.92
,HEROMOTOCO,EQ,      3178.35,      3237.60,-1.83
,HDFCLIFE,EQ,       562.70,       571.00,-1.45

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        28.00,                   760580.95,27214
,21STCENMGM,EQ,         9.70,                    21093.15,2194
,3IINFOTECH,EQ,         3.00,                 22618451.85,7513045
,3MINDIA,EQ,     18951.70,                 55923517.90,2943
,3PLAND,EQ,         6.30,                     6408.25,996
,5PAISA,BE,       344.30,                  1630758.65,4737
,63MOONS,EQ,        73.15,                  4718073.10,63803
,716GS2050,GS,       111.65,                    10048.50,90
,719GS2060,GS,       113.30,                      113.30,1
,757GS2033,GS,       112.25,                   168706.75,1503
,8KMILES,BE,       102.15,                 37525474.40,351546
,A2ZINFRA,EQ,         3.55,                   590730.30,165075
,AAATECH,ST,        43.10,                  1298100.00,30000
,AAKASH,EQ,        53.30,                  2023911.50,38277
,AARON,SM,        27.25,                   171675.00,6300
,AARTIDRUGS,EQ,       769.10,                462259516.25,596390
,AARTIIND,EQ,       984.50,                258954806.65,263109
,AARTISURF,BE,       577.75,                 17847849.75,30081
,AARVEEDEN,EQ,        10.95,                    34385.20,3137
,AARVI,EQ,        39.00,                    25779.20,665
,AAVAS,EQ,      1482.30,                215873482.55,143481
,ABAN,EQ,        22.75,                   642392.75,28035
,ABB,EQ,       901.65,                135650213.20,150828
,ABCAPITAL,EQ,        68.10,                939064476.15,14057760
,ABFRL,EQ,       150.80,               1340364389.40,8973304
,ABFRLPP,E1,        87.60,                 33578252.15,386117
,ABINFRA,SM,         8.50,                   102000.00,12000
,ABMINTLTD,BE,        29.95,                    17760.35,593
,ABSLBANETF,EQ,       242.13,                   473332.59,1980
,ABSLNN50ET,EQ,       277.14,                    13607.41,49
,ACCELYA,EQ,       978.85,                  5165120.55,5225
,ACE,EQ,        71.80,                 13978323.35,195966
,ADANIENT,EQ,       312.00,               1577975850.15,4998996
,ADANIGAS,EQ,       192.90,                231649569.40,1201959
,ADANIPOWER,EQ,        35.10,                 34675712.35,983052
,ADFFOODS,EQ,       437.20,                 84638445.30,193473
,ADHUNIKIND,EQ,        18.10,                   410321.25,22720
,ADL,BE,        18.50,                   122779.55,6521
,ADORWELD,EQ,       243.55,                  1395764.55,5708
,ADROITINFO,EQ,         8.20,                    88679.10,11265
,ADSL,EQ,        22.65,                  6206526.25,270459
,ADVANIHOTR,EQ,        40.10,                    90031.20,2234
,ADVENZYMES,EQ,       331.65,                174813507.80,526572
,AEGISCHEM,EQ,       204.70,                 50845135.30,246379
,AFFLE,EQ,      2722.80,                 45786834.30,16862
,AGARIND,EQ,        84.75,                   680148.60,8003
,AGCNET,EQ,       469.65,                 31111817.90,65606
,AGRITECH,EQ,        27.75,                    75492.55,2692
,AGROPHOS,EQ,         8.85,                    94132.65,10687
,AHLADA,SM,        42.00,                    42000.00,1000
,AHLEAST,EQ,       134.30,                    14201.75,105
,AHLUCONT,EQ,       224.65,                  2691827.65,12015
,AHLWEST,EQ,       256.80,                   465725.20,1806
,AIAENG,EQ,      1705.55,                 15018130.65,8788
,AIRAN,EQ,        11.40,                   106445.45,9409
,AJANTPHARM,EQ,      1603.35,                278891392.10,175032
,AJMERA,EQ,        92.15,                 30152716.50,329495
,AJOONI,SM,        33.90,                   815600.00,24000
,AKASH,BE,       254.80,                  2601020.55,10408
,AKG,SM,        66.15,                  1045800.00,16000
,AKSHARCHEM,EQ,       204.00,                  1406058.90,6882
,AKSHOPTFBR,EQ,         5.15,                   332510.10,64582
,AKZOINDIA,EQ,      2025.45,                 33615985.90,16189
,ALANKIT,EQ,        15.85,                  2104824.60,133009
,ALBERTDAVD,EQ,       399.90,                  3510175.30,8733
,ALCHEM,EQ,         4.60,                    75512.20,16428
