,23-Oct-2020
The Nifty witnessed an intraday movement of about 65.8 points.The closing index was 0.28 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 49467.92
, Traded Quantity (in Lakhs), 23885.45
, Number of Trades, 14464592
, Total Market Capitalisation (Rs. Crores), 15850963.31

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     11896.45,     11957.90,     11974.55,     11908.75,     11930.35,33.9
,NIFTY50 EQL Wgt,     11985.30,     12052.95,     12071.30,     12007.25,     12024.95,39.65
,NIFTY100 EQL Wgt,     12921.15,     12971.00,     12991.15,     12928.00,     12945.40,24.25
,NIFTY100 LowVol30,      9528.00,      9577.65,      9602.15,      9558.15,      9587.45,59.45
,NIFTY Alpha 50,     16872.85,     16976.25,     17001.05,     16871.45,     16908.45,35.6
,NIFTY MIDCAP 150,      6524.60,      6565.75,      6591.25,      6550.95,      6568.75,44.15
,NIFTY SMLCAP 50,      2979.25,      2997.45,      3005.25,      2991.05,      2996.90,17.65
,NIFTY SMLCAP 250,      5068.15,      5097.55,      5112.15,      5094.00,      5103.95,35.8
,NIFTY MIDSML 400,      6004.40,      6041.30,      6062.30,      6030.80,      6045.60,41.2
,NIFTY200 QUALTY30,     10557.75,     10604.55,     10650.80,     10589.65,     10632.40,74.65
,Nifty FinSrv25 50,     11491.70,     11560.95,     11597.10,     11472.25,     11511.90,20.2
,NIFTY AlphaLowVol,     12213.70,     12256.10,     12301.25,     12221.90,     12238.35,24.65
,Nifty200Momentm30,     11951.60,     11992.10,     12045.85,     11968.10,     12003.50,51.9
,Nifty100ESGSecLdr,      2076.05,      2085.85,      2087.55,      2077.10,      2079.05,3
,Nifty IT,     21413.50,     21546.65,     21621.60,     21385.15,     21523.60,110.1
,Nifty Next 50,     27351.30,     27416.65,     27499.60,     27349.80,     27432.55,81.25
,Nifty Bank,     24484.15,     24669.20,     24764.15,     24360.85,     24478.30,-5.85
,NIFTY MIDCAP 100,     17171.30,     17280.55,     17372.15,     17239.05,     17306.20,134.9
,Nifty 500,      9745.05,      9794.40,      9807.15,      9764.55,      9780.35,35.3
,Nifty 100,     11971.80,     12029.40,     12045.35,     11985.15,     12006.10,34.3
,Nifty Midcap 50,      4725.15,      4747.10,      4781.10,      4729.60,      4757.40,32.25
,Nifty Realty,       237.70,       238.05,       238.90,       234.20,       235.10,-2.6
,Nifty Infra,      3145.10,      3157.45,      3166.75,      3146.50,      3152.40,7.3
,Nifty Energy,     14789.45,     14845.45,     14947.60,     14809.30,     14901.70,112.25
,Nifty FMCG,     29715.35,     29830.65,     29861.90,     29641.95,     29782.20,66.85
,Nifty MNC,     14056.90,     14136.55,     14168.05,     14089.75,     14148.60,91.7
,Nifty Pharma,     11545.30,     11573.15,     11681.25,     11473.45,     11503.05,-42.25
,Nifty PSE,      2282.90,      2294.55,      2307.00,      2289.95,      2301.60,18.7
,Nifty PSU Bank,      1313.50,      1318.80,      1326.95,      1311.95,      1319.65,6.15
,Nifty Serv Sector,     16079.30,     16184.50,     16212.55,     16073.65,     16114.65,35.35
,India VIX,22.6350,22.6350,22.7800,19.8325,21.8275,-0.8075
,Nifty Auto,      7864.15,      7917.45,      8119.10,      7883.75,      8094.60,230.45
,Nifty Metal,      2432.50,      2447.05,      2462.10,      2431.55,      2443.00,10.5
,Nifty Media,      1455.90,      1462.90,      1475.75,      1457.10,      1465.95,10.05
,NIFTY SMLCAP 100,      5957.40,      5995.90,      6006.15,      5981.30,      5994.10,36.7
,Nifty 200,      6123.10,      6153.60,      6161.55,      6133.45,      6144.05,20.95
,Nifty Div Opps 50,      2455.55,      2467.50,      2472.45,      2460.50,      2467.50,11.95
,Nifty Commodities,      3225.50,      3242.75,      3245.65,      3215.55,      3222.75,-2.75
,Nifty Consumption,      5011.25,      5041.15,      5073.75,      5032.60,      5065.90,54.65
,Nifty Fin Service,     11921.35,     12003.05,     12043.55,     11898.65,     11947.40,26.05
,Nifty50 Div Point,        57.72,        67.92,        67.92,        67.92,        67.92,10.2
,Nifty100 Liq 15,      2753.15,      2768.15,      2778.95,      2761.20,      2768.60,15.45
,Nifty CPSE,      1325.75,      1335.40,      1343.45,      1330.70,      1341.10,15.35
,Nifty GrowSect 15,      5705.80,      5741.55,      5750.90,      5704.00,      5731.20,25.4
,Nifty50 PR 2x Lev,      4439.85,      4485.35,      4497.55,      4448.75,      4464.75,24.9
,Nifty50 PR 1x Inv,       368.90,       367.00,       368.55,       366.50,       367.85,-1.05
,Nifty50 TR 2x Lev,      5874.30,      5944.60,      5960.75,      5896.15,      5917.40,43.1
,Nifty50 TR 1x Inv,       320.85,       318.95,       320.30,       318.50,       319.70,-1.15
,Nifty50 Value 20,      5885.15,      5913.40,      5914.90,      5883.80,      5894.75,9.6
,Nifty Mid Liq 15,      4138.10,      4156.40,      4180.40,      4138.85,      4159.55,21.45
,Nifty Pvt Bank,     13534.60,     13641.20,     13685.55,     13466.25,     13529.85,-4.75
,NIFTY100 Qualty30,      2801.40,      2814.65,      2824.45,      2808.95,      2819.00,17.6
,Nifty GS 8 13Yr,      2227.23,      2227.61,      2235.87,      2227.61,      2235.87,8.64
,Nifty GS 10Yr,      2009.70,      2010.02,      2020.29,      2010.02,      2020.29,10.59
,Nifty GS 10Yr Cln,       967.40,       967.40,       972.41,       967.40,       972.41,5.01
,Nifty GS 4 8Yr,      2365.96,      2366.33,      2373.66,      2366.33,      2373.17,7.21
,Nifty GS 11 15Yr,      2404.51,      2404.94,      2413.54,      2404.94,      2413.54,9.03
,Nifty GS 15YrPlus,      2576.68,      2577.17,      2585.58,      2577.17,      2585.58,8.9
,Nifty GS Compsite,      2269.76,      2270.14,      2278.02,      2270.14,      2277.94,8.18

,ADVANCES,1234
,DECLINES,661
,UNCHANGED,99

,Total securities that have hit their price bands today,321

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,RELIANCE,EQ,      2106.95,      2113.05,0.29,2290.41
,MARUTI,EQ,      6811.55,      7103.25,4.28,1235.02
,HDFCLIFE,EQ,       561.10,       564.50,0.61,1212.23
,TATASTEEL,EQ,       409.65,       423.45,3.37,1202.1
,BAJFINANCE,EQ,      3314.45,      3316.90,0.07,1068.55
,INFY,EQ,      1129.05,      1122.50,-0.58,1020.89
,ABFRL,EQ,       153.50,       164.95,7.46,989.44
,HDFCBANK,EQ,      1233.30,      1235.80,0.2,982.39
,SBICARD,EQ,       851.90,       807.25,-5.24,956.46
,AXISBANK,EQ,       510.30,       507.20,-0.61,955.86
,TCS,EQ,      2671.15,      2686.80,0.59,940.42
,TATAMOTORS,EQ,       133.50,       137.00,2.62,939.6
,ICICIBANK,EQ,       412.90,       416.95,0.98,921.58
,DRREDDY,EQ,      5022.00,      5018.25,-0.07,915.59
,BHARTIARTL,EQ,       430.65,       434.40,0.87,787.66
,INDUSINDBK,EQ,       608.75,       608.15,-0.1,759.33
,HDFC,EQ,      2042.55,      2059.70,0.84,734.78
,ASHOKLEY,EQ,        79.25,        81.80,3.22,723.26
,SBIN,EQ,       203.30,       202.80,-0.25,664.62
,CIPLA,EQ,       757.50,       757.55,0.01,651.74
,ASIANPAINT,EQ,      2099.90,      2120.25,0.97,649.83
,TECHM,EQ,       837.45,       848.25,1.29,622.93
,HINDUNILVR,EQ,      2179.35,      2143.85,-1.63,605.18
,HEROMOTOCO,EQ,      3081.50,      3111.05,0.96,532.86
,LT,EQ,       936.30,       941.25,0.53,479.53

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,MARUTI,EQ,      7103.25,      6811.55,4.28
,M&M,EQ,       625.15,       604.35,3.44
,TATASTEEL,EQ,       423.45,       409.65,3.37
,POWERGRID,EQ,       170.15,       165.10,3.06
,TATAMOTORS,EQ,       137.00,       133.50,2.62

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,ULTRACEMCO,EQ,      4504.55,      4614.55,-2.38
,SHREECEM,EQ,     20521.15,     20991.70,-2.24
,HINDUNILVR,EQ,      2143.85,      2179.35,-1.63
,HCLTECH,EQ,       852.45,       866.25,-1.59
,GAIL,EQ,        87.30,        88.65,-1.52

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,1018GS2026,GS,       101.68,                      101.68,1
,20MICRONS,EQ,        27.95,                   590797.40,21073
,21STCENMGM,EQ,         9.60,                       77.50,8
,3IINFOTECH,EQ,         3.15,                 35269217.20,11261295
,3MINDIA,EQ,     18898.25,                 53151317.95,2800
,3PLAND,EQ,         6.40,                     4481.45,695
,5PAISA,BE,       351.05,                  1299671.10,3682
,63MOONS,EQ,        73.75,                  1520796.65,20520
,716GS2050,GS,       110.50,                      552.50,5
,75GS2034,GS,       110.00,                      110.00,1
,772GS2049,GS,       112.60,                    10354.65,92
,8KMILES,BE,        92.20,                   838098.00,9090
,A2ZINFRA,EQ,         3.85,                   281242.95,73419
,AAATECH,ST,        43.40,                  6211200.00,144000
,AAKASH,EQ,        52.90,                  2022867.30,38302
,AARON,SM,        27.60,                   173880.00,6300
,AARTIDRUGS,EQ,       750.30,                440220442.55,584081
,AARTIIND,EQ,       994.65,                 87010819.25,87150
,AARTISURF,BE,       577.70,                  6649972.50,11452
,AARVEEDEN,EQ,        10.70,                    58531.25,5693
,AARVI,EQ,        38.80,                    24070.40,624
,AAVAS,EQ,      1482.20,                 24009122.35,16086
,ABAN,EQ,        23.10,                   938690.05,40760
,ABB,EQ,       918.00,                 41659448.30,45456
,ABCAPITAL,EQ,        68.75,                398028777.95,5814650
,ABFRL,EQ,       164.95,               9894409991.60,59258955
,ABFRLPP,E1,       105.65,                122065155.25,1237555
,ABMINTLTD,BE,        29.80,                    62333.35,2089
,ABSLBANETF,EQ,       242.62,                    25602.54,105
,ABSLNN50ET,EQ,       284.90,                    12820.50,45
,ABSLRIF6RG,MF,         6.31,                    25210.00,4000
,ACCELYA,EQ,       981.30,                  2298522.05,2341
,ACE,EQ,        72.05,                 16262487.50,224632
,ADANIENT,EQ,       315.45,               1322991471.90,4159352
,ADANIGAS,EQ,       196.35,                295284296.55,1504693
,ADANIPOWER,EQ,        35.35,                 29371739.40,830409
,ADFFOODS,EQ,       424.15,                 10892822.35,25549
,ADHUNIKIND,EQ,        18.05,                    82149.00,4530
,ADL,BE,        18.45,                    61393.45,3348
,ADORWELD,EQ,       243.90,                   749594.20,3073
,ADROITINFO,BE,         7.75,                    17554.75,2262
,ADSL,EQ,        22.60,                  5256750.85,231893
,ADVANIHOTR,EQ,        41.45,                    81768.40,1992
,ADVENZYMES,EQ,       319.10,                 87507544.60,271070
,AEGISCHEM,EQ,       213.90,                 59386705.85,280940
,AFFLE,EQ,      2799.05,                403751468.70,142530
,AGARIND,EQ,        86.65,                   371517.45,4296
,AGCNET,EQ,       534.15,                122827311.80,224602
,AGRITECH,EQ,        28.35,                    61547.90,2211
,AGROPHOS,EQ,         9.00,                   278703.70,31620
,AHLADA,SM,        41.95,                   125900.00,3000
,AHLEAST,EQ,       138.15,                   246660.50,1811
,AHLUCONT,EQ,       224.80,                  2173150.60,9617
,AHLWEST,EQ,       256.55,                   267188.15,1026
,AIAENG,EQ,      1748.30,                 30554773.40,17321
,AIRAN,EQ,        11.45,                   686712.70,60312
,AIROLAM,SM,        26.00,                   159000.00,6000
,AJANTPHARM,EQ,      1605.95,                300746467.25,184354
,AJMERA,EQ,        89.85,                  5311739.90,59031
,AJOONI,SM,        34.00,                   136000.00,4000
,AKASH,BE,       248.90,                    39176.30,157
,AKG,SM,        68.50,                   819000.00,12000
,AKSHARCHEM,EQ,       209.65,                  1490893.60,7146
,AKSHOPTFBR,EQ,         5.65,                  1169118.65,208286
,AKZOINDIA,EQ,      2001.15,                 17667053.85,8781
,ALANKIT,EQ,        15.80,                   954869.50,60900
,ALBERTDAVD,EQ,       403.75,                  1144374.70,2832
,ALCHEM,EQ,         4.65,                    64750.55,13944
,ALEMBICLTD,EQ,        96.90,                 51656266.65,527660
,ALICON,EQ,       318.80,                   670351.80,2118
,ALKALI,EQ,        48.10,                  1156348.95,23843
,ALKYLAMINE,EQ,      2991.20,                 98650662.50,32800
,ALLCARGO,EQ,       118.70,                 15220225.95,128317
,ALLSEC,EQ,       262.80,                  6827790.15,26594
,ALMONDZ,EQ,        11.65,                    36962.15,3171
,ALOKINDS,EQ,        23.20,                377749535.00,16503143
,ALPA,EQ,        41.55,                  6446960.25,153503
,ALPHAGEO,EQ,       160.35,                  3213495.95,19915
,ALPSINDUS,EQ,         1.10,                    23149.00,22049
,AMARAJABAT,EQ,       761.00,               1174481432.80,1559471
,AMBANIORG,SM,        46.00,                   180000.00,4000
,AMBER,EQ,      2332.30,                536795835.95,231249
,AMBIKCO,EQ,       723.55,                 47514931.80,65597
,AMDIND,EQ,        16.35,                    45447.55,2812
,AMJLAND,EQ,        19.90,                  1140767.65,57476
,AMRUTANJAN,EQ,       419.60,                  8662362.60,20521
,ANANTRAJ,EQ,        19.25,                  3167681.10,163672
,ANDHRACEMT,EQ,         5.20,                  2674696.20,517174
,ANDHRAPAP,EQ,       193.65,                  5372808.30,27867
,ANDHRSUGAR,EQ,       285.25,                  5944239.75,20746
,ANGELBRKG,EQ,       240.05,                 91946463.25,383393
,ANIKINDS,EQ,        12.15,                    74262.50,6171
,ANKITMETAL,BE,          .80,                    20048.40,24617
,ANSALAPI,EQ,         4.30,                   284027.30,64825
,ANSALHSG,EQ,         4.00,                    26285.25,6607
,ANUP,EQ,       616.60,                 10147818.45,16292
,APARINDS,EQ,       290.00,                  4578354.10,15956
,APCL,EQ,       218.70,                 40037147.45,178307
,APCOTEXIND,EQ,       154.70,                 28855851.00,189060
,APEX,EQ,       265.75,                 11383173.60,42354
,APLAPOLLO,EQ,      3018.10,                226856650.45,75514
,APLLTD,EQ,       973.75,                883777705.10,891483
,APOLLO,EQ,       108.65,                  3999295.95,36696
,APOLLOHOSP,EQ,      2075.00,               2329828921.15,1124867
,APOLLOPIPE,EQ,       411.90,                  8234512.60,19942
,APOLLOTYRE,EQ,       149.80,               2958989630.60,20076196
,APOLSINHOT,EQ,       605.25,                  5399503.25,9099
,APTECHT,EQ,       116.35,                 11708404.85,99966
,ARCHIDPLY,EQ,        24.40,                   392767.05,16115
,ARCHIES,EQ,        11.95,                   376894.45,31699
,ARCOTECH,BE,         1.95,                   103241.15,54449
,ARENTERP,EQ,        10.40,                   314600.60,30251
,ARIES,EQ,        81.05,                  2977641.60,36860
,ARIHANT,EQ,        15.70,                     7314.10,463
,ARIHANTSUP,EQ,        19.95,                    87960.40,4419
,ARMANFIN,EQ,       563.45,                  1896396.95,3369
,AROGRANITE,EQ,        25.10,                   238741.45,9574
,ARROWGREEN,EQ,        50.10,                   272218.85,5453
,ARSHIYA,BE,        13.50,                   401292.55,30164
,ARSSINFRA,EQ,        12.60,                   387951.00,31552
,ARTEMISMED,EQ,       162.00,                  1011232.00,6145
,ARVIND,EQ,        34.85,                 41885160.10,1196339
,ARVINDFASN,EQ,       129.30,                 71659743.90,543322
,ARVSMART,EQ,        85.85,                  6881740.05,79155
,ASAHIINDIA,EQ,       231.25,                 60075899.95,269183
,ASAHISONG,EQ,       217.95,                 13508757.25,61835
,ASAL,EQ,        21.95,                   135436.75,6195
,ASALCBR,EQ,       257.65,                 15805678.35,62023
,ASHAPURMIN,EQ,        79.90,                  4367890.05,54709
,ASHIANA,EQ,        77.95,                  3698149.90,47320
,ASHIMASYN,BE,         7.10,                   512992.55,73557
,ASHOKA,EQ,        63.45,                 20204392.80,318251
,ASHOKLEY,EQ,        81.80,               7232585032.15,88540480
,ASIANHOTNR,EQ,        54.70,                   419575.65,7625
,ASIANTILES,EQ,       279.95,                 98861952.20,360411
,ASPINWALL,EQ,       118.45,                    57254.75,477
,ASTEC,EQ,      1112.70,                104557115.10,95320
,ASTERDM,EQ,       140.40,                 32932073.55,238964
,ASTRAL,EQ,      1145.75,                 32356925.50,28243
,ASTRAMICRO,EQ,       107.55,                 13503274.90,124906
,ASTRAZEN,EQ,      4238.60,                 52760040.85,12432
,ASTRON,EQ,        49.05,                   505882.30,10276
,ATALREAL,ST,        59.60,                   190720.00,3200
,ATFL,EQ,       721.20,                 28783870.10,40090
,ATLANTA,EQ,         7.00,                   327745.50,47106
,ATLASCYCLE,BE,        44.15,                   167184.55,3845
,ATUL,EQ,      6116.55,                483139682.70,78375
,ATULAUTO,EQ,       160.50,                 17024737.00,105532
,AUBANK,EQ,       789.35,                167148905.20,212452
,AURIONPRO,EQ,        74.85,                   283382.60,3821
,AUSOMENT,EQ,        54.70,                  5849992.65,107405
,AUTOAXLES,EQ,       720.30,                 77555705.25,112826
,AUTOIND,EQ,        29.15,                   311707.90,10799
,AUTOLITIND,EQ,        18.55,                    86103.00,4664
,AVADHSUGAR,EQ,       192.05,                 13710075.10,71833
,AVANTIFEED,EQ,       498.60,                 78554588.40,156677
,AVTNPL,EQ,        44.85,                  3929683.35,87586
,AXISCADES,EQ,        47.25,                  1282055.50,26988
,AXISGOLD,EQ,        44.60,                  1385048.55,31169
,AXISNIFTY,EQ,       122.67,                   867030.56,7064
,AYMSYNTEX,EQ,        28.85,                  5811511.55,189370
,BAFNAPH,BE,        90.55,                  1692024.50,19185
,BAGFILMS,EQ,         2.55,                   146213.50,58194
,BAJAJCON,EQ,       186.60,                 58342529.70,313560
