,26-Oct-2020
The Nifty witnessed an intraday movement of about 231.15 points.The closing index was 1.36 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 49637.55
, Traded Quantity (in Lakhs), 21029.14
, Number of Trades, 14785741
, Total Market Capitalisation (Rs. Crores), 15654701.92

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     11930.35,     11937.40,     11942.85,     11711.70,     11767.75,-162.6
,NIFTY50 EQL Wgt,     12024.95,     12052.75,     12054.45,     11798.05,     11857.10,-167.85
,NIFTY100 EQL Wgt,     12945.40,     12982.20,     12984.00,     12718.25,     12768.35,-177.05
,NIFTY100 LowVol30,      9587.45,      9605.25,      9605.40,      9436.05,      9476.85,-110.6
,NIFTY Alpha 50,     16908.45,     16967.00,     16987.40,     16603.25,     16671.00,-237.45
,NIFTY MIDCAP 150,      6568.75,      6591.70,      6592.50,      6460.00,      6473.55,-95.2
,NIFTY SMLCAP 50,      2996.90,      3009.30,      3013.00,      2947.30,      2954.35,-42.55
,NIFTY SMLCAP 250,      5103.95,      5125.35,      5129.30,      5038.25,      5048.95,-55
,NIFTY MIDSML 400,      6045.60,      6068.00,      6069.10,      5953.00,      5964.95,-80.65
,NIFTY200 QUALTY30,     10632.40,     10651.40,     10658.05,     10442.10,     10480.25,-152.15
,Nifty FinSrv25 50,     11511.90,     11524.35,     11538.25,     11303.55,     11390.90,-121
,NIFTY AlphaLowVol,     12238.35,     12268.60,     12270.30,     12034.90,     12087.85,-150.5
,Nifty200Momentm30,     12003.50,     12046.95,     12050.00,     11807.65,     11871.15,-132.35
,Nifty100ESGSecLdr,      2079.05,      2081.40,      2081.80,      2047.80,      2057.90,-21.15
,Nifty IT,     21523.60,     21493.30,     21595.80,     21148.65,     21265.70,-257.9
,Nifty Next 50,     27432.55,     27529.20,     27534.30,     26953.95,     27062.40,-370.15
,Nifty Bank,     24478.30,     24525.80,     24577.30,     23867.75,     24075.45,-402.85
,NIFTY MIDCAP 100,     17306.20,     17364.70,     17365.65,     16964.00,     17009.85,-296.35
,Nifty 500,      9780.35,      9794.95,      9797.70,      9609.20,      9647.65,-132.7
,Nifty 100,     12006.10,     12017.75,     12022.10,     11788.70,     11842.70,-163.4
,Nifty Midcap 50,      4757.40,      4765.50,      4765.50,      4635.05,      4650.50,-106.9
,Nifty Realty,       235.10,       235.70,       235.90,       228.65,       230.65,-4.45
,Nifty Infra,      3152.40,      3157.65,      3163.30,      3102.00,      3113.20,-39.2
,Nifty Energy,     14901.70,     14905.70,     14912.40,     14537.95,     14613.45,-288.25
,Nifty FMCG,     29782.20,     29927.70,     29940.40,     29635.35,     29774.65,-7.55
,Nifty MNC,     14148.60,     14203.90,     14219.10,     14045.40,     14090.10,-58.5
,Nifty Pharma,     11503.05,     11564.50,     11578.75,     11263.80,     11334.20,-168.85
,Nifty PSE,      2301.60,      2307.20,      2308.35,      2265.05,      2276.85,-24.75
,Nifty PSU Bank,      1319.65,      1320.70,      1330.60,      1301.75,      1304.00,-15.65
,Nifty Serv Sector,     16114.65,     16126.65,     16154.00,     15880.20,     15973.25,-141.4
,India VIX,21.8275,21.8275,23.4050,21.3200,22.8325,1.0050
,Nifty Auto,      8094.60,      8111.90,      8135.35,      7801.30,      7833.65,-260.95
,Nifty Metal,      2443.00,      2432.80,      2434.75,      2331.40,      2357.55,-85.45
,Nifty Media,      1465.95,      1467.00,      1469.20,      1422.55,      1425.75,-40.2
,NIFTY SMLCAP 100,      5994.10,      6017.45,      6023.10,      5915.75,      5932.70,-61.4
,Nifty 200,      6144.05,      6151.65,      6153.55,      6031.95,      6058.05,-86
,Nifty Div Opps 50,      2467.50,      2472.65,      2473.80,      2429.00,      2438.50,-29
,Nifty Commodities,      3222.75,      3224.75,      3225.30,      3136.25,      3152.50,-70.25
,Nifty Consumption,      5065.90,      5080.95,      5080.95,      4986.30,      5005.45,-60.45
,Nifty Fin Service,     11947.40,     11957.40,     11976.95,     11722.05,     11827.85,-119.55
,Nifty50 Div Point,        67.92,        67.92,        67.92,        67.92,        67.92,0
,Nifty100 Liq 15,      2768.60,      2768.45,      2771.50,      2708.75,      2722.00,-46.6
,Nifty CPSE,      1341.10,      1346.45,      1347.55,      1317.95,      1328.45,-12.65
,Nifty GrowSect 15,      5731.20,      5746.70,      5751.90,      5638.85,      5690.20,-41
,Nifty50 PR 2x Lev,      4464.75,      4468.90,      4468.90,      4300.15,      4341.95,-122.8
,Nifty50 PR 1x Inv,       367.85,       367.75,       374.70,       367.75,       373.00,5.15
,Nifty50 TR 2x Lev,      5917.40,      5922.85,      5922.85,      5699.20,      5754.60,-162.8
,Nifty50 TR 1x Inv,       319.70,       319.60,       325.65,       319.60,       324.15,4.45
,Nifty50 Value 20,      5894.75,      5902.15,      5909.30,      5816.80,      5840.60,-54.15
,Nifty Mid Liq 15,      4159.55,      4168.80,      4168.80,      4052.10,      4063.40,-96.15
,Nifty Pvt Bank,     13529.85,     13576.45,     13604.80,     13226.50,     13338.80,-191.05
,NIFTY100 Qualty30,      2819.00,      2825.25,      2827.00,      2771.20,      2781.55,-37.45
,Nifty GS 8 13Yr,      2234.90,      2235.28,      2244.20,      2235.28,      2239.07,4.17
,Nifty GS 10Yr,      2018.52,      2018.85,      2029.28,      2018.85,      2022.56,4.04
,Nifty GS 10Yr Cln,       971.23,       971.23,       976.32,       971.23,       973.04,1.81
,Nifty GS 4 8Yr,      2373.19,      2373.56,      2376.61,      2371.63,      2372.88,-.31
,Nifty GS 11 15Yr,      2414.78,      2415.21,      2425.31,      2415.21,      2421.67,6.89
,Nifty GS 15YrPlus,      2588.01,      2588.50,      2614.61,      2588.50,      2611.76,23.75
,Nifty GS Compsite,      2277.17,      2277.55,      2285.24,      2277.55,      2280.44,3.27

,ADVANCES,621
,DECLINES,1298
,UNCHANGED,99

,Total securities that have hit their price bands today,345

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,RELIANCE,EQ,      2113.05,      2029.10,-3.97,3535.83
,COFORGE,EQ,      2380.10,      2212.15,-7.06,1412.97
,HEROMOTOCO,EQ,      3111.05,      2897.95,-6.85,1233.22
,TATAMOTORS,EQ,       137.00,       133.70,-2.41,1199.67
,HDFCBANK,EQ,      1235.80,      1210.90,-2.01,1196.14
,BAJFINANCE,EQ,      3316.90,      3293.90,-0.69,1161.6
,KOTAKBANK,EQ,      1383.05,      1416.90,2.45,1115.68
,MARUTI,EQ,      7103.25,      7054.80,-0.68,1100.34
,INDUSINDBK,EQ,       608.15,       616.65,1.4,1083.96
,HDFC,EQ,      2059.70,      2073.35,0.66,1019.51
,SBIN,EQ,       202.80,       196.70,-3.01,906.38
,ICICIBANK,EQ,       416.95,       404.45,-3,887.04
,AXISBANK,EQ,       507.20,       493.35,-2.73,870.75
,TECHM,EQ,       848.25,       819.25,-3.42,813.83
,TCS,EQ,      2686.80,      2688.20,0.05,720.07
,DRREDDY,EQ,      5018.25,      4978.10,-0.8,704.98
,INFY,EQ,      1122.50,      1112.45,-0.9,704.08
,TATASTEEL,EQ,       423.45,       408.40,-3.55,683.31
,LT,EQ,       941.25,       951.75,1.12,663.2
,BAJAJ-AUTO,EQ,      3082.25,      2895.15,-6.07,632.5
,HCLTECH,EQ,       852.45,       847.80,-0.55,564.06
,NESTLEIND,EQ,     15865.45,     16259.35,2.48,561.59
,JUSTDIAL,EQ,       584.05,       641.05,9.76,546.58
,AUROPHARMA,EQ,       782.80,       784.70,0.24,536.3
,BHARTIARTL,EQ,       434.40,       434.05,-0.08,509.09

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,HDFCLIFE,EQ,       578.65,       564.50,2.51
,NESTLEIND,EQ,     16259.35,     15865.45,2.48
,KOTAKBANK,EQ,      1416.90,      1383.05,2.45
,INDUSINDBK,EQ,       616.65,       608.15,1.4
,POWERGRID,EQ,       172.05,       170.15,1.12

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,HEROMOTOCO,EQ,      2897.95,      3111.05,-6.85
,BAJAJ-AUTO,EQ,      2895.15,      3082.25,-6.07
,HINDALCO,EQ,       172.40,       182.25,-5.4
,M&M,EQ,       597.15,       625.15,-4.48
,JSWSTEEL,EQ,       308.30,       321.25,-4.03

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,1018GS2026,GS,        96.63,                       96.63,1
,20MICRONS,EQ,        27.65,                   365773.85,13126
,21STCENMGM,EQ,         9.75,                     1155.50,119
,3IINFOTECH,EQ,         3.00,                 18777627.55,6201559
,3MINDIA,EQ,     18602.85,                 16813320.25,895
,522GS2025,GS,        96.00,                    19200.00,200
,5PAISA,BE,       347.60,                  2324728.35,6692
,63MOONS,EQ,        74.05,                  1588859.50,21328
,716GS2050,GS,       111.00,                      666.50,6
,719GS2060,GS,       112.89,                     2619.89,24
,8KMILES,BE,        96.80,                 34135624.05,363387
,A2ZINFRA,EQ,         3.95,                   472644.35,120025
,AAATECH,ST,        43.25,                  3873300.00,90000
,AAKASH,EQ,        52.30,                  1783119.70,33858
,AARON,SM,        27.60,                   173880.00,6300
,AARTIDRUGS,EQ,       712.80,                963543928.95,1321726
,AARTIIND,EQ,       983.55,                111313973.25,111897
,AARTISURF,BE,       563.00,                 11440307.50,20501
,AARVEEDEN,EQ,        10.40,                    25135.40,2394
,AARVI,EQ,        37.85,                    26888.60,697
,AAVAS,EQ,      1493.50,                 20230020.40,13509
,ABAN,EQ,        22.95,                   853610.85,37081
,ABB,EQ,       889.05,                 49696881.65,55576
,ABCAPITAL,EQ,        66.10,                141802919.80,2128630
,ABFRL,EQ,       161.20,               1849507751.25,11135863
,ABFRLPP,E1,       102.05,                 29309793.15,272693
,ABINFRA,SM,         8.10,                    97200.00,12000
,ABMINTLTD,BE,        28.35,                    13919.85,491
,ABSLBANETF,EQ,       239.32,                   958333.66,3990
,ABSLNN50ET,EQ,       277.03,                     4178.79,15
,ACCELYA,EQ,       949.50,                  5228633.00,5457
,ACCURACY,SM,        30.90,                    49440.00,1600
,ACE,EQ,        69.50,                  9476845.20,135021
,ADANIENT,EQ,       307.40,               1377592913.85,4397443
,ADANIGAS,EQ,       193.65,                176436324.40,909794
,ADANIPOWER,EQ,        35.15,                 31163193.80,881106
,ADFFOODS,EQ,       414.15,                  7374794.65,17606
,ADHUNIKIND,EQ,        18.45,                    48262.70,2593
,ADL,BE,        17.90,                    29033.05,1624
,ADORWELD,EQ,       240.00,                  1138907.05,4712
,ADROITINFO,BE,         7.40,                    12341.20,1638
,ADSL,EQ,        22.40,                  3957079.15,174557
,ADVANIHOTR,EQ,        41.15,                    55279.05,1352
,ADVENZYMES,EQ,       308.60,                 94944016.40,304205
,AEGISCHEM,EQ,       217.25,                 46470916.90,214001
,AFFLE,EQ,      2717.60,                 92695022.85,33790
,AGARIND,EQ,        85.90,                   322002.20,3739
,AGCNET,EQ,       607.80,                160152021.05,273348
,AGRITECH,EQ,        28.50,                    74775.20,2625
,AGROPHOS,EQ,         8.80,                   257912.95,29248
,AHLADA,SM,        44.85,                   399250.00,9000
,AHLEAST,EQ,       137.00,                   139071.25,1022
,AHLUCONT,EQ,       222.30,                  2786488.65,12458
,AHLWEST,EQ,       258.70,                   595456.35,2312
,AIAENG,EQ,      1711.00,                 21872157.60,12712
,AIRAN,EQ,        11.70,                   905441.50,76938
,AISL,SM,        21.30,                    25560.00,1200
,AJANTPHARM,EQ,      1579.65,                193182305.85,121479
,AJMERA,EQ,        86.20,                  5331507.10,60989
,AJOONI,SM,        33.95,                   407800.00,12000
,AKASH,BE,       250.00,                  1728098.50,7235
,AKG,SM,        74.25,                  1166200.00,16000
,AKSHARCHEM,EQ,       211.30,                  5041053.45,23452
,AKSHOPTFBR,EQ,         5.45,                   611856.35,112153
,AKZOINDIA,EQ,      1988.85,                  5624847.20,2822
,ALANKIT,EQ,        16.35,                  5578127.75,344538
,ALBERTDAVD,EQ,       394.20,                  4879722.25,12277
