,29-Oct-2020
The Nifty witnessed an intraday movement of about 137.7 points.The closing index was 0.5 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 49299.91
, Traded Quantity (in Lakhs), 19241.66
, Number of Trades, 15111007
, Total Market Capitalisation (Rs. Crores), 15580480.18

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     11729.60,     11633.30,     11744.15,     11606.45,     11670.80,-58.8
,NIFTY50 EQL Wgt,     11881.20,     11785.75,     11856.00,     11732.95,     11805.35,-75.85
,NIFTY100 EQL Wgt,     12784.45,     12684.10,     12780.50,     12640.90,     12756.60,-27.85
,NIFTY100 LowVol30,      9572.55,      9494.75,      9584.25,      9483.55,      9551.45,-21.1
,NIFTY Alpha 50,     16954.10,     16812.40,     17090.80,     16784.45,     17056.95,102.85
,NIFTY MIDCAP 150,      6493.25,      6455.20,      6476.20,      6411.80,      6469.30,-23.95
,NIFTY SMLCAP 50,      2929.60,      2899.10,      2914.85,      2868.60,      2895.30,-34.3
,NIFTY SMLCAP 250,      5017.10,      4977.45,      4992.80,      4940.85,      4975.45,-41.65
,NIFTY MIDSML 400,      5965.70,      5926.95,      5945.20,      5886.10,      5935.15,-30.55
,NIFTY200 QUALTY30,     10539.35,     10470.80,     10540.60,     10435.90,     10520.95,-18.4
,Nifty FinSrv25 50,     11297.05,     11206.80,     11311.80,     11127.50,     11207.90,-89.15
,NIFTY AlphaLowVol,     12240.20,     12168.60,     12292.30,     12130.95,     12254.20,14
,Nifty200Momentm30,     12048.85,     11982.10,     12119.30,     11946.60,     12071.25,22.4
,Nifty100ESGSecLdr,      2057.50,      2038.90,      2057.15,      2035.00,      2044.55,-12.95
,Nifty IT,     20810.30,     20667.70,     20961.05,     20548.30,     20876.95,66.65
,Nifty Next 50,     27236.20,     27034.35,     27380.25,     26952.70,     27357.60,121.4
,Nifty Bank,     24232.50,     24063.50,     24339.10,     23822.05,     24092.00,-140.5
,NIFTY MIDCAP 100,     17047.60,     16944.95,     17009.45,     16827.65,     16974.05,-73.55
,Nifty 500,      9632.35,      9557.15,      9637.85,      9530.25,      9593.40,-38.95
,Nifty 100,     11819.05,     11723.25,     11838.20,     11700.05,     11774.40,-44.65
,Nifty Midcap 50,      4648.80,      4613.00,      4638.25,      4579.65,      4625.20,-23.6
,Nifty Realty,       224.35,       223.35,       225.05,       221.30,       223.40,-.95
,Nifty Infra,      3141.60,      3107.30,      3135.65,      3101.65,      3124.40,-17.2
,Nifty Energy,     14688.35,     14535.20,     14758.60,     14534.35,     14722.15,33.8
,Nifty FMCG,     29948.10,     29720.40,     29847.50,     29595.75,     29663.45,-284.65
,Nifty MNC,     14258.55,     14141.05,     14191.20,     14085.00,     14139.95,-118.6
,Nifty Pharma,     11325.10,     11284.10,     11394.75,     11174.10,     11226.00,-99.1
,Nifty PSE,      2267.35,      2246.90,      2257.60,      2235.05,      2246.70,-20.65
,Nifty PSU Bank,      1271.70,      1265.25,      1267.50,      1244.85,      1264.35,-7.35
,Nifty Serv Sector,     15850.35,     15724.10,     15878.85,     15677.85,     15776.10,-74.25
,India VIX,23.2800,23.2800,24.3600,22.2825,24.0225,0.7425
,Nifty Auto,      7922.75,      7843.75,      7894.75,      7790.85,      7846.75,-76
,Nifty Metal,      2325.40,      2305.50,      2323.15,      2279.45,      2307.70,-17.7
,Nifty Media,      1424.95,      1410.00,      1413.70,      1394.15,      1398.55,-26.4
,NIFTY SMLCAP 100,      5893.10,      5832.75,      5863.30,      5795.70,      5839.10,-54
,Nifty 200,      6048.75,      6001.15,      6055.15,      5986.55,      6025.55,-23.2
,Nifty Div Opps 50,      2423.65,      2402.00,      2415.70,      2394.80,      2404.70,-18.95
,Nifty Commodities,      3176.15,      3154.15,      3195.60,      3151.20,      3190.95,14.8
,Nifty Consumption,      5089.80,      5051.95,      5085.05,      5038.20,      5065.00,-24.8
,Nifty Fin Service,     11802.40,     11702.95,     11846.30,     11633.35,     11710.65,-91.75
,Nifty50 Div Point,        71.17,        74.44,        74.44,        74.44,        74.44,3.27
,Nifty100 Liq 15,      2728.40,      2711.95,      2731.00,      2688.20,      2708.05,-20.35
,Nifty CPSE,      1320.95,      1310.55,      1316.15,      1296.55,      1300.25,-20.7
,Nifty GrowSect 15,      5698.20,      5644.75,      5714.10,      5630.90,      5657.30,-40.9
,Nifty50 PR 2x Lev,      4311.80,      4240.65,      4321.95,      4221.15,      4268.25,-43.55
,Nifty50 PR 1x Inv,       374.15,       377.25,       378.10,       373.75,       376.05,1.9
,Nifty50 TR 2x Lev,      5717.90,      5626.70,      5734.50,      5600.80,      5663.25,-54.65
,Nifty50 TR 1x Inv,       325.10,       327.70,       328.40,       324.60,       326.65,1.55
,Nifty50 Value 20,      5776.75,      5722.75,      5754.60,      5698.85,      5726.70,-50.05
,Nifty Mid Liq 15,      4089.50,      4063.25,      4077.90,      4030.35,      4069.15,-20.35
,Nifty Pvt Bank,     13454.70,     13357.00,     13504.85,     13226.55,     13378.65,-76.05
,NIFTY100 Qualty30,      2795.65,      2777.90,      2795.80,      2768.20,      2789.45,-6.2
,Nifty GS 8 13Yr,      2236.92,      2237.30,      2237.50,      2232.92,      2233.33,-3.59
,Nifty GS 10Yr,      2020.01,      2020.33,      2020.91,      2016.00,      2016.40,-3.61
,Nifty GS 10Yr Cln,       971.49,       971.49,       971.77,       969.37,       969.57,-1.92
,Nifty GS 4 8Yr,      2370.61,      2370.98,      2373.72,      2370.56,      2371.03,.42
,Nifty GS 11 15Yr,      2419.58,      2420.00,      2420.00,      2412.43,      2412.47,-7.11
,Nifty GS 15YrPlus,      2609.69,      2610.18,      2615.66,      2610.18,      2615.66,5.97
,Nifty GS Compsite,      2278.68,      2279.06,      2279.75,      2275.67,      2275.82,-2.86

,ADVANCES,642
,DECLINES,1247
,UNCHANGED,101

,Total securities that have hit their price bands today,300

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,RELIANCE,EQ,      2011.45,      2026.90,0.77,2857.22
,AXISBANK,EQ,       504.70,       493.85,-2.15,2557.18
,HDFCBANK,EQ,      1209.60,      1187.20,-1.85,1371.67
,ICICIBANK,EQ,       396.05,       399.90,0.97,1296.54
,BAJFINANCE,EQ,      3370.80,      3380.05,0.27,1277.91
,DRREDDY,EQ,      4951.00,      4941.95,-0.18,1149.35
,KOTAKBANK,EQ,      1551.35,      1570.90,1.26,1142.37
,BHARTIARTL,EQ,       451.85,       450.80,-0.23,1129.94
,LT,EQ,       982.85,       934.50,-4.92,1113.83
,ASIANPAINT,EQ,      2159.55,      2225.45,3.05,1058.85
,MARUTI,EQ,      7186.05,      7117.70,-0.95,1017.66
,INDUSINDBK,EQ,       592.85,       588.70,-0.7,964.88
,TATAMOTORS,EQ,       134.80,       131.90,-2.15,875.93
,SBIN,EQ,       190.45,       188.70,-0.92,843.42
,TCS,EQ,      2622.20,      2632.65,0.4,818.39
,PIDILITIND,EQ,      1518.60,      1590.85,4.76,751.1
,INFY,EQ,      1076.55,      1074.85,-0.16,743.3
,HEROMOTOCO,EQ,      2946.20,      2894.00,-1.77,684.56
,HDFC,EQ,      1968.90,      1934.30,-1.76,674.47
,TITAN,EQ,      1217.00,      1178.20,-3.19,622.49
,HCLTECH,EQ,       829.60,       840.05,1.26,557.42
,TATASTEEL,EQ,       402.30,       401.40,-0.22,554.97
,BAJAJFINSV,EQ,      5642.35,      5623.95,-0.33,553.64
,RBLBANK,EQ,       175.35,       174.75,-0.34,549.56
,TECHM,EQ,       804.30,       804.25,-0.01,516.82

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,ASIANPAINT,EQ,      2225.45,      2159.55,3.05
,ULTRACEMCO,EQ,      4576.80,      4469.30,2.41
,SHREECEM,EQ,     21677.00,     21361.20,1.48
,KOTAKBANK,EQ,      1570.90,      1551.35,1.26
,HCLTECH,EQ,       840.05,       829.60,1.26

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,LT,EQ,       934.50,       982.85,-4.92
,TITAN,EQ,      1178.20,      1217.00,-3.19
,ADANIPORTS,EQ,       342.70,       353.65,-3.1
,ONGC,EQ,        64.40,        66.35,-2.94
,TATAMOTORS,EQ,       131.90,       134.80,-2.15

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        27.35,                   703092.95,26050
,21STCENMGM,EQ,         9.80,                     2496.90,257
,3IINFOTECH,EQ,         2.95,                  5062276.50,1689748
,3MINDIA,EQ,     18717.75,                 49720944.00,2682
,5PAISA,BE,       323.20,                  3213691.95,9859
,63MOONS,EQ,        70.75,                  1880326.70,26464
,716GS2050,GS,       111.30,                    20708.60,186
,719GS2060,GS,       116.55,                     5666.55,51
,726GS2029,GS,       105.00,                    10500.00,100
,769GS2043,GS,       115.00,                    13340.00,116
,817GS2044,GS,       113.00,                      452.00,4
,832GS2032,GS,       113.50,                      113.50,1
,8KMILES,BE,        83.30,                  7599655.00,90550
,A2ZINFRA,EQ,         3.80,                   485597.30,128144
,AAATECH,SM,        42.75,                   767850.00,18000
,AAKASH,EQ,        51.45,                  2559711.15,49884
,AARON,SM,        27.25,                   171675.00,6300
,AARTIDRUGS,EQ,       675.50,               2026075919.60,3114810
,AARTIIND,EQ,      1012.95,                106370304.80,105368
,AARTISURF,BE,       556.80,                  4925912.35,8940
,AARVEEDEN,EQ,        10.35,                   141310.55,13401
,AARVI,EQ,        37.00,                    21828.65,588
,AAVAS,EQ,      1465.85,                 19607398.30,13499
,ABAN,EQ,        22.55,                  1000238.20,44519
,ABB,EQ,       886.80,                139119598.20,156263
,ABCAPITAL,EQ,        65.15,                 87753188.45,1343959
,ABFRL,EQ,       154.95,                290458004.70,1870095
,ABFRLPP,E1,        96.40,                  4191925.40,43062
,ABINFRA,SM,         7.70,                    92400.00,12000
,ABMINTLTD,BE,        24.40,                     1732.40,71
,ABSLBANETF,EQ,       238.09,                   165284.05,690
,ABSLNN50ET,EQ,       272.49,                    58905.59,212
,ACCELYA,EQ,       870.25,                 28324300.75,32189
,ACCURACY,SM,        32.40,                   103680.00,3200
,ACE,EQ,        69.05,                  6273270.15,89844
,ADANIENT,EQ,       328.90,               2234310516.30,6897070
,ADANIGAS,EQ,       204.35,                465995085.95,2287190
,ADANIPOWER,EQ,        35.65,                 44457201.00,1247030
,ADFFOODS,EQ,       409.85,                  9355646.15,22982
,ADHUNIKIND,EQ,        18.45,                    67312.95,3676
,ADL,BE,        18.05,                    21905.30,1212
,ADORWELD,EQ,       240.95,                  1010614.50,4200
,ADROITINFO,BE,         6.50,                    21413.65,3336
,ADSL,EQ,        21.15,                  4130066.90,194351
,ADVANIHOTR,EQ,        40.05,                   225131.50,5527
,ADVENZYMES,EQ,       317.75,                100334534.30,312775
,AEGISCHEM,EQ,       215.85,                 28242710.35,132205
,AFFLE,EQ,      2713.10,                149141897.80,56341
,AGARIND,EQ,        85.45,                  2392473.20,27825
,AGCNET,EQ,       652.60,                 52468029.05,80502
,AGRITECH,EQ,        28.10,                    74447.15,2619
,AGROPHOS,EQ,         8.35,                   123433.30,14883
,AHLADA,SM,        44.00,                    88000.00,2000
,AHLEAST,EQ,       133.50,                    10985.40,82
,AHLUCONT,EQ,       214.85,                  1388803.10,6430
,AHLWEST,EQ,       246.55,                   270144.70,1070
,AIAENG,EQ,      1718.20,                 13359842.55,7727
,AIRAN,EQ,        11.60,                   371868.15,31667
,AJANTPHARM,EQ,      1636.95,                927757357.60,564480
,AJMERA,EQ,        83.25,                  3718640.20,44300
,AKASH,BE,       243.25,                    47892.70,198
,AKG,SM,        65.75,                   789000.00,12000
,AKSHARCHEM,EQ,       206.80,                   777741.65,3767
,AKSHOPTFBR,EQ,         5.40,                   735467.80,136679
,AKZOINDIA,EQ,      1981.20,                 17374518.55,8726
,ALANKIT,EQ,        15.60,                  1246680.20,80253
,ALBERTDAVD,EQ,       388.70,                  2630585.35,6778
