,09-Nov-2020
The Nifty witnessed an intraday movement of about 106.7 points.The closing index was 1.61 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 56902.4
, Traded Quantity (in Lakhs), 20753.16
, Number of Trades, 15171501
, Total Market Capitalisation (Rs. Crores), 16362040.67

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     12263.55,     12399.40,     12474.05,     12367.35,     12461.05,197.5
,NIFTY50 EQL Wgt,     12380.60,     12514.80,     12581.35,     12459.95,     12567.15,186.55
,NIFTY100 EQL Wgt,     13327.05,     13457.35,     13538.75,     13408.60,     13528.90,201.85
,NIFTY100 LowVol30,      9802.50,      9893.10,      9923.50,      9829.30,      9880.05,77.55
,NIFTY Alpha 50,     17481.45,     17668.00,     17685.25,     17511.15,     17643.00,161.55
,NIFTY MIDCAP 150,      6748.45,      6800.60,      6808.90,      6743.40,      6803.85,55.4
,NIFTY SMLCAP 50,      2902.25,      2929.45,      2932.55,      2896.80,      2910.50,8.25
,NIFTY SMLCAP 250,      5031.55,      5077.85,      5084.40,      5042.75,      5052.25,20.7
,NIFTY MIDSML 400,      6132.75,      6182.90,      6187.90,      6135.80,      6175.50,42.75
,NIFTY200 QUALTY30,     10788.80,     10914.85,     10932.80,     10834.75,     10907.70,118.9
,Nifty FinSrv25 50,     12294.85,     12406.95,     12546.35,     12398.95,     12526.70,231.85
,NIFTY AlphaLowVol,     12479.90,     12636.75,     12637.55,     12531.00,     12621.30,141.4
,Nifty200Momentm30,     12270.60,     12432.50,     12434.20,     12313.90,     12414.20,143.6
,Nifty100ESGSecLdr,      2135.70,      2158.35,      2171.80,      2153.50,      2169.55,33.85
,Nifty IT,     21492.25,     21751.65,     21926.90,     21620.55,     21820.15,327.9
,Nifty Next 50,     28334.85,     28596.15,     28763.90,     28484.45,     28746.00,411.15
,Nifty Bank,     26798.95,     27088.95,     27595.00,     27068.95,     27534.10,735.15
,NIFTY MIDCAP 100,     17802.75,     17932.30,     17969.10,     17767.90,     17957.40,154.65
,Nifty 500,     10033.50,     10137.30,     10183.50,     10100.45,     10176.35,142.85
,Nifty 100,     12349.15,     12482.95,     12557.60,     12448.95,     12545.45,196.3
,Nifty Midcap 50,      4926.50,      4965.40,      4984.75,      4906.35,      4979.35,52.85
,Nifty Realty,       226.95,       228.85,       231.25,       227.40,       230.30,3.35
,Nifty Infra,      3189.85,      3223.25,      3248.15,      3213.30,      3243.65,53.8
,Nifty Energy,     15180.75,     15379.20,     15513.20,     15282.55,     15491.50,310.75
,Nifty FMCG,     30150.65,     30388.80,     30546.85,     30247.35,     30453.70,303.05
,Nifty MNC,     14255.15,     14362.35,     14381.85,     14301.00,     14354.75,99.6
,Nifty Pharma,     11623.35,     11803.55,     11809.55,     11567.55,     11674.35,51
,Nifty PSE,      2366.15,      2390.90,      2409.25,      2375.85,      2406.65,40.5
,Nifty PSU Bank,      1374.75,      1394.50,      1395.75,      1373.55,      1388.95,14.2
,Nifty Serv Sector,     16955.40,     17127.15,     17320.25,     17110.00,     17294.05,338.65
,India VIX,20.4975,20.4975,21.0475,17.5800,20.1125,-0.3850
,Nifty Auto,      8006.10,      8075.20,      8085.75,      7992.05,      8067.65,61.55
,Nifty Metal,      2500.35,      2525.65,      2551.45,      2502.20,      2545.25,44.9
,Nifty Media,      1473.40,      1481.00,      1485.80,      1466.55,      1473.25,-.15
,NIFTY SMLCAP 100,      5859.10,      5908.00,      5915.40,      5858.95,      5878.30,19.2
,Nifty 200,      6319.65,      6385.65,      6420.35,      6363.75,      6415.10,95.45
,Nifty Div Opps 50,      2482.10,      2505.10,      2515.60,      2494.60,      2513.30,31.2
,Nifty Commodities,      3318.20,      3352.25,      3372.95,      3337.30,      3368.40,50.2
,Nifty Consumption,      5152.15,      5202.35,      5223.75,      5172.45,      5217.80,65.65
,Nifty Fin Service,     12893.80,     13007.95,     13184.70,     13001.90,     13158.25,264.45
,Nifty50 Div Point,        79.54,        79.54,        79.54,        79.54,        79.54,0
,Nifty100 Liq 15,      2885.05,      2916.95,      2952.15,      2910.80,      2946.85,61.8
,Nifty CPSE,      1368.55,      1383.85,      1391.00,      1372.10,      1388.15,19.6
,Nifty GrowSect 15,      6052.80,      6102.35,      6161.55,      6098.30,      6149.10,96.3
,Nifty50 PR 2x Lev,      4706.35,      4809.10,      4865.35,      4784.90,      4856.40,150.05
,Nifty50 PR 1x Inv,       357.90,       354.05,       354.95,       351.90,       352.25,-5.65
,Nifty50 TR 2x Lev,      6249.90,      6386.35,      6461.05,      6354.20,      6449.15,199.25
,Nifty50 TR 1x Inv,       310.70,       307.40,       308.20,       305.50,       305.80,-4.9
,Nifty50 Value 20,      5907.30,      5969.40,      5999.75,      5944.00,      5984.50,77.2
,Nifty Mid Liq 15,      4360.80,      4400.55,      4428.60,      4351.15,      4421.70,60.9
,Nifty Pvt Bank,     14882.70,     15037.60,     15398.80,     15027.70,     15371.20,488.5
,NIFTY100 Qualty30,      2889.80,      2917.95,      2926.10,      2900.65,      2923.40,33.6
,Nifty GS 8 13Yr,      2240.01,      2240.39,      2240.39,      2237.64,      2237.89,-2.12
,Nifty GS 10Yr,      2023.14,      2023.46,      2023.46,      2019.22,      2020.42,-2.72
,Nifty GS 10Yr Cln,       971.44,       971.44,       971.44,       969.37,       969.96,-1.48
,Nifty GS 4 8Yr,      2378.84,      2379.22,      2379.22,      2376.54,      2376.66,-2.18
,Nifty GS 11 15Yr,      2422.52,      2422.95,      2422.95,      2419.59,      2419.83,-2.69
,Nifty GS 15YrPlus,      2615.95,      2616.44,      2618.72,      2616.12,      2617.13,1.18
,Nifty GS Compsite,      2283.05,      2283.43,      2283.43,      2280.47,      2280.84,-2.21

,ADVANCES,1121
,DECLINES,767
,UNCHANGED,125

,Total securities that have hit their price bands today,327

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,RELIANCE,EQ,      2029.15,      2050.70,1.06,3393.75
,DIVISLAB,EQ,      3237.25,      3423.75,5.76,2399.57
,INDUSINDBK,EQ,       738.65,       775.45,4.98,2120.56
,ICICIBANK,EQ,       442.80,       462.70,4.49,1878.68
,HDFCBANK,EQ,      1307.65,      1340.55,2.52,1753.9
,CIPLA,EQ,       789.95,       763.20,-3.39,1638.21
,BAJFINANCE,EQ,      3780.75,      3865.00,2.23,1596.88
,AXISBANK,EQ,       541.75,       565.05,4.3,1451.11
,SBIN,EQ,       219.20,       219.50,0.14,1323.65
,INFY,EQ,      1112.75,      1136.55,2.14,1151.42
,BHARTIARTL,EQ,       449.90,       471.80,4.87,1140.02
,MARUTI,EQ,      6907.60,      6872.15,-0.51,1019.04
,TCS,EQ,      2707.45,      2726.60,0.71,992.07
,KOTAKBANK,EQ,      1718.05,      1728.15,0.59,900.44
,HDFC,EQ,      2138.45,      2152.10,0.64,760.34
,TATASTEEL,EQ,       426.50,       438.30,2.77,686.57
,HCLTECH,EQ,       850.10,       855.00,0.58,643.09
,BANDHANBNK,EQ,       330.90,       340.10,2.78,621.4
,BAJAJFINSV,EQ,      6286.45,      6283.35,-0.05,613.16
,ITC,EQ,       173.95,       172.80,-0.66,612.3
,DRREDDY,EQ,      4902.95,      4879.65,-0.48,590.8
,TATAMOTORS,EQ,       139.00,       141.00,1.44,565.38
,SUNPHARMA,EQ,       509.15,       510.15,0.2,496.74
,VEDL,EQ,        94.75,        98.80,4.27,476.7
,HINDUNILVR,EQ,      2094.15,      2132.55,1.83,466.56

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,DIVISLAB,EQ,      3423.75,      3237.25,5.76
,INDUSINDBK,EQ,       775.45,       738.65,4.98
,BHARTIARTL,EQ,       471.80,       449.90,4.87
,ICICIBANK,EQ,       462.70,       442.80,4.49
,AXISBANK,EQ,       565.05,       541.75,4.3

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,CIPLA,EQ,       763.20,       789.95,-3.39
,ADANIPORTS,EQ,       367.05,       371.10,-1.09
,ITC,EQ,       172.80,       173.95,-0.66
,MARUTI,EQ,      6872.15,      6907.60,-0.51
,DRREDDY,EQ,      4879.65,      4902.95,-0.48

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        30.00,                  2616813.30,86354
,21STCENMGM,EQ,         9.80,                     2420.60,247
,3IINFOTECH,EQ,         2.90,                  6013392.60,2049751
,3MINDIA,EQ,     20427.20,                 51625034.70,2543
,3PLAND,EQ,         6.50,                     3275.55,504
,5PAISA,BE,       322.60,                 21082416.50,65905
,63MOONS,EQ,        72.90,                  3188504.20,43271
,667GS2050,GS,       100.50,                    10050.00,100
,732GS2024,GS,       101.20,                    10120.00,100
,772GS2049,GS,       117.95,                    23590.00,200
,8KMILES,BE,        95.90,                  1210929.30,12627
,A2ZINFRA,EQ,         3.75,                   343971.50,91144
,AAATECH,SM,        42.30,                   634500.00,15000
,AAKASH,EQ,        53.10,                  1750012.05,33131
,AARON,EQ,        32.30,                   599226.80,18445
,AARTIDRUGS,EQ,       648.55,                248007259.30,379230
,AARTIIND,EQ,      1117.70,                205244602.25,183888
,AARTISURF,BE,       646.80,                  4177681.20,6459
,AARVEEDEN,EQ,        10.30,                    15998.10,1550
,AARVI,EQ,        37.20,                   104312.35,2884
,AAVAS,EQ,      1468.80,                411560214.35,281008
,ABAN,EQ,        23.30,                  1030798.50,44608
,ABB,EQ,       949.30,                115514830.15,121810
,ABCAPITAL,EQ,        70.35,                124450643.75,1759341
,ABFRL,EQ,       150.80,                388845607.75,2562488
,ABFRLPP,E1,        97.35,                  5933136.50,60887
,ABINFRA,SM,         6.65,                    26600.00,4000
,ABMINTLTD,BE,        22.95,                     1927.80,84
,ABSLBANETF,EQ,       284.08,                   255038.02,911
,ABSLNN50ET,EQ,       290.99,                   146483.89,506
,ACCELYA,EQ,       838.30,                  6163166.80,7375
,ACE,EQ,        76.35,                 53201669.05,704491
,ADANIENT,EQ,       357.90,               2252085941.20,6278843
,ADANIGAS,EQ,       238.80,                518776954.75,2145913
,ADANIPOWER,EQ,        37.05,                117446015.05,3145308
,ADFFOODS,EQ,       434.60,                 49467973.20,114638
,ADHUNIKIND,EQ,        17.85,                   255496.95,14409
,ADL,BE,        17.20,                    15997.90,949
,ADORWELD,EQ,       245.20,                   872628.00,3549
,ADROITINFO,BE,         6.35,                     4301.65,707
,ADSL,EQ,        20.90,                  2335818.30,112096
,ADVANIHOTR,EQ,        40.35,                   423304.10,10502
,ADVENZYMES,EQ,       312.45,                 63877314.30,203311
,AEGISCHEM,EQ,       203.00,                 28085710.05,137751
,AFFLE,EQ,      2938.30,                390253247.15,134114
,AGARIND,EQ,        83.55,                  1877653.55,22742
,AGCNET,EQ,       631.75,                 21173905.95,33113
,AGRITECH,EQ,        27.20,                   126054.80,4593
,AGROPHOS,EQ,         8.20,                   159941.05,19348
,AHLEAST,EQ,       135.45,                    68951.15,512
,AHLUCONT,EQ,       227.20,                 20555339.35,91789
,AHLWEST,EQ,       240.35,                   284419.30,1166
,AIAENG,EQ,      1717.00,                 30423493.90,17565
,AIRAN,EQ,        12.75,                   517134.95,40800
,AJANTPHARM,EQ,      1573.25,                305053991.25,192497
,AJMERA,EQ,        86.75,                 10903212.35,124172
,AJOONI,SM,        33.00,                   132000.00,4000
,AKASH,BE,       269.65,                  3457130.40,13067
,AKG,SM,        46.30,                   185200.00,4000
,AKSHARCHEM,EQ,       208.15,                  2002154.90,9580
,AKSHOPTFBR,EQ,         5.55,                   482197.20,87217
,AKZOINDIA,EQ,      1998.45,                 67809610.35,34040
,ALANKIT,EQ,        15.85,                  1721124.85,108083
,ALBERTDAVD,EQ,       405.80,                  3705878.30,9131
,ALCHEM,EQ,         4.50,                   198015.10,44005
,ALEMBICLTD,EQ,        89.85,                 20144941.75,222828
