,11-Nov-2020
The Nifty witnessed an intraday movement of about 198.65 points.The closing index was 0.93 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 81743.31
, Traded Quantity (in Lakhs), 25673.58
, Number of Trades, 19632456
, Total Market Capitalisation (Rs. Crores), 16539437.23

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     12631.10,     12680.60,     12769.75,     12571.10,     12749.15,118.05
,NIFTY50 EQL Wgt,     12698.25,     12747.25,     12939.85,     12694.25,     12920.80,222.55
,NIFTY100 EQL Wgt,     13585.45,     13637.65,     13781.50,     13560.45,     13765.25,179.8
,NIFTY100 LowVol30,      9823.50,      9864.15,      9969.10,      9822.85,      9957.35,133.85
,NIFTY Alpha 50,     17237.80,     17282.20,     17491.75,     17282.15,     17470.15,232.35
,NIFTY MIDCAP 150,      6817.10,      6843.30,      6890.20,      6788.45,      6834.60,17.5
,NIFTY SMLCAP 50,      2900.75,      2901.35,      2934.05,      2893.90,      2930.15,29.4
,NIFTY SMLCAP 250,      5043.05,      5055.70,      5084.60,      5029.80,      5070.95,27.9
,NIFTY MIDSML 400,      6180.50,      6201.80,      6239.30,      6158.05,      6201.90,21.4
,NIFTY200 QUALTY30,     10742.90,     10789.00,     10878.85,     10723.70,     10865.65,122.75
,Nifty FinSrv25 50,     13004.40,     13053.20,     13223.05,     12957.90,     13184.25,179.85
,NIFTY AlphaLowVol,     12326.95,     12376.70,     12499.10,     12331.20,     12485.15,158.2
,Nifty200Momentm30,     12098.30,     12154.25,     12292.85,     12102.15,     12280.90,182.6
,Nifty100ESGSecLdr,      2184.45,      2193.35,      2212.90,      2181.35,      2210.65,26.2
,Nifty IT,     20978.50,     21029.25,     21365.65,     20967.80,     21330.45,351.95
,Nifty Next 50,     28547.45,     28663.15,     28905.55,     28522.00,     28879.80,332.35
,Nifty Bank,     28606.00,     28713.15,     29030.90,     28211.10,     28845.00,239
,NIFTY MIDCAP 100,     18007.95,     18088.70,     18225.10,     17926.10,     18075.00,67.05
,Nifty 500,     10269.00,     10308.50,     10378.05,     10233.35,     10356.50,87.5
,Nifty 100,     12683.35,     12733.30,     12824.00,     12634.50,     12805.60,122.25
,Nifty Midcap 50,      5020.05,      5034.45,      5073.80,      4994.70,      5048.55,28.5
,Nifty Realty,       235.05,       234.95,       237.30,       232.20,       236.85,1.8
,Nifty Infra,      3305.75,      3314.45,      3345.20,      3289.50,      3338.85,33.1
,Nifty Energy,     15713.05,     15761.10,     15926.15,     15635.35,     15773.55,60.5
,Nifty FMCG,     30494.75,     30589.05,     30886.75,     30289.20,     30845.60,350.85
,Nifty MNC,     14319.35,     14345.80,     14390.25,     14233.35,     14364.15,44.8
,Nifty Pharma,     11168.90,     11274.05,     11601.70,     11224.40,     11570.35,401.45
,Nifty PSE,      2456.60,      2461.05,      2503.50,      2449.60,      2497.65,41.05
,Nifty PSU Bank,      1439.75,      1445.95,      1465.40,      1413.45,      1432.95,-6.8
,Nifty Serv Sector,     17587.25,     17654.90,     17879.50,     17547.70,     17855.90,268.65
,India VIX,21.5775,21.5775,22.3750,18.9950,22.0325,0.4550
,Nifty Auto,      8127.25,      8171.95,      8300.65,      8143.00,      8255.20,127.95
,Nifty Metal,      2556.70,      2562.60,      2662.10,      2547.85,      2645.05,88.35
,Nifty Media,      1488.55,      1498.65,      1511.65,      1474.20,      1484.55,-4
,NIFTY SMLCAP 100,      5874.90,      5882.80,      5932.50,      5859.05,      5917.20,42.3
,Nifty 200,      6479.80,      6505.70,      6551.40,      6456.25,      6538.00,58.2
,Nifty Div Opps 50,      2502.80,      2511.90,      2549.75,      2503.75,      2546.05,43.25
,Nifty Commodities,      3386.35,      3396.00,      3448.95,      3382.40,      3437.75,51.4
,Nifty Consumption,      5203.90,      5228.85,      5262.60,      5184.55,      5257.60,53.7
,Nifty Fin Service,     13698.60,     13751.90,     13928.20,     13633.15,     13889.90,191.3
,Nifty50 Div Point,        79.54,        79.54,        79.54,        79.54,        79.54,0
,Nifty100 Liq 15,      3024.65,      3031.15,      3062.40,      3001.20,      3050.25,25.6
,Nifty CPSE,      1416.45,      1419.50,      1437.35,      1408.35,      1432.35,15.9
,Nifty GrowSect 15,      6326.45,      6356.85,      6431.25,      6324.90,      6420.35,93.9
,Nifty50 PR 2x Lev,      4988.55,      5027.25,      5096.95,      4941.45,      5081.40,92.85
,Nifty50 PR 1x Inv,       347.45,       346.15,       349.10,       343.70,       344.25,-3.2
,Nifty50 TR 2x Lev,      6624.65,      6676.05,      6768.60,      6562.10,      6747.95,123.3
,Nifty50 TR 1x Inv,       301.65,       300.50,       303.10,       298.40,       298.90,-2.75
,Nifty50 Value 20,      5954.10,      5979.05,      6094.60,      5965.75,      6083.80,129.7
,Nifty Mid Liq 15,      4451.95,      4471.50,      4509.50,      4445.25,      4497.05,45.1
,Nifty Pvt Bank,     15946.85,     16007.10,     16126.25,     15660.35,     16018.75,71.9
,NIFTY100 Qualty30,      2912.25,      2923.50,      2943.45,      2901.95,      2940.25,28
,Nifty GS 8 13Yr,      2233.26,      2233.63,      2234.79,      2232.56,      2234.69,1.43
,Nifty GS 10Yr,      2015.92,      2016.24,      2017.40,      2014.04,      2017.25,1.33
,Nifty GS 10Yr Cln,       967.61,       967.61,       968.18,       966.54,       968.10,.49
,Nifty GS 4 8Yr,      2373.69,      2374.06,      2375.31,      2373.81,      2374.95,1.26
,Nifty GS 11 15Yr,      2413.69,      2414.12,      2415.80,      2413.27,      2415.27,1.58
,Nifty GS 15YrPlus,      2609.75,      2610.24,      2620.12,      2610.24,      2620.12,10.37
,Nifty GS Compsite,      2276.72,      2277.10,      2278.10,      2276.27,      2277.99,1.27

,ADVANCES,989
,DECLINES,866
,UNCHANGED,130

,Total securities that have hit their price bands today,309

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,BAJFINANCE,EQ,      4208.55,      4268.80,1.43,5940.28
,RELIANCE,EQ,      2084.55,      1997.20,-4.19,5308.46
,INDUSINDBK,EQ,       835.20,       787.95,-5.66,4094.8
,AXISBANK,EQ,       583.60,       608.65,4.29,2996.68
,HDFCBANK,EQ,      1393.65,      1389.95,-0.27,2516.65
,SBIN,EQ,       231.70,       234.20,1.08,2508.49
,ICICIBANK,EQ,       483.85,       486.55,0.56,2202.43
,KOTAKBANK,EQ,      1752.95,      1807.85,3.13,1891.95
,BAJAJFINSV,EQ,      6687.65,      6944.80,3.85,1731.31
,TATASTEEL,EQ,       441.90,       473.95,7.25,1693.46
,HDFC,EQ,      2272.10,      2324.30,2.3,1669.44
,CIPLA,EQ,       717.30,       742.35,3.49,1388.67
,INFY,EQ,      1091.05,      1122.50,2.88,1386.69
,DRREDDY,EQ,      4698.00,      4882.15,3.92,1304.77
,TATAMOTORS,EQ,       146.00,       150.95,3.39,1170.25
,ITC,EQ,       178.35,       185.30,3.9,1156.13
,LT,EQ,      1033.70,      1059.45,2.49,1070.75
,MARUTI,EQ,      6793.45,      6857.35,0.94,1015.05
,TCS,EQ,      2649.60,      2687.80,1.44,865.68
,HEROMOTOCO,EQ,      2951.25,      3060.15,3.69,861.72
,HINDALCO,EQ,       192.35,       204.05,6.08,856.86
,APOLLOHOSP,EQ,      2033.40,      2195.35,7.96,801.69
,HCLTECH,EQ,       809.70,       826.05,2.02,798.15
,BHARTIARTL,EQ,       466.40,       478.60,2.62,744.86
,LUPIN,EQ,       858.70,       911.10,6.1,673.8

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,TATASTEEL,EQ,       473.95,       441.90,7.25
,HINDALCO,EQ,       204.05,       192.35,6.08
,AXISBANK,EQ,       608.65,       583.60,4.29
,EICHERMOT,EQ,      2326.70,      2234.85,4.11
,DRREDDY,EQ,      4882.15,      4698.00,3.92

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,INDUSINDBK,EQ,       787.95,       835.20,-5.66
,RELIANCE,EQ,      1997.20,      2084.55,-4.19
,TITAN,EQ,      1274.70,      1305.40,-2.35
,ASIANPAINT,EQ,      2181.70,      2199.75,-0.82
,BRITANNIA,EQ,      3492.75,      3508.35,-0.44

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        31.25,                  7116917.40,229881
,21STCENMGM,EQ,         9.70,                    20458.05,2098
,3IINFOTECH,EQ,         3.00,                  9522572.30,3080036
,3MINDIA,EQ,     20205.55,                 88912739.60,4409
,3PLAND,EQ,         6.85,                      689.25,105
,5PAISA,EQ,       317.40,                  1590994.30,5001
,619GS2034,GS,        99.00,                      594.00,6
,63MOONS,EQ,        72.70,                  1545658.00,21214
,68GS2060,GS,       103.00,                    10197.00,99
,716GS2050,GS,       110.12,                    22134.31,201
,719GS2060,GS,       113.00,                      565.00,5
,8KMILES,BE,        86.60,                  1409415.00,16275
,A2ZINFRA,EQ,         3.75,                   805228.60,215962
,AAATECH,SM,        44.25,                  1689450.00,39000
,AAKASH,EQ,        53.55,                  2097774.45,39489
,AARON,EQ,        31.35,                   100963.00,3211
,AARTIDRUGS,EQ,       628.25,                398232006.15,631734
,AARTIIND,EQ,      1047.80,                263357337.00,250628
,AARTISURF,BE,       713.05,                 43233849.55,62525
,AARVEEDEN,EQ,        10.00,                     9098.90,898
,AARVI,EQ,        35.25,                    39729.30,1100
,AAVAS,EQ,      1498.20,                 50569699.65,33620
,ABAN,EQ,        23.30,                  1516556.50,64383
,ABB,EQ,       944.25,                 39566009.80,41822
,ABCAPITAL,EQ,        72.50,                209900724.50,2904733
,ABFRL,EQ,       156.50,                322477542.05,2059967
,ABFRLPP,E1,       100.35,                  2168700.60,21508
,ABINFRA,SM,         6.35,                    25400.00,4000
,ABMINTLTD,BE,        25.25,                    18079.00,716
,ABSLBANETF,EQ,       286.38,                   367919.28,1284
,ABSLNN50ET,EQ,       282.01,                    20973.58,74
,ACCELYA,EQ,       857.30,                  2381511.50,2778
,ACE,EQ,        75.00,                 12963846.95,170951
,ADANIENT,EQ,       360.10,               1029155917.20,2869576
,ADANIGAS,EQ,       234.15,                275113144.95,1172270
,ADANIPOWER,EQ,        36.45,                 64849406.85,1774356
,ADFFOODS,EQ,       427.05,                 15656874.75,36595
,ADHUNIKIND,EQ,        18.35,                   361758.45,19937
,ADL,BE,        17.00,                     5378.40,317
,ADORWELD,EQ,       244.15,                  4606297.05,18744
,ADROITINFO,BE,         6.30,                     2756.00,449
,ADSL,EQ,        22.15,                  7721909.15,359299
,ADVANIHOTR,EQ,        44.75,                   554385.45,12312
,ADVENZYMES,EQ,       307.00,                 45015035.30,146855
,AEGISCHEM,EQ,       208.30,                 44552641.55,214631
,AFFLE,EQ,      2842.80,                225855799.60,80806
,AGARIND,EQ,        82.80,                   620866.15,7491
,AGCNET,BE,       620.90,                  5683413.70,9377
,AGRITECH,EQ,        27.30,                    61422.65,2277
,AGROPHOS,EQ,         8.10,                   218647.25,26724
,AHLADA,SM,        43.00,                   263000.00,6000
,AHLEAST,EQ,       133.05,                   123052.35,917
,AHLUCONT,EQ,       225.25,                  2968025.75,13104
,AHLWEST,EQ,       249.55,                   368841.25,1478
,AIAENG,EQ,      1723.20,                 16366024.95,9492
,AIRAN,EQ,        12.95,                  6563409.90,504116
,AJANTPHARM,EQ,      1550.85,                347875631.00,225984
,AJMERA,EQ,        87.65,                  3397201.50,38767
,AJOONI,SM,        32.90,                   259600.00,8000
,AKASH,EQ,       256.45,                150416808.20,565777
,AKSHARCHEM,EQ,       204.15,                  4640497.75,22546
,AKSHOPTFBR,EQ,         5.90,                  1482431.50,259008
,AKZOINDIA,EQ,      1981.20,                 15260251.45,7679
,ALANKIT,EQ,        15.60,                   779657.55,49696
,ALBERTDAVD,EQ,       412.20,                 12160867.95,29492
