,13-Nov-2020
The Nifty witnessed an intraday movement of about 128.25 points.The closing index was 0.23 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 58226.48
, Traded Quantity (in Lakhs), 22267.35
, Number of Trades, 14972793
, Total Market Capitalisation (Rs. Crores), 16626686.36

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     12690.80,     12659.70,     12735.95,     12607.70,     12719.95,29.15
,NIFTY50 EQL Wgt,     12901.10,     12860.40,     12972.90,     12825.95,     12965.45,64.35
,NIFTY100 EQL Wgt,     13780.95,     13755.00,     13879.10,     13727.75,     13866.55,85.6
,NIFTY100 LowVol30,      9945.30,      9932.90,      9957.30,      9897.95,      9943.75,-1.55
,NIFTY Alpha 50,     17705.05,     17725.50,     17972.05,     17713.00,     17958.25,253.2
,NIFTY MIDCAP 150,      6870.65,      6868.55,      6940.00,      6854.60,      6935.20,64.55
,NIFTY SMLCAP 50,      2963.70,      2965.80,      2986.65,      2959.90,      2982.15,18.45
,NIFTY SMLCAP 250,      5129.85,      5135.40,      5184.60,      5126.90,      5178.20,48.35
,NIFTY MIDSML 400,      6246.50,      6247.20,      6309.40,      6238.50,      6305.20,58.7
,NIFTY200 QUALTY30,     10899.00,     10900.40,     10964.55,     10886.30,     10944.30,45.3
,Nifty FinSrv25 50,     13104.95,     13044.75,     13184.75,     12937.90,     13171.65,66.7
,NIFTY AlphaLowVol,     12514.95,     12522.30,     12596.70,     12508.70,     12585.75,70.8
,Nifty200Momentm30,     12376.05,     12394.75,     12495.80,     12387.50,     12487.20,111.15
,Nifty100ESGSecLdr,      2205.45,      2201.45,      2210.75,      2191.10,      2206.80,1.35
,Nifty IT,     21363.35,     21305.35,     21462.00,     21219.80,     21436.85,73.5
,Nifty Next 50,     29050.00,     29029.75,     29340.45,     29002.70,     29310.05,260.05
,Nifty Bank,     28278.80,     28108.70,     28520.55,     27703.30,     28465.70,186.9
,NIFTY MIDCAP 100,     18182.90,     18170.55,     18367.65,     18127.20,     18353.40,170.5
,Nifty 500,     10342.70,     10324.10,     10394.15,     10293.25,     10387.20,44.5
,Nifty 100,     12764.05,     12735.60,     12815.55,     12691.90,     12804.25,40.2
,Nifty Midcap 50,      5069.20,      5062.15,      5111.20,      5048.30,      5105.70,36.5
,Nifty Realty,       238.60,       239.55,       242.65,       239.20,       241.80,3.2
,Nifty Infra,      3344.10,      3331.60,      3358.50,      3324.40,      3355.30,11.2
,Nifty Energy,     15743.20,     15691.95,     15917.55,     15667.55,     15869.25,126.05
,Nifty FMCG,     31240.20,     31270.20,     31393.45,     31151.00,     31222.10,-18.1
,Nifty MNC,     14435.30,     14434.70,     14444.30,     14378.65,     14406.50,-28.8
,Nifty Pharma,     11600.80,     11640.50,     11744.75,     11619.85,     11726.45,125.65
,Nifty PSE,      2483.45,      2474.50,      2502.25,      2450.50,      2500.80,17.35
,Nifty PSU Bank,      1400.20,      1392.10,      1416.25,      1369.45,      1412.00,11.8
,Nifty Serv Sector,     17704.35,     17628.10,     17755.95,     17488.70,     17740.30,35.95
,India VIX,20.6200,20.6200,29.5250,19.5575,19.7025,-0.9175
,Nifty Auto,      8284.05,      8282.75,      8347.60,      8251.80,      8308.90,24.85
,Nifty Metal,      2636.90,      2626.45,      2684.45,      2606.25,      2681.00,44.1
,Nifty Media,      1494.30,      1491.80,      1493.25,      1464.10,      1480.20,-14.1
,NIFTY SMLCAP 100,      5994.80,      5998.55,      6052.40,      5987.85,      6043.50,48.7
,Nifty 200,      6523.40,      6509.95,      6552.80,      6488.90,      6548.40,25
,Nifty Div Opps 50,      2555.65,      2550.95,      2565.75,      2541.60,      2564.55,8.9
,Nifty Commodities,      3447.45,      3438.40,      3484.05,      3435.30,      3482.25,34.8
,Nifty Consumption,      5284.75,      5289.00,      5310.80,      5274.15,      5291.00,6.25
,Nifty Fin Service,     13743.35,     13676.60,     13798.20,     13531.60,     13779.75,36.4
,Nifty50 Div Point,        79.54,        79.54,        79.54,        79.54,        79.54,0
,Nifty100 Liq 15,      3027.10,      3015.60,      3042.40,      2996.40,      3038.85,11.75
,Nifty CPSE,      1414.50,      1409.90,      1430.20,      1396.85,      1429.10,14.6
,Nifty GrowSect 15,      6391.80,      6373.60,      6411.60,      6319.80,      6400.45,8.65
,Nifty50 PR 2x Lev,      5034.50,      5009.40,      5069.20,      4968.65,      5057.25,22.75
,Nifty50 PR 1x Inv,       345.85,       346.70,       348.10,       344.65,       345.05,-.8
,Nifty50 TR 2x Lev,      6685.65,      6652.35,      6731.75,      6598.20,      6715.85,30.2
,Nifty50 TR 1x Inv,       300.25,       301.05,       302.25,       299.25,       299.60,-.65
,Nifty50 Value 20,      6104.95,      6089.15,      6108.85,      6058.50,      6103.35,-1.6
,Nifty Mid Liq 15,      4478.25,      4472.45,      4554.65,      4465.60,      4546.00,67.75
,Nifty Pvt Bank,     15727.85,     15627.30,     15885.50,     15407.75,     15846.50,118.65
,NIFTY100 Qualty30,      2942.80,      2940.15,      2957.95,      2935.00,      2953.85,11.05
,Nifty GS 8 13Yr,      2233.33,      2233.71,      2238.62,      2233.71,      2238.62,5.29
,Nifty GS 10Yr,      2016.79,      2017.11,      2022.06,      2017.11,      2021.50,4.71
,Nifty GS 10Yr Cln,       967.72,       967.72,       970.13,       967.72,       969.86,2.14
,Nifty GS 4 8Yr,      2375.72,      2376.09,      2380.51,      2376.09,      2380.27,4.55
,Nifty GS 11 15Yr,      2414.74,      2415.17,      2419.19,      2415.17,      2419.19,4.45
,Nifty GS 15YrPlus,      2617.35,      2617.84,      2618.57,      2617.84,      2618.57,1.22
,Nifty GS Compsite,      2277.72,      2278.10,      2282.72,      2278.10,      2282.72,5

,ADVANCES,1134
,DECLINES,730
,UNCHANGED,127

,Total securities that have hit their price bands today,349

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,RELIANCE,EQ,      1980.00,      1996.40,0.83,4204.83
,BAJFINANCE,EQ,      4298.30,      4376.05,1.81,2652.87
,EICHERMOT,EQ,      2350.75,      2514.60,6.97,2363.26
,INDUSINDBK,EQ,       769.20,       768.55,-0.08,1931.85
,AXISBANK,EQ,       599.70,       610.35,1.78,1726.61
,ICICIBANK,EQ,       476.70,       485.55,1.86,1662.82
,SBIN,EQ,       226.80,       229.45,1.17,1591.35
,HDFCBANK,EQ,      1371.70,      1358.80,-0.94,1523.86
,BAJAJFINSV,EQ,      7026.20,      7261.10,3.34,1186.53
,TATASTEEL,EQ,       473.15,       486.55,2.83,1118.43
,KOTAKBANK,EQ,      1754.75,      1763.30,0.49,1098.77
,APOLLOHOSP,EQ,      2110.45,      2265.80,7.36,1038.6
,HDFC,EQ,      2332.10,      2306.75,-1.09,921.62
,JUBLFOOD,EQ,      2339.20,      2482.00,6.1,844.61
,INFY,EQ,      1117.75,      1124.20,0.58,715.27
,TCS,EQ,      2671.05,      2656.85,-0.53,675.47
,MARUTI,EQ,      6836.85,      6809.25,-0.4,661.99
,HINDUNILVR,EQ,      2192.10,      2185.35,-0.31,615.26
,DRREDDY,EQ,      4826.85,      4856.90,0.62,529.95
,ITC,EQ,       188.00,       187.10,-0.48,528.47
,IBULHSGFIN,EQ,       171.05,       182.20,6.52,527.68
,LT,EQ,      1073.20,      1051.50,-2.02,526.71
,CIPLA,EQ,       739.70,       744.65,0.67,518.7
,GRASIM,EQ,       826.95,       841.35,1.74,493.04
,SUNPHARMA,EQ,       509.25,       508.45,-0.16,483.96

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,EICHERMOT,EQ,      2514.60,      2350.75,6.97
,BAJAJFINSV,EQ,      7261.10,      7026.20,3.34
,COALINDIA,EQ,       125.90,       122.10,3.11
,TATASTEEL,EQ,       486.55,       473.15,2.83
,DIVISLAB,EQ,      3432.95,      3367.05,1.96

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,TATAMOTORS,EQ,       146.35,       151.20,-3.21
,LT,EQ,      1051.50,      1073.20,-2.02
,HDFC,EQ,      2306.75,      2332.10,-1.09
,UPL,EQ,       425.35,       429.60,-0.99
,HDFCBANK,EQ,      1358.80,      1371.70,-0.94

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        30.85,                  2656616.05,86281
,21STCENMGM,EQ,         9.70,                     9253.80,954
,3IINFOTECH,EQ,         3.10,                  4899185.85,1595034
,3MINDIA,EQ,     20681.40,                207867028.05,9982
,3PLAND,EQ,         7.00,                       42.45,6
,5PAISA,EQ,       320.70,                  1944383.20,6053
,63MOONS,EQ,        73.35,                  3602812.05,49008
,716GS2050,GS,       110.50,                    31540.00,280
,719GS2060,GS,       114.00,                      114.00,1
,8KMILES,BE,        94.85,                  8291584.95,91903
,A2ZINFRA,EQ,         3.70,                   493196.15,133238
,AAATECH,SM,        42.75,                   386850.00,9000
,AAKASH,EQ,        53.20,                  1506890.75,28366
,AARON,EQ,        32.10,                   160157.65,5043
,AARTIDRUGS,EQ,       692.35,               1104105993.65,1619814
,AARTIIND,EQ,      1100.45,                246625940.10,226750
,AARTISURF,BE,       786.10,                  7051064.80,8989
,AARVEEDEN,EQ,        10.00,                    10058.95,997
,AARVI,EQ,        36.25,                    24015.55,663
,AAVAS,EQ,      1470.10,                 17112625.15,11580
,ABAN,EQ,        22.65,                  1981727.35,87513
,ABB,EQ,      1000.25,                219535218.50,222825
,ABCAPITAL,EQ,        76.90,                421610224.95,5577506
,ABFRL,EQ,       158.10,                248140868.70,1580871
,ABFRLPP,E1,       101.40,                 22147052.20,218591
,ABMINTLTD,BE,        25.20,                     6073.20,241
,ABSLBANETF,EQ,       284.26,                  1072272.81,3804
,ABSLNN50ET,EQ,       282.87,                      848.61,3
,ABSLRIF6RG,MF,         6.03,                     9045.00,1500
,ACCELYA,EQ,       851.55,                  3255221.00,3780
,ACE,EQ,        77.45,                 30590010.45,398511
,ADANIENT,EQ,       368.60,               1024826364.00,2786714
,ADANIGAS,EQ,       243.10,                334070754.95,1379152
,ADANIPOWER,EQ,        36.15,                 53567546.55,1487194
,ADFFOODS,EQ,       461.60,                 56995735.90,124986
,ADHUNIKIND,EQ,        16.15,                  1727152.50,105415
,ADL,BE,        16.90,                    25448.75,1490
,ADORWELD,EQ,       243.50,                   676665.35,2772
,ADROITINFO,BE,         6.00,                    20537.35,3412
,ADSL,EQ,        22.60,                  1340431.05,58208
,ADVANIHOTR,EQ,        44.25,                   469775.90,10557
,ADVENZYMES,EQ,       330.95,                167668124.50,506671
,AEGISCHEM,EQ,       218.05,                 29342032.95,134837
,AFFLE,EQ,      2960.90,                388068992.95,131023
,AGARIND,EQ,        80.75,                  1423687.90,17622
,AGCNET,BE,       616.05,                  1841679.25,3006
,AGRITECH,EQ,        27.00,                   162787.35,6038
,AGROPHOS,EQ,         8.15,                   158443.55,19463
,AHLADA,SM,        43.00,                   129000.00,3000
,AHLEAST,EQ,       134.40,                   122713.25,907
,AHLUCONT,EQ,       230.05,                  6068229.00,26430
,AHLWEST,EQ,       244.80,                   401633.95,1634
,AIAENG,EQ,      1729.95,                 14098993.65,8124
,AIRAN,EQ,        14.20,                  1603678.90,111284
,AJANTPHARM,EQ,      1548.50,                235518609.35,153550
,AJMERA,EQ,        92.15,                 13183940.15,144268
,AKASH,EQ,       231.50,                   629911.50,2721
,AKG,SM,        51.70,                   620600.00,12000
,AKSHARCHEM,EQ,       201.05,                  3123880.10,15646
,AKSHOPTFBR,EQ,         6.45,                  1821862.70,284464
,AKZOINDIA,EQ,      1978.60,                  9107404.75,4595
,ALANKIT,EQ,        15.50,                  2191630.55,141087
,ALBERTDAVD,EQ,       418.10,                 11530106.15,27756
,ALCHEM,EQ,         4.90,                   144568.60,29873
,ALEMBICLTD,EQ,        92.35,                 86011181.05,937573
