,14-Nov-2020
The Nifty witnessed an intraday movement of about 79.25 points.The closing index was 0.47 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 9522.83
, Traded Quantity (in Lakhs), 7915.09
, Number of Trades, 3934663
, Total Market Capitalisation (Rs. Crores), 16722873.75

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     12719.95,     12823.35,     12828.70,     12749.45,     12780.25,60.3
,NIFTY50 EQL Wgt,     12965.45,     13073.45,     13076.35,     12990.40,     13030.25,64.8
,NIFTY100 EQL Wgt,     13866.55,     13972.80,     13976.35,     13900.35,     13937.55,71
,NIFTY100 LowVol30,      9943.75,     10004.05,     10006.55,      9955.35,      9971.90,28.15
,NIFTY Alpha 50,     17958.25,     18117.85,     18127.05,     18049.55,     18080.00,121.75
,NIFTY MIDCAP 150,      6935.20,      6991.55,      7003.10,      6957.10,      6975.60,40.4
,NIFTY SMLCAP 50,      2982.15,      3002.25,      3007.55,      2995.65,      3003.90,21.75
,NIFTY SMLCAP 250,      5178.20,      5225.50,      5236.55,      5219.10,      5225.70,47.5
,NIFTY MIDSML 400,      6305.20,      6358.35,      6368.90,      6334.55,      6348.35,43.15
,NIFTY200 QUALTY30,     10944.30,     11021.70,     11021.75,     10956.55,     10982.85,38.55
,Nifty FinSrv25 50,     13171.65,     13273.45,     13302.20,     13179.50,     13225.20,53.55
,NIFTY AlphaLowVol,     12585.75,     12645.95,     12654.35,     12588.10,     12613.35,27.6
,Nifty200Momentm30,     12487.20,     12565.90,     12569.15,     12490.25,     12517.00,29.8
,Nifty100ESGSecLdr,      2206.80,      2224.15,      2224.40,      2211.85,      2216.50,9.7
,Nifty IT,     21436.85,     21604.40,     21618.90,     21532.85,     21552.75,115.9
,Nifty Next 50,     29310.05,     29512.10,     29541.45,     29360.85,     29443.15,133.1
,Nifty Bank,     28465.70,     28685.70,     28752.45,     28431.85,     28594.30,128.6
,NIFTY MIDCAP 100,     18353.40,     18491.25,     18532.90,     18397.75,     18447.65,94.25
,Nifty 500,     10387.20,     10470.90,     10476.55,     10415.95,     10440.35,53.15
,Nifty 100,     12804.25,     12906.30,     12911.40,     12833.55,     12864.60,60.35
,Nifty Midcap 50,      5105.70,      5143.20,      5155.10,      5104.25,      5124.60,18.9
,Nifty Realty,       241.80,       244.00,       245.10,       242.55,       243.70,1.9
,Nifty Infra,      3355.30,      3383.30,      3385.15,      3365.25,      3375.55,20.25
,Nifty Energy,     15869.25,     16010.60,     16066.05,     15927.95,     16019.60,150.35
,Nifty FMCG,     31222.10,     31430.15,     31451.75,     31282.85,     31336.10,114
,Nifty MNC,     14406.50,     14511.40,     14513.50,     14468.85,     14486.75,80.25
,Nifty Pharma,     11726.45,     11795.25,     11804.95,     11754.15,     11772.45,46
,Nifty PSE,      2500.80,      2515.20,      2533.95,      2508.25,      2524.65,23.85
,Nifty PSU Bank,      1412.00,      1426.85,      1429.50,      1411.35,      1417.35,5.35
,Nifty Serv Sector,     17740.30,     17882.30,     17900.45,     17779.80,     17826.70,86.4
,India VIX,19.7025,19.7025,19.7025,16.1750,19.1300,-0.5725
,Nifty Auto,      8308.90,      8375.15,      8376.60,      8314.15,      8344.75,35.85
,Nifty Metal,      2681.00,      2708.15,      2712.00,      2679.70,      2694.15,13.15
,Nifty Media,      1480.20,      1496.85,      1496.85,      1482.15,      1486.95,6.75
,NIFTY SMLCAP 100,      6043.50,      6093.35,      6107.20,      6081.95,      6089.10,45.6
,Nifty 200,      6548.40,      6600.25,      6603.75,      6563.70,      6579.60,31.2
,Nifty Div Opps 50,      2564.55,      2582.95,      2583.45,      2574.75,      2578.80,14.25
,Nifty Commodities,      3482.25,      3511.05,      3514.30,      3496.00,      3505.20,22.95
,Nifty Consumption,      5291.00,      5333.75,      5333.75,      5296.95,      5309.55,18.55
,Nifty Fin Service,     13779.75,     13879.40,     13912.30,     13793.55,     13840.25,60.5
,Nifty50 Div Point,        79.54,        79.54,        79.54,        79.54,        79.54,0
,Nifty100 Liq 15,      3038.85,      3066.90,      3072.45,      3041.15,      3055.00,16.15
,Nifty CPSE,      1429.10,      1437.80,      1439.05,      1427.95,      1432.05,2.95
,Nifty GrowSect 15,      6400.45,      6443.60,      6450.60,      6409.30,      6423.25,22.8
,Nifty50 PR 2x Lev,      5057.25,      5139.10,      5142.75,      5081.40,      5104.80,47.55
,Nifty50 PR 1x Inv,       345.05,       342.30,       344.25,       342.15,       343.45,-1.6
,Nifty50 TR 2x Lev,      6715.85,      6824.55,      6829.40,      6747.95,      6779.00,63.15
,Nifty50 TR 1x Inv,       299.60,       297.20,       298.90,       297.10,       298.20,-1.4
,Nifty50 Value 20,      6103.35,      6153.00,      6153.50,      6126.55,      6135.65,32.3
,Nifty Mid Liq 15,      4546.00,      4577.30,      4587.80,      4525.60,      4550.05,4.05
,Nifty Pvt Bank,     15846.50,     15964.15,     16010.15,     15827.70,     15920.55,74.05
,NIFTY100 Qualty30,      2953.85,      2974.60,      2976.30,      2956.50,      2964.75,10.9
,Nifty GS 8 13Yr,      2239.41,      2239.78,      2239.78,      2239.78,      2239.78,.37
,Nifty GS 10Yr,      2022.51,      2022.83,      2022.83,      2022.83,      2022.83,.32
,Nifty GS 10Yr Cln,       969.88,       969.88,       969.88,       969.88,       969.88,0
,Nifty GS 4 8Yr,      2381.03,      2381.41,      2381.41,      2381.41,      2381.41,.38
,Nifty GS 11 15Yr,      2420.08,      2420.51,      2420.51,      2420.51,      2420.51,.43
,Nifty GS 15YrPlus,      2623.32,      2623.81,      2623.81,      2623.81,      2623.81,.49
,Nifty GS Compsite,      2283.59,      2283.97,      2283.97,      2283.97,      2283.97,.38

,ADVANCES,1427
,DECLINES,357
,UNCHANGED,93

,Total securities that have hit their price bands today,313

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,RELIANCE,EQ,      1996.40,      2002.30,0.3,483.82
,TATASTEEL,EQ,       486.55,       492.20,1.16,387.28
,BAJFINANCE,EQ,      4376.05,      4374.80,-0.03,347.2
,BPCL,EQ,       394.00,       412.85,4.78,345.3
,EICHERMOT,EQ,      2514.60,      2540.55,1.03,266.46
,INDUSINDBK,EQ,       768.55,       770.45,0.25,252.48
,BAJAJFINSV,EQ,      7261.10,      7335.55,1.03,233.15
,IDEA,EQ,         8.70,         9.10,4.6,224.7
,AXISBANK,EQ,       610.35,       613.15,0.46,197.53
,BHARTIARTL,EQ,       475.75,       481.50,1.21,190.17
,SBIN,EQ,       229.45,       229.65,0.09,179.08
,ICICIBANK,EQ,       485.55,       486.90,0.28,177.38
,TATAMOTORS,EQ,       146.35,       148.85,1.71,175.65
,ITC,EQ,       187.10,       188.60,0.8,146.77
,INFY,EQ,      1124.20,      1133.45,0.82,128.86
,HDFCBANK,EQ,      1358.80,      1369.70,0.8,125.75
,IBULHSGFIN,EQ,       182.20,       184.60,1.32,125.1
,NTPC,EQ,        91.45,        90.90,-0.6,113.87
,YESBANK,EQ,        14.55,        14.55,0,97.12
,LT,EQ,      1051.50,      1059.20,0.73,96.8
,SUNPHARMA,EQ,       508.45,       514.00,1.09,90.65
,MARUTI,EQ,      6809.25,      6852.25,0.63,87.83
,HDFC,EQ,      2306.75,      2311.25,0.2,86.63
,TCS,EQ,      2656.85,      2670.35,0.51,79.77
,APOLLOHOSP,EQ,      2265.80,      2284.65,0.83,74.76

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,BPCL,EQ,       412.85,       394.00,4.78
,IOC,EQ,        86.65,        84.75,2.24
,TATAMOTORS,EQ,       148.85,       146.35,1.71
,HDFCLIFE,EQ,       636.10,       627.50,1.37
,BHARTIARTL,EQ,       481.50,       475.75,1.21

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,NTPC,EQ,        90.90,        91.45,-0.6
,HINDALCO,EQ,       209.30,       210.55,-0.59
,POWERGRID,EQ,       188.00,       188.85,-0.45
,HEROMOTOCO,EQ,      3115.70,      3128.90,-0.42
,JSWSTEEL,EQ,       341.95,       343.20,-0.36

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        30.95,                  1055717.75,34764
,21STCENMGM,EQ,         9.85,                     4189.95,428
,3IINFOTECH,EQ,         3.20,                 11350593.05,3577270
,3MINDIA,EQ,     20495.90,                 19802722.35,967
,5PAISA,EQ,       321.65,                   871285.35,2703
,63MOONS,EQ,        73.85,                  1493762.05,20249
,716GS2050,GS,       110.50,                     1105.00,10
,8KMILES,BE,        95.50,                  1899031.75,19796
,A2ZINFRA,EQ,         3.75,                   234525.35,62416
,AAATECH,SM,        44.40,                   927300.00,21000
,AAKASH,EQ,        53.00,                   259267.75,4806
,AARON,EQ,        31.90,                     6216.80,193
,AARTIDRUGS,EQ,       716.30,                379123423.00,529545
,AARTIIND,EQ,      1101.30,                 34395881.40,31169
,AARTISURF,BE,       825.40,                  4189730.40,5076
,AARVEEDEN,EQ,        10.25,                    18793.90,1831
,AARVI,EQ,        39.55,                    97062.05,2450
,AAVAS,EQ,      1485.70,                  2932014.20,1973
,ABAN,EQ,        22.85,                   608100.95,26848
,ABB,EQ,       986.15,                 36296817.55,36544
,ABCAPITAL,EQ,        80.85,                476417606.45,5930624
,ABFRL,EQ,       157.85,                 35490234.40,224405
,ABFRLPP,E1,       101.70,                   551568.85,5401
,ABMINTLTD,BE,        24.45,                    16168.75,675
,ABSLBANETF,EQ,       283.79,                    68963.72,243
,ABSLNN50ET,EQ,       287.14,                    18132.40,63
,ACCELYA,EQ,       849.20,                  1805574.90,2120
,ACE,EQ,        87.30,                112317838.20,1317785
,ADANIENT,EQ,       371.25,                230563200.00,620753
,ADANIGAS,EQ,       244.70,                 85691147.75,349600
,ADANIPOWER,EQ,        36.40,                 19547905.90,536355
,ADFFOODS,EQ,       469.30,                 17886110.90,37901
,ADHUNIKIND,EQ,        16.85,                   158834.95,9460
,ADL,BE,        16.70,                     5667.80,338
,ADORWELD,EQ,       245.25,                   499035.35,2036
,ADROITINFO,BE,         5.85,                       17.55,3
,ADSL,EQ,        22.35,                   267023.30,11907
,ADVANIHOTR,EQ,        44.55,                    52627.60,1171
,ADVENZYMES,EQ,       330.40,                 23410884.45,70666
,AEGISCHEM,EQ,       218.85,                 10638133.75,48507
,AFFLE,EQ,      2959.00,                 46956332.75,15793
,AGARIND,EQ,        83.70,                   682447.40,8162
,AGCNET,BE,       621.40,                  5116179.95,8164
,AGRITECH,EQ,        26.90,                    45062.00,1668
,AGROPHOS,EQ,         8.30,                    80711.35,9589
,AHLEAST,EQ,       136.85,                     5064.05,37
,AHLUCONT,EQ,       230.40,                  1330319.70,5764
,AHLWEST,EQ,       245.35,                   191516.05,782
,AIAENG,EQ,      1768.00,                 41131528.00,23275
,AIRAN,EQ,        14.40,                  5749594.95,411194
,AIROLAM,SM,        29.95,                   168900.00,6000
,AJANTPHARM,EQ,      1548.90,                 18357946.15,11845
,AJMERA,EQ,        93.80,                  5871778.40,62768
,AKASH,EQ,       219.95,                     9897.75,45
,AKSHARCHEM,EQ,       202.15,                  1190517.25,5873
,AKSHOPTFBR,EQ,         6.75,                   749876.05,111318
,AKZOINDIA,EQ,      2000.75,                  5669586.05,2837
,ALANKIT,EQ,        15.60,                   305184.00,19495
,ALBERTDAVD,EQ,       415.50,                  2369291.30,5690
,ALCHEM,EQ,         4.90,                    71496.75,14406
,ALEMBICLTD,EQ,        95.15,                 39411880.25,416211
,ALICON,EQ,       306.70,                   647023.55,2121
,ALKALI,EQ,        48.05,                   136816.35,2834
,ALKYLAMINE,EQ,      3388.90,                 21808503.80,6435
,ALLCARGO,EQ,       126.90,                 80440417.80,635250
,ALLSEC,EQ,       240.40,                   136377.80,567
