,24-Nov-2020
The Nifty witnessed an intraday movement of about 101.1 points.The closing index was 1 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 66399.52
, Traded Quantity (in Lakhs), 28632.94
, Number of Trades, 18512741
, Total Market Capitalisation (Rs. Crores), 17267120.08

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     12926.45,     13002.60,     13079.10,     12978.00,     13055.15,128.7
,NIFTY50 EQL Wgt,     13409.30,     13477.75,     13537.70,     13461.10,     13522.75,113.45
,NIFTY100 EQL Wgt,     14308.35,     14374.15,     14432.85,     14358.65,     14403.10,94.75
,NIFTY100 LowVol30,     10146.65,     10182.35,     10242.10,     10170.80,     10215.10,68.45
,NIFTY Alpha 50,     18875.05,     19042.10,     19087.50,     18949.55,     19019.50,144.45
,NIFTY MIDCAP 150,      7279.50,      7322.55,      7347.95,      7316.40,      7340.00,60.5
,NIFTY SMLCAP 50,      3111.50,      3141.85,      3150.40,      3131.65,      3146.65,35.15
,NIFTY SMLCAP 250,      5427.40,      5471.70,      5482.05,      5455.50,      5475.85,48.45
,NIFTY MIDSML 400,      6615.35,      6658.95,      6678.35,      6650.05,      6671.55,56.2
,NIFTY200 QUALTY30,     11131.40,     11174.20,     11240.10,     11165.20,     11211.15,79.75
,Nifty FinSrv25 50,     13553.90,     13658.70,     13772.85,     13629.20,     13739.90,186
,NIFTY AlphaLowVol,     12782.75,     12838.05,     12859.10,     12772.10,     12833.70,50.95
,Nifty200Momentm30,     12596.75,     12653.70,     12674.40,     12578.35,     12649.60,52.85
,Nifty100ESGSecLdr,      2243.50,      2255.30,      2265.05,      2250.95,      2260.00,16.5
,Nifty IT,     22007.05,     22099.60,     22281.85,     22016.95,     22064.30,57.25
,Nifty Next 50,     30220.30,     30351.95,     30476.75,     30284.20,     30377.15,156.85
,Nifty Bank,     29024.20,     29265.60,     29827.80,     29206.75,     29737.25,713.05
,NIFTY MIDCAP 100,     19211.40,     19326.40,     19389.40,     19292.40,     19352.25,140.85
,Nifty 500,     10635.95,     10698.30,     10749.35,     10686.50,     10733.60,97.65
,Nifty 100,     13036.65,     13110.80,     13179.10,     13090.10,     13158.30,121.65
,Nifty Midcap 50,      5365.55,      5399.00,      5417.70,      5381.55,      5410.55,45
,Nifty Realty,       253.75,       255.45,       260.90,       254.60,       258.30,4.55
,Nifty Infra,      3436.50,      3452.40,      3466.65,      3439.70,      3446.00,9.5
,Nifty Energy,     16405.55,     16528.35,     16584.05,     16342.50,     16460.55,55
,Nifty FMCG,     31568.10,     31600.40,     31878.10,     31576.95,     31832.20,264.1
,Nifty MNC,     14789.15,     14836.95,     14918.05,     14825.60,     14901.55,112.4
,Nifty Pharma,     11737.20,     11808.90,     11912.35,     11680.00,     11880.80,143.6
,Nifty PSE,      2580.95,      2593.85,      2607.10,      2573.15,      2581.95,1
,Nifty PSU Bank,      1466.85,      1478.60,      1487.55,      1463.75,      1483.10,16.25
,Nifty Serv Sector,     18101.30,     18221.90,     18331.75,     18178.25,     18289.40,188.1
,India VIX,20.7975,20.7975,22.0000,20.0250,21.0575,0.2600
,Nifty Auto,      8738.60,      8776.65,      8942.15,      8767.65,      8887.95,149.35
,Nifty Metal,      2808.60,      2827.50,      2846.75,      2803.25,      2839.15,30.55
,Nifty Media,      1477.30,      1484.95,      1490.90,      1475.45,      1478.00,.7
,NIFTY SMLCAP 100,      6309.65,      6369.60,      6386.05,      6352.25,      6380.00,70.35
,Nifty 200,      6688.00,      6726.25,      6759.20,      6717.80,      6748.90,60.9
,Nifty Div Opps 50,      2630.40,      2640.45,      2654.00,      2637.50,      2647.05,16.65
,Nifty Commodities,      3594.75,      3616.40,      3624.85,      3593.20,      3607.50,12.75
,Nifty Consumption,      5387.45,      5400.35,      5442.00,      5397.70,      5422.95,35.5
,Nifty Fin Service,     14059.10,     14170.95,     14312.60,     14139.05,     14275.25,216.15
,Nifty50 Div Point,        79.54,        79.54,        79.54,        79.54,        79.54,0
,Nifty100 Liq 15,      3112.85,      3133.80,      3167.15,      3130.60,      3160.80,47.95
,Nifty CPSE,      1483.85,      1489.65,      1502.35,      1482.20,      1487.25,3.4
,Nifty GrowSect 15,      6471.75,      6509.00,      6573.30,      6492.80,      6557.90,86.15
,Nifty50 PR 2x Lev,      5216.75,      5277.80,      5339.00,      5259.90,      5320.20,103.45
,Nifty50 PR 1x Inv,       339.70,       337.75,       338.30,       335.75,       336.35,-3.35
,Nifty50 TR 2x Lev,      6927.70,      7008.75,      7090.05,      6985.00,      7065.05,137.35
,Nifty50 TR 1x Inv,       294.95,       293.25,       293.75,       291.50,       292.05,-2.9
,Nifty50 Value 20,      6232.05,      6256.95,      6289.80,      6246.25,      6272.50,40.45
,Nifty Mid Liq 15,      4714.55,      4741.15,      4768.40,      4736.30,      4758.45,43.9
,Nifty Pvt Bank,     16166.85,     16298.45,     16592.35,     16263.00,     16542.95,376.1
,NIFTY100 Qualty30,      3023.10,      3033.85,      3054.95,      3031.85,      3049.00,25.9
,Nifty GS 8 13Yr,      2241.68,      2242.05,      2244.42,      2240.79,      2244.37,2.69
,Nifty GS 10Yr,      2021.98,      2022.30,      2025.04,      2020.03,      2024.74,2.76
,Nifty GS 10Yr Cln,       968.53,       968.53,       969.86,       967.42,       969.72,1.19
,Nifty GS 4 8Yr,      2388.67,      2389.05,      2391.62,      2388.05,      2391.61,2.94
,Nifty GS 11 15Yr,      2422.24,      2422.67,      2427.84,      2422.45,      2427.84,5.6
,Nifty GS 15YrPlus,      2636.51,      2636.99,      2639.27,      2636.99,      2639.27,2.76
,Nifty GS Compsite,      2287.43,      2287.81,      2290.30,      2286.97,      2290.29,2.86

,ADVANCES,1097
,DECLINES,806
,UNCHANGED,117

,Total securities that have hit their price bands today,364

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,HDFCBANK,EQ,      1394.60,      1438.20,3.13,2871.05
,RELIANCE,EQ,      1950.70,      1964.05,0.68,2787.04
,BAJFINANCE,EQ,      4811.45,      4810.65,-0.02,2065.54
,AXISBANK,EQ,       595.60,       619.65,4.04,1884.12
,KOTAKBANK,EQ,      1897.85,      1924.90,1.43,1724.35
,INDUSINDBK,EQ,       849.75,       853.70,0.46,1682.21
,BAJAJFINSV,EQ,      8774.35,      8859.70,0.97,1577.38
,MARUTI,EQ,      6987.75,      7158.40,2.44,1368.5
,M&M,EQ,       705.45,       729.35,3.39,1177.48
,SBIN,EQ,       238.70,       243.85,2.16,1152.39
,HDFC,EQ,      2250.80,      2217.70,-1.47,1103.96
,ICICIBANK,EQ,       468.25,       478.20,2.12,1100.35
,INFY,EQ,      1139.85,      1140.05,0.02,972.97
,DRREDDY,EQ,      4828.75,      4915.50,1.8,936.45
,ITC,EQ,       190.85,       195.55,2.46,883.86
,TCS,EQ,      2724.25,      2722.05,-0.08,850.3
,RBLBANK,EQ,       212.65,       226.40,6.47,847.33
,TATAMOTORS,EQ,       170.70,       172.05,0.79,828.16
,INFRATEL,EQ,       218.35,       218.90,0.25,809.73
,SRTRANSFIN,EQ,       974.65,      1029.20,5.6,795.06
,ADANIPORTS,EQ,       375.15,       392.25,4.56,770
,HCLTECH,EQ,       839.20,       840.50,0.15,717.84
,TATASTEEL,EQ,       543.10,       548.30,0.96,712
,ASIANPAINT,EQ,      2186.25,      2207.90,0.99,654.51
,EICHERMOT,EQ,      2597.35,      2693.30,3.69,648.39

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,ADANIPORTS,EQ,       392.25,       375.15,4.56
,AXISBANK,EQ,       619.65,       595.60,4.04
,EICHERMOT,EQ,      2693.30,      2597.35,3.69
,HINDALCO,EQ,       226.00,       218.05,3.65
,M&M,EQ,       729.35,       705.45,3.39

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,TITAN,EQ,      1327.15,      1347.60,-1.52
,HDFC,EQ,      2217.70,      2250.80,-1.47
,BPCL,EQ,       389.75,       394.45,-1.19
,SHREECEM,EQ,     24243.55,     24465.30,-0.91
,BHARTIARTL,EQ,       474.25,       477.25,-0.63

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        31.75,                  1817196.90,57308
,21STCENMGM,EQ,         9.80,                    41908.25,4331
,3IINFOTECH,EQ,         3.40,                 65598024.50,18440558
,3MINDIA,EQ,     22793.85,                373816604.65,16440
,3PLAND,EQ,         7.45,                    24454.70,3306
,5PAISA,EQ,       347.20,                  2562717.45,7367
,617GS2021,GS,        98.83,                      494.15,5
,63MOONS,EQ,        89.10,                 45413553.80,528782
,645GS2029,GS,        96.00,                      672.00,7
,667GS2050,GS,       103.50,                    20700.00,200
,716GS2050,GS,       113.00,                      113.00,1
,719GS2060,GS,       111.79,                     5030.55,45
,8KMILES,BE,        85.80,                  2392568.45,28026
,A2ZINFRA,EQ,         3.90,                   921751.45,237553
,AAATECH,SM,        42.75,                   384750.00,9000
,AAKASH,EQ,        53.15,                  4715820.75,88798
,AARON,EQ,        56.10,                  4723264.50,84409
,AARTIDRUGS,EQ,       704.70,                526009307.40,736918
,AARTIIND,EQ,      1145.65,                484940585.90,421807
,AARTISURF,EQ,       905.55,                 32179316.70,36513
,AARVEEDEN,EQ,        11.05,                   135916.05,12404
,AARVI,EQ,        36.95,                     9944.30,268
,AAVAS,EQ,      1567.85,                250133956.95,160186
,ABAN,EQ,        25.10,                  3033632.15,119779
,ABB,EQ,      1072.30,                285157481.30,267122
,ABCAPITAL,EQ,        82.75,                193984920.05,2330596
,ABFRL,EQ,       155.30,                156441607.55,999978
,ABFRLPP,E1,        95.00,                 42264694.65,442754
,ABINFRA,SM,         6.80,                    27200.00,4000
,ABMINTLTD,BE,        24.95,                    34327.75,1368
,ABSLBANETF,EQ,       296.28,                   100325.12,341
,ABSLNN50ET,EQ,       287.50,                     3836.61,13
,ACCELYA,EQ,       864.50,                  2341075.15,2700
,ACCURACY,SM,        31.35,                    50160.00,1600
,ACE,EQ,        93.45,                 26418126.00,279661
,ADANIENT,EQ,       407.20,               2528490573.30,6167783
,ADANIGAS,EQ,       338.75,                755657189.15,2207876
,ADANIPOWER,EQ,        38.70,                209108676.15,5374263
,ADFFOODS,EQ,       437.10,                 14344087.10,32586
,ADHUNIKIND,EQ,        16.65,                  4081681.70,251058
,ADL,BE,        19.20,                    18461.20,962
,ADORWELD,EQ,       260.90,                  5386892.85,20491
,ADROITINFO,BE,         6.40,                   121332.00,20022
,ADSL,EQ,        23.15,                  1755912.70,75141
,ADVANIHOTR,EQ,        47.75,                  1520016.85,30977
,ADVENZYMES,EQ,       342.15,                185328854.80,534245
,AEGISCHEM,EQ,       228.05,                 66057966.45,294366
,AFFLE,EQ,      3307.95,                681990919.20,201006
,AGARIND,EQ,        81.80,                   709033.75,8741
,AGCNET,BE,       605.00,                  1727331.25,2864
,AGRITECH,EQ,        31.00,                   681372.15,21895
,AGROPHOS,EQ,         9.00,                  1202652.15,137514
,AHLADA,SM,        46.50,                   187600.00,4000
,AHLEAST,EQ,       135.90,                   615959.45,4484
,AHLUCONT,EQ,       245.10,                  6975664.25,28581
,AHLWEST,EQ,       246.05,                   228583.95,924
,AIAENG,EQ,      1870.75,                130684139.45,70968
,AIRAN,EQ,        15.10,                  1883803.35,125704
,AISL,SM,        19.05,                   133740.00,7200
,AJANTPHARM,EQ,      1527.75,                124268369.15,81370
,AJMERA,EQ,        98.25,                 56604498.55,570421
,AJOONI,SM,        31.30,                   250400.00,8000
,AKASH,EQ,       201.80,                  7078793.35,34990
,AKG,SM,        49.50,                   198000.00,4000
,AKSHARCHEM,EQ,       207.00,                  4404053.05,21327
,AKSHOPTFBR,EQ,         6.90,                  3277240.45,478939
,AKZOINDIA,EQ,      2125.45,                 20799528.85,9743
