,26-Nov-2020
The Nifty witnessed an intraday movement of about 227.6 points.The closing index was 1 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 61266.63
, Traded Quantity (in Lakhs), 25666.63
, Number of Trades, 16380442
, Total Market Capitalisation (Rs. Crores), 17195266.68

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     12858.40,     12906.45,     13018.00,     12790.40,     12987.00,128.6
,NIFTY50 EQL Wgt,     13368.65,     13414.90,     13555.60,     13310.65,     13523.75,155.1
,NIFTY100 EQL Wgt,     14226.05,     14259.60,     14404.70,     14173.40,     14377.10,151.05
,NIFTY100 LowVol30,     10059.00,     10082.35,     10167.45,     10017.15,     10144.05,85.05
,NIFTY Alpha 50,     18610.55,     18561.00,     18691.75,     18457.80,     18660.40,49.85
,NIFTY MIDCAP 150,      7227.55,      7256.75,      7286.25,      7193.30,      7278.15,50.6
,NIFTY SMLCAP 50,      3119.60,      3133.55,      3149.00,      3105.35,      3146.45,26.85
,NIFTY SMLCAP 250,      5424.20,      5450.60,      5468.35,      5403.25,      5466.05,41.85
,NIFTY MIDSML 400,      6581.25,      6609.50,      6634.35,      6552.30,      6628.75,47.5
,NIFTY200 QUALTY30,     11037.95,     11062.00,     11126.10,     10963.95,     11098.75,60.8
,Nifty FinSrv25 50,     13549.15,     13608.35,     13806.05,     13521.70,     13773.95,224.8
,NIFTY AlphaLowVol,     12615.60,     12646.50,     12769.65,     12562.15,     12738.65,123.05
,Nifty200Momentm30,     12416.40,     12455.85,     12566.50,     12358.50,     12540.25,123.85
,Nifty100ESGSecLdr,      2222.00,      2230.55,      2251.30,      2213.15,      2246.10,24.1
,Nifty IT,     21705.90,     21717.40,     21919.15,     21544.05,     21859.90,154
,Nifty Next 50,     29916.30,     29906.15,     30235.65,     29809.05,     30186.05,269.75
,Nifty Bank,     29196.40,     29370.40,     29623.00,     28923.10,     29549.75,353.35
,NIFTY MIDCAP 100,     19032.60,     19103.15,     19222.85,     18944.25,     19196.45,163.85
,Nifty 500,     10574.95,     10611.05,     10694.75,     10531.90,     10674.05,99.1
,Nifty 100,     12959.80,     13001.40,     13117.05,     12900.10,     13087.75,127.95
,Nifty Midcap 50,      5334.45,      5355.70,      5421.10,      5313.00,      5411.60,77.15
,Nifty Realty,       252.50,       253.60,       255.30,       251.40,       254.45,1.95
,Nifty Infra,      3407.35,      3426.30,      3441.50,      3393.70,      3431.60,24.25
,Nifty Energy,     16388.00,     16317.90,     16388.20,     16201.35,     16346.00,-42
,Nifty FMCG,     31441.70,     31548.45,     31765.50,     31305.65,     31701.30,259.6
,Nifty MNC,     14714.40,     14756.80,     14871.15,     14647.25,     14835.45,121.05
,Nifty Pharma,     11635.20,     11665.15,     11834.95,     11604.65,     11801.25,166.05
,Nifty PSE,      2591.40,      2598.20,      2619.75,      2577.50,      2614.30,22.9
,Nifty PSU Bank,      1509.85,      1515.50,      1543.60,      1497.70,      1539.05,29.2
,Nifty Serv Sector,     17996.05,     18061.10,     18254.55,     17889.50,     18208.60,212.55
,India VIX,23.1275,23.1275,23.1275,19.4375,20.0225,-3.1050
,Nifty Auto,      8738.45,      8757.60,      8823.70,      8682.00,      8767.75,29.3
,Nifty Metal,      2816.55,      2829.00,      2933.70,      2804.30,      2925.05,108.5
,Nifty Media,      1472.50,      1480.50,      1484.55,      1463.15,      1481.25,8.75
,NIFTY SMLCAP 100,      6323.20,      6351.75,      6381.55,      6292.40,      6377.40,54.2
,Nifty 200,      6646.00,      6667.70,      6724.65,      6617.35,      6710.65,64.65
,Nifty Div Opps 50,      2625.50,      2632.50,      2651.75,      2612.05,      2646.25,20.75
,Nifty Commodities,      3562.35,      3562.55,      3612.50,      3538.15,      3604.05,41.7
,Nifty Consumption,      5335.20,      5353.65,      5381.30,      5307.65,      5368.65,33.45
,Nifty Fin Service,     14011.70,     14080.15,     14271.75,     13944.30,     14237.65,225.95
,Nifty50 Div Point,        79.54,        79.54,        79.54,        79.54,        79.54,0
,Nifty100 Liq 15,      3113.35,      3124.50,      3159.35,      3094.50,      3151.85,38.5
,Nifty CPSE,      1506.05,      1510.20,      1520.75,      1500.25,      1517.40,11.35
,Nifty GrowSect 15,      6440.55,      6466.90,      6540.50,      6401.85,      6523.70,83.15
,Nifty50 PR 2x Lev,      5159.40,      5197.60,      5286.50,      5104.80,      5262.25,102.85
,Nifty50 PR 1x Inv,       341.45,       340.20,       343.30,       337.25,       338.05,-3.4
,Nifty50 TR 2x Lev,      6851.55,      6902.30,      7020.30,      6779.05,      6988.10,136.55
,Nifty50 TR 1x Inv,       296.45,       295.35,       298.05,       292.80,       293.50,-2.95
,Nifty50 Value 20,      6204.30,      6220.00,      6271.60,      6174.15,      6255.20,50.9
,Nifty Mid Liq 15,      4694.65,      4720.25,      4764.00,      4682.70,      4753.70,59.05
,Nifty Pvt Bank,     16232.90,     16331.55,     16433.60,     16060.55,     16390.40,157.5
,NIFTY100 Qualty30,      2999.45,      3005.10,      3028.15,      2979.20,      3020.05,20.6
,Nifty GS 8 13Yr,      2244.83,      2245.21,      2247.52,      2245.21,      2247.08,2.25
,Nifty GS 10Yr,      2024.66,      2024.98,      2027.24,      2024.98,      2026.74,2.08
,Nifty GS 10Yr Cln,       969.52,       969.52,       970.62,       969.52,       970.38,.86
,Nifty GS 4 8Yr,      2392.41,      2392.79,      2393.58,      2392.15,      2393.42,1.01
,Nifty GS 11 15Yr,      2430.49,      2430.92,      2436.14,      2430.92,      2435.79,5.3
,Nifty GS 15YrPlus,      2644.52,      2645.01,      2647.45,      2644.70,      2644.70,.18
,Nifty GS Compsite,      2290.79,      2291.17,      2293.26,      2291.17,      2293.00,2.21

,ADVANCES,1255
,DECLINES,622
,UNCHANGED,140

,Total securities that have hit their price bands today,353

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,BAJFINANCE,EQ,      4689.75,      4821.25,2.8,2986.49
,RELIANCE,EQ,      1947.80,      1952.60,0.25,2321.31
,AXISBANK,EQ,       599.85,       612.55,2.12,2157.65
,HDFCBANK,EQ,      1402.80,      1426.65,1.7,1970.89
,SBIN,EQ,       243.00,       245.45,1.01,1563.01
,INDUSINDBK,EQ,       855.05,       850.55,-0.53,1434.17
,SIEMENS,EQ,      1364.25,      1516.70,11.17,1427.46
,ICICIBANK,EQ,       472.70,       475.30,0.55,1354.42
,KOTAKBANK,EQ,      1862.45,      1889.10,1.43,1285.44
,TATASTEEL,EQ,       541.25,       568.40,5.02,1255.14
,INFY,EQ,      1115.65,      1113.20,-0.22,1211.99
,HDFC,EQ,      2191.35,      2238.40,2.15,1113.42
,BAJAJFINSV,EQ,      8717.75,      8806.70,1.02,1104.54
,LT,EQ,      1116.00,      1118.85,0.26,822.15
,DRREDDY,EQ,      4806.30,      4901.35,1.98,807.4
,MARUTI,EQ,      7055.70,      6994.25,-0.87,744.11
,HCLTECH,EQ,       824.70,       842.05,2.1,702.14
,TATAMOTORS,EQ,       171.45,       173.75,1.34,674.17
,TCS,EQ,      2701.30,      2720.60,0.71,632.84
,MRF,EQ,     76311.75,     75820.05,-0.64,589.21
,EICHERMOT,EQ,      2595.10,      2549.20,-1.77,531.31
,SRTRANSFIN,EQ,      1065.00,      1051.70,-1.25,531.29
,BOSCHLTD,EQ,     12925.80,     12776.50,-1.16,528.09
,BHARTIARTL,EQ,       464.10,       468.40,0.93,527.3
,ADANIPORTS,EQ,       398.95,       410.15,2.81,519.79

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,JSWSTEEL,EQ,       359.20,       338.25,6.19
,TATASTEEL,EQ,       568.40,       541.25,5.02
,GRASIM,EQ,       877.40,       843.10,4.07
,HINDALCO,EQ,       229.90,       223.45,2.89
,SHREECEM,EQ,     24381.15,     23698.80,2.88

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,EICHERMOT,EQ,      2549.20,      2595.10,-1.77
,BPCL,EQ,       378.00,       382.05,-1.06
,MARUTI,EQ,      6994.25,      7055.70,-0.87
,ONGC,EQ,        80.20,        80.80,-0.74
,HDFCLIFE,EQ,       660.80,       665.10,-0.65

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        32.10,                  1247822.35,38821
,21STCENMGM,EQ,         9.80,                    22873.80,2355
,3IINFOTECH,EQ,         3.35,                 14773062.25,4520058
,3MINDIA,EQ,     20920.90,                146023344.50,6920
,3PLAND,EQ,         7.80,                     2712.50,350
,5PAISA,EQ,       328.50,                  2174150.10,6580
,617GS2021,GS,        93.91,                     9391.00,100
,63MOONS,EQ,        86.35,                 38614472.20,453130
,8KMILES,BE,        84.55,                  2502718.35,30267
,A2ZINFRA,EQ,         4.10,                  1474527.35,364515
,AAATECH,SM,        44.00,                   679500.00,15000
,AAKASH,EQ,        52.90,                  2833221.10,53442
,AARON,EQ,        64.75,                  1311122.75,20249
,AARTIDRUGS,EQ,       685.60,                325227046.05,472820
,AARTIIND,EQ,      1109.10,                181906750.70,164371
,AARTISURF,EQ,       997.70,                 56287732.40,56785
,AARVEEDEN,EQ,        12.00,                    95557.25,7983
,AARVI,EQ,        39.00,                   121479.00,3153
,AAVAS,EQ,      1574.65,                680421034.20,432819
,ABAN,EQ,        29.05,                 13099150.85,452715
,ABB,EQ,      1076.95,                312994844.45,292405
,ABCAPITAL,EQ,        80.50,                125131307.50,1558707
,ABFRL,EQ,       157.05,                121675051.70,779436
,ABFRLPP,E1,        96.90,                  2002416.95,20815
,ABINFRA,SM,         6.50,                    26000.00,4000
,ABMINTLTD,BE,        24.70,                    14109.50,571
,ABSLBANETF,EQ,       294.55,                     4391.41,15
,ABSLNN50ET,EQ,       290.00,                    58472.13,202
,ABSLRIF6RG,MF,         6.35,                     3175.00,500
,ACCELYA,EQ,       860.60,                  3639388.15,4233
,ACCURACY,SM,        29.90,                   140800.00,4800
,ACE,EQ,       100.65,                265365935.20,2626041
,ADANIENT,EQ,       401.95,               2221523583.55,5490958
,ADANIGAS,EQ,       316.35,                834132565.40,2636543
,ADANIPOWER,EQ,        38.25,                 80512660.60,2099846
,ADFFOODS,EQ,       450.20,                 20999328.15,47042
,ADHUNIKIND,EQ,        17.10,                  1569055.15,93600
,ADL,BE,        19.55,                    38551.25,2029
,ADORWELD,EQ,       256.05,                  1735995.90,6807
,ADROITINFO,BE,         6.30,                    13250.80,2163
,ADSL,EQ,        23.15,                  2221775.65,94907
,ADVANIHOTR,EQ,        53.90,                  6769808.90,128330
,ADVENZYMES,EQ,       324.75,                 51456705.20,158026
,AEGISCHEM,EQ,       240.40,                 59693310.40,250466
,AFFLE,EQ,      3255.90,                236788010.85,73257
,AGARIND,EQ,        82.70,                   742022.35,8961
,AGCNET,BE,       604.05,                  3043948.15,5033
,AGRITECH,EQ,        31.10,                   143253.00,4613
,AGROPHOS,EQ,        10.85,                   667296.70,61502
,AHLADA,SM,        46.50,                    46500.00,1000
,AHLEAST,EQ,       137.90,                    72565.95,529
,AHLUCONT,EQ,       245.05,                  2602006.55,10661
,AHLWEST,EQ,       248.70,                   430320.60,1740
,AIAENG,EQ,      1914.25,                 47983688.25,25255
,AIRAN,EQ,        16.00,                   932971.45,58926
,AIROLAM,SM,        26.00,                    78000.00,3000
,AJANTPHARM,EQ,      1524.00,                244710274.70,160464
,AJMERA,EQ,        99.55,                 13841793.30,139000
,AJOONI,SM,        30.35,                   499200.00,16000
,AKASH,EQ,       204.40,                  5875316.45,29787
,AKSHARCHEM,EQ,       218.75,                 23367536.95,107882
,AKSHOPTFBR,EQ,         6.65,                  1205676.05,181108
,AKZOINDIA,EQ,      2082.50,                 24236634.85,11593
,ALANKIT,EQ,        15.80,                  3090511.25,198634
,ALBERTDAVD,EQ,       461.85,                 54528591.90,117134
