,04-Dec-2020
The Nifty witnessed an intraday movement of about 127.2 points.The closing index was 0.95 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 72020.34
, Traded Quantity (in Lakhs), 34943.59
, Number of Trades, 20013963
, Total Market Capitalisation (Rs. Crores), 17790826.25

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     13133.90,     13177.40,     13280.05,     13152.85,     13258.55,124.65
,NIFTY50 EQL Wgt,     13960.80,     14029.15,     14128.90,     13965.40,     14112.35,151.55
,NIFTY100 EQL Wgt,     14927.50,     14995.35,     15059.00,     14893.85,     15042.85,115.35
,NIFTY100 LowVol30,     10321.70,     10355.60,     10408.35,     10332.65,     10384.90,63.2
,NIFTY Alpha 50,     19220.05,     19304.35,     19355.95,     19138.05,     19268.10,48.05
,NIFTY MIDCAP 150,      7597.80,      7638.05,      7667.05,      7554.35,      7625.90,28.1
,NIFTY SMLCAP 50,      3307.40,      3323.55,      3331.00,      3300.00,      3322.05,14.65
,NIFTY SMLCAP 250,      5736.05,      5769.70,      5783.40,      5718.65,      5764.90,28.85
,NIFTY MIDSML 400,      6930.95,      6968.85,      6991.65,      6897.30,      6959.40,28.45
,NIFTY200 QUALTY30,     11491.10,     11520.15,     11583.65,     11506.00,     11573.75,82.65
,Nifty FinSrv25 50,     13815.70,     13863.90,     13998.55,     13757.05,     13906.85,91.15
,NIFTY AlphaLowVol,     13104.00,     13145.30,     13191.35,     13101.40,     13181.70,77.7
,Nifty200Momentm30,     12925.00,     12965.55,     13038.35,     12922.35,     13026.70,101.7
,Nifty100ESGSecLdr,      2258.10,      2264.95,      2277.85,      2260.70,      2274.90,16.8
,Nifty IT,     22202.20,     22222.25,     22347.85,     22130.30,     22309.80,107.6
,Nifty Next 50,     31319.40,     31434.60,     31556.35,     31170.85,     31439.10,119.7
,Nifty Bank,     29448.75,     29573.40,     30162.30,     29473.50,     30052.40,603.65
,NIFTY MIDCAP 100,     20127.25,     20231.30,     20325.15,     19989.70,     20197.30,70.05
,Nifty 500,     10893.60,     10934.65,     10990.20,     10888.95,     10978.85,85.25
,Nifty 100,     13280.50,     13325.10,     13415.05,     13288.95,     13396.50,116
,Nifty Midcap 50,      5665.70,      5698.10,      5737.45,      5628.65,      5696.00,30.3
,Nifty Realty,       280.20,       281.05,       284.80,       280.20,       283.40,3.2
,Nifty Infra,      3528.55,      3553.15,      3578.80,      3535.90,      3565.90,37.35
,Nifty Energy,     16941.25,     17048.10,     17102.10,     16802.90,     16923.55,-17.7
,Nifty FMCG,     31908.65,     32044.05,     32404.85,     32016.50,     32356.75,448.1
,Nifty MNC,     15173.20,     15235.45,     15288.30,     15147.75,     15234.90,61.7
,Nifty Pharma,     12206.95,     12248.55,     12393.55,     12131.90,     12353.60,146.65
,Nifty PSE,      2748.70,      2766.60,      2780.40,      2729.05,      2757.30,8.6
,Nifty PSU Bank,      1673.05,      1687.15,      1710.40,      1642.00,      1697.95,24.9
,Nifty Serv Sector,     18238.20,     18290.85,     18472.00,     18257.00,     18431.75,193.55
,India VIX,19.0000,19.0000,19.0350,16.5300,18.0275,-0.9725
,Nifty Auto,      9245.30,      9290.65,      9408.75,      9207.50,      9302.20,56.9
,Nifty Metal,      3126.10,      3144.70,      3193.55,      3100.55,      3161.35,35.25
,Nifty Media,      1581.90,      1596.70,      1617.15,      1566.25,      1583.50,1.6
,NIFTY SMLCAP 100,      6675.35,      6709.15,      6726.95,      6652.25,      6699.35,24
,Nifty 200,      6835.05,      6859.40,      6898.55,      6833.60,      6890.55,55.5
,Nifty Div Opps 50,      2720.10,      2731.30,      2744.05,      2725.75,      2742.15,22.05
,Nifty Commodities,      3764.65,      3789.20,      3817.05,      3740.50,      3782.20,17.55
,Nifty Consumption,      5562.80,      5584.70,      5643.35,      5583.30,      5637.85,75.05
,Nifty Fin Service,     14138.75,     14181.40,     14357.40,     14124.10,     14286.45,147.7
,Nifty50 Div Point,        79.54,        79.54,        79.54,        79.54,        79.54,0
,Nifty100 Liq 15,      3213.20,      3231.90,      3264.40,      3214.20,      3257.40,44.2
,Nifty CPSE,      1593.85,      1604.80,      1615.05,      1582.65,      1602.40,8.55
,Nifty GrowSect 15,      6523.40,      6544.55,      6628.75,      6538.50,      6611.05,87.65
,Nifty50 PR 2x Lev,      5378.40,      5413.55,      5495.55,      5393.45,      5480.00,101.6
,Nifty50 PR 1x Inv,       334.45,       333.35,       334.00,       330.80,       331.30,-3.15
,Nifty50 TR 2x Lev,      7142.30,      7189.00,      7297.95,      7162.35,      7277.25,134.95
,Nifty50 TR 1x Inv,       290.35,       289.45,       289.95,       287.20,       287.65,-2.7
,Nifty50 Value 20,      6372.20,      6392.95,      6441.75,      6386.70,      6437.40,65.2
,Nifty Mid Liq 15,      4956.20,      4980.15,      5023.70,      4937.10,      4992.30,36.1
,Nifty Pvt Bank,     16321.60,     16397.55,     16711.65,     16346.95,     16648.10,326.5
,NIFTY100 Qualty30,      3108.15,      3115.40,      3133.05,      3110.20,      3130.25,22.1
,Nifty GS 8 13Yr,      2242.18,      2242.55,      2247.08,      2242.55,      2246.74,4.56
,Nifty GS 10Yr,      2021.18,      2021.50,      2027.05,      2021.44,      2025.60,4.42
,Nifty GS 10Yr Cln,       966.57,       966.57,       969.28,       966.54,       968.57,2
,Nifty GS 4 8Yr,      2388.58,      2388.96,      2397.81,      2388.96,      2397.81,9.23
,Nifty GS 11 15Yr,      2433.80,      2434.22,      2438.01,      2434.22,      2436.22,2.42
,Nifty GS 15YrPlus,      2655.07,      2655.55,      2665.92,      2655.55,      2665.92,10.85
,Nifty GS Compsite,      2287.94,      2288.32,      2294.18,      2288.32,      2293.71,5.77

,ADVANCES,1088
,DECLINES,846
,UNCHANGED,96

,Total securities that have hit their price bands today,416

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,SBIN,EQ,       256.30,       263.50,2.81,2054.09
,ICICIBANK,EQ,       481.85,       502.05,4.19,1957.33
,HDFCBANK,EQ,      1377.20,      1385.60,0.61,1866.06
,MARUTI,EQ,      7739.10,      7803.15,0.83,1863.24
,BAJFINANCE,EQ,      4867.45,      4875.35,0.16,1797.65
,RELIANCE,EQ,      1964.05,      1946.75,-0.88,1660.58
,IRCTC,EQ,      1378.05,      1570.60,13.97,1596.77
,BHARTIARTL,EQ,       479.90,       493.75,2.89,1527.5
,ULTRACEMCO,EQ,      4893.50,      5091.40,4.04,1525.18
,TATASTEEL,EQ,       620.90,       622.70,0.29,1259
,AXISBANK,EQ,       602.70,       614.50,1.96,1221.88
,INFY,EQ,      1126.45,      1134.65,0.73,1191.47
,INDUSINDBK,EQ,       896.25,       913.65,1.94,1145.76
,TATACHEM,EQ,       455.40,       490.90,7.8,1124.03
,HINDALCO,EQ,       242.00,       252.70,4.42,1055.28
,BAJAJFINSV,EQ,      9114.05,      9052.45,-0.68,967.84
,SUNPHARMA,EQ,       548.25,       569.05,3.79,906.04
,TATAMOTORS,EQ,       184.85,       184.15,-0.38,890.05
,INDIGO,EQ,      1644.05,      1744.80,6.13,837.97
,HINDUNILVR,EQ,      2127.75,      2184.20,2.65,804.27
,ADANIPOWER,EQ,        54.15,        59.60,10.06,797.93
,LT,EQ,      1125.15,      1149.50,2.16,751.33
,TCS,EQ,      2709.45,      2727.55,0.67,731.53
,HDFC,EQ,      2253.95,      2245.90,-0.36,731.25
,KOTAKBANK,EQ,      1821.00,      1846.25,1.39,729.6

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,HINDALCO,EQ,       252.70,       242.00,4.42
,ICICIBANK,EQ,       502.05,       481.85,4.19
,ADANIPORTS,EQ,       453.70,       435.80,4.11
,ULTRACEMCO,EQ,      5091.40,      4893.50,4.04
,SUNPHARMA,EQ,       569.05,       548.25,3.79

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,RELIANCE,EQ,      1946.75,      1964.05,-0.88
,HDFCLIFE,EQ,       643.25,       647.95,-0.73
,BAJAJFINSV,EQ,      9052.45,      9114.05,-0.68
,HCLTECH,EQ,       858.50,       862.20,-0.43
,BPCL,EQ,       392.30,       393.90,-0.41

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        36.35,                 29135448.55,818934
,21STCENMGM,EQ,         9.75,                    16052.85,1624
,3IINFOTECH,EQ,         3.80,                 75762918.40,19521545
,3MINDIA,EQ,     22422.95,                 72490374.55,3234
,3PLAND,EQ,         9.80,                    56317.95,5793
,5PAISA,EQ,       333.40,                  1721245.15,5153
,63MOONS,BE,        85.15,                  5596909.50,65730
,719GS2060,GS,       112.00,                   283472.00,2531
,727GS2026,GS,       109.00,                    10900.00,100
,772GS2049,GS,       120.30,                    12030.00,100
,772GS2055,GS,       119.00,                    12420.00,105
,8KMILES,BE,        78.65,                  5264565.90,66546
,A2ZINFRA,EQ,         4.85,                  4502432.80,936751
,AAKASH,EQ,        52.90,                  1617647.40,30298
,AARON,EQ,        54.15,                   731096.35,13353
,AARTIDRUGS,EQ,       752.00,                865398102.60,1164230
,AARTIIND,EQ,      1205.95,                366071008.65,305836
,AARTISURF,EQ,      1075.00,                 62187242.70,57114
,AARVEEDEN,EQ,        12.00,                   168585.75,13940
,AARVI,EQ,        39.65,                   120368.65,3001
,AAVAS,EQ,      1659.70,                 60613332.30,36384
,ABAN,BE,        28.60,                  2407323.00,83152
,ABB,EQ,      1154.45,                190029034.45,162427
,ABCAPITAL,EQ,        90.85,                337992255.70,3691221
,ABFRL,EQ,       159.75,                244599884.55,1518427
,ABFRLPP,E1,       103.05,                  3543891.10,33931
,ABMINTLTD,BE,        24.50,                     2825.50,116
,ABSLBANETF,EQ,       293.13,                    57314.00,194
,ABSLNN50ET,EQ,       303.01,                   126753.53,429
,ACCELYA,EQ,       904.80,                  4854399.55,5353
,ACCURACY,SM,        26.90,                   172000.00,6400
,ACE,EQ,       124.50,                 91029184.70,727191
,ADANIENT,EQ,       445.95,               1854704555.80,4131360
,ADANIGAS,EQ,       358.55,               1161958595.95,3219970
,ADANIPOWER,EQ,        59.60,               7979264625.75,131879335
,ADFFOODS,EQ,       526.25,                196415491.00,376642
,ADHUNIKIND,EQ,        20.95,                  1183528.20,57165
,ADL,BE,        23.45,                   189867.15,8461
,ADORWELD,EQ,       257.10,                  4744273.30,18345
,ADROITINFO,BE,         6.70,                    97889.85,14756
,ADSL,EQ,        28.45,                  4832761.15,167052
,ADVANIHOTR,BE,        58.05,                   744737.60,12819
,ADVENZYMES,EQ,       350.10,                 46924028.80,133893
,AEGISCHEM,EQ,       252.40,                 69545504.05,273860
,AFFLE,EQ,      3858.40,                607883835.30,159054
,AGARIND,EQ,        93.10,                  1358352.90,14605
,AGCNET,BE,       607.30,                  3032245.00,4977
,AGRITECH,EQ,        32.20,                   251362.60,7709
,AGROPHOS,EQ,        13.70,                   940444.55,68671
,AHLADA,SM,        78.25,                  1006050.00,13000
,AHLEAST,EQ,       150.55,                  1026663.40,6796
,AHLUCONT,EQ,       257.10,                 10738499.00,41611
,AHLWEST,EQ,       255.35,                   478335.55,1890
,AIAENG,EQ,      2028.00,                 70326153.65,34364
,AIRAN,EQ,        19.15,                  4451557.00,221591
,AIROLAM,SM,        27.55,                   162150.00,6000
,AISL,SM,        21.50,                   154800.00,7200
,AJANTPHARM,EQ,      1595.30,                252868040.60,159989
,AJMERA,EQ,       119.35,                 65485430.85,537990
,AJOONI,SM,        32.30,                   387000.00,12000
,AKASH,EQ,       243.00,                  3641782.65,15418
,AKG,SM,        60.60,                 12564400.00,208000
,AKSHARCHEM,EQ,       226.95,                 11626699.60,50976
,AKSHOPTFBR,EQ,         7.00,                  3647753.40,519012
,AKZOINDIA,EQ,      2252.25,                 94988097.10,42481
