,09-Dec-2020
The Nifty witnessed an intraday movement of about 99.3 points.The closing index was 1.02 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 62625.26
, Traded Quantity (in Lakhs), 41795.17
, Number of Trades, 19030314
, Total Market Capitalisation (Rs. Crores), 18151063.42

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     13392.95,     13458.10,     13548.90,     13449.60,     13529.10,136.15
,NIFTY50 EQL Wgt,     14169.45,     14241.30,     14277.90,     14214.15,     14241.60,72.15
,NIFTY100 EQL Wgt,     15155.20,     15243.10,     15261.20,     15176.55,     15202.30,47.1
,NIFTY100 LowVol30,     10464.60,     10520.60,     10547.65,     10501.30,     10524.20,59.6
,NIFTY Alpha 50,     19214.10,     19279.50,     19321.05,     19176.40,     19230.50,16.4
,NIFTY MIDCAP 150,      7701.55,      7757.15,      7775.90,      7731.45,      7745.05,43.5
,NIFTY SMLCAP 50,      3349.75,      3365.10,      3389.30,      3363.90,      3378.85,29.1
,NIFTY SMLCAP 250,      5828.60,      5861.60,      5886.40,      5855.30,      5872.95,44.35
,NIFTY MIDSML 400,      7030.85,      7078.25,      7095.80,      7065.20,      7074.75,43.9
,NIFTY200 QUALTY30,     11646.55,     11707.25,     11735.70,     11689.70,     11723.20,76.65
,Nifty FinSrv25 50,     14045.65,     14091.15,     14182.00,     14076.25,     14162.25,116.6
,NIFTY AlphaLowVol,     13228.90,     13295.05,     13318.15,     13260.75,     13277.35,48.45
,Nifty200Momentm30,     13088.40,     13147.10,     13187.60,     13119.20,     13161.40,73
,Nifty100ESGSecLdr,      2302.35,      2313.30,      2328.00,      2311.80,      2324.25,21.9
,Nifty IT,     22617.35,     22799.95,     22895.50,     22720.50,     22803.45,186.1
,Nifty Next 50,     31714.40,     31893.20,     31960.05,     31662.85,     31722.20,7.8
,Nifty Bank,     30261.90,     30335.05,     30807.25,     30326.70,     30709.40,447.5
,NIFTY MIDCAP 100,     20439.20,     20582.40,     20640.90,     20516.90,     20563.45,124.25
,Nifty 500,     11088.65,     11147.55,     11201.75,     11143.45,     11181.20,92.55
,Nifty 100,     13529.85,     13597.05,     13673.10,     13589.85,     13649.60,119.75
,Nifty Midcap 50,      5758.30,      5798.20,      5816.30,      5770.20,      5783.80,25.5
,Nifty Realty,       284.80,       286.30,       290.60,       286.05,       289.00,4.2
,Nifty Infra,      3607.20,      3628.75,      3634.35,      3616.20,      3623.45,16.25
,Nifty Energy,     16967.55,     17088.25,     17166.90,     17026.80,     17087.75,120.2
,Nifty FMCG,     32849.85,     33019.65,     33182.35,     32954.40,     33125.50,275.65
,Nifty MNC,     15304.80,     15357.85,     15381.45,     15319.95,     15349.35,44.55
,Nifty Pharma,     12407.30,     12463.55,     12568.95,     12408.05,     12443.90,36.6
,Nifty PSE,      2759.50,      2781.80,      2812.60,      2768.90,      2787.65,28.15
,Nifty PSU Bank,      1857.55,      1897.40,      1902.40,      1831.55,      1838.55,-19
,Nifty Serv Sector,     18605.95,     18693.10,     18838.95,     18686.50,     18802.15,196.2
,India VIX,18.6175,18.6175,19.6300,16.2200,18.9200,0.3025
,Nifty Auto,      9297.85,      9331.70,      9345.05,      9283.15,      9293.30,-4.55
,Nifty Metal,      3122.35,      3146.90,      3152.95,      3101.85,      3105.90,-16.45
,Nifty Media,      1612.50,      1627.30,      1679.85,      1627.05,      1673.35,60.85
,NIFTY SMLCAP 100,      6782.55,      6816.15,      6838.00,      6806.80,      6817.25,34.7
,Nifty 200,      6960.75,      6996.95,      7032.95,      6993.95,      7020.15,59.4
,Nifty Div Opps 50,      2770.55,      2789.00,      2803.25,      2783.40,      2795.25,24.7
,Nifty Commodities,      3783.70,      3803.75,      3808.85,      3772.05,      3779.70,-4
,Nifty Consumption,      5690.25,      5714.35,      5731.00,      5706.40,      5721.15,30.9
,Nifty Fin Service,     14384.70,     14418.10,     14580.25,     14416.45,     14554.30,169.6
,Nifty50 Div Point,        79.54,        79.54,        79.54,        79.54,        79.54,0
,Nifty100 Liq 15,      3276.35,      3287.55,      3313.65,      3280.00,      3304.35,28
,Nifty CPSE,      1601.85,      1617.05,      1631.55,      1606.00,      1609.50,7.65
,Nifty GrowSect 15,      6663.75,      6684.70,      6745.95,      6683.40,      6736.15,72.4
,Nifty50 PR 2x Lev,      5589.15,      5643.05,      5718.50,      5639.45,      5702.30,113.15
,Nifty50 PR 1x Inv,       328.05,       326.50,       326.60,       324.30,       324.75,-3.3
,Nifty50 TR 2x Lev,      7422.20,      7493.75,      7594.00,      7489.00,      7572.45,150.25
,Nifty50 TR 1x Inv,       284.85,       283.50,       283.60,       281.55,       282.00,-2.85
,Nifty50 Value 20,      6525.85,      6573.00,      6595.70,      6555.20,      6578.10,52.25
,Nifty Mid Liq 15,      5030.30,      5075.75,      5097.25,      5042.60,      5055.15,24.85
,Nifty Pvt Bank,     16685.70,     16737.10,     17008.15,     16728.30,     16962.00,276.3
,NIFTY100 Qualty30,      3141.55,      3158.05,      3167.35,      3152.95,      3164.95,23.4
,Nifty GS 8 13Yr,      2242.91,      2243.29,      2247.67,      2242.13,      2246.60,3.69
,Nifty GS 10Yr,      2021.02,      2021.34,      2026.05,      2019.63,      2024.45,3.43
,Nifty GS 10Yr Cln,       965.71,       965.71,       968.01,       964.88,       967.22,1.51
,Nifty GS 4 8Yr,      2393.70,      2394.08,      2397.01,      2391.70,      2396.40,2.7
,Nifty GS 11 15Yr,      2431.72,      2432.14,      2438.53,      2430.10,      2437.61,5.89
,Nifty GS 15YrPlus,      2663.41,      2663.90,      2668.59,      2663.18,      2668.59,5.18
,Nifty GS Compsite,      2289.70,      2290.08,      2293.91,      2288.47,      2293.02,3.32

,ADVANCES,1152
,DECLINES,809
,UNCHANGED,77

,Total securities that have hit their price bands today,369

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,RELIANCE,EQ,      1993.75,      2026.95,1.67,2719.66
,HDFCBANK,EQ,      1376.30,      1407.20,2.25,1539.62
,AXISBANK,EQ,       620.65,       634.20,2.18,1384.41
,SBIN,EQ,       271.90,       270.35,-0.57,1318.54
,INFY,EQ,      1153.35,      1175.20,1.89,1174.58
,ICICIBANK,EQ,       508.40,       511.50,0.61,1085.31
,CANBK,EQ,       137.00,       128.15,-6.46,1080.56
,TCS,EQ,      2797.30,      2810.80,0.48,1031.14
,PVR,EQ,      1387.20,      1488.10,7.27,957.62
,BAJFINANCE,EQ,      4792.15,      4844.15,1.09,947.74
,YESBANK,EQ,        17.30,        19.00,9.83,920.05
,VEDL,EQ,       136.25,       143.55,5.36,917.79
,PNB,EQ,        40.60,        39.40,-2.96,878.87
,ULTRACEMCO,EQ,      5217.75,      5144.80,-1.4,844.93
,ITC,EQ,       202.45,       205.40,1.46,818.32
,KOTAKBANK,EQ,      1833.80,      1883.55,2.71,815.46
,TATASTEEL,EQ,       613.45,       609.35,-0.67,779.69
,HDFC,EQ,      2309.75,      2306.70,-0.13,762.42
,BANKBARODA,EQ,        65.20,        65.60,0.61,756.63
,TATAMOTORS,EQ,       181.80,       182.70,0.5,741.02
,INDUSINDBK,EQ,       916.70,       928.50,1.29,736.9
,DRREDDY,EQ,      5015.20,      5056.90,0.83,685.25
,UPL,EQ,       472.80,       492.60,4.19,674.13
,WIPRO,EQ,       363.70,       359.50,-1.15,656.98
,SUNPHARMA,EQ,       568.70,       569.55,0.15,638.85

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,UPL,EQ,       492.60,       472.80,4.19
,ASIANPAINT,EQ,      2522.30,      2438.90,3.42
,IOC,EQ,        93.95,        91.05,3.19
,KOTAKBANK,EQ,      1883.55,      1833.80,2.71
,HDFCBANK,EQ,      1407.20,      1376.30,2.25

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,HINDALCO,EQ,       241.00,       245.70,-1.91
,SHREECEM,EQ,     24420.70,     24775.75,-1.43
,ULTRACEMCO,EQ,      5144.80,      5217.75,-1.4
,WIPRO,EQ,       359.50,       363.70,-1.15
,MARUTI,EQ,      7709.25,      7762.70,-0.69

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        36.00,                  4955158.35,137009
,21STCENMGM,EQ,        10.05,                     4353.05,436
,3IINFOTECH,EQ,         4.30,                  2820950.50,656035
,3MINDIA,EQ,     22550.50,                 48251435.25,2130
,3PLAND,EQ,        11.25,                    68073.75,6051
,5PAISA,EQ,       334.80,                  9558211.50,28148
,63MOONS,BE,        83.65,                  4839967.00,58764
,716GS2050,GS,       113.00,                      113.00,1
,719GS2060,GS,       115.99,                      579.95,5
,772GS2055,GS,       115.33,                   469000.00,4080
,824GS2033,GS,       108.50,                    97650.00,900
,8KMILES,BE,        75.00,                 10495263.75,138184
,A2ZINFRA,EQ,         4.80,                  1684723.55,347073
,AAATECH,SM,        42.55,                   127650.00,3000
,AAKASH,EQ,        55.25,                  3979656.75,72644
,AARON,EQ,        49.70,                   427891.25,8768
,AARTIDRUGS,EQ,       781.25,                334062698.65,424056
,AARTIIND,EQ,      1254.10,                500504555.55,400509
,AARTISURF,EQ,       989.40,                 40360974.80,40455
,AARVEEDEN,EQ,        13.70,                   410855.75,30036
,AARVI,EQ,        40.70,                   161959.55,4014
,AAVAS,EQ,      1683.20,                 55586519.90,33215
,ABAN,BE,        29.75,                  1982986.30,67020
,ABB,EQ,      1155.15,                129916346.15,111606
,ABCAPITAL,EQ,        96.25,                734689555.80,7641674
,ABFRL,EQ,       161.25,                284226978.30,1760366
,ABFRLPP,E1,       102.95,                  7634371.60,73978
,ABMINTLTD,BE,        25.95,                    55987.50,2194
,ABSLBANETF,EQ,       304.72,                   120096.02,396
,ABSLNN50ET,EQ,       311.00,                     3402.50,11
,ABSLRIF6RG,MF,         7.00,                    44350.00,6500
,ACCELYA,EQ,       954.40,                 14057334.60,15069
,ACCURACY,SM,        28.40,                  2106240.00,75200
,ACE,EQ,       120.90,                 23943295.00,195837
,ADANIENT,EQ,       449.10,               1265087102.30,2798049
,ADANIGAS,EQ,       362.85,                829660468.80,2324761
,ADANIPOWER,EQ,        49.25,               2443488342.95,47961895
,ADFFOODS,EQ,       595.85,                 94867994.35,157630
,ADHUNIKIND,EQ,        33.10,                  1977327.80,59738
,ADL,BE,        24.95,                    36761.45,1543
,ADORWELD,EQ,       260.20,                 11052615.70,42278
,ADROITINFO,BE,         7.70,                     9139.55,1187
,ADSL,EQ,        29.10,                  3004807.25,101549
,ADVANIHOTR,BE,        56.60,                   363497.90,6499
,ADVENZYMES,EQ,       346.05,                 99038599.75,281406
,AEGISCHEM,EQ,       258.85,                 57545974.40,220792
,AFFLE,EQ,      3699.50,                269545954.65,72038
,AGARIND,EQ,       101.75,                  1263042.55,12223
,AGCNET,BE,       608.00,                  6323355.20,10431
,AGRITECH,EQ,        42.45,                  4525778.35,103693
,AGROPHOS,EQ,        15.80,                  4397981.15,278607
,AHLADA,SM,        88.55,                   892450.00,10000
,AHLEAST,EQ,       158.05,                   519911.00,3283
,AHLUCONT,EQ,       260.20,                  3586528.20,13801
,AHLWEST,EQ,       294.85,                   697630.20,2345
,AIAENG,EQ,      2044.25,                 57587861.40,28099
,AIRAN,EQ,        18.80,                  1457012.30,78145
,AISL,SM,        20.20,                    24240.00,1200
,AJANTPHARM,EQ,      1680.45,                394120747.75,234131
,AJMERA,EQ,       119.05,                 36183285.60,301766
,AJOONI,SM,        32.60,                   640600.00,20000
,AKASH,EQ,       255.45,                  6994293.35,27604
,AKG,SM,        46.10,                   295040.00,6400
,AKSHARCHEM,EQ,       238.10,                 16313207.70,68115
,AKSHOPTFBR,EQ,         7.95,                  7606764.10,976633
,AKZOINDIA,EQ,      2224.30,                 10736745.80,4807
