,16-Dec-2020
The Nifty witnessed an intraday movement of about 85.9 points.The closing index was 0.85 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 62478.85
, Traded Quantity (in Lakhs), 33761.4
, Number of Trades, 18269445
, Total Market Capitalisation (Rs. Crores), 18375329.68

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     13567.85,     13663.10,     13692.35,     13606.45,     13682.70,114.85
,NIFTY50 EQL Wgt,     14370.65,     14482.40,     14489.10,     14416.50,     14479.30,108.65
,NIFTY100 EQL Wgt,     15335.85,     15440.35,     15449.40,     15372.45,     15425.55,89.7
,NIFTY100 LowVol30,     10633.20,     10699.80,     10721.55,     10680.00,     10712.55,79.35
,NIFTY Alpha 50,     19300.30,     19396.15,     19523.65,     19349.85,     19495.80,195.5
,NIFTY MIDCAP 150,      7771.35,      7812.25,      7865.80,      7811.30,      7858.70,87.35
,NIFTY SMLCAP 50,      3429.60,      3449.00,      3481.20,      3444.60,      3465.10,35.5
,NIFTY SMLCAP 250,      5925.10,      5968.75,      6001.40,      5962.80,      5981.80,56.7
,NIFTY MIDSML 400,      7110.65,      7152.70,      7196.00,      7150.55,      7186.95,76.3
,NIFTY200 QUALTY30,     11834.20,     11892.10,     11972.50,     11875.85,     11959.40,125.2
,Nifty FinSrv25 50,     14282.40,     14401.95,     14421.80,     14297.05,     14382.85,100.45
,NIFTY AlphaLowVol,     13387.90,     13459.25,     13517.40,     13422.85,     13499.20,111.3
,Nifty200Momentm30,     13240.40,     13312.55,     13381.15,     13282.15,     13364.35,123.95
,Nifty100ESGSecLdr,      2325.00,      2341.60,      2353.35,      2335.60,      2351.45,26.45
,Nifty IT,     22715.10,     22830.40,     22933.80,     22701.55,     22906.25,191.15
,Nifty Next 50,     31972.70,     32166.10,     32243.40,     32040.40,     32143.85,171.15
,Nifty Bank,     30691.05,     30920.35,     30932.25,     30587.10,     30698.40,7.35
,NIFTY MIDCAP 100,     20668.05,     20786.20,     20931.00,     20779.05,     20906.45,238.4
,Nifty 500,     11223.90,     11299.20,     11328.40,     11265.80,     11320.10,96.2
,Nifty 100,     13697.70,     13792.15,     13817.75,     13735.95,     13808.05,110.35
,Nifty Midcap 50,      5834.75,      5868.20,      5921.00,      5864.00,      5905.90,71.15
,Nifty Realty,       289.00,       290.25,       307.45,       289.85,       303.85,14.85
,Nifty Infra,      3652.45,      3677.60,      3686.50,      3660.90,      3682.70,30.25
,Nifty Energy,     17281.35,     17440.60,     17456.60,     17316.30,     17383.15,101.8
,Nifty FMCG,     33967.90,     34058.25,     34352.75,     34037.30,     34195.85,227.95
,Nifty MNC,     15520.40,     15586.30,     15653.00,     15556.00,     15609.05,88.65
,Nifty Pharma,     12432.60,     12492.90,     12578.40,     12437.85,     12547.50,114.9
,Nifty PSE,      2895.45,      2925.05,      2935.70,      2907.50,      2916.05,20.6
,Nifty PSU Bank,      1833.60,      1840.55,      1846.45,      1794.10,      1803.75,-29.85
,Nifty Serv Sector,     18887.15,     19026.80,     19062.95,     18920.30,     19042.95,155.8
,India VIX,19.3450,19.3450,19.3975,18.6075,19.2000,-0.1450
,Nifty Auto,      9149.75,      9239.45,      9290.95,      9207.40,      9239.10,89.35
,Nifty Metal,      3214.15,      3248.45,      3277.95,      3236.45,      3271.75,57.6
,Nifty Media,      1722.15,      1728.85,      1740.25,      1712.40,      1727.35,5.2
,NIFTY SMLCAP 100,      6892.70,      6944.40,      6991.15,      6933.60,      6962.35,69.65
,Nifty 200,      7046.15,      7093.75,      7111.00,      7069.15,      7105.75,59.6
,Nifty Div Opps 50,      2835.65,      2852.85,      2861.65,      2846.70,      2859.10,23.45
,Nifty Commodities,      3815.30,      3846.65,      3857.20,      3825.90,      3841.25,25.95
,Nifty Consumption,      5787.35,      5815.75,      5865.00,      5810.85,      5857.15,69.8
,Nifty Fin Service,     14673.00,     14800.05,     14838.30,     14694.45,     14789.30,116.3
,Nifty50 Div Point,        79.54,        79.54,        79.54,        79.54,        79.54,0
,Nifty100 Liq 15,      3310.30,      3336.10,      3338.65,      3314.50,      3331.90,21.6
,Nifty CPSE,      1698.20,      1716.90,      1727.20,      1708.00,      1717.55,19.35
,Nifty GrowSect 15,      6849.00,      6894.15,      6915.65,      6865.15,      6899.50,50.5
,Nifty50 PR 2x Lev,      5731.85,      5811.85,      5836.25,      5764.00,      5828.40,96.55
,Nifty50 PR 1x Inv,       324.00,       321.75,       323.10,       321.05,       321.30,-2.7
,Nifty50 TR 2x Lev,      7611.70,      7717.95,      7750.35,      7654.40,      7739.90,128.2
,Nifty50 TR 1x Inv,       281.30,       279.35,       280.55,       278.75,       278.95,-2.35
,Nifty50 Value 20,      6659.10,      6694.40,      6733.30,      6678.05,      6726.65,67.55
,Nifty Mid Liq 15,      5117.20,      5153.20,      5187.80,      5130.55,      5181.45,64.25
,Nifty Pvt Bank,     16982.10,     17110.80,     17117.95,     16939.50,     16999.60,17.5
,NIFTY100 Qualty30,      3201.90,      3220.20,      3233.20,      3216.20,      3230.35,28.45
,Nifty GS 8 13Yr,      2245.50,      2245.88,      2246.14,      2244.62,      2245.55,.05
,Nifty GS 10Yr,      2022.57,      2022.89,      2023.49,      2021.68,      2022.79,.22
,Nifty GS 10Yr Cln,       965.37,       965.37,       965.66,       964.78,       965.32,-.05
,Nifty GS 4 8Yr,      2399.77,      2400.16,      2400.74,      2398.96,      2400.74,.97
,Nifty GS 11 15Yr,      2433.90,      2434.33,      2434.52,      2432.54,      2433.40,-.5
,Nifty GS 15YrPlus,      2673.31,      2673.80,      2674.70,      2673.80,      2674.70,1.39
,Nifty GS Compsite,      2292.64,      2293.02,      2293.27,      2292.07,      2292.98,.34

,ADVANCES,1216
,DECLINES,747
,UNCHANGED,66

,Total securities that have hit their price bands today,373

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,RELIANCE,EQ,      1974.35,      1976.55,0.11,1693.97
,BAJFINANCE,EQ,      5122.50,      5146.60,0.47,1690.23
,DLF,EQ,       214.55,       235.40,9.72,1604.84
,HDFC,EQ,      2350.35,      2424.65,3.16,1571.26
,IBULHSGFIN,EQ,       192.45,       206.35,7.22,1264.28
,ICICIBANK,EQ,       518.05,       512.45,-1.08,1250.65
,HDFCBANK,EQ,      1391.30,      1410.70,1.39,1183.17
,TATASTEEL,EQ,       635.35,       643.40,1.27,1032.44
,TATAMOTORS,EQ,       178.90,       182.55,2.04,934.38
,AXISBANK,EQ,       607.10,       606.10,-0.16,905.31
,INFY,EQ,      1154.60,      1165.70,0.96,904.05
,BHARTIARTL,EQ,       504.20,       516.20,2.38,886.23
,M&M,EQ,       717.95,       731.95,1.95,829.84
,PNB,EQ,        40.60,        37.95,-6.53,818.1
,MARUTI,EQ,      7765.25,      7796.35,0.4,753.49
,LT,EQ,      1246.25,      1268.25,1.77,724.07
,HAVELLS,EQ,       864.80,       901.15,4.2,718.21
,TCS,EQ,      2761.55,      2814.20,1.91,716.29
,BAJAJFINSV,EQ,      9296.95,      9257.70,-0.42,709.92
,ASHOKLEY,EQ,        94.95,       100.05,5.37,685.8
,SBIN,EQ,       270.65,       269.40,-0.46,672.23
,ZEEL,EQ,       232.00,       231.90,-0.04,613.63
,INDUSINDBK,EQ,       926.75,       921.80,-0.53,563.6
,GODREJPROP,EQ,      1291.70,      1348.15,4.37,549.38
,KOTAKBANK,EQ,      1951.15,      1952.55,0.07,538.68

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,HDFC,EQ,      2424.65,      2350.35,3.16
,HINDALCO,EQ,       251.45,       244.55,2.82
,DIVISLAB,EQ,      3717.90,      3628.40,2.47
,ONGC,EQ,       102.90,       100.45,2.44
,TITAN,EQ,      1504.45,      1468.75,2.43

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,ICICIBANK,EQ,       512.45,       518.05,-1.08
,NTPC,EQ,       104.90,       105.85,-0.9
,ULTRACEMCO,EQ,      5113.00,      5156.85,-0.85
,GAIL,EQ,       124.40,       125.25,-0.68
,TECHM,EQ,       921.55,       927.05,-0.59

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        36.80,                  5280945.75,144941
,21STCENMGM,EQ,        10.60,                    64690.70,6077
,396GS2022,GS,        81.54,                       81.54,1
,3IINFOTECH,EQ,         5.35,                  6331163.25,1183395
,3MINDIA,EQ,     22849.10,                187245387.45,8180
,3PLAND,EQ,        11.75,                    63414.75,5397
,5PAISA,EQ,       317.15,                  6442893.00,20126
,63MOONS,BE,        81.90,                  4128430.35,50352
,716GS2050,GS,       110.55,                   175114.15,1592
,719GS2060,GS,       110.01,                      449.96,4
,772GS2055,GS,       117.00,                    11700.00,100
,8KMILES,BE,        74.90,                  2132781.65,28495
,A2ZINFRA,EQ,         4.90,                  3488968.55,730918
,AAKASH,EQ,        60.40,                  1974941.20,33680
,AARON,EQ,        50.70,                  1177686.45,23191
,AARTIDRUGS,EQ,       767.60,                264414020.55,342836
,AARTIIND,EQ,      1216.70,                769776532.85,633485
,AARTISURF,EQ,      1124.55,                108507894.60,93999
,AARVEEDEN,EQ,        21.75,                  5448507.90,251735
,AARVI,EQ,        45.70,                   335705.80,7282
,AAVAS,EQ,      1657.00,                 69000910.95,41470
,ABAN,BE,        30.25,                  1942408.45,63871
,ABB,EQ,      1194.90,                382846811.10,323251
,ABCAPITAL,EQ,        91.25,                147049420.60,1607510
,ABFRL,EQ,       163.60,                735134731.05,4495845
,ABFRLPP,E1,       101.80,                 20432392.65,202984
,ABMINTLTD,BE,        25.00,                    27413.25,1058
,ABSLBANETF,EQ,       306.34,                   138433.78,460
,ABSLNN50ET,EQ,       310.00,                     6159.40,20
,ACCELYA,EQ,      1020.95,                 11927588.45,11617
,ACCURACY,EQ,        36.10,                    14440.00,400
,ACE,EQ,       131.55,                 51579377.30,392387
,ADANIENT,EQ,       463.25,               1891126660.90,4088505
,ADANIGAS,EQ,       358.85,                466653993.95,1303648
,ADANIPOWER,EQ,        46.90,                490187868.35,10394329
,ADFFOODS,EQ,       600.25,                103474510.35,177750
,ADHUNIKIND,EQ,        27.80,                  2583373.75,94748
,ADL,BE,        31.20,                   154800.80,4975
,ADORWELD,EQ,       273.55,                  8712555.60,31659
,ADROITINFO,BE,         7.50,                   114098.80,15508
,ADSL,EQ,        29.70,                  2781680.30,93082
,ADVANIHOTR,BE,        53.95,                   418978.90,7720
,ADVENZYMES,EQ,       343.75,                 54723801.85,157746
,AEGISCHEM,EQ,       241.85,                 34110442.15,140004
,AFFLE,EQ,      4025.80,               1307584423.40,323059
,AGARIND,EQ,       104.35,                  5194965.30,49176
,AGCNET,BE,       619.05,                  3120413.80,5047
,AGRITECH,EQ,        39.75,                   831806.95,21047
,AGROPHOS,EQ,        20.00,                  2997974.30,150000
,AHLADA,SM,        90.90,                   548550.00,6000
,AHLEAST,EQ,       179.80,                  7862582.95,42909
,AHLUCONT,EQ,       262.85,                  3401756.00,12882
,AHLWEST,EQ,       280.25,                   890806.25,3168
,AIAENG,EQ,      1983.35,                 70324944.50,35710
,AIRAN,EQ,        16.95,                   482334.30,28328
,AIROLAM,SM,        26.60,                   154800.00,6000
,AISL,SM,        21.10,                   123720.00,6000
,AJANTPHARM,EQ,      1689.30,                 97966664.60,57795
,AJMERA,EQ,       145.35,                168068490.00,1150419
,AJOONI,SM,        33.50,                   134000.00,4000
,AKASH,EQ,       245.65,                  4442297.10,18155
,AKG,SM,        60.00,                   384000.00,6400
,AKSHARCHEM,EQ,       246.85,                  8468324.80,34003
,AKSHOPTFBR,EQ,         7.90,                  2547329.45,321070
,AKZOINDIA,EQ,      2287.55,                 38751038.20,17053
,ALANKIT,EQ,        16.95,                  1707949.15,100098
,ALBERTDAVD,EQ,       449.40,                  8712813.20,19210
,ALCHEM,EQ,        10.45,                  1931819.20,175813
,ALEMBICLTD,EQ,       103.35,                 38271577.85,369023
,ALICON,EQ,       337.30,                  1020728.00,3024
,ALKALI,EQ,        51.25,                  6268434.40,122906
,ALKYLAMINE,EQ,      3816.50,                100754401.20,26247
,ALLCARGO,EQ,       136.10,                 39312197.10,286547
,ALLSEC,EQ,       256.10,                  4303417.10,16590
,ALMONDZ,EQ,        18.30,                   487663.15,26828
,ALOKINDS,EQ,        22.85,                151947331.15,6619111
,ALPA,BE,        36.25,                  1609760.30,44082
,ALPHAGEO,BE,       206.75,                  3584611.50,17256
,ALPSINDUS,EQ,         1.70,                    76581.60,45048
,AMARAJABAT,EQ,       958.10,                839144566.15,877871
,AMBER,EQ,      2358.05,                653129420.20,276307
,AMBIKCO,EQ,       839.00,                 11986500.10,14290
,AMDIND,EQ,        20.30,                  6310690.40,325175
,AMJLAND,EQ,        25.65,                   856420.50,32841
,AMRUTANJAN,EQ,       511.60,                 63058109.15,121967
,ANANTRAJ,EQ,        26.35,                 30571967.45,1166470
,ANDHRACEMT,EQ,         6.45,                  2348791.50,359557
,ANDHRAPAP,EQ,       212.55,                 11648176.30,54804
,ANDHRSUGAR,EQ,       332.65,                 68706000.25,202209
,ANGELBRKG,EQ,       360.45,                 76908493.80,213563
,ANIKINDS,EQ,        24.55,                  2203168.00,91156
,ANKITMETAL,EQ,         1.35,                    56706.75,42005
,ANSALAPI,EQ,         7.20,                  5471008.35,768057
,ANSALHSG,EQ,         5.90,                  1247330.55,210186
,ANUP,EQ,       771.50,                 19876808.30,25411
,APARINDS,EQ,       369.05,                 22511336.40,60552
,APCL,EQ,       207.55,                  6387461.10,30634
,APCOTEXIND,EQ,       167.15,                 19428190.35,115353
,APEX,EQ,       318.80,                 38352360.65,119847
,APLAPOLLO,EQ,       790.20,                194639301.90,246840
,APLLTD,EQ,      1104.35,                346559366.55,317579
,APOLLO,EQ,       125.75,                 10313328.10,81405
