,21-Dec-2020
The Nifty witnessed an intraday movement of about 646.05 points.The closing index was 3.14 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 76208.09
, Traded Quantity (in Lakhs), 37761.5
, Number of Trades, 23668231
, Total Market Capitalisation (Rs. Crores), 17749240.61

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     13760.55,     13741.90,     13777.50,     13131.45,     13328.40,-432.15
,NIFTY50 EQL Wgt,     14480.60,     14424.25,     14435.05,     13636.50,     13883.20,-597.4
,NIFTY100 EQL Wgt,     15399.85,     15350.45,     15375.15,     14471.05,     14777.65,-622.2
,NIFTY100 LowVol30,     10775.85,     10763.40,     10787.85,     10257.75,     10443.35,-332.5
,NIFTY Alpha 50,     19577.80,     19571.95,     19593.30,     18388.70,     18873.05,-704.75
,NIFTY MIDCAP 150,      7831.75,      7812.40,      7823.65,      7359.55,      7492.05,-339.7
,NIFTY SMLCAP 50,      3480.90,      3485.40,      3493.45,      3223.35,      3308.85,-172.05
,NIFTY SMLCAP 250,      5957.85,      5962.50,      5985.95,      5560.30,      5665.45,-292.4
,NIFTY MIDSML 400,      7161.05,      7150.50,      7165.45,      6720.45,      6837.90,-323.15
,NIFTY200 QUALTY30,     12038.35,     12018.30,     12046.45,     11486.55,     11680.05,-358.3
,Nifty FinSrv25 50,     14419.25,     14363.45,     14376.10,     13770.10,     13907.90,-511.35
,NIFTY AlphaLowVol,     13591.30,     13574.50,     13594.00,     12902.85,     13152.15,-439.15
,Nifty200Momentm30,     13481.80,     13473.30,     13505.45,     12774.70,     13055.05,-426.75
,Nifty100ESGSecLdr,      2368.00,      2365.15,      2376.65,      2268.50,      2304.40,-63.6
,Nifty IT,     23256.55,     23233.50,     23506.70,     22458.15,     22844.60,-411.95
,Nifty Next 50,     32082.75,     32017.00,     32098.65,     30165.00,     30971.50,-1111.25
,Nifty Bank,     30714.65,     30595.80,     30607.50,     29201.20,     29456.45,-1258.2
,NIFTY MIDCAP 100,     20797.45,     20739.20,     20762.40,     19390.45,     19797.35,-1000.1
,Nifty 500,     11355.00,     11338.40,     11365.55,     10787.50,     10964.25,-390.75
,Nifty 100,     13872.80,     13852.75,     13887.40,     13214.00,     13431.30,-441.5
,Nifty Midcap 50,      5861.50,      5836.55,      5856.15,      5427.50,      5536.65,-324.85
,Nifty Realty,       303.80,       301.90,       306.25,       281.75,       287.85,-15.95
,Nifty Infra,      3666.90,      3663.70,      3681.65,      3402.65,      3511.50,-155.4
,Nifty Energy,     17231.95,     17223.05,     17223.05,     15989.80,     16377.45,-854.5
,Nifty FMCG,     34102.70,     34121.75,     34121.75,     32570.75,     33151.10,-951.6
,Nifty MNC,     15549.50,     15552.75,     15560.70,     14922.65,     15137.05,-412.45
,Nifty Pharma,     12762.35,     12752.00,     12869.70,     11949.60,     12278.15,-484.2
,Nifty PSE,      2870.10,      2860.50,      2860.50,      2635.35,      2681.05,-189.05
,Nifty PSU Bank,      1765.55,      1742.05,      1759.05,      1616.90,      1643.25,-122.3
,Nifty Serv Sector,     19180.10,     19127.25,     19184.20,     18427.20,     18597.75,-582.35
,India VIX,18.6225,18.6225,23.6800,18.6225,23.1900,4.5675
,Nifty Auto,      9168.65,      9128.35,      9132.65,      8560.20,      8745.00,-423.65
,Nifty Metal,      3216.60,      3188.85,      3214.75,      2981.15,      3038.25,-178.35
,Nifty Media,      1691.75,      1695.35,      1700.60,      1543.20,      1586.85,-104.9
,NIFTY SMLCAP 100,      6957.70,      6959.30,      6981.20,      6464.90,      6608.05,-349.65
,Nifty 200,      7130.90,      7119.45,      7136.10,      6777.40,      6890.60,-240.3
,Nifty Div Opps 50,      2852.85,      2847.25,      2847.25,      2698.40,      2744.20,-108.65
,Nifty Commodities,      3821.80,      3811.55,      3813.35,      3558.95,      3640.55,-181.25
,Nifty Consumption,      5850.50,      5841.95,      5843.10,      5566.85,      5669.25,-181.25
,Nifty Fin Service,     14879.15,     14830.85,     14847.55,     14250.80,     14392.60,-486.55
,Nifty50 Div Point,        82.51,        82.51,        82.51,        82.51,        82.51,0
,Nifty100 Liq 15,      3322.10,      3315.50,      3316.85,      3138.00,      3187.30,-134.8
,Nifty CPSE,      1687.85,      1684.25,      1684.25,      1557.05,      1577.85,-110
,Nifty GrowSect 15,      6937.45,      6925.70,      6925.70,      6663.20,      6729.15,-208.3
,Nifty50 PR 2x Lev,      5893.75,      5875.95,      5906.05,      5356.20,      5521.80,-371.95
,Nifty50 PR 1x Inv,       319.55,       320.05,       334.15,       319.25,       329.65,10.1
,Nifty50 TR 2x Lev,      7830.05,      7806.45,      7846.40,      7115.90,      7335.90,-494.15
,Nifty50 TR 1x Inv,       277.35,       277.80,       290.05,       277.10,       286.15,8.8
,Nifty50 Value 20,      6755.50,      6744.35,      6785.90,      6401.25,      6537.45,-218.05
,Nifty Mid Liq 15,      5167.70,      5145.85,      5165.30,      4809.15,      4906.60,-261.1
,Nifty Pvt Bank,     16961.70,     16906.95,     16914.45,     16119.10,     16265.15,-696.55
,NIFTY100 Qualty30,      3250.85,      3247.05,      3253.95,      3102.95,      3153.90,-96.95
,Nifty GS 8 13Yr,      2244.18,      2244.56,      2245.59,      2244.40,      2245.10,.92
,Nifty GS 10Yr,      2021.21,      2021.54,      2021.54,      2019.80,      2019.80,-1.41
,Nifty GS 10Yr Cln,       963.92,       963.92,       963.92,       963.09,       963.09,-.83
,Nifty GS 4 8Yr,      2400.74,      2401.13,      2401.13,      2399.28,      2399.71,-1.03
,Nifty GS 11 15Yr,      2429.82,      2430.24,      2430.47,      2429.86,      2429.91,.09
,Nifty GS 15YrPlus,      2670.98,      2671.47,      2671.47,      2671.47,      2671.47,.49
,Nifty GS Compsite,      2291.84,      2292.22,      2292.22,      2291.53,      2291.79,-.05

,ADVANCES,259
,DECLINES,1729
,UNCHANGED,54

,Total securities that have hit their price bands today,587

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,RELIANCE,EQ,      1991.55,      1939.70,-2.6,4026.49
,LT,EQ,      1281.55,      1234.85,-3.64,2706.06
,BAJFINANCE,EQ,      5252.50,      5041.85,-4.01,1816.05
,HDFCBANK,EQ,      1411.35,      1372.65,-2.74,1666.01
,INDUSINDBK,EQ,       905.20,       842.70,-6.9,1563.4
,ICICIBANK,EQ,       517.15,       494.50,-4.38,1465.79
,SBIN,EQ,       271.45,       254.70,-6.17,1435.89
,INFY,EQ,      1189.80,      1177.30,-1.05,1295.33
,TATAMOTORS,EQ,       180.55,       164.55,-8.86,1291.43
,TATASTEEL,EQ,       631.25,       595.85,-5.61,1161.09
,CIPLA,EQ,       793.45,       778.50,-1.88,1156.77
,AXISBANK,EQ,       609.50,       582.50,-4.43,1103.56
,BURGERKING,EQ,       157.50,       158.30,0.51,1066.73
,MFSL,EQ,       648.25,       643.15,-0.79,953.39
,DRREDDY,EQ,      5228.75,      5068.55,-3.06,937.3
,HDFC,EQ,      2479.40,      2414.80,-2.61,872.95
,ITC,EQ,       214.50,       202.95,-5.38,868.99
,HCLTECH,EQ,       890.65,       870.45,-2.27,792.11
,TCS,EQ,      2861.00,      2820.15,-1.43,771.85
,KOTAKBANK,EQ,      1949.35,      1920.85,-1.46,764.26
,BHARTIARTL,EQ,       510.65,       490.90,-3.87,757.75
,LUPIN,EQ,       972.10,       931.70,-4.16,749.7
,MARUTI,EQ,      7559.75,      7376.10,-2.43,727.46
,SUNPHARMA,EQ,       575.00,       552.55,-3.9,725.91
,DIVISLAB,EQ,      3832.90,      3634.15,-5.19,682.54

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,ONGC,EQ,        89.85,        99.00,-9.24
,TATAMOTORS,EQ,       164.55,       180.55,-8.86
,GAIL,EQ,       114.70,       125.05,-8.28
,IOC,EQ,        87.10,        93.95,-7.29
,HINDALCO,EQ,       232.30,       249.90,-7.04

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        36.40,                 32484693.60,813502
,21STCENMGM,EQ,        10.35,                    67901.25,6466
,3IINFOTECH,EQ,         4.75,                 75574856.40,15148063
,3MINDIA,EQ,     21243.05,                140355904.00,6411
,3PLAND,EQ,        10.15,                     7896.70,778
,5PAISA,EQ,       287.45,                  6724437.30,23011
,63MOONS,BE,        77.50,                  4045956.60,50837
,716GS2050,GS,       114.00,                    42644.40,397
,719GS2060,GS,       114.87,                    15603.42,150
,757GS2033,GS,       111.00,                      111.00,1
,772GS2055,GS,       117.00,                     2340.00,20
,8KMILES,BE,        75.85,                  5695307.45,72731
,A2ZINFRA,EQ,         4.40,                  3056255.70,665572
,AAATECH,SM,        42.45,                   637800.00,15000
,AAKASH,EQ,        61.00,                  1456646.70,24068
,AARON,EQ,        50.15,                   214927.45,4298
,AARTIDRUGS,EQ,       700.35,                549928663.95,771505
,AARTIIND,EQ,      1178.70,                505997356.40,421385
,AARTISURF,EQ,       991.90,                 26863237.30,26670
,AARVEEDEN,EQ,        20.65,                   200251.85,9694
,AARVI,EQ,        41.70,                   180176.70,4170
,AAVAS,EQ,      1681.90,                 97911131.80,57946
,ABAN,BE,        28.50,                  4322543.25,149861
,ABB,EQ,      1215.30,                178224605.20,145777
,ABCAPITAL,EQ,        80.75,                366873491.40,4376267
,ABFRL,EQ,       151.40,                339357156.05,2214346
,ABFRLPP,E1,        96.95,                 11211185.95,112497
,ABINFRA,SM,         6.30,                   535000.00,88000
,ABMINTLTD,BE,        23.60,                    31389.70,1275
,ABSLBANETF,EQ,       294.77,                    38614.41,130
,ABSLNN50ET,EQ,       291.00,                    19736.30,64
,ABSLRIF6RG,MF,         7.21,                   102474.00,14200
,ACCELYA,EQ,       939.85,                  7073071.90,7361
,ACCURACY,EQ,        35.90,                   653062.55,17991
,ACE,EQ,       127.00,                274630113.90,2024252
,ADANIENT,EQ,       429.20,               2357468171.10,5350194
,ADANIGAS,EQ,       336.15,                822862612.90,2324951
,ADANIPOWER,EQ,        45.00,                383915741.50,8292272
,ADFFOODS,EQ,       551.80,                 59329316.90,104596
,ADHUNIKIND,BE,        24.70,                  1093936.00,43981
,ADL,BE,        28.85,                   237165.10,7799
,ADORWELD,EQ,       260.05,                 12916208.60,47662
,ADROITINFO,BE,         8.55,                    76771.90,8983
,ADSL,EQ,        29.00,                 12063997.80,390378
,ADVANIHOTR,BE,        50.65,                  1172703.95,22367
,ADVENZYMES,EQ,       312.45,                125357746.20,385773
,AEGISCHEM,EQ,       237.05,                 58617687.90,246508
,AFFLE,EQ,      3768.30,                977571709.60,256563
,AGARIND,EQ,        96.45,                  1831694.95,18311
,AGCNET,BE,       706.50,                 24242069.65,33989
,AGRITECH,BE,        38.00,                   262000.45,6809
,AGROPHOS,EQ,        17.15,                   197585.15,11521
,AHLADA,SM,        85.40,                    85400.00,1000
,AHLEAST,EQ,       164.15,                   675072.35,4049
,AHLUCONT,EQ,       245.90,                  6532872.35,26061
,AHLWEST,EQ,       262.00,                   685430.50,2590
,AIAENG,EQ,      2009.90,                357925625.50,178205
,AIRAN,EQ,        16.00,                   850890.25,52186
,AISL,SM,        21.10,                    25320.00,1200
,AJANTPHARM,EQ,      1593.50,                126215765.70,78019
,AJMERA,EQ,       125.25,                 45099832.05,336342
,AJOONI,SM,        30.30,                  1600000.00,52000
,AKASH,EQ,       250.70,                  2469608.25,9890
,AKG,SM,        62.10,                   794240.00,12800
,AKSHARCHEM,EQ,       227.00,                  7908131.85,34021
,AKSHOPTFBR,EQ,         7.05,                  3729682.95,505985
,AKZOINDIA,EQ,      2160.85,                 30921974.65,13984
,ALANKIT,EQ,        16.35,                  1506115.10,90820
,ALBERTDAVD,EQ,       422.95,                  8174057.90,18750
,ALCHEM,BE,         9.05,                    17919.00,1980
,ALEMBICLTD,EQ,        95.25,                 57175549.35,577060
,ALICON,EQ,       317.00,                  3700696.30,11158
,ALKALI,EQ,        46.65,                  1649080.40,34072
