,24-Dec-2020
The Nifty witnessed an intraday movement of about 144.85 points.The closing index was 1.09 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 57881.93
, Traded Quantity (in Lakhs), 31358.53
, Number of Trades, 17493980
, Total Market Capitalisation (Rs. Crores), 18375051.06

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     13601.10,     13672.15,     13771.75,     13626.90,     13749.25,148.15
,NIFTY50 EQL Wgt,     14230.10,     14320.45,     14399.45,     14256.80,     14349.55,119.45
,NIFTY100 EQL Wgt,     15194.65,     15308.65,     15377.30,     15208.10,     15286.95,92.3
,NIFTY100 LowVol30,     10707.60,     10779.25,     10792.80,     10674.55,     10757.40,49.8
,NIFTY Alpha 50,     19413.85,     19557.50,     19598.10,     19381.85,     19521.20,107.35
,NIFTY MIDCAP 150,      7711.85,      7761.50,      7793.55,      7710.45,      7733.60,21.75
,NIFTY SMLCAP 50,      3425.50,      3449.80,      3473.40,      3441.35,      3457.00,31.5
,NIFTY SMLCAP 250,      5881.80,      5930.35,      5959.65,      5898.00,      5926.55,44.75
,NIFTY MIDSML 400,      7056.95,      7106.35,      7136.50,      7062.30,      7087.25,30.3
,NIFTY200 QUALTY30,     12031.30,     12094.35,     12111.50,     11967.40,     12046.20,14.9
,Nifty FinSrv25 50,     14098.25,     14186.45,     14369.15,     14163.70,     14318.50,220.25
,NIFTY AlphaLowVol,     13604.25,     13667.80,     13683.15,     13523.85,     13628.35,24.1
,Nifty200Momentm30,     13505.35,     13592.00,     13604.00,     13427.70,     13553.70,48.35
,Nifty100ESGSecLdr,      2354.10,      2365.55,      2379.65,      2354.75,      2376.40,22.3
,Nifty IT,     24167.75,     24163.20,     24163.20,     23828.05,     24009.25,-158.5
,Nifty Next 50,     31949.80,     32220.50,     32322.55,     31931.75,     32068.55,118.75
,Nifty Bank,     29883.30,     30071.65,     30545.85,     30007.80,     30402.20,518.9
,NIFTY MIDCAP 100,     20439.95,     20561.80,     20644.90,     20405.50,     20475.75,35.8
,Nifty 500,     11225.55,     11292.05,     11342.45,     11245.75,     11325.25,99.7
,Nifty 100,     13725.55,     13803.15,     13882.80,     13748.15,     13862.10,136.55
,Nifty Midcap 50,      5757.45,      5786.15,      5821.30,      5724.50,      5741.45,-16
,Nifty Realty,       300.55,       301.85,       304.55,       297.50,       299.25,-1.3
,Nifty Infra,      3584.85,      3620.05,      3636.00,      3591.75,      3620.95,36.1
,Nifty Energy,     16628.20,     16727.55,     16919.90,     16706.80,     16860.70,232.5
,Nifty FMCG,     33966.00,     34191.20,     34288.45,     33769.35,     34115.65,149.65
,Nifty MNC,     15496.90,     15615.80,     15662.75,     15485.20,     15568.20,71.3
,Nifty Pharma,     12753.25,     12815.90,     12943.20,     12694.55,     12908.95,155.7
,Nifty PSE,      2737.55,      2756.80,      2802.45,      2755.30,      2770.20,32.65
,Nifty PSU Bank,      1693.40,      1710.70,      1733.65,      1699.00,      1703.80,10.4
,Nifty Serv Sector,     19013.30,     19111.35,     19273.85,     19060.00,     19216.00,202.7
,India VIX,20.4950,20.4950,20.9525,15.6450,19.9675,-0.5275
,Nifty Auto,      8935.95,      8966.45,      9052.70,      8937.45,      8978.05,42.1
,Nifty Metal,      3134.10,      3158.05,      3223.90,      3134.25,      3144.30,10.2
,Nifty Media,      1650.75,      1676.35,      1687.40,      1631.45,      1638.15,-12.6
,NIFTY SMLCAP 100,      6840.45,      6891.55,      6934.40,      6871.70,      6902.10,61.65
,Nifty 200,      7049.80,      7089.90,      7124.40,      7060.30,      7113.35,63.55
,Nifty Div Opps 50,      2831.85,      2843.45,      2857.80,      2824.90,      2843.10,11.25
,Nifty Commodities,      3714.10,      3754.20,      3778.65,      3723.75,      3738.75,24.65
,Nifty Consumption,      5807.50,      5855.00,      5864.40,      5789.40,      5832.45,24.95
,Nifty Fin Service,     14517.05,     14607.25,     14836.60,     14576.75,     14779.60,262.55
,Nifty50 Div Point,        82.51,        82.51,        82.51,        82.51,        82.51,0
,Nifty100 Liq 15,      3240.60,      3268.70,      3301.20,      3262.45,      3293.65,53.05
,Nifty CPSE,      1608.80,      1623.25,      1646.40,      1621.00,      1627.35,18.55
,Nifty GrowSect 15,      6809.35,      6848.60,      6925.30,      6836.55,      6908.65,99.3
,Nifty50 PR 2x Lev,      5747.85,      5807.40,      5891.05,      5769.55,      5872.55,124.7
,Nifty50 PR 1x Inv,       323.05,       321.40,       322.45,       319.05,       319.55,-3.5
,Nifty50 TR 2x Lev,      7636.25,      7715.35,      7826.50,      7665.05,      7801.90,165.65
,Nifty50 TR 1x Inv,       280.40,       278.95,       279.90,       276.90,       277.35,-3.05
,Nifty50 Value 20,      6773.20,      6800.70,      6818.75,      6735.05,      6785.25,12.05
,Nifty Mid Liq 15,      5049.35,      5065.40,      5108.50,      5026.35,      5043.15,-6.2
,Nifty Pvt Bank,     16515.20,     16620.40,     16858.40,     16581.35,     16777.80,262.6
,NIFTY100 Qualty30,      3236.35,      3254.80,      3259.40,      3221.95,      3245.40,9.05
,Nifty GS 8 13Yr,      2246.15,      2246.53,      2246.53,      2243.78,      2243.78,-2.37
,Nifty GS 10Yr,      2021.65,      2021.98,      2021.98,      2016.84,      2017.75,-3.9
,Nifty GS 10Yr Cln,       963.66,       963.66,       963.66,       961.20,       961.64,-2.02
,Nifty GS 4 8Yr,      2401.20,      2401.59,      2401.59,      2399.31,      2399.45,-1.75
,Nifty GS 11 15Yr,      2429.65,      2430.08,      2430.11,      2426.58,      2426.58,-3.07
,Nifty GS 15YrPlus,      2668.84,      2669.34,      2676.27,      2669.34,      2676.27,7.43
,Nifty GS Compsite,      2293.09,      2293.47,      2293.47,      2290.69,      2290.69,-2.4

,ADVANCES,1116
,DECLINES,825
,UNCHANGED,83

,Total securities that have hit their price bands today,386

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,VEDL,EQ,       150.45,       162.85,8.24,4374.15
,BECTORFOOD,EQ,       288.00,       594.20,106.32,2126.96
,RELIANCE,EQ,      1943.85,      1994.15,2.59,1894.9
,BAJFINANCE,EQ,      5088.90,      5184.90,1.89,1355.18
,TATAMOTORS,EQ,       169.20,       175.95,3.99,1296.37
,BHARTIARTL,EQ,       507.20,       517.30,1.99,1079.61
,HDFCBANK,EQ,      1375.65,      1397.10,1.56,1041.58
,AXISBANK,EQ,       592.45,       610.20,3,942.28
,INFY,EQ,      1253.05,      1236.05,-1.36,904.24
,ICICIBANK,EQ,       503.60,       513.55,1.98,900.82
,INDUSINDBK,EQ,       855.35,       852.80,-0.3,884.56
,SBIN,EQ,       263.00,       266.85,1.46,763.28
,TATASTEEL,EQ,       621.40,       622.30,0.14,757.82
,HDFC,EQ,      2403.05,      2455.15,2.17,664.83
,SRTRANSFIN,EQ,       961.65,       996.60,3.63,663.31
,KOTAKBANK,EQ,      1920.75,      1960.60,2.07,651.99
,AMBUJACEM,EQ,       237.20,       246.70,4.01,605.43
,CIPLA,EQ,       824.65,       833.20,1.04,602.22
,HINDUNILVR,EQ,      2370.35,      2402.25,1.35,594.65
,ACC,EQ,      1578.85,      1614.65,2.27,591.7
,SAIL,EQ,        59.05,        60.25,2.03,546.38
,BAJAJ-AUTO,EQ,      3309.65,      3374.75,1.97,530.91
,TCS,EQ,      2908.75,      2909.35,0.02,524.59
,IBULHSGFIN,EQ,       203.10,       204.60,0.74,485.72
,BURGERKING,EQ,       189.45,       180.90,-4.51,479.13

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,TATAMOTORS,EQ,       175.95,       169.20,3.99
,AXISBANK,EQ,       610.20,       592.45,3
,SUNPHARMA,EQ,       590.45,       574.60,2.76
,ONGC,EQ,        93.15,        90.80,2.59
,RELIANCE,EQ,      1994.15,      1943.85,2.59

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,INFY,EQ,      1236.05,      1253.05,-1.36
,NESTLEIND,EQ,     18566.35,     18732.70,-0.89
,WIPRO,EQ,       382.20,       385.55,-0.87
,UPL,EQ,       449.40,       451.95,-0.56
,GRASIM,EQ,       897.15,       902.00,-0.54

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        37.80,                 17196746.70,444734
,21STCENMGM,EQ,        10.05,                    30788.85,3047
,3IINFOTECH,EQ,         5.40,                  9941778.00,1841070
,3MINDIA,EQ,     21153.20,                 53729786.80,2538
,3PLAND,EQ,         9.75,                    43958.30,4718
,5PAISA,EQ,       296.45,                  8862239.70,30294
,619GS2034,GS,       100.81,                      100.81,1
,63MOONS,BE,        80.00,                  2056346.80,25506
,719GS2060,GS,       120.00,                      360.00,3
,772GS2055,GS,       115.17,                   354275.99,3076
,813GS2045,GS,       116.00,                    11600.00,100
,8KMILES,BE,        79.80,                  6418571.85,78694
,A2ZINFRA,EQ,         4.70,                  1862825.05,393685
,AAATECH,SM,        43.00,                   256200.00,6000
,AAKASH,EQ,        66.75,                  2832832.40,42398
,AARON,EQ,        49.20,                   631750.10,12766
,AARTIDRUGS,EQ,       705.45,                313473657.30,441406
,AARTIIND,EQ,      1205.30,                177638999.10,147128
,AARTISURF,EQ,      1049.50,                 73774305.05,70016
,AARVEEDEN,EQ,        17.85,                  2829168.45,156212
,AARVI,EQ,        43.60,                  1380573.10,30835
,AAVAS,EQ,      1699.20,                 40702023.70,23926
,ABAN,BE,        27.80,                   994211.25,35602
,ABB,EQ,      1206.55,                300428458.15,246220
,ABCAPITAL,EQ,        84.80,                188040683.60,2193074
,ABFRL,EQ,       164.10,                660564837.85,4072865
,ABFRLPP,E1,       101.60,                 14607759.80,145030
,ABINFRA,SM,         5.45,                   241800.00,44000
,ABMINTLTD,BE,        24.90,                     8319.80,347
,ABSLBANETF,EQ,       303.00,                    40624.61,134
,ABSLNN50ET,EQ,       317.19,                    16968.37,53
,ACCELYA,EQ,       957.40,                  8663314.10,8916
,ACCURACY,EQ,        37.20,                   594262.90,15960
,ACE,EQ,       135.45,                 71686092.75,524982
,ADANIENT,EQ,       473.65,               3766494775.60,7985151
,ADANIGAS,EQ,       368.55,                967229780.40,2634135
,ADANIPOWER,EQ,        47.90,                477611363.35,9978164
,ADFFOODS,EQ,       574.00,                 33011923.65,56984
,ADHUNIKIND,BE,        23.95,                   949766.70,40494
,ADL,BE,        29.95,                    82897.60,2768
,ADORWELD,EQ,       263.90,                  5006532.35,18781
,ADROITINFO,BE,         9.80,                    48600.00,4965
,ADSL,EQ,        30.75,                 10005083.85,317762
,ADVANIHOTR,BE,        51.45,                   262914.25,5155
,ADVENZYMES,EQ,       325.25,                 40820850.70,124878
,AEGISCHEM,EQ,       245.80,                 65456958.10,264801
,AFFLE,EQ,      3827.70,                188828693.70,48901
,AGARIND,EQ,        99.85,                   821599.25,8162
,AGCNET,BE,       803.15,                 14690279.30,18297
,AGRITECH,BE,        38.50,                   138734.05,3664
,AGROPHOS,EQ,        14.75,                  4060675.45,273977
,AHLADA,SM,        79.80,                   160600.00,2000
,AHLEAST,EQ,       168.25,                   454797.35,2664
,AHLUCONT,EQ,       251.20,                  2877994.70,11343
,AHLWEST,EQ,       264.80,                   487850.90,1838
,AIAENG,EQ,      1996.40,                 92580102.05,46279
,AIRAN,EQ,        17.45,                  1191550.55,67595
,AIROLAM,SM,        26.00,                    78000.00,3000
,AJANTPHARM,EQ,      1672.05,                161549960.45,97673
,AJMERA,EQ,       132.35,                 15378067.05,115224
,AKASH,EQ,       243.05,                  5226254.60,21487
,AKG,SM,        65.00,                  1628160.00,25600
,AKSHARCHEM,EQ,       236.50,                  8388486.50,35338
,AKSHOPTFBR,EQ,         7.85,                  4901987.20,625079
,AKZOINDIA,EQ,      2234.15,                 27214490.15,12196
,ALANKIT,EQ,        16.30,                   930818.90,57426
