,08-Jan-2021
The Nifty witnessed an intraday movement of about 145.65 points.The closing index was 1.48 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 75876.55
, Traded Quantity (in Lakhs), 38132.87
, Number of Trades, 21228827
, Total Market Capitalisation (Rs. Crores), 19422399.64

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     14137.35,     14258.40,     14367.30,     14221.65,     14347.25,209.9
,NIFTY50 EQL Wgt,     14997.75,     15113.55,     15271.85,     15093.25,     15256.10,258.35
,NIFTY100 EQL Wgt,     16103.50,     16221.25,     16356.25,     16209.55,     16339.75,236.25
,NIFTY100 LowVol30,     11020.25,     11102.50,     11276.70,     11087.35,     11259.20,238.95
,NIFTY Alpha 50,     20666.55,     20871.25,     20871.25,     20639.75,     20718.50,51.95
,NIFTY MIDCAP 150,      8264.00,      8335.70,      8367.90,      8308.60,      8349.10,85.1
,NIFTY SMLCAP 50,      3709.95,      3753.55,      3764.25,      3720.65,      3732.05,22.1
,NIFTY SMLCAP 250,      6319.45,      6378.30,      6396.55,      6352.75,      6364.05,44.6
,NIFTY MIDSML 400,      7568.35,      7635.50,      7662.30,      7609.40,      7638.80,70.45
,NIFTY200 QUALTY30,     12412.95,     12508.30,     12722.55,     12496.60,     12700.95,288
,Nifty FinSrv25 50,     15111.65,     15232.85,     15266.70,     15133.35,     15223.40,111.75
,NIFTY AlphaLowVol,     14006.00,     14101.05,     14354.15,     14086.55,     14330.40,324.4
,Nifty200Momentm30,     14148.95,     14258.75,     14417.60,     14232.25,     14396.40,247.45
,Nifty100ESGSecLdr,      2445.95,      2466.15,      2490.45,      2460.90,      2486.80,40.85
,Nifty IT,     25251.20,     25558.30,     26227.50,     25523.75,     26162.40,911.2
,Nifty Next 50,     33889.35,     34124.10,     34364.25,     34075.20,     34331.05,441.7
,Nifty Bank,     31956.00,     32298.05,     32298.05,     32002.95,     32084.20,128.2
,NIFTY MIDCAP 100,     21964.55,     22161.70,     22254.15,     22070.70,     22194.10,229.55
,Nifty 500,     11766.10,     11865.50,     11940.45,     11841.85,     11925.60,159.5
,Nifty 100,     14305.50,     14424.80,     14533.00,     14393.45,     14514.35,208.85
,Nifty Midcap 50,      6320.70,      6384.15,      6410.00,      6351.25,      6389.70,69
,Nifty Realty,       322.90,       325.55,       332.70,       324.25,       327.50,4.6
,Nifty Infra,      3767.10,      3792.60,      3837.90,      3788.90,      3833.45,66.35
,Nifty Energy,     17042.75,     17166.80,     17273.35,     17126.50,     17255.15,212.4
,Nifty FMCG,     34032.35,     34282.45,     34346.20,     33994.20,     34276.75,244.4
,Nifty MNC,     16024.85,     16135.75,     16283.45,     16106.35,     16254.20,229.35
,Nifty Pharma,     13060.75,     13141.00,     13298.15,     13104.05,     13271.55,210.8
,Nifty PSE,      2908.55,      2933.50,      2970.20,      2929.15,      2961.65,53.1
,Nifty PSU Bank,      1838.25,      1853.35,      1858.45,      1825.40,      1829.95,-8.3
,Nifty Serv Sector,     20035.55,     20238.25,     20357.10,     20149.60,     20327.90,292.35
,India VIX,20.6150,20.6150,20.8500,17.3800,20.6400,0.0250
,Nifty Auto,      9429.65,      9491.45,      9767.10,      9478.30,      9741.25,311.6
,Nifty Metal,      3550.45,      3577.50,      3581.85,      3498.60,      3529.20,-21.25
,Nifty Media,      1701.20,      1725.30,      1779.95,      1720.35,      1756.60,55.4
,NIFTY SMLCAP 100,      7398.55,      7473.40,      7492.35,      7424.85,      7443.00,44.45
,Nifty 200,      7374.25,      7436.30,      7488.15,      7420.50,      7478.25,104
,Nifty Div Opps 50,      2937.50,      2967.10,      2991.60,      2961.90,      2988.00,50.5
,Nifty Commodities,      3947.00,      3973.10,      4003.00,      3970.90,      3998.75,51.75
,Nifty Consumption,      5975.55,      6018.30,      6081.70,      6009.10,      6072.10,96.55
,Nifty Fin Service,     15424.55,     15557.10,     15557.55,     15430.85,     15511.15,86.6
,Nifty50 Div Point,        82.51,        82.51,        82.51,        82.51,        82.51,0
,Nifty100 Liq 15,      3412.45,      3440.20,      3455.45,      3431.90,      3448.95,36.5
,Nifty CPSE,      1687.75,      1701.80,      1726.65,      1698.85,      1725.10,37.35
,Nifty GrowSect 15,      7043.30,      7100.05,      7109.05,      7057.25,      7097.45,54.15
,Nifty50 PR 2x Lev,      6200.05,      6305.65,      6400.80,      6275.55,      6383.60,183.55
,Nifty50 PR 1x Inv,       311.10,       308.45,       309.20,       306.05,       306.50,-4.6
,Nifty50 TR 2x Lev,      8237.05,      8377.35,      8503.75,      8337.35,      8480.90,243.85
,Nifty50 TR 1x Inv,       270.00,       267.75,       268.40,       265.65,       266.05,-3.95
,Nifty50 Value 20,      6990.20,      7064.85,      7160.90,      7051.70,      7151.25,161.05
,Nifty Mid Liq 15,      5541.15,      5587.85,      5665.10,      5573.15,      5645.90,104.75
,Nifty Pvt Bank,     17677.75,     17872.45,     17872.45,     17717.55,     17756.05,78.3
,NIFTY100 Qualty30,      3336.30,      3363.25,      3406.50,      3359.60,      3401.55,65.25
,Nifty GS 8 13Yr,      2259.68,      2260.05,      2261.86,      2258.84,      2259.08,-.6
,Nifty GS 10Yr,      2034.10,      2034.43,      2035.51,      2031.36,      2032.07,-2.03
,Nifty GS 10Yr Cln,       967.41,       967.41,       967.93,       965.95,       966.29,-1.12
,Nifty GS 4 8Yr,      2414.71,      2415.07,      2415.07,      2412.32,      2412.58,-2.13
,Nifty GS 11 15Yr,      2443.66,      2444.09,      2444.22,      2441.87,      2443.05,-.61
,Nifty GS 15YrPlus,      2695.10,      2695.58,      2697.15,      2695.58,      2697.03,1.93
,Nifty GS Compsite,      2307.00,      2307.38,      2308.41,      2305.88,      2306.24,-.76

,ADVANCES,1074
,DECLINES,887
,UNCHANGED,95

,Total securities that have hit their price bands today,384

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,RELIANCE,EQ,      1911.15,      1933.70,1.18,2444.18
,MARUTI,EQ,      7566.05,      8014.90,5.93,2020.27
,TCS,EQ,      3032.80,      3120.90,2.9,1823.07
,WIPRO,EQ,       406.75,       430.20,5.77,1736.3
,INFY,EQ,      1262.15,      1312.10,3.96,1711.7
,BAJFINANCE,EQ,      5081.00,      5082.00,0.02,1527.36
,TATASTEEL,EQ,       722.80,       713.15,-1.34,1384.49
,HDFC,EQ,      2661.35,      2657.50,-0.14,1190.35
,ICICIBANK,EQ,       541.10,       542.05,0.18,1186.87
,ITC,EQ,       202.80,       201.50,-0.64,1143.98
,IBULHSGFIN,EQ,       234.10,       241.30,3.08,1104.54
,TATAMOTORS,EQ,       196.75,       198.15,0.71,1076.81
,INDUSINDBK,EQ,       952.05,       939.80,-1.29,1036
,ZEEL,EQ,       218.95,       231.15,5.57,1019.35
,HDFCBANK,EQ,      1416.25,      1431.65,1.09,986.4
,TECHM,EQ,       994.75,      1051.10,5.66,963.71
,SBIN,EQ,       287.70,       286.00,-0.59,938.05
,AXISBANK,EQ,       671.10,       672.70,0.24,826.19
,UPL,EQ,       482.50,       503.65,4.38,807.88
,SRTRANSFIN,EQ,      1306.80,      1295.70,-0.85,805.8
,HCLTECH,EQ,       962.55,       994.65,3.33,792.77
,BHARTIARTL,EQ,       545.25,       540.25,-0.92,774.63
,BAJAJFINSV,EQ,      8988.00,      9171.60,2.04,753.86
,PEL,EQ,      1496.85,      1524.55,1.85,746.1
,EICHERMOT,EQ,      2649.80,      2760.85,4.19,707.54

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,MARUTI,EQ,      8014.90,      7566.05,5.93
,WIPRO,EQ,       430.20,       406.75,5.77
,TECHM,EQ,      1051.10,       994.75,5.66
,UPL,EQ,       503.65,       482.50,4.38
,EICHERMOT,EQ,      2760.85,      2649.80,4.19

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,HINDALCO,EQ,       268.20,       272.90,-1.72
,TATASTEEL,EQ,       713.15,       722.80,-1.34
,INDUSINDBK,EQ,       939.80,       952.05,-1.29
,BHARTIARTL,EQ,       540.25,       545.25,-0.92
,ITC,EQ,       201.50,       202.80,-0.64

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        41.65,                 24938397.60,600137
,21STCENMGM,EQ,        10.75,                    64383.05,5991
,3IINFOTECH,EQ,         8.50,                 15744142.00,1852252
,3MINDIA,EQ,     21735.40,                332854833.25,15435
,3PLAND,EQ,        10.95,                    98936.35,8982
,5PAISA,EQ,       315.10,                  9899955.65,31421
,618GS2024,GS,       105.00,                      105.00,1
,63MOONS,BE,        80.85,                  5003685.95,61488
,772GS2055,GS,       116.00,                   238380.00,2055
,83GS2042,GS,       114.98,                     1149.80,10
,8KMILES,BE,        81.25,                  4479484.40,55781
,A2ZINFRA,EQ,         5.05,                  5804692.60,1121333
,AAATECH,SM,        43.10,                   129300.00,3000
,AAKASH,EQ,        78.55,                  2082200.00,26572
,AARON,EQ,        54.00,                   299858.05,5568
,AARTIDRUGS,EQ,       736.05,                610017553.90,824889
,AARTIIND,EQ,      1280.40,                418462163.20,326480
,AARTISURF,EQ,      1008.40,                 13595778.15,13379
,AARVEEDEN,BE,        18.00,                   581772.60,32393
,AARVI,EQ,        46.75,                   982271.45,20493
,AAVAS,EQ,      1933.10,                285628349.45,148479
,ABAN,BE,        30.55,                  2244422.10,73013
,ABB,EQ,      1315.00,                375384564.80,285838
,ABCAPITAL,EQ,        92.40,                388595337.70,4179333
,ABFRL,EQ,       166.45,                317132302.80,1879933
,ABINFRA,SM,         6.75,                    27000.00,4000
,ABMINTLTD,BE,        24.90,                    15901.65,649
,ABSLBANETF,EQ,       320.52,                   349388.83,1084
,ABSLNN50ET,EQ,       339.84,                    43883.94,133
,ABSLRIF6RG,MF,         7.62,                     3803.10,505
,ACCELYA,EQ,       967.10,                  4912186.10,5085
,ACCURACY,EQ,        39.25,                  5951053.75,158438
,ACE,EQ,       141.95,                 38234373.65,267965
,ADANIENT,EQ,       518.00,               1924488783.20,3702267
,ADANIGAS,EQ,       369.35,                421642175.20,1133002
,ADANIPOWER,EQ,        53.45,                974410202.35,18350326
,ADFFOODS,EQ,       632.00,                 32843930.50,51750
,ADHUNIKIND,BE,        25.50,                   682214.45,27016
,ADL,BE,        33.00,                   262192.75,8044
,ADORWELD,EQ,       310.55,                 38265008.65,123321
,ADROITINFO,BE,        11.50,                   354870.40,31638
,ADSL,EQ,        43.55,                 13309780.20,304542
,ADVANIHOTR,BE,        51.35,                   365843.45,7192
,ADVENZYMES,EQ,       328.10,                 45561678.00,137967
,AEGISCHEM,EQ,       256.75,                154349152.30,600620
,AFFLE,EQ,      3965.50,                133196790.20,33515
,AGARIND,EQ,       110.95,                  9698218.50,87806
,AGCNET,BE,       750.15,                   959234.65,1282
,AGRITECH,BE,        38.95,                   175803.35,4454
,AGROPHOS,EQ,        15.70,                  1463780.05,92132
,AHLADA,SM,        73.20,                  5991200.00,82000
,AHLEAST,EQ,       168.35,                   284854.00,1686
,AHLUCONT,EQ,       264.35,                  7014974.40,26530
,AHLWEST,EQ,       259.95,                   335961.05,1286
,AIAENG,EQ,      2000.80,                109862077.55,54808
,AIRAN,EQ,        19.20,                  1841601.20,94431
,AISL,SM,        26.50,                    31800.00,1200
,AJANTPHARM,EQ,      1790.45,                577865968.10,318431
,AJMERA,EQ,       138.80,                 13518010.95,96168
,AJOONI,SM,        33.90,                  5090600.00,152000
,AKASH,EQ,       241.95,                 33216917.05,135923
,AKG,SM,        84.70,                  2163840.00,25600
,AKSHARCHEM,EQ,       291.00,                 73991983.05,254861
,AKSHOPTFBR,EQ,         8.60,                 14320916.05,1620145
,AKZOINDIA,EQ,      2401.60,                 25148632.15,10368
,ALANKIT,EQ,        19.15,                  3819555.80,201852
