,14-Jan-2021
The Nifty witnessed an intraday movement of about 146.3 points.The closing index was 0.21 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 70195.9
, Traded Quantity (in Lakhs), 29426.75
, Number of Trades, 19096836
, Total Market Capitalisation (Rs. Crores), 19628052.71

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     14564.85,     14550.05,     14617.80,     14471.50,     14595.60,30.75
,NIFTY50 EQL Wgt,     15519.35,     15537.00,     15573.25,     15420.10,     15552.60,33.25
,NIFTY100 EQL Wgt,     16497.25,     16535.30,     16567.45,     16413.85,     16548.60,51.35
,NIFTY100 LowVol30,     11405.15,     11410.00,     11446.30,     11327.95,     11427.60,22.45
,NIFTY Alpha 50,     20389.75,     20471.25,     20537.30,     20249.95,     20502.30,112.55
,NIFTY MIDCAP 150,      8328.30,      8349.35,      8371.60,      8289.80,      8335.15,6.85
,NIFTY SMLCAP 50,      3754.15,      3771.00,      3789.65,      3731.25,      3780.10,25.95
,NIFTY SMLCAP 250,      6360.45,      6383.90,      6395.45,      6331.35,      6388.40,27.95
,NIFTY MIDSML 400,      7624.25,      7646.20,      7661.10,      7589.35,      7638.90,14.65
,NIFTY200 QUALTY30,     12815.95,     12822.45,     12847.35,     12716.00,     12829.45,13.5
,Nifty FinSrv25 50,     15289.40,     15295.90,     15355.65,     15222.70,     15284.05,-5.35
,NIFTY AlphaLowVol,     14361.10,     14366.75,     14456.65,     14260.75,     14428.50,67.4
,Nifty200Momentm30,     14468.60,     14458.40,     14458.40,     14274.95,     14395.10,-73.5
,Nifty100ESGSecLdr,      2510.05,      2507.85,      2525.80,      2493.25,      2521.80,11.75
,Nifty IT,     27004.30,     26804.65,     27176.50,     26245.10,     26965.55,-38.75
,Nifty Next 50,     34156.00,     34264.55,     34357.05,     34018.00,     34318.45,162.45
,Nifty Bank,     32574.65,     32526.70,     32718.95,     32442.35,     32519.75,-54.9
,NIFTY MIDCAP 100,     22155.25,     22198.00,     22271.55,     22041.10,     22169.40,14.15
,Nifty 500,     12041.10,     12043.40,     12081.55,     11976.15,     12069.50,28.4
,Nifty 100,     14694.95,     14688.20,     14750.00,     14608.10,     14731.15,36.2
,Nifty Midcap 50,      6385.15,      6398.80,      6424.55,      6345.75,      6390.90,5.75
,Nifty Realty,       337.60,       338.30,       341.60,       334.75,       337.40,-.2
,Nifty Infra,      3894.70,      3911.75,      3928.40,      3888.00,      3922.60,27.9
,Nifty Energy,     17430.15,     17531.70,     17694.95,     17463.00,     17669.40,239.25
,Nifty FMCG,     34617.60,     34669.10,     34942.20,     34616.00,     34885.70,268.1
,Nifty MNC,     16328.50,     16368.05,     16413.90,     16287.30,     16388.50,60
,Nifty Pharma,     13122.55,     13140.40,     13278.60,     13020.30,     13232.55,110
,Nifty PSE,      3029.50,      3043.95,      3057.95,      3024.40,      3050.70,21.2
,Nifty PSU Bank,      1972.65,      1969.90,      2002.45,      1958.55,      1978.10,5.45
,Nifty Serv Sector,     20688.55,     20628.25,     20741.25,     20479.40,     20675.70,-12.85
,India VIX,23.2925,23.2925,23.7025,22.8075,23.0275,-0.2650
,Nifty Auto,     10208.55,     10237.30,     10285.25,     10148.95,     10238.30,29.75
,Nifty Metal,      3523.25,      3521.05,      3533.95,      3471.10,      3487.40,-35.85
,Nifty Media,      1759.05,      1767.30,      1778.65,      1748.40,      1754.95,-4.1
,NIFTY SMLCAP 100,      7433.75,      7466.60,      7495.10,      7398.50,      7481.30,47.55
,Nifty 200,      7558.70,      7557.35,      7584.05,      7516.10,      7575.65,16.95
,Nifty Div Opps 50,      3041.95,      3042.50,      3061.65,      3023.55,      3058.65,16.7
,Nifty Commodities,      3999.45,      4013.35,      4024.55,      3979.35,      4014.80,15.35
,Nifty Consumption,      6125.70,      6142.85,      6159.90,      6106.50,      6136.80,11.1
,Nifty Fin Service,     15624.05,     15615.35,     15692.70,     15567.60,     15608.95,-15.1
,Nifty50 Div Point,        82.51,        83.98,        83.98,        83.98,        83.98,1.47
,Nifty100 Liq 15,      3513.90,      3517.55,      3528.35,      3500.90,      3515.85,1.95
,Nifty CPSE,      1767.40,      1782.25,      1787.30,      1763.20,      1772.75,5.35
,Nifty GrowSect 15,      7132.00,      7134.20,      7166.05,      7122.40,      7151.05,19.05
,Nifty50 PR 2x Lev,      6575.00,      6561.15,      6621.80,      6491.05,      6602.25,27.25
,Nifty50 PR 1x Inv,       302.00,       302.35,       303.95,       300.95,       301.40,-.6
,Nifty50 TR 2x Lev,      8735.25,      8718.55,      8799.10,      8625.45,      8773.15,37.9
,Nifty50 TR 1x Inv,       262.15,       262.40,       263.80,       261.20,       261.60,-.55
,Nifty50 Value 20,      7322.35,      7303.60,      7384.20,      7242.80,      7358.05,35.7
,Nifty Mid Liq 15,      5591.75,      5618.10,      5641.55,      5571.10,      5623.90,32.15
,Nifty Pvt Bank,     17803.30,     17782.25,     17912.65,     17742.45,     17782.10,-21.2
,NIFTY100 Qualty30,      3435.65,      3435.75,      3447.20,      3410.20,      3441.55,5.9
,Nifty GS 8 13Yr,      2252.35,      2252.72,      2255.46,      2252.62,      2255.46,3.11
,Nifty GS 10Yr,      2027.90,      2028.23,      2031.41,      2028.23,      2031.41,3.51
,Nifty GS 10Yr Cln,       963.51,       963.51,       965.03,       963.51,       965.03,1.52
,Nifty GS 4 8Yr,      2396.75,      2397.12,      2399.37,      2396.36,      2398.19,1.44
,Nifty GS 11 15Yr,      2433.60,      2434.03,      2437.78,      2433.04,      2436.53,2.93
,Nifty GS 15YrPlus,      2697.40,      2697.89,      2697.95,      2697.89,      2697.95,.55
,Nifty GS Compsite,      2294.71,      2295.09,      2297.34,      2294.57,      2297.02,2.31

,ADVANCES,912
,DECLINES,1022
,UNCHANGED,87

,Total securities that have hit their price bands today,356

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,INFY,EQ,      1387.15,      1370.50,-1.2,3741.12
,WIPRO,EQ,       459.00,       454.35,-1.01,3223.71
,TCS,EQ,      3158.95,      3250.70,2.9,2223.06
,SAIL,EQ,        74.70,        67.20,-10.04,2176.03
,TATAMOTORS,EQ,       242.60,       245.10,1.03,2120.24
,RELIANCE,EQ,      1938.80,      1960.60,1.12,1946.77
,TATAELXSI,EQ,      2371.85,      2490.15,4.99,1768.21
,HCLTECH,EQ,      1055.95,      1027.70,-2.68,1541.91
,INDUSINDBK,EQ,       942.75,       969.70,2.86,1445.64
,BAJFINANCE,EQ,      4902.90,      4877.35,-0.52,1313.11
,SBIN,EQ,       306.80,       307.25,0.15,1232.42
,HDFC,EQ,      2670.90,      2684.05,0.49,1136.53
,ITC,EQ,       211.25,       214.15,1.37,1035.31
,BHARTIARTL,EQ,       578.25,       580.55,0.4,963.47
,KOTAKBANK,EQ,      1882.10,      1892.65,0.56,910.2
,HDFCBANK,EQ,      1470.65,      1468.75,-0.13,903.11
,TATASTEEL,EQ,       709.15,       706.35,-0.39,812.97
,UPL,EQ,       491.70,       509.40,3.6,775.49
,HAL,EQ,       921.60,      1009.25,9.51,762.22
,ICICIBANK,EQ,       556.50,       553.30,-0.58,737.85
,M&M,EQ,       828.35,       829.90,0.19,714.91
,LT,EQ,      1352.50,      1376.60,1.78,710.99
,PNB,EQ,        36.60,        37.00,1.09,683.76
,AXISBANK,EQ,       687.80,       676.00,-1.72,635.79
,MARUTI,EQ,      8139.85,      8149.45,0.12,583.21

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,UPL,EQ,       509.40,       491.70,3.6
,BPCL,EQ,       426.70,       411.90,3.59
,TCS,EQ,      3250.70,      3158.95,2.9
,INDUSINDBK,EQ,       969.70,       942.75,2.86
,IOC,EQ,       103.20,       100.95,2.23

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,HCLTECH,EQ,      1027.70,      1055.95,-2.68
,AXISBANK,EQ,       676.00,       687.80,-1.72
,JSWSTEEL,EQ,       396.40,       402.95,-1.63
,TECHM,EQ,      1052.60,      1069.65,-1.59
,ASIANPAINT,EQ,      2663.90,      2703.70,-1.47

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        39.85,                 14702988.90,374980
,21STCENMGM,EQ,        10.75,                    36438.45,3428
,3IINFOTECH,EQ,         8.15,                 29480514.15,3617241
,3MINDIA,EQ,     21100.20,                 64205109.25,3041
,3PLAND,EQ,        10.40,                    72721.35,7118
,509GS2022,GS,        92.00,                     9200.00,100
,5PAISA,EQ,       328.10,                 75123350.20,219497
,601GS2028,GS,        67.26,                    30992.98,508
,63MOONS,BE,        80.35,                  1459897.75,18328
,759GS2026,GS,       106.00,                     3286.00,31
,772GS2055,GS,       116.00,                    46632.00,402
,8KMILES,BE,        80.75,                  1021611.55,12454
,A2ZINFRA,EQ,         5.10,                  5919374.50,1127602
,AAATECH,SM,        42.25,                   380250.00,9000
,AAKASH,EQ,        83.75,                  5071813.65,60764
,AARON,EQ,        50.60,                   460771.05,9017
,AARTIDRUGS,EQ,       716.75,                241988882.60,337959
,AARTIIND,EQ,      1265.15,                349412865.00,276643
,AARTISURF,EQ,       970.15,                 16173414.35,16526
,AARVEEDEN,BE,        18.65,                   786838.75,42471
,AARVI,EQ,        47.45,                   343479.25,7238
,AAVAS,EQ,      1927.65,                137157456.45,71011
,ABAN,BE,        30.15,                  1712012.10,55910
,ABB,EQ,      1274.40,                 58393897.60,45754
,ABCAPITAL,EQ,        91.55,                193215606.40,2111500
,ABFRL,EQ,       180.40,                334685225.85,1854475
,ABINFRA,SM,         8.10,                    97200.00,12000
,ABMINTLTD,BE,        24.50,                       24.50,1
,ABSLBANETF,EQ,       324.74,                    46564.08,144
,ABSLNN50ET,EQ,       335.00,                    13482.80,40
,ABSLRIF6RG,MF,         8.16,                       81.60,10
,ACCELYA,EQ,       962.45,                  3298984.45,3428
,ACCURACY,EQ,        40.35,                   830936.25,21051
,ACE,EQ,       135.30,                 34075407.35,249116
,ACRYSIL,EQ,       199.00,                  6723774.15,33647
,ADANIENT,EQ,       532.10,               1691680538.00,3161306
,ADANIPOWER,EQ,        53.95,                237006057.50,4383524
,ADFFOODS,EQ,       623.90,                 14757779.45,23616
,ADHUNIKIND,BE,        24.55,                   311794.80,12608
,ADL,BE,        28.00,                   232458.60,8250
,ADORWELD,EQ,       291.55,                  5042817.70,17243
,ADROITINFO,BE,        11.25,                    57601.50,4965
,ADSL,EQ,        41.30,                  9986742.90,246178
,ADVANIHOTR,BE,        49.95,                   149023.85,2997
,ADVENZYMES,EQ,       325.45,                 36327038.40,111350
,AEGISCHEM,EQ,       282.80,                183347656.00,646257
,AFFLE,EQ,      3742.90,                149081196.15,39775
,AGARIND,EQ,       153.45,                 10768357.30,71866
,AGCNET,BE,       742.50,                  3437704.55,4666
,AGRITECH,BE,        38.00,                   189412.20,4961
,AGROPHOS,EQ,        15.25,                   831618.85,54962
,AHLADA,SM,        70.00,                   281050.00,4000
,AHLEAST,EQ,       164.95,                   515896.05,3125
,AHLUCONT,EQ,       272.50,                948972067.75,3575820
,AHLWEST,EQ,       257.20,                   208949.10,806
,AIAENG,EQ,      2098.80,                189039114.60,89585
,AIRAN,EQ,        18.80,                   802981.50,42424
,AISL,SM,        24.20,                    58260.00,2400
,AJANTPHARM,EQ,      1765.00,                119024782.35,67648
,AJMERA,EQ,       136.45,                 15716165.90,113893
,AJOONI,SM,        32.55,                   395200.00,12000
,AKASH,EQ,       232.70,                   532634.20,2272
,AKG,SM,        84.80,                  1617280.00,19200
,AKSHARCHEM,EQ,       273.60,                  4188642.90,15202
,AKSHOPTFBR,EQ,         8.10,                  2343657.95,288977
,AKZOINDIA,EQ,      2351.55,                243039199.05,103750
,ALANKIT,EQ,        19.00,                  2505057.55,133340
,ALBERTDAVD,EQ,       448.50,                  3787493.30,8440
,ALCHEM,BZ,         4.75,                   105437.15,23567
,ALEMBICLTD,EQ,       104.25,                 22278931.50,212924
,ALICON,EQ,       402.35,                  6046931.05,15102
,ALKALI,EQ,        61.90,                  5612176.30,89956
,ALKYLAMINE,EQ,      4789.25,                125704017.20,26221
,ALLCARGO,EQ,       133.55,                 24958701.35,186593
,ALLSEC,EQ,       282.85,                  2962627.90,10565
,ALMONDZ,EQ,        20.30,                   744749.60,36280
,ALOKINDS,EQ,        23.20,                135295939.10,5830748
,ALPA,BE,        36.65,                  1178563.50,32090
,ALPHAGEO,BE,       201.80,                  1573306.80,7755
,ALPSINDUS,BE,         2.00,                    43450.00,21725
,AMARAJABAT,EQ,      1013.75,               1189044071.95,1191620
,AMBER,EQ,      2565.85,                442111826.45,172619
,AMBIKCO,EQ,      1072.45,                 48588314.65,45193
,AMDIND,EQ,        20.25,                  1338285.05,66200
,AMJLAND,EQ,        26.90,                   435405.25,15887
,AMRUTANJAN,EQ,       538.15,                 19100562.60,35267
,ANANTRAJ,EQ,        33.45,                 61084549.10,1875444
,ANDHRACEMT,EQ,         6.20,                  1183179.30,189992
,ANDHRAPAP,EQ,       216.75,                  5309749.75,24503
,ANDHRSUGAR,EQ,       341.05,                 24376238.10,70856
,ANGELBRKG,EQ,       355.65,                164157717.80,461488
