,27-Jan-2021
The Nifty witnessed an intraday movement of about 308.65 points.The closing index was 1.91 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 70986.35
, Traded Quantity (in Lakhs), 29201.05
, Number of Trades, 21974717
, Total Market Capitalisation (Rs. Crores), 18830435.36

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     14238.90,     14237.95,     14237.95,     13929.30,     13967.50,-271.4
,NIFTY50 EQL Wgt,     15129.25,     15125.60,     15125.60,     14850.55,     14889.65,-239.6
,NIFTY100 EQL Wgt,     16011.60,     16011.75,     16011.75,     15731.80,     15785.75,-225.85
,NIFTY100 LowVol30,     11114.70,     11121.40,     11121.40,     10979.35,     11018.75,-95.95
,NIFTY Alpha 50,     19835.45,     19834.75,     19909.45,     19639.35,     19737.85,-97.6
,NIFTY MIDCAP 150,      8064.30,      8061.30,      8061.30,      7926.40,      7948.90,-115.4
,NIFTY SMLCAP 50,      3700.45,      3701.80,      3737.90,      3671.25,      3706.85,6.4
,NIFTY SMLCAP 250,      6199.70,      6205.30,      6217.05,      6141.40,      6186.15,-13.55
,NIFTY MIDSML 400,      7397.60,      7397.75,      7397.75,      7293.35,      7319.35,-78.25
,NIFTY200 QUALTY30,     12614.25,     12640.40,     12640.40,     12452.10,     12487.75,-126.5
,Nifty FinSrv25 50,     14784.65,     14790.20,     14790.20,     14391.15,     14420.90,-363.75
,NIFTY AlphaLowVol,     13929.40,     13951.75,     13951.75,     13747.80,     13805.05,-124.35
,Nifty200Momentm30,     13932.30,     13950.90,     13950.90,     13643.25,     13679.20,-253.1
,Nifty100ESGSecLdr,      2470.80,      2471.60,      2471.60,      2421.20,      2427.30,-43.5
,Nifty IT,     26023.30,     26073.10,     26236.55,     25628.70,     25865.30,-158
,Nifty Next 50,     33080.45,     33113.90,     33113.90,     32511.80,     32642.55,-437.9
,Nifty Bank,     31198.40,     31236.25,     31287.05,     30165.65,     30284.55,-913.85
,NIFTY MIDCAP 100,     21455.20,     21424.45,     21424.45,     21047.30,     21115.35,-339.85
,Nifty 500,     11743.70,     11744.30,     11744.30,     11511.55,     11546.35,-197.35
,Nifty 100,     14348.45,     14349.50,     14349.50,     14045.15,     14085.85,-262.6
,Nifty Midcap 50,      6183.60,      6180.20,      6181.15,      6055.10,      6069.15,-114.45
,Nifty Realty,       317.90,       318.95,       318.95,       309.55,       311.00,-6.9
,Nifty Infra,      3801.75,      3797.25,      3803.85,      3741.90,      3748.50,-53.25
,Nifty Energy,     16772.30,     16695.50,     16706.75,     16439.45,     16482.90,-289.4
,Nifty FMCG,     34178.60,     34316.45,     34394.65,     34096.20,     34281.40,102.8
,Nifty MNC,     16075.00,     16082.60,     16082.60,     15923.85,     15954.05,-120.95
,Nifty Pharma,     12756.75,     12764.50,     12764.50,     12403.80,     12495.90,-260.85
,Nifty PSE,      2793.60,      2786.00,      2794.15,      2747.80,      2761.15,-32.45
,Nifty PSU Bank,      1843.90,      1840.90,      1868.15,      1800.85,      1815.90,-28
,Nifty Serv Sector,     20024.30,     20035.05,     20035.05,     19509.45,     19597.45,-426.85
,India VIX,23.2450,23.2450,24.7475,20.8300,24.3925,1.1475
,Nifty Auto,     10433.50,     10410.25,     10457.90,     10161.30,     10210.25,-223.25
,Nifty Metal,      3236.35,      3230.90,      3230.90,      3146.50,      3154.80,-81.55
,Nifty Media,      1680.05,      1682.40,      1690.60,      1656.25,      1669.75,-10.3
,NIFTY SMLCAP 100,      7261.60,      7264.10,      7310.75,      7199.40,      7272.55,10.95
,Nifty 200,      7373.30,      7372.55,      7372.55,      7219.40,      7240.50,-132.8
,Nifty Div Opps 50,      2951.75,      2951.40,      2951.40,      2914.85,      2928.45,-23.3
,Nifty Commodities,      3846.20,      3839.00,      3839.00,      3769.85,      3774.60,-71.6
,Nifty Consumption,      6087.35,      6098.40,      6098.40,      6014.85,      6023.05,-64.3
,Nifty Fin Service,     15143.65,     15156.75,     15156.75,     14687.75,     14723.90,-419.75
,Nifty50 Div Point,        85.33,        86.40,        86.40,        86.40,        86.40,1.07
,Nifty100 Liq 15,      3405.10,      3404.20,      3404.20,      3321.00,      3327.40,-77.7
,Nifty CPSE,      1607.75,      1606.05,      1608.55,      1584.15,      1592.80,-14.95
,Nifty GrowSect 15,      7005.45,      7014.85,      7014.85,      6844.55,      6864.50,-140.95
,Nifty50 PR 2x Lev,      6271.50,      6269.55,      6269.55,      5997.95,      6031.30,-240.2
,Nifty50 PR 1x Inv,       308.95,       309.05,       315.75,       309.05,       314.90,5.95
,Nifty50 TR 2x Lev,      8335.25,      8333.90,      8333.90,      7972.95,      8017.25,-318
,Nifty50 TR 1x Inv,       268.10,       268.15,       273.95,       268.15,       273.25,5.15
,Nifty50 Value 20,      7191.75,      7200.15,      7203.40,      7103.25,      7147.30,-44.45
,Nifty Mid Liq 15,      5527.55,      5525.55,      5525.55,      5401.50,      5415.40,-112.15
,Nifty Pvt Bank,     17043.90,     17069.70,     17087.30,     16469.05,     16524.35,-519.55
,NIFTY100 Qualty30,      3382.60,      3389.10,      3389.10,      3333.45,      3343.75,-38.85
,Nifty GS 8 13Yr,      2254.82,      2255.19,      2256.05,      2254.45,      2254.64,-.18
,Nifty GS 10Yr,      2032.21,      2032.54,      2033.97,      2032.04,      2033.21,1
,Nifty GS 10Yr Cln,       963.52,       963.52,       964.20,       963.28,       963.84,.32
,Nifty GS 4 8Yr,      2396.71,      2397.07,      2397.21,      2395.64,      2396.46,-.25
,Nifty GS 11 15Yr,      2432.29,      2432.72,      2433.13,      2431.53,      2432.36,.07
,Nifty GS 15YrPlus,      2703.52,      2704.00,      2706.62,      2703.45,      2706.62,3.1
,Nifty GS Compsite,      2296.00,      2296.39,      2296.64,      2295.60,      2295.74,-.26

,ADVANCES,614
,DECLINES,1313
,UNCHANGED,79

,Total securities that have hit their price bands today,376

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,RELIANCE,EQ,      1941.00,      1895.00,-2.37,3724.2
,TATAMOTORS,EQ,       279.15,       267.50,-4.17,3413.05
,HDFCBANK,EQ,      1462.85,      1409.60,-3.64,1692.54
,AXISBANK,EQ,       658.40,       632.10,-3.99,1569.59
,ICICIBANK,EQ,       538.05,       522.35,-2.92,1481.71
,KOTAKBANK,EQ,      1794.40,      1764.70,-1.66,1408.37
,BAJFINANCE,EQ,      4908.70,      4845.00,-1.3,1360.44
,WIPRO,EQ,       437.25,       446.45,2.1,1329.16
,INDUSINDBK,EQ,       849.15,       820.15,-3.42,1313.64
,HDFC,EQ,      2551.40,      2467.00,-3.31,1212.14
,LT,EQ,      1361.30,      1359.85,-0.11,1211.84
,SBIN,EQ,       280.95,       275.65,-1.89,1092.68
,INFY,EQ,      1325.10,      1301.00,-1.82,1064.69
,ITC,EQ,       207.80,       210.65,1.37,1021.23
,TATASTEEL,EQ,       651.95,       626.00,-3.98,948.6
,TCS,EQ,      3291.30,      3261.05,-0.92,909.98
,UPL,EQ,       588.15,       574.25,-2.36,899.61
,BHARTIARTL,EQ,       580.75,       570.80,-1.71,875.77
,MARUTI,EQ,      7981.50,      7870.90,-1.39,861.66
,BAJAJ-AUTO,EQ,      4168.95,      4146.35,-0.54,861.66
,NAUKRI,EQ,      4985.85,      4707.65,-5.58,736.17
,EICHERMOT,EQ,      2869.55,      2789.90,-2.78,728.02
,HCLTECH,EQ,       947.50,       955.50,0.84,719.7
,GRASIM,EQ,      1069.75,      1061.55,-0.77,716.31
,TECHM,EQ,       972.05,       997.10,2.58,691.86

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,TECHM,EQ,       997.10,       972.05,2.58
,SBILIFE,EQ,       881.75,       862.85,2.19
,WIPRO,EQ,       446.45,       437.25,2.1
,ITC,EQ,       210.65,       207.80,1.37
,POWERGRID,EQ,       192.35,       190.20,1.13

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,TATAMOTORS,EQ,       267.50,       279.15,-4.17
,AXISBANK,EQ,       632.10,       658.40,-3.99
,TATASTEEL,EQ,       626.00,       651.95,-3.98
,GAIL,EQ,       127.70,       132.95,-3.95
,TITAN,EQ,      1440.70,      1499.85,-3.94

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        37.40,                  2814052.75,76020
,21STCENMGM,EQ,        10.85,                    42883.75,3955
,3IINFOTECH,EQ,         6.70,                185398945.90,27424269
,3MINDIA,EQ,     19845.85,                196409525.80,9886
,3PLAND,EQ,         9.70,                    47884.55,4692
,522GS2025,GS,        97.00,                     9603.00,99
,5PAISA,EQ,       276.15,                  7357685.00,26518
,63MOONS,BE,        75.15,                  2611392.25,34471
,645GS2029,GS,       100.80,                    61387.20,609
,726GS2029,GS,       103.70,                    10370.00,100
,757GS2033,GS,       110.30,                   241554.00,2190
,772GS2055,GS,       117.00,                    11934.00,102
,A2ZINFRA,EQ,         4.70,                  1940687.25,428312
,AAATECH,SM,        42.25,                   126750.00,3000
,AAKASH,EQ,        90.00,                  3133683.55,34466
,AARON,EQ,        47.20,                    77776.05,1625
,AARTIDRUGS,EQ,       695.90,                411729649.15,586200
,AARTIIND,EQ,      1131.10,                393878899.80,345588
,AARTISURF,EQ,       915.80,                  9608488.65,10408
,AARVEEDEN,BE,        20.05,                   279957.85,14385
,AARVI,EQ,        40.05,                   268279.20,6474
,AAVAS,EQ,      1853.05,                143866620.90,78320
,ABAN,BE,        27.45,                   834475.90,30486
,ABB,EQ,      1388.80,                254639768.10,184995
,ABCAPITAL,EQ,        80.40,                262305804.70,3228975
,ABFRL,EQ,       162.10,                336786393.50,2041719
,ABINFRA,SM,         7.35,                    58800.00,8000
,ABMINTLTD,BE,        24.45,                   124328.25,5085
,ABSLBANETF,EQ,       297.97,                    68502.99,225
,ABSLNN50ET,EQ,       326.21,                     3685.20,11
,ACCELYA,EQ,       914.95,                  1086433.70,1188
,ACCURACY,EQ,        37.75,                   253782.50,6569
,ACE,EQ,       132.55,                 38585734.80,294953
,ACRYSIL,EQ,       185.10,                  8906137.35,47263
,ADANIENT,EQ,       512.80,               1437423305.35,2792007
,ADANIPOWER,EQ,        49.60,                213395913.95,4252119
,ADFFOODS,EQ,       604.80,                 10320481.80,17093
,ADHUNIKIND,BE,        21.95,                   260614.80,11938
,ADL,BE,        27.95,                   300616.70,10732
,ADORWELD,EQ,       268.35,                  1956239.65,7273
,ADROITINFO,BE,         9.50,                     4287.75,445
,ADSL,EQ,        36.10,                  3789577.25,103396
,ADVANIHOTR,BE,        45.55,                   308752.05,6789
,ADVENZYMES,EQ,       321.55,                120891832.55,375835
,AEGISCHEM,EQ,       283.50,                132958739.35,471086
,AFFLE,EQ,      3723.40,                118176947.00,31549
,AGARIND,EQ,       153.90,                  2514612.55,16347
,AGCNET,BE,       760.00,                  3377046.75,4413
,AGRITECH,BE,        35.50,                   187209.30,5488
,AGROPHOS,EQ,        12.65,                   633027.80,49368
,AHLADA,SM,        70.00,                  2576000.00,37000
,AHLEAST,EQ,       157.00,                   289116.30,1859
,AHLUCONT,EQ,       268.20,                  6364473.45,23639
,AHLWEST,EQ,       247.15,                   106465.05,426
,AIAENG,EQ,      1982.65,                104744700.40,52891
,AIRAN,EQ,        19.25,                  5636693.70,289776
,AIROLAM,SM,        30.00,                    90000.00,3000
,AJANTPHARM,EQ,      1731.90,                154585045.85,88649
,AJMERA,EQ,       127.25,                  6773960.55,52808
,AJOONI,SM,        33.40,                   267600.00,8000
,AKASH,EQ,       236.35,                  3598115.95,15728
,AKG,SM,        87.25,                  2776960.00,32000
,AKSHARCHEM,EQ,       263.15,                  8660020.65,32411
,AKSHOPTFBR,EQ,         6.80,                  2106350.15,311829
,AKZOINDIA,EQ,      2297.80,                 69470468.25,30116
,ALANKIT,EQ,        16.85,                   811205.35,48410
,ALBERTDAVD,EQ,       421.40,                  2075925.10,4882
,ALCHEM,BZ,         4.55,                    39066.50,8586
