,29-Jan-2021
The Nifty witnessed an intraday movement of about 370.1 points.The closing index was 1.32 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 84498.74
, Traded Quantity (in Lakhs), 34884.21
, Number of Trades, 22283674
, Total Market Capitalisation (Rs. Crores), 18474450.22

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     13817.55,     13946.60,     13966.85,     13596.75,     13634.60,-182.95
,NIFTY50 EQL Wgt,     14802.80,     14928.55,     14973.25,     14519.40,     14567.75,-235.05
,NIFTY100 EQL Wgt,     15701.20,     15834.15,     15847.70,     15388.80,     15434.80,-266.4
,NIFTY100 LowVol30,     10927.30,     11012.75,     11016.15,     10686.45,     10720.60,-206.7
,NIFTY Alpha 50,     19571.60,     19723.20,     19788.55,     19242.70,     19275.45,-296.15
,NIFTY MIDCAP 150,      7900.75,      7980.70,      8019.05,      7858.80,      7883.40,-17.35
,NIFTY SMLCAP 50,      3685.40,      3723.20,      3739.10,      3648.45,      3656.70,-28.7
,NIFTY SMLCAP 250,      6160.05,      6221.05,      6245.10,      6131.95,      6139.65,-20.4
,NIFTY MIDSML 400,      7279.25,      7352.35,      7384.45,      7242.75,      7260.70,-18.55
,NIFTY200 QUALTY30,     12408.50,     12492.40,     12495.75,     12048.95,     12084.90,-323.6
,Nifty FinSrv25 50,     14294.80,     14449.90,     14546.25,     14223.70,     14268.20,-26.6
,NIFTY AlphaLowVol,     13741.15,     13836.95,     13841.20,     13345.40,     13392.80,-348.35
,Nifty200Momentm30,     13597.50,     13721.05,     13741.85,     13156.50,     13206.20,-391.3
,Nifty100ESGSecLdr,      2394.60,      2416.50,      2417.40,      2343.75,      2349.75,-44.85
,Nifty IT,     25301.25,     25516.80,     25539.85,     24559.65,     24645.75,-655.5
,Nifty Next 50,     32513.45,     32784.40,     32805.55,     31638.15,     31743.25,-770.2
,Nifty Bank,     30358.30,     30700.65,     31111.95,     30254.55,     30565.50,207.2
,NIFTY MIDCAP 100,     20989.95,     21220.40,     21322.20,     20832.10,     20909.85,-80.1
,Nifty 500,     11442.55,     11549.85,     11568.90,     11273.55,     11302.40,-140.15
,Nifty 100,     13947.25,     14075.65,     14089.40,     13704.15,     13743.30,-203.95
,Nifty Midcap 50,      6046.30,      6119.90,      6160.75,      5977.50,      6002.65,-43.65
,Nifty Realty,       304.15,       308.65,       311.70,       304.35,       305.65,1.5
,Nifty Infra,      3743.20,      3777.40,      3791.75,      3660.00,      3671.85,-71.35
,Nifty Energy,     16459.75,     16586.40,     16696.50,     16104.60,     16159.20,-300.55
,Nifty FMCG,     33625.85,     33832.20,     33864.45,     32972.25,     33121.05,-504.8
,Nifty MNC,     15767.50,     15886.00,     15905.95,     15450.25,     15492.10,-275.4
,Nifty Pharma,     12395.95,     12467.85,     12482.55,     12101.45,     12170.25,-225.7
,Nifty PSE,      2760.50,      2779.40,      2796.15,      2711.40,      2721.95,-38.55
,Nifty PSU Bank,      1783.85,      1808.70,      1860.15,      1786.80,      1814.05,30.2
,Nifty Serv Sector,     19381.90,     19584.70,     19598.60,     19147.50,     19205.05,-176.85
,India VIX,24.2900,24.2900,25.9900,22.0800,25.3425,1.0525
,Nifty Auto,     10105.60,     10221.85,     10308.90,      9776.90,      9813.15,-292.45
,Nifty Metal,      3138.10,      3175.60,      3183.60,      3062.70,      3077.45,-60.65
,Nifty Media,      1668.65,      1690.75,      1692.75,      1645.15,      1650.10,-18.55
,NIFTY SMLCAP 100,      7222.05,      7293.70,      7319.40,      7165.15,      7176.85,-45.2
,Nifty 200,      7172.55,      7240.10,      7250.35,      7057.30,      7076.80,-95.75
,Nifty Div Opps 50,      2896.75,      2916.75,      2920.15,      2830.55,      2839.35,-57.4
,Nifty Commodities,      3776.35,      3808.85,      3819.10,      3702.30,      3715.30,-61.05
,Nifty Consumption,      5975.55,      6018.75,      6022.90,      5799.40,      5818.15,-157.4
,Nifty Fin Service,     14602.85,     14768.55,     14876.40,     14545.35,     14593.30,-9.55
,Nifty50 Div Point,        86.40,        86.40,        86.40,        86.40,        86.40,0
,Nifty100 Liq 15,      3322.50,      3357.65,      3362.05,      3276.85,      3288.35,-34.15
,Nifty CPSE,      1583.00,      1590.95,      1602.85,      1550.30,      1557.60,-25.4
,Nifty GrowSect 15,      6754.25,      6827.10,      6832.05,      6669.15,      6688.15,-66.1
,Nifty50 PR 2x Lev,      5901.25,      6010.95,      6027.30,      5713.10,      5744.50,-156.75
,Nifty50 PR 1x Inv,       318.30,       315.35,       323.40,       314.95,       322.55,4.25
,Nifty50 TR 2x Lev,      7844.40,      7990.20,      8011.90,      7594.25,      7636.00,-208.4
,Nifty50 TR 1x Inv,       276.20,       273.65,       280.65,       273.30,       279.90,3.7
,Nifty50 Value 20,      7022.20,      7075.70,      7082.65,      6866.70,      6883.25,-138.95
,Nifty Mid Liq 15,      5412.00,      5492.70,      5555.30,      5381.70,      5404.40,-7.6
,Nifty Pvt Bank,     16553.00,     16742.00,     16965.00,     16525.00,     16694.30,141.3
,NIFTY100 Qualty30,      3315.90,      3341.10,      3342.85,      3236.00,      3245.40,-70.5
,Nifty GS 8 13Yr,      2256.66,      2257.03,      2257.18,      2255.25,      2255.34,-1.32
,Nifty GS 10Yr,      2035.71,      2036.04,      2036.45,      2034.73,      2035.64,-.07
,Nifty GS 10Yr Cln,       964.88,       964.88,       965.08,       964.25,       964.69,-.19
,Nifty GS 4 8Yr,      2399.06,      2399.42,      2401.67,      2398.32,      2399.65,.59
,Nifty GS 11 15Yr,      2433.16,      2433.59,      2433.59,      2431.37,      2431.37,-1.79
,Nifty GS 15YrPlus,      2709.12,      2709.61,      2713.24,      2709.61,      2712.81,3.69
,Nifty GS Compsite,      2298.10,      2298.48,      2298.57,      2297.14,      2297.17,-.93

,ADVANCES,868
,DECLINES,1044
,UNCHANGED,80

,Total securities that have hit their price bands today,351

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,RELIANCE,EQ,      1876.55,      1841.95,-1.84,3775.86
,TATAMOTORS,EQ,       266.80,       262.70,-1.54,3748.14
,SRTRANSFIN,EQ,      1111.10,      1291.35,16.22,2298.57
,MARUTI,EQ,      7588.50,      7206.65,-5.03,2264.81
,AXISBANK,EQ,       670.70,       662.90,-1.16,2073.7
,BAJFINANCE,EQ,      4810.25,      4734.55,-1.57,2067.57
,HDFCBANK,EQ,      1371.45,      1390.50,1.39,1992.39
,TVSMOTOR,EQ,       529.10,       560.70,5.97,1956.63
,ICICIBANK,EQ,       528.25,       537.00,1.66,1778.67
,HDFC,EQ,      2425.75,      2377.80,-1.98,1773.1
,TCS,EQ,      3196.55,      3111.35,-2.67,1711.56
,TATASTEEL,EQ,       623.70,       601.00,-3.64,1635.79
,INDUSINDBK,EQ,       802.60,       846.10,5.42,1623.96
,INFY,EQ,      1276.20,      1239.05,-2.91,1526.94
,HAVELLS,EQ,      1181.75,      1044.75,-11.59,1480.2
,BHARTIARTL,EQ,       570.90,       553.60,-3.03,1404.17
,DRREDDY,EQ,      4871.80,      4602.70,-5.52,1394.86
,SUNPHARMA,EQ,       564.35,       586.20,3.87,1306.37
,SBIN,EQ,       282.35,       282.10,-0.09,1199.13
,HINDUNILVR,EQ,      2300.40,      2263.90,-1.59,1018.95
,SAIL,EQ,        56.95,        57.65,1.23,1006.73
,IRFC,EQ,        26.00,        24.80,-4.62,957.88
,KOTAKBANK,EQ,      1722.85,      1712.95,-0.57,886.05
,RBLBANK,EQ,       215.05,       213.80,-0.58,815.25
,HCLTECH,EQ,       933.95,       914.00,-2.14,713.67

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,INDUSINDBK,EQ,       846.10,       802.60,5.42
,SUNPHARMA,EQ,       586.20,       564.35,3.87
,ICICIBANK,EQ,       537.00,       528.25,1.66
,HDFCBANK,EQ,      1390.50,      1371.45,1.39
,HDFCLIFE,EQ,       677.95,       671.80,.92

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,DRREDDY,EQ,      4602.70,      4871.80,-5.52
,MARUTI,EQ,      7206.65,      7588.50,-5.03
,HEROMOTOCO,EQ,      3256.05,      3397.40,-4.16
,TATASTEEL,EQ,       601.00,       623.70,-3.64
,WIPRO,EQ,       417.90,       431.90,-3.24

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        36.65,                  1707376.95,46077
,21STCENMGM,EQ,        11.15,                     7983.20,725
,3IINFOTECH,EQ,         6.65,                201252262.45,29646491
,3MINDIA,EQ,     19161.50,                360818836.00,18837
,3PLAND,EQ,         9.50,                    43442.15,4528
,5PAISA,EQ,       265.05,                  8179257.30,30621
,63MOONS,BE,        76.80,                  2013418.50,26262
,68GS2060,GS,       104.00,                     4028.00,39
,719GS2060,GS,       111.00,                    11100.00,100
,757GS2033,GS,       110.30,                     1103.00,10
,824GS2033,GS,       110.00,                    11000.00,100
,A2ZINFRA,EQ,         4.55,                  1484732.80,320555
,AAATECH,SM,        42.90,                   128700.00,3000
,AAKASH,EQ,        90.00,                  5921983.95,65843
,AARON,EQ,        49.10,                   341857.85,7111
,AARTIDRUGS,EQ,       673.40,                219906935.25,322134
,AARTIIND,EQ,      1159.25,               1143218978.30,979050
,AARTISURF,EQ,       919.95,                 15763865.35,17013
,AARVEEDEN,BE,        19.70,                    76810.75,3905
,AARVI,EQ,        41.95,                   208589.75,4913
,AAVAS,EQ,      1807.75,                111766616.65,62169
,ABAN,BE,        27.00,                   700961.85,25865
,ABB,EQ,      1388.30,                231670219.70,166513
,ABCAPITAL,EQ,        80.80,                158100010.10,1947233
,ABFRL,EQ,       150.10,                517004486.20,3390594
,ABINFRA,SM,         6.65,                    53200.00,8000
,ABMINTLTD,BE,        26.90,                    31446.10,1169
,ABSLBANETF,EQ,       304.07,                    46590.11,155
,ABSLNN50ET,EQ,       321.86,                    82253.32,246
,ABSLRIF6RG,MF,         7.70,                      231.00,30
,ACCELYA,EQ,       920.35,                  1621500.15,1757
,ACCURACY,EQ,        36.10,                    54996.35,1512
,ACE,EQ,       128.45,                 49132129.00,374320
,ACRYSIL,EQ,       186.85,                  2945787.00,15607
,ADANIENT,EQ,       506.65,               1973320487.05,3822560
,ADANIPOWER,EQ,        51.30,                268559721.80,5298883
,ADFFOODS,EQ,       638.25,                 75587658.70,115591
,ADHUNIKIND,BE,        23.00,                   125402.45,5354
,ADL,BE,        27.85,                    30130.10,1084
,ADORWELD,EQ,       268.50,                  2446963.20,9114
,ADROITINFO,BE,         9.30,                    42124.80,4521
,ADSL,EQ,        39.75,                  4838553.20,122242
,ADVANIHOTR,BE,        46.20,                   196721.00,4267
,ADVENZYMES,EQ,       316.60,                 24528492.70,77229
,AEGISCHEM,EQ,       284.15,                 92501689.60,326986
,AFFLE,EQ,      3646.00,                 96150411.20,26140
,AGARIND,EQ,       138.60,                  7962082.85,55817
,AGCNET,BE,       753.10,                  2289764.15,3025
,AGRITECH,BE,        36.45,                   120377.00,3314
,AGROPHOS,EQ,        12.85,                   660323.60,52081
,AHLADA,EQ,        71.00,                  1502369.30,21182
,AHLEAST,EQ,       156.35,                    21722.65,139
,AHLUCONT,EQ,       269.80,                  6084043.70,22575
,AHLWEST,EQ,       246.35,                    75211.90,305
,AIAENG,EQ,      1954.15,                 69102857.65,35593
,AIRAN,EQ,        18.75,                   406232.15,21560
,AISL,SM,        24.35,                    58440.00,2400
,AJANTPHARM,EQ,      1766.00,                192098054.00,108535
,AJMERA,EQ,       127.25,                  3343688.60,26053
,AKASH,EQ,       226.55,                 14310566.55,62373
,AKG,SM,        88.90,                  3355840.00,38400
,AKSHARCHEM,EQ,       260.85,                  2595231.95,9875
,AKSHOPTFBR,EQ,         7.05,                  1771038.05,246243
,AKZOINDIA,EQ,      2228.00,                 51067313.35,22583
,ALANKIT,EQ,        16.65,                  1236360.70,73908
,ALBERTDAVD,EQ,       425.80,                  1466114.70,3438
,ALCHEM,BZ,         4.45,                    27886.60,6365
,ALEMBICLTD,EQ,        93.80,                 28575212.35,300501
,ALICON,EQ,       410.70,                  1395075.40,3345
,ALKALI,EQ,        53.65,                   609289.40,11245
,ALKYLAMINE,EQ,      4783.40,                162025033.50,33266
,ALLCARGO,EQ,       130.60,                 18867286.00,144393
,ALLSEC,EQ,       283.95,                  9898821.05,33687
,ALMONDZ,EQ,        20.00,                   111336.55,5580
,ALOKINDS,EQ,        21.25,                126481058.25,5918142
,ALPA,BE,        36.05,                   263716.05,7321
,ALPHAGEO,BE,       202.65,                   896523.60,4424
,ALPSINDUS,BE,         2.65,                    59006.65,22212
,AMARAJABAT,EQ,       918.20,                903072861.35,962606
,AMBER,EQ,      2579.75,                197481486.80,76618
,AMBIKCO,EQ,       993.50,                 15786034.25,15755
,AMDIND,EQ,        18.60,                   127817.15,6805
,AMJLAND,EQ,        24.90,                   261509.15,10279
,AMRUTANJAN,EQ,       493.95,                 15397055.15,30746
,ANANTRAJ,EQ,        41.00,                 35541991.15,872255
,ANDHRACEMT,EQ,         5.35,                  1394559.30,263713
,ANDHRAPAP,EQ,       205.90,                 14179329.00,69022
,ANDHRSUGAR,EQ,       309.60,                 10068978.35,32196
,ANGELBRKG,EQ,       342.50,                249744567.10,712678
,ANIKINDS,BE,        14.35,                   215114.45,15032
,ANSALAPI,BE,         8.25,                   630044.95,78659
,ANSALHSG,EQ,         6.60,                   170986.05,25777
,ANUP,EQ,       708.85,                  8349621.95,11700
,APARINDS,EQ,       363.70,                 71827637.30,192234
,APCL,EQ,       205.35,                  4691139.55,22853
,APCOTEXIND,EQ,       180.20,                 38393515.30,208385
,APEX,EQ,       273.55,                 19823730.10,71971
,APLAPOLLO,EQ,       906.65,                508346948.85,556216
,APLLTD,EQ,       952.70,                538191239.50,568756
,APOLLO,EQ,       121.20,                 11366186.15,92830
,APOLLOHOSP,EQ,      2561.25,               2408950792.80,921579
,APOLLOPIPE,EQ,       709.50,                 36257954.00,51162
,APOLLOTYRE,EQ,       196.65,               4315464456.75,21472526
,APOLSINHOT,EQ,       545.65,                   184683.30,337
,APTECHT,EQ,       179.15,                258559671.75,1415428
,ARCHIDPLY,BE,        35.00,                   348243.55,9945
,ARCHIES,EQ,        12.10,                   588388.90,47988
,ARCOTECH,BZ,         2.25,                    30522.75,13816
,ARENTERP,EQ,        11.25,                     7629.35,681
,ARIES,EQ,        95.65,                  7588820.00,78567
,ARIHANT,EQ,        24.05,                    53446.00,2136
,ARIHANTSUP,EQ,        37.00,                   359377.15,9685
,ARMANFIN,EQ,       700.30,                 31778180.60,44889
,AROGRANITE,EQ,        44.20,                  3100030.20,67373
,ARROWGREEN,EQ,        53.60,                   662710.20,11963
,ARSHIYA,EQ,        28.00,                   738728.20,26210
,ARSSINFRA,EQ,        25.00,                   452033.60,18089
,ARTEMISMED,BE,       210.00,                   642465.80,3124
,ARVIND,EQ,        53.20,                114274757.25,2146182
,ARVINDFASN,EQ,       144.45,                 29241973.00,201718
,ARVSMART,EQ,        97.70,                  7716742.80,78101
,ASAHIINDIA,EQ,       264.40,                 14536527.05,54440
,ASAHISONG,EQ,       246.15,                 10455289.25,41837
,ASAL,EQ,        36.10,                   319701.95,8886
,ASALCBR,EQ,       308.90,                 12846404.50,41498
,ASHAPURMIN,EQ,       117.00,                 27211288.30,226978
,ASHIANA,EQ,       101.55,                  4188148.05,41258
,ASHIMASYN,BE,        13.10,                   158712.25,11996
,ASHOKA,EQ,        87.40,                 61467742.15,693429
,ASHOKLEY,EQ,       110.80,               3341755062.00,29598954
,ASIANHOTNR,EQ,        69.25,                   275615.20,3914
,ASIANTILES,EQ,       288.85,                 58935289.05,203325
,ASLIND,SM,        15.45,                    61800.00,4000
,ASPINWALL,EQ,       152.50,                   156544.30,1013
,ASTEC,EQ,      1040.90,                 28721115.90,27392
,ASTERDM,EQ,       158.45,                 32098212.50,201991
,ASTRAL,EQ,      1716.80,                164963585.45,95996
,ASTRAMICRO,EQ,       116.50,                 14854567.55,127203
,ASTRAZEN,EQ,      3625.45,                153551581.95,41670
,ASTRON,EQ,        42.45,                  1245317.10,29308
,ATALREAL,SM,        36.45,                   117520.00,3200
,ATFL,EQ,       809.80,                  8320472.45,10322
,ATGL,EQ,       381.05,                425543498.35,1112580
,ATLANTA,EQ,         8.35,                   506636.10,60489
,ATUL,EQ,      6372.60,                496937913.05,77724
,ATULAUTO,EQ,       177.45,                 10126789.30,56550
,AUBANK,EQ,       872.50,                980733171.45,1127886
,AURIONPRO,EQ,        75.25,                  1014124.25,13438
,AUSOMENT,EQ,        48.25,                   116564.10,2382
,AUTOAXLES,EQ,      1000.30,                  5180628.10,5123
,AUTOIND,EQ,        31.25,                   320221.90,10182
,AUTOLITIND,BZ,        29.65,                   223604.75,7643
,AVADHSUGAR,EQ,       193.45,                  6970023.20,35620
,AVANTIFEED,EQ,       508.75,                 71969987.20,140541
,AVTNPL,EQ,        43.00,                  9140693.30,209221
,AWHCL,EQ,       282.65,                 55293060.10,194966
,AXISBNKETF,EQ,       305.31,                   211264.85,694
,AXISCADES,EQ,        50.85,                  1493626.30,28980
,AXISGOLD,EQ,        42.62,                  3005563.58,70447
,AXISNIFTY,EQ,       144.98,                  1028384.59,7138
,AYMSYNTEX,BE,        45.90,                  2481404.90,54882
,BAFNAPH,BE,       124.25,                   713031.95,5475
,BAGFILMS,BE,         2.60,                   399394.70,154006
,BAJAJCON,EQ,       209.25,                 89372122.10,422356
,BAJAJELEC,EQ,       725.15,                122869369.55,167871
,BAJAJHIND,EQ,         6.55,                 15214041.15,2284879
,BALAJITELE,EQ,        60.70,                  3158265.15,51888
,BALAMINES,EQ,      1124.40,                 66263286.45,58161
,BALAXI,EQ,       527.20,                  1333623.10,2478
,BALKRISHNA,BE,        23.95,                     1797.50,75
,BALKRISIND,EQ,      1588.35,               1258989852.15,773217
,BALLARPUR,BZ,         1.35,                  1422376.20,1053612
,BALMLAWRIE,EQ,       118.85,                 51815829.45,432998
,BALPHARMA,BE,        51.60,                   358716.35,6880
,BALRAMCHIN,EQ,       171.25,                 34527527.10,200084
,BANARBEADS,EQ,        58.15,                  1602399.90,27414
,BANARISUG,EQ,      1459.65,                  1647265.10,1129
,BANCOINDIA,EQ,       136.40,                 20736029.40,151183
,BANG,EQ,        26.40,                   101615.20,3840
,BANKA,EQ,        65.80,                   964045.35,14665
,BANKBEES,EQ,       307.06,                250651498.32,815471
,BANKINDIA,EQ,        49.80,                233917992.40,4690747
,BANSWRAS,EQ,       103.10,                   586845.40,5613
,BARTRONICS,BZ,         3.05,                    41726.10,13633
,BASF,EQ,      1561.50,                 20566043.05,13028
,BASML,BE,       141.85,                   707203.95,5004
,BATAINDIA,EQ,      1501.30,                519087574.75,340412
,BAYERCROP,EQ,      5373.25,                100095962.15,18549
,BBL,EQ,       874.80,                  9629956.55,10976
,BBTC,EQ,      1205.45,                 31310158.00,25754
,BBTCL,SM,        57.90,                   347400.00,6000
,BCG,EQ,         7.10,                 16654806.55,2330682
,BCONCEPTS,SM,        27.05,                   791700.00,30000
,BCP,BE,         6.00,                  2501334.05,417353
,BDL,EQ,       331.00,                 33185779.40,99849
,BEARDSELL,EQ,         9.35,                    58536.85,6118
,BECTORFOOD,EQ,       374.95,                145611226.10,382485
,BEDMUTHA,EQ,        26.35,                   109965.00,4155
,BEL,EQ,       130.05,               3440754038.45,25872491
,BEML,EQ,       910.80,                354303329.15,386738
,BEPL,EQ,       143.10,                148039524.95,1020691
,BETA,SM,       114.55,                  1468720.00,12800
,BFINVEST,EQ,       271.00,                  3908241.00,14288
,BFUTILITIE,EQ,       269.10,                 50371269.50,185548
,BGRENERGY,BE,        41.40,                   848916.85,20438
,BHAGERIA,EQ,       157.55,                  8901938.15,56110
,BHAGYANGR,BE,        31.00,                   202586.55,6521
,BHAGYAPROP,EQ,        23.55,                   360741.00,15176
,BHANDARI,EQ,         3.25,                 17046545.95,5163664
,BHARATFORG,EQ,       583.80,               1640869611.70,2767087
,BHARATGEAR,BE,        64.25,                  1659306.25,25469
,BHARATRAS,EQ,      9990.05,                 24179754.95,2416
,BHARATWIRE,EQ,        32.45,                   611970.70,18871
,BHEL,EQ,        36.05,               1908013660.80,52158893
,BIGBLOC,BE,        98.40,                   507493.75,5151
,BIL,EQ,       138.50,                   188591.00,1358
,BINDALAGRO,EQ,        17.35,                   801664.15,45692
,BIOFILCHEM,BE,       102.90,                  2396541.00,23290
,BIRLACABLE,EQ,        60.35,                  7864605.00,127936
,BIRLACORPN,EQ,       718.15,                112184250.90,156264
,BIRLAMONEY,EQ,        43.55,                  3083314.90,70473
,BIRLATYRE,EQ,        30.90,                 21688330.80,706042
,BKMINDST,BE,         1.10,                    28523.45,24958
,BLBLIMITED,EQ,         5.50,                   122908.50,22347
,BLISSGVS,EQ,       183.90,                208604479.25,1115199
