,10-Mar-2021
The Nifty witnessed an intraday movement of about 117.6 points.The closing index was 0.51 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 54391.69
, Traded Quantity (in Lakhs), 25450.88
, Number of Trades, 17560913
, Total Market Capitalisation (Rs. Crores), 20808441.96

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     15098.40,     15202.15,     15218.45,     15100.85,     15174.80,76.4
,NIFTY50 EQL Wgt,     16326.50,     16452.05,     16465.45,     16331.10,     16428.90,102.4
,NIFTY100 EQL Wgt,     17245.80,     17366.35,     17383.25,     17243.60,     17338.20,92.4
,NIFTY100 LowVol30,     11373.80,     11458.05,     11459.40,     11390.05,     11431.60,57.8
,NIFTY Alpha 50,     22215.10,     22383.10,     22623.55,     22344.10,     22599.15,384.05
,NIFTY MIDCAP 150,      9100.55,      9171.35,      9195.45,      9124.80,      9169.25,68.7
,NIFTY SMLCAP 50,      4157.10,      4192.65,      4237.50,      4178.55,      4231.80,74.7
,NIFTY SMLCAP 250,      7112.40,      7165.15,      7191.45,      7139.10,      7187.95,75.55
,NIFTY MIDSML 400,      8390.80,      8455.10,      8476.25,      8416.40,      8462.20,71.4
,NIFTY200 QUALTY30,     12346.30,     12424.10,     12472.45,     12401.40,     12457.20,110.9
,Nifty FinSrv25 50,     16328.70,     16435.15,     16454.45,     16277.30,     16369.50,40.8
,NIFTY AlphaLowVol,     13925.00,     14013.20,     14074.40,     13986.75,     14052.95,127.95
,Nifty200Momentm30,     14597.20,     14719.60,     14825.25,     14674.05,     14802.60,205.4
,Nifty100ESGSecLdr,      2553.95,      2569.90,      2573.65,      2557.20,      2568.40,14.45
,Nifty IT,     25582.35,     25862.05,     26136.55,     25782.30,     26010.10,427.75
,Nifty Next 50,     34927.50,     35143.95,     35223.60,     34947.75,     35138.00,210.5
,Nifty Bank,     35865.65,     36112.25,     36176.90,     35764.35,     35938.30,72.65
,NIFTY MIDCAP 100,     24024.25,     24220.20,     24287.20,     24075.40,     24220.10,195.85
,Nifty 500,     12617.20,     12705.10,     12722.60,     12627.80,     12691.35,74.15
,Nifty 100,     15206.00,     15309.10,     15327.00,     15209.65,     15284.85,78.85
,Nifty Midcap 50,      6931.65,      6992.75,      7019.80,      6945.65,      6996.95,65.3
,Nifty Realty,       350.10,       353.85,       356.65,       350.85,       352.25,2.15
,Nifty Infra,      4247.50,      4278.65,      4281.30,      4234.40,      4256.30,8.8
,Nifty Energy,     19385.15,     19544.25,     19548.45,     19238.70,     19331.25,-53.9
,Nifty FMCG,     33215.85,     33393.05,     33424.50,     33220.00,     33402.75,186.9
,Nifty MNC,     16199.15,     16276.75,     16309.90,     16233.45,     16276.25,77.1
,Nifty Pharma,     12133.85,     12218.45,     12335.90,     12180.15,     12313.25,179.4
,Nifty PSE,      3277.60,      3308.70,      3309.15,      3250.30,      3270.50,-7.1
,Nifty PSU Bank,      2355.55,      2379.65,      2389.60,      2342.90,      2351.90,-3.65
,Nifty Serv Sector,     21308.85,     21452.80,     21491.60,     21326.30,     21416.55,107.7
,India VIX,22.4950,22.4950,22.4950,19.3150,20.7475,-1.7475
,Nifty Auto,     10464.25,     10525.75,     10613.60,     10511.15,     10559.30,95.05
,Nifty Metal,      3802.70,      3838.00,      3886.25,      3786.60,      3873.65,70.95
,Nifty Media,      1724.75,      1735.00,      1745.80,      1724.90,      1730.10,5.35
,NIFTY SMLCAP 100,      8323.90,      8392.20,      8446.05,      8362.60,      8439.35,115.45
,Nifty 200,      7865.90,      7920.60,      7930.90,      7869.65,      7909.55,43.65
,Nifty Div Opps 50,      3063.20,      3087.05,      3087.90,      3065.10,      3080.95,17.75
,Nifty Commodities,      4463.95,      4500.30,      4501.10,      4448.80,      4491.80,27.85
,Nifty Consumption,      5938.70,      5966.70,      5982.55,      5953.55,      5975.85,37.15
,Nifty Fin Service,     16649.75,     16745.45,     16772.55,     16610.35,     16689.70,39.95
,Nifty50 Div Point,       110.23,       110.23,       110.23,       110.23,       110.23,0
,Nifty100 Liq 15,      3790.20,      3815.10,      3821.25,      3786.25,      3810.20,20
,Nifty CPSE,      1892.15,      1905.35,      1906.20,      1870.20,      1881.90,-10.25
,Nifty GrowSect 15,      7252.10,      7287.95,      7299.40,      7247.10,      7268.95,16.85
,Nifty50 PR 2x Lev,      6972.35,      7067.50,      7081.00,      6974.55,      7042.25,69.9
,Nifty50 PR 1x Inv,       290.30,       288.35,       290.30,       288.05,       288.90,-1.4
,Nifty50 TR 2x Lev,      9297.95,      9424.85,      9442.90,      9300.95,      9391.20,93.25
,Nifty50 TR 1x Inv,       251.50,       249.80,       251.50,       249.55,       250.25,-1.25
,Nifty50 Value 20,      7382.15,      7445.25,      7466.25,      7410.00,      7447.70,65.55
,Nifty Mid Liq 15,      5841.50,      5892.70,      5925.55,      5873.75,      5904.10,62.6
,Nifty Pvt Bank,     19192.50,     19328.20,     19371.40,     19154.15,     19250.75,58.25
,NIFTY100 Qualty30,      3366.25,      3388.20,      3397.30,      3379.85,      3393.65,27.4
,Nifty GS 8 13Yr,      2201.44,      2201.82,      2202.88,      2199.88,      2199.88,-1.56
,Nifty GS 10Yr,      2003.01,      2003.34,      2005.31,      1997.22,      1998.03,-4.98
,Nifty GS 10Yr Cln,       942.79,       942.79,       943.73,       939.86,       940.24,-2.55
,Nifty GS 4 8Yr,      2355.59,      2355.95,      2357.38,      2354.07,      2354.48,-1.11
,Nifty GS 11 15Yr,      2352.46,      2352.89,      2354.19,      2350.03,      2350.26,-2.2
,Nifty GS 15YrPlus,      2606.90,      2607.39,      2607.39,      2603.63,      2605.34,-1.56
,Nifty GS Compsite,      2247.98,      2248.36,      2249.53,      2246.27,      2246.31,-1.67

,ADVANCES,1080
,DECLINES,851
,UNCHANGED,101

,Total securities that have hit their price bands today,321

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,TATAMOTORS,EQ,       315.20,       321.45,1.98,1883.22
,TATASTEEL,EQ,       706.75,       724.50,2.51,1407.91
,BAJFINANCE,EQ,      5415.05,      5545.05,2.4,1207.93
,RELIANCE,EQ,      2191.05,      2181.95,-0.42,1163.01
,INFY,EQ,      1345.55,      1368.15,1.68,1082.03
,AXISBANK,EQ,       745.45,       760.75,2.05,1013.89
,ICICIBANK,EQ,       625.10,       625.60,0.08,991.12
,BHARTIARTL,EQ,       521.75,       525.85,0.79,977.75
,TCS,EQ,      3050.95,      3070.95,0.66,939.74
,INDUSINDBK,EQ,      1024.80,      1039.85,1.47,923.68
,SBIN,EQ,       387.60,       387.70,0.03,880.35
,HDFCBANK,EQ,      1562.50,      1555.75,-0.43,862.2
,HCLTECH,EQ,       973.15,       988.50,1.58,760.47
,WIPRO,EQ,       419.20,       426.70,1.79,738.5
,HDFC,EQ,      2577.30,      2599.80,0.87,667.15
,MINDTREE,EQ,      1796.35,      1892.45,5.35,620.79
,HINDUNILVR,EQ,      2198.50,      2227.85,1.34,598.74
,KOTAKBANK,EQ,      1978.95,      1963.95,-0.76,545.51
,TECHM,EQ,       988.15,      1008.75,2.08,530.79
,EICHERMOT,EQ,      2592.70,      2672.30,3.07,527.06
,BPCL,EQ,       445.90,       445.50,-0.09,524.59
,VEDL,EQ,       224.50,       226.25,0.78,505.49
,ADANIENT,EQ,       905.20,       898.15,-0.78,492.48
,MARUTI,EQ,      7301.55,      7272.10,-0.4,482.51
,BHEL,EQ,        54.85,        54.80,-0.09,472.27

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,JSWSTEEL,EQ,       414.00,       401.60,3.09
,EICHERMOT,EQ,      2672.30,      2592.70,3.07
,TATASTEEL,EQ,       724.50,       706.75,2.51
,BAJFINANCE,EQ,      5545.05,      5415.05,2.4
,SUNPHARMA,EQ,       626.00,       612.60,2.19

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,SBILIFE,EQ,       940.75,       971.30,-3.15
,ONGC,EQ,       114.40,       116.75,-2.01
,IOC,EQ,        98.85,       100.55,-1.69
,HDFCLIFE,EQ,       731.35,       740.20,-1.2
,GAIL,EQ,       147.70,       149.05,-0.91

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        38.55,                 20875727.80,540420
,21STCENMGM,EQ,        12.75,                    40621.50,3186
,3IINFOTECH,EQ,         8.05,                162031861.70,20361191
,3MINDIA,EQ,     25897.35,                 73622970.00,2818
,3PLAND,EQ,         9.40,                   222686.05,23706
,585GS2030,GS,        95.04,                    19008.00,200
,5PAISA,EQ,       285.10,                 19932521.55,69657
,619GS2034,GS,        94.50,                     9450.00,100
,63MOONS,EQ,        79.90,                  2302917.70,28808
,716GS2050,GS,       114.50,                    10335.00,90
,763GS2059,GS,       115.00,                    11500.00,100
,772GS2049,GS,       117.00,                   226637.60,1940
,A2ZINFRA,EQ,         4.30,                  1536559.05,356660
,AAATECH,SM,        42.00,                   126000.00,3000
,AAKASH,BE,       126.70,                  1051031.50,8293
,AARON,EQ,        63.05,                   345493.20,5360
,AARTIDRUGS,EQ,       670.75,                150096573.85,222757
,AARTIIND,EQ,      1276.25,                214360685.75,168918
,AARTISURF,EQ,      1028.90,                  9357654.40,9068
,AARVEEDEN,EQ,        17.75,                   232703.40,13204
,AARVI,EQ,        55.50,                   433922.85,7599
,AAVAS,EQ,      2213.05,                 69440981.00,31338
,ABAN,EQ,        39.30,                 10708510.10,276957
,ABB,EQ,      1466.25,                195127836.90,131725
,ABCAPITAL,EQ,       134.35,                373476303.55,2776312
,ABFRL,EQ,       217.85,                404468297.95,1863064
,ABFRLPP1,E1,       183.05,                 20605583.10,113348
,ABMINTLTD,EQ,        63.05,                   563921.05,8978
,ABSLBANETF,EQ,       357.74,                     6444.03,18
,ABSLNN50ET,EQ,       368.00,                   142678.52,396
,ABSLRIF6RG,MF,         8.44,                   167653.88,20007
,ACCELYA,EQ,       900.85,                  6033983.60,6674
,ACCURACY,EQ,        54.20,                   579241.25,10723
,ACE,EQ,       164.05,                 31940303.05,192274
,ACEINTEG,SM,        14.45,                    86700.00,6000
,ACRYSIL,EQ,       366.30,                 29749311.25,80735
,ADANIENT,EQ,       898.15,               4924790824.15,5465016
,ADANIPOWER,EQ,        77.80,               2582517412.15,32046833
,ADFFOODS,EQ,       929.70,                 13165620.00,14112
,ADHUNIKIND,EQ,        20.70,                   226403.50,10813
,ADL,BE,        31.40,                    16136.20,530
,ADORWELD,EQ,       313.80,                  9222081.15,29492
,ADROITINFO,EQ,        12.10,                    65001.20,5372
,ADSL,EQ,        40.70,                  6172204.85,151619
,ADVANIHOTR,EQ,        65.60,                  3830255.05,57773
,ADVENZYMES,EQ,       352.00,                102135717.55,290383
,AEGISCHEM,EQ,       320.60,                400931484.60,1247734
,AFFLE,EQ,      5837.50,                330635804.70,57203
,AFL-RE,BE,        29.90,                  6617562.90,217770
,AGARIND,BE,       150.60,                   305198.65,2018
,AGCNET,EQ,       994.50,                  6434545.55,6464
,AGRITECH,EQ,        33.90,                   264965.65,7769
,AGROPHOS,EQ,        12.65,                   241865.35,19029
,AHLADA,EQ,       108.45,                  1334800.20,12229
,AHLEAST,EQ,       168.65,                  1003332.05,5959
,AHLUCONT,EQ,       300.25,                 42035850.40,140304
,AHLWEST,EQ,       238.10,                   558971.00,2346
,AIAENG,EQ,      1918.35,                145355321.25,75900
,AIRAN,EQ,        16.65,                   695334.75,41299
,AISL,SM,        34.10,                   535560.00,15600
,AJANTPHARM,EQ,      1807.15,                139918083.95,77856
,AJMERA,EQ,       130.50,                  5843478.90,44654
,AJOONI,SM,        29.75,                   264418.00,8888
,AKASH,EQ,       214.80,                  9381095.25,44350
,AKG,EQ,       101.65,                 14884114.30,146683
,AKSHARCHEM,EQ,       248.60,                  5370406.00,21653
,AKSHOPTFBR,EQ,         6.65,                  1919207.35,290214
