,17-Mar-2021
The Nifty witnessed an intraday movement of about 260.5 points.The closing index was 1.27 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 59471.87
, Traded Quantity (in Lakhs), 25746.06
, Number of Trades, 18878571
, Total Market Capitalisation (Rs. Crores), 20248407.45

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     14910.45,     14946.55,     14956.55,     14696.05,     14721.30,-189.15
,NIFTY50 EQL Wgt,     16228.00,     16243.65,     16243.65,     15883.85,     15915.85,-312.15
,NIFTY100 EQL Wgt,     17169.90,     17179.00,     17180.65,     16799.75,     16831.30,-338.6
,NIFTY100 LowVol30,     11320.15,     11342.55,     11347.90,     11141.55,     11161.60,-158.55
,NIFTY Alpha 50,     22616.05,     22670.70,     22730.35,     22090.90,     22131.20,-484.85
,NIFTY MIDCAP 150,      9109.30,      9124.80,      9136.10,      8889.15,      8907.45,-201.85
,NIFTY SMLCAP 50,      4236.05,      4246.25,      4251.70,      4123.80,      4135.35,-100.7
,NIFTY SMLCAP 250,      7178.65,      7202.20,      7211.15,      7004.30,      7018.60,-160.05
,NIFTY MIDSML 400,      8420.70,      8439.25,      8449.40,      8217.20,      8233.80,-186.9
,NIFTY200 QUALTY30,     12378.85,     12397.40,     12404.00,     12224.40,     12242.60,-136.25
,Nifty FinSrv25 50,     15909.70,     15963.75,     15978.85,     15656.60,     15690.60,-219.1
,NIFTY AlphaLowVol,     13939.45,     13950.95,     13957.45,     13709.60,     13736.75,-202.7
,Nifty200Momentm30,     14750.60,     14760.65,     14773.05,     14472.80,     14502.00,-248.6
,Nifty100ESGSecLdr,      2532.55,      2537.90,      2540.60,      2499.05,      2503.05,-29.5
,Nifty IT,     26363.85,     26378.20,     26657.10,     26113.75,     26183.50,-180.35
,Nifty Next 50,     34786.00,     34812.10,     34861.35,     34025.55,     34102.10,-683.9
,Nifty Bank,     34804.60,     34905.05,     35100.50,     34126.85,     34229.25,-575.35
,NIFTY MIDCAP 100,     24048.30,     24099.25,     24137.75,     23392.15,     23451.60,-596.7
,Nifty 500,     12512.70,     12540.15,     12546.55,     12301.15,     12319.90,-192.8
,Nifty 100,     15033.30,     15066.45,     15074.80,     14805.75,     14828.85,-204.45
,Nifty Midcap 50,      6937.05,      6940.15,      6953.85,      6722.70,      6741.85,-195.2
,Nifty Realty,       346.00,       345.80,       348.05,       334.20,       335.75,-10.25
,Nifty Infra,      4198.05,      4200.95,      4204.75,      4092.55,      4100.75,-97.3
,Nifty Energy,     19293.20,     19279.00,     19298.60,     18654.55,     18693.95,-599.25
,Nifty FMCG,     33351.75,     33594.15,     33595.60,     33136.10,     33194.60,-157.15
,Nifty MNC,     16155.90,     16177.75,     16181.60,     15909.65,     15927.95,-227.95
,Nifty Pharma,     12013.00,     12028.70,     12032.50,     11747.60,     11787.50,-225.5
,Nifty PSE,      3296.45,      3289.55,      3292.15,      3184.15,      3193.35,-103.1
,Nifty PSU Bank,      2285.15,      2284.00,      2289.75,      2188.00,      2199.05,-86.1
,Nifty Serv Sector,     21037.60,     21091.75,     21181.95,     20775.55,     20820.10,-217.5
,India VIX,20.1900,20.1900,20.4200,18.6200,20.1575,-0.0325
,Nifty Auto,     10350.80,     10369.75,     10378.80,     10133.90,     10159.10,-191.7
,Nifty Metal,      3847.25,      3842.75,      3844.40,      3737.80,      3752.70,-94.55
,Nifty Media,      1689.25,      1686.70,      1695.05,      1634.65,      1638.90,-50.35
,NIFTY SMLCAP 100,      8441.40,      8463.65,      8483.45,      8234.30,      8255.15,-186.25
,Nifty 200,      7788.55,      7805.65,      7809.70,      7659.40,      7671.75,-116.8
,Nifty Div Opps 50,      3089.55,      3097.15,      3099.50,      3035.05,      3041.45,-48.1
,Nifty Commodities,      4473.60,      4475.20,      4477.85,      4356.50,      4365.85,-107.75
,Nifty Consumption,      5926.20,      5942.10,      5942.30,      5846.95,      5853.65,-72.55
,Nifty Fin Service,     16167.15,     16219.35,     16295.05,     15937.75,     15977.40,-189.75
,Nifty50 Div Point,       112.66,       112.66,       112.66,       112.66,       112.66,0
,Nifty100 Liq 15,      3737.25,      3741.95,      3744.25,      3656.30,      3663.75,-73.5
,Nifty CPSE,      1886.00,      1885.15,      1886.85,      1821.30,      1827.55,-58.45
,Nifty GrowSect 15,      7080.90,      7110.85,      7134.30,      7003.50,      7018.05,-62.85
,Nifty50 PR 2x Lev,      6794.30,      6826.65,      6833.80,      6598.80,      6621.30,-173
,Nifty50 PR 1x Inv,       294.10,       293.45,       298.35,       293.30,       297.90,3.8
,Nifty50 TR 2x Lev,      9063.55,      9106.65,      9116.20,      8802.75,      8832.80,-230.75
,Nifty50 TR 1x Inv,       254.75,       254.20,       258.45,       254.05,       258.05,3.3
,Nifty50 Value 20,      7451.70,      7482.60,      7497.60,      7365.50,      7380.95,-70.75
,Nifty Mid Liq 15,      5852.45,      5858.70,      5860.00,      5698.05,      5712.50,-139.95
,Nifty Pvt Bank,     18644.30,     18698.45,     18811.15,     18305.55,     18356.55,-287.75
,NIFTY100 Qualty30,      3366.65,      3372.25,      3373.85,      3320.60,      3326.65,-40
,Nifty GS 8 13Yr,      2203.67,      2204.05,      2204.87,      2202.90,      2203.18,-.49
,Nifty GS 10Yr,      2009.91,      2010.24,      2012.47,      2008.22,      2009.38,-.53
,Nifty GS 10Yr Cln,       944.98,       944.98,       946.05,       944.02,       944.57,-.41
,Nifty GS 4 8Yr,      2360.20,      2360.57,      2360.97,      2359.73,      2360.27,.07
,Nifty GS 11 15Yr,      2352.18,      2352.61,      2354.21,      2350.84,      2350.84,-1.34
,Nifty GS 15YrPlus,      2593.16,      2593.64,      2593.64,      2588.77,      2592.59,-.57
,Nifty GS Compsite,      2250.89,      2251.27,      2252.07,      2250.05,      2250.27,-.62

,ADVANCES,382
,DECLINES,1582
,UNCHANGED,61

,Total securities that have hit their price bands today,368

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,SBICARD,EQ,      1022.10,       978.30,-4.29,2341.68
,RELIANCE,EQ,      2100.60,      2055.35,-2.15,1831.52
,ITC,EQ,       207.85,       210.60,1.32,1659.93
,HDFCBANK,EQ,      1512.15,      1495.35,-1.11,1594.7
,TATAMOTORS,EQ,       319.95,       305.80,-4.42,1475.51
,BPCL,EQ,       453.85,       432.05,-4.8,1261.76
,SBIN,EQ,       378.55,       368.15,-2.75,1237.48
,ICICIBANK,EQ,       594.95,       589.50,-0.92,1203.04
,TCS,EQ,      3110.05,      3112.95,0.09,1201.47
,INFY,EQ,      1384.00,      1387.00,0.22,1062
,AXISBANK,EQ,       737.75,       727.90,-1.34,908.17
,HDFC,EQ,      2510.40,      2515.55,0.21,847.64
,HINDUNILVR,EQ,      2244.05,      2226.30,-0.79,828.73
,LT,EQ,      1461.80,      1437.65,-1.65,756.42
,TATASTEEL,EQ,       724.05,       704.40,-2.71,751.69
,TATACOMM,EQ,      1214.80,      1141.10,-6.07,689.43
,VEDL,EQ,       226.50,       224.80,-0.75,686.45
,TATAPOWER,EQ,       109.70,       103.30,-5.83,683.81
,HCLTECH,EQ,      1007.25,       987.45,-1.97,679.81
,BAJFINANCE,EQ,      5455.95,      5359.80,-1.76,612.84
,ADANIPORTS,EQ,       717.35,       688.25,-4.06,571.25
,WIPRO,EQ,       429.30,       419.65,-2.25,519.18
,KOTAKBANK,EQ,      1903.20,      1868.35,-1.83,508.5
,MARUTI,EQ,      7150.30,      7064.65,-1.2,488.82
,INDUSINDBK,EQ,      1034.70,      1008.95,-2.49,482.47

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,ITC,EQ,       210.60,       207.85,1.32
,INFY,EQ,      1387.00,      1384.00,.22
,HDFC,EQ,      2515.55,      2510.40,.21
,TCS,EQ,      3112.95,      3110.05,.09
,DIVISLAB,EQ,      3378.30,      3378.25,0

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,ONGC,EQ,       109.35,       115.10,-5
,BPCL,EQ,       432.05,       453.85,-4.8
,TATAMOTORS,EQ,       305.80,       319.95,-4.42
,ADANIPORTS,EQ,       688.25,       717.35,-4.06
,COALINDIA,EQ,       139.85,       145.70,-4.02

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        37.90,                  3084575.50,80160
,21STCENMGM,EQ,        13.75,                    18397.50,1338
,3IINFOTECH,EQ,         8.05,                180719898.20,22283355
,3MINDIA,EQ,     27961.85,                116434970.40,4168
,3PLAND,EQ,         9.10,                   190693.55,20058
,5PAISA,EQ,       276.25,                  4591098.75,16518
,622GS2035,GS,        95.00,                    20420.00,216
,63MOONS,EQ,        76.70,                  8272349.15,105459
,68GS2060,GS,       107.10,                    84170.00,790
,719GS2060,GS,       107.00,                    10917.00,102
,772GS2049,GS,       114.85,                    74611.00,649
,A2ZINFRA,EQ,         3.95,                  1607328.75,400489
,AAATECH,SM,        42.00,                   126000.00,3000
,AAKASH,BE,       129.75,                   897822.00,6903
,AARON,EQ,        63.60,                   202230.95,3186
,AARTIDRUGS,EQ,       680.50,                251332991.45,365395
,AARTIIND,EQ,      1288.90,                232154854.85,180955
,AARTISURF,EQ,       954.45,                 10167869.00,10558
,AARVEEDEN,EQ,        17.50,                   274879.15,15525
,AARVI,EQ,        52.75,                   169092.30,3207
,AAVAS,EQ,      2225.90,                157722654.30,71251
,ABAN,EQ,        35.80,                  6567687.30,180023
,ABB,EQ,      1439.75,                 67689560.15,47127
,ABCAPITAL,EQ,       125.75,                552358082.45,4256074
,ABFRL,EQ,       204.80,                407857730.80,1958402
,ABFRLPP1,E1,       175.85,                  8006895.30,44189
,ABMINTLTD,EQ,        58.45,                    44008.55,754
,ABSLBANETF,EQ,       341.43,                   225020.16,652
,ABSLFTSARN,MF,        10.00,                     1000.00,100
,ABSLNN50ET,EQ,       347.32,                     9484.30,27
,ABSLRIF6RG,MF,         8.41,                  1873401.61,222254
,ACCELYA,EQ,       882.90,                  2206113.50,2489
,ACCURACY,EQ,        52.25,                   784019.10,14653
,ACE,EQ,       165.35,                124310672.30,744640
,ACRYSIL,EQ,       331.45,                 32007185.25,95302
,ADANIENT,EQ,       873.90,               3440710243.75,3886557
,ADANIPOWER,EQ,        87.20,               3396636170.95,39254374
,ADFFOODS,EQ,       880.85,                 20251806.05,22957
,ADHUNIKIND,EQ,        20.25,                   220318.70,10806
,ADL,BE,        28.70,                    19205.65,667
,ADORWELD,EQ,       308.30,                  4196860.70,13297
,ADROITINFO,BE,        11.90,                   163780.80,13722
,ADSL,EQ,        50.65,                 36335436.75,719726
,ADVANIHOTR,EQ,        62.45,                  1449100.25,23306
,ADVENZYMES,EQ,       369.80,                137438494.45,373415
,AEGISCHEM,EQ,       279.40,                 93746952.75,330800
,AFFLE,EQ,      5815.20,                208105073.85,35557
,AGARIND,BE,       139.10,                   895463.50,6451
,AGCNET,EQ,      1024.35,                  9743738.30,9698
,AGRITECH,EQ,        33.75,                   192996.85,5598
,AGROPHOS,EQ,        11.25,                   985926.70,85565
,AHLADA,EQ,        97.65,                   576787.80,5830
,AHLEAST,EQ,       158.40,                   307534.75,1923
,AHLUCONT,EQ,       297.95,                  2925957.15,9816
,AHLWEST,EQ,       221.10,                   187729.15,835
,AIAENG,EQ,      1888.90,                 60186782.80,31851
,AIRAN,EQ,        15.60,                  5242190.45,330958
,AIROLAM,SM,        29.95,                   261750.00,9000
,AISL,SM,        33.55,                   870780.00,25200
,AJANTPHARM,EQ,      1794.30,                 74982428.75,41811
,AJMERA,EQ,       122.80,                  4558048.10,36664
,AJOONI,SM,        31.00,                   977235.60,31108
,AKASH,EQ,       218.85,                 24494195.50,112564
,AKG,EQ,       105.30,                 11594641.90,109717
,AKSHARCHEM,EQ,       241.05,                  1991510.45,8218
,AKSHOPTFBR,EQ,         6.30,                  1582576.40,248016
,AKZOINDIA,EQ,      2307.00,                 56073704.85,23754
,ALANKIT,EQ,        15.85,                   889242.15,55742
