,09-Apr-2021
The Nifty witnessed an intraday movement of about 132.8 points.The closing index was 0.26 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 70616.38
, Traded Quantity (in Lakhs), 26569.39
, Number of Trades, 20305986
, Total Market Capitalisation (Rs. Crores), 20819559.36

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     14873.80,     14882.65,     14918.45,     14785.65,     14834.85,-38.95
,NIFTY50 EQL Wgt,     16445.45,     16452.50,     16489.35,     16361.95,     16432.25,-13.2
,NIFTY100 EQL Wgt,     17359.25,     17366.25,     17433.75,     17313.45,     17376.90,17.65
,NIFTY100 LowVol30,     11495.80,     11511.30,     11545.40,     11483.40,     11526.15,30.35
,NIFTY Alpha 50,     24304.60,     24288.00,     24706.75,     24234.60,     24657.50,352.9
,NIFTY MIDCAP 150,      9226.95,      9242.00,      9298.95,      9213.30,      9240.75,13.8
,NIFTY SMLCAP 50,      4231.40,      4235.95,      4266.40,      4227.55,      4246.75,15.35
,NIFTY SMLCAP 250,      7225.20,      7247.00,      7289.65,      7231.90,      7264.00,38.8
,NIFTY MIDSML 400,      8510.70,      8528.15,      8577.70,      8507.00,      8533.25,22.55
,NIFTY200 QUALTY30,     12685.65,     12711.55,     12756.40,     12671.95,     12721.25,35.6
,Nifty FinSrv25 50,     15415.60,     15388.85,     15468.20,     15260.75,     15301.35,-114.25
,NIFTY AlphaLowVol,     14563.45,     14595.95,     14723.00,     14569.60,     14689.50,126.05
,Nifty200Momentm30,     15930.80,     15954.50,     16067.50,     15895.10,     16033.10,102.3
,Nifty100ESGSecLdr,      2560.40,      2565.05,      2566.85,      2550.65,      2561.35,.95
,Nifty IT,     27148.40,     27322.05,     27520.10,     27109.95,     27367.05,218.65
,Nifty Next 50,     35321.15,     35346.95,     35538.90,     35235.85,     35358.90,37.75
,Nifty Bank,     32782.85,     32636.90,     32972.15,     32329.95,     32448.05,-334.8
,NIFTY MIDCAP 100,     24462.40,     24492.30,     24680.70,     24421.20,     24505.70,43.3
,Nifty 500,     12541.65,     12552.90,     12591.95,     12490.00,     12527.40,-14.25
,Nifty 100,     15036.15,     15045.20,     15081.90,     14957.60,     15004.15,-32
,Nifty Midcap 50,      6941.80,      6946.75,      6987.30,      6880.90,      6906.70,-35.1
,Nifty Realty,       334.10,       333.40,       336.95,       329.60,       332.05,-2.05
,Nifty Infra,      4177.25,      4179.05,      4190.80,      4139.00,      4147.90,-29.35
,Nifty Energy,     18275.55,     18289.70,     18305.10,     18058.00,     18077.15,-198.4
,Nifty FMCG,     34983.05,     35064.70,     35442.85,     34999.40,     35253.10,270.05
,Nifty MNC,     16481.80,     16537.15,     16610.20,     16434.70,     16459.35,-22.45
,Nifty Pharma,     12611.70,     12603.60,     13074.00,     12582.60,     12995.35,383.65
,Nifty PSE,      3135.90,      3141.00,      3149.85,      3101.45,      3110.25,-25.65
,Nifty PSU Bank,      2146.30,      2144.35,      2246.90,      2132.05,      2191.25,44.95
,Nifty Serv Sector,     20776.85,     20801.00,     20837.95,     20637.10,     20701.00,-75.85
,India VIX,20.3125,20.3125,20.9675,19.6825,19.7850,-0.5275
,Nifty Auto,      9959.35,      9961.55,     10032.85,      9885.60,      9922.95,-36.4
,Nifty Metal,      4494.95,      4510.20,      4550.45,      4399.30,      4467.30,-27.65
,Nifty Media,      1544.35,      1541.20,      1564.20,      1536.60,      1556.95,12.6
,NIFTY SMLCAP 100,      8519.10,      8536.40,      8587.15,      8513.00,      8559.10,40
,Nifty 200,      7806.10,      7811.40,      7835.05,      7769.80,      7793.30,-12.8
,Nifty Div Opps 50,      3130.40,      3140.45,      3146.95,      3118.45,      3129.85,-.55
,Nifty Commodities,      4722.05,      4741.10,      4744.20,      4646.75,      4674.35,-47.7
,Nifty Consumption,      6045.45,      6046.95,      6080.20,      6030.40,      6060.75,15.3
,Nifty Fin Service,     15525.15,     15490.00,     15591.70,     15369.60,     15412.50,-112.65
,Nifty50 Div Point,         1.92,         1.92,         1.92,         1.92,         1.92,0
,Nifty100 Liq 15,      3653.10,      3644.35,      3660.05,      3608.55,      3614.05,-39.05
,Nifty CPSE,      1778.15,      1781.70,      1788.55,      1762.05,      1766.00,-12.15
,Nifty GrowSect 15,      7207.20,      7218.25,      7290.60,      7198.10,      7274.50,67.3
,Nifty50 PR 2x Lev,      6730.90,      6738.40,      6770.65,      6651.05,      6695.10,-35.8
,Nifty50 PR 1x Inv,       294.80,       294.65,       296.55,       293.90,       295.60,.8
,Nifty50 TR 2x Lev,      8985.90,      8995.90,      9039.00,      8879.30,      8938.10,-47.8
,Nifty50 TR 1x Inv,       255.25,       255.15,       256.80,       254.50,       255.95,.7
,Nifty50 Value 20,      7658.05,      7694.40,      7708.95,      7645.55,      7685.00,26.95
,Nifty Mid Liq 15,      5824.30,      5825.50,      5854.85,      5781.70,      5800.75,-23.55
,Nifty Pvt Bank,     17553.00,     17477.40,     17622.60,     17311.55,     17392.15,-160.85
,NIFTY100 Qualty30,      3406.40,      3410.50,      3421.20,      3399.70,      3409.50,3.1
,Nifty GS 8 13Yr,      2244.20,      2244.57,      2247.67,      2244.57,      2245.53,1.33
,Nifty GS 10Yr,      2037.54,      2037.87,      2045.60,      2037.87,      2041.55,4.01
,Nifty GS 10Yr Cln,       954.74,       954.74,       958.44,       954.74,       956.51,1.77
,Nifty GS 4 8Yr,      2393.46,      2393.82,      2398.17,      2393.60,      2394.06,.6
,Nifty GS 11 15Yr,      2415.48,      2415.92,      2420.44,      2413.18,      2413.57,-1.91
,Nifty GS 15YrPlus,      2670.29,      2670.78,      2670.78,      2665.94,      2667.15,-3.14
,Nifty GS Compsite,      2291.23,      2291.61,      2295.54,      2291.20,      2291.45,.22

,ADVANCES,1071
,DECLINES,844
,UNCHANGED,105

,Total securities that have hit their price bands today,291

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,JSWSTEEL,EQ,       614.10,       621.00,1.12,3130.46
,TATASTEEL,EQ,       918.40,       899.50,-2.06,2905.16
,TATAMOTORS,EQ,       313.95,       318.20,1.35,2420.59
,HDFCBANK,EQ,      1432.80,      1421.75,-0.77,2003.26
,ADANIPORTS,EQ,       823.00,       823.60,0.07,1803.62
,SBIN,EQ,       355.60,       353.00,-0.73,1660.47
,ADANIENT,EQ,      1162.50,      1201.40,3.35,1546.61
,BAJFINANCE,EQ,      5029.50,      4872.30,-3.13,1424.87
,ICICIBANK,EQ,       576.70,       566.20,-1.82,1325.72
,RELIANCE,EQ,      2005.35,      1982.05,-1.16,1288.62
,CADILAHC,EQ,       470.70,       514.45,9.29,1150.7
,SUNPHARMA,EQ,       614.25,       636.75,3.66,1062.28
,CIPLA,EQ,       842.00,       883.05,4.88,979.35
,TCS,EQ,      3317.35,      3322.25,0.15,968.64
,INFY,EQ,      1439.85,      1441.05,0.08,872.34
,AXISBANK,EQ,       681.60,       668.20,-1.97,845.78
,HDFC,EQ,      2502.55,      2513.90,0.45,814.19
,SAIL,EQ,        95.60,        94.35,-1.31,667.09
,DRREDDY,EQ,      4689.05,      4760.30,1.52,647.09
,HINDUNILVR,EQ,      2409.90,      2476.00,2.74,642.85
,TECHM,EQ,      1029.00,      1053.00,2.33,627.34
,BHARTIARTL,EQ,       543.00,       545.25,0.41,621.28
,JINDALSTEL,EQ,       415.65,       412.35,-0.79,599.41
,HINDALCO,EQ,       365.20,       361.05,-1.14,591.86
,TITAN,EQ,      1571.30,      1592.00,1.32,570.16

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,CIPLA,EQ,       883.05,       842.00,4.88
,SUNPHARMA,EQ,       636.75,       614.25,3.66
,HINDUNILVR,EQ,      2476.00,      2409.90,2.74
,TECHM,EQ,      1053.00,      1029.00,2.33
,WIPRO,EQ,       450.10,       442.10,1.81

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,BAJFINANCE,EQ,      4872.30,      5029.50,-3.13
,UPL,EQ,       634.90,       651.60,-2.56
,NTPC,EQ,       102.80,       105.00,-2.1
,ULTRACEMCO,EQ,      6825.85,      6971.25,-2.09
,TATASTEEL,EQ,       899.50,       918.40,-2.06

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        37.30,                  1750311.45,46763
,21STCENMGM,EQ,        12.95,                    39508.65,3052
,3IINFOTECH,EQ,         8.05,                 81294140.35,10231317
,3MINDIA,EQ,     27624.10,                 67952320.55,2439
,3PLAND,EQ,         8.50,                    39278.45,4570
,503KL24,SG,       103.95,                    20295.00,200
,5PAISA,EQ,       300.10,                 17514549.15,58617
,63MOONS,EQ,        87.30,                 83729527.30,925984
,68GS2060,GS,       107.00,                   272854.50,2550
,A2ZINFRA,EQ,         4.10,                  9779197.85,2257144
,AAKASH,BE,       133.80,                   682518.90,5119
,AARON,EQ,        56.50,                    19940.65,355
,AARTIDRUGS,EQ,       733.50,               1126357531.15,1534378
,AARTIIND,EQ,      1404.10,                346857857.55,246474
,AARTISURF,EQ,      1534.45,                444132197.60,288558
,AARVEEDEN,EQ,        22.30,                  1433258.50,67347
,AARVI,EQ,        49.30,                   581729.90,11731
,AAVAS,EQ,      2327.20,                775100896.25,326486
,ABAN,EQ,        31.90,                  3178825.25,99536
,ABB,EQ,      1380.40,                115609350.50,83100
,ABCAPITAL,EQ,       125.25,                271413688.45,2159283
,ABFRL,EQ,       189.70,                466943318.25,2453038
,ABFRLPP1,E1,       155.25,                   894392.55,5754
,ABMINTLTD,EQ,        51.40,                    28342.15,552
,ABSLBANETF,EQ,       322.44,                    36505.16,112
,ABSLNN50ET,EQ,       359.28,                   153431.24,429
,ABSLRIF6RG,MF,         8.57,                   104230.99,12547
,ACCELYA,EQ,       903.70,                  2442533.25,2675
,ACCORD,SM,        17.10,                    34200.00,2000
,ACCURACY,EQ,        56.65,                   208908.00,3726
,ACE,EQ,       164.90,                109427427.00,658334
,ACRYSIL,EQ,       363.15,                 44702811.50,121489
,ADANIENT,EQ,      1201.40,              15466062151.20,12923020
,ADANIPOWER,EQ,        97.65,               1828392399.60,18604791
,ADFFOODS,EQ,       944.95,                 36979701.80,38972
,ADHUNIKIND,EQ,        26.25,                  9799596.10,383224
,ADL,BE,        29.15,                   167365.30,5583
,ADORWELD,EQ,       333.10,                 26906515.95,80069
,ADROITINFO,BE,         8.70,                    23418.90,2706
,ADSL,EQ,        51.85,                 31368539.90,603143
,ADVANIHOTR,EQ,        56.35,                   502322.30,8762
,ADVENZYMES,EQ,       370.75,                 62069920.00,167320
,AEGISCHEM,EQ,       294.75,                 48149868.15,163319
,AFFLE,EQ,      5539.30,                252676530.30,45296
,AFLPP,E1,        73.85,                   464373.45,6316
,AGARIND,BE,       157.40,                   652463.55,4124
,AGCNET,EQ,      1541.65,                 73316395.05,46258
,AGRITECH,EQ,        47.15,                  9937673.20,216245
,AGROPHOS,EQ,        11.90,                   285892.20,24129
,AHLADA,EQ,       109.35,                   970117.05,9003
,AHLEAST,EQ,       159.15,                    77043.05,488
,AHLUCONT,EQ,       294.55,                  1195015.85,4041
,AHLWEST,EQ,       212.65,                   470925.45,2242
,AIAENG,EQ,      1966.85,                 22708346.50,11518
,AIRAN,EQ,        16.60,                  1208800.40,73253
,AISL,SM,        39.50,                   756300.00,19200
,AJANTPHARM,EQ,      1728.95,                221420312.45,128268
,AJMERA,EQ,       117.80,                  4605158.25,39056
,AJOONI,SM,        31.50,                   838138.40,26664
,AKASH,EQ,       230.45,                  7018343.65,30690
,AKG,EQ,        48.95,                   237064.85,4843
,AKSHARCHEM,EQ,       246.70,                  1957673.75,7924
,AKSHOPTFBR,EQ,         7.15,                  2578196.70,358092
,AKZOINDIA,EQ,      2344.45,                 35423906.40,14962
,ALANKIT,EQ,        16.00,                  1049938.70,65391
,ALBERTDAVD,EQ,       436.75,                133817192.00,304332
