,23-Apr-2021
The Nifty witnessed an intraday movement of about 187.85 points.The closing index was 0.45 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 65545.12
, Traded Quantity (in Lakhs), 25247.71
, Number of Trades, 19551105
, Total Market Capitalisation (Rs. Crores), 20103744.22

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     14406.15,     14326.35,     14461.15,     14273.30,     14341.35,-64.8
,NIFTY50 EQL Wgt,     15977.00,     15912.15,     16050.05,     15823.40,     15914.40,-62.6
,NIFTY100 EQL Wgt,     16876.20,     16828.65,     16968.65,     16753.60,     16855.40,-20.8
,NIFTY100 LowVol30,     11201.70,     11181.50,     11226.30,     11100.90,     11149.55,-52.15
,NIFTY Alpha 50,     24055.55,     24096.90,     24372.40,     23956.75,     24120.20,64.65
,NIFTY MIDCAP 150,      8863.70,      8866.90,      8966.50,      8840.40,      8892.85,29.15
,NIFTY SMLCAP 50,      4091.65,      4096.65,      4138.20,      4092.05,      4121.50,29.85
,NIFTY SMLCAP 250,      6987.25,      6997.40,      7071.00,      6982.65,      7015.95,28.7
,NIFTY MIDSML 400,      8191.95,      8197.55,      8286.75,      8175.45,      8220.85,28.9
,NIFTY200 QUALTY30,     12147.70,     12117.20,     12171.95,     12039.00,     12087.75,-59.95
,Nifty FinSrv25 50,     15059.80,     14927.60,     15238.70,     14927.30,     15116.80,57
,NIFTY AlphaLowVol,     14289.20,     14277.70,     14351.25,     14154.25,     14239.05,-50.15
,Nifty200Momentm30,     15978.05,     15977.55,     16094.65,     15788.25,     15907.95,-70.1
,Nifty100ESGSecLdr,      2477.25,      2467.90,      2484.15,      2454.65,      2465.35,-11.9
,Nifty IT,     25826.70,     25746.45,     25926.05,     25531.95,     25609.10,-217.6
,Nifty Next 50,     34242.85,     34196.80,     34483.20,     34078.80,     34284.85,42
,Nifty Bank,     31782.60,     31490.60,     32148.40,     31377.15,     31722.30,-60.3
,NIFTY MIDCAP 100,     23432.65,     23434.90,     23707.30,     23340.55,     23492.75,60.1
,Nifty 500,     12132.05,     12086.20,     12199.40,     12044.90,     12105.60,-26.45
,Nifty 100,     14564.25,     14492.20,     14625.10,     14439.90,     14510.95,-53.3
,Nifty Midcap 50,      6506.95,      6503.25,      6583.80,      6462.25,      6512.90,5.95
,Nifty Realty,       305.15,       304.25,       306.75,       299.50,       301.80,-3.35
,Nifty Infra,      3946.95,      3941.30,      3968.30,      3909.85,      3932.55,-14.4
,Nifty Energy,     17370.95,     17323.20,     17594.10,     17304.40,     17537.70,166.75
,Nifty FMCG,     34043.05,     33938.10,     34002.85,     33631.70,     33726.10,-316.95
,Nifty MNC,     15853.80,     15814.90,     15890.35,     15739.95,     15796.50,-57.3
,Nifty Pharma,     13378.95,     13373.10,     13476.55,     13169.00,     13319.75,-59.2
,Nifty PSE,      3011.65,      3002.00,      3058.45,      3000.65,      3042.35,30.7
,Nifty PSU Bank,      1961.25,      1941.65,      1998.60,      1940.65,      1967.20,5.95
,Nifty Serv Sector,     20112.10,     19959.40,     20245.40,     19935.45,     20062.05,-50.05
,India VIX,23.0250,23.0250,23.0525,20.2100,22.6900,-0.3350
,Nifty Auto,      9644.55,      9569.25,      9695.90,      9534.90,      9596.95,-47.6
,Nifty Metal,      4460.90,      4471.75,      4528.20,      4396.65,      4446.85,-14.05
,Nifty Media,      1506.55,      1503.80,      1530.05,      1497.65,      1513.65,7.1
,NIFTY SMLCAP 100,      8216.00,      8221.75,      8308.65,      8202.90,      8250.55,34.55
,Nifty 200,      7550.70,      7518.05,      7588.30,      7490.65,      7528.90,-21.8
,Nifty Div Opps 50,      3002.15,      2992.45,      3010.75,      2978.15,      2992.05,-10.1
,Nifty Commodities,      4483.25,      4482.30,      4520.35,      4443.35,      4480.25,-3
,Nifty Consumption,      5862.70,      5844.85,      5868.90,      5794.35,      5818.90,-43.8
,Nifty Fin Service,     15239.50,     15095.65,     15381.70,     15049.80,     15238.25,-1.25
,Nifty50 Div Point,         1.92,         1.92,         1.92,         1.92,         1.92,0
,Nifty100 Liq 15,      3510.50,      3487.05,      3534.85,      3480.10,      3502.55,-7.95
,Nifty CPSE,      1716.30,      1708.85,      1748.15,      1708.15,      1741.15,24.85
,Nifty GrowSect 15,      7219.45,      7193.25,      7215.80,      7119.65,      7159.95,-59.5
,Nifty50 PR 2x Lev,      6293.95,      6223.70,      6340.95,      6178.10,      6236.80,-57.15
,Nifty50 PR 1x Inv,       304.15,       305.90,       307.00,       303.05,       305.55,1.4
,Nifty50 TR 2x Lev,      8402.60,      8308.75,      8465.30,      8247.90,      8326.20,-76.4
,Nifty50 TR 1x Inv,       263.35,       264.85,       265.80,       262.40,       264.60,1.25
,Nifty50 Value 20,      7347.40,      7315.05,      7364.75,      7265.60,      7301.10,-46.3
,Nifty Mid Liq 15,      5502.25,      5481.80,      5572.60,      5470.30,      5519.00,16.75
,Nifty Pvt Bank,     16918.35,     16782.30,     17133.30,     16717.60,     16911.00,-7.35
,NIFTY100 Qualty30,      3259.70,      3248.35,      3268.35,      3232.20,      3246.35,-13.35
,Nifty GS 8 13Yr,      2243.19,      2243.57,      2243.79,      2241.52,      2243.39,.2
,Nifty GS 10Yr,      2041.07,      2041.40,      2041.71,      2037.05,      2040.09,-.98
,Nifty GS 10Yr Cln,       954.23,       954.23,       954.38,       952.15,       953.60,-.63
,Nifty GS 4 8Yr,      2399.07,      2399.44,      2402.46,      2398.56,      2401.02,1.95
,Nifty GS 11 15Yr,      2402.02,      2402.46,      2404.35,      2398.64,      2402.93,.91
,Nifty GS 15YrPlus,      2640.61,      2641.10,      2641.10,      2641.10,      2641.10,.49
,Nifty GS Compsite,      2289.48,      2289.86,      2291.41,      2287.76,      2290.56,1.08

,ADVANCES,1028
,DECLINES,864
,UNCHANGED,112

,Total securities that have hit their price bands today,283

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,TATASTEEL,EQ,       921.40,       925.60,0.46,2303.79
,ICICIBANK,EQ,       579.20,       569.95,-1.6,1933.17
,TATAMOTORS,EQ,       294.55,       294.00,-0.19,1715.91
,HDFCBANK,EQ,      1422.50,      1414.15,-0.59,1610.78
,CADILAHC,EQ,       552.55,       570.90,3.32,1526.86
,SBIN,EQ,       336.65,       336.45,-0.06,1487.99
,ADANIPORTS,EQ,       737.80,       725.35,-1.69,1352.4
,AXISBANK,EQ,       658.70,       671.35,1.92,1283.35
,BAJFINANCE,EQ,      4688.70,      4667.80,-0.45,1279.54
,DRREDDY,EQ,      5199.85,      5066.70,-2.56,1205.9
,JSWSTEEL,EQ,       640.75,       635.40,-0.83,1147.96
,RELIANCE,EQ,      1906.40,      1904.35,-0.11,1041.29
,BPCL,EQ,       418.35,       423.05,1.12,1006.4
,INFY,EQ,      1351.10,      1333.80,-1.28,980.01
,HDFC,EQ,      2479.70,      2497.35,0.71,779.55
,CIPLA,EQ,       944.35,       935.60,-0.93,744.92
,ADANIENT,EQ,      1157.80,      1157.60,-0.02,719.88
,ICICIPRULI,EQ,       492.75,       512.40,3.99,703.53
,SAIL,EQ,        94.05,        93.10,-1.01,689.64
,JINDALSTEL,EQ,       441.60,       437.05,-1.03,668.83
,WIPRO,EQ,       486.65,       475.70,-2.25,654.59
,INDUSINDBK,EQ,       835.70,       850.00,1.71,652.31
,BAJAJFINSV,EQ,      9853.85,      9916.65,0.64,625.3
,ULTRACEMCO,EQ,      6092.30,      6067.90,-0.4,587.73
,HCLTECH,EQ,       961.90,       955.65,-0.65,579.87

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,POWERGRID,EQ,       211.15,       203.45,3.78
,NTPC,EQ,       102.55,        98.95,3.64
,AXISBANK,EQ,       671.35,       658.70,1.92
,INDUSINDBK,EQ,       850.00,       835.70,1.71
,BPCL,EQ,       423.05,       418.35,1.12

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,M&M,EQ,       777.90,       799.70,-2.73
,BRITANNIA,EQ,      3650.30,      3752.00,-2.71
,GAIL,EQ,       129.40,       133.00,-2.71
,DRREDDY,EQ,      5066.70,      5199.85,-2.56
,WIPRO,EQ,       475.70,       486.65,-2.25

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        36.30,                  2350638.30,65388
,21STCENMGM,EQ,        11.90,                    60013.65,5006
,3IINFOTECH,EQ,         6.85,                 62754338.55,9018770
,3MINDIA,EQ,     26378.00,                 78380720.20,2935
,3PLAND,EQ,         9.70,                   105774.40,10989
,5PAISA,EQ,       370.55,                 37093151.30,98358
,601GS2028,GS,        63.28,                       63.28,1
,63MOONS,EQ,        96.65,                 30019671.20,302186
,667GS2050,GS,       102.94,                     9237.82,91
,716GS2050,GS,       112.00,                     4814.01,42
,719GS2060,GS,       111.00,                     1110.00,10
,772GS2049,GS,       120.00,                      120.00,1
,A2ZINFRA,EQ,         3.85,                  3108471.15,793050
,AAKASH,BE,       136.30,                   868989.10,6347
,AARON,EQ,        53.30,                   197410.95,3689
,AARTIDRUGS,EQ,       715.00,                255058643.55,352104
,AARTIIND,EQ,      1462.80,                978989284.35,670760
,AARTISURF,EQ,      1415.60,                 27741823.20,19270
,AARVEEDEN,EQ,        19.05,                   331825.75,17586
,AARVI,EQ,        50.80,                   993817.70,19530
,AAVAS,EQ,      2271.75,                109988307.35,49021
,ABAN,EQ,        28.65,                  1792513.60,62257
,ABB,EQ,      1380.70,                215549045.40,155372
,ABCAPITAL,EQ,       116.10,                188208245.30,1608146
,ABFRL,EQ,       173.50,                212387119.65,1217741
,ABFRLPP1,E1,       140.50,                  1036545.65,7350
,ABMINTLTD,EQ,        51.95,                    78640.85,1516
,ABSLBANETF,EQ,       315.50,                   163814.97,516
,ABSLNN50ET,EQ,       346.05,                     8343.60,24
,ABSLRIF6RG,MF,         8.14,                    40721.00,5000
,ACCELYA,EQ,       848.35,                   848261.90,998
,ACCURACY,EQ,        58.25,                   634917.30,10796
,ACE,EQ,       148.75,                 44528294.60,296778
,ACRYSIL,EQ,       321.35,                 18613796.95,57154
,ADANIENT,EQ,      1157.60,               7198841804.15,6167151
,ADANIPOWER,EQ,        87.80,                988652069.90,11125028
,ADFFOODS,EQ,       879.50,                 16322894.70,18375
,ADHUNIKIND,EQ,        22.00,                   910214.00,40727
,ADL,BE,        30.05,                    10385.90,341
,ADORWELD,EQ,       362.45,                 22641571.00,61951
,ADROITINFO,BE,         8.15,                      935.55,115
,ADSL,EQ,        47.90,                 10005375.65,205115
,ADVANIHOTR,EQ,        50.80,                   194476.05,3831
,ADVENZYMES,EQ,       385.20,                193754117.45,494734
,AEGISCHEM,EQ,       291.25,                 65976588.35,227134
,AFFLE,EQ,      5377.80,                155555316.80,28808
,AGARIND,BE,       151.05,                   480750.55,3222
,AGCNET,EQ,      1671.35,                 42777559.40,25078
,AGRITECH,EQ,        34.55,                   778906.70,22162
,AGROPHOS,EQ,        11.45,                   824496.80,71208
,AHLADA,EQ,        99.95,                    39175.00,393
,AHLEAST,EQ,       146.85,                   689017.50,4725
,AHLUCONT,EQ,       285.85,                  1522093.05,5331
,AHLWEST,EQ,       200.70,                   335511.20,1666
,AIAENG,EQ,      1872.45,                 99760558.90,53301
,AIRAN,EQ,        15.70,                   221854.15,14050
,AISL,SM,        39.00,                   892560.00,22800
,AJANTPHARM,EQ,      1784.10,                382724787.15,209871
,AJMERA,EQ,       109.20,                  8556161.15,78190
,AJOONI,SM,        32.00,                   568832.00,17776
,AKASH,EQ,       194.20,                 12962365.30,65654
,AKG,EQ,        32.60,                   153806.80,4718
,AKSHARCHEM,EQ,       238.35,                  6343745.45,26523
,AKSHOPTFBR,EQ,         6.10,                  1985737.45,325288
,AKZOINDIA,EQ,      2219.65,                 16581799.55,7463
,ALANKIT,EQ,        14.15,                  1320269.00,93374
,ALBERTDAVD,EQ,       455.45,                 28553654.25,62338
