,10-May-2021
The Nifty witnessed an intraday movement of about 74.4 points.The closing index was 0.8 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 79393.68
, Traded Quantity (in Lakhs), 40810.07
, Number of Trades, 24303214
, Total Market Capitalisation (Rs. Crores), 21189287.5

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     14823.15,     14928.25,     14966.90,     14892.50,     14942.35,119.2
,NIFTY50 EQL Wgt,     16694.45,     16836.10,     16942.75,     16816.80,     16931.35,236.9
,NIFTY100 EQL Wgt,     17639.50,     17759.75,     17884.85,     17751.90,     17870.30,230.8
,NIFTY100 LowVol30,     11385.25,     11463.30,     11517.70,     11420.20,     11506.45,121.2
,NIFTY Alpha 50,     25207.30,     25365.45,     25433.95,     25187.95,     25269.95,62.65
,NIFTY MIDCAP 150,      9249.65,      9306.60,      9333.15,      9292.70,      9308.20,58.55
,NIFTY SMLCAP 50,      4322.85,      4361.15,      4405.90,      4344.00,      4395.00,72.15
,NIFTY SMLCAP 250,      7474.20,      7548.05,      7603.90,      7536.00,      7588.00,113.8
,NIFTY MIDSML 400,      8612.50,      8675.30,      8705.65,      8662.15,      8690.30,77.8
,NIFTY200 QUALTY30,     12307.90,     12351.95,     12385.40,     12334.95,     12376.05,68.15
,Nifty FinSrv25 50,     15644.25,     15743.15,     15836.75,     15693.85,     15789.70,145.45
,NIFTY AlphaLowVol,     14508.80,     14601.85,     14663.90,     14561.10,     14639.30,130.5
,Nifty200Momentm30,     16785.60,     16907.30,     16975.55,     16824.90,     16947.75,162.15
,Nifty100ESGSecLdr,      2537.35,      2553.00,      2561.65,      2549.90,      2558.60,21.25
,Nifty IT,     26269.45,     26340.60,     26390.80,     26106.35,     26273.45,4
,Nifty Next 50,     35816.95,     35987.05,     36222.10,     35974.00,     36190.15,373.2
,Nifty Bank,     32904.50,     33175.30,     33297.60,     33028.15,     33142.40,237.9
,NIFTY MIDCAP 100,     24545.65,     24694.05,     24808.30,     24659.10,     24776.80,231.15
,Nifty 500,     12563.10,     12649.45,     12685.80,     12625.90,     12669.90,106.8
,Nifty 100,     15021.65,     15123.35,     15167.45,     15091.40,     15146.65,125
,Nifty Midcap 50,      6818.65,      6868.75,      6932.40,      6849.50,      6918.10,99.45
,Nifty Realty,       307.65,       310.20,       312.30,       307.75,       310.05,2.4
,Nifty Infra,      4107.30,      4134.05,      4156.20,      4125.40,      4152.65,45.35
,Nifty Energy,     18295.60,     18428.25,     18614.35,     18379.30,     18590.05,294.45
,Nifty FMCG,     34123.50,     34273.95,     34332.10,     34067.45,     34204.25,80.75
,Nifty MNC,     16309.35,     16378.70,     16428.80,     16342.90,     16396.75,87.4
,Nifty Pharma,     13747.10,     13965.50,     14228.40,     13861.45,     14131.85,384.75
,Nifty PSE,      3311.95,      3350.50,      3434.45,      3347.40,      3425.05,113.1
,Nifty PSU Bank,      2116.25,      2135.40,      2178.45,      2116.35,      2145.40,29.15
,Nifty Serv Sector,     20704.00,     20829.25,     20881.35,     20784.50,     20820.95,116.95
,India VIX,20.8225,20.8225,21.1475,20.1350,20.2250,-0.5975
,Nifty Auto,      9819.45,      9856.65,      9984.80,      9834.50,      9973.05,153.6
,Nifty Metal,      5335.85,      5425.40,      5519.05,      5405.45,      5503.35,167.5
,Nifty Media,      1567.00,      1577.55,      1611.05,      1574.90,      1606.55,39.55
,NIFTY SMLCAP 100,      8737.20,      8824.50,      8888.30,      8803.45,      8870.60,133.4
,Nifty 200,      7802.85,      7854.95,      7878.10,      7840.00,      7868.85,66
,Nifty Div Opps 50,      3112.60,      3132.90,      3158.95,      3130.55,      3155.05,42.45
,Nifty Commodities,      4918.15,      4975.25,      5021.00,      4963.75,      5014.80,96.65
,Nifty Consumption,      5921.55,      5949.70,      5959.75,      5925.80,      5939.05,17.5
,Nifty Fin Service,     15771.05,     15900.90,     15974.15,     15855.00,     15904.75,133.7
,Nifty50 Div Point,         6.67,         6.67,         6.67,         6.67,         6.67,0
,Nifty100 Liq 15,      3741.20,      3772.00,      3791.55,      3758.55,      3778.25,37.05
,Nifty CPSE,      1871.25,      1892.20,      1953.25,      1888.30,      1946.45,75.2
,Nifty GrowSect 15,      7269.50,      7325.15,      7367.65,      7299.35,      7341.90,72.4
,Nifty50 PR 2x Lev,      6647.85,      6740.30,      6774.90,      6708.70,      6752.90,105.05
,Nifty50 PR 1x Inv,       295.70,       293.70,       294.40,       292.90,       293.40,-2.3
,Nifty50 TR 2x Lev,      8880.65,      9004.15,      9050.35,      8961.95,      9021.05,140.4
,Nifty50 TR 1x Inv,       255.95,       254.20,       254.80,       253.55,       253.95,-2
,Nifty50 Value 20,      7562.70,      7604.05,      7658.20,      7595.80,      7651.75,89.05
,Nifty Mid Liq 15,      5725.95,      5742.40,      5797.15,      5725.85,      5786.60,60.65
,Nifty Pvt Bank,     17556.25,     17685.30,     17748.25,     17606.25,     17669.95,113.7
,NIFTY100 Qualty30,      3318.85,      3334.90,      3340.90,      3327.10,      3338.10,19.25
,Nifty GS 8 13Yr,      2260.00,      2260.38,      2260.38,      2258.83,      2259.26,-.74
,Nifty GS 10Yr,      2053.07,      2053.40,      2053.40,      2050.74,      2052.15,-.92
,Nifty GS 10Yr Cln,       957.30,       957.30,       957.30,       956.02,       956.70,-.6
,Nifty GS 4 8Yr,      2419.28,      2419.65,      2419.65,      2417.30,      2419.20,-.08
,Nifty GS 11 15Yr,      2426.00,      2426.43,      2426.68,      2424.87,      2425.36,-.64
,Nifty GS 15YrPlus,      2655.91,      2656.40,      2657.62,      2656.37,      2657.20,1.29
,Nifty GS Compsite,      2307.98,      2308.36,      2308.36,      2306.81,      2307.50,-.48

,ADVANCES,1353
,DECLINES,643
,UNCHANGED,89

,Total securities that have hit their price bands today,427

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,TATASTEEL,EQ,      1182.35,      1216.35,2.88,3409.95
,SAIL,EQ,       144.25,       146.30,1.42,1683.59
,TATAMOTORS,EQ,       302.75,       314.85,4,1653.84
,HINDALCO,EQ,       401.10,       425.75,6.15,1650.01
,BHEL,EQ,        57.80,        65.65,13.58,1629.19
,SBIN,EQ,       358.25,       361.70,0.96,1514.61
,RELIANCE,EQ,      1931.75,      1926.20,-0.29,1243.04
,DRREDDY,EQ,      5174.70,      5327.55,2.95,1197.03
,JSWSTEEL,EQ,       756.95,       758.65,0.22,1152.52
,UPL,EQ,       629.40,       674.60,7.18,1107.06
,CADILAHC,EQ,       603.20,       624.00,3.45,1097.89
,BAJFINANCE,EQ,      5493.80,      5497.50,0.07,1097.62
,NMDC,EQ,       184.75,       200.00,8.25,1092.47
,HDFC,EQ,      2496.75,      2531.35,1.39,1090.21
,BANDHANBNK,EQ,       297.35,       295.95,-0.47,1058.35
,INFY,EQ,      1352.55,      1339.55,-0.96,964.99
,GLENMARK,EQ,       591.50,       625.35,5.72,812.29
,NATIONALUM,EQ,        76.00,        81.50,7.24,786.52
,HDFCBANK,EQ,      1414.75,      1419.85,0.36,785.19
,COFORGE,EQ,      3380.75,      3222.10,-4.69,780.06
,SUNPHARMA,EQ,       679.45,       698.20,2.76,761.45
,TATAPOWER,EQ,       102.70,       109.95,7.06,750.67
,CIPLA,EQ,       882.90,       900.25,1.97,749.97
,ICICIBANK,EQ,       607.10,       613.25,1.01,741.04
,ADANIPORTS,EQ,       767.75,       765.45,-0.3,708.61

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,COALINDIA,EQ,       147.05,       136.85,7.45
,UPL,EQ,       674.60,       629.40,7.18
,HINDALCO,EQ,       425.75,       401.10,6.15
,IOC,EQ,        99.15,        94.70,4.7
,TATAMOTORS,EQ,       314.85,       302.75,4

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,SHREECEM,EQ,     27309.95,     27840.00,-1.9
,BRITANNIA,EQ,      3413.80,      3461.25,-1.37
,ULTRACEMCO,EQ,      6403.10,      6481.90,-1.22
,INFY,EQ,      1339.55,      1352.55,-0.96
,HEROMOTOCO,EQ,      2836.30,      2860.80,-0.86

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        46.85,                 98561806.50,2229304
,21STCENMGM,EQ,        12.90,                    36488.40,2831
,3IINFOTECH,EQ,         8.10,                 70373036.15,8725921
,3MINDIA,EQ,     24438.05,                 86480943.00,3508
,3PLAND,EQ,        16.05,                  2926715.85,185033
,5PAISA,EQ,       355.20,                 24635332.45,68428
,63MOONS,BE,        86.35,                 16028149.30,185645
,645GS2029,GS,        91.04,                      273.12,3
,68GS2060,GS,       104.25,                    24915.75,239
,716GS2050,GS,       111.89,                     2237.80,20
,719GS2060,GS,       114.00,                      456.00,4
,75GS2034,GS,       101.25,                   311750.00,3100
,772GS2049,GS,       120.00,                    64680.00,539
,795GS2032,GS,       110.02,                   154028.00,1400
,A2ZINFRA,EQ,         4.70,                 26182769.35,5768885
,AAATECH,SM,        42.50,                   127500.00,3000
,AAKASH,EQ,       149.90,                  5374046.90,36000
,AARON,EQ,        57.00,                   370567.15,6605
,AARTIDRUGS,EQ,       813.60,               2461579358.50,3023297
,AARTIIND,EQ,      1737.05,               1542166868.05,892366
,AARTISURF,EQ,      1502.00,                 23942659.00,15895
,AARVEEDEN,BE,        21.40,                   434498.55,20416
,AARVI,EQ,        48.70,                   294610.55,6102
,AAVAS,EQ,      2208.50,                186343633.70,84461
,ABAN,EQ,        35.10,                  7482086.10,214141
,ABB,EQ,      1375.35,                188440745.90,136672
,ABCAPITAL,EQ,       122.00,               1331361389.10,10914611
,ABFRL,EQ,       176.10,                317901446.75,1799220
,ABFRLPP1,E1,       141.60,                  2569195.40,18047
,ABMINTLTD,EQ,        54.80,                   140282.60,2589
,ABSLBANETF,EQ,       328.74,                    54553.61,166
,ABSLNN50ET,EQ,       364.00,                   110118.98,304
,ABSLRIF6RG,MF,         8.35,                   156598.36,18483
,ACCELYA,EQ,       885.65,                  4872620.30,5460
,ACCURACY,EQ,        60.60,                   181967.80,3002
,ACE,EQ,       144.75,                 52862639.40,365544
,ACRYSIL,EQ,       334.50,                 41793083.60,125411
,ADANIENT,EQ,      1304.10,               5060579658.60,3892338
,ADANIPOWER,EQ,        98.50,               1373156359.90,13916610
,ADFFOODS,EQ,       904.50,                 12104025.40,13382
,ADHUNIKIND,EQ,        28.55,                 12178984.95,439624
,ADL,BE,        27.15,                    56557.85,2077
,ADORWELD,EQ,       403.15,                 11962870.20,29739
,ADROITINFO,EQ,         8.95,                    81135.80,9048
,ADSL,EQ,        55.95,                 31705258.10,574356
,ADVANIHOTR,EQ,        53.65,                   436768.25,8069
,ADVENZYMES,EQ,       460.80,                530954831.25,1141958
,AEGISCHEM,EQ,       331.45,                158374255.50,477730
,AFFLE,EQ,      5260.20,                249504436.60,47298
,AGARIND,EQ,       203.15,                  5715727.55,28145
,AGCNET,EQ,      1370.25,                 34032202.35,24552
,AGRITECH,EQ,        40.75,                  1106480.90,27200
,AGROPHOS,EQ,        11.70,                  1158429.75,98944
,AHLADA,EQ,        97.40,                   445665.05,4591
,AHLEAST,EQ,       145.30,                   659792.55,4523
,AHLUCONT,EQ,       290.25,                  3213728.10,11060
,AHLWEST,EQ,       198.65,                  2207257.50,11093
,AIAENG,EQ,      1819.30,                 78577764.95,42932
,AIRAN,EQ,        15.90,                   610458.80,38355
,AIROLAM,SM,        24.00,                   795000.00,33000
,AISL,SM,        41.60,                  1090800.00,26400
,AJANTPHARM,EQ,      2010.05,                650109143.85,323076
,AJMERA,EQ,       120.70,                 45692752.65,369807
,AJOONI,EQ,        43.65,                  2977220.65,68139
,AKASH,EQ,       214.95,                  8485955.70,39366
,AKG,EQ,        27.10,                   326096.75,11869
