,15-Jun-2021
The Nifty witnessed an intraday movement of about 59.2 points.The closing index was 0.36 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 67123.48
, Traded Quantity (in Lakhs), 34416.34
, Number of Trades, 22698476
, Total Market Capitalisation (Rs. Crores), 22997088.23

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     15811.85,     15866.95,     15901.60,     15842.40,     15869.25,57.4
,NIFTY50 EQL Wgt,     17908.15,     17957.65,     17994.00,     17914.10,     17929.85,21.7
,NIFTY100 EQL Wgt,     19109.00,     19159.55,     19189.60,     19118.80,     19134.30,25.3
,NIFTY100 LowVol30,     12372.85,     12401.05,     12447.40,     12394.45,     12407.55,34.7
,NIFTY Alpha 50,     27557.30,     27608.55,     27669.65,     27480.15,     27537.15,-20.15
,NIFTY MIDCAP 150,     10233.45,     10264.80,     10316.30,     10253.95,     10292.10,58.65
,NIFTY SMLCAP 50,      4903.25,      4931.90,      4949.60,      4905.85,      4911.00,7.75
,NIFTY SMLCAP 250,      8362.80,      8408.75,      8443.80,      8393.95,      8404.45,41.65
,NIFTY MIDSML 400,      9561.30,      9597.70,      9639.30,      9593.65,      9613.90,52.6
,NIFTY200 QUALTY30,     13365.90,     13409.30,     13453.80,     13400.15,     13432.60,66.7
,Nifty FinSrv25 50,     16642.75,     16703.00,     16740.90,     16656.30,     16705.45,62.7
,NIFTY AlphaLowVol,     15657.85,     15686.65,     15771.55,     15680.90,     15724.90,67.05
,Nifty200Momentm30,     17930.60,     18020.35,     18057.70,     17958.55,     17998.60,68
,Nifty100ESGSecLdr,      2703.20,      2712.05,      2715.55,      2706.75,      2709.00,5.8
,Nifty IT,     28314.10,     28384.70,     28544.60,     28325.90,     28377.85,63.75
,Nifty Next 50,     39121.95,     39246.90,     39351.60,     39172.35,     39248.75,126.8
,Nifty Bank,     34950.60,     35038.05,     35317.40,     34917.90,     35247.75,297.15
,NIFTY MIDCAP 100,     27198.50,     27260.95,     27432.05,     27236.65,     27364.35,165.85
,Nifty 500,     13554.15,     13601.35,     13634.35,     13587.75,     13607.80,53.65
,Nifty 100,     16079.70,     16134.30,     16167.60,     16113.60,     16136.65,56.95
,Nifty Midcap 50,      7572.00,      7603.65,      7656.15,      7593.00,      7623.80,51.8
,Nifty Realty,       352.40,       355.00,       358.60,       354.05,       357.05,4.65
,Nifty Infra,      4472.35,      4496.90,      4499.10,      4469.35,      4475.90,3.55
,Nifty Energy,     20902.70,     21022.95,     21066.10,     20851.75,     20900.10,-2.6
,Nifty FMCG,     35659.95,     35691.40,     35953.65,     35673.90,     35921.50,261.55
,Nifty MNC,     17309.85,     17345.35,     17426.90,     17321.05,     17412.85,103
,Nifty Pharma,     14449.60,     14464.50,     14505.00,     14309.55,     14322.65,-126.95
,Nifty PSE,      3723.45,      3739.10,      3755.35,      3712.60,      3716.45,-7
,Nifty PSU Bank,      2488.75,      2489.70,      2514.20,      2478.70,      2482.40,-6.35
,Nifty Serv Sector,     21815.25,     21904.90,     21965.40,     21858.80,     21931.85,116.6
,India VIX,14.7150,14.7150,15.1625,13.2775,14.6050,-0.1100
,Nifty Auto,     10753.10,     10768.20,     10803.25,     10739.40,     10754.40,1.3
,Nifty Metal,      5371.60,      5397.55,      5412.75,      5356.15,      5368.95,-2.65
,Nifty Media,      1869.85,      1878.70,      1923.05,      1875.70,      1907.30,37.45
,NIFTY SMLCAP 100,      9717.05,      9766.35,      9811.70,      9749.15,      9760.45,43.4
,Nifty 200,      8389.25,      8416.55,      8437.30,      8406.90,      8421.75,32.5
,Nifty Div Opps 50,      3329.65,      3339.65,      3348.50,      3334.55,      3336.25,6.6
,Nifty Commodities,      5283.15,      5295.85,      5323.50,      5276.40,      5288.85,5.7
,Nifty Consumption,      6300.25,      6316.45,      6361.10,      6313.20,      6357.40,57.15
,Nifty Fin Service,     16581.70,     16642.35,     16700.50,     16587.30,     16676.80,95.1
,Nifty50 Div Point,        59.80,        59.80,        59.80,        59.80,        59.80,0
,Nifty100 Liq 15,      4039.15,      4054.55,      4068.60,      4048.30,      4055.60,16.45
,Nifty CPSE,      2109.05,      2120.55,      2125.45,      2097.90,      2100.20,-8.85
,Nifty GrowSect 15,      7601.20,      7606.75,      7627.30,      7593.95,      7602.35,1.15
,Nifty50 PR 2x Lev,      7527.45,      7579.25,      7611.85,      7560.10,      7581.45,54
,Nifty50 PR 1x Inv,       277.75,       276.85,       277.20,       276.25,       276.80,-.95
,Nifty50 TR 2x Lev,     10123.80,     10193.45,     10237.35,     10167.75,     10196.40,72.6
,Nifty50 TR 1x Inv,       239.60,       238.80,       239.10,       238.30,       238.75,-.85
,Nifty50 Value 20,      8017.60,      8031.05,      8055.40,      8017.95,      8023.20,5.6
,Nifty Mid Liq 15,      6403.15,      6425.10,      6446.15,      6412.15,      6431.60,28.45
,Nifty Pvt Bank,     18352.70,     18412.35,     18577.20,     18352.55,     18549.95,197.25
,NIFTY100 Qualty30,      3606.10,      3616.90,      3633.15,      3614.70,      3626.05,19.95
,Nifty GS 8 13Yr,      2277.09,      2277.47,      2277.47,      2271.08,      2271.63,-5.46
,Nifty GS 10Yr,      2064.80,      2065.14,      2065.14,      2058.83,      2060.08,-4.72
,Nifty GS 10Yr Cln,       957.31,       957.31,       957.31,       954.38,       954.96,-2.35
,Nifty GS 4 8Yr,      2435.97,      2436.35,      2436.35,      2426.03,      2426.50,-9.47
,Nifty GS 11 15Yr,      2440.46,      2440.91,      2440.91,      2430.37,      2430.65,-9.81
,Nifty GS 15YrPlus,      2635.40,      2635.90,      2636.06,      2630.34,      2630.47,-4.93
,Nifty GS Compsite,      2323.22,      2323.61,      2323.61,      2314.91,      2315.46,-7.76

,ADVANCES,1188
,DECLINES,810
,UNCHANGED,67

,Total securities that have hit their price bands today,357

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,ADANIPORTS,EQ,       768.45,       761.85,-0.86,3488.7
,ADANIENT,EQ,      1501.45,      1538.85,2.49,3405.53
,RELIANCE,EQ,      2244.90,      2250.00,0.23,1580.86
,TATAMOTORS,EQ,       355.95,       352.70,-0.91,1265.11
,TATASTEEL,EQ,      1164.80,      1174.30,0.82,1148.99
,BHEL,EQ,        67.40,        69.65,3.34,1107.05
,IBULHSGFIN,EQ,       298.50,       308.50,3.35,1081.49
,ZEEL,EQ,       218.20,       230.40,5.59,1004.12
,BAJFINANCE,EQ,      6194.15,      6161.15,-0.53,942.73
,INFY,EQ,      1461.80,      1473.90,0.83,794.16
,JUSTDIAL,EQ,       941.40,      1009.25,7.21,755.39
,SAIL,EQ,       137.30,       137.30,0,749.01
,AXISBANK,EQ,       736.25,       750.90,1.99,723.4
,ICICIBANK,EQ,       635.15,       645.30,1.6,708.78
,SBIN,EQ,       430.35,       429.50,-0.2,706.45
,ASIANPAINT,EQ,      2949.90,      3042.20,3.13,683.73
,GUJGASLTD,EQ,       601.60,       648.70,7.83,674.41
,RIIL,EQ,       620.10,       740.60,19.43,641.03
,INDUSINDBK,EQ,      1024.30,      1034.45,0.99,626.55
,HDFCBANK,EQ,      1479.45,      1490.25,0.73,563.98
,TATAPOWER,EQ,       123.40,       122.15,-1.01,560.03
,NAUKRI,EQ,      4684.30,      4896.50,4.53,552.7
,RAIN,EQ,       182.35,       199.40,9.35,549.14
,COALINDIA,EQ,       159.35,       157.15,-1.38,477.21
,GMRINFRA,EQ,        26.75,        30.60,14.39,472.03

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,ASIANPAINT,EQ,      3042.20,      2949.90,3.13
,AXISBANK,EQ,       750.90,       736.25,1.99
,ICICIBANK,EQ,       645.30,       635.15,1.6
,HDFCLIFE,EQ,       692.55,       681.70,1.59
,HINDUNILVR,EQ,      2391.95,      2364.60,1.16

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,DIVISLAB,EQ,      4313.05,      4388.05,-1.71
,COALINDIA,EQ,       157.15,       159.35,-1.38
,BAJAJFINSV,EQ,     11798.70,     11926.15,-1.07
,HINDALCO,EQ,       390.85,       394.80,-1
,DRREDDY,EQ,      5410.85,      5461.35,-0.92

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        67.25,                 28157717.45,412007
,21STCENMGM,EQ,        18.45,                   109464.30,5948
,3IINFOTECH,BE,         9.10,                 91632373.90,10132560
,3MINDIA,EQ,     25684.30,                 67423324.90,2611
,3PLAND,EQ,        13.85,                   628431.35,44769
,577GS2030,GS,        95.01,                      950.30,10
,5PAISA,EQ,       418.75,                 31382215.45,75130
,63MOONS,BE,        93.80,                 10530371.55,113004
,676GS2061,GS,       100.25,                    22030.00,220
,716GS2050,GS,       114.90,                   214856.90,1894
,719GS2060,GS,       113.00,                    12882.00,114
,763GS2059,GS,       120.00,                      840.00,7
,A2ZINFRA,BE,         5.60,                  3274649.95,585480
,AAATECH,SM,        57.50,                  2563200.00,45000
,AAKASH,EQ,       179.65,                 11557242.10,64306
,AARON,BE,        78.45,                   650272.75,8218
,AARTIDRUGS,EQ,       731.25,                284756505.85,387130
,AARTIIND,EQ,      1826.60,                925943092.50,504104
,AARTISURF,EQ,      1378.25,                 27331994.60,19766
,AARVEEDEN,BE,        24.30,                   342776.15,14372
,AARVI,EQ,        68.45,                  3099824.80,44856
,AAVAS,EQ,      2496.20,                186100185.20,73569
,ABAN,EQ,        50.15,                 15722787.65,315539
,ABB,EQ,      1693.95,                175317186.40,103988
,ABCAPITAL,EQ,       125.10,                321661150.35,2563431
,ABFRL,EQ,       204.50,                325941863.75,1580034
,ABFRLPP1,E1,       172.95,                  2135624.35,12284
,ABINFRA,SM,         9.75,                   728800.00,76000
,ABMINTLTD,EQ,        66.85,                   280327.90,4171
,ABSLBANETF,EQ,       348.95,                    75523.95,216
,ABSLNN50ET,EQ,       396.05,                    33373.43,84
,ABSLRIF6RG,MF,         9.66,                    11995.51,1207
,ACCELYA,EQ,      1165.25,                299619196.35,254680
,ACCURACY,EQ,        82.45,                  3796119.35,46188
,ACE,EQ,       242.45,               1816031067.75,7782934
,ACRYSIL,EQ,       538.65,                 38134186.65,70619
,ADANIENT,EQ,      1538.85,              34055251940.05,22320542
,ADANIGREEN,BE,      1212.20,               2388254172.20,1994140
,ADANIPOWER,BE,       133.90,                794204276.60,5925109
,ADANITRANS,BE,      1446.40,                259105393.85,179102
,ADFFOODS,EQ,       979.25,                 14467931.90,14730
,ADL,BE,        35.95,                   398324.90,11185
,ADORWELD,EQ,       615.25,                 32493857.10,52623
,ADROITINFO,EQ,        11.70,                   513812.85,44478
,ADSL,EQ,        61.95,                 16240637.45,262292
,ADVANIHOTR,EQ,        65.35,                   891543.10,13513
,ADVENZYMES,EQ,       411.75,                 79053018.10,191454
,AEGISCHEM,EQ,       364.05,                215970085.25,589719
,AFFLE,BE,      5155.45,                176068890.05,34120
,AGARIND,EQ,       262.25,                 18205608.30,68088
,AGCNET,BE,      1296.40,                  2281171.75,1755
,AGRITECH,EQ,        45.95,                   627280.20,13514
,AGROPHOS,EQ,        14.65,                  1677480.50,113927
,AHLADA,EQ,       180.65,                  8500246.60,47718
,AHLEAST,EQ,       179.90,                   409745.25,2280
,AHLUCONT,EQ,       314.35,                  1860416.85,5914
,AHLWEST,EQ,       217.05,                  2503465.35,11561
,AIAENG,EQ,      1965.70,                 69213367.85,35179
,AIRAN,EQ,        25.80,                 25284409.85,974875
,AISL,SM,        51.50,                  2045340.00,39600
,AJANTPHARM,EQ,      1998.65,                252849276.90,127051
,AJMERA,EQ,       180.80,                 68646170.20,370679
,AJOONI,BE,        53.55,                  2635090.15,49255
,AKASH,EQ,       216.15,                   666615.50,3051
,AKG,EQ,        30.10,                    75435.70,2543
,AKSHARCHEM,EQ,       363.80,                 56705372.30,153405
